Comp Affordable Housing ID,Property Name,Address,City,State,Zip Code,Latitude,Longitude,Unit Type,Census Tract,Owner,Developer,Council District,Phone,Email,Property Manager Or Landlord,Website,Students Only,Community Elderly,Community Disabled,Cmty Domestic Abuse Survivor,Community Mental,Community Veteran,Community Military,Only Serves Designated Cmtys,Cmty Served Descriptions,Broken Lease,Broken Lease Criteria,Eviction History,Eviction History Criteria,Criminal History,Criminal History Criteria,Has Waitlist,Total Units,Total Permanent Support Units,Has Permanent Support Units,Total Income Restricted Units,Has Allocated IR Units,Total Housing Choice Units,Accepts Housing Choice,Total Accessible IR Units,Has Allocated Acc IR Units,Num Units MFI 30,Num Units MFI 40,Num Units MFI 50,Num Units MFI 60,Num Units MFI 65,Num Units MFI 70,Num Units MFI 80,Num Units MFI 90,Num Units MFI 100,Num Units MFI 110,Num Units MFI 120,Has 0 Bed Unit,Has 1 Bed Unit,Has 2 Bed Unit,Has 3 Bed Unit,Has 4 Bed Unit,Has 5 Bed Unit,Num IR 0 Bed Units,Num IR 1 Bed Units,Num IR 2 Bed Units,Num IR 3 Bed Units,Num IR 4 Bed Units,Num IR 5 Bed Units,Has Playground,Has Pool,Has Off Street Parking,Has Air Conditioning,Has Ceiling Fans,Washer Dryer Unit,Washer Dryer Hookups,Washer Dryer Onsite,Washer Dryer Other,Allows Pet,Pet Other,Bus Transit Distance,Security,Elementary School,Middle School,High School,Affordability Start,Affordability Expiration,Austin Housing Inventory ID,Housing Program,Community Development Block Gr,Home Program Funding,Low Income Housing Tax Credit,Source ATC Guide,Source TDHCA,Source AHI,Is Duplicate,TDHCA Funded,NHCD Funded,HACA Funded,HATC Funded,Geocolumn
2864,Commons at Goodnight,2022 E. Slaughter Ln,Austin,TX,78753,30.15279,-97.768553,Multifamily,,,,5,,,AAHC,,false,false,false,false,false,false,false,,,,,,,,,false,304,0,,304,,,true,,,0,0,0,304,0,,0,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,Blazier Elementary,Bedichek Middle,Crockett High,,,,,,,,,,,0,,,true,,POINT (-97.768553 30.15279)
2861,Bridge at South Point,6808 South IH 35,Austin,TX,78745,30.188725,-97.773619,mutifamily,,,,3,512-448-0777,manager@bridgeatsouthpoint.com,AAHC,bridgeatsouthpoint.com,false,false,false,false,false,false,false,,,depends,if rental debt is paid,no,,depends,case by case,false,176,0,,88,,,true,,,0,0,0,0,0,,88,,,,,,,,,,,,,,,,,false,true,false,true,true,false,false,true,,yes,"max 2 pets, cats and dogs, max 50# with breed restrictions",,courtesy officer,Pleasant Hill,Bedichek,Crocket,,,,,,,,,,,0,,,true,,POINT (-97.773619 30.188725)
2866,Leisure Time Village,1920 Gaston Place Dr,Austin,TX,78721,30.313568,-97.689023,Multifamily,,,,1,512-965-4821,dana@amptexas.com,AAHC,https://www.hacanet.org/location/leisure-time-village/,false,true,false,false,false,false,false,,seniors over 55,depends,no rental debt,depends,no rental debt,depends,case by case,false,22,0,,0,,,true,22,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,false,false,false,true,true,false,true,false,,yes,35# no aggressive breeds,,"gated, courtesy patrol",Harris Elementary,girls at Sadler Means Young Womens / boys at Garcia Young Mens,Regean High,,,,,,,,,,,0,,,true,,POINT (-97.689023 30.313568)
2863,Bridge at Tech Ridge,12800 Center Lake Dr,Austin,TX,78753,30.407913,-97.667929,Multifamily,,,,7,512-252-0555,manager@bridgeattechridge.com,AAHC,bridgeattechridge.com,false,false,false,false,false,false,false,,,yes,no rental debt,no,,depends,Case-by-case,false,294,0,,147,,,true,1,,0,0,0,0,0,,147,,,,,,,,,,,,,,,,,false,true,true,true,true,false,true,true,,yes,2 pet max; 50# breed restrictions,,"cameras, gated","Parmer, Copperfield, and Graham Elementary",West View Middle,Coneley High,,,,,,,,,,,0,,,true,,POINT (-97.667929 30.407913)
2860,Bridge at Center Ridge,701 Center Ridge Dr,Austin,TX,78753,30.4148280628765,-97.66781189968364,Multifamily,,,,7,512-634-8487,leasing@bridgeatcenterridge.com,AAHC,https://www.bridgeatcenterridge.com/,false,false,false,false,false,false,false,,,no,do not accept broken leases,no,no evictions ever,depends,"no felonies, misdemeanors are case by case",false,348,0,,174,,,true,7,,0,0,0,0,0,,174,,,,,,,,,,,,,,,,,false,true,true,true,true,false,true,true,they assist through third party to help tenants get washer/dryer,yes,"Cat and dog friendly (pet deposit $150 per pet, pet fee $200 per pet, $10 monthly pet rent, breed restrictions, 2 max)",,security cameras installed,Parmer Elementary School,Westview Middle School,Hendrickson High School,,,,,,,,,,,0,,,true,,POINT (-97.667811899684 30.414828062877)
2714,Legacy Apartments,1342 Lamar Square Drive,Austin,TX,78704,30.25370026,-97.76409912,Multifamily,,Mary Lee Community,Mary Lee Foundation,5,512-443-5777,,,https://www.maryleefoundation.org/programs-and-services/affordable-housing/,false,false,true,false,true,false,false,,,depends,Rental debt must be paid off,depends,Rental debt must be paid off,depends,Case-by-case; no conviction within 3 years; certain convictions permanently excluded,,40,0,,40,true,,true,,,0,0,36,0,0,,4,,,,,,true,,,,,,,,,,,false,false,true,true,,,,true,,no,,1/4 Mile,,Zilker Elementary School,O. Henry Middle School,Austin High School,January 01 2013,01/01/2112 12:00:00 AM,3298,"RHDA, SMI,",0,675000,,true,false,true,0,false,true,false,0,POINT (-97.76409912 30.25370026)
2514,Urban Oaks,6725 Circle S Road,Austin,TX,78745,30.18980026,-97.77619934,Multifamily,,Ryan Companies US Inc.,Ryan Companies,2,512-524-0621,urbanoaks@lincolnapts.com,AAHC,https://www.urbanoaksapts.com/,false,false,false,false,false,false,false,,,depends,Applicants must have 2 years of positive rental history and all rental debt must have been paid off. No more than $1500 debt may have accumulated,yes,Applicants will be denied if eviction occurred within the past 2 years,depends,Certain felonies excluded 20 years; certain drug-related convictions permanently excluded; certain Class A misdemeanors excluded 7 years; RSO's excluded,false,195,0,,194,true,,true,20,,0,0,0,194,0,,0,,,,,,true,true,true,,,,,,,,,true,true,true,true,true,false,true,false,,yes,pets must be under 60 lbs; breed restrictions,,"Gated community, courtesy officer, cameras",Pleasant Hill Elementary,Bedichek Middle,Crockett High,January 01 2017,01/01/2022 12:00:00 AM,3539,"section 8,",0,0,4,true,false,true,0,false,true,true,,POINT (-97.77619934 30.18980026)
2897,Pathways at Goodrich Place-UNDER CONSTRUCTION,2126 Goodrich Avenue,Austin,TX,78704,30.248315,-97.773865,Multifamily,,,,5,512-982-1342,,Madhouse Development,http://www.madhousedevelopment.net/pathways-at-goodrich-place,false,false,false,false,false,false,false,,,,,,,,,,120,0,,110,,,,,,0,0,0,110,0,,0,,,,,,,,,,,,,,,,,true,false,true,true,,false,true,false,Laundry hookups and clothing lines available.,,,,,Zilker Elementary School,O Henry Middle,Austin High School,,,,,,,,,,,0,false,,true,0,POINT (-97.773865 30.248315)
2832,Bridge at Volente,11908 Anderson Mill Rd,Austin,TX,78726,30.45789909,-97.82740021,Multifamily,,,,6,512-961-6981,assistant@bridgeatvolente.com,AAHC,https://www.hacanet.org/location/bridge-at-volente/,false,false,false,false,false,false,false,,HACA HCV property,no,,no,,no,,false,208,0,,104,,,true,88,,0,0,0,0,0,,104,,,,,,,,,,,,,,,,,true,true,true,true,true,false,true,false,no,yes,"less than 50#'s, breed restrictions.  Cats and dogs (2 max)",,courtesy officer,Cypress Creek Elementary,Cedar Park Middle,Cedar Park High,,,,,,,4,true,false,false,0,false,false,true,,POINT (-97.82740021 30.45789909)
2607,The Pointe at Ben White,6934 E Ben White Blvd.,Austin,TX,78741,30.21629906,-97.70290375,Multifamily,,Ben White Senior Development LP,Ben White Senior Development LP,3,512-222-5658,pointebw1@gmail.com,AAHC,http://thepointeatbenwhite.com/,false,false,false,false,false,false,false,,,depends,"No landlord debt from the last 10 years unless proof of being paid off.  Certain rental debt on collection status may qualify for a second chance under our leasing program; this is contingent upon satisfactory verification of current rental history, and l",depends,"An eviction or a foreclosure, rental debt collection for less than five (5) and more than one (1) rental collection is an automatic rejection.",depends,No felonies and no violent or drug-related misdemeanors.,true,250,0,,250,true,,true,19,true,0,0,0,250,0,,0,,,,,false,true,true,true,false,false,0,25,129,96,0,0,true,true,,true,true,false,true,true,,yes,"45lb limit, 300 deposit, 200 for second. Breed restrictions. Certain exceptions may apply.",1/2 Mile,gate,Smith Elementary School,John P. Ojeda Middle School,Del Valle High School,January 01 2016,01/01/2021 12:00:00 AM,3508,"Development Incentives, SMI, section 8, tax credit",0,0,4.0,true,true,true,0,true,true,true,,POINT (-97.70290375 30.21629906)
2867,thinkEAST Apartments,1143 Shady Lane,Austin,TX,78721,30.2629325403822,-97.69055760644842,multifamily,,,,3,512-386-5711,thinkeastmgr@apcommunities.com,AAHC,https://www.thinkeastliving.com,false,false,false,false,false,false,false,,,yes,Previous rental debt must be paid in full or a payment plan must have been set up,no,,depends,"No felonies, sex offenses or drug-related convictions",false,182,0,,182,,,true,12,,0,0,0,182,0,,0,,,,,,,,,,,,,,,,,false,true,true,true,true,true,true,true,,yes,"1 pet per unit, cats and dogs, 35# restriction",,Gated access,Ortega Elementary,Martin Middle,Eastside Memorial High School at Johnston,,,,,,,,,,,0,true,true,true,0,POINT (-97.690557606448 30.262932540382)
2659,21 Rio,2101 Rio Grande St.,Austin,TX,78705,30.28429985,-97.74469757,Multifamily,,,,9,512-391-1991,,CA Student Living,https://www.21rio.com/,false,false,false,false,false,false,false,,,depends,Case-by-case,depends,Case-by-case,depends,Case-by-case,true,299,,,30,true,,false,,,,,,,,,,,,,,,,true,,,,,,,,,,false,true,true,true,true,true,true,false,,yes,2 pet limit; breed restrictions,,,Bryker Woods,O Henry,Austin,,,,S.M.A.R.T. Housing,,,,true,false,false,0,false,false,,,POINT (-97.74469757 30.28429985)
2565,Park at Summers Grove,2900 Century Park Blvd,Austin,TX,78727,30.43510056,-97.69470215,MultiFamily,,,,1,512-333-0932,manager@parkatsummersgrove.com,AAHC,https://www.parkatsummersgrove.com/,false,false,false,false,false,false,false,,,no,,no,,no,,true,240,0,,240,true,,true,58,,0,0,20,220,0,,0,,,,,,true,true,true,,,,,,,,,true,true,,true,true,false,true,false,,yes,"Cats and dogs, breed restrictions, 35 lb limit",<1/2,"Patrol, cameras, controlled access gates",Wells Branch Elementary School,Deerpark Middle School,McNeil High School,,,,AHFC (Austin Affordable Housing Corporation); HUD Section 8; Housing Tax Credit,,,4,true,false,false,0,false,false,true,,POINT (-97.69470215 30.43510056)
2862,Bridge at Sterling Springs,2809 W. William Cannon Dr,Austin,TX,78745,30.208331,-97.818144,multi-family,,,,4,512-444-7222,manager@bridgeatsterlingsprings.com,AAHC,bridgeatsterlingsprings.com,false,false,false,false,false,false,false,,,depends,no rental debt,no,,depends,case by case,true,172,0,,86,,,true,2,,0,0,0,0,0,,86,,,,,,,,,,,,,,,,,false,true,false,true,true,false,true,true,,yes,"2 pets, cat and dog, 50# breed restriction",,no,Sunset Valley,Covington,Crocket,,,,,,,,,,,0,,,true,,POINT (-97.818144 30.208331)
2831,Creeks Edge Apartments,1124 Rutland Drive,Austin,TX,78758,30.36940002,-97.70339966,Apartment,,,,4,512-832-7885,creeksedge@cscapartments.com,Creeks Edge Apartments,https://www.creeksedgeaustin.com,,,,,,,,,,,,,,,,,200,,,0,,,true,,,20,,,180,,,,,,,,,,,,,,,,,,,,true,true,true,true,true,false,,true,,yes,2 pet maximum; 25 lbs limit,1/4 Mile,,Mcbee,Burnet,Lanier,,,,"RHDA, SMART, SMI, Go Bond 2013",,,,true,false,false,0,true,true,false,0,POINT (-97.70339966 30.36940002)
2874,Preserve at Wells Branch,1773 Wells Branch Pkwy.,Austin,TX,78728,30.43620322590411,-97.67408567955783,multi-family,,,,,512-593-7375,Manager@preserveatwellsbranch.com,AAHC,www.preserveatwellsbranch.com,false,false,false,false,false,false,false,,,depends,no rental debt,depends,no rental debt,depends,case by case,false,308,0,,154,,,true,0,,0,0,0,0,0,,154,,,,,,,,,,,,,,,,,false,true,false,true,true,false,true,true,2 on site laundromats,yes,55# and breed restrictions,,"gated, patrol service",Northwest Elementary,Westview Middle,Conley High,,,,,,,,,,,0,,,true,,POINT (-97.674085679558 30.436203225904)
2674,Bridge at Sterling Village,10401 N Lamar,Austin,TX,78753,30.37190056,-97.69010162,Multifamily,,,,4,512-834-8968,manager@bridgeatsterlingvillage.com,AAHC,https://www.bridgeatsterlingvillage.com,false,false,false,false,false,false,false,,,depends,no rental debt - paid off min. 2 years,depends,no rental debt,no,,true,207,0,,104,true,,true,2,,0,0,42,0,0,,62,,,,,,true,true,,,,,,,,,,true,true,true,true,true,true,false,false,all units have washer/dryers,yes,50lb limit breed restristions,<1/2,courtesy patrol,Walnut Creek Elementary,Dobie Middle,Lanier High,,,,AHFC (Austin Affordable Housing Corporation); Section 8,,,,true,false,false,0,false,false,true,,POINT (-97.69010162 30.37190056)
2865,Bridge at Harris Ridge,1501 E Howard Ln,Austin,TX,78754,30.405282,-97.640937,Multifamily,,,,7,512-271-5677,harrisridge@nrpgroup.com,AAHC,bridgeharrisridge.com,false,false,false,false,false,false,false,,,depends,Case-by-case; rental debt should be paid,no,,depends,No felonies within 10 years; case-by-case,true,324,0,,324,,,true,2,,0,0,0,324,0,,0,,,,,,,,,,,,,,,,,true,true,true,true,true,false,true,true,,yes,2 pet max; breed restrictions,,Gated access,Dessau Elementary,Dessau Middle School,Conley High,,,,,,,,,,,0,,,true,,POINT (-97.640937 30.405282)
2912,Pathways at Chalmers Court-South-UNDER CONSTRUCTION,1638 E 2nd Street,Austin,TX,78702,30.259144,-97.726547,Multifamily,,,,3,512-308-6785,,Housing Authority of the City of Austin(HACA),https://www.hacanet.org/residents/rad/chalmers/,,,,,,,,,,,,,,,,,87,0,,87,,,,,,0,0,0,87,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zavala Elementary School,Martin Middle School,Eastside Memorial High School,,,,,,,,,,,0,true,true,true,0,POINT (-97.726547 30.259144)
2579,Bridge at Sweetwater,2323 Wells Branch Parkway,Austin,TX,78728,30.43950081,-97.68710327,Multifamily,,,,0,512-253-4070,assistant@bridgeatsweetwater.com,AAHC,https://www.bridgeatsweetwater.com/,false,false,false,false,false,false,false,,,depends,no rental debt,depends,no rental debt,depends,case by case,false,152,0,,23,true,,true,0,,31,,,,,,45,,,,,true,true,true,,,,,,,,,,false,true,false,true,true,false,true,true,,yes,"max 2 pets, cats and dogs, max 50# with breed restrictions",,no,Wells Branch,Deerpark,McNeil,,,,Austin Affordable Housing Corporation; HUD Section 8,,,,true,false,false,0,false,false,true,,POINT (-97.68710327 30.43950081)
2642,The Reserve at Springdale,5605 Springdale Road,Austin,TX,78723,30.29920006,-97.67320251,Multifamily,,Ryan Companies US Inc.,Ryan Companies US INC.,1,512-354-4427,reserveatspringdalemgr@lincolnapts.com,AAHC,https://www.reserveatspringdaleapts.com/,false,false,false,false,false,false,false,,Individuals and families earning 60 percent of the area median income.,depends,No rental debt over $1500,depends,No rental debt over $1500,depends,No felonies,false,292,0,,292,true,,true,38,,0,0,0,292,0,,0,,,,,,,,,,,,,,,,,true,true,true,true,true,false,true,false,,yes,Pets with limitations.,<1/2,"gated, cameras, security team onsite",Pecan Springs Elementary,"East Austin College Prep, Garcia","Reagan, LBJ High School",January 01 2017,01/01/2022 12:00:00 AM,3530,"development incentive, smi",0,0,4,true,false,true,0,false,true,true,,POINT (-97.67320251 30.29920006)
2768,Aldrich 51,2604 Aldrich Street,Austin,TX,78723,30.30439949,-97.70189667,Multifamily,,"Catellus Austin, LLC",Catellus Austin LLC,9,512-904-0501,,,https://aldrich51.com/,false,false,false,false,false,false,false,,,depends,Applicants will need positive rental history; rental debt should have been paid off,depends,No evictions within 3 years,depends,Certain convictions permanently denied; lookback periods vary depending on conviction,true,240,0,,216,true,,true,,,18,0,47,31,0,,120,,,,,true,true,true,true,true,,,,,,,,,true,true,,true,,true,,,yes,25 lb max,,,Blanton Elementary,Sadler Means Young Women's Leadership Academy or Garcia Young Men's Leadership Academy,Reagan High,January 01 2015,01/01/2055 12:00:00 AM,3901,HUD,2000000,0,4,true,false,true,0,false,true,false,0,POINT (-97.70189667 30.30439949)
2603,Harris Branch Apartments,12435 Dessau Rd,Austin,TX,78754,30.38899994,-97.64489746,Multifamily,,,,1,512-834-1110,j3134.manager1@capstonemanagement.com,AAHC,myharrisbranch.com,false,false,false,false,false,false,false,,,depends,Rental debt must be paid in full,depends,Rental debt must be paid in full,depends,Felonies permanently excluded; violent and/or drug-related convictions considered case-by-case,false,248,0,,248,true,,true,24,true,0,0,0,248,0,,0,,,,,false,true,true,true,false,false,0,52,108,88,0,0,true,true,true,true,true,false,true,true,,yes,"45 lb maximum, breed restrictions",,"Gates with keypad, courtesy officer",Delco Primary School & Dessau Elementary School,Dessau Middle School,Hendrickson High School or Weiss High School,January 01 2000,01/01/2100 12:00:00 AM,,,,,4,true,true,false,0,true,false,true,,POINT (-97.64489746 30.38899994)
2422,Bent Tree Apartments,8405 Bent Tree Road,Austin,TX,78759,30.37240028,-97.74320221,Multifamily,,,,10,512-351-7669,assistant@benttreeaustin.com,AAHC,https://www.benttreeaustin.com/,false,false,false,false,false,false,false,,Market rate rents but Section 8 accepted at 100% of the units,depends,Only one and must be paid off,no,,depends,"No felonies, most misdemeanors will disqualify",false,126,0,,0,true,,true,0,,0,0,0,0,0,,0,,,,,,true,true,,,,,,,,,,false,true,false,true,true,false,true,true,hook ups in 2 bed 2 bath units only,yes,"2 pets per apartment, 50 lbs limit, no aggressive breeds.",<1/2,no,Hill Elementary School,Murchison Middle School,Anderson High School,,,,HUD Section 8; AHFC (Austin Affordable Housing Corporation),,,,true,false,false,0,false,false,true,,POINT (-97.74320221 30.37240028)
2503,Villages at Ben White,7000 E Ben White,Austin,TX,78741,30.21759987,-97.70179749,Multifamily,,,,3,512-222-5659,Villagesbw@gmail.com,AAHC,http://villagesatbenwhite.com/,false,true,false,false,false,false,false,,55+,no,,no,,depends,felonies and certain misdemeanors will be denied,false,183,0,,183,true,,true,13,,,,,183,,,,,,,,,true,true,,,,,,,,,,false,true,true,true,true,true,true,true,,yes,"2 pet maximum, cats and dogs, breed restrictions apply.",,after hours ranger,Smith Elementary School,John P Ojedo Middle School,Del Valle High School,,,,Housing Tax Credit Program,,,4,true,false,false,0,false,false,true,,POINT (-97.70179749 30.21759987)
2871,Bridge at Terracina,8100 N Mopac Expressway,Austin,TX,78759,30.365905,-97.743785,multi-family,,,,2,512-345-0870,assistant@bridgeatterracina.com,AAHC,www.bridgeatterracina.com,false,false,false,false,false,false,false,,,depends,no rental debt,depends,no rental debt,depends,case by case,false,170,0,,85,,,true,0,,0,0,0,0,0,,85,,,,,,,,,,,,,,,,,false,true,true,true,true,false,false,true,3 laundromats on site,yes,50# breed restrictions,,no,Hill Elementary,Murchison Middle,Anderson High,,,,,,,,,,,0,,,true,,POINT (-97.743785 30.365905)
2908,Heights on Parmer Phase II,1500 E Parmer Lane,Austin,TX,78753,30.390823,-97.650793,Multifamily,,,,7,,,,,,,,,,,,,,,,,,,,,80,0,,80,,,,,,0,0,0,80,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dessau Middle School,John B Connaly High School,,,,,,,,,,,0,,true,,,POINT (-97.650793 30.390823)
2920,AVIA at 26th,1010 W 26th Street,Austin,TX,78705,30.291266492429198,-97.74888848303294,Multifamily,,,,9,,,,,,,,,,,,,,,,,,,,,30,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,POINT (-97.748888483033 30.291266492429)
2896,Modera Domain-UNDER CONSTRUCTION,2618 Kramer Lane,Austin,TX,78758,30.395266,-97.718565,Multifamily,,,,7,,,"2701 Research Forest Drive, LLC",,,,,,,,,,,,,,,,,,354,0,,14,,,,,,0,0,0,14,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pillow Elementary School,Burnet Middle School,Anderson High School,,,,,,,,,,,0,,true,,,POINT (-97.718565 30.395266)
2901,Colorado Creek Apartments,2917 Fallwell Lane,Del Valle,TX,78617,30.205648,-97.633937,Multifamily,,,,2,,,GCRE/TX Austin Master LLC,,,,,,,,,,,,,,,,,,240,0,,216,,,,,,0,0,96,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hornsby-Dunlap Elementary School,Dailey Middle School,Del Valle High School,,,,,,,,,,,0,,true,,,POINT (-97.633937 30.205648)
