CredentialDefinitionId,CredentialTypePrefix,CredentialSubCategory,CredentialName,AgencyName,ZipCode,Location 1,Address2
492,48,TEMP,Occupational Therapist Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
487,49,,Occupational Therapist Assistant,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
511,49,TEMP,Occupational Therapist Assistant Temp Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
414,5,,Naturopathic Physician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
465,50,,Lead Abatement Contractor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
466,51,,Lead Consultant Contractor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
468,53,,Asbestos Contractor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
483,54,,Athletic Trainer,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
493,54,TEMP,Athletic Trainer Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
450,58,,Licensed Clinical Social Worker,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
451,59,,Dietitian/Nutritionist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
515,62,,Nurses Aide,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
453,63,,Physical Therapist Assistant,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
498,63,TEMP,PTA Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
470,64,,Lead Abatement Supervisor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
471,65,,Lead Abatement Worker,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
472,66,,Lead Planner/Project Designer,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
473,67,,Lead Inspector Risk Assessor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
474,68,,Lead Inspector,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
457,69,,Emergency Medical Responder,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
509,70,TEMP,Emergency Medical Technician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
460,70,,Emergency Medical Technician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
461,71,,Advanced Emergency Medical Technician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
247,PLM,W8,PLUMBING & PIPING LIMITED JOURNEYPERSON,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
248,PLM,W9,PLUMBING & PIPING LIMITED CONTRACTOR,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
459,72,,Paramedic,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
462,73,,Emergency Medical Service Instructor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
455,83,,Perfusionist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
458,86,,Emergency Medical Responder - CSP,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
417,9,,Homeopathic Physician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
475,90,,Asbestos Abatement Worker,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
476,91,,Asbestos Abatement Supervisor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
516,96,,Asbestos Training Provider,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
823,AAL,,APPRAISAL CONTINUING EDUCATION COURSE (AAL),Department of Consumer Protection,06103,,
513,ACE,,APPRAISAL CONTINUING EDUCATION PROVIDER,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
49,ACR,,ACCOUNTS RECEIVABLE,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
940,AI,,Agent of Issuer,Department of Banking,,,
611,AMC,,REAL ESTATE APPRAISAL MANAGEMENT COMPANY,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
512,APL,,APPRAISAL PRE-LICENSING & CONTINUING-ED SCHOOL (APL),Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
824,APR,,APPRAISAL PRE-LICENSING COURSE (APR),Department of Consumer Protection,06103,,
535,ASC,,Out-Patient Surgical Facility,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
867,ASF,,ANIMAL SHELTER,Department of Agriculture,06106,,
132,ATH,,STUDENT ATHLETE AGENT,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
862,BA,,Behavior Analyst,Department of Public Health,06134,,
43,BAK,,BAKERY,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
508,8,TEMP,Psychologist-Post Doctoral Training Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
688,BAZR,,BAZAAR PERMIT CLASS 3,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
909,BCCA,,Consumer Collection Agency Branch,Department of Banking,,,
268,TVR,V3,TV & RADIO OWNER TECHNICIAN,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
910,BCCG,,Check Cashing Branch - General Facility,Department of Banking,,,
911,BCCL,,Check Cashing Branch - Limited Facility,Department of Banking,,,
942,BDA,,Broker - Dealer Agent,Department of Banking,,,
912,BDAN,,Debt Adjuster Non-Profit Branch,Department of Banking,,,
913,BDAP,,Debt Adjuster For-Profit Branch,Department of Banking,,,
943,BDBR,BRANCH,Broker - Dealer,Department of Banking,,,
709,BDLR,,BINGO PRODUCTS DEALER,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
962,BIDC,,Business and Industrial Development Corporation,Department of Banking,,,
50,BLT,,LICENSE TEST,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
915,BMB,,Mortgage Broker Branch,Department of Banking,,,
916,BMCL,,Mortgage Correspondent Lender Branch,Department of Banking,,,
710,BMFR,,BINGO PRODUCTS MANUFACTURER,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
918,BMS,,Mortgage Servicer Branch,Department of Banking,,,
614,BMT,,BULK MILK TANKER,Department of Agriculture,06106,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
696,BNGO,PIN,BINGO OPERATOR,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
693,BNGO,CL C,BINGO PERMIT MONTHLY,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
689,BNGO,CL B,BINGO PERMIT TEMPORARY,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
692,BNGO,CL A,BINGO PERMIT WEEKLY,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
694,BNGO,PTA,BINGO PTA/PTO,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
697,BNGO,REG,BINGO REGISTRATION,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
695,BNGO,SENIOR,BINGO REGISTRATION SENIOR,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
944,BO,E,Business Opportunity (Exclusion/Exemption),Department of Banking,,,
945,BO,R,Business Opportunity (Registration),Department of Banking,,,
919,BSFC,,Sales Finance Company Branch,Department of Banking,,,
920,BSLC,,Small Loan Company Branch,Department of Banking,,,
921,BSLS,,Student Loan Servicer Branch,Department of Banking,,,
570,C,,Certified EMS Organization,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
315,CAM,,COMMUNITY ASSOCIATION MANAGER,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
893,CAS,,CASINO (CAS),Department of Consumer Protection,06103,,
895,CASM,,CASINO CLASS II MANAGER,Department of Consumer Protection,06103,,
922,CC,,Check Cashing,Department of Banking,,,
923,CCA,,Consumer Collection Agency,Department of Banking,,,
528,CCNH,,Chronic & Convalescent Nursing Home,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
530,CCRH,,Chronic & Convalescent Nursing Homes and Rest Home with Nursing Supervision,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
538,CDH,,Chronic Disease Hospital,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
859,CFM,,COMMERCIAL ANIMAL FEED MANUFACTURER,Department of Agriculture,06106,,
873,CFO,,COTTAGE FOOD OPERATION,Department of Consumer Protection,06103,,
537,CH,,Children's Hospital,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
568,CHM,,CHEESE MANUFACTURER,Department of Agriculture,06106,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
587,CHR,,PUBLIC CHARITY,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",Suite 901
991,CHW,,Community Health Worker,Department of Public Health,,,
452,16,,Licensed Nurse Midwife,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
424,17,,Audiologist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
505,17,TEMP,Audiologist-Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
425,18,,Speech and Language Pathologist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
454,78,,Optician Apprentice,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
589,CKF,,COMMERCIAL KENNEL,Department of Agriculture,06106,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
544,CLAB,,Clinical Laboratory,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
793,CLCM,,CT LOTTERY CORPORATION MANAGEMENT - CLASS IV,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
616,CPAC,,CERTIFIED PUBLIC ACCOUNTANT CERTIFICATE,Department of Consumer Protection,06103,"30 Trinity Street
Hartford, CT 6106
(41.763768258, -72.680618156)",
618,CPAL,,CERTIFIED PUBLIC ACCOUNTANT LICENSE,Department of Consumer Protection,06103,"30 Trinity Street
Hartford, CT 6106
(41.763768258, -72.680618156)",
619,CPAP,,CERTIFIED PUBLIC ACCOUNTANT FIRM PERMIT,Department of Consumer Protection,06103,"30 Trinity Street
Hartford, CT 6106
(41.763768258, -72.680618156)",
687,CRCS,,CIRCUS,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
525,CREM,,Crematory,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
632,CRNO,,CRANE OPERATOR,Department of Administrative Services,06103,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
890,CRNO,END,CRANE OPERATOR ADDL ENDORSEMENTS,Department of Administrative Services,06103,,
633,CRNR,,CRANE REGISTRATION,Department of Administrative Services,06103,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
686,CRVL,,CARNIVAL,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
32,CSM,,"MANUFACTURER OF DRUGS, COSMETICS & MEDICAL DEVICES",Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
33,CSP,,CONTROLLED SUBSTANCE REGISTRATION FOR PRACTITIONER,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
655,CSS,,COMMISSION SALES STABLE,Department of Agriculture,06106,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
34,CSW,,"WHOLESALER OF DRUGS, COSMETICS & MEDICAL DEVICES",Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
963,CTB,,CT Bank,Department of Banking,,,
965,CTBO,,CT Bank Office,Department of Banking,,,
967,CTCO,,CT Credit Union Office,Department of Banking,,,
968,CTCU,,CT Credit Union,Department of Banking,,,
969,CTMH,,CT Mutual Holding Company,Department of Banking,,,
970,CUSO,,CT Credit Union Service Organization,Department of Banking,,,
650,CVH,,CERVIDAE HERDS,Department of Agriculture,06106,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
925,DAP,,Debt Adjuster For-Profit,Department of Banking,,,
679,DCCC,,Child Care Center,Office of Early Childhood,06134-0308,"410 Capitol Ave.
Hartford, CT 06134-0308
(41.763858156, -72.688698524)",P.O. Box 340308
681,DCED,,Early Childhood Education Consultant,Office of Early Childhood,06134-0308,"410 Capitol Ave.
Hartford, CT 06134-0308
(41.763858156, -72.688698524)",P.O. Box 340308
834,DCEX,,Child Care Center Exempt,Office of Early Childhood,06134-0308,,P.O. Box 340308
682,DCFA,,Family Child Care Assistant,Office of Early Childhood,06134-0308,"410 Capitol Ave.
Hartford, CT 06134-0308
(41.763858156, -72.688698524)",P.O. Box 340308
871,RCRL,,Restricted Intrastate livery Service,Department of Transportation,06111,,
506,1,RES,Resident Physician,Department of Public Health,06134,,
489,19,ADV,Advanced Ankle Surgery Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
426,19,,Podiatrist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
488,19,STND,Standard Ankle Surgery Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
482,2,PROV,Provisional Faculty Dentist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
427,20,,Hairdresser/Cosmetician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
428,21,,Dental Conscious Sedation Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
429,22,,Dental Anesthesia/Conscious Sedation Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
430,23,,Physician Assistant,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
499,23,TEMP,Physician Assistant Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
853,23,RES,Resident Physician Assistant,Department of Public Health,06134,,
431,25,,Barber,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
432,26,,Respiratory Care Practitioner,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
496,26,TEMP,Respiratory Care Practitioner Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
433,27,,Marital and Family Therapist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
434,28,,Radiographer,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
435,29,,Massage Therapist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
494,29,TEMP,Massage Therapist Temp Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
413,3,,Optometrist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
683,DCFH,,Family Child Care Home,Office of Early Childhood,06134-0308,"410 Capitol Ave.
Hartford, CT 06134-0308
(41.763858156, -72.688698524)",P.O. Box 340308
684,DCFS,,Family Child Care Substitute,Office of Early Childhood,06134-0308,"410 Capitol Ave.
Hartford, CT 06134-0308
(41.763858156, -72.688698524)",P.O. Box 340308
481,1,MSF,Medical School Faculty License,Department of Public Health,06134,,
421,13,,Dental Hygienist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
416,8,,Psychologist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
478,42,,Asbestos Consultant-Project Monitor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
831,BNGO,RPT,BINGO REPORT,Department of Consumer Protection,06103,,
894,CASE,,CASINO CLASS I EMPLOYEE,Department of Consumer Protection,06103,,
966,CTBS,,CT Bank Subsidiary,Department of Banking,,,
924,DAN,,Debt Adjuster Non-Profit,Department of Banking,,,
856,DSCH,,Community Companion Home,Department of Developmental Services,06106,,
415,7,,Chiropractor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
680,DCGH,,Group Child Care Home,Office of Early Childhood,06134-0308,"410 Capitol Ave.
Hartford, CT 06134-0308
(41.763858156, -72.688698524)",P.O. Box 340308
298,HCL,,HEALTH CLUB,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
412,2,,Dentist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
336,DEV,,OPERATOR OF WEIGHING & MEASURING DEVICES,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
337,DLR,,DEALER OF WEIGHING & MEASURING DEVICES,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
1000,APEN,,Appearance Enhancement,Department of Public Health,,,
464,40,,Asbestos Consultant-Insp/Mgmt Planner,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
926,DN,,Debt Negotiation,Department of Banking,,,
714,DMFR,,SEALED TICKET MACHINE MANUFACTURER,Department of Consumer Protection,06103,"165 Capitol Ave
Hartford, CT 6106
(41.762504205, -72.681167795)",
928,LG,,Lead Generator,Department of Banking,,,
857,DSLA,,Community Living Arrangement,Department of Developmental Services,06106,,
858,DSMA,,Medication Administration Certification,Department of Developmental Services,06105,,
863,DSMF,,Medication Administration for Individual/Family,Department of Developmental Services,06105,,
864,DSMI,,Medication Administration Endorsed Instructor,Department of Developmental Services,06105,,
868,DSXX,,DDS Inquiry,Department of Developmental Services,06106,,
540,MAT,,Maternity Hospital,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
941,BD,,Broker - Dealer,Department of Banking,,,
771,DWBT,,Backflow Prevention Device Tester,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
770,DWCI,,Cross Connection Survey Inspector,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
759,DWDO,C1,Distribution System Operator - Class I,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
628,EXPL,,EXPLOSIVES,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
629,AMSE,,AMUSEMENT ENGINEER,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
630,AMSC,,CARNIVAL,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
631,CIRC,,CIRCUS,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
635,FWKS,,FIREWORKS SHOOTER,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
636,FWKD,,FIREWORKS DISPLAY,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
637,SPES,,SPECIAL EFFECTS SHOOTER,Department of Public Safety,06457,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
782,DWDO,C2,Distribution System Operator - Class II,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
934,MS,,Mortgage Servicer,Department of Banking,,,
845,CHR,EXEMPT,PUBLIC CHARITY-EXEMPT FROM FINANCIAL REQUIREMENTS,Department of Consumer Protection,06103,,Suite 901
783,DWDO,C3,Distribution System Operator - Class III,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
769,DWDO,CND,Distribution System Operator Conditional,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
784,DWDO,OIT,Distribution System Operator in Training,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
768,DWDO,LMT,Distribution System Operator Limited,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
39,PCY,,PHARMACY,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
510,18,TEMP,Speech and Language Pathologist Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
850,19,RES,Resident Podiatrist,Department of Public Health,06134,,
849,2,RES,Resident Dentist,Department of Public Health,06134,,
914,BDN,,Debt Negotiation Branch,Department of Banking,,,
634,CRNA,,CRANE OPERATOR APPRENTICE,Department of Administrative Services,06103,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
11,CSL,,CONTROLLED SUBSTANCE LABORATORY,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
661,DMCR,,DEMOLITION CONTRACTOR,Department of Administrative Services,06103,"1111 Country Club Road
Middletown, CT 6457
(41.567695868, -72.729129167)",
767,DWDO,PRV,Distribution System Operator Provisional,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
766,DWPO,PRV,Water Treatment Plant Operator  Provisional,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
751,DWPO,C1,Water Treatment Plant Operator - Class I,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
779,DWPO,C2,Water Treatment Plant Operator - Class II,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
780,DWPO,C3,Water Treatment Plant Operator - Class III,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
781,DWPO,C4,Water Treatment Plant Operator - Class IV,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
761,DWPO,CND,Water Treatment Plant Operator - Conditional,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
762,DWPO,LMT,Water Treatment Plant Operator - Limited,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
785,DWPO,OIT,Water Treatment Plant Operator in Training,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
772,DWSO,,Small Water System Operator,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
774,DWSO,CND,Small Water System Operator Conditional,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
773,DWSO,PRV,Small Water System Operator Provisional,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
786,DWTI,,Tester - Inspector (Legacy),Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
829,ECD,,DEALER OF ELECTRONIC NICOTINE DELIVERY SYSTEM OR VAPOR PRODUCT,Department of Consumer Protection,06103,,
519,ECE,,ELECTRICAL CONTINUING EDUCATION PROVIDER,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
518,ECF,,EXTENDED CARE FACILITY,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
830,ECM,,MANUFACTURER OF ELECTRONIC NICOTINE DELIVERY SYSTEM OR VAPOR PRODUCT,Department of Consumer Protection,06103,,
800,EGD,,EGG DISTRIBUTOR,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
156,ELC,C5,ELECTRICAL LIMITED CONTRACTOR,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
151,ELC,C7,ELECTRICAL LIMITED CONTRACTOR,Department of Consumer Protection,06103,"165 Capitol Avenue
Hartford, CT 6106
(41.762504205, -72.681167795)",
