inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
13316,5/27/2012,3005 SHOREHAM n/a City of Louisville KY 40216,111 - Building fire,2500,10000,12500,60000,47500
13316,5/27/2012,3003 SHOREHAM n/a City of Louisville KY 40216,111 - Building fire,5000,20000,25000,60000,35000
13395,5/28/2012,12980 I 65 North NA City of Audubon Park KY 40213,131 - Passenger vehicle fire,500,1500,2000,1500,-500
13369,5/28/2012,2827 HALE N/A City of Louisville KY 40211,112 - Fires in structure other than in a building,0,50000,50000,250000,200000
13503,5/29/2012,4400BLK MANSLICK na City of Louisville KY 40216,131 - Passenger vehicle fire,1000,3000,4000,7000,3000
13498,5/29/2012,3126 MYLANTA N/A City of Cambridge KY 40220,"113 - Cooking fire, confined to container",1000,0,1000,0,-1000
13449,5/29/2012,602 RUGGLES 323 City of Louisville KY 40208,111 - Building fire,15000,150000,165000,1250000,1085000
13795,6/1/2012,1704 LIBERTY BELL 4 City of Louisville KY 40215,111 - Building fire,25000,60000,85000,160000,75000
13865,6/2/2012,2018 VILLAGE 3 City of Kingsley KY 40205,"113 - Cooking fire, confined to container",200,0,200,0,-200
13844,6/2/2012,2905 ROWAN 0 City of Louisville KY 40212,"130 - Mobile property (vehicle) fire, other",0,10000,10000,10000,0
13955,6/3/2012,441 WILBERFORCE N/A City of Louisville KY 40203,111 - Building fire,0,1000,1000,7310230,7309230
13963,6/3/2012,1204 POTOMAC na City of Louisville KY 40214,111 - Building fire,0,700,700,700,0
14005,6/4/2012,1210 CECIL n/a City of Louisville KY 40211,111 - Building fire,10000,20000,30000,46480,16480
14276,6/6/2012,1614 CYPRESS na City of Louisville KY 40210,131 - Passenger vehicle fire,0,2500,2500,2500,0
14274,6/6/2012,1812 LYTLE N/A City of Louisville KY 40203,111 - Building fire,1000,30000,31000,30000,-1000
14236,6/6/2012,305 E KENTUCKY 1 City of Louisville KY 40203,"113 - Cooking fire, confined to container",150,0,150,0,-150
14330,6/7/2012,4733 S 1ST 1 City of Louisville KY 40214,"113 - Cooking fire, confined to container",2000,2000,4000,2000,-2000
14380,6/7/2012,S 30TH City of Louisville KY 40211,"130 - Mobile property (vehicle) fire, other",0,500,500,500,0
14484,6/8/2012,1200 MAPLE n/a City of Louisville KY 40210,111 - Building fire,5000,5000,10000,1168600,1158600
14410,6/8/2012,1507 S 35TH n/a City of Louisville KY 40211,111 - Building fire,10000,20000,30000,56410,26410
14392,6/8/2012,4303 GREENWOOD na City of Louisville KY 40211,111 - Building fire,0,12000,12000,40000,28000
14532,6/9/2012,170 BRECKINRIDGE n/a City of Cambridge KY 40220,"160 - Special outside fire, other",0,250,250,1000,750
14546,6/9/2012,1031 EVERETT 2 City of Louisville KY 40204,111 - Building fire,500,500,1000,500000,499000
14594,6/10/2012,S 7TH City of Louisville KY 40202,131 - Passenger vehicle fire,0,2500,2500,2500,0
14773,6/11/2012,S 3RD City of Louisville KY 40202,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
14867,6/12/2012,CONN City of Louisville KY 40215,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
14892,6/13/2012,2320 COLUMBIA N/A City of Louisville KY 40212,111 - Building fire,0,20000,20000,20000,0
14892,6/13/2012,2319 ROWAN N/A City of Louisville KY 40212,111 - Building fire,0,500,500,31500,31000
14892,6/13/2012,2319 Rowan N/A City of Louisville KY 40212,161 - Outside storage fire,0,1000,1000,2000,1000
14892,6/13/2012,2319 ROWAN N/A City of Louisville KY 40212,111 - Building fire,0,5000,5000,18000,13000
14892,6/13/2012,2318 COLUMBIA N/A City of Louisville KY 40212,111 - Building fire,4000,25000,29000,45000,16000
14988,6/13/2012,102 KENWOOD 44 City of Louisville KY 40214,"113 - Cooking fire, confined to container",50,1000,1050,200000,198950
14937,6/13/2012,1719 W KENTUCKY room City of Louisville KY 40210,111 - Building fire,150,0,150,NULL,NULL
15011,6/14/2012,1739 BOLLING room City of Louisville KY 40210,111 - Building fire,6000,10000,16000,21000,5000
15091,6/15/2012,HIAWATHA City of Louisville KY 40209,131 - Passenger vehicle fire,0,3000,3000,3000,0
15268,6/16/2012,657 BARRET N/A City of Louisville KY 40204,"130 - Mobile property (vehicle) fire, other",0,200,200,200,0
15340,6/17/2012,2600 LE BLANC 8 City of Louisville KY 40206,111 - Building fire,4000,10000,14000,520000,506000
15422,6/18/2012,S 3RD City of Louisville KY 40214,131 - Passenger vehicle fire,0,500,500,10000,9500
15405,6/18/2012,300 S Clay 303 City of Louisville KY 40202,111 - Building fire,1500,2000,3500,300000,296500
15518,6/19/2012,447 S 32ND na City of Louisville KY 40212,111 - Building fire,10000,20000,30000,20000,-10000
15735,6/21/2012,4411 S 2ND n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,2000,2000,4000,2000
15697,6/21/2012,913 DRESDEN na City of Louisville KY 40215,111 - Building fire,0,10000,10000,70000,60000
15691,6/21/2012,1835 CARL NA City of Louisville KY 40215,161 - Outside storage fire,0,200,200,300,100
15779,6/21/2012,13200 I 65 North n/a City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,4000,4000,4000,0
15761,6/21/2012,404 S 41ST N/A City of Louisville KY 40212,111 - Building fire,0,10000,10000,60000,50000
15758,6/21/2012,3819 RIVER PARK N/A City of Louisville KY 40211,111 - Building fire,0,500,500,50000,49500
15884,6/22/2012,2333 W Lee N/A City of Louisville KY 40210,"130 - Mobile property (vehicle) fire, other",0,7000,7000,26000,19000
15884,6/22/2012,S 25TH City of Louisville KY 40210,"130 - Mobile property (vehicle) fire, other",0,7000,7000,7000,0
15811,6/22/2012,315 S 10TH n\a City of Louisville KY 40203,111 - Building fire,0,100,100,100,0
15997,6/24/2012,3662 ELDERWOOD NA City of Louisville KY 40215,"160 - Special outside fire, other",200,500,700,5000,4300
16009,6/24/2012,2115 CEDAR N/A City of Louisville KY 40212,111 - Building fire,0,1000,1000,20610,19610
16009,6/24/2012,2113 CEDAR N/A City of Louisville KY 40212,111 - Building fire,15000,20610,35610,20610,-15000
16009,6/24/2012,2109 CEDAR N/A City of Louisville KY 40212,111 - Building fire,10000,22440,32440,22440,-10000
16077,6/24/2012,TAYLOR City of Louisville KY 40215,"140 - Natural vegetation fire, other",0,400,400,600,200
16064,6/24/2012,1446 BELMAR N/A City of Audubon Park KY 40213,143 - Grass fire,0,500,500,25000,24500
16009,6/24/2012,2111 CEDAR N/A City of Louisville KY 40212,111 - Building fire,5000,23580,28580,23580,-5000
16008,6/24/2012,BARDSTOWN City of Kingsley KY 40205,"160 - Special outside fire, other",20,50,70,50,-20
16153,6/25/2012,I 264 East n/a City of Louisville KY 40215,131 - Passenger vehicle fire,0,500,500,500,0
16238,6/26/2012,313 SOUTHWESTERN None City of Louisville KY 40212,111 - Building fire,0,200,200,5000,4800
16231,6/26/2012,2211 OSAGE n/a City of Louisville KY 40210,111 - Building fire,0,400,400,400,0
16494,6/28/2012,1521 HALE N/A City of Louisville KY 40210,111 - Building fire,0,15000,15000,35000,20000
16423,6/28/2012,510 W BROADWAY n/a City of Louisville KY 40202,131 - Passenger vehicle fire,0,1500,1500,10000,8500
16448,6/28/2012,950 I 264 West n/a City of Louisville KY 40209,131 - Passenger vehicle fire,0,3000,3000,3000,0
16423,6/28/2012,510 W BROADWAY n/a City of Louisville KY 40202,131 - Passenger vehicle fire,0,3500,3500,3500,0
16394,6/28/2012,W MUHAMMAD ALI City of Louisville KY 40212,131 - Passenger vehicle fire,0,2000,2000,2000,0
16388,6/28/2012,1526 HEMLOCK n/a City of Louisville KY 40211,112 - Fires in structure other than in a building,0,10000,10000,30000,20000
16724,6/30/2012,1885 BROWNSBORO N/A City of Louisville KY 40206,111 - Building fire,0,10000,10000,125000,115000
16720,6/30/2012,900 I 264 East NA City of Louisville KY 40215,131 - Passenger vehicle fire,500,2000,2500,2000,-500
16645,6/30/2012,3422 TAYLOR N/A City of Louisville KY 40215,"113 - Cooking fire, confined to container",8000,2000,10000,318000,308000
16641,6/30/2012,2316 DUMESNIL N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,1000,1000,3000,2000
16821,7/1/2012,4303 S 3RD n/a City of Louisville KY 40214,111 - Building fire,20000,40000,60000,140000,80000
16753,7/1/2012,BARDSTOWN City of Kingsley KY 40205,154 - Dumpster or other outside trash receptacle fire,0,10,10,10,0
17023,7/2/2012,651 S 39TH n/a City of Louisville KY 40211,131 - Passenger vehicle fire,0,1000,1000,1000,0
16976,7/2/2012,S 16TH City of Louisville KY 40210,111 - Building fire,1500,2500,4000,37090,33090
16974,7/2/2012,816 DRESDEN 0 City of Louisville KY 40215,134 - Water vehicle fire,0,500,500,500,0
17105,7/3/2012,2247 W KENTUCKY N/A City of Louisville KY 40210,"130 - Mobile property (vehicle) fire, other",0,2000,2000,2000,0
17102,7/3/2012,3636 MANSLICK n/a City of Louisville KY 40215,131 - Passenger vehicle fire,0,1000,1000,1000,0
17076,7/3/2012,1915 S 4TH n/a City of Louisville KY 40208,131 - Passenger vehicle fire,0,700,700,2000,1300
17066,7/3/2012,1907 S 4TH N/A City of Louisville KY 40208,131 - Passenger vehicle fire,0,500,500,2000,1500
17251,7/4/2012,2831 W MARKET 2 City of Louisville KY 40212,131 - Passenger vehicle fire,0,500,500,3000,2500
17209,7/4/2012,2016 GARLAND n/a City of Louisville KY 40210,142 - Brush or brush-and-grass mixture fire,0,5000,5000,10000,5000
17190,7/4/2012,VIRGINIA NA City of Louisville KY 40211,131 - Passenger vehicle fire,0,2000,2000,2000,0
17265,7/5/2012,413 MARRET n/a City of Louisville KY 40208,111 - Building fire,0,3000,3000,73000,70000
17350,7/5/2012,1033 S JACKSON N/A City of Louisville KY 40203,131 - Passenger vehicle fire,200,1000,1200,2000,800
17303,7/5/2012,S 6TH City of Louisville KY 40202,131 - Passenger vehicle fire,1000,5000,6000,5000,-1000
17284,7/5/2012,S 19TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,10000,10000,10000,0
17265,7/5/2012,413 MARRET n/a City of Louisville KY 40208,111 - Building fire,0,10000,10000,10000,0
17449,7/6/2012,3208 DUBLIN N/A City of Louisville KY 40206,154 - Dumpster or other outside trash receptacle fire,0,100,100,100,0
17395,7/6/2012,2626 W KENTUCKY n/a City of Louisville KY 40211,111 - Building fire,0,250,250,50000,49750
17388,7/6/2012,4305 GREENWOOD n/a City of Louisville KY 40211,111 - Building fire,0,500,500,50000,49500
17625,7/7/2012,2311 CRITTENDEN n/a City of Louisville KY 40217,131 - Passenger vehicle fire,0,8000,8000,8000,0
17564,7/7/2012,3283 TAYLOR n/a City of Louisville KY 40215,111 - Building fire,500,2000,2500,50000,47500
17533,7/7/2012,138 E WELLINGTON n/a City of Louisville KY 40214,111 - Building fire,1000,4000,5000,74600,69600
17659,7/8/2012,3206 TAYLOR N/A City of Louisville KY 40215,112 - Fires in structure other than in a building,0,150,150,200,50
17659,7/8/2012,3204 TAYLOR N/A City of Louisville KY 40215,111 - Building fire,4000,12000,16000,18000,2000
17823,7/9/2012,1224 I 64 West N/A City of Louisville KY 40212,131 - Passenger vehicle fire,0,1500,1500,1500,0
17946,7/10/2012,3532 GREENWOOD N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,5500,5500,5500,0
18102,7/12/2012,801 W KENWOOD na City of Louisville KY 40214,111 - Building fire,15000,30000,45000,175000,130000
18231,7/13/2012,5105 S 1ST 1 City of Louisville KY 40214,111 - Building fire,50,50,100,150000,149900
18215,7/13/2012,4625 S 2ND N/A City of Louisville KY 40214,161 - Outside storage fire,0,50,50,50,0
18204,7/13/2012,226 W SOUTHLAND n/a City of Louisville KY 40214,111 - Building fire,40000,40000,80000,120000,40000
18162,7/13/2012,W SHIPP City of Louisville KY 40208,131 - Passenger vehicle fire,0,500,500,3000,2500
18159,7/13/2012,7326 SOUTHSIDE 6C City of Louisville KY 40214,111 - Building fire,2000,5000,7000,10000,3000
18239,7/14/2012,3511 GRAND N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,4000,4000,4000,0
18236,7/14/2012,S 39TH City of Louisville KY 40212,131 - Passenger vehicle fire,0,4000,4000,4000,0
18298,7/14/2012,3538 BROCKTON 2 City of Cambridge KY 40220,"118 - Trash or rubbish fire, contained",0,100,100,250000,249900
18278,7/14/2012,3618 NICHOLS MEADOW NA City of Louisville KY 40215,111 - Building fire,1000,2000,3000,90000,87000
18258,7/14/2012,1040 CHEROKEE E4 City of Louisville KY 40204,111 - Building fire,0,1000,1000,50000,49000
18489,7/16/2012,2932 S 5TH N/A City of Louisville KY 40208,111 - Building fire,10000,10000,20000,80000,60000
18452,7/16/2012,200 E BROADWAY n/a City of Louisville KY 40202,131 - Passenger vehicle fire,0,4000,4000,4000,0
18446,7/16/2012,2615 W JEFFERSON n/a City of Louisville KY 40212,111 - Building fire,0,500,500,28000,27500
18605,7/17/2012,2136 W GAULBERT n/a City of Louisville KY 40210,131 - Passenger vehicle fire,0,500,500,500,0
18592,7/17/2012,539 LOUIS COLEMAN JR 6 City of Louisville KY 40211,131 - Passenger vehicle fire,500,5000,5500,5000,-500
18580,7/17/2012,S HANCOCK City of Louisville KY 40203,111 - Building fire,0,100,100,1000,900
18641,7/18/2012,433 S 2ND 411 City of Louisville KY 40202,"113 - Cooking fire, confined to container",1200,1000,2200,300000,297800
18702,7/18/2012,223 E OAK N/A City of Louisville KY 40203,111 - Building fire,30000,50000,80000,300000,220000
18699,7/18/2012,3544 BROCKTON 3 City of Cambridge KY 40220,111 - Building fire,40000,100000,140000,346000,206000
18658,7/18/2012,2314 MEDFORD N/A City of Louisville KY 40218,154 - Dumpster or other outside trash receptacle fire,100,0,100,0,-100
18842,7/19/2012,3924 S 3RD N/A City of Louisville KY 40214,111 - Building fire,10000,40000,50000,100000,50000
18798,7/19/2012,1815 W BROADWAY room City of Louisville KY 40203,131 - Passenger vehicle fire,0,500,500,1000,500
18772,7/19/2012,140 N 4TH 5th floor City of Louisville KY 40202,131 - Passenger vehicle fire,500,4500,5000,4500,-500
18927,7/19/2012,2932 DUMESNIL na City of Louisville KY 40211,"120 - Fire in mobile prop. used as a fixed struc., other",0,500,500,1000,500
19099,7/21/2012,310 N HITE 9 City of Louisville KY 40206,111 - Building fire,0,500,500,500,0
19149,7/21/2012,S 28TH City of Louisville KY 40211,131 - Passenger vehicle fire,0,1500,1500,1500,0
19143,7/21/2012,2416 EMIL NA City of Louisville KY 40217,111 - Building fire,2500,20000,22500,116000,93500
19285,7/23/2012,1023 RUNELL n/a City of Louisville KY 40214,"130 - Mobile property (vehicle) fire, other",1000,15000,16000,85000,69000
19455,7/24/2012,1935 FRANKFORT N/A City of Louisville KY 40206,"151 - Outside rubbish, trash or waste fire",0,50,50,50,0
19375,7/24/2012,3518 GRAND n/a City of Louisville KY 40211,111 - Building fire,5000,10000,15000,60000,45000
19523,7/25/2012,515 S 20TH N/A City of Louisville KY 40203,111 - Building fire,5000,3000,8000,90000,82000
19465,7/25/2012,208 S SHAWNEE 1 City of Louisville KY 40212,111 - Building fire,0,1000,1000,100000,99000
19699,7/27/2012,1001 BARDSTOWN N/A City of Louisville KY 40204,"113 - Cooking fire, confined to container",2000,0,2000,NULL,NULL
19978,7/29/2012,434 EASTERN N/A City of Louisville KY 40217,111 - Building fire,2000,2000,4000,364120,360120
20042,7/30/2012,1235 FISCHER n/a City of Louisville KY 40204,131 - Passenger vehicle fire,0,2000,2000,2000,0
20001,7/30/2012,2300 LEXINGTON N/A City of Louisville KY 40206,111 - Building fire,0,500,500,750000,749500
19997,7/30/2012,1237 FISCHER n/a City of Louisville KY 40204,131 - Passenger vehicle fire,0,2000,2000,2000,0
20167,7/31/2012,520 MONTANA n/a City of Louisville KY 40208,111 - Building fire,2000,5000,7000,10000,3000
20211,7/31/2012,740 E KENTUCKY N/A City of Louisville KY 40203,111 - Building fire,0,1000,1000,10000,9000
20336,8/2/2012,518 N HITE n/a City of Louisville KY 40206,111 - Building fire,5000,30000,35000,110540,75540
20463,8/3/2012,1025 S 40TH n/a City of Louisville KY 40211,111 - Building fire,4000,12000,16000,35000,19000
20459,8/3/2012,724 S 38TH 2 City of Louisville KY 40211,"113 - Cooking fire, confined to container",200,0,200,NULL,NULL
20432,8/3/2012,837 S 32ND NA City of Louisville KY 40211,111 - Building fire,0,10000,10000,80000,70000
20580,8/4/2012,515 SPANISH N/A City of Louisville KY 40214,111 - Building fire,500,5000,5500,89500,84000
20665,8/5/2012,1823 W OAK N/A City of Louisville KY 40210,111 - Building fire,0,3000,3000,85000,82000
20665,8/5/2012,1821 W OAK N/A City of Louisville KY 40210,111 - Building fire,15000,35000,50000,75000,25000
20654,8/5/2012,3516 RAMONA n/a City of Cambridge KY 40220,112 - Fires in structure other than in a building,50,0,50,0,-50
20709,8/6/2012,700 W OAK REAR City of Louisville KY 40203,131 - Passenger vehicle fire,0,1000,1000,1000,0
20843,8/7/2012,S 25TH City of Louisville KY 40210,131 - Passenger vehicle fire,0,1000,1000,2500,1500
20816,8/7/2012,1344 BEECH n/a City of Louisville KY 40211,111 - Building fire,100,0,100,675000,674900
20959,8/8/2012,4307 ELLIOTT n/a City of Louisville KY 40211,111 - Building fire,0,200,200,99990,99790
20893,8/8/2012,1930 OLIVE Laundry City of Louisville KY 40210,111 - Building fire,100,500,600,500,-100
20891,8/8/2012,1009 DRESDEN n/a City of Louisville KY 40215,111 - Building fire,0,2000,2000,10000,8000
20889,8/8/2012,3747 PENWAY n/a City of Louisville KY 40211,131 - Passenger vehicle fire,0,2000,2000,2000,0
21006,8/9/2012,3027 GREENWOOD 000A City of Louisville KY 40211,111 - Building fire,500,1000,1500,90000,88500
21156,8/10/2012,SOUTHERN City of Louisville KY 40214,131 - Passenger vehicle fire,0,1500,1500,8000,6500
21209,8/11/2012,S 4TH City of Louisville KY 40208,"113 - Cooking fire, confined to container",0,400,400,1000000,999600
21303,8/12/2012,2015 ROWAN N/A City of Louisville KY 40203,111 - Building fire,0,15000,15000,50000,35000
21303,8/12/2012,2013 ROWAN N/A City of Louisville KY 40203,111 - Building fire,0,5000,5000,65000,60000
21306,8/12/2012,2530 ROWAN N/A City of Louisville KY 40212,111 - Building fire,250,3000,3250,80000,76750
21303,8/12/2012,2013 ROWAN N/A City of Louisville KY 40203,112 - Fires in structure other than in a building,0,500,500,500,0
21292,8/12/2012,446 N 26TH 1 thru 4 City of Louisville KY 40212,"160 - Special outside fire, other",30,0,30,0,-30
21251,8/12/2012,232 N CAMPBELL N/A City of Louisville KY 40206,"151 - Outside rubbish, trash or waste fire",250,250,500,250,-250
21358,8/13/2012,1000 E MUHAMMAD ALI N/A City of Louisville KY 40204,111 - Building fire,10000,15000,25000,38000,13000
21405,8/13/2012,700 DOUGLAS n/a City of Louisville KY 40214,"151 - Outside rubbish, trash or waste fire",0,300,300,300,0
21500,8/14/2012,16 HIGHWOOD none City of Louisville KY 40206,"113 - Cooking fire, confined to container",250,1000,1250,300000,298750
21458,8/14/2012,1780 I 264 East N/A City of Cambridge KY 40220,132 - Road freight or transport vehicle fire,0,300,300,300,0
21533,8/15/2012,2920 BANK None City of Louisville KY 40212,111 - Building fire,0,10000,10000,22500,12500
21599,8/15/2012,538 E ORMSBY n/a City of Louisville KY 40203,111 - Building fire,2000,25000,27000,60000,33000
21672,8/16/2012,2929 GARLAND N/A City of Louisville KY 40211,138 - Off-road vehicle or heavy equipment fire,0,10000,10000,10000,0
