Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
TENNESSEE,2019,1,,-,2,,,-,,-,,-,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2019,1,,-,1,,,-,,-,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
RHODE ISLAND,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2019,1,,-,4,,,-,,-,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2019,1,,-,6,,,-,,-,,-,4,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2019,1,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2019,1,,-,7,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2019,1,,-,3,,,-,,-,,-,2,,,-,2,,"KANSAS
(38.345528, -98.201847)",
CALIFORNIA,2019,1,,-,28,,,-,,-,,-,6,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
IOWA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2019,1,,-,22,,,-,,-,,-,7,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2019,1,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2019,1,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2019,1,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2019,1,,-,5,,,-,,-,,-,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2019,1,,-,8,,,-,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2019,1,,-,3,,,-,,-,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2019,1,,-,2,,,-,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEVADA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2019,1,,-,8,,,-,,-,,-,11,,,-,,-,"TEXAS
(31.827233, -99.423022)",
COLORADO,2019,1,,-,6,,,-,,-,,-,3,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MONTANA,2019,1,,-,2,,,-,,-,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2019,1,,-,4,,,-,,-,,-,3,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
DELAWARE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2019,1,,-,6,,,-,1,,,-,3,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MOUNTAIN,2019,4,,-,11,,,-,4,,,-,4,,1,,7,,,MOUNTAIN
FLORIDA,2019,1,,-,10,,,-,2,,,-,3,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2019,1,,-,3,,,-,,-,,-,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2019,1,,-,5,,,-,1,,,-,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2019,1,,-,3,,,-,,-,,-,2,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2019,1,,-,4,,,-,,-,,-,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
DISTRICT OF COLUMBIA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2019,1,1,,3,,1,,,-,,-,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2019,1,,-,3,,,-,,-,,-,2,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2019,1,,-,5,,,-,1,,,-,4,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
UTAH,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2019,1,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
US RESIDENTS,2019,2,,-,110,,3,,16,,1,,41,,2,,12,,,
NEW ENGLAND,2019,2,,-,14,,1,,2,,,-,4,,1,,,-,,
MIDDDLE ATLANTIC,2019,2,,-,13,,,-,2,,,-,7,,,-,,-,,
NEW YORK CITY,2019,2,,-,4,,,-,1,,,-,3,,,-,,-,,
EAST NORTH CENTRAL,2019,2,,-,10,,,-,1,,,-,7,,,-,,-,,
WEST NORTH CENTRAL,2019,2,,-,5,,,-,1,,,-,4,,,-,2,,,
SOUTH ATLANTIC,2019,2,,-,20,,1,,6,,,-,8,,,-,2,,,
EAST SOUTH CENTRAL,2019,2,,-,5,,,-,,-,,-,4,,,-,3,,,
WEST SOUTH CENTRAL,2019,2,,-,9,,,-,,-,,-,11,,,-,2,,,
MOUNTAIN,2019,2,,-,11,,,-,1,,,-,5,,,-,2,,,
PACIFIC,2019,2,,-,48,,1,,3,,1,,13,,1,,1,,,
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
AMERICAN SAMOA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
TOTAL,2019,2,,-,110,,3,,16,,1,,41,,2,,12,,,
SOUTH DAKOTA,2019,2,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2019,2,,-,8,,1,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2019,2,,-,5,,,-,1,,,-,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2019,2,,-,4,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH CAROLINA,2019,2,,-,4,,,-,,-,,-,3,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2019,2,,-,4,,,-,,-,,-,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2019,2,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2019,2,,-,3,,,-,,-,,-,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2019,2,,-,2,,,-,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2019,2,,-,6,,,-,1,,,-,4,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2019,2,,-,10,,,-,5,,,-,3,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2019,2,,-,2,,,-,,-,,-,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2019,2,,-,5,,,-,,-,,-,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
ALABAMA,2019,2,,-,3,,,-,,-,,-,2,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
WEST VIRGINIA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2019,2,,-,6,,,-,,-,,-,4,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2019,2,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2019,2,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2019,2,,-,3,,,-,,-,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
CONNECTICUT,2019,2,,-,6,,,-,1,,,-,3,,1,,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2019,2,,-,3,,1,,,-,,-,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2019,2,,-,8,,,-,,-,,-,11,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MAINE,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MONTANA,2019,2,,-,2,,,-,,-,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
IDAHO,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEVADA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
CALIFORNIA,2019,2,,-,28,,1,,2,,1,,6,,1,,1,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OREGON,2019,2,,-,8,,,-,1,,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
DISTRICT OF COLUMBIA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALASKA,2019,2,,-,3,,,-,,-,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2019,2,,-,4,,,-,,-,,-,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
VERMONT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2019,2,,-,22,,,-,,-,,-,7,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
LOUISIANA,2019,2,,-,3,,,-,,-,,-,2,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GEORGIA,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW YORK,2019,2,,-,7,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2019,2,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2019,2,,-,3,,,-,,-,,-,2,,,-,2,,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2019,2,,-,3,,,-,,-,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
COLORADO,2019,2,,-,6,,,-,1,,,-,3,,,-,1,,"COLORADO
(38.841772, -106.132562)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MARYLAND,2019,2,,-,5,,,-,1,,,-,4,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2019,2,,-,1,,,-,,-,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2019,2,,-,1,,,-,,-,,-,2,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
US RESIDENTS,2019,3,5,,111,,12,,22,,1,,41,,6,,22,,,US RESIDENTS
NEW ENGLAND,2019,3,,-,14,,2,,2,,,-,4,,1,,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,3,1,,13,,1,,2,,,-,7,,,-,1,,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,3,,-,4,,,-,1,,,-,3,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,3,1,,11,,1,,1,,,-,7,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,3,,-,5,,,-,1,,,-,4,,,-,3,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,3,,-,20,,3,,8,,,-,8,,2,,5,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,3,,-,5,,1,,,-,1,,4,,1,,3,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,3,1,,9,,1,,,-,,-,11,,,-,4,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,3,,-,11,,,-,3,,,-,4,,1,,5,,,MOUNTAIN
PACIFIC,2019,3,2,,48,,3,,5,,,-,13,,1,,1,,,PACIFIC
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,3,5,,111,,12,,22,,1,,41,,6,,22,,,TOTAL
NEW HAMPSHIRE,2019,3,,-,2,,,-,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2019,3,,-,5,,,-,1,,,-,4,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2019,3,,-,8,,2,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2019,3,,-,17,,,-,6,,,-,5,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2019,3,,-,2,,1,,,-,,-,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2019,3,,-,3,,,-,,-,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2019,3,,-,3,,,-,,-,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2019,3,2,,22,,2,,,-,,-,7,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2019,3,,-,1,,,-,,-,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
DELAWARE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2019,3,,-,6,,,-,1,,,-,4,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGINIA,2019,3,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2019,3,1,,4,,1,,,-,,-,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2019,3,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
DISTRICT OF COLUMBIA,2019,3,,-,1,,,-,1,,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2019,3,,-,4,,1,,,-,,-,3,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2019,3,,-,4,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2019,3,,-,3,,,-,,-,,-,2,,,-,2,,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2019,3,,-,3,,,-,,-,1,,2,,1,,2,,"ALABAMA
(32.839182, -86.631125)",
OHIO,2019,3,1,,5,,1,,,-,,-,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2019,3,,-,6,,,-,1,,,-,3,,1,,,-,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2019,3,1,,3,,1,,,-,,-,2,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
CALIFORNIA,2019,3,,-,28,,1,,4,,,-,6,,1,,1,,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2019,3,,-,7,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
COLORADO,2019,3,,-,6,,,-,3,,,-,3,,1,,3,,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2019,3,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2019,3,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2019,3,,-,8,,,-,,-,,-,11,,,-,1,,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2019,3,,-,3,,,-,,-,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2019,3,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2019,3,,-,2,,,-,,-,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2019,3,,-,5,,,-,1,,,-,4,,2,,1,,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2019,3,,-,3,,2,,,-,,-,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSOURI,2019,3,,-,3,,,-,,-,,-,3,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
MAINE,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NORTH DAKOTA,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2019,3,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2019,3,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2019,3,,-,8,,,-,1,,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
