EventDate,Activity,Site_Serve,the_geom,LONG,LAT
11/18/2019,Seniors - Streetwise,JASA NORC,POINT (-74.00049315092976 40.57383770966047),-74.0004931509,40.5738377097
11/15/2019,Seniors - Streetwise,RAIN - Mt Carmel,POINT (-73.88155776098021 40.85377248544141),-73.881557761,40.8537724854
11/27/2019,Seniors - Streetwise,Royal Adult Day Care Center,POINT (-73.82313149228754 40.760102440253426),-73.8231314923,40.7601024403
11/20/2019,Seniors - Streetwise,Selfhelp Austin Street Senior Center,POINT (-73.84733504063132 40.722119452505396),-73.8473350406,40.7221194525
11/22/2019,Seniors - Streetwise,Selfhelp Latimer Garden Senior Center,POINT (-73.82993507078527 40.76604408428864),-73.8299350708,40.7660440843
11/6/2019,Seniors - Streetwise,West Village Houses,POINT (-74.0086957723661 40.73237319102476),-74.0086957724,40.732373191
10/4/2019,Seniors - Streetwise,Albany Neighborhood Senior Center,POINT (-73.9389738851584 40.67388011396942),-73.9389738852,40.673880114
10/29/2019,Seniors - Streetwise,Grand Street Settlement Senior Center,POINT (-73.98244978583428 40.718327259647246),-73.9824497858,40.7183272596
10/15/2019,Seniors - Streetwise,HANAC Ravenswood Senior Center,POINT (-73.9376069029642 40.76322955578141),-73.937606903,40.7632295558
10/30/2019,Seniors - Streetwise,House of Jacob Senior Center,POINT (-73.97759675110292 40.61404957638483),-73.9775967511,40.6140495764
10/2/2019,Seniors - Streetwise,JASA Manhattan Beach Senior Center,POINT (-73.9535278273121 40.580185276244016),-73.9535278273,40.5801852762
10/8/2019,Seniors - Streetwise,Narrows Senior Center,POINT (-74.00288243704084 40.636978956268194),-74.002882437,40.6369789563
10/28/2019,Seniors - Streetwise,Paradise Social Adult Day Care Center,POINT (-73.92534918597289 40.65245182001344),-73.925349186,40.65245182
10/24/2019,Seniors - Streetwise,RAIN Inwood Neighborhood Senior Center,POINT (-73.92312838457222 40.86583769712272),-73.9231283846,40.8658376971
10/16/2019,Seniors - Streetwise,Selfhelp Clearview Senior Center,POINT (-73.78379773291152 40.776380314869044),-73.7837977329,40.7763803149
10/21/2019,Seniors - Streetwise,Shelton Senior Center,POINT (-73.799060972058 40.70657031805565),-73.7990609721,40.7065703181
10/15/2019,Seniors - Streetwise,RAIN - Tolentine Senior Center,POINT (-73.90607682820337 40.861502175924144),-73.9060768282,40.8615021759
10/7/2019,Seniors - Streetwise,TSA Bensonhurst Corps Senior Center,POINT (-73.99489980847488 40.61444689679277),-73.9948998085,40.6144468968
9/11/2019,Seniors - Streetwise,Allen Senior Center,POINT (-73.78314731995951 40.69005357355574),-73.78314732,40.6900535736
9/9/2019,Seniors - Streetwise,Angela's Adult Day Care,POINT (-73.9974929241485 40.71574300567304),-73.9974929241,40.7157430057
9/16/2019,Seniors - Streetwise,Bay Ridge Center,POINT (-74.0236062359179 40.63437176680112),-74.0236062359,40.6343717668
9/24/2019,Seniors - Streetwise,Catherine Sheridan Senior Center,POINT (-73.88370294878717 40.751547279615),-73.8837029488,40.7515472796
9/18/2019,Seniors - Streetwise,Centerlight Flushing Center,POINT (-73.82933538658511 40.761980971569905),-73.8293353866,40.7619809716
9/24/2019,Seniors - Streetwise,Encore Community Services Senior Center,POINT (-73.98531187550806 40.761143041294424),-73.9853118755,40.7611430413
9/4/2019,Seniors - Streetwise,Greenwich House Center on the Square,POINT (-73.99770520248003 40.73178062977849),-73.9977052025,40.7317806298
9/26/2019,Seniors - Streetwise,Hestia Adult Social Day Care Center,POINT (-73.80686194874039 40.730419222263464),-73.8068619487,40.7304192223
9/16/2019,Seniors - Streetwise,Independence Senior Center,POINT (-73.96370166766062 40.70550758041671),-73.9637016677,40.7055075804
9/27/2019,Seniors - Streetwise,JASA Scheuer House of Coney Island Senior Center,POINT (-74.00158742518607 40.573143264774686),-74.0015874252,40.5731432648
9/26/2019,Seniors - Streetwise,Mount Ararat Senior Center,POINT (-73.91284908701772 40.67316611790857),-73.912849087,40.6731661179
9/12/2019,Seniors - Streetwise,Penn Wortman Neighborhood Center,POINT (-73.88865218102525 40.65596566327737),-73.888652181,40.6559656633
9/18/2019,Seniors - Streetwise,Woodhaven Senior Center,POINT (-73.85294626526651 40.690454878298894),-73.8529462653,40.6904548783
8/21/2019,Seniors - Streetwise,Alpha Phi Alpha Senior Center,POINT (-73.74000433610287 40.69510516357307),-73.7400043361,40.6951051636
8/27/2019,Seniors - Streetwise,Bao Kang Adult Day Care Center,POINT (-73.83172585917302 40.75167246205523),-73.8317258592,40.7516724621
8/8/2019,Seniors - Streetwise,Benjamin Rosenthal Inovative Senior Center,POINT (-73.82033118673401 40.75176504305723),-73.8203311867,40.7517650431
8/19/2019,Seniors - Streetwise,CCBQ Lodge Senior Center,POINT (-73.99728791754816 40.61208645555049),-73.9972879175,40.6120864556
8/21/2019,Seniors - Streetwise,Christopher Blenman Senior Center,POINT (-73.93891600573598 40.66228888726015),-73.9389160057,40.6622888873
8/12/2019,Seniors - Streetwise,DellaMonica Steinway Senior Center,POINT (-73.93001061329988 40.764284661918474),-73.9300106133,40.7642846619
8/30/2019,Seniors - Streetwise,Mott Street Senior Center,POINT (-73.99589459520499 40.720499628915746),-73.9958945952,40.7204996289
8/6/2019,Seniors - Streetwise,PSS Davidson Senior Center,POINT (-73.90182099650694 40.8228119523676),-73.9018209965,40.8228119524
8/20/2019,Seniors - Streetwise,QCH Rego Park Senior Center,POINT (-73.86604357865883 40.73146943235758),-73.8660435787,40.7314694324
8/16/2019,Seniors - Streetwise,RAIN - Boston Rd,POINT (-73.86661631607578 40.86173228688855),-73.8666163161,40.8617322869
8/13/2019,Seniors - Streetwise,Senior Center at Casabe Housing,POINT (-73.93903729712845 40.80170327257144),-73.9390372971,40.8017032726
8/2/2019,Seniors - Streetwise,Sirovich Senior Center,POINT (-73.98504077124792 40.730657075746116),-73.9850407712,40.7306570757
7/8/2019,Seniors - Streetwise,92nd Street Y,POINT (-73.95298904503129 40.783037404598794),-73.952989045,40.7830374046
7/22/2019,Seniors - Streetwise,A Philip Randolph Senior Center,POINT (-73.93631676248309 40.821340292147454),-73.9363167625,40.8213402921
7/10/2019,Seniors - Streetwise,Allen Street Neighborhood Center,POINT (-73.98896419922454 40.72213230403952),-73.9889641992,40.722132304
7/15/2019,Seniors - Streetwise,Carter Burden Senior Center,POINT (-73.94047964863145 40.792306074546865),-73.9404796486,40.7923060745
7/17/2019,Seniors - Streetwise,Carver Senior Center,POINT (-73.95085282482177 40.79083978896479),-73.9508528248,40.790839789
7/12/2019,Seniors - Streetwise,JASA Senior Alliance Center,POINT (-73.9541269079494 40.57802535671775),-73.9541269079,40.5780253567
7/18/2019,Seniors - Streetwise,Judith C White Neighborhood Senior Center,POINT (-74.00307780377152 40.73249973757516),-74.0030778038,40.7324997376
7/24/2019,Seniors - Streetwise,Meltzer Senior Center,POINT (-73.98740195641832 40.72282656794345),-73.9874019564,40.7228265679
7/26/2019,Seniors - Streetwise,Newtown Senior Center,POINT (-73.8796864972161 40.737204567433736),-73.8796864972,40.7372045674
7/29/2019,Seniors - Streetwise,Stein Senior Center,POINT (-73.98275476683904 40.73865496849791),-73.9827547668,40.7386549685
7/23/2019,Seniors - Streetwise,United Help SelfHelp Housing for the Elderly,POINT (-73.82283815001857 40.750961968630314),-73.82283815,40.7509619686
7/23/2019,Seniors - Streetwise,Village View NORC,POINT (-73.9854606485874 40.72452808919416),-73.9854606486,40.7245280892
7/24/2019,Seniors - Streetwise,Young Israel of Queens Valley Senior League,POINT (-73.81982213508803 40.72112725120044),-73.8198221351,40.7211272512
6/14/2019,Other Theater,Allen Senior Center,POINT (-73.78314731995951 40.69005357355574),-73.78314732,40.6900535736
6/10/2019,Seniors - Streetwise,Arrochar Friendship Club,POINT (-74.07537709012404 40.59671286672416),-74.0753770901,40.5967128667
6/12/2019,Seniors - Streetwise,Bronxworks,POINT (-73.90940108967838 40.81235253758167),-73.9094010897,40.8123525376
6/3/2019,Seniors - Streetwise,Brooklyn Public Library Gravesend Branch,POINT (-73.97169261275484 40.59039361485239),-73.9716926128,40.5903936149
6/12/2019,Seniors - Streetwise,Brooks Senior Center,POINT (-73.80355402721045 40.68856412144289),-73.8035540272,40.6885641214
6/28/2019,Other Theater,CCBQ Seaside Senior Center,POINT (-73.81730901796327 40.58769920075752),-73.817309018,40.5876992008
6/13/2019,Seniors - Streetwise,CCCS CYO Senior Center,POINT (-74.1344219643273 40.63492691796413),-74.1344219643,40.634926918
6/26/2019,Other Theater,CCCS West Brighton Senior Center,POINT (-74.11752332254954 40.63648525818432),-74.1175233225,40.6364852582
6/10/2019,Seniors - Streetwise,Corsi Senior Center,POINT (-73.93758975923922 40.796934906061814),-73.9375897592,40.7969349061
6/18/2019,Other Theater,Deshi Senior Center,POINT (-73.85623883402218 40.68360533677785),-73.856238834,40.6836053368
6/6/2019,Seniors - Streetwise,East Concourse Neighborhood Senior,POINT (-73.90456201144873 40.848935681325756),-73.9045620114,40.8489356813
6/5/2019,Seniors - Streetwise,Good Old Lower East Side Senior Program,POINT (-73.9834872045823 40.72448390705272),-73.9834872046,40.7244839071
6/24/2019,Seniors - Streetwise,Grand Street Settlement Senior Center,POINT (-73.98244978583428 40.718327259647246),-73.9824497858,40.7183272596
6/4/2019,Seniors - Streetwise,HANAC Ravenswood Senior Center,POINT (-73.9376069029642 40.76322955578141),-73.937606903,40.7632295558
6/25/2019,Other Theater,JASA Bay Eden Senior Center,POINT (-73.84220405381097 40.88401038300719),-73.8422040538,40.884010383
6/13/2019,Other Theater,JASA Club 76,POINT (-73.9777393962408 40.78034127942181),-73.9777393962,40.7803412794
6/11/2019,Other Theater,JASA Throggs Neck Senior Center,POINT (-73.82706146394554 40.82166185883314),-73.8270614639,40.8216618588
6/3/2019,Seniors - Streetwise,MidBronx Senior center,POINT (-73.92227666582227 40.82741123134328),-73.9222766658,40.8274112313
6/21/2019,Other Theater,Midwood Senior Center,POINT (-73.9178579973223 40.62506471348379),-73.9178579973,40.6250647135
6/24/2019,Other Theater,Northeast Bronx Senior Center,POINT (-73.82626357585183 40.83388838651446),-73.8262635759,40.8338883865
6/3/2019,Seniors - Streetwise,Open Door Senior Center,POINT (-73.99828642911754 40.71968998524792),-73.9982864291,40.7196899852
6/20/2019,Other Theater,Philip Howard Senior Center,POINT (-73.94475658585658 40.630095516909684),-73.9447565859,40.6300955169
6/13/2019,Seniors - Streetwise,Pomonok Senior Center,POINT (-73.81472561921937 40.735032361656835),-73.8147256192,40.7350323617
6/4/2019,Other Theater,PSS Davidson Center,POINT (-73.90182099650694 40.8228119523676),-73.9018209965,40.8228119524
6/5/2019,Seniors - Streetwise,Raices Corona Senior Center,POINT (-73.85570529718343 40.74355033792487),-73.8557052972,40.7435503379
6/12/2019,Other Theater,Star Senior Center,POINT (-73.93249388845106 40.853679044969276),-73.9324938885,40.853679045
6/17/2019,Seniors - Streetwise,Two Bridges Senior Apartments,POINT (-73.98987146765563 40.71063184158788),-73.9898714677,40.7106318416
6/7/2019,Other Theater,Van Dyck Senior Center,POINT (-73.90330769351746 40.66498179967414),-73.9033076935,40.6649817997
5/28/2019,Seniors-Streetwise,Stapleton Senior Center,POINT (-74.08283845985963 40.62312364618562),-74.0828384599,40.6231236462
5/22/2019,Seniors-Streetwise,AA Plus Adult Day Care Center,POINT (-73.99896474054701 40.713360575931695),-73.9989647405,40.7133605759
5/30/2019,Seniors-Streetwise,Beatrice Lewis Senior Center,POINT (-73.9352673314914 40.80446790121723),-73.9352673315,40.8044679012
5/1/2019,Seniors-Streetwise,BronxWorks Morris Innovative Senior Center,POINT (-73.90419894458894 40.85507528535617),-73.9041989446,40.8550752854
5/8/2019,Seniors-Streetwise,CCNS/Sheepshead-Nostrand NORC,POINT (-73.9408463924898 40.594971180946956),-73.9408463925,40.5949711809
5/16/2019,Seniors-Streetwise,D&H Adult Day Care Center,POINT (-74.01066876019723 40.63785957404906),-74.0106687602,40.637859574
5/23/2019,Seniors-Streetwise,Deshi Senior Center,POINT (-73.85688027613399 40.68376807781433),-73.8568802761,40.6837680778
5/6/2019,Seniors-Streetwise,Howard Beach Senior Center,POINT (-73.84115206861749 40.66437204083749),-73.8411520686,40.6643720408
5/24/2019,Seniors-Streetwise,Narrows Senior Center,POINT (-74.00288243704084 40.636978956268194),-74.002882437,40.6369789563
5/29/2019,Seniors-Streetwise,Ozone Park Senior Center,POINT (-73.8397771915462 40.68602644421602),-73.8397771915,40.6860264442
5/2/2019,Seniors-Streetwise,Queens Library Whitestone Branch,POINT (-73.81089295511065 40.7886393196713),-73.8108929551,40.7886393197
5/15/2019,Seniors-Streetwise,Queens Library Older Adults Day,POINT (-73.82098923049362 40.72581438275648),-73.8209892305,40.7258143828
5/13/2019,Seniors-Streetwise,Saratoga Spuare Senior Center,POINT (-73.91697578394009 40.685578295518994),-73.9169757839,40.6855782955
5/3/2019,Seniors-Streetwise,Teresa Moore Neighborhood Senior Center,POINT (-73.86451402428196 40.6692080398106),-73.8645140243,40.6692080398
4/9/2019,Seniors - Streetwise,AARP Chapter 4171,POINT (-73.90891636233998 40.65444367167903),-73.9089163623,40.6544436717
4/25/2019,Other Special Event,AMICO,POINT (-73.9980221548112 40.62933199599789),-73.9980221548,40.629331996
4/23/2019,Seniors - Streetwise,BCA Neighborhood Senior Center,POINT (-74.01513682585622 40.638869154802634),-74.0151368259,40.6388691548
4/24/2019,Other Special Event,Bellevue Hospital Center,POINT (-73.97686183398184 40.739172693304035),-73.976861834,40.7391726933
4/5/2019,Seniors - Streetwise,Blessing Adults Social Day Care Center,POINT (-73.80717758332233 40.72982139341779),-73.8071775833,40.7298213934
4/3/2019,Seniors - Streetwise,Brownsville Senior Center,POINT (-73.90592323188277 40.665955620222924),-73.9059232319,40.6659556202
4/1/2019,Seniors - Streetwise,Centerlight Flushing Center,POINT (-73.82933538658511 40.761980971569905),-73.8293353866,40.7619809716
4/15/2019,Seniors - Streetwise,Jefferson Senior Center,POINT (-73.93664959362016 40.79431866574063),-73.9366495936,40.7943186657
4/10/2019,Seniors - Streetwise,NY Chinatown Senior Center,POINT (-73.99920278213386 40.7160916150127),-73.9992027821,40.716091615
4/2/2019,Seniors - Streetwise,Riverway Senior Center,POINT (-73.9080242310318 40.6610825895425),-73.908024231,40.6610825895
4/16/2019,Seniors - Streetwise,Shore Hill Senior Center,POINT (-74.04017222439457 40.62211717512764),-74.0401722244,40.6221171751
4/22/2019,Grandparents Day,St. Marks Senior Center,POINT (-73.87286144898258 40.75686612596105),-73.872861449,40.756866126
4/24/2019,Other,Sunset Park Senior Citizen Center,POINT (-73.97923933411319 40.683029033516924),-73.9792393341,40.6830290335
4/25/2019,Seniors - Streetwise,Theodore Jackson Neighbor Center,POINT (-73.79410812822114 40.7044563260954),-73.7941081282,40.7044563261
4/24/2019,Grandparents Day,United Senior Center,POINT (-74.01276690913741 40.64385946243647),-74.0127669091,40.6438594624
4/9/2019,Seniors - Streetwise,Van Dyke II Senior Center,POINT (-73.90330769351746 40.66498179967414),-73.9033076935,40.6649817997
3/13/2019,Seniors - Streetwise,Alpha Phi Alpha Senior Citizens Center,POINT (-73.74000433610287 40.69510516357307),-73.7400043361,40.6951051636
3/28/2019,Seniors - Streetwise,Andrew Jackson Senior Center,POINT (-73.91799496971774 40.82143850626986),-73.9179949697,40.8214385063
3/20/2019,Seniors - Streetwise,Angela's Adult Day Care,POINT (-73.9974929241485 40.71574300567304),-73.9974929241,40.7157430057
3/28/2019,Seniors - Streetwise,Bayside Senior Center,POINT (-73.75655945292667 40.749688161076),-73.7565594529,40.7496881611
3/27/2019,Seniors - Streetwise,Bensonhurst Adult Day Center,POINT (-73.9906876806071 40.60001724326782),-73.9906876806,40.6000172433
3/11/2019,Seniors - Streetwise,Blessing Adults Social Day Care,POINT (-73.80717758332233 40.72982139341779),-73.8071775833,40.7298213934
3/29/2019,Seniors - Streetwise,CCNS Seaside Senior Center,POINT (-73.81730901796327 40.58769920075752),-73.817309018,40.5876992008
3/7/2019,Seniors - Streetwise,Cypress Hills-Fulton St Senior Center,POINT (-73.87677129232735 40.68233636804885),-73.8767712923,40.682336368
3/6/2019,Seniors - Streetwise,JASA Roy Reuther Senior Center,POINT (-73.74218707330563 40.595995497258436),-73.7421870733,40.5959954973
3/18/2019,Seniors - Streetwise,Moriah Senior Center,POINT (-73.93537913136507 40.85301647852046),-73.9353791314,40.8530164785
3/15/2019,Seniors - Streetwise,Newtown Senior Center,POINT (-73.8796864972161 40.737204567433736),-73.8796864972,40.7372045674
3/19/2019,Seniors - Streetwise,PSS Park Side Center,POINT (-73.8691060446486 40.86967006419504),-73.8691060446,40.8696700642
3/22/2019,Seniors - Streetwise,QCH Rego Park Senior Center,POINT (-73.86604357865883 40.73146943235758),-73.8660435787,40.7314694324
3/21/2019,Seniors - Streetwise,The Federation of Italian-American Organizations of Brooklyn,POINT (-74.00485098848354 40.60514205413813),-74.0048509885,40.6051420541
2/27/2019,Safer Streets,Archcare Senior Program,POINT (-74.0904785117155 40.596235353206374),-74.0904785117,40.5962353532
2/13/2019,Seniors - Streetwise,Brooklyn Community Board 11,POINT (-73.98457075518304 40.61014488265078),-73.9845707552,40.6101448827
2/25/2019,Seniors - Streetwise,CCNS The Bay Neighborhood Senior Center,POINT (-73.94082479272673 40.594965680238516),-73.9408247927,40.5949656802
2/12/2019,Seniors - Streetwise,Dellamonica Steinway Senior Center,POINT (-73.93001061329988 40.764284661918474),-73.9300106133,40.7642846619
2/8/2019,Seniors - Streetwise,Grand Street Settlement Senior Center,POINT (-73.98244978583428 40.718327259647246),-73.9824497858,40.7183272596
2/28/2019,Seniors - Streetwise,Independence Plaza Senior Center,POINT (-74.0106670952727 40.71760348618585),-74.0106670953,40.7176034862
2/22/2019,Seniors - Streetwise,JASOP Starret City,POINT (-73.87761270409283 40.648214152334575),-73.8776127041,40.6482141523
2/15/2019,Seniors - Streetwise,Korean American Senior Center of Corona,POINT (-73.85726369665446 40.75394116536193),-73.8572636967,40.7539411654
2/14/2019,Seniors - Streetwise,Korean American Senior Center of Flushing,POINT (-73.80033467116469 40.75938997662221),-73.8003346712,40.7593899766
2/27/2019,Seniors - Streetwise,North Flushing Senior Center,POINT (-73.83150284356094 40.77134923582547),-73.8315028436,40.7713492358
2/13/2019,Seniors - Streetwise,Queens Library East Flushing Branch,POINT (-73.78480350612794 40.75787709936405),-73.7848035061,40.7578770994
2/6/2019,Seniors - Streetwise,Queens Library Hollis Branch,POINT (-73.76219135719901 40.71991375143513),-73.7621913572,40.7199137514
2/13/2019,Seniors - Streetwise,RAIN - Nereid,POINT (-73.85356829316144 40.898157757410566),-73.8535682932,40.8981577574
2/26/2019,Seniors - Streetwise,RAIN Inwood Senior Center,POINT (-73.92312838457222 40.86583769712272),-73.9231283846,40.8658376971
2/7/2019,Seniors - Streetwise,Vandalia Senior Center,POINT (-73.88675969631667 40.64979902987104),-73.8867596963,40.6497990299
12/3/2018,Seniors - Streetwise,Allen Senior Center,POINT (-73.78314731995951 40.69005357355574),-73.78314732,40.6900535736
12/13/2018,Seniors - Streetwise,Catholic Charities Rosary Senior Apartments,POINT (-73.88997488945428 40.76084990093764),-73.8899748895,40.7608499009
12/7/2018,Seniors - Streetwise,HANAC Ravenswood Senior Center,POINT (-73.9376069029642 40.76322955578141),-73.937606903,40.7632295558
12/27/2018,Seniors - Streetwise,Henry Street Settlement Senior Center,POINT (-73.98323748228864 40.71326603849706),-73.9832374823,40.7132660385
12/11/2018,Seniors - Streetwise,JASA Bartow,POINT (-73.82858224608016 40.869471512751005),-73.8285822461,40.8694715128
12/28/2018,Seniors - Streetwise,JASA Brighton Beach Senior Center,POINT (-73.9535278273121 40.580185276244016),-73.9535278273,40.5801852762
12/11/2018,Seniors - Streetwise,Nan Shan Senior Center,POINT (-73.83032067450678 40.757804919398815),-73.8303206745,40.7578049194
12/6/2018,Seniors - Streetwise,NORC -Philip Howard Senior Center,POINT (-73.94475658585658 40.630095516909684),-73.9447565859,40.6300955169
12/17/2018,Seniors - Streetwise,Open Door Senior Center,POINT (-73.96156483204287 40.714605775916375),-73.961564832,40.7146057759
12/12/2018,Seniors - Streetwise,PSS Morrisania Senior Center,POINT (-73.91716420908321 40.82414969385146),-73.9171642091,40.8241496939
12/18/2018,Seniors - Streetwise,QCH Pomonok Senior Center,POINT (-73.81472561921937 40.735032361656835),-73.8147256192,40.7350323617
12/19/2018,Seniors - Streetwise,RAIN - Nereid,POINT (-73.85356829316144 40.898157757410566),-73.8535682932,40.8981577574
12/7/2018,Seniors - Streetwise,St. Marks Senior Center,POINT (-73.87286144898258 40.75686612596105),-73.872861449,40.756866126
12/19/2018,Seniors - Streetwise,Taishan Community Association,POINT (-74.00975320280585 40.63532072795324),-74.0097532028,40.635320728
12/4/2018,Seniors - Streetwise,Tilden Senior Center,POINT (-73.90527792985046 40.66347106450413),-73.9052779299,40.6634710645
12/14/2018,Seniors - Streetwise,TSA Bensonhurst Corps Senior Center,POINT (-73.99489980847488 40.61444689679277),-73.9948998085,40.6144468968
12/19/2018,Seniors - Streetwise,VNS Chinatown Community Center,POINT (-73.99871944191162 40.713945207382764),-73.9987194419,40.7139452074
12/14/2018,Seniors - Streetwise,Wayside Outreach Development,POINT (-73.90222248966023 40.66514007931318),-73.9022224897,40.6651400793
11/8/2018,Seniors - Streetwise,Bay Ridge Center,POINT (-74.0236062359179 40.63437176680112),-74.0236062359,40.6343717668
