Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP26170087,190053280,Montgomery County Police,Injury Crash,11/05/2019 02:05:00 PM,County,ARCOLA AVE,County,KERSEY RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,50CA2A68-AEBD-4B66-9B5A-9FFAE047FCD2,PEDESTRIAN,Cross/Enter at Intersection,N/A,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,NONE,39.043475,-77.03062167,"(39.043475, -77.03062167)"
DM8465001F,190052769,Takoma Park Police Depart,Injury Crash,11/02/2019 09:45:00 AM,Maryland (State),ETHAN ALLEN AVE,Municipality,JACKSON AVE,,TAKOMA PARK,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,7024367A-426C-4217-99FD-B73B4A7B83F7,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,REFLECTIVE MATERIAL,No,SUSPECTED MINOR INJURY,REFLECTIVE CLOTHING,38.97803183,-77.00134217,"(38.97803183, -77.00134217)"
EJ78580048,190053072,Gaithersburg Police Depar,Injury Crash,11/04/2019 11:15:00 AM,Municipality,GIRARD ST,County,N SUMMIT AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7670AAFF-00C5-4864-AC22-0DC1D9D77856,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.150745,-77.19236333,"(39.150745, -77.19236333)"
MCP2102001K,190052756,Montgomery County Police,Injury Crash,11/02/2019 05:40:00 AM,Maryland (State),VEIRS MILL RD,County,CENTERHILL ST,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,NONE DETECTED,3B482C54-98EE-4C90-AE18-8A4380CCDF65,PEDESTRIAN,Cross/Enter at Intersection,N/A,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.05025167,-77.07259833,"(39.05025167, -77.07259833)"
MCP30590044,190050076,Montgomery County Police,Injury Crash,10/18/2019 07:55:00 PM,,,,,DRIVEWAY OF 12801 FLACK ST,,OTHER,OTHER,CLEAR,,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,4D15B5A6-C8E9-4819-964A-B726F6FC802C,OTHER,Other,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.06451886,-77.05872728,"(39.06451886, -77.05872728)"
MCP30580036,190052818,Montgomery County Police,Injury Crash,11/02/2019 04:25:00 PM,Maryland (State),DARNESTOWN RD,County,JONES LA,,N/A,BICYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,17E43519-AF52-4263-A66E-71628737CF3A,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED SERIOUS INJURY,MC/BIKE HELMET,39.11395333,-77.26745667,"(39.11395333, -77.26745667)"
MCP27140017,190035825,Montgomery County Police,Injury Crash,07/27/2019 05:23:00 PM,,,,,DRIVE WAY IN FRONT OF 13711 GEORGIA AVE,,BICYCLIST,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,F10750D6-1ECB-4DF9-9744-9CC3B500385B,BICYCLIST,Cross/Enter not at Intersection,DART DASH,SIDEWALK,NO PED. SIGNAL,N/A,No,NO APPARENT INJURY,NONE,39.080015,-77.07357333,"(39.080015, -77.07357333)"
MCP2612003J,190052108,Montgomery County Police,Injury Crash,10/29/2019 06:45:00 PM,County,GLASGOW DR,County,ASPEN HILL RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DUSK,NO CONTROLS,NONE DETECTED,NONE DETECTED,8C5F7E52-A5E5-4D1A-9AC4-73838CA7CD29,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.07294667,-77.09568333,"(39.07294667, -77.09568333)"
MCP3127001B,190051223,Montgomery County Police,Injury Crash,10/24/2019 10:10:00 PM,Maryland (State),ROCKVILLE PIKE,County,MARINELLI RD,,N/A,PEDESTRIAN,N/A,CLEAR,DRY,DARK LIGHTS ON,OTHER,NONE DETECTED,NONE DETECTED,2E0BF5C8-0DDE-407D-9317-50ED0AA64FBB,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.04712,-77.11308667,"(39.04712, -77.11308667)"
MCP3196000X,190052654,Montgomery County Police,Injury Crash,11/01/2019 04:00:00 PM,County,DAIRYMAID DR,Maryland (State),GREAT SENECA HWY,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,UNKNOWN,NONE DETECTED,NONE DETECTED,AE09B95F-3A2B-40D2-AA46-182B9EFF3CB1,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,N/A,No,SUSPECTED MINOR INJURY,N/A,39.183935,-77.26359,"(39.183935, -77.26359)"
DD5637000L,190052661,Rockville Police Departme,Injury Crash,11/01/2019 04:28:00 PM,Municipality,LEWIS AVE,Municipality,CLAGETT DR,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,EB098C60-0EA2-4280-AFA9-D9E9DD795F12,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.0741145,-77.13326383,"(39.0741145, -77.13326383)"
MCP2411003W,190052261,Montgomery County Police,Injury Crash,10/30/2019 04:29:00 PM,County,ROCKING HORSE RD,County,RANDOLPH RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7AFE15C1-923C-4140-B47E-1118C7F9576B,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,UNKNOWN,UNKNOWN,No,SUSPECTED MINOR INJURY,NONE,39.05385636,-77.09416462,"(39.05385636, -77.09416462)"
MCP26170087,190053280,Montgomery County Police,Injury Crash,11/05/2019 02:05:00 PM,County,ARCOLA AVE,County,KERSEY RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,DB39F010-09B7-4111-8921-4814E44A1621,PEDESTRIAN,Cross/Enter at Intersection,N/A,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,NONE,39.043475,-77.03062167,"(39.043475, -77.03062167)"
EJ78370049,190053304,Gaithersburg Police Depar,Injury Crash,11/05/2019 03:45:00 PM,Municipality,RUSSELL AVE,Municipality,WATKINS MILL RD,,GAITHERSBURG,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,54463128-11C7-4A4C-AE9C-077075026DDE,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown,POSSIBLE INJURY,NONE,39.15925833,-77.21559,"(39.15925833, -77.21559)"
MCP2347002D,190052227,Montgomery County Police,Injury Crash,10/30/2019 06:55:00 AM,County,E RANDOLPH RD,County,STRATFORD GARDEN DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DUSK,NO CONTROLS,NONE DETECTED,NONE DETECTED,F2FE25C5-07DB-413A-AFE7-8CCB5197710D,PEDESTRIAN,Walking to/from school,INATTENTIVE,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.06496167,-76.97131167,"(39.06496167, -76.97131167)"
MCP3158001F,190026188,Montgomery County Police,Injury Crash,06/01/2019 06:52:00 PM,County,SNOUFFERS SCHOOL RD,Maryland (State),WOODFIELD RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,WARNING SIGN,NONE DETECTED,NONE DETECTED,A1885F74-610F-4881-9007-17A7D44A93D1,PEDESTRIAN,Other,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.16084,-77.163385,"(39.16084, -77.163385)"
MCP2877006X,190025791,Montgomery County Police,Injury Crash,05/30/2019 02:17:00 PM,County,BLAIR MILL RD,Other Public Roadway,EASTERN DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,338F8E0C-9B5C-401F-A038-A1537DD0BF83,PEDESTRIAN,Cross/Enter not at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,38.98972667,-77.030625,"(38.98972667, -77.030625)"
MCP3137000T,190025697,Montgomery County Police,Injury Crash,05/29/2019 11:31:00 PM,County,RUATAN ST,County,QUEBEC ST,,N/A,PEDESTRIAN,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,N/A,4C2FD5B4-CCE4-4BDE-A126-BD5D5AA78F29,PEDESTRIAN,Getting off/on Vehicle,DART DASH,OTHER,N/A,N/A,No,POSSIBLE INJURY,N/A,39.00036175,-76.98955953,"(39.00036175, -76.98955953)"
MCP27770058,190026711,Montgomery County Police,Injury Crash,06/04/2019 05:30:00 PM,County,HAMPDEN LA,County,ARLINGTON RD,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,B3AF41AE-A4B2-4FD3-B575-2833686A1322,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,38.98268667,-77.098305,"(38.98268667, -77.098305)"
DD56310025,190027912,Rockville Police Departme,Property Damage Crash,06/11/2019 04:35:00 PM,Other Public Roadway,ELMCROFT BLVD,Other Public Roadway,CORK TREE LA,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,A6680F48-E360-49CF-BD73-28B9B3623BB6,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,LIGHT CLOTHING,No,NO APPARENT INJURY,NONE,39.11392333,-77.16615167,"(39.11392333, -77.16615167)"
MCP3137000T,190025697,Montgomery County Police,Injury Crash,05/29/2019 11:31:00 PM,County,RUATAN ST,County,QUEBEC ST,,N/A,PEDESTRIAN,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,5AE0D82F-924C-4BCF-8FE0-8C91C7E31135,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,39.00036175,-76.98955953,"(39.00036175, -76.98955953)"
MCP2450002L,190027276,Montgomery County Police,Injury Crash,06/06/2019 08:50:00 AM,,,,,PARKING LOT OF 8720 CARROLL AVE,,PEDESTRIAN,OTHER,UNKNOWN,,DAYLIGHT,NO CONTROLS,N/A,N/A,3843ABC5-0954-46F8-B7E7-0A52E9532133,PEDESTRIAN,Walking to/from school,UNKNOWN,OTHER,NO PED. SIGNAL,UNKNOWN,No,POSSIBLE INJURY,N/A,38.997,-76.99190833,"(38.997, -76.99190833)"
MCP2247000X,15041756,Montgomery County Police,Injury Crash,08/20/2015 08:43:00 PM,,OUTLET DRIVE,,BRIGGS CHANEY ROAD,,N/A,OTHER CONVEYANCE,STRAIGHT MOVEMENT ANGLE,BLOWING SNOW,WET,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,NONE DETECTED,EABD8CE9-D580-43F0-8F99-AF4EE9238DF5,OTHER CONVEYANCE,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,AT INTERSECTION BUT NO CROSSWALK,N/A,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.08165167,-76.94591,"(39.08165167, -76.94591)"
MCP3008001Y,190027155,Montgomery County Police,Injury Crash,06/06/2019 11:13:00 PM,County,OAKVIEW DR,County,BRADDOCK RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,NONE DETECTED,569E88E7-AFF4-4F95-A5FA-3038A0B185CE,BICYCLIST,Unknown,NO IMPROPER ACTIONS,UNKNOWN,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED SERIOUS INJURY,NONE,39.0152112,-76.9768841,"(39.0152112, -76.9768841)"
DD55270029,190026677,Rockville Police Departme,Injury Crash,06/05/2019 02:30:00 PM,Maryland (State),FREDERICK RD,Municipality,WATKINS POND BLVD,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,2E9A9B38-A599-46EF-8CB3-61A36B9A5512,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.11215142,-77.16183609,"(39.11215142, -77.16183609)"
MCP158000BJ,190026998,Montgomery County Police,Injury Crash,06/06/2019 07:40:00 AM,County,CENTER CT,County,MONTGOMERY VILLAGE AVE,,N/A,BICYCLIST,SINGLE VEHICLE,CLOUDY,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,C4EC57A8-7B17-45DF-9309-5D525F2493ED,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.16800667,-77.205625,"(39.16800667, -77.205625)"
MCP30060048,190027052,Montgomery County Police,Injury Crash,06/06/2019 01:38:00 PM,Maryland (State),VEIRS MILL RD,Unknown,ENT TO WHEATON PLAZA,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,7B056FB9-5642-47E4-92EF-E0B804DFD9B5,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED SERIOUS INJURY,N/A,39.03671667,-77.05157167,"(39.03671667, -77.05157167)"
MCP3089002H,190026932,Montgomery County Police,Injury Crash,06/05/2019 07:33:00 PM,County,WAYNE AVE,County,CEDAR ST,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,20A11CBF-0128-46D2-868C-B93B3CAEC2D2,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,38.99725667,-77.02167667,"(38.99725667, -77.02167667)"
MCP2708004Y,190027751,Montgomery County Police,Injury Crash,06/10/2019 07:30:00 PM,County,NAVAHOE DR,County,10TH AVE,,N/A,OTHER CONVEYANCE,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,470E3037-D991-4A7D-B245-7CDE10CFC54D,OTHER CONVEYANCE,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,N/A,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,38.99378849,-76.99103481,"(38.99378849, -76.99103481)"
MCP30060049,190028002,Montgomery County Police,Injury Crash,06/12/2019 09:25:00 AM,Maryland (State),VEIRS MILL RD,County,CLARIDGE RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A0A1FAD0-EE78-42D8-AE7A-0E25B5ED24AD,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.04920667,-77.07006,"(39.04920667, -77.07006)"
MCP2411003F,190027727,Montgomery County Police,Injury Crash,06/10/2019 04:08:00 PM,,,,,PARKING LOT OF UNIQUE THRIFT STORE,,PEDESTRIAN,OTHER,CLOUDY,,DAYLIGHT,UNKNOWN,UNKNOWN,ALCOHOL PRESENT,BC47460A-0554-45D8-9425-11F7FFC8FA28,PEDESTRIAN,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,DARK CLOTHING,Unknown,POSSIBLE INJURY,N/A,39.05699503,-77.08239273,"(39.05699503, -77.08239273)"
MCP3173000K,190025858,Montgomery County Police,Injury Crash,06/12/2019 07:14:00 AM,County,BRUNETT AVE,Maryland (State),UNIVERSITY BLVD W,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,STOP SIGN,NONE DETECTED,NONE DETECTED,02151929-D7B2-42AC-8830-A65C0A35C41E,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,N/A,No,NO APPARENT INJURY,N/A,39.0229374,-77.01688638,"(39.0229374, -77.01688638)"
MCP3173000K,190025858,Montgomery County Police,Injury Crash,06/12/2019 07:14:00 AM,County,BRUNETT AVE,Maryland (State),UNIVERSITY BLVD W,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,STOP SIGN,NONE DETECTED,NONE DETECTED,76D55415-2161-40C9-B09F-7417751F5019,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,N/A,No,POSSIBLE INJURY,N/A,39.0229374,-77.01688638,"(39.0229374, -77.01688638)"
MCP3125001K,190028777,Montgomery County Police,Injury Crash,06/16/2019 05:00:00 PM,County,GUM SPRING DR,Other Public Roadway,MILLS FARM RD,,N/A,BICYCLIST,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,621EF9B6-4447-4917-89C5-7204C43D02C5,BICYCLIST,Playing,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.081695,-77.2299,"(39.081695, -77.2299)"
MCP137800QY,190028479,Montgomery County Police,Injury Crash,06/14/2019 05:33:00 PM,County,EAST VILLAGE AVE,County,ASQUITH WAY,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,BED695AC-9FE4-404F-9D57-FC87A6228335,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.19168333,-77.15479,"(39.19168333, -77.15479)"
MCP3034003J,190028043,Montgomery County Police,Property Damage Crash,06/12/2019 02:12:00 PM,County,CEDAR LA,Maryland (State),ROCKVILLE PIKE,,N/A,OTHER CONVEYANCE,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,FCA26E5D-C408-46A3-87F2-A2A91E047EA5,OTHER CONVEYANCE,Other,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,NO APPARENT INJURY,NONE,39.00631,-77.09784833,"(39.00631, -77.09784833)"
