Status,Solicitation Type,Solicitation Number,Solicitation Title,Issuance Date,Closing Date,Cancelled or Postponed,Construction Solicitation,LSBRP,Buyer Name,Issuing Department,Department Contact,Bid Tabulation
Closed,Informal,1028232,Green Business Certification Consulting Services,06/11/2013,07/15/2013,,N,Y,--,Department of Environmental Protection,DEP Procurement Team,
Closed,RFP,1035678,Cable Television Production Services,02/05/2014,03/07/2014,,N,N,"Song, Nola",Department of Technology Services,Donna Keating,
Closed,Informal,1057253,Maintenance of Meteorological Station and Data Processing,08/26/2015,09/04/2015,,N,Y,--,Department of Environmental Protection,Geeta Arurkar,
Closed,Informal,1048544,Rifles,10/22/2014,11/04/2014,,N,N,--,Police,Spiros Tatakis,
Closed,RFP,1051718,Circuit Court Enterprise Content Management System,03/30/2015,05/04/2015,,N,N,"DeLuca, Karen",Circuit Court,Dave Seeman,
Closed,IFB,1074934,Inmate Coveralls/Jumpsuits,04/24/2017,05/25/2017,,N,N,"Karakaya, Penny Perrus",Department of Correction & Rehabilitation,Gail David,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1074934
Closed,RFP,1028580,Information Technology (IT) Commodities,12/26/2013,02/07/2014,,N,N,"Song, Nola",Department of Technology Services,Mike Melvin,
Closed,Informal,1037656,Application Support and Help Desk Services,03/11/2014,04/02/2014,,N,Y,--,Department of Health & Human Svcs,Philip Royston,
Closed,Informal,1059154,Strategic Plan for Child Care,10/08/2015,10/23/2015,,N,N,--,Department of Health & Human Svcs,Becky Bolat,
Closed,RFP,1051784,Homeless Adult Day Center,07/22/2015,08/26/2015,,N,N,"Flood, Samuel",Department of Health & Human Svcs,Kim Ball,
Closed,Informal,1046351,Video Editor,08/27/2014,09/26/2014,,N,Y,--,County Council,Mary Jane Berry,
Closed,RFP,1043921,Cleaning Supplies for Swimming Pools,10/13/2014,11/13/2014,,N,N,"DeLuca, Karen",Department of Recreation,Douglas Fox,
Closed,Informal,1042048,Montgomery County Continuum of Care Coordinator to prevent and End Homelessness,05/29/2014,06/13/2014,,N,N,--,Department of Health & Human Svcs,Nadim Khan,
Closed,Informal,1043126,"Sigtronics SE-8 Series Headsets (or equal), Repair Service and Parts",09/05/2014,09/12/2014,,N,N,--,Fire & Rescue Services,Battalion Chief Michael Baltrotsky,
Closed,RFP,1027232,Internal Audit Services,05/24/2013,06/24/2013,,N,N,"Thomas, Michael",County Executive,Larry Dyckman,
Closed,Informal,1050690,School Based Tobacco Education and Cessation Program,01/29/2015,02/20/2015,,N,N,--,Department of Health & Human Svcs,Tyrone Rowland,
Closed,Informal,1047560,Communication Marketing Services for the Department of Recreation,10/07/2014,,Cancelled or Indefinitely Postponed,N,Y,--,Department of Recreation,Allison Cohen,
Closed,Informal,1059794,Consulting Services - County's Candidate Review Process,10/26/2015,11/02/2015,,N,N,--,Office of Human Resources,Jennifer Shovlin,
Closed,IFB,1074094,Brother PocketJet Rolls or equal,07/06/2017,,Cancelled or Indefinitely Postponed,N,N,"McRae, Sarah",Police,Trantino Norwood,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1074094
Closed,RFP,1027873,Parking Citation Processing and Collection Services,06/26/2013,08/20/2013,,N,N,"Harris, Eric",Department of Transportation,Eugene Dombrowski,
Closed,Informal,1036714,Appeal Services,12/02/2013,12/11/2013,,N,Y,--,Department of Finance,James Babb,
Closed,Informal,1035850,Medical Billing Revenue Maximization Consulting Services,01/10/2014,01/31/2014,,N,N,--,Department of Health & Human Svcs,Victoria Buckland,
Closed,IFB,1025270,"Application of Slurry Seal, Crack Sealant and Hot Mix Asphalt Products on Primary and Residential Roadways",01/30/2014,03/06/2014,,N,N,"Walker, Peter (Inactive Buyer)",Department of Transportation,Jeffrey Knutsen,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1025270
Closed,RFP,1029449,Montgomery County Consulting and Technical Services,03/13/2014,05/02/2014,,N,N,"Song, Nola",Department of Technology Services,Mike Melvin,
Closed,RFP,1041209,Graphic Arts Services,08/25/2014,09/24/2014,,N,Y,"Norris, Robert",Department of General Services,Richard Taylor,
Closed,IFB,1025341,Snow Removal Services at County Facilities,09/12/2013,10/14/2013,,N,Y,"Walker, Peter (Inactive Buyer)",Department of General Services,Michael Harkness,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1025341
Closed,Informal,1057650,Tenant Access Project,09/01/2015,10/15/2015,,N,N,--,Department of Housing & Community Affair,Stevens Brown,
Closed,Informal,1033389,Maintenance of Meteorological Station and Data Processing,08/02/2013,08/12/2013,,N,Y,--,Department of Environmental Protection,Geeta Arurkar,
Closed,REOI,1027863,MD 355 Crossing (BRAC),05/29/2013,07/10/2013,,Y,N,"Collins, Todd",Department of General Services,"Collins, Todd",
Closed,Informal,1029532,Chiller Replacement at Fire Station #8,05/21/2013,06/06/2013,,N,N,--,Fire & Rescue Services,June Evans,
Closed,IFB,1027554,Time and Material Electrical Control Services,05/21/2013,06/24/2013,,N,Y,"Karakaya, Penny Perrus",Department of General Services,Don Collins,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1027554
Closed,RFP,1046636,Professional Pilot and Support Services for Arial Transportation Surveillance Program,09/10/2014,10/10/2014,,N,Y,"Harris, Eric",Department of Transportation,Michael Kinney,
Closed,RFP,1040277,Water Quality Monitoring Services,10/13/2014,11/18/2014,,N,N,"Norris, Robert",Department of Environmental Protection,DEP Procurements,
Closed,RFP,1039522,Commissioning Services for Various County Facilities,12/09/2014,01/30/2015,,N,N,"Norris, Robert",Department of General Services,Amanuel Tsadik,
Closed,Informal,1035642,Custom Made Uniform,11/21/2013,12/03/2013,,N,N,--,Sheriff's Office,Veronica Jaua,
Closed,Informal,1050117,Part Time Personal Health Care Services,12/22/2014,01/05/2015,,N,Y,--,Management and Budget Office,Amy Wilson,
Closed,Informal,1039772,Senior Citizens Fire Safety Education and Outreach Services,02/28/2014,03/10/2014,,N,Y,--,Fire & Rescue Services,Beth Anne Nesselt,
Closed,RFP,1026772,Shelter Animal Pick up and Legal Disposal,05/22/2013,06/24/2013,,N,N,"McRae, Sarah",Police,Paul Hibler,
Closed,Informal,1051480,Pet Waste Removal Project,03/13/2015,04/13/2015,,N,Y,--,Department of Environmental Protection,DEP Procurements,
Closed,Informal,1047345,Professional Services � Small Business Award Ceremony Event Planning,01/20/2015,01/23/2014,,N,Y,--,Department of Economic Development,Judith Stephenson,
Closed,RFP,1046374,Avery Road Treatment Center Development,11/10/2014,01/16/2015,,Y,N,"Norris, Robert",Department of General Services,Kassa Seyoum,
Closed,IFB,1039816,"Fire Department Tools, Equipment, Hoses and Appliances",04/24/2014,05/09/2014,,N,N,"DeLuca, Karen",Fire & Rescue Services,Shereen Blanton,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1039816
Closed,RFP,1030160,Ride On Bus Advertising Services and Transit Related Advertising Services,12/15/2014,03/23/2015,,N,N,"Steed, Jeffrey",Department of Transportation,Howard Benn,
Closed,RFP,1035676,Bilingual Broadband Communications Specialist,02/05/2014,03/06/2014,,N,Y,"Song, Nola",Department of Technology Services,Donna Keating,
Closed,RFP,1052323,35 & 65 Gallon Carts For Residential Curbside Paper/Cardboard Recycling,08/06/2015,09/09/2015,,N,N,"Norris, Robert",Department of Environmental Protection,G. A. Corrick,
Closed,Informal,1035546,Youth Resource Mapping for Montgomery County Workforce Investment Board,09/25/2013,10/25/2013,,N,N,--,Department of Economic Development,Michelle Gallipoli,
Closed,Informal,1051255,Consulting Services for Talent Acquisition and Development Initiative,02/09/2015,02/20/2015,,N,Y,--,County Executive,Daniel Hoffman,
Closed,Informal,1037830,Emergency Medical Services (EMS) Books,12/17/2013,12/24/2013,,N,N,--,Fire & Rescue Services,Captain Lee Silverman,
Closed,RFP,1036619,African American Health Program,02/04/2014,,Cancelled or Indefinitely Postponed,N,N,"Flood, Samuel",Department of Health & Human Svcs,Heather Ross,
Closed,RFP,1027864,Ride On Bus and Taxicab Mystery Rider,01/27/2015,,Cancelled or Indefinitely Postponed,N,Y,"Steed, Jeffrey",Department of Transportation,Ken Sloate,
Closed,RFP,1047137,Federal Real Estate Consulting,11/04/2014,12/05/2014,,N,N,"Harris, Eric",Department of Economic Development,Tina Benjamin,
Closed,Informal,1037501,Propane Recycling,01/31/2014,03/07/2014,,N,N,--,Department of Environmental Protection,David Rosenbaum,
Closed,Informal,1045200,Portable Sanitation Services,08/14/2014,08/22/2014,,N,Y,--,Department of Environmental Protection,Jeffrey Camera,
Closed,Informal,1050224,Injured/Ill Police Employees Network (IIPEN) Coordinator,01/08/2015,01/15/2015,,N,Y,--,Police,David Anderson,
Closed,Informal,1050836,Sale of Surplus Foreign Coins,01/29/2015,02/13/2015,,N,N,--,Department of Transportation,Jorge Gutierrez,
Closed,RFP,1034501,Inspection and Materials Testing Services,01/07/2014,02/06/2014,,N,N,"Norris, Robert",Department of General Services,Ahmed Naji,
Closed,Informal,1036797,Road & Weather Information Systems,12/05/2013,12/12/2013,,N,N,--,Department of Transportation,Jeffrey Knutsen,
Closed,Informal,1050691,Evaluation Services for African American Health Program,02/17/2015,02/27/2015,,N,N,--,Department of Health & Human Svcs,Heather Ross,
Closed,RFP,1051046,Montgomery County Government Access Channel - County Cable Montgomery Storage Area Network (SAN),05/05/2015,06/11/2015,,N,N,"Steed, Jeffrey",Department of Technology Services,Donna Keating,
Closed,RFP,1029654,Food Services Operation,01/14/2014,02/21/2014,,N,Y,"Harris, Eric",Department of General Services,Stewart Whisman,
Closed,Informal,1058723,Exotic Animal Veterinarian Services,09/22/2015,09/30/2015,,N,N,--,Police,Gregory Lawrence,
Closed,Informal,1046098,Contract Management Services for the Silver Spring Black Box Theater Contractor,08/04/2014,08/18/2014,,N,N,--,Department of Recreation,Allison Cohen,
Closed,Informal,1051256,Consulting Services for Procurement Innovation Project,02/09/2015,02/20/2015,,N,Y,--,County Executive,Daniel Hoffman,
Closed,Informal,1038846,Senior Citizens Fire Safety Education and Outreach Services,02/14/2014,02/24/2014,,N,Y,--,Fire & Rescue Services,Beth Anne Nesselt,
Closed,REOI,1040206,Avery Road Treatment Center Development,04/02/2014,06/02/2014,,Y,N,"Norris, Robert",Department of General Services,Kassa Seyoum,
Closed,REOI,1057613,Wheaton Library and Community Recreation Center,09/14/2015,10/19/2015,,Y,N,"Collins, Todd",Department of General Services,Anjali Gulati,
Closed,RFP,1032976,Task Order Contracts for Construction Management Services,08/07/2014,09/09/2014,,N,N,"Norris, Robert",Department of General Services,Suresh Patel,
Closed,RFP,1038745,Debris Management Services: Pre-Positioned Contracts,09/10/2014,10/24/2014,,N,N,"Norris, Robert",Department of Environmental Protection,Jeffrey Camera,
Closed,Informal,1059558,"Remove, Repair and Reinstall Cab Doors for a 2000 Spartan/Quality Fire Truck",10/19/2015,10/26/2015,,N,N,--,Fire & Rescue Services,Steve Lamphier,
Closed,RFP,1047222,Outdoor Ice Rink Operations � Veterans Plaza,06/12/2015,07/09/2015,,N,N,"Collins, Todd",Community Use of Public Facilities,Eric Rasch,
Closed,Informal,1050831,Sound and Lighting for Special Events,02/23/2015,03/02/2015,,N,N,--,Department of Recreation,Allison Cohen,
Closed,RFP,1050175,Cost Allocation Plan (Scope I) and Random Moment Time Study (Scope II),03/20/2015,,Cancelled or Indefinitely Postponed,N,Y,"Flood, Samuel",Department of Health & Human Svcs,Monica Herring,
Closed,Informal,1051736,Federal Government Contract Spending Analysis and Projection,03/03/2015,03/18/2015,,N,Y,--,Department of Economic Development,Fizie Haleem,
Closed,RFP,1035345,LSBRP Consulting and Technical Services 2,10/16/2014,11/17/2014,,N,Y,"Song, Nola",Department of Technology Services,Mike Melvin,
Closed,RFP,1051456,Intensive Outpatient and Outpatient Substance Use Disorder Treatment Program,03/19/2015,04/23/2015,,N,N,"Flood, Samuel",Department of Health & Human Svcs,Kathleen Nevin,
Closed,Informal,1038615,GIS Technician Services,02/28/2014,03/21/2014,,N,Y,--,Department of Environmental Protection,DEP Procurements,
Closed,Informal,1049478,Sale of Surplus IBM Mainframe Equipment,11/20/2014,12/01/2014,,N,N,--,Department of General Services,Michael Thomas,
Closed,Informal,104687,"Recreation Aquatic Staff Audits, Inspections and Safety Training Services for County Owned Swimming Pools",08/03/2015,08/17/2015,,N,N,--,Department of Recreation,Allison Cohen,
Closed,IFB,1073056,Time & Material Pools Maintenance/Repair Services,04/06/2017,05/08/2017,,N,N,"Karakaya, Penny Perrus",Department of General Services,Kevin Ford,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1073056
Closed,IFB,1041647,Cooperative Purchase of Road Deicing Salt,07/28/2014,08/27/2014,,N,N,"Selvage, Deitric (Inactive Buyer)",Department of Transportation,Jeffrey Knutsen,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1041647
Closed,IFB,1051675,Screen Printed Sports Uniform T-Shirts and Athletic Apparel,03/16/2015,04/16/2015,,N,Y,"DeLuca, Karen",Department of Recreation,Allison Cohen,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1051675
Closed,RFP,1038432,Operation and Management Services for the Silver Spring Black Box Theater,03/28/2014,04/30/2014,,N,N,"DeLuca, Karen",Department of Recreation,Gabriel Albornoz,
Closed,Informal,1042469,Implementation and Customization of Enterprise Practice Management (EPM) & Electronic Health Records (HER) system for School Based Health and Wellness Centers,06/02/2014,06/13/2014,,N,Y,--,Department of Health & Human Svcs,Wade Bouton,
Closed,IFB,1061252,Ride On Bus Stop Maintenance & Snow Removal Services,02/04/2016,03/25/2016,,N,Y,"Karakaya, Penny Perrus",Department of Transportation,Howard Benn,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1061252
Closed,RFP,1025624,Elevator Consulting Services,10/10/2013,11/20/2013,,N,N,"Harris, Eric",Department of General Services,Homer Bakhtiary,
Closed,Informal,1049787,Assessment of the Water Quality Protection Charge Program,12/12/2014,01/27/2015,,N,Y,--,Department of Environmental Protection,DEP Procurements,
Closed,IFB,1029299,Aerial Lift Equipment Repair Service and Replacement Parts,07/31/2013,,Cancelled or Indefinitely Postponed,N,N,"Schuler, Peter (Inactive Buyer)",Department of General Services,Joanne Nightingale,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1029299
Closed,REOI,1038619,"Glenmont Fire Station, No. 18",03/11/2014,04/09/2014,,Y,N,"Collins, Todd",Department of General Services,Charles Edwards,
Closed,REOI,1051033,Western County Outdoor Pool Renovation and Modernization,02/26/2015,03/31/2015,,Y,N,"Collins, Todd",Department of General Services,Rouben Ghazarian,
Closed,Informal,1035020,Phones and Communication Software for Connector Program (MBHE Program),09/23/2013,09/27/2013,,N,N,--,Department of Health & Human Svcs,Kara Ingram Dukes,
Closed,RFP,1028048,Workforce Services to be provided in Montgomery County One-Stop Systems,11/08/2013,,Cancelled or Indefinitely Postponed,N,N,"Harris, Eric",Department of Economic Development,Barbara Kaufmann,
Closed,RFP,1029082,Montgomery County Desktop Computer Modernization (DCM) Services,10/31/2013,12/20/2013,,N,N,"Song, Nola",Department of Technology Services,Michelle Rinaldi,
Closed,RFP,1035061,"School Bus (Stop Arm Enforcement) Monitoring Camera, Collection and Violation Processing System",09/13/2013,10/07/2013,,N,N,"McRae, Sarah",Police,Richard Harrison,
Closed,RFP,1048336,Web and Administrative Services,01/13/2015,02/12/2015,,N,Y,"Harris, Eric",Department of Transportation,Scott Myers,
Closed,REOI,1031750,Dennis Avenue Health Center,07/11/2013,08/09/2013,,Y,N,"Collins, Todd",Department of General Services,Kassa Seyoum,
Closed,IFB,1078301,Recreation Staff Apparel,10/02/2017,11/02/2017,,N,Y,"DeLuca, Karen",Department of Recreation,Allison Cohen,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1078301
Closed,RFP,1028100,Fireworks Displays,06/20/2013,07/31/2013,,N,N,"DeLuca, Karen",Department of Recreation,Susan Hoffmann,
Closed,Informal,1046733,Patron Plastic Library Card/Key Tag Combination Sets,09/22/2014,10/07/2014,,N,Y,--,Department of Public Libraries,Noah Stone,
Closed,Informal,1035883,Food Recovery System,02/26/2014,03/17/2014,,N,N,--,Department of Health & Human Svcs,Melanie Coffin,
Closed,Informal,1047343,Implementation and Customization of Enterprise Practice Management (EPM) & Electronic Health Records (HER) System for School Based Health and Wellness Centers,09/16/2014,10/01/2014,,N,N,--,Department of Health & Human Svcs,Wade Bouton,
Closed,RFP,1039665,Vocational Rehabilitation Supportive Employment Services Library Material Sorting (AP 1-10),08/18/2014,09/17/2014,,N,N,"Selvage, Deitric (Inactive Buyer)",Department of Public Libraries,Noah Stone,
Closed,Informal,1054309,Maintenance Services and Software Support for Kardex System,06/16/2015,06/26/2015,,N,N,--,Department of General Services,Michael Atkinson,
Closed,Informal,1048539,Medical Claims Billing Clearinghouse Services,12/18/2014,01/09/2015,,N,N,--,Department of Health & Human Svcs,Victoria Buckland,
Closed,Informal,1035519,Professional Services � Public Relations/Event Planning/Meeting Management,09/25/2013,10/23/2013,,N,Y,--,Department of Economic Development,Steve Kapani,
Closed,RFP,1050312,Circuit Court Kids Spot Waiting Room Child Supervision Services,01/05/2015,02/05/2015,,N,N,"DeLuca, Karen",Circuit Court,Suzanne Schneider,
Closed,REOI,1028925,Dennis Avenue health Center,05/14/2013,06/12/2013,,Y,N,"Collins, Todd",Department of General Services,Kassa Seyoum,
Closed,Informal,1047583,"Sigtronics SE-8 Series Headsets (or equal), Repair Service and Parts",09/22/2014,09/29/2014,,N,N,--,Fire & Rescue Services,Battalion Chief Michael Baltrotsky,
Closed,RFP,1039449,Police Emergency Services Unit (ESU),04/15/2014,05/30/2014,,N,N,"Steed, Jeffrey",Department of General Services,Kathleen Hynes,
Closed,RFP,1051288,Library Materials Recovery and Notification Services,09/30/2015,10/30/2015,,N,N,"McRae, Sarah",Department of Public Libraries,Eric Carzon,
Closed,Informal,1027491,Investment Management System,06/12/2013,06/21/2013,,N,N,--,Department of Finance,Molly Hayward-Koert,
Closed,Informal,1043347,Contract Management Services for the Silver Spring Black Box Theater Contractor,07/21/2014,,Cancelled or Indefinitely Postponed,N,Y,--,Department of Recreation,Allison Cohen,
Closed,IFB,1075456,"Elevator Renovation County Detention Center, Rockville Maryland",06/01/2017,07/06/2017,,Y,N,"Collins, Todd",Department of General Services,Homer Bakhtiary,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1075456
Closed,RFP,1029333,Real Estate Advisory Services,05/16/2014,06/24/2014,,N,N,"Norris, Robert",Department of General Services,Brian Donohue,
Closed,Informal,1030041,Grants Manager - Council,06/01/2013,06/17/2013,,N,Y,--,County Council,Mary Jane Berry,
Closed,Informal,1033586,Bariatric Ambulance Ramp Systems,08/30/2013,09/09/2013,,N,N,--,Fire & Rescue Services,Steve Lamphier,
Closed,RFP,1046455,Custom Cable Television Services,01/13/2015,02/13/2015,,N,N,"McRae, Sarah",Department of Correction & Rehabilitation,Rita Ellis,
Closed,RFP,1027457,"Publication of Code, Regulations and County Attorney Opinions",08/08/2013,09/19/2013,,N,N,"DeLuca, Karen",County Attorney's Office,Ida Hsu,
Closed,IFB,1086452,Furnishing and Installing Pavement Markings,03/30/2018,04/30/2018,,N,N,"Fornatora, Sarah",Department of Transportation,Yazdan Sanayi,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1086452
Closed,Informal,1039362,Landscape Maintenance of Vegetated Stormwater Facilities - Public Schools,04/17/2014,05/23/2014,,N,Y,--,Department of Environmental Protection,DEP Procurements,
Closed,Informal,1040557,"Promega PowerPlex 16, 400 rxn DNA Kits",04/01/2014,04/07/2014,,N,N,--,Police,Patricia Ross,
Closed,IFB,1029270,Timetable Distribution by Persons with Developmental Disabilities (AP1-10),07/02/2013,08/07/2013,,N,N,"Walker, Peter (Inactive Buyer)",Department of Transportation,Beverly Lemasters,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1029270
Closed,Informal,1057234,Technical Programming & Analysis Support,08/20/2015,09/04/2015,,N,Y,--,Department of Environmental Protection,DEP Procurements,
Closed,RFP,1049793,Montgomery Cares Homeless Program,03/30/2015,05/08/2015,,N,N,"Vasileva, Renata",Department of Health & Human Svcs,LaSonya Kelly,
