LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
INDIAN SCHOOL RD & 16TH ST,04-27-2020 - 05/11/2020,PARTIAL,UTILITY WORK,480-268-9669
ACOMA DR & 44TH ST,04-27-2020 - 05/11/2020,PARTIAL,UTILITY WORK,480-268-9669
CAVE CREEK RD & BEARDSLEY RD,05-08-2020 - 05/11/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
THUNDERBIRD RD & 35TH AVE,05-04-2020 - 05/11/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE & THUNDERBIRD RD,05-04-2020 - 05/11/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
MAYO BLVD & TATUM BLVD,05-11-2020 - 05/11/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
7TH AVE & ATLANTA AVE,05-11-2020 - 05/11/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH AVE & INDIAN SCHOOL RD,02-27-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH AVE & WATKINS ST,04-29-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
35TH AVE & NORTHERN AVE,04-28-2020 - 05/12/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
BUCKEYE RD & 51ST AVE,04-28-2020 - 05/12/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNION HILLS DR & 21ST AVE,05-12-2020 - 05/12/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
49TH AVE & VAN BUREN ST,04-28-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
ROOSEVELT ST & 51ST AVE,04-28-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
64TH ST & BELL RD,04-28-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
MOHAVE ST & 7TH AVE,04-28-2020 - 05/12/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
43RD AVE & VAN BUREN ST,04-29-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
ACOMA DR & 56TH ST,05-05-2020 - 05/12/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE & INDIAN SCHOOL RD,05-11-2020 - 05/12/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH ST & BUCKEYE RD,04-27-2020 - 05/13/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
50TH ST & THISTLE LANDING DR,04-29-2020 - 05/13/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST & JEFFERSON ST,04-29-2020 - 05/13/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
56TH ST & THUNDERBIRD RD,05-06-2020 - 05/13/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMELBACK RD & 28TH ST,05-06-2020 - 05/13/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMPBELL AVE & 99TH AVE,05-06-2020 - 05/13/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
1ST AVE & VAN BUREN ST,04-16-2020 - 05/14/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
SWEETWATER AVE & 56TH ST,05-07-2020 - 05/14/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
HAPPY VALLEY RD & WHISPERING WIND DR,05-11-2020 - 05/14/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
32ND ST & MITCHELL DR,05-07-2020 - 05/14/2020,PARTIAL,UTILITY WORK,480-268-9669
LONE MOUNTAIN RD & CAVE CREEK RD,05-11-2020 - 05/14/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
BROADWAY RD & 59TH AVE,02-24-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
59TH AVE & BROADWAY RD,03-03-2020 - 05/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
19TH AVE & PHELPS RD,04-16-2020 - 05/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
UNION HILLS DR & 20TH ST,05-04-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,602-319-0621
15TH AVE & INDIAN SCHOOL RD,05-04-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BELL RD & 66TH ST,04-27-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAVE CREEK RD & LONE MOUNTAIN RD,04-27-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
28TH ST & ELWOOD ST,05-15-2020 - 05/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
BELL RD & 62ND ST,04-30-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CLARENDON AVE & 2ND AVE,04-29-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
56TH ST & CACTUS RD,05-08-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
WASHINGTON ST & 56TH ST,05-04-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
56TH ST & DEER VALLEY DR,05-04-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
40TH ST & DEER VALLEY DR,05-04-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
35TH AVE & GREENWAY RD,05-04-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
OSBORN RD & 3RD AVE,05-04-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE & THOMAS RD,05-04-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
48TH ST & OLNEY DR,05-11-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE & INDIAN SCHOOL RD,05-08-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
19TH AVE & EVANS DR,05-08-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE & WAYLAND DR,05-13-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
19TH AVE & GREENWAY RD,05-11-2020 - 05/15/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
BROADWAY RD & 56TH AVE,05-11-2020 - 05/15/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
59TH AVE & ENCANTO BLVD,04-24-2020 - 05/16/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
55TH AVE & ENCANTO BLVD,04-24-2020 - 05/16/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
BASELINE RD & 16TH ST,04-27-2020 - 05/16/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
16TH ST & BEARDSLEY RD,05-11-2020 - 05/16/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BELL RD & 3RD ST,05-02-2020 - 05/16/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD & 83RD AVE,05-07-2020 - 05/16/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
NORTH VALLEY PKWY & DOVE VALLEY RD,05-15-2020 - 05/16/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
FILLMORE ST & 5TH ST,05-08-2020 - 05/16/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST & SALT RIVER DR,05-17-2020 - 05/17/2020,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
3RD ST & JACKSON ST,05-03-2020 - 05/17/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST & MADISON ST,05-08-2020 - 05/17/2020,PARTIAL,LIGHT RAIL,NOT APPLICABLE
JEFFERSON ST & 1ST AVE,05-08-2020 - 05/17/2020,PARTIAL,LIGHT RAIL,NOT APPLICABLE
HAPPY VALLEY RD & 17TH AVE,04-13-2020 - 05/18/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
TATUM BLVD & ROSE GARDEN LN,04-18-2020 - 05/18/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH AVE & DEER VALLEY RD,05-04-2020 - 05/18/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
18TH AVE & DEER VALLEY RD,05-04-2020 - 05/18/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
56TH ST & THOMAS RD,05-11-2020 - 05/18/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
TATUM BLVD & ROSE GARDEN LN,05-15-2020 - 05/18/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
3RD ST & MORELAND ST,05-10-2020 - 05/18/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
ENCANTO BLVD & 83RD AVE,03-19-2020 - 05/19/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PALM LN & 83RD AVE,03-19-2020 - 05/19/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MCDOWELL RD & 83RD AVE,03-19-2020 - 05/19/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
DIXILETA DR & NORTH VALLEY PKWY,05-12-2020 - 05/19/2020,PARTIAL,UTILITY WORK,602-530-5400
CENTRAL AVE & MCKINLEY ST,11-04-2019 - 05/20/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
19TH AVE & TURF PARADISE RD,05-06-2020 - 05/20/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
83RD AVE & VAN BUREN ST,05-11-2020 - 05/20/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
75TH AVE & ENCANTO BLVD,05-06-2020 - 05/20/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
MOHAVE ST & 51ST AVE,05-06-2020 - 05/20/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
71ST AVE & ENCANTO BLVD,04-22-2020 - 05/21/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
91ST AVE & MONTE VISTA RD,05-07-2020 - 05/21/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST & 54TH PL,03-25-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD & 7TH AVE,05-11-2020 - 05/22/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
SHEA BLVD & 37TH ST,04-27-2020 - 05/22/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
SOUTHERN AVE & 50TH AVE,04-20-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
48TH ST & MELVIN ST,04-27-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
15TH AVE & WATKINS ST,04-30-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
23RD AVE & WHISPERING WIND DR,04-30-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
23RD AVE & WHISPERING WIND DR,04-30-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAVE CREEK RD & BEARDSLEY RD,05-18-2020 - 05/22/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
ROOSEVELT ST & 47TH AVE,05-07-2020 - 05/22/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
JEFFERSON ST & 16TH ST,05-06-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROESER RD & 9TH ST,05-05-2020 - 05/22/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
19TH AVE & MONTE VISTA RD,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST & 18TH ST,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
1ST AVE & JACKSON ST,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
MAGNOLIA ST & 21ST ST,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
19TH AVE & BELL RD,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
98TH AVE & CAMPBELL AVE,05-11-2020 - 05/22/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,602-788-2222
16TH ST & GRANT ST,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST & BUCKEYE RD,05-08-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
NORTH VALLEY PKWY & NORTERRA PKWY,05-11-2020 - 05/22/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
ELWOOD ST & 28TH ST,05-07-2020 - 05/23/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
67TH AVE & ENCANTO BLVD,05-09-2020 - 05/23/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE & DURANGO ST,05-09-2020 - 05/23/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
DURANGO ST & 27TH AVE,05-09-2020 - 05/23/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE & OSBORN RD,05-11-2020 - 05/23/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
MISSOURI AVE & 14TH ST,05-26-2020 - 05/26/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
51ST AVE & CACTUS RD,05-12-2020 - 05/26/2020,PARTIAL,STREET TRANSPORTATION WORK,480-2689669
CACTUS RD & 47TH AVE,05-12-2020 - 05/26/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
75TH AVE & BASELINE RD,05-12-2020 - 05/26/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
CACTUS RD & 51ST AVE,05-12-2020 - 05/26/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
ENCANTO BLVD & 51ST AVE,04-27-2020 - 05/27/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD & 31ST AVE,05-12-2020 - 05/27/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
5TH ST & WASHINGTON ST,11-19-2019 - 05/29/2020,PARTIAL,LIGHT RAIL,NOT APPLICABLE
SCOTTSDALE RD & MAYO BLVD,03-23-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
24TH ST & SOUTHERN AVE,03-26-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
32ND ST & SOUTHERN AVE,03-26-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
40TH ST & SOUTHERN AVE,03-26-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
48TH ST & SOUTHERN AVE,03-26-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
19TH AVE & PINNACLE PEAK RD,04-22-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
INDIAN SCHOOL RD & 19TH AVE,05-18-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
19TH AVE & MONTE VISTA RD,05-18-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
15TH AVE & PEORIA AVE,04-27-2020 - 05/29/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
PEORIA AVE & 15TH AVE,04-27-2020 - 05/29/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROOSEVELT ST & 15TH AVE,05-18-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
CENTRAL AVE & PINNACLE PEAK RD,05-07-2020 - 05/29/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
36TH AVE & DEER VALLEY RD,05-11-2020 - 05/29/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
GALVIN PKWY & VAN BUREN ST,01-20-2020 - 05/30/2020,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
15TH AVE & GRAND AVE,03-30-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
15TH AVE & MCDOWELL RD,03-30-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
15TH AVE & ROOSEVELT ST,03-30-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
BRONCO BUTTE TRL & NORTH VALLEY PKWY,04-01-2020 - 05/30/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
32ND ST & SWEETWATER AVE,04-09-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CENTRAL AVE & ROESER RD,05-07-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
7TH AVE & ROESER RD,05-07-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
28TH ST & SWEETWATER AVE,04-09-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
16TH ST & BEARDSLEY RD,05-25-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
15TH AVE & INDIAN SCHOOL RD,05-06-2020 - 05/30/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
51ST AVE & GLENROSA AVE,04-06-2020 - 05/31/2020,PARTIAL,STREET TRANSPORTATION WORK,602-795-1515
1ST ST & MADISON ST,01-27-2020 - 06/01/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST & 79TH AVE,04-01-2020 - 06/01/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
VAN BUREN ST & 83RD AVE,04-01-2020 - 06/01/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
BROADWAY RD & 67TH AVE,05-07-2020 - 06/01/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,602-465-8981
INDIAN SCHOOL RD & 91ST AVE,05-04-2020 - 06/03/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
ALAMEDA RD & 40TH LN,05-11-2020 - 06/04/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
59TH AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
19TH AVE & SOUTHERN AVE,03-02-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
15TH AVE & SOUTHERN AVE,03-02-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
47TH AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
51ST AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
53RD AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
55TH AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
63RD AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
67TH AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
71ST DR & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
75TH AVE & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
79TH DR & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
MARYVALE PKWY & INDIAN SCHOOL RD,03-10-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,480-654-3100
2ND AVE & FILLMORE ST,04-22-2020 - 06/05/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
VAN BUREN ST & 45TH ST,05-06-2020 - 06/05/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
SHAUGHNESSEY RD & CHANDLER BLVD,05-08-2020 - 06/05/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
RAY RD & 50TH ST,05-11-2020 - 06/05/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCKINLEY ST & 3RD AVE,01-06-2020 - 06/08/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
48TH ST & MCDOWELL RD,04-06-2020 - 06/09/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
52ND ST & MCDOWELL RD,04-06-2020 - 06/09/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
VAN BUREN ST & ROOSEVELT ST,04-09-2020 - 06/09/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
LOWER BUCKEYE RD & 79TH AVE,05-09-2020 - 06/09/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
48TH ST & INDIAN SCHOOL RD,04-10-2020 - 06/10/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
56TH ST & INDIAN SCHOOL RD,04-10-2020 - 06/10/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
