Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
005405,,10 LONG ISLAND,NY347 PE 1-4 NSP TO NY25A,NY347 PRELIMINARY ENGINEERING PHASES 1-4: NORTHERN STATE PKWY TO NY25A,In Development,Spring 1992,,,,,Yes,Yes,No,This project involves the widening of highways.,"This project proposes to support preliminary engineering for NY 347 from the Northern State Parkway to  NY25A, Towns of Smithtown, Islip and Brookhaven, Suffolk County.  ",,,,,,,
005409,,10 LONG ISLAND,NY347 RECONST HALLOCK RD TO CR97,"Reconstruct  NY347 from Hallock Rd to CR97 to improve safety, operation, and mobility for vehicles, pedestrians, bicyclists and transit users. Town of Brookhaven, Suffolk County  ",Future Development,Summer 2007,Summer 2025,Fall 2025,Spring 2028,36300000.00,No,Yes,No,This project involves the building of new bridges.,"This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing 1.0 miles of NY Route 347 from Hallock Road to County Route 97 (Nicholls Road) in the town of Brookhaven, Suffolk County. Work w",,,,,,,
005410,,10 LONG ISLAND,NY347 REC CR97 TO OLD TOWN RD,"Reconstruct NY347 from CR97 to Old Town Rd to improve safety, operation, and mobility for vehicles, pedestrians, bicyclists and transit users.  Town of Brookhaven, Suffolk County  ",Future Development,,Summer 2026,Fall 2026,Fall 2029,48700000.00,Yes,Yes,No,This project involves the widening of highways.,"This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing 2.83 miles of NY Route 347 from County Route 97 (Nicolls Road ) to Old Town Road. Work will include but not be limited to adding",,,,,,,
005411,,10 LONG ISLAND,NY347 REC OLD WILLETS TO NY454 SPLIT,"Reconstruct NY347 from Old Willets Path to NY454 to improve safety, operation, and mobility for vehicles, pedestrians, bicyclists and transit users.   Town of Islip and Smithtown, Suffolk County",In Development,,Summer 2030,Fall 2030,Fall 2033,56700000.00,Yes,Yes,No,This project involves the widening of highways.,"This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing 0.89 miles of NY Route 347 from Old Willets Path to NY Route 454 (Veterans Memorial Highway). Work will include but not be limit",,,,,,,
005412,,10 LONG ISLAND,NY347 OVER CR97 INTERCHANGE CONST,"CONSTRUCT BRIDGE AND INTERCHANGE AT CR97(NICOLLS RD) AND NY347  Town of Brookhaven, Suffolk County",Future Development,,Summer 2028,Fall 2028,Fall 2031,70100000.00,Yes,Yes,No,This project involves constructing a new highway interchange.,"This project proposes to construct an overpass at the intersection of NY Route 347 and Nicolls Road (CR97) to improve safety and travel for vehicles, pedestrians, bicyclists and transit users. The bridge will carry NY347 over Nicolls Road. Town of Brookha",,,,,,,
005423,,10 LONG ISLAND,NY347 RECONSTR GIBBS POND RD - HALLOCK RD,"Reconstruct NY347 from Gibbs Pond Rd to Hallock Rd to improve safety, operation, and mobility for vehicles, pedestrians, bicyclists and transit users. Town of Smithtown and Brookhaven, Suffolk County  ",In Development,Summer 2007,Summer 2023,Fall 2023,Winter 2026/2027,88400000.00,Yes,Yes,No,This project involves the widening of highways.,"This project proposes to reconstruct 2.03 miles of NY Route 347 from Gibbs Pond Rd to Hallock Road to improve safety and travel for vehicles, pedestrians, bicyclists and transit users. Work will include but not be limited to adding a thru lane in each dir",,,,,,,
005903,,10 LONG ISLAND,NY27 MEDIAN BARRIER RMC TO 5TH AV,"Install median barrier on NY27 from Robert Moses Causeway to 5th Avenue in Islip Town, Suffolk County.",In Development,Winter 2002/2003,Fall 2023,Winter 2023/2024,Fall 2024,9100000.00,Yes,Yes,No,This project involves installation or improvements to the barriers in the middle of a highway.,"This project proposes to install median barrier for 1.6 miles on NY Route 27 (Sunrise Highway) from Robert Moses Causeway to 5th Avenue in the Town of Islip, Suffolk County",,,,,,,
005908,,10 LONG ISLAND,NY27 REC STUDY NY112 TO WADING RIVER RD,"STUDY NY27 CORRIDOR FROM NY112 TO WADING RIVER RD Town of  Brookhaven, Suffolk County",In Development,,,,,,Yes,Yes,No,This project involves conducting studies to see if proposed transportation projects are realistic.,"This project proposes to study NY27 (Sunrise Highway ) corridor from NY112 to Wading River Rd, Town of Brookhaven, Suffolk County  ",,,,,,,
005926,D263752,10 LONG ISLAND,NY27 SUFFOLK BRIDGE REPAIRS,"Preventative maintenance bridge repairs on Brentwood Rd over NY27, NY27 over CR51, NY27 WB Service Rd over CR51 and  NY27/Carlls River.  Towns of Babylon, Brookhaven and Islip. Suffolk County",Under Construction,Spring 2016,07/12/2018,,,,Yes,Yes,No,This project involves general bridge repairs.,This project proposes to insure the preservation of four (4) existing bridges in Suffolk County to help maintain their reliability and integrity to assure the continued safety of the traveling public. The work may include all or some of the following: sub,08/23/2018,10657000,20248,10677248,04/28/2020,GREEN,GREEN
005927,D263713,10 LONG ISLAND,NY27 OAKDALE MERGE INTERCHANGE IMPVTS,"NY27 Oakdale Merge Interchange Impvts - resurface, drainage & operational impvts, Town of Islip, Suffolk County.",Under Construction,Spring 2017,06/07/2018,,,,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project is located at the Oakdale Merge, Sunrise Highway (NY27) in the Town of Islip in Suffolk County. The proposed work includes:  - restore the pavement riding surface to a smooth and distress free condition by milling and resurfacing the existing",08/16/2018,7281160,309520,7590680,02/12/2020,RED,GREEN
005930,,10 LONG ISLAND,NY27 @ BARNES RD INTERCHANGE,"Construct interchange on NY27 @ Barnes Rd including ramps and ancillary facilities. Town of Brookhaven, Suffolk County",Future Development,Fall 2017,Winter 2020/2021,Spring 2021,Spring 2020,9000000.00,No,Yes,No,This project involves constructing a new highway interchange.,"This project proposes to construct a new interchange on NY27 (Sunrise Highway) at Barnes Road. Town of Brookhaven, Suffolk County",,,,,,,
007214,D900042,10 LONG ISLAND,NY878 OPERATIONAL IMPROVEMENTS,"OPERATIONAL IMPROVEMENTS ON NASSAU EXPRESSWAY(NY878) Town of Hempstead, Nassau County",Under Construction,Winter 2016/2017,03/02/2018,,,,Yes,Yes,No,This project involves the widening of highways.,"This project will help improve motorist and pedestrian safety, reduce accidents, and improve traffic flow by reconstructing 0.6 miles of the Nassau Expressway (NY878) between Rockaway Turnpike and Burnside Avenue in the Town of Hempstead, Nassau County",05/29/2018,93500000,0,93500000,05/10/2020,RED,GREEN
00PS01,D263507,10 LONG ISLAND,PED SAFETY ACTION PLAN - PHASE I,"Ped Safety Action Plan(PSAP), Implement Prog Phase I, Systemic Treatments-Imp ped safety, min crash potiental by countermeasures to state hwy network at high risk loc. 100% uncontrolled marked crosswalks & 50% signalized intersections ident,Nas & Suff Co",Under Construction,Winter 2016/2017,07/13/2017,,,,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.",This project proposes to make improvements to pedestrian facilities at Uncontrolled crosswalks and signalized intersections in urban areas throughout the Region. This effort is part of the New York State Pedestrian Safety Action Plan (PSAP) announced by G,07/31/2017,7473017,525674,7998691,05/01/2020,RED,YELLOW
00PS02,D263968,10 LONG ISLAND,PED SAFETY ACTION PLAN - PHASE 2,"Ped Safety Action Plan(PSAP), Implement Prog Phase 2, Systemic Treatments-Imp ped safety, min crash potiental by countermeasures to state hwy network at high risk loc. 100% uncontrolled marked crosswalks & 50% signalized intersections ident,Nas & Suff Co",Under Construction,Winter 2017/2018,06/20/2019,,,,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.",This project proposes to make improvements to pedestrian facilities at Uncontrolled crosswalks and signalized intersections in urban areas throughout the Region. This effort is part of the New York State Pedestrian Safety Action Plan (PSAP) announced by G,08/01/2019,5389700,-135,5389565,04/21/2021,GREEN,GREEN
011260,D263735,10 LONG ISLAND,NY110 PEDESTRIAN SAFETY IMPROVEMENTS,Pedestrian safety improvements along  NY110 between NY27A & Youngs Hill Road in the towns of Huntington and Babylon Suffolk County,Under Construction,Summer 2016,06/07/2018,,,,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project proposes to provide upgraded pedestrian facilities that focus on pedestrian safety on NY110 between NY27A (Montauk Highway), Town of Babylon and Youngs Hill Road, Town of Huntington including realignment of existing left turn lanes between De",07/23/2018,3980020,452508,4432528,06/30/2020,RED,RED
012112,D263907,10 LONG ISLAND,NY106 CONC PAVMT REPAIR NY24 TO OLD COUNTRY RD,"CONCRETE PAVEMENT REPAIRS ON NY106 FROM NY24 TO OLD COUNTRY RD, TOWNS OF HEMPSTEAD & OYSTER BAY, NASSAU COUNTY.",Under Construction,Winter 2016/2017,03/14/2019,,,,Yes,Yes,No,This project involves repairing concrete pavement.,"This project proposes to provide concrete pavement repairs on NY106 between Hempstead Turnpike (NY24) and Old Country Road in the Towns of Hempstead and Oyster Bay, Nassau County to improve its efficiency and provide a smoother driving surface to help ass",04/25/2019,6820427,0,6820427,07/19/2020,GREEN,GREEN
015625,,10 LONG ISLAND,NY107 OVER I495 BRIDGE REPLACEMENT,Bridge replacement of NY107 over I495 Town of Oyster Bay Nassau County,Future Development,Spring 2018,Fall 2031,Fall 2031,Spring 2033,22300000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project proposes to replace the NY107 (North Broadway) bridge over I495 (Long Island Expressway) bridge as this structure has reached the end of its lifespan and to provide for safe and efficient travel. Town of Oyster Bay, Nassau County.",,,,,,,
022948,,10 LONG ISLAND,I495/CROOKED HILL RD INTRCHNG CONST,Construct interchange from Southbound Sagtikos State Parkway ramp and Crooked Hill Rd Town of Islip Suffolk County,In Development,Summer 2013,Spring 2020,Spring 2020,Summer 2021,32000000.00,Yes,Yes,No,This project involves constructing a new highway interchange.,"This project proposes to provide vehicles traveling on the Long Island Expressway (I-495) in both eastbound and westbound directions with direct access to Crooked Hill Road (CR13) by constructing new ramps. The proposed project is in the Town of Islip, Su",,,,,,,
022951,D263584,10 LONG ISLAND,CR83/I495 DECK REPLACEMENT,Deck replacement on the CR83 over I495 bridge. Town of Brookhaven Suffolk County. BIN 1064109,Completed Project,Fall 2016,12/13/2017,,,,No,Yes,No,This project involves replacing bridge decks.,"This project proposes to replace the deck of the North Ocean Avenue (County Road 83) bridge over Long Island Expressway (Interstate495) in the Town of Brookhaven, Suffolk County.",03/16/2018,7616266,-274761,7341505,07/10/2019,RED,GREEN
033909,,10 LONG ISLAND,SGSP/SMSP STUDY SSP TO NY25A,"SAGTIKOS STATE PKWY/SUNKEN MEADOW STATE PKWY STUDY: SOUTHERN STATE PKWY TO NY25A  INCLUDING THE PARALLEL ROADWAY Towns of Islip and Smithtown, Suffolk County",In Development,Fall 1993,,,Spring 2023,,Yes,Yes,No,This project involves conducting studies to improve traffic flow and safety along identified portions of a highway corridor.,,,,,,,,
033915,D264032,10 LONG ISLAND,SMSP GUIDERAIL REHAB I495 TO END,"REPAIR AND REPLACE GUIDERAIL SECTIONS SUNKEN MEADOW PARKWAY FROM I495 TO SUNKEN MEADOW STATE PARK TOLL BOOTH, TOWNS OF SMITHTOWN & ISLIP, SUFFOLK COUNTY.",Under Construction,Summer 2017,09/12/2019,,,,Yes,Yes,No,This project involves the rehabilitation of guiderails.,This project proposes to replace existing the existing rustic guiderail on Sunken Meadow Parkway from I495 to the Sunken Meadow State Park Toll Booth in the Towns of Smithtown and Islip in Suffolk County. Existing guiderails will be replaced with guiderai,11/06/2019,4464797,0,4464797,06/30/2021,GREEN,GREEN
051653,D263758,10 LONG ISLAND,GUIDERAIL REHAB,"Repair & replace guiderail on NSP from Commack Rd to NY 454 and SSP from Belmont Ave to SGSP, Towns of Huntington, Smithtown, Babylon & Islip, Suffolk County.",Completed Project,Summer 2016,09/13/2018,,,,Yes,Yes,No,This project involves the rehabilitation of guiderails.,This project proposes to replace existing guiderail with new guiderail on the Northern State Parkway from the Commack Road to NY 454 (Veteran's Memorial Highway) in the Towns of Huntington and Smithtown and the Southern State Parkway from Belmont Avenue t,10/04/2018,2724154,-2,2724152,03/17/2020,RED,GREEN
051654,,10 LONG ISLAND,NSP RAMP SAF IMPVTS AT GLEN COVE RD/NY25,"Safety Improvements, Westbound NSP Exit Ramp to Glen Cove Road/NY25, Widen GCR providing additional left turn lane on N/B GCR at NY25, rebuild signal on NY25 at GCR, new signal w/b NSP exit ramp at GCR, Town of North Hempstead, Nassau County.  ",In Development,Winter 2016/2017,Summer 2021,Fall 2021,Summer 2022,5300000.00,Yes,Yes,No,"This project involves the installation of barriers to separate traffic into ""channels"" to improve safety.",This project proposes signalizing the intersection of Glen Cove Road with the westbound Northern State Parkway (908G) exit ramp and constructing an additional left turn lane on the northbound approach of Glen Cove Road at East Jericho Turnpike (NY 25). Tr,,,,,,,
051655,D264030,10 LONG ISLAND,NSP PAVEMENT REHAB NYC LINE TO MSP,"Milling, concrete & asphalt pavement repairs, single course overlay at NSP from Nassau/Queens line to MSP, town of North Hempstead, Nassau county.",Under Construction,Fall 2017,08/08/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project proposes to restore the pavement riding surface on the Northern State Parkway (908G) between the Nassau/Queens county line to the Meadowbrook State Parkway (908E), in the Town of North Hempstead, Nassau County to a smooth and distress free co",09/19/2019,18189107,121485,18310592,12/01/2020,GREEN,GREEN
051656,D264173,10 LONG ISLAND,NSP RUSTIC RAIL REPLACEMENT,"Replace rustic guiderail sections at the Northern State Parkway from  Nassau/Suffolk Line to Commack Rd., Town of Huntington, Suffolk County.",Under Construction,Fall 2018,01/23/2020,,,,Yes,Yes,No,This project involves the rehabilitation of guiderails.,"This project proposes to replace existing rustic guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public on the Northern State ",03/03/2020,3332546,0,3332546,12/01/2021,GREEN,GREEN
051735,,10 LONG ISLAND,WSP @ OLD COUNTRY RD RAMP IMPVT,"PROVIDE SAFETY IMPROVEMENTS TO RAMPS ON WSP AT INTERCHANGE WITH OLD COUNTRY RD IN NORTH HEMPSTEAD TOWN, NASSAU COUNTY.",In Development,Fall 2009,Spring 2025,Spring 2025,Winter 2025/2026,4200000.00,No,Yes,No,This project involves the widening of highways.,"This project proposes to provide safety improvements from the southbound exit ramp of Wantagh Parkway to westbound Old Country Road and from westbound Old Country Road to southbound Wantagh Parkway in town of Hempstead, Nassau County",,,,,,,
052330,D263912,10 LONG ISLAND,MSP CRACK SEALING GLEN CURTISS BLVD TO NSP,"Rout & Seal asphalt pavement cracks and joint overlay repair on MSP (NY908E)  from Glenn Curtiss Blvd to NSP as well as the CD roads between NY24 and Stewart Ave. Towns of Hempstead and N Hempstead, Nassau County",Under Construction,Spring 2018,04/11/2019,,,,No,Yes,No,This project involves the repair and sealing of cracks.,This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement and ramps along Meadowbrook State Parkway (908E) from Glen Curtiss Boulevard to Northern State Parkway (908G). Project location is in the Towns of Hempste,06/10/2019,1499501,0,1499502,07/27/2020,GREEN,GREEN
076135,D263860,10 LONG ISLAND,WALT WHITMAN RD OVER I495 BRIDGE WIDENING,Reconstruct the Walt Whitman Rd over I495 bridge to increase capacity by adding at least one lane for a shared center turn lane. Town of huntington Suffolk County,Under Construction,Summer 2016,12/19/2018,,,,Yes,Yes,No,"This project involves replace bridges due to the need for bigger, smaller or differently configured bridges.",This project proposes to widen the existing Walt Whitman Road over Interstate 495 (Long Island Expressway) bridge to increase capacity and allow the installation of an additional left turn lane for southbound traffic. The bridge is located in the Town of ,03/01/2019,28208661,0,28208661,08/13/2020,GREEN,GREEN
080838,,10 LONG ISLAND,HIGHWAY RUNOFF MITIGATION,"Correct priority highway flooding locations and replace catch basins with vortex basins in the towns of Babylon, Huntington & Islip in Suffolk county.",In Development,Spring 2008,Summer 2021,Fall 2021,Summer 2022,5700000.00,Yes,Yes,No,This project involves improvements for drainage along bridges and roads.,"This project proposes to restore the structural integrity of drainage basins and pipes, control flooding, and improve the quality and efficiency of roadway run-off on roadways at the following locations:   "" NY Route 108 culvert located between Saw Mill R",,,,,,,
080874,,10 LONG ISLAND,STORM DRAINAGE IMPROVEMENTS,"Improve debilitated drainage systems and isolated flooding areas; control flooding to promote safer traffic movement; improve quality of highway runoff to adjacent surface waters in the towns of E. Hampton, Riverhead, Southampton & Southold, Suffolk co.",In Development,Summer 2009,Fall 2021,Winter 2021/2022,Fall 2022,7500000.00,Yes,Yes,No,This project involves improvements for drainage along bridges and roads.,"This proposed project will help improve the structural integrity of drainage structures to better control flooding on roadways at the following locations:   "" NY Route 25 (Mains Road) at Lands End Road, town of Southold, Suffolk County  "" NY Route 27 (Mon",,,,,,,
080925,D262994,10 LONG ISLAND,DRAWBRIDGE REPAIRS,"Repairs on two draw bridges, Meadowbrook State Parkway over Sloop Channel and Loop Parkway over Long Creek, including electrical and mechanical system improvements. Town of Hempstead, Nassau County",Completed Project,Summer 2012,12/17/2015,,,,Yes,Yes,No,This project involves general bridge repairs.,"This project proposes to provide repairs on two drawbridges, Meadowbrook State Parkway over Sloop Channel and Loop Parkway over Long Creek, including electrical and mechanical system improvements. Town of Hempstead, Nassau County.",05/13/2016,22437990,522254,22960244,11/22/2019,RED,GREEN
080944,D262953,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Under Construction,,08/06/2015,,,,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project proposes to replace and repair signs that are worn or damaged along state highways in Nassau and Suffolk County. Furthermore, this project can install new signs to address safety and operational problems that are identified.",08/27/2015,2006250,2994480,5000730,07/01/2018,YELLOW,RED
080952,D263212,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Completed Project,Winter 2014/2015,07/14/2016,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations will be selected based on the need to address safety concerns and to",01/10/2017,3786046,-226746,3559300,09/27/2019,RED,GREEN
080959,D263630,10 LONG ISLAND,BRIDGE REPAIRS,"Bridge repairs including bearing replacement, joint replacement, girder end repairs and painting on NY107 / Sea Cliff Av, NY110 / NY109 and NSP/Round Swamp Rd Towns of Babylon, Oyster Bay & Huntington, City of Glen Cove   Nassau & Suffolk Counties",Under Construction,Summer 2015,01/24/2018,,,,Yes,Yes,No,This project involves general bridge repairs.,This project proposes to insure the preservation of three (3) existing bridges in Nassau & Suffolk Counties to help maintain bridge reliability and integrity to assure the continued safety of the traveling public. The work may include all or some of the f,04/04/2018,9478335,299515,9777850,05/15/2020,RED,GREEN
080964,D263661,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties.",Under Construction,Fall 2015,04/26/2018,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to imp",06/15/2018,3869289,504756,4374045,06/30/2020,RED,RED
080968,D263615,10 LONG ISLAND,ADA COMPLIANCE,"Address ADA non compliant curb ramps on federal aid eligible highways on NY27,NY25, NY25A, NY24,NY27 N&S service rds, Towns of Hempstead, Oyster Bay, Huntington, Smithtown, Babylon, Islip & Southampton,  Nassau and Suffolk Counties.",Under Construction,Spring 2016,07/26/2018,,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project proposes to bring curb ramps into compliance with the American with Disabilities Act on NY27 (Sunrise Highway) from the Wantagh State Parkway (908T) to the Nassau/Suffolk County Line, on NY25 (Jericho Turnpike) from Roxbury Road to Robbins La",09/06/2018,3848848,22,3848870,06/01/2020,RED,GREEN
080970,D263589,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING ON APPROX 266 BRIDGES ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Under Construction,Summer 2016,11/30/2017,,,,No,Yes,No,This project involves bridge cleaning.,This project proposes to wash various bridges (approximately 266 bridges) in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle.,01/30/2018,868800,-100,868700,02/15/2020,GREEN,GREEN
