the_geom,OBJECTID,SSTYPE,SSSTAT,PROJID
"MULTILINESTRING ((-90.069351335479 29.956097093703, -90.069478415506 29.956182236832, -90.069938716517 29.95649275323, -90.070164288151 29.956645456483, -90.070252455272 29.956703512231))",595145,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.059226970814 30.000991784959, -90.059154580507 30.000995884164, -90.058094153714 30.001058671893))",592361,Sewer Line Repair (SSERP),Complete,RR052
"MULTILINESTRING ((-90.014576608583 29.965223631067, -90.014553721588 29.965293816512, -90.014470947838 29.965533435321, -90.014469954616 29.965536457679, -90.014387901417 29.965771540024, -90.01433292933 29.965929032901))",593648,Water Line Replacement (FEMA),Planned,RR112
"MULTILINESTRING ((-90.046918616785 30.008961887828, -90.046922236306 30.009025649008, -90.046951498327 30.009357277252, -90.046967120422 30.009592939821, -90.046981277882 30.009754338769, -90.047004092194 30.010055504403, -90.047034818526 30.010368347923, -90.04705585617 30.010672744216, -90.047062834894 30.010734476543))",592397,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR056
"MULTILINESTRING ((-90.06336484707 30.023714778529, -90.062705121014 30.023724084766, -90.062552188247 30.023724639775))",592177,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR156
"MULTILINESTRING ((-90.047372194496 29.980325662904, -90.047453279871 29.981258753761, -90.047457247312 29.981329396306))",593960,Sewer Line Repair (SSERP),Complete,RR180
"MULTILINESTRING ((-90.083086437098 29.936996339623, -90.083239772452 29.937175045937, -90.083325292223 29.937276125001, -90.083371396245 29.937330616507, -90.083479041119 29.937457844901, -90.083618599881 29.937619041105, -90.083646285872 29.937653508454))",594610,Sewer Line Repair (SSERP),Complete,DPW442
"MULTILINESTRING ((-90.11747780287 29.927040183026, -90.11745929912 29.9271169909, -90.117245268667 29.927947961375))",592983,Sewer Line Repair (SSERP),Complete,DPW131
"MULTILINESTRING ((-90.047971614165 30.010676931245, -90.047978536215 30.010747623059, -90.047986081876 30.010862580236, -90.048120366224 30.012449612017))",592393,Sewer Line Repair (SSERP),Complete,RR051
"MULTILINESTRING ((-90.083249902083 29.93892565041, -90.083615094941 29.939353122356, -90.083859839514 29.939632459016))",591876,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR021
"MULTILINESTRING ((-90.092489985485 29.918844297718, -90.092695846711 29.919576347798, -90.092717864352 29.919664314628))",590301,Sewer Line Repair (SSERP),Complete,RR035
"MULTILINESTRING ((-90.074548459876 29.940552593175, -90.074582301617 29.940507790198, -90.074638331776 29.940431620509, -90.074924240815 29.940046606302, -90.075060970386 29.939861680297))",594580,Sewer Line Repair (SSERP),Complete,DPW184
"MULTILINESTRING ((-90.070536981937 29.931908280215, -90.070831928358 29.930915608604))",594676,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-89.958150740495 30.061891159617, -89.956361227621 30.063154870348, -89.955846852348 30.063528876515, -89.955815983235 30.063550579793))",588006,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.085922152181 30.020558427352, -90.085945039162 30.020684536099, -90.085985685518 30.020908496073, -90.085998137123 30.020966106169, -90.086006022082 30.021018134177, -90.08600999882 30.021063988119, -90.086010725692 30.021123162467, -90.085995384848 30.021185348694, -90.085880879587 30.021455249475))",595710,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR076
"MULTILINESTRING ((-90.109200779128 29.937738882878, -90.109783452752 29.937723168598, -90.109854040739 29.937724242708))",590488,Sewer Line Repair (SSERP),Complete,RR050
"MULTILINESTRING ((-90.08999745798 29.959965926923, -90.090108710869 29.960019196162, -90.090388770294 29.960146345253, -90.090664656195 29.960271805917, -90.090666054457 29.960272440751, -90.091437992808 29.960623478885, -90.091521922512 29.960660865238))",591629,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Complete,DPW076
"MULTILINESTRING ((-90.129791520233 29.947369214772, -90.129824234414 29.947394876342, -90.130055843973 29.947576556195, -90.130065820668 29.947584382236, -90.130228310289 29.947717193085, -90.13044281704 29.947891983361, -90.13051509003 29.947950874559, -90.130681580971 29.948087288908))",589428,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW139
"MULTILINESTRING ((-90.071008607621 29.935175807301, -90.071009019985 29.935175892394, -90.072046150927 29.935403159908, -90.07215487753 29.93542849222))",594777,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.053836558154 29.975858759325, -90.053849376738 29.97602654655, -90.053877945532 29.976400262354, -90.053919477857 29.976869639848))",594105,Sewer Line Repair (SSERP),Complete,RR180
"MULTILINESTRING ((-90.069322965248 29.940918447189, -90.06940590627 29.940622014477))",594573,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.042652726361 30.014535091181, -90.042560636544 30.014536598181, -90.042420979728 30.014542246572, -90.042289539578 30.014550149673, -90.042178974793 30.014563002986, -90.042115478031 30.014572079054, -90.042002695995 30.014591312781, -90.041926188392 30.014606704991, -90.041801207254 30.014634673035, -90.041471728733 30.014712139953, -90.041374815753 30.014733665295))",592433,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR141
"MULTILINESTRING ((-90.099660479016 29.937453817644, -90.099700131056 29.937871347095, -90.099757208202 29.938414104733))",590151,Sewer Line Repair (SSERP),Complete,RR129
"MULTILINESTRING ((-90.134491155735 29.941272728642, -90.134505942444 29.941415475398, -90.134568758788 29.941878069497, -90.134649260485 29.942470893736, -90.13466977753 29.9426309879))",588741,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.126339124226 29.921916546075, -90.127310525177 29.922311762506, -90.127326061643 29.922318083415))",593236,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.11855997629 29.963786841875, -90.119326352485 29.964404759403, -90.11937397079 29.964439630191))",589570,Water Line Replacement (SWB),Planned,RR062
"MULTILINESTRING ((-90.05811246082 29.987828191162, -90.057772324833 29.987846657236, -90.057480656102 29.987862486546, -90.057061593395 29.987885242722))",592642,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR177
"MULTILINESTRING ((-90.076389598821 29.985216532902, -90.076270002124 29.985766469026, -90.076256008375 29.985831940553), (-90.076256194904 29.985831946734, -90.076239460229 29.985906852902, -90.076234625208 29.985928494365, -90.076173657787 29.986201385841, -90.076137279463 29.986330665437))",590838,Sewer Line Repair (SSERP),Complete,DPW349
"MULTILINESTRING ((-90.10547581302 29.956737747162, -90.105680664827 29.956728016337, -90.105793725403 29.956725657066, -90.105913628559 29.956727686702, -90.106146477041 29.956736644991, -90.106147754352 29.956736649687, -90.106288016491 29.956748318946, -90.106356141949 29.956754920567, -90.106509361613 29.956772913148, -90.106635244264 29.956791773055, -90.106822826554 29.956795685182))",592833,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW305
"MULTILINESTRING ((-90.081294344548 29.938327936358, -90.081520043568 29.93857585396, -90.081621924671 29.9386832556, -90.081709340817 29.93877540907, -90.081710458492 29.938776587286, -90.081776878353 29.938844246628, -90.081794178843 29.938861870226))",591881,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.106970820235 29.988776170296, -90.108142221941 29.988874197181, -90.108225965017 29.98888019145))",588583,Sewer Line Repair (SSERP),Complete,RR132
"MULTILINESTRING ((-90.090538975368 29.962085706247, -90.090611322449 29.96213494363, -90.091953604032 29.963048443985))",591631,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),Planned,RR125
"MULTILINESTRING ((-90.074038670043 29.926382114803, -90.074075792488 29.926425243192, -90.074710643303 29.92715643388, -90.074727844626 29.927179034983))",594709,Sewer Line Repair (SSERP),Complete,DPW442
"MULTILINESTRING ((-90.046506903241 30.003809677085, -90.046532070475 30.004157973093, -90.046566257055 30.004566634569, -90.046572782225 30.004626742308))",592418,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR056
"MULTILINESTRING ((-90.133602122197 29.928753999597, -90.133606184959 29.928879080485, -90.133611419376 29.928984871793, -90.13361192044 29.929014443196, -90.133617388105 29.929529526942, -90.133621874761 29.930470119105, -90.133621897097 29.930473606383, -90.133627035354 29.931551999489, -90.133631411892 29.932469475535, -90.133633567046 29.932921145525, -90.133637129217 29.933667912856, -90.133637162788 29.933675037963, -90.133633498811 29.933796630049, -90.133632993012 29.933904987983))",595375,Water Line Replacement (FEMA),Planned,RR009
"MULTILINESTRING ((-90.037599028553 29.970447329149, -90.037296255422 29.97148355494))",593735,Sewer Line Repair (SSERP),Planned,RR166
"MULTILINESTRING ((-90.057682796264 29.962544437977, -90.05747659735 29.962558227026, -90.057185769579 29.962577673989, -90.056516982484 29.962618780017))",591462,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.102894428656 30.011855062792, -90.102882000324 30.011952159707, -90.102859463496 30.012159714606, -90.102730672606 30.013280374138, -90.102686665524 30.01366255263))",588250,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR089
"MULTILINESTRING ((-90.105833443736 29.948558942995, -90.105900222087 29.948472300922, -90.106172284788 29.948096901714, -90.106228260791 29.948025102301, -90.106349093997 29.947961425858, -90.106455153431 29.947903132295, -90.106567675677 29.947842219315))",589691,Water Line Replacement (FEMA),Planned,RR010
"MULTILINESTRING ((-90.086907791326 29.924971832278, -90.087001894651 29.924916093729))",593289,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Planned,DPW199
"MULTILINESTRING ((-90.094409410775 29.925785073856, -90.094492355716 29.925765927417, -90.094994089178 29.925670020558, -90.095127126748 29.925644589334, -90.09523071337 29.925622115492))",590348,Sewer Line Repair (SSERP),Complete,PWF118
"MULTILINESTRING ((-90.033874522799 29.977360932938, -90.033252880851 29.977219323412, -90.033089282337 29.977184206593, -90.032991342233 29.97716036569))",593381,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-89.964338600696 30.025254096013, -89.964407607668 30.025937034016, -89.964514050128 30.027017662713))",587748,Water Line Replacement (SWB),Planned,RR147
"MULTILINESTRING ((-90.008633744091 29.970382404813, -90.008534299361 29.970349903226, -90.007681438559 29.970038425157, -90.007579670824 29.969999717423))",593510,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Complete,DPW130
"MULTILINESTRING ((-90.115930437386 29.925529135189, -90.115875061853 29.925746063993))",593014,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,SELA22
"MULTILINESTRING ((-90.066595070574 30.020341922534, -90.066686153852 30.021493531969, -90.066692321335 30.02157150231))",592257,Sewer Line Repair (ESSA),Planned,RR159
"MULTILINESTRING ((-90.124812737196 29.956508331609, -90.124067855227 29.957211374718, -90.12328031934 29.957950903373))",589547,Sewer Line Repair (SSERP),Planned,RR099
"MULTILINESTRING ((-90.065294399912 29.945231568247, -90.065285287336 29.944893152453, -90.065276110863 29.944601580566, -90.065280274047 29.944474199782))",594519,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.086128851961 29.991739364771, -90.086116927079 29.991743448999, -90.086106055258 29.991745538403, -90.0860924137 29.991748160007, -90.086073467494 29.991749526812, -90.083617882332 29.991826354539, -90.082216403003 29.991871625566, -90.080890634138 29.991914437075, -90.08077562556 29.991917378415, -90.08077558935 29.991917379831, -90.080298767834 29.99192957451))",588357,Water Line Replacement (FEMA),Planned,RR005
"MULTILINESTRING ((-90.059778046029 30.022026699484, -90.059678471478 30.022032662768, -90.058735909905 30.022089105585, -90.058647635763 30.022093557942))",592246,Water Line Replacement (FEMA),Complete,DPW353
"MULTILINESTRING ((-90.052156343348 29.969023923715, -90.052280719321 29.969071677957, -90.052282705698 29.969100711904, -90.052291803309 29.969233669696, -90.052304082779 29.969390231858, -90.052322421022 29.969624034146, -90.05233587079 29.969652810777, -90.052345300203 29.969757118853, -90.052347242993 29.969825806339))",594049,Sewer Line Repair (SSERP),Complete,DPW185
"MULTILINESTRING ((-90.098629700067 29.973066610889, -90.098691124095 29.972998874411, -90.098947019817 29.972705965414, -90.099312849787 29.972287217815, -90.099384715205 29.972208593421))",591289,Water Line Replacement (FEMA),Planned,RR125
"MULTILINESTRING ((-90.104308884937 29.936128471615, -90.104632117058 29.936102532916, -90.105318503691 29.936048513223, -90.105348350553 29.936046163616, -90.105422014203 29.936040315431))",590439,Sewer Line Replacement (ESSA),Complete,RR050
"MULTILINESTRING ((-90.105193297261 29.922547498438, -90.105298709465 29.922538095063, -90.106251946114 29.922466686225, -90.106331169382 29.922459777862))",590446,Sewer Line Repair (ESSA),Complete,RR185
"MULTILINESTRING ((-90.052343743704 29.993877647647, -90.052023379816 29.994041020801, -90.051523052763 29.99429617018, -90.051517653619 29.994298923383))",592348,Sewer Line Repair (SSERP),Complete,RR051
"MULTILINESTRING ((-90.064228728155 29.955146197738, -90.063526686834 29.955924437758))",595053,Sewer Line Repair (SSERP),Complete,DPW372
"MULTILINESTRING ((-90.035303628582 29.981012019758, -90.035273152625 29.981098870916, -90.035110352687 29.981658181961, -90.035101340642 29.981689144171, -90.034996101712 29.982050696997))",593337,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR049
"MULTILINESTRING ((-90.082673542556 29.932708695117, -90.083427969969 29.932291377914, -90.08348215348 29.932260925489))",594857,Sewer Line Repair (SSERP),Complete,DPW184
"MULTILINESTRING ((-90.082484102535 29.926219226933, -90.082706367699 29.926520353711, -90.08312620406 29.927089143421))",593249,Sewer Line Replacement (SSERP),Complete,
"MULTILINESTRING ((-90.103159021363 30.018197847808, -90.103250363874 30.018204549228, -90.103619759084 30.01823744988, -90.104169836652 30.018288146263))",588255,Sewer Line Repair (SSERP),Complete,RR085
"MULTILINESTRING ((-90.073932922144 29.968288207701, -90.074029611146 29.968354481171, -90.074056242844 29.968372735288, -90.074333278895 29.96856262318, -90.074801846517 29.968887574639))",591545,Sewer Line Repair (SSERP),Complete,RR182
"MULTILINESTRING ((-90.068076814851 29.9655301512, -90.068428424778 29.965772603257, -90.06868686289 29.965952758942, -90.068844641413 29.966060436578))",592069,Sewer Line Repair (SSERP),Complete,RR182
"MULTILINESTRING ((-90.118258093309 30.010527218859, -90.118243008216 30.010717764875, -90.118216678216 30.01108050974, -90.118190114557 30.011404826182, -90.118188315111 30.011435349544))",588074,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Complete,DPW059
"MULTILINESTRING ((-90.100010445716 29.918876353654, -90.100029965171 29.91894773875, -90.100114478034 29.919796622463, -90.100120670865 29.919878675269))",590300,Sewer Line Repair (SSERP),Complete,RR035
"MULTILINESTRING ((-90.120822926818 29.961666361872, -90.120916407209 29.961740829198, -90.121133625694 29.961920864156, -90.121631090195 29.962321459227))",589583,Sewer Line Repair (SSERP),Planned,RR099
"MULTILINESTRING ((-90.037959953828 30.015502555008, -90.038305622188 30.016669512215, -90.038327697442 30.016751255991))",592375,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR141
"MULTILINESTRING ((-90.076714673291 29.924671107945, -90.077416600532 29.924248029139, -90.07750024863 29.924194908626))",591962,Sewer Line Replacement (SSERP),Complete,DPW547
"MULTILINESTRING ((-90.009944300235 29.973042969241, -90.009918678532 29.973126458382, -90.009608043322 29.974075102414))",593443,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR104
"MULTILINESTRING ((-90.064774004236 30.010042669804, -90.064781251861 30.010148584572, -90.06482151377 30.010663319823, -90.064865461085 30.01118795805, -90.064903149771 30.011665436284, -90.064910297772 30.011746117694, -90.064917236442 30.011849378735, -90.064928755985 30.012001705266, -90.064936993575 30.012081246841))",592585,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),Planned,RR159
"MULTILINESTRING ((-90.07011253944 30.02161252499, -90.07009882376 30.021602951641, -90.070083669975 30.021595192408, -90.070067392135 30.021589409936, -90.070050328926 30.021585722223, -90.070032832685 30.021584207273, -90.069978016734 30.021582916284, -90.069893126199 30.021585455408, -90.069571808761 30.021603462095, -90.069421087392 30.021604139201, -90.069302493665 30.021608419591))",592302,Water Line Replacement (FEMA),Planned,RR159
"MULTILINESTRING ((-89.990525982759 30.037176479007, -89.990423173313 30.037222183928, -89.989760839909 30.037508261242, -89.989706822961 30.037530260361))",588020,Sewer Line Repair (SSERP),Planned,RR100
"MULTILINESTRING ((-89.982447095678 30.043730853093, -89.983369375681 30.045220826978, -89.983418372766 30.045305896471))",587972,Water Line Replacement (FEMA),Planned,RR100
"MULTILINESTRING ((-89.962168105037 30.025415255723, -89.962246575773 30.026235449489, -89.96241742989 30.027971659759))",587736,Sewer Line Repair (SSERP),Complete,RR144
"MULTILINESTRING ((-90.058094686406 29.961126767368, -90.058196581268 29.961200264236, -90.058496070945 29.961403689766, -90.058579124124 29.961463382818))",594910,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.110536396997 29.941856555552, -90.110632419022 29.941914638259, -90.111303778768 29.942307082639, -90.111405357576 29.942367793013))",593146,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.096398508837 29.933049993767, -90.097153288093 29.932897656412))",590365,Sewer Line Replacement (ESSA),Complete,RR129
"MULTILINESTRING ((-90.060164491934 29.993811017615, -90.060075101468 29.993814444922, -90.059437277642 29.99385370725, -90.059356390262 29.993858686125, -90.059089268669 29.993876969905, -90.05897512139 29.993883481614))",595282,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR032
"MULTILINESTRING ((-90.123737720619 29.921889541293, -90.123699672185 29.92197101981, -90.123527965902 29.922362395841, -90.123353307701 29.92276049601))",593057,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.087834782025 29.972193959027, -90.087712464003 29.972334401068, -90.087134393136 29.972979754388))",591170,Sewer Line Repair (SSERP),Complete,RR003
"MULTILINESTRING ((-90.081794178843 29.938861870226, -90.081822866996 29.938895376674, -90.082127515799 29.939218197538, -90.082300212934 29.939398988228, -90.082330267156 29.939430569613, -90.08233084679 29.939431176869, -90.08236560134 29.939467698378, -90.082389159783 29.939492455012))",594597,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.042023431811 29.961679215636, -90.041950330078 29.961919898765, -90.041914811472 29.962041643571, -90.041867639544 29.962203299587, -90.041844567158 29.962295610297, -90.041742189057 29.962639191293))",594223,Sewer Line Repair (SSERP),Complete,RR020
"MULTILINESTRING ((-90.081603738825 29.952667228337, -90.08186577768 29.95276986076, -90.082050037287 29.952839466957, -90.082491680545 29.953006300603, -90.082521131143 29.953017425307, -90.082568581079 29.95303195386, -90.082617919687 29.953040471658, -90.082668146048 29.953042806737, -90.082718245156 29.953038911609, -90.082767202037 29.95302886498))",595360,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.126849203138 29.938733422477, -90.126276210668 29.939456439307))",588767,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.073017206286 29.937691296144, -90.073104887982 29.937743613652, -90.073144544148 29.937767275515, -90.073656299537 29.938054757691, -90.073712055394 29.93808579411, -90.07372132266 29.938090952345, -90.07384880489 29.938161915344, -90.074144330784 29.938326416462))",594791,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.074144330784 29.938326416462, -90.074200155753 29.938410298769, -90.07443444849 29.938543533709, -90.074819621392 29.938759833762, -90.074976852673 29.938848129521, -90.075117004586 29.93892650853, -90.07532619952 29.939045352297, -90.075382185305 29.939076973104))",591946,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.106850662488 29.94348868021, -90.106845208644 29.943565589346, -90.106837757055 29.943716283636, -90.106834794584 29.943783258122))",590095,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR011
"MULTILINESTRING ((-90.017771443672 29.970386379447, -90.017738739968 29.97046633031, -90.01742157512 29.971415135427))",593613,Sewer Line Repair (ESSA),Complete,PWF156
"MULTILINESTRING ((-90.103684138083 30.013752990546, -90.103674943186 30.013830207609, -90.103627338662 30.014229399184, -90.103525823168 30.015131276289, -90.103473211265 30.015557691451))",588245,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR088
"MULTILINESTRING ((-90.059690523121 30.020984780371, -90.059604584265 30.020991882371, -90.058653257432 30.021045380629, -90.058561556592 30.021047961797))",592245,Water Line Replacement (FEMA),Planned,RR130
"MULTILINESTRING ((-90.073928034596 29.941395002059, -90.074004654587 29.941438244937, -90.074340490676 29.94162651711, -90.074626563471 29.941786890999, -90.074802152546 29.941884852084, -90.075106887936 29.942055957621))",591945,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.120588248883 30.016943429956, -90.120585752006 30.017010714847, -90.120534752001 30.017690440753, -90.120527494411 30.017765570688))",588058,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR197
"MULTILINESTRING ((-89.929794681022 30.036769431251, -89.929687305359 30.036801930134, -89.929043279433 30.03699623711, -89.928742293495 30.03708403779, -89.928118282332 30.037271883688, -89.927933176508 30.037330748492, -89.927493387473 30.037465378436, -89.926930696951 30.037632823364, -89.926766498045 30.037683090442))",587701,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.12571045878 29.942735131621, -90.12561373354 29.942827668347, -90.124955118708 29.943435999018))",588734,Sewer Line Repair (SSERP),Planned,RR009
"MULTILINESTRING ((-90.007198731906 29.918492464902, -90.005701995097 29.918425133045))",595660,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW012
"MULTILINESTRING ((-90.112757115048 29.920495263248, -90.112848135385 29.920519940132, -90.113253346777 29.92058597735, -90.113757954954 29.920670199974, -90.113772777727 29.920672634554))",593153,Sewer Line Repair (SSERP),Complete,DPW114
"MULTILINESTRING ((-90.119664457543 30.012122199887, -90.120987001375 30.012195543012))",590743,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.04027174925 29.964380359641, -90.040245045517 29.964459108073, -90.040143839151 29.964799473934, -90.039978972436 29.965350753436))",594210,Sewer Line Repair (SSERP),Complete,PWF099
"MULTILINESTRING ((-90.0341247424 30.018537327496, -90.034142159327 30.018596339601, -90.034339633277 30.019164782784, -90.034382805415 30.019296306086, -90.034641780018 30.020044663944, -90.034817937548 30.020537374418, -90.034923476545 30.020838537602, -90.034956045367 30.020924085403))",592181,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),Planned,RR140
