BAVN ID,Department,Status,Category,Type,Open Date,Due Date,Title,BAVN Link
39643,General Services,Open,Commodity,Request For Quote,04/23/2020 02:34:00 AM,05/14/2020 02:34:00 AM,TRUCK UTILITY 4X4,https://www.labavn.org/bid.cfm?39643
39580,General Services,Amended,Commodity,Request For Quote,05/05/2020 10:19:00 AM,05/19/2020 10:19:00 AM,HYUNDAI KONA PER SPEC FD620WAWMBD 220,https://www.labavn.org/bid.cfm?39580
39331,Airports Los Angeles World,Amended,Commodity,Request For Bid,03/03/2020 04:00:00 AM,05/14/2020 04:00:00 AM,120012 Runway Rubber and Paint Removal for LAX,https://www.labavn.org/bid.cfm?39331
39735,Water & Power,Open,Commodity,Request For Bid,05/08/2020 09:00:00 AM,06/11/2020 09:00:00 AM,IFB 129599  24 STAINLESS STEEL BUTTERFLY VALVES,https://www.labavn.org/bid.cfm?39735
39016,Airports Los Angeles World,Amended,Personal Services,Request For Proposal,02/03/2020 05:00:00 AM,06/01/2020 05:00:00 AM,Request for Proposals  Smart Parking at LAX and Van Nuys Airports,https://www.labavn.org/bid.cfm?39016
39702,Airports Los Angeles World,Open,Commodity,Request For Bid,05/05/2020 05:00:00 AM,06/04/2020 05:00:00 AM,120022 Continuous Emissions Monitoring System CEMS Sampling Maintenance at Los Angeles International Airport,https://www.labavn.org/bid.cfm?39702
39601,Engineering Bureau Public Works,Amended,Personal Services,Task Order Solicitation,04/17/2020 02:00:00 AM,06/05/2020 02:00:00 AM,TOS 4  Project Design Services for Affordable Housing and Sustainability Communities AHSC Round 4 Projects,https://www.labavn.org/bid.cfm?39601
39731,General Services,Open,Commodity,Request For Quote,05/07/2020 04:49:00 AM,05/12/2020 04:49:00 AM,Angel Mix,https://www.labavn.org/bid.cfm?39731
39572,Airports Los Angeles World,Amended,Commodity,Request For Bid,04/10/2020 06:00:00 AM,05/14/2020 06:00:00 AM,120016 Purchase Installation and Servicing of Window Coverings at Los Angeles International Airport,https://www.labavn.org/bid.cfm?39572
38951,Airports Los Angeles World,Amended,Commodity,Request For Bid,01/27/2020 05:00:00 AM,05/14/2020 05:00:00 AM,120006 Supply and Delivery of Stripe Hog ReplacementRepair Parts at Los Angeles International Airport,https://www.labavn.org/bid.cfm?38951
39639,General Services,Amended,Commodity,Request For Quote,04/30/2020 12:39:00 PM,05/14/2020 12:39:00 PM,Squeeze Tool,https://www.labavn.org/bid.cfm?39639
39728,Water & Power,Open,Commodity,Request For Bid,05/07/2020 02:40:00 AM,05/21/2020 02:40:00 AM,VEHICLE ALL TERRAIN,https://www.labavn.org/bid.cfm?39728
38577,General Services,Open,Personal Services,Request For Proposal,12/11/2019 05:00:00 AM,06/30/2024 05:00:00 AM,Popup Operators at Los Angeles Mall in Downtown LA,https://www.labavn.org/bid.cfm?38577
39401,Housing and Community Investment,Amended,Personal Services,Request For Proposal,03/16/2020 06:00:00 AM,05/13/2020 06:00:00 AM,Tenant Relocation Assistance Services,https://www.labavn.org/bid.cfm?39401
39679,General Services,Amended,Commodity,Request For Bid,05/05/2020 04:34:00 AM,05/20/2020 04:34:00 AM,Radio Testing Equipment,https://www.labavn.org/bid.cfm?39679
39681,Water & Power,Amended,Commodity,Request For Bid,04/30/2020 03:00:00 AM,05/28/2020 03:00:00 AM,COMPRESSED NATURAL GAS CNG TREE TRIMMER TRUCKS,https://www.labavn.org/bid.cfm?39681
39605,General Services,Open,Commodity,Request For Bid,04/21/2020 12:50:00 PM,05/12/2020 12:50:00 PM,PICKUP CREW CAB 4X4,https://www.labavn.org/bid.cfm?39605
39655,Housing Authority City of Los Angeles,Open,Construction,Request For Bid,04/27/2020 12:00:00 PM,05/26/2020 12:00:00 PM,Tree Trimming and Removal Services,https://www.labavn.org/bid.cfm?39655
39636,Harbor Department Port of Los Angeles,Open,Commodity,Request For Bid,04/23/2020 09:00:00 AM,05/15/2020 09:00:00 AM,Special Event Temporary Fencing,https://www.labavn.org/bid.cfm?39636
39619,Water & Power,Amended,Commodity,Request For Bid,04/21/2020 03:58:00 AM,06/03/2020 03:58:00 AM,MEDIUM VOLTAGE CABLE FOR FEDERALLY FUNDED PROJECTS,https://www.labavn.org/bid.cfm?39619
39616,Airports Los Angeles World,Amended,Personal Services,Request For Proposal,04/21/2020 07:00:00 AM,05/22/2020 07:00:00 AM,Request for Proposals  Direct Pay Letter of Credit,https://www.labavn.org/bid.cfm?39616
39146,Water & Power,Amended,Personal Services,Request For Interest,02/14/2020 12:00:00 PM,05/21/2020 12:00:00 PM,Customer Contact Center Interactive Voice Response Replacement  RFI NO 21220JOINT1KM,https://www.labavn.org/bid.cfm?39146
39713,Water & Power,Open,Commodity,Request For Bid,05/06/2020 03:34:00 AM,05/26/2020 03:34:00 AM,IFB 132108 NETWORK TESTER  ALBEDO XGENIUS,https://www.labavn.org/bid.cfm?39713
38862,Animal Services,Amended,Personal Services,Request For Qualification,02/19/2020 06:00:00 AM,05/15/2020 06:00:00 AM,LA Animal Services SpayNeuter Clinics SpayNeuter Mobile Clinics And SpayNeuter Support Services,https://www.labavn.org/bid.cfm?38862
39701,General Services,Open,Commodity,Request For Quote,05/05/2020 10:04:00 AM,05/12/2020 10:04:00 AM,Central Belt Drive Blowers Mfr Central Blower Co,https://www.labavn.org/bid.cfm?39701
39176,Police,Open,Personal Services,Request For Proposal,02/20/2020 06:00:00 AM,05/11/2020 06:00:00 AM,Security Guard Services for the City of Los Angeles,https://www.labavn.org/bid.cfm?39176
39596,General Services,Amended,Commodity,Request For Quote,05/07/2020 09:20:00 AM,05/14/2020 09:20:00 AM,GAS Detector NOX,https://www.labavn.org/bid.cfm?39596
39706,General Services,Open,Commodity,Request For Quote,05/06/2020 09:35:00 AM,05/20/2020 09:35:00 AM,VAN HANDICAP,https://www.labavn.org/bid.cfm?39706
39657,Engineering Bureau Public Works,Amended,Construction,Request For Bid,04/28/2020 05:00:00 AM,06/02/2020 05:00:00 AM,Western Avenue Bus Stop and Pedestrian Improvement Project,https://www.labavn.org/bid.cfm?39657
39678,General Services,Amended,Commodity,Request For Quote,05/07/2020 09:36:00 AM,05/14/2020 09:36:00 AM,Rolling Bearing Grease,https://www.labavn.org/bid.cfm?39678
39700,Water & Power,Amended,Commodity,Request For Bid,05/05/2020 08:14:00 AM,05/26/2020 08:14:00 AM,IFB 132119  BULK AND WATER SOFTENER SALT,https://www.labavn.org/bid.cfm?39700
39500,Street Services Bureau Public Works,Amended,Construction,Request For Bid,03/27/2020 06:00:00 AM,05/26/2020 06:00:00 AM,015895  Tree Trimming for Street Lighting in the Parkways of Woodbridge Street,https://www.labavn.org/bid.cfm?39500
39200,Harbor Department Port of Los Angeles,Amended,Construction,Request For Bid,02/20/2020 03:00:00 AM,05/21/2020 03:00:00 AM,Wilmington Waterfront Promenade and Building Demolition,https://www.labavn.org/bid.cfm?39200
39434,Street Services Bureau Public Works,Amended,Construction,Request For Bid,03/16/2020 07:00:00 AM,05/19/2020 07:00:00 AM,015735  Landscape Maintenance of Median Islands  BayHarbor,https://www.labavn.org/bid.cfm?39434
39718,Water & Power,Open,Commodity,Request For Bid,05/07/2020 08:36:00 AM,06/12/2020 08:36:00 AM,IFB 130128R1  12INCH REGULATOR AND RELIEF VALVES FOR CORONADO TRUNK LINE,https://www.labavn.org/bid.cfm?39718
39427,Street Services Bureau Public Works,Amended,Construction,Request For Bid,03/16/2020 01:00:00 AM,05/19/2020 01:00:00 AM,015736  Landscape Maintenance of Median Islands  East Valley,https://www.labavn.org/bid.cfm?39427
39723,General Services,Open,Commodity,Request For Quote,05/07/2020 02:34:00 AM,05/12/2020 02:34:00 AM,Generator XRay,https://www.labavn.org/bid.cfm?39723
39573,Water & Power,Open,Commodity,Request For Bid,04/13/2020 08:21:00 AM,05/13/2020 08:21:00 AM,IFB 131096 NORTH HAIWEE MANUFACTURED HOME,https://www.labavn.org/bid.cfm?39573
39345,Personnel,Open,Personal Services,Request For Proposal,03/13/2020 06:00:00 AM,06/02/2020 06:00:00 AM,PreApproved Human Resources and Training Services Consultants List,https://www.labavn.org/bid.cfm?39345
39729,Water & Power,Open,Commodity,Request For Bid,05/07/2020 02:34:00 AM,05/21/2020 02:34:00 AM,IFB NO 132152  LUMINAIRE LED STREET  FLOOD LIGHTS,https://www.labavn.org/bid.cfm?39729
39684,Water & Power,Amended,Commodity,Request For Bid,05/01/2020 08:55:00 AM,05/14/2020 08:55:00 AM,IFB 131514  GREEN VERDUGO FCRP STRONG MOTION SENSOR EQUIPMENT,https://www.labavn.org/bid.cfm?39684
39650,Water & Power,Open,Commodity,Request For Bid,04/24/2020 11:08:00 AM,05/14/2020 11:08:00 AM,PAPER FOLDING MACHINE,https://www.labavn.org/bid.cfm?39650
39708,General Services,Open,Commodity,Request For Quote,05/06/2020 12:35:00 PM,05/12/2020 12:35:00 PM,Equipment Gardening,https://www.labavn.org/bid.cfm?39708
39714,General Services,Open,Commodity,Request For Quote,05/07/2020 07:05:00 AM,05/14/2020 07:05:00 AM,Dual Range AC Voltage Detector,https://www.labavn.org/bid.cfm?39714
39656,Housing Authority City of Los Angeles,Amended,Construction,Request For Quote,04/27/2020 01:00:00 AM,05/13/2020 01:00:00 AM,Resurfacing and Refinishing Bathtubs Sinks and Countertops,https://www.labavn.org/bid.cfm?39656
39530,Water & Power,Amended,Commodity,Request For Bid,04/02/2020 01:28:00 AM,05/11/2020 01:28:00 AM,POLE LINE HARDWARE,https://www.labavn.org/bid.cfm?39530
39615,Water & Power,Amended,Commodity,Request For Bid,04/21/2020 01:58:00 AM,05/21/2020 01:58:00 AM,CABLE PAPERINSULATED LEADCOVERED PILC,https://www.labavn.org/bid.cfm?39615
39717,General Services,Open,Commodity,Request For Quote,05/07/2020 08:49:00 AM,05/21/2020 08:49:00 AM,VAN MINI PASSENGER,https://www.labavn.org/bid.cfm?39717
39600,Water & Power,Amended,Commodity,Request For Bid,04/17/2020 09:52:00 AM,05/12/2020 09:52:00 AM,PUMPING UNITS,https://www.labavn.org/bid.cfm?39600
39687,Harbor Department Port of Los Angeles,Open,Commodity,Request For Bid,05/01/2020 10:00:00 AM,05/14/2020 10:00:00 AM,Cleaning Tools and Supplies,https://www.labavn.org/bid.cfm?39687
39721,Water & Power,Open,Commodity,Request For Bid,05/07/2020 11:56:00 AM,05/29/2020 11:56:00 AM,WATER TRUCK PARTS VALEW,https://www.labavn.org/bid.cfm?39721
39659,Water & Power,Amended,Commodity,Request For Bid,04/28/2020 06:53:00 AM,05/12/2020 06:53:00 AM,IFB 131975  4 FEBCO LEAD FREE DETECTOR CHECK,https://www.labavn.org/bid.cfm?39659
39666,General Services,Amended,Commodity,Request For Quote,05/01/2020 02:51:00 AM,05/14/2020 02:51:00 AM,DECALS,https://www.labavn.org/bid.cfm?39666
39568,Housing Authority City of Los Angeles,Amended,Personal Services,Request For Proposal,04/10/2020 08:00:00 AM,05/13/2020 08:00:00 AM,Legal Services,https://www.labavn.org/bid.cfm?39568
39498,Street Services Bureau Public Works,Amended,Construction,Request For Bid,03/27/2020 03:00:00 AM,05/26/2020 03:00:00 AM,015894  Tree Trimming for Street Lighting in the Parkways of 25th Street,https://www.labavn.org/bid.cfm?39498
39720,General Services,Open,Commodity,Request For Quote,05/07/2020 10:20:00 AM,05/12/2020 10:20:00 AM,CLARTS Warehouse Lighting Materials,https://www.labavn.org/bid.cfm?39720
39686,Airports Los Angeles World,Open,Commodity,Request For Bid,05/01/2020 05:00:00 AM,06/04/2020 05:00:00 AM,120026 Supply And Delivery of New Pumps and Pump Parts at Los Angeles International Airport,https://www.labavn.org/bid.cfm?39686
39704,Recreation and Parks,Open,Construction,Request For Bid,05/07/2020 05:00:00 AM,06/16/2020 05:00:00 AM,Venice Beach Pier Maintenance and Repair,https://www.labavn.org/bid.cfm?39704
39688,Airports Los Angeles World,Open,Commodity,Request For Bid,05/01/2020 05:00:00 AM,06/04/2020 05:00:00 AM,120028 Supply And Delivery Of Custodial Equipment Parts at Los Angeles International Airport and Van Nuys Airport,https://www.labavn.org/bid.cfm?39688
39621,General Services,Amended,Commodity,Request For Quote,05/06/2020 10:19:00 AM,05/13/2020 10:19:00 AM,DODGE RAM 1500 PROMASTER CARGO VAN 136WB HIGH ROOF EXT,https://www.labavn.org/bid.cfm?39621
39633,Water & Power,Amended,Commodity,Request For Bid,04/22/2020 03:41:00 AM,06/10/2020 03:41:00 AM,CONNECTORS FOR OVERHEAD POWER DISTRIBUTION LINES,https://www.labavn.org/bid.cfm?39633
39727,Water & Power,Open,Commodity,Request For Bid,05/07/2020 02:17:00 AM,05/27/2020 02:17:00 AM,HAND SOAP AND SCOURING POWDER,https://www.labavn.org/bid.cfm?39727
39642,Water & Power,Amended,Commodity,Request For Bid,04/23/2020 12:51:00 PM,05/13/2020 12:51:00 PM,IFB 127375R1  SERVICES INTERMITTENT TREE TRIMMING MONO AND INYO COUNTIES,https://www.labavn.org/bid.cfm?39642
39652,Airports Los Angeles World,Open,Commodity,Request For Bid,04/27/2020 08:00:00 AM,05/28/2020 08:00:00 AM,120025 Supply And Delivery Of Scaffolding Rental  Services at Los Angeles International Airport and  Van Nuys Airport,https://www.labavn.org/bid.cfm?39652
39725,Water & Power,Open,Commodity,Request For Bid,05/07/2020 04:00:00 AM,05/22/2020 04:00:00 AM,IFB 132082  ELECTRICAL JUNCTION BOXES FOR LAAFP O2 STATION,https://www.labavn.org/bid.cfm?39725
39733,General Services,Amended,Commodity,Request For Quote,05/08/2020 07:05:00 AM,05/12/2020 07:05:00 AM,Workstation TECAN EVO752,https://www.labavn.org/bid.cfm?39733
39719,Water & Power,Open,Commodity,Request For Bid,05/07/2020 08:47:00 AM,05/22/2020 08:47:00 AM,IFB 131301  OWENS LAKE T3 VFD REPLACEMENT,https://www.labavn.org/bid.cfm?39719
39716,General Services,Open,Commodity,Request For Bid,05/07/2020 08:49:00 AM,05/21/2020 08:49:00 AM,TRUCK UTILITY 4X2,https://www.labavn.org/bid.cfm?39716
39613,Water & Power,Open,Commodity,Request For Bid,04/21/2020 03:00:00 AM,05/13/2020 03:00:00 AM,IFB NO 130838  MODULAR SOUND BARRIER SYSTEM,https://www.labavn.org/bid.cfm?39613
39726,General Services,Open,Commodity,Request For Quote,05/07/2020 03:49:00 AM,05/12/2020 03:49:00 AM,Concrete Tools and Related Products,https://www.labavn.org/bid.cfm?39726
39696,Building�and Safety,Open,Personal Services,Request For Proposal,05/07/2020 10:00:00 AM,06/25/2020 10:00:00 AM,Mail Processing Services,https://www.labavn.org/bid.cfm?39696
39595,Water & Power,Amended,Commodity,Request For Bid,04/15/2020 01:01:00 AM,05/15/2020 01:01:00 AM,TERMINATION 138 KV CABLE XLPE INSULATED,https://www.labavn.org/bid.cfm?39595
39630,Airports Los Angeles World,Open,Commodity,Request For Bid,04/22/2020 05:00:00 AM,05/21/2020 05:00:00 AM,120019 Management of Commercial Vehicle Holding Lot at Los Angeles International Airport,https://www.labavn.org/bid.cfm?39630
39539,Police,Open,Personal Services,Request For Proposal,04/09/2020 06:00:00 AM,05/21/2020 06:00:00 AM,Canine Veterinary Services for the Los Angeles Police Department,https://www.labavn.org/bid.cfm?39539
