mixedUseAssessmentKey,provalLrsnId,realEstatePropertyCode,assessmentChangeReasonTypeDsc,mixedUseAssessmentDate,commercialLandAmt,commercialImprovementAmt,totalCommercialAmt,residentialLandAmt,residentialImprovementAmt,totalResidentialAmt
339,25865,15067008,,2010-01-01T00:00:00.000Z,504600,6100,510700,56000,43800,99800
343,25865,15067008,,2008-01-01T00:00:00.000Z,494600,48000,542600,66000,37700,103700
347,25996,15074008,,2012-01-01T00:00:00.000Z,33900,1688800,1722700,2899400,76248400,79147800
351,25996,15074008,01- Annual,2013-01-01T00:00:00.000Z,33900,1709800,1743700,2899400,11233800,14133200
355,25996,15074008,03- Board of Equalization,2016-09-19T00:00:00.000Z,33900,1862900,1896800,3355000,14651100,18006100
359,25996,15074008,03- Board of Equalization,2018-08-21T00:00:00.000Z,33900,1902700,1936600,3562100,14811200,18373300
363,25997,15074009,01- Annual,2020-01-01T00:00:00.000Z,37400,0,37400,3550000,15802200,19352200
367,25997,15074009,01- Annual,2019-01-01T00:00:00.000Z,33900,0,33900,3562100,15760900,19323000
371,25997,15074009,05- Review,2015-09-03T00:00:00.000Z,33900,0,33900,3189400,14545500,17734900
375,25997,15074009,,2008-01-01T00:00:00.000Z,33900,0,33900,2724400,0,2724400
379,25997,15074009,,2010-01-01T00:00:00.000Z,27100,0,27100,2311600,0,2311600
383,25998,15074010,,2009-01-01T00:00:00.000Z,25400,0,25400,2043300,0,2043300
387,25998,15074010,01- Annual,2015-01-01T00:00:00.000Z,25400,0,25400,2392000,10938600,13330600
391,25998,15074010,03- Board of Equalization,2019-10-10T00:00:00.000Z,25900,0,25900,2662500,11445700,14108200
395,25998,15074010,01- Annual,2017-01-01T00:00:00.000Z,25400,0,25400,2671600,10938100,13609700
399,25999,15074011,01- Annual,2018-01-01T00:00:00.000Z,25700,0,25700,2695500,0,2695500
403,25999,15074011,01- Annual,2016-01-01T00:00:00.000Z,25700,0,25700,2538700,11122300,13661000
407,25999,15074011,01- Annual,2014-01-01T00:00:00.000Z,25700,0,25700,2194000,10681500,12875500
411,25999,15074011,,2011-01-01T00:00:00.000Z,23500,0,23500,1880600,0,1880600
2,8773,05031006,,2011-01-01T00:00:00.000Z,123000,203600,326600,273900,250000,523900
6,8773,05031006,01- Annual,2013-01-01T00:00:00.000Z,123000,238000,361000,273900,286900,560800
10,8862,05038013,01- Annual,2014-01-01T00:00:00.000Z,73900,91900,165800,280500,213100,493600
14,8862,05038013,,2010-01-01T00:00:00.000Z,73900,84200,158100,280500,33900,314400
18,9321,05056002,,2011-01-01T00:00:00.000Z,449700,0,449700,2695000,1000,2696000
22,9712,06002031,,2008-01-01T00:00:00.000Z,156500,213900,370400,66000,40800,106800
26,9712,06002031,,2011-01-01T00:00:00.000Z,166500,163500,330000,56000,55900,111900
30,10406,06028015,01- Annual,2015-01-01T00:00:00.000Z,207100,141500,348600,0,316900,316900
34,10406,06028015,,2010-01-01T00:00:00.000Z,74500,224600,299100,132000,67500,199500
38,10855,07006012,,2008-01-01T00:00:00.000Z,583900,420100,1004000,132000,217500,349500
42,10855,07006012,,2011-01-01T00:00:00.000Z,495900,498000,993900,220000,132500,352500
46,10859,07006016,01- Annual,2015-01-01T00:00:00.000Z,52500,221100,273600,401600,875300,1276900
50,10859,07006016,,2012-01-01T00:00:00.000Z,52500,188600,241100,363100,829000,1192100
54,10859,07006016,,2009-01-01T00:00:00.000Z,63000,187100,250100,488900,591700,1080600
58,11215,07007037,,2008-01-01T00:00:00.000Z,142500,299500,442000,519300,473200,992500
62,11215,07007037,,2011-01-01T00:00:00.000Z,109300,267800,377100,332100,582400,914500
66,11215,07007037,01- Annual,2016-01-01T00:00:00.000Z,118800,285300,404100,377600,575300,952900
70,11406,07012015,,2012-01-01T00:00:00.000Z,366500,60200,426700,120000,102600,222600
74,11406,07012015,,2009-01-01T00:00:00.000Z,354500,17200,371700,132000,100800,232800
78,15138,10028012,01- Annual,2013-01-01T00:00:00.000Z,140000,647800,787800,360000,182000,542000
82,15138,10028012,01- Annual,2014-01-01T00:00:00.000Z,140000,647800,787800,360000,299900,659900
86,15235,10035023,,2010-01-01T00:00:00.000Z,1102000,13200,1115200,198000,62200,260200
90,16193,11012005,,2008-01-01T00:00:00.000Z,30300,0,30300,1097900,0,1097900
94,16197,11012010,,2008-01-01T00:00:00.000Z,18800,0,18800,680300,0,680300
98,16211,11012026,,2008-01-01T00:00:00.000Z,50800,0,50800,1843700,0,1843700
102,19078,13018014,01- Annual,2018-01-01T00:00:00.000Z,54000,29600,83600,3093300,1299100,4392400
106,19601,13031015,,2009-01-01T00:00:00.000Z,171500,101300,272800,66000,462600,528600
110,19601,13031015,,2012-01-01T00:00:00.000Z,177500,125000,302500,60000,496500,556500
114,21915,14022010,01- Annual,2013-01-01T00:00:00.000Z,124600,209100,333700,180000,106200,286200
118,21915,14022010,01- Annual,2014-01-01T00:00:00.000Z,174000,247300,421300,174100,44400,218500
122,22482,14032003,01- Annual,2017-01-01T00:00:00.000Z,87500,0,87500,5615000,20439400,26054400
126,22508,14035003,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
130,22513,14035010,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
134,22518,14035015,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
138,22522,14035020,01- Annual,2013-01-01T00:00:00.000Z,12900,0,12900,626300,0,626300
142,23311,14042574,01- Annual,2016-01-01T00:00:00.000Z,287700,2219100,2506800,31023000,119753600,150776600
146,23311,14042574,01- Annual,2014-01-01T00:00:00.000Z,287700,1935900,2223600,26810000,130922900,157732900
150,23311,14042574,01- Annual,2020-01-01T00:00:00.000Z,311700,2174000,2485700,32938000,127987000,160925000
154,23311,14042574,,2010-01-01T00:00:00.000Z,230200,1569100,1799300,21448000,85602800,107050800
158,23343,14045008,,2011-01-01T00:00:00.000Z,1477400,6681500,8158900,27995000,102096000,130091000
162,23343,14045008,,2009-10-01T00:00:00.000Z,1611700,7354300,8966000,33594000,104160200,137754200
166,23343,14045008,01- Annual,2013-01-01T00:00:00.000Z,1611700,8427600,10039300,35630000,128250900,163880900
170,23343,14045008,01- Annual,2018-01-01T00:00:00.000Z,1611700,7637500,9249200,43774000,123264200,167038200
174,23343,14045008,03- Board of Equalization,2014-08-29T00:00:00.000Z,1611700,9546700,11158400,35630000,121967900,157597900
178,23343,14045008,01- Annual,2017-01-01T00:00:00.000Z,1611700,7657400,9269100,43774000,114729900,158503900
182,23344,14046006,01- Annual,2017-01-01T00:00:00.000Z,18700,0,18700,2992400,0,2992400
186,23344,14046006,,2008-01-01T00:00:00.000Z,18700,0,18700,2296500,0,2296500
190,23344,14046006,,2012-01-01T00:00:00.000Z,18700,0,18700,2435700,0,2435700
194,23348,14046026,,2011-01-01T00:00:00.000Z,1300,0,1300,161000,0,161000
198,23348,14046026,01- Annual,2013-01-01T00:00:00.000Z,1400,0,1400,187800,0,187800
202,23348,14046026,01- Annual,2014-01-01T00:00:00.000Z,1400,0,1400,187800,0,187800
206,23349,14046027,01- Annual,2015-01-01T00:00:00.000Z,8000,0,8000,1145400,0,1145400
210,23349,14046027,01- Annual,2019-01-01T00:00:00.000Z,8000,0,8000,1279300,0,1279300
214,23349,14046027,,2010-01-01T00:00:00.000Z,6400,0,6400,833000,0,833000
218,23350,14046028,01- Annual,2020-01-01T00:00:00.000Z,10100,0,10100,1496200,0,1496200
222,23350,14046028,,2009-01-01T00:00:00.000Z,9300,0,9300,1148200,0,1148200
226,23350,14046028,01- Annual,2018-01-01T00:00:00.000Z,9300,0,9300,1496200,0,1496200
230,23350,14046028,01- Annual,2016-01-01T00:00:00.000Z,9300,0,9300,1409200,0,1409200
234,23351,14046029,01- Annual,2014-01-01T00:00:00.000Z,155800,1278200,1434000,20317400,95657000,115974400
238,23351,14046029,01- Annual,2019-01-01T00:00:00.000Z,155800,1191600,1347400,24961300,93367100,118328400
242,23351,14046029,01- Annual,2013-01-01T00:00:00.000Z,155800,1170100,1325900,20317400,97428600,117746000
246,23351,14046029,,2011-01-01T00:00:00.000Z,142800,1016100,1158900,17414900,76342600,93757500
250,23353,14047019,01- Annual,2020-01-01T00:00:00.000Z,367900,7149700,7517600,28685400,214118300,242803700
254,23353,14047019,,2009-01-01T00:00:00.000Z,339600,3869400,4209000,22014400,145767500,167781900
258,23353,14047019,01- Annual,2018-01-01T00:00:00.000Z,339600,0,339600,28685400,0,28685400
262,23353,14047019,01- Annual,2015-01-01T00:00:00.000Z,339600,6685000,7024600,25683400,203793900,229477300
266,23354,14047020,01- Annual,2015-01-01T00:00:00.000Z,387300,0,387300,29294600,0,29294600
270,23354,14047020,01- Annual,2019-01-01T00:00:00.000Z,387300,0,387300,32718600,0,32718600
274,23354,14047020,,2010-01-01T00:00:00.000Z,309800,0,309800,21305200,0,21305200
278,23846,14050036,,2012-01-01T00:00:00.000Z,588000,1857000,2445000,30660000,123550600,154210600
282,23846,14050036,,2008-01-01T00:00:00.000Z,588000,1274000,1862000,28908000,107826400,136734400
286,23846,14050036,01- Annual,2018-01-01T00:00:00.000Z,588000,2963900,3551900,37410000,130926400,168336400
290,23846,14050036,01- Annual,2016-01-01T00:00:00.000Z,588000,2286000,2874000,35235000,133728100,168963100
294,23850,14051019,01- Annual,2015-01-01T00:00:00.000Z,552000,0,552000,18249000,1000,18250000
298,23850,14051019,01- Annual,2020-01-01T00:00:00.000Z,598000,0,598000,20382000,1000,20383000
302,23850,14051019,,2010-01-01T00:00:00.000Z,441600,0,441600,13272000,1000,13273000
306,24283,14060013,,2008-01-01T00:00:00.000Z,1767500,216700,1984200,0,0,0
310,24296,14060036,,2008-01-01T00:00:00.000Z,2329700,184000,2513700,0,0,0
314,24310,14060061,,2009-01-01T00:00:00.000Z,18000,0,18000,10400,0,10400
318,25775,15062003,01- Annual,2013-01-01T00:00:00.000Z,227200,135500,362700,120000,95300,215300
322,25775,15062003,01- Annual,2014-01-01T00:00:00.000Z,227200,135500,362700,120000,178800,298800
326,25815,15064001,01- Annual,2013-01-01T00:00:00.000Z,359400,318100,677500,120000,95300,215300
330,25841,15066001,,2008-01-01T00:00:00.000Z,452400,407700,860100,132000,59800,191800
334,25841,15066001,,2010-01-01T00:00:00.000Z,472400,323400,795800,112000,82500,194500
338,25865,15067008,01- Annual,2014-01-01T00:00:00.000Z,500600,68200,568800,60000,65300,125300
342,25865,15067008,01- Annual,2013-01-01T00:00:00.000Z,500600,59500,560100,60000,65300,125300
346,25996,15074008,,2010-01-01T00:00:00.000Z,27100,1029400,1056500,2311600,61292200,63603800
350,25996,15074008,,2008-01-01T00:00:00.000Z,33900,1293800,1327700,2724400,75149800,77874200
354,25996,15074008,05- Review,2015-09-03T00:00:00.000Z,33900,1834500,1868400,3189400,14545500,17734900
358,25996,15074008,01- Annual,2019-01-01T00:00:00.000Z,33900,1904800,1938700,3562100,15760900,19323000
362,25996,15074008,01- Annual,2020-01-01T00:00:00.000Z,37400,1607400,1644800,3550000,15802200,19352200
366,25997,15074009,03- Board of Equalization,2018-08-21T00:00:00.000Z,33900,0,33900,3562100,14811200,18373300
370,25997,15074009,03- Board of Equalization,2016-09-19T00:00:00.000Z,33900,0,33900,3355000,14651100,18006100
374,25997,15074009,01- Annual,2013-01-01T00:00:00.000Z,33900,0,33900,2899400,11233800,14133200
378,25997,15074009,,2012-01-01T00:00:00.000Z,33900,0,33900,2899400,0,2899400
382,25998,15074010,,2011-01-01T00:00:00.000Z,23300,0,23300,1863900,0,1863900
386,25998,15074010,01- Annual,2014-01-01T00:00:00.000Z,25400,0,25400,2174600,10581600,12756200
390,25998,15074010,01- Annual,2016-01-01T00:00:00.000Z,25400,0,25400,2516300,11018400,13534700
394,25998,15074010,01- Annual,2018-01-01T00:00:00.000Z,25400,0,25400,2671600,0,2671600
398,25999,15074011,01- Annual,2017-01-01T00:00:00.000Z,25700,0,25700,2695500,11041300,13736800
402,25999,15074011,03- Board of Equalization,2019-10-10T00:00:00.000Z,26100,0,26100,2686300,11553700,14240000
406,25999,15074011,01- Annual,2015-01-01T00:00:00.000Z,25700,0,25700,2413400,11041800,13455200
410,25999,15074011,,2009-01-01T00:00:00.000Z,25700,0,25700,2061500,0,2061500
414,26000,15074012,,2010-01-01T00:00:00.000Z,13700,0,13700,1166100,0,1166100
418,26000,15074012,,2008-01-01T00:00:00.000Z,17100,0,17100,1374400,0,1374400
422,26000,15074012,05- Review,2015-09-03T00:00:00.000Z,17100,0,17100,1608900,7324300,8933200
426,26000,15074012,01- Annual,2019-01-01T00:00:00.000Z,17100,0,17100,1797000,7936300,9733300
430,26000,15074012,01- Annual,2020-01-01T00:00:00.000Z,18800,0,18800,1790800,7957100,9747900
434,26001,15074013,03- Board of Equalization,2018-08-21T00:00:00.000Z,17100,0,17100,1797000,7458100,9255100
438,26001,15074013,03- Board of Equalization,2016-09-19T00:00:00.000Z,17100,0,17100,1692500,7377500,9070000
442,26001,15074013,01- Annual,2013-01-01T00:00:00.000Z,17100,0,17100,1462700,5656700,7119400
446,26001,15074013,,2012-01-01T00:00:00.000Z,17100,0,17100,1462700,0,1462700
450,26002,15074014,,2011-01-01T00:00:00.000Z,15700,0,15700,1253700,0,1253700
454,26002,15074014,01- Annual,2014-01-01T00:00:00.000Z,17100,0,17100,1462700,7087700,8550400
458,26002,15074014,01- Annual,2016-01-01T00:00:00.000Z,17100,0,17100,1692500,7380200,9072700
462,26002,15074014,01- Annual,2018-01-01T00:00:00.000Z,17100,0,17100,1797000,0,1797000
466,26003,15074015,01- Annual,2017-01-01T00:00:00.000Z,8600,0,8600,898500,3714800,4613300
470,26003,15074015,03- Board of Equalization,2019-10-10T00:00:00.000Z,8700,0,8700,895400,3887200,4782600
474,26003,15074015,01- Annual,2015-01-01T00:00:00.000Z,8600,0,8600,804500,3715000,4519500
478,26003,15074015,,2009-01-01T00:00:00.000Z,8600,0,8600,687200,0,687200
482,26004,15074016,,2010-01-01T00:00:00.000Z,24600,0,24600,2094900,0,2094900
486,26004,15074016,,2008-01-01T00:00:00.000Z,30700,0,30700,2469000,0,2469000
490,26004,15074016,05- Review,2015-09-03T00:00:00.000Z,30700,0,30700,2890400,13204300,16094700
494,26004,15074016,01- Annual,2019-01-01T00:00:00.000Z,30700,0,30700,3228200,14307800,17536000
498,26004,15074016,01- Annual,2020-01-01T00:00:00.000Z,33900,0,33900,3217200,14345300,17562500
502,26005,15074017,03- Board of Equalization,2018-08-21T00:00:00.000Z,6700,0,6700,703200,2941200,3644400
506,26005,15074017,03- Board of Equalization,2016-09-19T00:00:00.000Z,6700,0,6700,662300,2909400,3571700
510,26005,15074017,01- Annual,2013-01-01T00:00:00.000Z,6700,0,6700,572400,2230800,2803200
514,26005,15074017,,2012-01-01T00:00:00.000Z,6700,0,6700,572400,0,572400
518,26006,15074018,,2011-01-01T00:00:00.000Z,13900,0,13900,1107500,0,1107500
522,26006,15074018,01- Annual,2014-01-01T00:00:00.000Z,15100,0,15100,1292100,6289100,7581200
526,26006,15074018,01- Annual,2016-01-01T00:00:00.000Z,15100,0,15100,1495100,6548700,8043800
530,26006,15074018,01- Annual,2018-01-01T00:00:00.000Z,15100,0,15100,1587400,0,1587400
534,26007,15074019,01- Annual,2017-01-01T00:00:00.000Z,8600,0,8600,898500,3818000,4716500
538,26007,15074019,03- Board of Equalization,2019-10-10T00:00:00.000Z,8700,0,8700,895400,3995200,4890600
542,26007,15074019,01- Annual,2015-01-01T00:00:00.000Z,8600,0,8600,804500,3818200,4622700
546,26007,15074019,,2009-01-01T00:00:00.000Z,8600,0,8600,687200,0,687200
550,26012,15075007,01- Annual,2019-01-01T00:00:00.000Z,8400,0,8400,2018000,1000,2019000
554,26013,15075008,01- Annual,2020-01-01T00:00:00.000Z,1800,0,1800,404600,0,404600
558,26014,15075011,01- Annual,2019-01-01T00:00:00.000Z,12300,0,12300,2948000,0,2948000
562,26015,15075012,01- Annual,2020-01-01T00:00:00.000Z,4500,0,4500,985100,0,985100
566,26016,15075013,01- Annual,2019-01-01T00:00:00.000Z,8400,0,8400,2018000,1000,2019000
570,26017,15075014,01- Annual,2020-01-01T00:00:00.000Z,13700,0,13700,3034500,0,3034500
574,26018,15075016,01- Annual,2019-01-01T00:00:00.000Z,8400,0,8400,2018000,0,2018000
578,26019,15075017,01- Annual,2020-01-01T00:00:00.000Z,7300,0,7300,1618400,0,1618400
582,26020,15075018,01- Annual,2019-01-01T00:00:00.000Z,16400,0,16400,3930700,0,3930700
586,26021,15075019,01- Annual,2020-01-01T00:00:00.000Z,4600,0,4600,1011500,0,1011500
590,26022,15075020,01- Annual,2019-01-01T00:00:00.000Z,33800,0,33800,8071900,1000,8072900
594,26051,15078002,,2010-01-01T00:00:00.000Z,15000,59600,74600,56000,41200,97200
598,26051,15078002,,2008-01-01T00:00:00.000Z,5000,76300,81300,66000,31900,97900
602,26052,15078003,,2009-01-01T00:00:00.000Z,46800,1000,47800,436400,0,436400
606,26053,15078004,,2010-01-01T00:00:00.000Z,167100,1000,168100,1651100,0,1651100
610,26053,15078004,,2008-01-01T00:00:00.000Z,208800,1000,209800,1946000,0,1946000
614,26054,15078005,,2009-01-01T00:00:00.000Z,91200,0,91200,850100,0,850100
618,26055,15078006,01- Annual,2017-01-01T00:00:00.000Z,19900,0,19900,4758900,1000,4759900
622,26056,15078010,01- Annual,2019-01-01T00:00:00.000Z,8400,0,8400,2018000,1000,2019000
626,26057,15078011,01- Annual,2018-01-01T00:00:00.000Z,6300,0,6300,1513700,0,1513700
630,26058,15078012,01- Annual,2017-01-01T00:00:00.000Z,4100,0,4100,982700,0,982700
634,26059,15078013,,2009-01-01T00:00:00.000Z,146000,0,146000,1360000,0,1360000
638,26060,15078014,,2008-01-01T00:00:00.000Z,97300,0,97300,906700,0,906700
642,26060,15078014,,2010-01-01T00:00:00.000Z,77900,0,77900,769300,0,769300
646,26061,15078015,,2009-01-01T00:00:00.000Z,121600,0,121600,1133300,0,1133300
650,26062,15078016,,2008-01-01T00:00:00.000Z,121600,0,121600,1133300,0,1133300
654,26062,15078016,,2010-01-01T00:00:00.000Z,97300,0,97300,961600,0,961600
658,26063,15078017,,2009-01-01T00:00:00.000Z,121600,0,121600,1133300,0,1133300
662,26064,15078018,,2008-01-01T00:00:00.000Z,96600,0,96600,899800,0,899800
666,26064,15078018,,2010-01-01T00:00:00.000Z,77300,0,77300,763400,0,763400
670,26067,15078022,01- Annual,2019-01-01T00:00:00.000Z,9600,0,9600,2304400,0,2304400
674,26068,15078023,,2012-01-01T00:00:00.000Z,46300,1000,47300,457200,0,457200
678,26068,15078023,01- Annual,2013-01-01T00:00:00.000Z,46300,1000,47300,457200,0,457200
682,26069,15078024,01- Annual,2020-01-01T00:00:00.000Z,36700,0,36700,8103200,0,8103200
686,26395,15087028,03- Board of Equalization,2018-10-24T00:00:00.000Z,58682100,189199600,247881700,0,0,0
690,26395,15087028,03- Board of Equalization,2015-10-07T00:00:00.000Z,58682100,214418000,273100100,0,0,0
694,27080,16022001,,2009-01-01T00:00:00.000Z,264000,982800,1246800,34020000,97301600,131321600
698,28239,16033008,01- Annual,2020-01-01T00:00:00.000Z,85700,65400,151100,3363700,2340800,5704500
