Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2013,08/07/2013,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Cloudy,King Cat Anvil N,CORY R. STRATTON,CORY R. STRATTON,King Cat Anvil N - Tr Cory Stratton - tagged - Seal E5459049 drver treated then released,Accident
2013,08/07/2013,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Cloudy,Pro Mattic,KATHLEEN M. ALLEN,BRIAN M. CROSS,Pro Mattic - Tr Kathleen Allen - tagged Seal E5459048,Accident
2013,08/07/2013,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Cloudy,Rozewood,DAVID A. BARRETT,BILLY A. DOBSON,Rozewood - Tr David Barrett -  tagged - Seal E5459046,Accident
2013,08/07/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Cloudy,PJ Lucky,DUSTIN T. INGRAHAM,JAMES J. DEVAUX,PJ Lucky - Tr. Dustin Ingraham - vet exam revealed RF lameness due to recent abscess - scratched,Lameness
2013,08/07/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Start,Racing,Thoroughbred,808 Cloudy,Favorite Uncle,MIKE J. MAKER,ALAN GARCIA,Favorite Uncle-Tr. Mike Maker-poor performance from start-claimed  by Teresa Pompey-no injuries reported,Steward's List
2013,08/08/2013,FALL OF HORSE,Saratoga Racecourse (NYRA),After 5th Fence,Racing,Thoroughbred, ,Hunter Forward,ARCHIBALD J. KINGSLEY JR,ARCHIBALD J. KINGSLEY JR,Hunter Forward-Tr. Archibald Kingsley  Jr.-went down-unseating rider-horse sustained minor scrape on nose-no other injuries reported, 
2013,08/10/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16 POLE,Racing,Thoroughbred, ,HOOKSHOT,JEREMIAH C. ENGLEHART,WILFREDO ROHENA PIZARRO,Sunshine Platter-Tr. Bireta-fx LF leg-fell-euthanized on track; Hookshot-Tr. Englehart-fell over fallen horse-trampled by 3rd horse-internal injuries-euthanized on track; Head Spin-Tr. Conway-ran over fallen horse & fell-uninjured; 3 jockeys unseated,Equine Death
2013,08/10/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16 POLE,Racing,Thoroughbred, ,Sunshine Platter,DONNA M. BIRETA,EMANUEL DE DIEGO,Sunshine Platter-Tr. Bireta-fx LF leg-fell-euthanized on track; Hookshot-Tr. Englehart-fell over fallen horse-trampled by 3rd horse-internal injuries-euthanized on track; Head Spin-Tr. Conway-ran over fallen horse & fell-uninjured; 3 jockeys unseated,Equine Death
2013,08/10/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Warm-up,Racing,Harness,Clear,Bet Together,JOHN R. CROSS,KIM L. CRAWFORD,Bet Together - Tr John Cross - not staying on pace during warm-up - vet exam revealed LR lameness,Steward's List
2013,08/10/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA), ,Racing,Thoroughbred,83* Clear,Rubysandpearls,JASON SERVIS,JOSEPH S. ROCCO JR,Rubysandpearls-TR. Jason Servis-eased up-never raced in contention-no injuries reported,Steward's List
2013,08/11/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 mile pole,Racing,Thoroughbred,82* Clear,Charmed Hour,KENNETH G. MCPEEK,JOHN R. VELAZQUEZ,Charmed Hour-Tr. Ken McPeek-stumbled-unseating rider-suffered fx RF leg-euthanized on track,Equine Death
2013,08/11/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),1/16 pole,Racing,Thoroughbred,83* Clear,Cool Vision,GRAHAM H. MOTION,JOSEPH S. ROCCO JR,Cool Vision- Tr. Graham Motion-pulled up-walked off track-choked up-no other injuries reported,Steward's List
2013,08/12/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/16 pole,Training,Thoroughbred, ,Spanish Luck,TIMOTHY P. MURPHY, ,Spanish Luck-Tr. Timothy Murphy-fractured R knee during workout-euthanized,Equine Death
2013,08/12/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred, ,Wisdom Seeker,JEFFREY S. ENGLEHART,CHARLIE AMARO,Wisdom Seeker-Tr. Jeffrey Englehart-fx LF medial sesamoid-euthanized 1 week later,Equine Death
2013,08/12/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finish,Racing,Thoroughbred,cloudyy/rain,Cella Muffler,OSCAR S. BARRERA JR,JOEL CRUZ,Cella Muffler-Tr. Oscar S. Berrera  Jr.- FX RT Hock-to Kentucky for assessment & rest-condition deteriorated with no improvement-euthanized 1 month later,Equine Death
2013,08/12/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Clear,Surprise Squall,MERRILL R. SCHERER, ,Surprise Squall-Tr. M. Scherer -pulled up-ambulance off-unhurt thought the horse tripped coming off turf,Steward's List
2013,08/13/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Cloudy,Real Tenacity,KATHLEEN M. ALLEN,SHAWN T. GRAY,Real Tenacity - Tr. Kathleen Allen - examined by vet prior to race - horse ill - scratched from race,Steward's List
2013,08/15/2013,FALL OF HORSE,Saratoga Racecourse (NYRA),2nd fence,Racing,Thoroughbred,80* partly cloudy,Total Command,JONATHAN E. SHEPPARD,DARREN P. NAGLE,Total Command - Tr. Jonathan Sheppard - fell at 2nd fence - unseating rider - no injuries reported, 
2013,08/15/2013,FALL OF HORSE,Saratoga Racecourse (NYRA),9th fence,Racing,Thoroughbred,80* Partly Cloudy,Powerofone,JONATHAN E. SHEPPARD,DARREN P. NAGLE,Powerofone-Tr. Jonathan Sheppard- fell at 9th fence - unseating rider - sustained minor scrapes, 
2013,08/15/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,3/4 Pole,Racing,Harness,Clear,Streep Blue Chip,MICHAEL L. TRAYLOR,BRIAN K. MATTISON,Streep Blue Chip - Tr Michael Traylor-pulled up-DNF-apparent breathing issue-scope exam recommended,Injury
2013,08/15/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness, ,Kona,DON R. CROMER,JOSEPH R. BONGIORNO,Kona - Tr Don Cromer-vet exam prior to race showed RF lameness & possible desmitis-scratched,Lameness
2013,08/15/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,80* Partly Cloudy,Jacob Black,RODOLFO (RUDY) RODRIGUEZ,JOSE L. ESPINOZA,Jacob Black- TR Rudy Rodriguez- pulled up- never raced in contention - walked off track - no injuries reported,Steward's List
2013,08/16/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Barn 5,Other,Thoroughbred, ,My Darling Deb,JEREMIAH C. ENGLEHART, ,My Darling Deb-Tr Jeremiah Englehart-blind both eyes-euthanized,Equine Death
2013,08/16/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,stretch,Racing,Thoroughbred, ,Inger Management,TIMOTHY P. MURPHY,EMANUEL DE DIEGO,Inger Management-Tr Timothy Murphy-pulled up-fx RF leg-euthanized on track,Equine Death
2013,08/17/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Near Paddock,Other,Thoroughbred, ,Legal Lady,RICHARD E. SCHOSBERG, ,Legal Lady-Tr. Richard Schosberg- horse reared and flipped striking head-died within minutes-apparent skull fracture,Equine Death
2013,08/17/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),Finish,Racing,Thoroughbred,75* Clear,Heading to Toga,DOMINICK L. SCHETTINO,JOSE L. ESPINOZA,Heading to Toga-Tr. Dominick Schettino-fell-unseating rider-suffered fx to RF leg-euthanized on track,Equine Death
2013,08/17/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Backstretch,Racing,Thoroughbred,78* Clear,Perfect Footprint,GLENN B. DISANTO,MICHAEL J. LUZZI,Perfect Footprint-Tr. Glenn DiSanto-pulled up-ambulanced off-claim was made void-by Owner Matthew Goff-tore LF suspensory-retired,Steward's List
2013,08/17/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Unknown,Thoroughbred,78* Clear,Optimizer,DARRELL W. LUKAS,JUNIOR R. ALVARADO,Optimizer-Tr. D. Wayne Lukas -eased in stretch-pulled up-no injuries-back in training,Steward's List
2013,08/20/2013,RACING INCIDENT,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Awesomeatthetrack,DONNA M. BIRETA,JEREMIAS FLORES,Awesomeatthetrack-Tr. Donna Bireta- pulled up -DNF-1st time going two turns-got  tired-vet checked and no other injuries reported, 
2013,08/21/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Starting Gate,Racing,Harness,Warm,Sunshine Patriot,KIM E. MYERS,JOSEPH R. BONGIORNO,Sunshine Patriot-Tr. Kim Myers-vet exam revealed swelling and lameness RF leg-scratched,Steward's List
2013,08/21/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,88* Clear,Southern Match,MIKE J. MAKER,ALAN GARCIA,Southern Match-Tr. Mike Maker-broke bad from gate-eased-pulled up-walked off track-no injuries reported, 
2013,08/22/2013,RACING INJURY,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred, ,Valentino's Boy,JEFFREY S. ENGLEHART,CHARLIE AMARO,Valentino's Boy-Tr Jeffery Englehart-pulled up-vanned off-bowed tendon,Injury
2013,08/23/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Other,Thoroughbred, ,Jill Golden,PABLO R. TORRES, ,Jill Golden-Tr. Pablo Torres-L fetlock joint suspensory apparatus breakdown-euthanized,Equine Death
2013,08/23/2013,FALL OF RIDER,Saratoga Racecourse (NYRA),after race,Racing,Thoroughbred, ,Casual Elegance,MARK A. HENNIG,JOEL ROSARIO,Casual Elegance-Tr. Mark Hennig-stumbled-unseating rider  J.Rosarario who broke his L ankle-no injuries to horse, 
2013,08/24/2013,EQUINE DEATH,Vernon Downs,Vernon Barn 21B,Other,Harness, ,Ideally Magic,MAURICE BAZINET,RICHARD C. PLANO,Ideally Magic - Tr. Maurice Bazine - became ill - vet exam revealed severe colic with colon torsion - euthanized,Equine Death
2013,08/24/2013,FALL OF HORSE,Tioga Downs,Paddock,Racing,Harness,Hot/Sunny,Polished Perfection,RAYMOND S. AHTO,MARK SCHULLSTROM,Polished Perfection-Tr. Raymond Ahto-startled & fell to ground-no injuries reported, 
2013,08/24/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,80* Clear,Winamen,KIRSTEN M. LEBLANC,SAMUEL JIMENEZ,Winamen-Tr. Kirsten Le Blanc-eased & pulled up-walked off track-bad step-rider over cautious-no injuries reported,Steward's List
2013,08/25/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 pole,Racing,Thoroughbred,89* Partly Cloudy,Sarava's Dancer,WAYNE M. CATALANO,ANNA (ROSIE) R. NAPRAVNIK,Sarava's Dancer-Tr. Wayne Catalano-pulled up-fx LF leg-euthanized on track-sent for necropsy, 
2013,08/25/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 pole,Racing,Thoroughbred,88* Partly Cloudy,Kris Royal,CHARLES LOPRESTI,JOSE LEZCANO,Kris Royal-Tr. Charles Lopresti-fell unseating rider-fx LF leg-euthanized on track-sent for necropsy, 
2013,08/26/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 Pole,Racing,Thoroughbred, ,Lampbeam,LUIS A. GUTIERREZ,JOSE A. GUTIERREZ,Lampbeam-Tr Luis Guterrez-fx R leg-attempts to relieve pain and suffering unsuccessful-euthanized 2 days later,Equine Death
2013,08/26/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),3/8 pole,Training,Thoroughbred,64* Cloudy,Ricochet Court,NICHOLAS P. ZITO, ,Ricochet Court-Tr. Nick Zito-fell unseating excersice rider  Raymond Bulgado-fx both front legs-euthanized on track-rider to hospital, 
2013,08/26/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),3/8 pole,Training,Thoroughbred,64* Cloudy,Ricochet Court,NICHOLAS P. ZITO, ,Ricochet Court-Tr. Nick Zito-fell unseating excersice rider  Raymond Bulgado-fx both front legs-euthanized on track-rider to hospital,Equine Death
2013,08/26/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),3/4 pole,Racing,Thoroughbred,88* Cloudy,Chaotic Bull,MICHAEL E. GORHAM,ABEL LEZCANO,Chaotic Bull - Trainer Michael Gorham - pulled up - walked off track - saddle slipped - no injuries reported,Steward's List
2013,08/26/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,85* Cloudy,Awed,JONATHAN E. SHEPPARD,ANNA (ROSIE) R. NAPRAVNIK,Awed - Trainer Jonathan Sheppard - eased then pulled-walked off the track-no injuries reported,Steward's List
2013,08/26/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,88* Cloudy,Lincoln Flyer,MICHELLE C. NEVIN,JAVIER J. CASTELLANO,Lincoln Flyer-Tr. Michelle Nevin-eased and pulled up-walked off track-no injuries reported just fractious at the gate,Steward's List
2013,08/27/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Bronson Blue Chip,KENNETH N. ANDERSEN,DANIEL J. CAPPELLO JR,Bronson Blue Chip - Tr. Kenneth Andersen - vet exam prior to race found the horse was not well - scratched,Steward's List
2013,08/28/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),Finish Line/main track,Training,Thoroughbred,65* Cloudy,Ocean Breeze,WAYNE M. CATALANO, ,Ocean Breeze-Tr. Wayne Catalano-while working  fx LF leg-euthanized on track,Equine Death
2013,08/28/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,1/2 Mile,Racing,Harness,Warm,Up Tempo,JOSEPH P. SANSONE,BRIAN K. MATTISON,Up Tempo - Tr Joseph Sansone - DNF - vet exam revealed stiff rear quarters- tied up,Injury
2013,08/28/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),3/4 Pole,Racing,Thoroughbred,88* Clear,Old Brownsboro,IAN R. WILKES,JOSEPH S. ROCCO JR,Old Brownsboro-Tr. Ian Wilkes-pulled up-ambulance off-claim voided-first time on turf-no injuries reported-must requalify, 
2013,08/28/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,88* Clear,Bringhomethegold,JENA M. ANTONUCCI,JOSE ORTIZ,Bringhomethegold-Tr.  Jena Antonucci -eased-DNF-walked off track-first time on dirt-no injuries reported-must requalify, 
2013,08/29/2013,FALL OF HORSE,Saratoga Racecourse (NYRA),Steeple Chase 5th fence,Racing,Thoroughbred, ,Constant Contact,RICHARD L. VALENTINE,ROBERT M. WALSH,Constant Contact-Tr.  R Valentine-fell going over 5th fence-unseating Jockey  Robert Walsh-Jockey treated & raced next race-horse uninjured, 
2013,08/29/2013,RACING INJURY,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Clear,River Dancer,DAVID A. CANNIZZO,RAJIV C. MARAGH,River Dancer-Tr. David Cannizzo-pulled up-ambulanced off-torn LF suspensory-to Cornell for treatment,Injury
2013,08/30/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 Pole,Racing,Thoroughbred,85* Clear,Saginaw,DAVID JACOBSON,JUNIOR R. ALVARADO,Saginaw-Tr. David Jacobson-pulled up-ambulaced off-x-rays revealed a fx LF leg-euthanized, 
2013,08/30/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,End of Race,Racing,Harness,Warm,Confess Nothing,SHAWN D. CHRISTNER,WALTER J. HENNESSEY,Confess Nothing - Tr. Shawn Christner - performed poorly - noisy breathing - vet checked - possible flipped palate - to be scoped,Steward's List
2013,08/31/2013,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,3/4 mile,Racing,Harness, ,Island Jet,GEOFFREY W. HOWLES,WALTER J. HENNESSEY,Island Jet-Tr. Geoff Howles-R wheel broke during race-steered away from other horses-DNF-no injuries reported, 
2013,09/01/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Other,Thoroughbred, ,Cool Operator,DEBRA A. BREED, ,Cool Operator-Tr. Debra Breed-severe upper respiratory w/ 90% airway occlusion-euthanized,Equine Death
2013,09/01/2013,RACING INJURY,Saratoga Racecourse (NYRA),1/16 pole,Racing,Thoroughbred,85* Cloudy,Victorious Leader,LEO O'BRIEN,ROBBY J. ALBARADO,Victorious Leader-Tr. Leo O'Brien-pulled up-ambulanced off-bled during race-horse retired,Steward's List
2013,09/01/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,83* Cloudy,Josie's Prospect,LINDA L. RICE,LUIS SAEZ,Josie's Prospect - Tr. Linda Rice - eased - pulled up & walked off track - first time on muddy track - no injuries - must requalify,Steward's List
2013,09/02/2013,FALL OF RIDER,Finger Lakes Gaming & Racetrack,chute,Racing,Thoroughbred, ,Blue Collar Cat,JAMES L. LAWRENCE II,JOHN R. DAVILA,Blue Collar Cat-Tr. James Lawrence-bolted at start unseating rider John Davila-rider knocked unconscious-came to & transported to hospital-treated & released-no other injuries reported,Accident
2013,09/02/2013,RACING INCIDENT,Tioga Downs,Tioga Downs,Racing,Harness,Sunny,Hurricane Howard,MICHAEL D. DETERS,YANNICK GINGRAS,Hurricane Howard-Tr. Michael Deters-equipment failure-hobble hanger broke-DNF-no injuries reported, 
2013,09/02/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Cloudy,Elder Skatesman,WILLIAM F. ALLYN,SAMUEL JIMENEZ,Elder Skatesman-Tr William Allyn-pulled up-ambulanced off-bowed LF tendon-retired, 
2013,09/02/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,82*  Cloudy,Shoptillclosing,GREGORY J. DIPRIMA,ABEL LEZCANO,Shoptillclosing-Trainer Gregory DiPrima-eased in stretch- filly did no like the footing- unhurt must requalify, 
2013,09/02/2013,STEWARDS/VETS LIST,Yonkers Raceway,3/4 Pole,Racing,Harness,Clear,Ideal Romance,AGOSTINO ABBATIELLO SR,DANIEL DUBE,Ideal Romance - Tr. Agostino Abbatiello - pulled up - DNF - vet check revealed lame LF leg - shipped home - vet will check once home,Steward's List
2013,09/04/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Feelin Cornered,BRAD D. IRVINE,JOSEPH R. BONGIORNO,Feelin Cornered-Tr. Brad Irvine-vet checked prior to race-LF Lameness-scratched,Lameness
2013,09/07/2013,EQUINE DEATH,Tioga Downs,Tioga,Racing,Harness,Overcast,Volare TZB,ERIC C. MOLLOR,ERIC C. MOLLOR,VolareTZB-Trainer Eric Mollor-collapsed and died after finish-probable sudden cardiac event,Equine Death
2013,09/08/2013,RACING INCIDENT,Belmont Park (NYRA),Finish,Racing,Thoroughbred,85* Clear,Rebranded,TODD A. PLETCHER,JOHN R. VELAZQUEZ,Rebranded-Trainer Todd Pletcher-never raced in contention-bumbed at start-no injuries reported, 
2013,09/08/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),1/16 pole/after finish,Racing,Thoroughbred,85* Clear,Crafty Push,CARL J. DOMINO,JOHN R. VELAZQUEZ,Crafty Push-Trainer Carl Domino-eashed inside 1/16 pole-pulled up-walked off track-no injuries reported-must requalify,Steward's List
2013,09/10/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,First Turn,Racing,Thoroughbred,clear,Mineswept,NIRKA Y. HUERTAS,LUIS E. PEREZ,Mineswept-Tr. Nirka Huertas-fx RF sesamoids-euthanized,Equine Death
2013,09/10/2013,RACING INJURY,Batavia Downs,After 1/2,Racing,Harness,88 degrees  clear,Wildmotion,RONALD C. BEBACK JR,JACK D. RICE,Wildmotion-Trainer Ronald Beback  Jr.-Pulled up-DNF-walked off-injured XYZ suspensory ligament-to farm to rest and heal-retired,Injury
2013,09/12/2013,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Training,Thoroughbred,75* Clear,Skiddles n' Bob,CHRISTOPHER J. ENGLEHART, ,Skiddles n' Bob-Trainer Chris Engelhart-pulled up-ambulanced off-x-rays revealed fx LF leg-euthanized,Equine Death
2013,09/12/2013,EQUINE DEATH,Belmont Park (NYRA),5/16 pole,Training,Thoroughbred,758 Clear,Mentor Cane,JOHN A. SHIRREFFS, ,Mentor Cane-Tr. John Shirreffs-pulled up-ambulanced off-x-rays revealed fx RR condular and pastern-euthanized,Equine Death
2013,09/12/2013,RACING INCIDENT,Belmont Park (NYRA),Starting Gate,Racing,Thoroughbred,85* Cloudy,Maggie's Lad,THOMAS MORLEY,JUNIOR R. ALVARADO,Maggie's Lad-Trainer Tom Morley-hind end stuck in starting gate-scratched-walked off track-no injuries reported, 
2013,09/12/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,85* Cloudy,Tancredi,ROBERT A. BARBARA,JOE A. BRAVO,Tancredi-Trainer Robert Barbara-eased thru stretch-caught dirt-no injuries reported, 
2013,09/13/2013,RACING INJURY,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Cloudy,Slick Daddy,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Slick Daddy-Tr. Jon Buckley-DNF race-LF bowed tendon-2182815/2007140, 
2013,09/13/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,80* Mostly Cloudy,Never The End,EDWARD J. KENNEALLY,LUIS SAEZ,Never the End-Trainer Eddie Kennneally-eased in the stretch-did not like turf-no injuries reported, 
2013,09/14/2013,EQUINE DEATH,Belmont Park (NYRA),3/16 pole,Racing,Thoroughbred,70* Mostly Cloudy,Discreet Code,BRUCE N. LEVINE,GUILLERMO RODRIGUEZ,Discreet Code-Trainer Bruce Levine-pulled up-ambulanced off-fractured RF leg-euthanized,Equine Death
2013,09/14/2013,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,70* Partly Cloudy,Attenborough,CHRISTOPHER J. ENGLEHART, ,Attenborough-Trainer Chris Englehart-pulled up-suffered fx LF leg breezing-euthanized on track,Equine Death
2013,09/14/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),1/4 Pole,Racing,Thoroughbred,70* Mostly Clody,Saguaro Blossom,RAINDRANAUTH . PERSAUD RANDI,MAYLAN L. STUDART,Saguaro Blossom-Trainer Randi Persaud-pulled up-ambulanced off-no injuries reported-must requalify, 
2013,09/14/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,1/2 Mile,Racing,Harness,Clear,Trillian,MELISSA A. BECKWITH,MARK D. BECKWITH,Trillian-Tr. Melissa Beckwith-slowed down and became unsteady-pulled up-DNF-no obvious problems-to be scoped,Steward's List
2013,09/15/2013,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Training,Thoroughbred,60* Clear,Maui Mark, ,ROBERT B. HESS JR,Maui Mark-Trainer Robert Hess-suffered a RR leg fracture while breezing -euthanized on track,Equine Death
2013,09/15/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,70* partly Cloudy,My Donna Jean,LINDA R. FISHER,ABEL LEZCANO,My Donna Jean-Trainer Linda Fisher-pulled up-ambulanced off-no injuries reported-must requalify, 
2013,09/15/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,After Race,Racing,Harness,Sunny,Worthy Advantage,JORDAN J. DERUE,JORDAN J. DERUE,Worthy Advantage-Tr. Jordan Derue-threw LR shoe causing tear in hoof-LR lameness,Steward's List
2013,09/17/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16/ pole,Racing,Thoroughbred,Clear,Shades of Sugar,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Shades of Sugar-Tr. Jonathan Buckley-stumbled and fell-fx R carpus (knee)-euthanized - 2182786/2007370,Euthanasia
2013,09/17/2013,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Clear,JOE PALZ,AGOSTINO ABBATIELLO SR,STEPHANE L. BOUCHARD,Joe Palz-Tr. Agostino Abbatiello-vet checked in post parade-came up lame left front with tendon issue-scratched by state vet-must requalify,Steward's List
2013,09/18/2013,EQUINE DEATH,Saratoga Gaming & Raceway,Main track/homestretch,Racing,Harness,Clear 50 degrees,Incredible Ben,HEIDI E. ROHR,SHAWN J. GRAY,Incredible Ben-TR  Heidi Rohr-Pulled Up- Ambulanced Off- fx RF medial & lateral sesamoid-euthanized-2134115,Equine Death
2013,09/18/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),3/8 Pole,Racing,Thoroughbred, ,Tancredi,ROBERT A. BARBARA,JOSE L. ORTIZ,Tancredi-Tr. Robert Barbara-pulled up-vanned off-not claimed-no injjuries reported-must requalify, 
2013,09/18/2013,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4 Pole,Racing,Harness,Clear,Mother Duce,NANCY S. MONTEMBEAULT,MICHAEL J. MERTON,Mother Deuce-Tr. E. Leonelli-pulled up-DNF-walked off track-no injuries reported, 
2013,09/19/2013,EQUINE DEATH,Belmont Park (NYRA),After Fence #9,Racing,Thoroughbred, ,Sulwaan,JAMES M. DAY,XAVIER AIZPURU,Sulwaan-Tr. James Day-pulled up-ruptured RF sesamoidian ligaments-euthanized,Equine Death
2013,09/19/2013,FALL OF RIDER,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Cognashene,NEIL R. MORRIS,JACOB ROBERTS,Cognashene-Tr. Neil Morris-made contact with 4th fence unseating rider-no injuries to horse or rider, 
2013,09/19/2013,FALL OF RIDER,Belmont Park (NYRA),3rd Fence,Racing,Thoroughbred, ,Dr Skip,EDWARD L. GRAHAM,JODY PETTY,Dr. Skip-Tr. Edward Graham-stumbled-unseating the jockey-no injuries reported, 
2013,09/20/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Other,Thoroughbred, ,AfterallIvbeenthru,DANIEL C. JACOBS, ,AfterallIvbeenthru-Tr. Daniel Jacobs-Patomac Horse Fever-euthanized-2182584-R2007427,Equine Death
2013,09/20/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Mental Iceberg,GREGORY J. DIPRIMA, ,Mental Iceberg-Tr. Gregory DiPrima-took bad step-vanned off-no injuries reported, 
2013,09/25/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Other,Thoroughbred,clear,Emma's Secret,JOSEPH E. MARINO, ,Emma's Secret-Tr. Joesph Marino-bolted out of stall-out of barn-ran into gate causing severe head trauma-euthanized-no blood taken,Equine Death
2013,09/25/2013,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Departures,NAIPAUL R. CHATTERPAUL, ,Departures-Tr. Naipaul Chatterpaul-vanned off-bad step-bowed LF tendon low-will be retired,Steward's List
2013,09/25/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Post Parade,Racing,Harness,Clear 52 degrees,Mohawkriverrunner,JOHN G. MONGEON JR,SCOTT A. MONGEON,Mohawkriverrunner-Tr John Mongeon-horse favoring RF-vet check revealed RF lameness-scratched, 
