ID,Year,Method,"CLL.A.1_Quality of cultural and learning services and programs in Austin (e.g. libraries, museums, cultural centers and events)","CLL.A.3_Quality of the City's cultural and learning facilities (e.g. libraries, cultural centers, City museums)",CLL.A.4_Attended a cultural event or program organizedby the City in the past 6 months,CLL.A.5_Overall quality of life in the city,CLL.A.5_Have you participated in a City of Austin recreation program/event?,CLL.C.1_The City of Austin as a place where I feel welcome,CLL.D.1_Austin is a place that honors and preserves my personal heritage,CLL.E.1_CLL.E.2_Have you participated in a lifelong learning activity in the past 3 months (learning activity or class unrelated to work),"CLL.E.3_City-offered lifelong learning events, activities, and resources (Classes or learning materials)",HE.C.3_Overall quality of City of Austin parks and recreation programs or classesoffered by the City,"HE.C.3_Quality of City of Austin Park facilities (includes recreation, senior, nature,cultural centers and museums)",HE.C.3_Special/Weighted Measure,HE.E.2_I have frequent contact with friends and neighbors outside of my home,S.A.1_I feel safe in my neighborhood during the day,S.A.1_I feel safe in my neighborhood at night,S.A.1_I feel safe walking alone downtown during the day,S.A.1_I feel safe in my home,S.A.1_I feel safe walking alone downtown at night,S.A.1_S.B.4_I feel safe in my workplace,S.A.1_I feel safe in city parks,S.A.1_Special/Weighted Measure,S.A.2_I trust Austin Police Department (APD),S.A.2_I trust Austin Fire Department (AFD),S.A.2_I trust Emergency Medical Services (EMS),S.A.2_Special/Weighted Measure,"S.A.3_I am confident that in case of an emergency, my response will be delivered effectively","S.B.3_I have sufficient knowledge and understanding of community laws, codes, and ordinances",S.C.2_I have access to information and education on disasters and other major emergencies,"S.C.3_I feel prepared to help myself, my family, and my neighbors to respond to disasters and major emergencies","S.D.2_I feel I was treated fairly during my enforcement process (arrests, tickets, warnings, code violations)","S.D.2_I feel I was treated fairly during my judicial process (traffic and parking ticket processing, fine collections, misdemeanor court case appearances)",S.D.2_Special/Weighted Measure,M.B.2_Cost of transportation to get around Austin,M.B.3_Did your household reduce the total number of cars owned/leased in the household by one or more within the last year?,"M.C.2_Transportation options (aside from personal vehicle) to get around Austin (e.g. ride share, but/train, bike, walk)","M.E.1_Condition of major city streets (Congress Ave, Lamar, South First, Burnet, etc.)",M.E.2_Overall maintenance of city sidewalks,"GTW.B.6_Condition of City facilities and buildings (e.g. clean, safe, accessible)",GTW.B.6_Special/Weighted Measure,GTW.C.1_Services provided by the City’s 3-1-1 assistance telephone number,GTW.C.2_GTW.F.1_Overall quality of services provided by the City of Austin,GTW.C.3_Overall value that you receive for your city tax dollars and fees,GTW.E.2_Civic engagement experience with the City,GTW.E.3_The City’s effort to support dialogue between residents and government,GTW.G.1_Employees of the City of Austin are ethical in the way they conduct City business.,GTW.G.6_The City's efforts to be fair,GTW.G.6_The City's efforts to be transparent,GTW.G.6_Special/Weighted Measure,City,Council District,Block Level X Longitude,Block Level Y Latitude
2016_2624,01/01/2016 12:00:00 AM,,,,,4,1,,,,,4,4,0.6421,,4,4,4,,4,,4,,,,,,,,,,,,,,,,3,4,,,4,4,4,,,4,,,,Austin,5,-97.822,30.185
2016_3957,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,4,0.6421,,4,2,4,,2,,2,,,,,,,,,,,,,,,,4,4,,,5,4,4,,,3,,,,Austin,9,-97.701,30.295
2017_5009,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,3,0.6448,,5,4,4,,3,,3,,,,,,,,,,,,,,,,3,2,,,5,4,3,,3,4,,,,Austin,1,-97.755,30.174
2015_1433,01/01/2015 12:00:00 AM,,,,,4,0,,,,,9,9,0.6257,,5,4,4,,2,,4,,,,,,,,,,,,,,,,4,,,,3,4,4,,,3,,,,Austin,10,-97.801,30.389
2017_5035,01/01/2017 12:00:00 AM,Mail,,,,2,0,,,,,3,3,0.6448,,4,4,3,,1,,4,,,,,,,,,,,,,,,,2,2,,,3,2,2,,2,1,,,,Austin,4,-97.834,30.255
2015_1449,01/01/2015 12:00:00 AM,,,,,4,1,,,,,9,3,0.6257,,2,3,4,,2,,3,,,,,,,,,,,,,,,,2,,,,4,4,3,,,4,,,,Austin,3,-97.731,30.259
2017_5366,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,3,3,0.6448,,3,3,4,,2,,3,,,,,,,,,,,,,,,,3,3,,,4,2,3,,3,3,,,,Austin,4,-97.747,30.242
2015_426,01/01/2015 12:00:00 AM,,,,,5,1,,,,,4,3,0.6257,,4,4,4,,4,,4,,,,,,,,,,,,,,,,3,,,,3,5,9,,,3,,,,Austin,1,-97.67,30.29
2015_1459,01/01/2015 12:00:00 AM,,,,,4,1,,,,,4,4,0.6257,,4,4,3,,1,,3,,,,,,,,,,,,,,,,4,,,,5,2,1,,,3,,,,Austin,5,-97.833,30.174
2016_3998,01/01/2016 12:00:00 AM,,,,,3,0,,,,,3,3,0.6421,,4,4,4,,3,,3,,,,,,,,,,,,,,,,2,2,,,9,2,3,,,9,,,,Austin,8,-97.89,30.184
2017_4203,01/01/2017 12:00:00 AM,Web,,,,3,0,,,,,4,4,0.6448,,4,4,1,,1,,3,,,,,,,,,,,,,,,,1,1,,,9,3,2,,1,4,,,,Austin,6,-97.696,30.201
2015_448,01/01/2015 12:00:00 AM,,,,,3,9,,,,,3,9,0.6257,,4,2,9,,9,,9,,,,,,,,,,,,,,,,3,,,,4,3,4,,,3,,,,Austin,4,-97.715,30.366
2016_2647,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,4,0.6421,,4,4,4,,2,,4,,,,,,,,,,,,,,,,4,4,,,3,4,2,,,9,,,,Austin,6,-97.837,30.435
2015_1555,01/01/2015 12:00:00 AM,,,,,3,0,,,,,9,3,0.6257,,5,5,4,,3,,4,,,,,,,,,,,,,,,,3,,,,2,3,3,,,3,,,,Austin,6,-97.791,30.494
2015_1556,01/01/2015 12:00:00 AM,,,,,3,0,,,,,3,3,0.6257,,3,3,3,,9,,9,,,,,,,,,,,,,,,,2,,,,2,3,2,,,3,,,,Austin,7,-97.685,30.413
2017_5092,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,4,4,4,,9,,4,,,,,,,,,,,,,,,,4,2,,,5,5,4,,4,4,,,,Austin,3,-97.737,30.412
2017_5093,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,4,4,9,,9,,9,,,,,,,,,,,,,,,,9,2,,,4,2,3,,9,4,,,,Austin,1,-97.719,30.429
2015_427,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,3,0.6257,,4,4,3,,3,,3,,,,,,,,,,,,,,,,4,,,,3,4,3,,,2,,,,Austin,5,-97.788,30.219
2015_1564,01/01/2015 12:00:00 AM,,,,,4,0,,,,,3,3,0.6257,,3,3,2,,2,,2,,,,,,,,,,,,,,,,2,,,,3,2,2,,,3,,,,Austin,1,-97.676,30.288
2016_2681,01/01/2016 12:00:00 AM,,,,,3,0,,,,,3,3,0.6421,,3,3,3,,2,,3,,,,,,,,,,,,,,,,3,2,,,4,3,2,,,3,,,,Austin,7,-97.726,30.336
2015_428,01/01/2015 12:00:00 AM,,,,,3,0,,,,,3,2,0.6257,,4,4,4,,9,,9,,,,,,,,,,,,,,,,2,,,,9,4,2,,,9,,,,Austin,2,-97.788,30.188
2015_1580,01/01/2015 12:00:00 AM,,,,,4,0,,,,,3,3,0.6257,,3,3,4,,2,,2,,,,,,,,,,,,,,,,4,,,,4,9,2,,,9,,,,Austin,7,,
2016_2682,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,4,0.6421,,4,4,4,,2,,4,,,,,,,,,,,,,,,,2,4,,,4,4,2,,,3,,,,Austin,5,-97.81,30.197
2015_1656,01/01/2015 12:00:00 AM,,,,,4,1,,,,,3,3,0.6257,,5,5,4,,9,,3,,,,,,,,,,,,,,,,4,,,,4,4,3,,,4,,,,Austin,7,-97.724,30.413
2016_2937,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,4,0.6421,,4,4,4,,3,,3,,,,,,,,,,,,,,,,4,4,,,3,4,4,,,4,,,,Austin,6,-97.808,30.464
2016_2691,01/01/2016 12:00:00 AM,,,,,3,0,,,,,4,1,0.6421,,4,1,2,,1,,4,,,,,,,,,,,,,,,,4,4,,,4,3,3,,,4,,,,Austin,2,-97.781,30.191
2017_5102,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,4,4,4,,2,,4,,,,,,,,,,,,,,,,3,4,,,3,4,4,,9,4,,,,Austin,7,-97.782,30.213
2016_2699,01/01/2016 12:00:00 AM,,,,,3,1,,,,,3,3,0.6421,,4,4,4,,1,,2,,,,,,,,,,,,,,,,3,3,,,9,3,3,,,3,,,,Austin,6,-97.846,30.373
2017_4465,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,4,9,0.6448,,5,4,4,,2,,4,,,,,,,,,,,,,,,,4,4,,,5,4,3,,4,5,,,,Austin,7,-97.703,30.274
2016_2747,01/01/2016 12:00:00 AM,,,,,4,1,,,,,4,4,0.6421,,4,4,4,,3,,4,,,,,,,,,,,,,,,,3,3,,,4,3,3,,,4,,,,Austin,5,-97.822,30.197
2017_4480,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,4,3,0.6448,,5,4,4,,3,,4,,,,,,,,,,,,,,,,3,3,,,4,4,5,,4,4,,,,Austin,10,-97.852,30.151
2016_3396,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,3,0.6421,,5,4,4,,3,,3,,,,,,,,,,,,,,,,4,3,,,3,3,2,,,4,,,,Austin,5,-97.781,30.16
2017_4208,01/01/2017 12:00:00 AM,Web,,,,5,9,,,,,9,4,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,4,4,,,9,5,5,,5,5,,,,Austin,9,-97.708,30.356
2017_5778,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,4,3,9,,9,,4,,,,,,,,,,,,,,,,3,2,,,4,4,2,,9,4,,,,Austin,5,-97.656,30.388
2016_2739,01/01/2016 12:00:00 AM,,,,,4,1,,,,,4,4,0.6421,,4,4,4,,4,,4,,,,,,,,,,,,,,,,3,2,,,9,3,2,,,3,,,,Austin,8,-97.873,30.208
2017_4213,01/01/2017 12:00:00 AM,Web,,,,5,0,,,,,3,4,0.6448,,5,4,4,,3,,4,,,,,,,,,,,,,,,,4,2,,,3,4,4,,4,4,,,,Austin,5,-97.766,30.24
2016_2101,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,9,0.6421,,4,4,3,,2,,3,,,,,,,,,,,,,,,,4,4,,,3,3,3,,,4,,,,Austin,2,-97.785,30.194
2017_4524,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,4,9,0.6448,,5,4,5,,5,,5,,,,,,,,,,,,,,,,4,2,,,5,4,4,,3,4,,,,Austin,1,-97.687,30.37
2015_1716,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,4,0.6257,,5,5,9,,9,,3,,,,,,,,,,,,,,,,4,,,,4,3,2,,,4,,,,Austin,2,-97.783,30.193
2017_5109,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,4,9,3,,3,,4,,,,,,,,,,,,,,,,4,4,,,5,4,3,,4,9,,,,Austin,1,-97.783,30.214
2017_5123,01/01/2017 12:00:00 AM,Mail,,,,2,1,,,,,2,2,0.6448,,4,4,4,,1,,9,,,,,,,,,,,,,,,,2,1,,,3,3,1,,2,3,,,,Austin,5,-97.746,30.195
2017_5881,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,5,4,0.6448,,4,4,4,,4,,3,,,,,,,,,,,,,,,,3,2,,,3,3,3,,3,3,,,,Austin,3,-97.719,30.267
2015_1749,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,4,0.6257,,4,4,4,,4,,4,,,,,,,,,,,,,,,,4,,,,4,4,4,,,4,,,,Austin,5,-97.807,30.21
2017_6288,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,4,4,4,,2,,4,,,,,,,,,,,,,,,,3,3,,,5,4,3,,4,4,,,,Austin,7,-97.796,30.378
2015_1765,01/01/2015 12:00:00 AM,,,,,4,1,,,,,3,3,0.6257,,5,5,3,,3,,3,,,,,,,,,,,,,,,,2,,,,3,4,3,,,4,,,,Austin,1,-97.699,30.285
2015_1823,01/01/2015 12:00:00 AM,,,,,4,0,,,,,3,3,0.6257,,4,4,4,,3,,4,,,,,,,,,,,,,,,,4,,,,4,4,3,,,4,,,,Austin,2,-97.756,30.174
2016_2740,01/01/2016 12:00:00 AM,,,,,4,1,,,,,3,4,0.6421,,4,2,2,,1,,2,,,,,,,,,,,,,,,,3,2,,,5,3,3,,,9,,,,Austin,1,-97.686,30.283
2016_2764,01/01/2016 12:00:00 AM,,,,,4,1,,,,,3,4,0.6421,,4,2,4,,1,,3,,,,,,,,,,,,,,,,2,2,,,4,3,4,,,3,,,,Austin,7,-97.735,30.34
2015_1841,01/01/2015 12:00:00 AM,,,,,3,0,,,,,3,3,0.6257,,3,3,4,,2,,3,,,,,,,,,,,,,,,,1,,,,3,3,2,,,3,,,,Austin,6,-97.916,30.379
2017_6027,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,3,0.6448,,2,1,2,,1,,3,,,,,,,,,,,,,,,,2,2,,,4,3,3,,2,2,,,,Austin,4,-97.687,30.275
2017_4532,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,9,4,0.6448,,4,3,4,,3,,4,,,,,,,,,,,,,,,,4,4,,,5,4,4,,4,1,,,,Austin,5,-97.846,30.227
2016_2765,01/01/2016 12:00:00 AM,,,,,3,1,,,,,4,4,0.6421,,4,3,4,,3,,4,,,,,,,,,,,,,,,,4,4,,,3,3,2,,,4,,,,Austin,4,-97.703,30.347
2015_1856,01/01/2015 12:00:00 AM,,,,,5,0,,,,,4,4,0.6257,,4,4,4,,2,,4,,,,,,,,,,,,,,,,2,,,,4,4,2,,,9,,,,Austin,5,-97.813,30.198
2015_1857,01/01/2015 12:00:00 AM,,,,,4,0,,,,,3,3,0.6257,,4,3,3,,2,,4,,,,,,,,,,,,,,,,3,,,,3,3,3,,,3,,,,Austin,7,-97.684,30.417
2017_4533,01/01/2017 12:00:00 AM,Web,,,,4,1,,,,,2,3,0.6448,,1,1,3,,2,,3,,,,,,,,,,,,,,,,3,3,,,2,3,2,,4,5,,,,Austin,3,-97.812,30.444
2017_4547,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,2,0.6448,,4,4,4,,3,,4,,,,,,,,,,,,,,,,3,3,,,4,3,3,,3,9,,,,Austin,6,-97.8,30.261
2015_1969,01/01/2015 12:00:00 AM,,,,,5,0,,,,,3,2,0.6257,,3,4,3,,2,,2,,,,,,,,,,,,,,,,2,,,,4,2,3,,,3,,,,Austin,2,-97.746,30.153
2017_4549,01/01/2017 12:00:00 AM,Web,,,,4,1,,,,,4,4,0.6448,,4,4,4,,2,,4,,,,,,,,,,,,,,,,3,3,,,9,3,2,,4,4,,,,Austin,7,-97.682,30.32
2016_4053,01/01/2016 12:00:00 AM,,,,,4,0,,,,,9,4,0.6421,,5,5,3,,1,,5,,,,,,,,,,,,,,,,3,2,,,9,4,4,,,4,,,,Austin,5,-97.816,30.199
2015_1729,01/01/2015 12:00:00 AM,,,,,3,0,,,,,3,2,0.6257,,4,4,4,,2,,3,,,,,,,,,,,,,,,,2,,,,4,3,3,,,9,,,,Austin,7,-97.719,30.416
2017_4593,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,9,4,0.6448,,5,2,5,,4,,5,,,,,,,,,,,,,,,,2,4,,,9,5,9,,3,4,,,,Austin,2,-97.892,30.249
2017_6063,01/01/2017 12:00:00 AM,Web,,,,5,9,,,,,4,3,0.6448,,4,4,4,,3,,3,,,,,,,,,,,,,,,,3,3,,,9,4,3,,9,9,,,,Austin,2,-97.691,30.366
2015_143,01/01/2015 12:00:00 AM,,,,,3,1,,,,,3,4,0.6257,,4,4,9,,9,,3,,,,,,,,,,,,,,,,2,,,,4,2,2,,,2,,,,Austin,2,-97.749,30.234
2015_2029,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,4,0.6257,,5,4,9,,9,,4,,,,,,,,,,,,,,,,3,,,,5,3,2,,,3,,,,Austin,8,-97.9,30.188
2017_4594,01/01/2017 12:00:00 AM,Web,,,,5,0,,,,,4,3,0.6448,,5,4,5,,4,,5,,,,,,,,,,,,,,,,4,4,,,9,4,4,,3,4,,,,Austin,9,-97.69,30.346
2016_4037,01/01/2016 12:00:00 AM,,,,,2,1,,,,,4,4,0.6421,,4,4,4,,3,,4,,,,,,,,,,,,,,,,2,3,,,3,3,2,,,4,,,,Austin,6,-97.819,30.431
2017_4607,01/01/2017 12:00:00 AM,Web,,,,2,9,,,,,4,3,0.6448,,4,4,4,,4,,4,,,,,,,,,,,,,,,,3,2,,,4,3,2,,3,4,,,,Austin,7,-97.741,30.265
2016_4105,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,4,0.6421,,4,4,4,,2,,4,,,,,,,,,,,,,,,,3,4,,,4,4,4,,,3,,,,Austin,3,-97.688,30.259
2015_513,01/01/2015 12:00:00 AM,,,,,5,0,,,,,5,3,0.6257,,4,4,3,,3,,4,,,,,,,,,,,,,,,,4,,,,3,4,4,,,9,,,,Austin,4,-97.704,30.357
2015_514,01/01/2015 12:00:00 AM,,,,,4,0,,,,,9,3,0.6257,,4,4,4,,9,,4,,,,,,,,,,,,,,,,3,,,,3,4,3,,,5,,,,Austin,5,-97.815,30.213
2015_515,01/01/2015 12:00:00 AM,,,,,4,1,,,,,4,4,0.6257,,4,4,4,,2,,3,,,,,,,,,,,,,,,,3,,,,4,3,4,,,4,,,,Austin,7,-97.733,30.371
2015_523,01/01/2015 12:00:00 AM,,,,,3,0,,,,,3,2,0.6257,,3,2,3,,2,,3,,,,,,,,,,,,,,,,2,,,,2,3,2,,,3,,,,Austin,2,-97.755,30.179
2017_6128,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,5,5,3,,3,,3,,,,,,,,,,,,,,,,3,3,,,3,5,4,,3,4,,,,Austin,4,-97.752,30.247
2017_4608,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,4,2,4,,2,,4,,,,,,,,,,,,,,,,9,4,,,4,2,4,,9,2,,,,Austin,1,-97.729,30.358
2017_4214,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,9,4,0.6448,,5,5,5,,3,,4,,,,,,,,,,,,,,,,3,1,,,5,3,3,,3,4,,,,Austin,5,-97.715,30.306
2017_4615,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,4,4,3,,2,,3,,,,,,,,,,,,,,,,3,2,,,9,4,4,,3,3,,,,Austin,8,-97.725,30.339
2015_539,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,4,0.6257,,5,5,5,,3,,4,,,,,,,,,,,,,,,,3,,,,3,4,4,,,2,,,,Austin,3,-97.725,30.259
2015_565,01/01/2015 12:00:00 AM,,,,,4,0,,,,,9,9,0.6257,,4,4,3,,2,,2,,,,,,,,,,,,,,,,4,,,,9,4,4,,,3,,,,Austin,1,-97.696,30.278
2016_2063,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,3,0.6421,,5,4,4,,1,,5,,,,,,,,,,,,,,,,4,4,,,4,3,3,,,4,,,,Austin,2,-97.79,30.214
2017_6266,01/01/2017 12:00:00 AM,Web,,,,4,9,,,,,9,3,0.6448,,5,5,4,,3,,4,,,,,,,,,,,,,,,,3,3,,,3,4,3,,4,9,,,,Austin,10,-97.754,30.385
2017_6279,01/01/2017 12:00:00 AM,Web,,,,4,1,,,,,4,4,0.6448,,4,4,4,,1,,2,,,,,,,,,,,,,,,,4,3,,,4,4,4,,3,4,,,,Austin,7,-97.702,30.417
2015_602,01/01/2015 12:00:00 AM,,,,,3,1,,,,,4,3,0.6257,,3,3,4,,3,,3,,,,,,,,,,,,,,,,3,,,,3,3,2,,,2,,,,Austin,7,-97.734,30.405
2017_4616,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,4,4,0.6448,,5,4,3,,3,,5,,,,,,,,,,,,,,,,3,2,,,9,4,4,,3,4,,,,Austin,9,-97.726,30.219
2015_603,01/01/2015 12:00:00 AM,,,,,5,0,,,,,3,3,0.6257,,4,4,1,,1,,3,,,,,,,,,,,,,,,,4,,,,9,4,4,,,4,,,,Austin,7,-97.692,30.42
2015_604,01/01/2015 12:00:00 AM,,,,,5,1,,,,,4,4,0.6257,,4,4,4,,3,,3,,,,,,,,,,,,,,,,4,,,,3,3,3,,,3,,,,Austin,10,-97.772,30.396
2017_4277,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,4,4,0.6448,,5,3,5,,2,,3,,,,,,,,,,,,,,,,3,9,,,9,3,3,,9,4,,,,Austin,8,-97.727,30.199
2015_625,01/01/2015 12:00:00 AM,,,,,2,0,,,,,3,3,0.6257,,9,9,9,,9,,9,,,,,,,,,,,,,,,,3,,,,3,5,1,,,9,,,,Austin,10,-97.773,30.426
2017_4278,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,4,3,0.6448,,4,3,2,,2,,2,,,,,,,,,,,,,,,,3,3,,,3,4,4,,4,3,,,,Austin,3,-97.764,30.343
2016_2790,01/01/2016 12:00:00 AM,,,,,4,1,,,,,4,4,0.6421,,5,5,5,,3,,5,,,,,,,,,,,,,,,,2,2,,,5,4,4,,,1,,,,Austin,8,-97.841,30.248
2015_634,01/01/2015 12:00:00 AM,,,,,4,0,,,,,5,9,0.6257,,4,4,4,,4,,4,,,,,,,,,,,,,,,,4,,,,5,4,3,,,4,,,,Austin,1,-97.652,30.31
2015_691,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,4,0.6257,,5,4,4,,3,,4,,,,,,,,,,,,,,,,4,,,,4,4,4,,,4,,,,Austin,1,-97.689,30.284
2017_4617,01/01/2017 12:00:00 AM,Web,,,,3,0,,,,,4,4,0.6448,,4,4,4,,9,,4,,,,,,,,,,,,,,,,2,4,,,9,4,3,,9,4,,,,Austin,5,-97.885,30.19
