Data as of,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other,Footnote
05/06/2020,Connecticut,Weighted distribution of population (%),61.9,11.9,0.2,5.3,19.1,1.6,
05/06/2020,Connecticut,Unweighted distribution of population (%),66.5,10.2,0.2,4.7,16.5,1.8,
05/06/2020,Florida,Distribution of COVID-19 deaths (%),53.7,20.1,0,2.3,23.8,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Florida,Weighted distribution of population (%),31.3,18.6,0.1,2.5,46.3,1.2,
05/06/2020,Florida,Unweighted distribution of population (%),53.5,15.5,0.3,2.8,26.1,1.7,
05/06/2020,Georgia,Distribution of COVID-19 deaths (%),46.5,49.6,0,1.9,2.1,0,
05/06/2020,Georgia,Weighted distribution of population (%),41.3,40.3,0.2,6.4,9.9,1.9,
05/06/2020,Georgia,Unweighted distribution of population (%),52.4,31.5,0.2,4.2,9.8,1.9,
05/06/2020,Illinois,Distribution of COVID-19 deaths (%),48.8,31,,5.2,14.5,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Illinois,Weighted distribution of population (%),43.3,22.2,0.1,7.8,25.1,1.5,
05/06/2020,Illinois,Unweighted distribution of population (%),61,14.1,0.2,5.7,17.4,1.7,
05/06/2020,Indiana,Distribution of COVID-19 deaths (%),79.7,15.9,0,,3.4,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Indiana,Weighted distribution of population (%),59.6,23.8,0.2,3.4,10.7,2.4,
05/06/2020,Indiana,Unweighted distribution of population (%),78.9,9.5,0.2,2.4,7.1,1.9,
05/06/2020,Iowa,Distribution of COVID-19 deaths (%),89.2,,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,Weighted distribution of population (%),80.7,6.4,0.2,4.1,6.4,2.3,
05/06/2020,Iowa,Unweighted distribution of population (%),85.3,3.8,0.3,2.7,6.2,1.8,
05/06/2020,Kansas,Distribution of COVID-19 deaths (%),63.7,32.4,0,0,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,Weighted distribution of population (%),70.8,8.5,0.4,4.9,12.9,2.5,
05/06/2020,Kansas,Unweighted distribution of population (%),75.7,5.7,0.8,3.1,12.1,2.7,
05/06/2020,Kentucky,Distribution of COVID-19 deaths (%),81.1,17.2,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kentucky,Weighted distribution of population (%),68.8,20.1,0.1,3,5.6,2.3,
05/06/2020,Kentucky,Unweighted distribution of population (%),84.3,8.2,0.2,1.6,3.8,1.9,
05/06/2020,Louisiana,Distribution of COVID-19 deaths (%),43.1,53.9,,,2.3,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Louisiana,Weighted distribution of population (%),48.2,38.1,0.4,3.1,8.7,1.4,
05/06/2020,Louisiana,Unweighted distribution of population (%),58.6,32.3,0.6,1.8,5.2,1.5,
05/06/2020,Maryland,Distribution of COVID-19 deaths (%),46.2,41.9,0,4.4,6.7,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maryland,Weighted distribution of population (%),41.6,32.4,0.2,9,14.3,2.4,
05/06/2020,Maryland,Unweighted distribution of population (%),50.5,29.8,0.2,6.6,10.4,2.5,
05/06/2020,Massachusetts,Distribution of COVID-19 deaths (%),81.5,8.2,,3.1,6.1,1,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Massachusetts,Weighted distribution of population (%),67.8,8,0.1,9.1,13,1.9,
05/06/2020,Massachusetts,Unweighted distribution of population (%),71.4,7.2,0.2,7,12.3,1.9,
05/06/2020,Michigan,Distribution of COVID-19 deaths (%),58,36.8,,1.8,1.9,1.3,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Michigan,Weighted distribution of population (%),59.7,27.8,0.3,4.8,5.2,2.3,
05/06/2020,Michigan,Unweighted distribution of population (%),74.9,13.8,0.6,3.3,5.2,2.3,
05/06/2020,Minnesota,Distribution of COVID-19 deaths (%),88.8,6.2,,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,Weighted distribution of population (%),68.6,12.9,0.7,8,6.9,2.9,
05/06/2020,Minnesota,Unweighted distribution of population (%),79.5,6.6,1.1,5.1,5.5,2.3,
05/06/2020,Mississippi,Distribution of COVID-19 deaths (%),41.1,58.5,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,Weighted distribution of population (%),52.3,41.9,0.2,1.2,3.2,1.2,
05/06/2020,Mississippi,Unweighted distribution of population (%),56.5,37.4,0.5,1,3.4,1.2,
05/06/2020,Missouri,Distribution of COVID-19 deaths (%),62.4,33.5,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,Weighted distribution of population (%),65.4,24.5,0.2,4,3.8,2.2,
05/06/2020,Missouri,Unweighted distribution of population (%),79.3,11.6,0.4,2.1,4.3,2.3,
05/06/2020,Nevada,Distribution of COVID-19 deaths (%),43.9,17.3,,17.9,19.1,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nevada,Weighted distribution of population (%),43.2,11.4,0.5,9.8,31.4,3.7,
05/06/2020,Nevada,Unweighted distribution of population (%),48.7,9.1,0.9,8.3,29,4.1,
05/06/2020,New Jersey,Distribution of COVID-19 deaths (%),60,13.9,,6.4,19.2,0.4,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,Weighted distribution of population (%),49.3,13.9,0.1,12.2,23.1,1.4,
05/06/2020,New Jersey,Unweighted distribution of population (%),54.9,12.9,0.1,9.8,20.6,1.6,
05/06/2020,New York,Distribution of COVID-19 deaths (%),65.7,15,,4.4,14.2,0.5,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York,Weighted distribution of population (%),62.1,10.6,0.2,7,18.7,1.5,
05/06/2020,New York,Unweighted distribution of population (%),73,8.8,0.3,4.3,11.7,1.8,
05/06/2020,New York City,Distribution of COVID-19 deaths (%),29,26.1,0,9.1,27.6,8.3,
05/06/2020,New York City,Weighted distribution of population (%),30.5,23.3,0.2,15.6,28.5,1.8,
05/06/2020,New York City,Unweighted distribution of population (%),32.1,22,0.2,14.7,29.2,1.8,
05/06/2020,Ohio,Distribution of COVID-19 deaths (%),83.4,14.2,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Ohio,Weighted distribution of population (%),66,22.8,0.2,3.3,5.3,2.4,
05/06/2020,Ohio,Unweighted distribution of population (%),78.7,12.6,0.2,2.4,3.9,2.2,
05/06/2020,Oklahoma,Distribution of COVID-19 deaths (%),68.4,8.8,13.2,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,Weighted distribution of population (%),60.4,11.6,5,3.5,14.3,5.2,
05/06/2020,Oklahoma,Unweighted distribution of population (%),65.3,7.4,8.3,2.3,10.9,5.8,
05/06/2020,Pennsylvania,Distribution of COVID-19 deaths (%),69.3,20.9,,3.7,5.8,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Pennsylvania,Weighted distribution of population (%),57.2,23.4,0.2,6.3,11.1,1.9,
05/06/2020,Pennsylvania,Unweighted distribution of population (%),76.1,10.8,0.1,3.6,7.6,1.7,
05/06/2020,South Carolina,Distribution of COVID-19 deaths (%),45,53.8,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,Weighted distribution of population (%),59.4,29.8,0.3,2.3,6.4,1.8,
05/06/2020,South Carolina,Unweighted distribution of population (%),63.7,26.6,0.4,1.7,5.8,1.8,
05/06/2020,Tennessee,Distribution of COVID-19 deaths (%),62.9,29.4,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,Weighted distribution of population (%),55.1,32.6,0.2,2.9,7.4,1.8,
05/06/2020,Tennessee,Unweighted distribution of population (%),73.7,16.7,0.3,1.8,5.6,1.8,
05/06/2020,Texas,Distribution of COVID-19 deaths (%),47.4,21.8,,2,28.3,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Texas,Weighted distribution of population (%),32.8,16.8,0.2,6.7,42,1.5,
05/06/2020,Texas,Unweighted distribution of population (%),41.5,12,0.3,5,39.6,1.6,
05/06/2020,Virginia,Distribution of COVID-19 deaths (%),59.4,27.8,0,8.2,4.4,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,Weighted distribution of population (%),51.9,15.2,0.2,15.5,14.1,3.1,
05/06/2020,Virginia,Unweighted distribution of population (%),61.5,19.1,0.3,6.8,9.6,2.7,
05/06/2020,Washington,Distribution of COVID-19 deaths (%),75.8,3.8,,10.7,7.4,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Washington,Weighted distribution of population (%),60.8,6.2,0.7,17.5,10.3,4.5,
05/06/2020,Washington,Unweighted distribution of population (%),68,3.9,1.3,9.1,12.9,4.8,
05/06/2020,Wisconsin,Distribution of COVID-19 deaths (%),60.2,31.3,,,5.4,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wisconsin,Weighted distribution of population (%),56.6,22.3,0.5,4.6,13.8,2.2,
05/06/2020,Wisconsin,Unweighted distribution of population (%),81.1,6.4,0.9,3,6.9,1.7,
