Application Type,License Number,Processed Date,License Date,Issued Date,Last Renewal Date,Next Renewal Date,License Expiration Date,IN_COUNTY,OUT_COUNTY,PRODUCT_SOLD,Farm name,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code,Work Location
AGRICULTURAL PRODUCERS CERTIF,222825,04/27/2015,04/27/2015,04/28/2015,,04/28/2016,04/28/2016,Y,N,PRODUCE,LEWIS ORCHARADS,,,,,,,,,WITHIN MONTGOMERY COUNTY
AGRICULTURAL PRODUCERS CERTIF,212510,08/04/2009,08/04/2009,,,,,Y,N,PRODUCE,DODSON'S FARM,4840,,WESTERN,AVE,,BETHESDA,MD,20816,
AGRICULTURAL PRODUCERS CERTIF,218564,02/19/2013,02/19/2013,02/28/2013,,02/28/2014,02/28/2014,Y,N,PRODUCE,CALVERT FARM,8700,,PINEY BRANCH,RD,,SILVER SPRING,MD,20901,
AGRICULTURAL PRODUCERS CERTIF,208716,06/19/2007,06/19/2007,06/19/2007,,06/19/2008,06/19/2008,Y,N,PRODUCE,NORMAN'S FARM MARKET,,,,,,,,,"FOUR LOCATIONS:  MASS.AVE., RIVER RD., JONES MILL RD., SEVEN LOCKS RD."
AGRICULTURAL PRODUCERS CERTIF,224565,01/04/2016,01/04/2016,01/07/2016,,01/07/2017,01/07/2017,Y,N,PRODUCE,PLEASANT VALLEY FARM,27130,,RIDGE,RD,,DAMASCUS,MD,20872,
AGRICULTURAL PRODUCERS CERTIF,200057,11/18/1999,11/18/1999,11/18/1999,07/05/2002,07/05/2003,07/05/2003,Y,N,PRODUCE,PHILLIPS FARM,,,,,,,,,"WALTER JOHNSON DRIVE/WISTERIA DRIVE IN GERMANTOWN, MD AND 12201 DARNESTOWN ROAD IN GAITHERSBURG, MD"
AGRICULTURAL PRODUCERS CERTIF,226192,06/22/2018,06/22/2018,06/22/2018,,06/22/2019,06/22/2019,Y,N,FLOWERS AND PRODUCE,AIX LA CHAPELLE FARM,4719,,CHESTNUT,ST,,BETHESDA,MD,20814,
AGRICULTURAL PRODUCERS CERTIF,200177,06/02/2000,06/02/2000,06/08/2000,,06/08/2001,06/08/2001,Y,N,PRODUCE,HOMESTEAD FARM,11817,,SEVEN LOCKS,RD,,POTOMAC,MD,20854,REGULAR ROUTE LOCATION TUES/WENS AND FRI/SAT
AGRICULTURAL PRODUCERS CERTIF,215395,04/19/2011,04/19/2011,,,,,N,Y,PRODUCE,COTTINGHAM FARM LLC,,,,,,,,,
AGRICULTURAL PRODUCERS CERTIF,219544,05/24/2013,05/24/2013,05/24/2013,05/08/2014,05/24/2015,05/24/2015,Y,N,PRODUCE,NORMAN'S FARM MARKET,,,,,,,,,Jones Mill & East West Highway
AGRICULTURAL PRODUCERS CERTIF,206937,06/22/2006,06/22/2006,,,,,N,N,FLOWERS AND PRODUCE,TRUFFULA SEED FARM,8201,,RIVER,RD,,BETHESDA,MD,20817,
AGRICULTURAL PRODUCERS CERTIF,200070,11/24/1999,11/24/1999,,,11/24/2001,11/24/2001,N,Y,TREES,WEAVER TREE FARM,3100,,HOLIDAY,DR,,BROOKEVILLE,MD,20833,
AGRICULTURAL PRODUCERS CERTIF,212649,08/24/2009,08/24/2009,08/26/2009,09/02/2010,08/26/2011,08/26/2011,N,Y,FLOWERS AND PRODUCE,BAUGHERS ORCHARD,10900,,SEVEN LOCKS,RD,,POTOMAC,MD,20854,
AGRICULTURAL PRODUCERS CERTIF,201379,05/22/2001,05/22/2001,05/29/2001,,05/29/2002,05/29/2002,Y,N,"FLOWERS, PRODUCE AND TREES",MISTY MEADOW FARM NURSERY,12000,,BETHESDA CHURCH,RD,,DAMASCUS,MD,20872,
AGRICULTURAL PRODUCERS CERTIF,210421,08/05/2008,08/05/2008,09/11/2008,,09/11/2009,09/11/2009,N,Y,PRODUCE,TWIN SPRINGS FRUIT FARM,,,,,,,,,
AGRICULTURAL PRODUCERS CERTIF,200033,10/15/1999,10/15/1999,10/15/1999,,10/15/2000,10/15/2000,N,Y,PRODUCE,T & H PRODUCE,,,ROUTE 2 BOX 221H,,,GEORGETOWN,DE,19947,
AGRICULTURAL PRODUCERS CERTIF,200078,11/30/1999,11/30/1999,12/01/1999,12/01/2000,12/01/2001,12/01/2001,N,Y,TREES,DELONG CHRISTMAS TREE FARM,,,,,,,,,
AGRICULTURAL PRODUCERS CERTIF,200061,11/19/1999,11/19/1999,12/01/1999,11/17/2000,11/17/2001,11/17/2001,N,Y,TREES,AHEARN & CANNON,2601,,COLSTON,DR,,CHEVY CHASE,MD,20815,
AGRICULTURAL PRODUCERS CERTIF,223245,06/09/2015,06/09/2015,06/10/2015,,06/10/2016,06/10/2016,N,Y,PRODUCE,LARRILAND FARM,,,,,,,,,"2415 WOODBINE ROAD, WOODBINE, MD 21797"
AGRICULTURAL PRODUCERS CERTIF,201299,11/27/2000,11/27/2000,11/27/2000,,11/27/2001,11/27/2001,N,N,TREES,BEGLEYS TREE FARM,28912,,RIDGE,RD,,MOUNT AIRY,MD,21771,
AGRICULTURAL PRODUCERS CERTIF,200071,11/24/1999,11/24/1999,11/27/2000,11/15/2001,11/15/2002,11/15/2002,N,Y,TREES,D & H TREE FARM,9211,,GEORGIA,AVE,,SILVER SPRING,MD,,
AGRICULTURAL PRODUCERS CERTIF,226173,06/13/2018,06/13/2018,06/19/2018,,06/19/2019,06/19/2019,Y,N,PRODUCE AND TREES,PHOENIX FARM,22301,,GEORGIA,AVE,,BROOKEVILLE,MD,20833,
AGRICULTURAL PRODUCERS CERTIF,200205,07/13/2000,07/13/2000,07/13/2000,,07/13/2001,07/13/2001,Y,N,PRODUCE,PHILLIPS FARM,,,,,,,,,HUNTINGTON PARKWAY IN BETHESDA
AGRICULTURAL PRODUCERS CERTIF,225085,07/28/2016,07/28/2016,08/01/2016,,08/01/2017,08/01/2017,Y,N,PRODUCE,BIRD HOUSE PRODUCE,10410,,MONTGOMERY,AVE,,KENSINGTON,MD,20895,
AGRICULTURAL PRODUCERS CERTIF,225655,06/19/2017,06/19/2017,06/19/2017,06/14/2018,06/19/2019,06/19/2019,Y,N,PRODUCE,WATKINS HOUSE PRODUCE,27130,,RIDGE,RD,,DAMASCUS,MD,20872,
AGRICULTURAL PRODUCERS CERTIF,203032,10/01/2003,10/01/2003,10/23/2003,09/27/2005,09/27/2006,09/27/2006,Y,N,PRODUCE,HEISLER FARM,23830,,OLD HUNDRED,RD,,DICKERSON,MD,20842,
AGRICULTURAL PRODUCERS CERTIF,215516,05/05/2011,05/05/2011,05/23/2011,05/06/2014,05/18/2015,05/18/2015,N,Y,PRODUCE,NORMAN'S FARM MARKET,,,,,,,,,
AGRICULTURAL PRODUCERS CERTIF,223405,06/25/2015,06/25/2015,06/30/2015,,06/30/2016,06/30/2016,Y,N,PRODUCE,MOHOLT PRODUCE,23230,,RIDGE,RD,,GERMANTOWN,MD,20876,
AGRICULTURAL PRODUCERS CERTIF,212849,10/13/2009,10/13/2009,06/22/2010,,06/22/2011,06/22/2011,Y,N,PRODUCE,COUNTRY THYME FARM MARKET,,,,,,,,,RIVER ROAD IN FRONT OF KENTWOOD COUNTRY CLUB
AGRICULTURAL PRODUCERS CERTIF,222848,04/28/2015,04/28/2015,05/02/2016,05/14/2018,05/02/2019,05/02/2019,Y,N,PRODUCE,NORMAN'S MARKET,,,,,,,,,CORNER OF JONES MILL ROAD AND EAST WEST HIGHWAY
AGRICULTURAL PRODUCERS CERTIF,200068,11/23/1999,11/23/1999,11/24/1999,,11/24/2000,11/24/2000,N,Y,TREES,OLD TOWN NURSERY,807,S,FREDERICK,AVE,,GAITHERSBURG,MD,20877,
AGRICULTURAL PRODUCERS CERTIF,200185,06/14/2000,06/14/2000,06/29/2000,07/12/2005,07/12/2006,07/12/2006,Y,N,PRODUCE,NORMAN'S FARM MARKETS,6650,,DAMASCUS,RD,,GAITHERSBURG,MD,20882,
AGRICULTURAL PRODUCERS CERTIF,200230,08/22/2000,08/22/2000,09/11/2000,06/11/2002,06/11/2003,06/11/2003,Y,N,PRODUCE,PHILLIPS FARM,25901,,FREDERICK,RD,,CLARKSBURG,MD,20871,
AGRICULTURAL PRODUCERS CERTIF,202059,07/02/2002,07/02/2002,07/02/2002,,07/02/2003,07/02/2003,Y,N,PRODUCE AND TREES,BUYING FROM LEWIS ORCHARDS,10401,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814,
AGRICULTURAL PRODUCERS CERTIF,212470,07/29/2009,07/29/2009,,,,,Y,N,PRODUCE AND TREES,NEW HAMPSHIRE FARMS,4200,,SANDY SPRING,RD,,BURTONSVILLE,MD,20866,
AGRICULTURAL PRODUCERS CERTIF,201256,10/12/2000,10/13/2000,10/13/2000,10/11/2007,10/10/2008,10/10/2008,Y,N,PRODUCE,COUNTRY THYME FARM MARKET,,,RIVER,RD,,BETHESDA,MD,20816,AT RIVER ROAD & SPRINGFIELD ROAD BY KENWOOD COUNTRY CLUB
AGRICULTURAL PRODUCERS CERTIF,218684,03/11/2013,03/11/2013,04/30/2013,,04/30/2014,04/30/2014,N,Y,PRODUCE,"TWIN SPRINGS FRUIT FARM, INC.",,,,,,,,,SEVERAL LOCATIONS IN MONTGOMERY COUNTY
AGRICULTURAL PRODUCERS CERTIF,200116,03/02/2000,,,,,,Y,N,PRODUCE,,,,,,,,,,INTER OF WILSON & MACARTHUR BLVD COUNTY RIGHT-OF-WAY
AGRICULTURAL PRODUCERS CERTIF,207000,07/07/2006,07/07/2006,,,,,Y,N,PRODUCE,THE FARMER'S MARKET,,,,,,,,,SEVERAL SITES
AGRICULTURAL PRODUCERS CERTIF,226172,06/13/2018,06/13/2018,06/19/2018,,06/19/2019,06/19/2019,Y,N,PRODUCE AND TREES,Phoenix farm,16001,,GEORGIA,AVE,,SILVER SPRING,MD,20906,Georgia and 200 park and ride  16000 Georgia ave
AGRICULTURAL PRODUCERS CERTIF,200026,10/07/1999,10/07/1999,10/07/1999,,08/03/2001,08/03/2001,N,Y,PRODUCE,ROYER FARMS,,,,,,,,,VENDING AT 11200 NEW HAMPSHIRE AVE AND 3410-3490 OLNEY LAYTONSVILLE ROAD
AGRICULTURAL PRODUCERS CERTIF,225120,08/17/2016,08/17/2016,08/18/2016,,08/18/2017,08/18/2017,Y,N,PRODUCE AND TREES,PHEONIX FARM,,,,,,,,,INTERSECTION OF ROUTES 97 & 200
AGRICULTURAL PRODUCERS CERTIF,201386,06/01/2001,06/01/2001,06/01/2001,,06/01/2002,06/01/2002,Y,N,FLOWERS AND PRODUCE,HEYSER FARMS INC,,,,,,,,,DARNESTOWN RD
AGRICULTURAL PRODUCERS CERTIF,218464,02/05/2013,02/05/2013,,,,,Y,N,"FLOWERS, PRODUCE AND TREES",NEW HAMPSHIRE FARMS & MARKETS,4200,,SANDY SPRING,RD,,BURTONSVILLE,MD,20866,
AGRICULTURAL PRODUCERS CERTIF,206369,03/30/2006,03/30/2006,03/30/2006,,03/30/2007,03/30/2007,N,Y,SEAFOOD,,,,,,,,,,RT. 29 AND TECH ROAD
AGRICULTURAL PRODUCERS CERTIF,223746,08/13/2015,08/13/2015,08/19/2015,,08/19/2016,08/19/2016,Y,N,PRODUCE AND TREES,PHOENIX FARM,,,,,,,,,INTERSECTION OF ROUTES 97 & 200
AGRICULTURAL PRODUCERS CERTIF,202559,06/23/2003,06/23/2003,02/02/2005,,02/02/2006,02/02/2006,N,Y,PRODUCE AND TREES,NEW HAMPSHIRE FARMS,4200,,SANDY SPRING,RD,,BURTONSVILLE,MD,20866,
AGRICULTURAL PRODUCERS CERTIF,216035,08/08/2011,08/08/2011,08/18/2011,,08/18/2012,08/18/2012,N,Y,FLOWERS AND PRODUCE,FOWLER'S PRODUCE,,,,,,,,,ROW- MT PISGAH ROAD
AGRICULTURAL PRODUCERS CERTIF,200226,08/17/2000,08/17/2000,08/15/2001,08/17/2005,08/17/2006,08/17/2006,Y,N,FLOWERS AND PRODUCE,ROGERS PRODUCE,10900,,SEVEN LOCKS,RD,,POTOMAC,MD,20854,600 FEET SOUTH OF TUCKERMAN LANE ON SEVEN LOCKS ROAD
AGRICULTURAL PRODUCERS CERTIF,200055,11/18/1999,11/18/1999,11/18/1999,11/08/2001,11/08/2002,11/08/2002,N,Y,TREES,MAXSELL FARMS,2101,,EVANS,PKWY,,SILVER SPRING,MD,20901,
AGRICULTURAL PRODUCERS CERTIF,221024,04/10/2014,04/10/2014,,,,,Y,N,PRODUCE,CALVERT FARM,1500,,FOREST GLEN,RD,,SILVER SPRING,MD,20910,
AGRICULTURAL PRODUCERS CERTIF,225083,07/27/2016,07/27/2016,07/29/2016,,07/29/2017,07/29/2017,Y,N,PRODUCE AND TREES,PHOENIX FARM,22301,,GEORGIA,AVE,,BROOKEVILLE,MD,20833,
AGRICULTURAL PRODUCERS CERTIF,210300,07/18/2008,07/18/2008,07/18/2008,,07/18/2009,07/18/2009,Y,N,PRODUCE,ELLIOT'S FARM FRESH PRODUCE,9600,,BRINK,RD,,GAITHERSBURG,MD,20882,
AGRICULTURAL PRODUCERS CERTIF,224827,04/11/2016,04/11/2016,04/13/2016,04/07/2017,04/13/2018,04/13/2018,Y,N,PRODUCE,SNOZZBERRY VEGETABLE FARM,2600,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,
AGRICULTURAL PRODUCERS CERTIF,225090,08/01/2016,08/01/2016,08/29/2016,,08/29/2017,08/29/2017,N,Y,PRODUCE AND TREES,HAWKINS PRODUCE,,,,,,,,,DEMOCRACY BLVD. BETWEEN SEVEN LOCKS ROAD AND CARMELITA DRIVE
AGRICULTURAL PRODUCERS CERTIF,203907,06/16/2004,06/17/2004,06/17/2004,04/30/2007,04/25/2008,04/25/2008,Y,N,PRODUCE,LEWIS ORCHARD,11918,,GLEN MILL,RD,,POTOMAC,MD,20854,
AGRICULTURAL PRODUCERS CERTIF,219685,06/20/2013,06/20/2013,07/17/2013,07/15/2016,07/17/2017,07/17/2017,Y,N,"FLOWERS, PRODUCE AND TREES",COUNTRY THYME FARM,13520,,CLOPPER,RD,,GERMANTOWN,MD,20874,
AGRICULTURAL PRODUCERS CERTIF,222846,04/28/2015,04/28/2015,05/04/2015,05/28/2019,05/04/2020,05/04/2020,Y,N,PRODUCE,NORMAN'S FARM,,,,,,,,,CORNER OF MASSACHUSETTS AVENUE - ENTRANCE OF WESTLAND MIDDLE SCHOOL; AGRIC
AGRICULTURAL PRODUCERS CERTIF,255274,05/24/2019,05/24/2019,05/28/2019,,05/28/2020,05/28/2020,Y,N,PRODUCE,SOMERSET PRODUCE,2600,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,
AGRICULTURAL PRODUCERS CERTIF,226209,07/09/2018,07/09/2018,07/12/2018,07/17/2019,07/12/2020,07/12/2020,Y,N,PRODUCE,PARKVIEW FARMS,17820,,WHITES FERRY,RD,,POOLESVILLE,MD,20837,
AGRICULTURAL PRODUCERS CERTIF,225042,07/12/2016,07/12/2016,07/15/2016,08/07/2019,07/15/2020,07/15/2020,Y,N,PRODUCE,MOHOLT PRODUCE,23230,,RIDGE,RD,,GERMANTOWN,MD,20876,
AGRICULTURAL PRODUCERS CERTIF,208918,07/23/2007,07/23/2007,08/01/2016,07/22/2019,08/01/2020,08/01/2020,Y,N,PRODUCE,CENTURION FARM,7300,,MACARTHUR,BLVD,,GLEN ECHO,MD,20812,
AGRICULTURAL PRODUCERS CERTIF,262655,09/10/2019,09/10/2019,,,,,Y,N,PRODUCE AND TREES,PHOENIX FARMS,,,,,,,,,GEORIGA AVENUE & 200
AGRICULTURAL PRODUCERS CERTIF,221765,09/05/2014,09/05/2014,09/08/2014,09/26/2019,09/08/2020,09/08/2020,Y,N,PRODUCE,BAUGHERS' ENTERPRISES INC,10900,,SEVEN LOCKS,RD,,POTOMAC,MD,20854,
AGRICULTURAL PRODUCERS CERTIF,264971,02/13/2020,02/13/2020,02/20/2020,,02/20/2021,02/20/2021,Y,N,PRODUCE,SANDY SPRING GARDENS,304,,LETHBRIDGE,CT,,ASHTON,MD,20861,
