Project Number,Description,Start Date,Target Date,Campus,Economic Development Region,Project Phase,Purpose,Managed by SUCF,Project Status
011045,Rehabilitate Physical Education Building,12/05/2019,02/06/2026,University at Albany,Capital Region,Design Procurement,Preservation of Facilities,Y,Active
011046,Update Facilities Master Plan,03/24/2020,06/29/2022,University at Albany,Capital Region,In Planning,Preservation of Facilities,Y,Active
011047,Site Representative - Campus (JK),04/17/2020,04/17/2025,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011048,Minor Critical Maintenance FY 2020/21,04/21/2020,04/21/2022,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
01X470,"Rehabilitate Husted Hall, Downtown Campus, Building No. 3",05/01/2002,04/08/2020,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01X480,Site Enhancements,01/01/2013,04/01/2014,University at Albany,Capital Region,Closed,Program Improvement or Program Change,N,Complete
01X489,"Uptown Campus - Electric Repairs, Phase I",09/21/2006,04/23/2014,University at Albany,Capital Region,Closed,Energy Conservation,N,Complete
01X5A1,Campus Capital Plan - Professional Staff,08/18/2006,06/30/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X678,Site Representative - Campus (B),04/13/2010,06/09/2017,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X679,Site Representative - Campus (MH),09/22/2008,01/27/2017,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X683,Site Representative - Campus (JB),05/27/2010,03/31/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X685,Site Representative - Campus,05/27/2009,03/31/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X686,Site Representative - Campus,12/08/2009,03/31/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X688,Site Representative - Campus (BB),07/29/2011,03/31/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X689,Site Representative - Campus,07/27/2010,07/15/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X690,Site Representative - Campus (GM),02/28/2012,04/01/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X691,Site Representative - Campus,02/28/2011,03/31/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X693,Site Rep - Campus,04/17/2012,07/15/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X694,Site Representative-Campus (JK),05/15/2013,06/11/2020,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
01X695,Site Representative-Campus (DR),05/23/2013,04/18/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X7A9,Install Redundant Ductbank - New Data Center,10/03/2012,04/26/2013,University at Albany,Capital Region,Closed,New Facilities and Equipment Replacement,Y,Complete
01x7B1,Renovate Tunnel,02/12/2014,05/21/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01x7B2,Rehab Fuel Delivery Area- Data Center,07/29/2014,06/15/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01X842,Program Study - Renovate Page Hall,05/19/2008,10/16/2009,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01X848,Renovate Building 27 - Program& Concept Study,06/10/2010,08/04/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X849,Storm & Sanitary Water Implementation Plan,10/26/2010,03/28/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01X850,Linear Accelerator Upgrades - Study,03/29/2012,05/30/2013,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01X854,Classroom Improvement Study,02/16/2012,03/05/2013,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01X855,Site Improvement Study,12/05/2012,07/02/2013,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Cancelled
01X856,Electrical Distribution Study,09/13/2013,09/08/2020,University at Albany,Capital Region,Closed,"Health, Safety, Security",N,Complete
01X857,Environmental Impact Study- Downtown,08/14/2012,12/03/2020,University at Albany,Capital Region,Closed,Environment Protection or Improvements,N,Complete
01XA13,Life Sciences Bldg. - Complete Shelled Wing,09/15/2009,04/25/2018,University at Albany,Capital Region,Closed,New Facilities and Equipment Replacement,N,Complete
01XA14,Brubacher Hall,11/15/2005,09/15/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA29,Replace Windows - Downtown Campus,10/01/2008,05/29/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA30,Pedestrian Walkways Improvement,08/15/2008,03/31/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA31,"Implement Lghting Master Plan, Phase  I",01/31/2007,06/02/2017,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
01XA36,"Elevator Renovations, Various Buildings, Phase II",10/11/2007,05/23/2013,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA37,"Rehab of Light Wells, Phase II",10/02/2007,10/30/2013,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA39,"North Side Improvements, Phase II",09/17/2007,03/20/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA40,Install Podium Sky Light Domes,09/20/2007,05/12/2021,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA45,"Renovate Classrooms,Phase 1",08/15/2008,06/07/2012,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA46,Mechanical Electrical Upgrades - Various Buildings,06/02/2008,04/28/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA47,Renovate Health Center,11/15/2012,12/04/2020,University at Albany,Capital Region,Pending Final Construction Payment,Preservation of Facilities,Y,Active
01XA48,"Renovate University Library, Phase 1",07/23/2008,06/23/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA49, Relocate University Data Center,04/24/2008,06/15/2018,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA50,Renovate Service Buildings,05/27/2008,06/18/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA51,Construct New Business School,05/15/2008,06/27/2017,University at Albany,Capital Region,Closed,New Facilities and Equipment Replacement,Y,Complete
01XA56,Construct Campus Center Expansion,02/06/2009,05/22/2020,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
01XA57,Site Utilities Upgrades IIA,03/16/2009,11/13/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA58,Rehabilitate Water Tower and Fountains,03/02/2009,07/11/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA60,"Renovate Classrooms -, Phase II",09/03/2009,07/22/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA61,"Elevator  Renovations, Various Buildings -Phase III",10/27/2009,06/18/2018,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
01XA65,Rehabiltate/Replace Stone & Masonry - Husted Hall,06/04/2010,08/28/2017,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA66,Podium Concrete Deck Preservation,06/09/2010,10/28/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA67,Theater Lighting Renovations - Performing Arts Center,07/20/2010,06/05/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA68,"Rehab Exterior Envelope, Downtown - Various Buildings",06/04/2010,05/29/2020,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
01XA70,Athletic Fields Upgrades & Improvements,05/24/2010,06/30/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA71,Renovate/Upgrade Edge Barrier System,06/15/2010,06/10/2022,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA72,Renovate Classrooms Phase 3,08/03/2010,03/20/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA73,Fire Alarm Upgrades Downtown Campus,09/07/2010,10/18/2021,University at Albany,Capital Region,In Guarantee,"Health, Safety, Security",N,Active
01XA74,Replace Roof - Humanities and Chemistry,10/14/2010,04/10/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA75,Data Center - Redundant Network Connectivity,03/01/2011,07/18/2016,University at Albany,Capital Region,Closed,New Facilities and Equipment Replacement,Y,Complete
01XA76,Upgrade Security Systems Campus Wide,04/11/2011,07/17/2019,University at Albany,Capital Region,Closed,"Health, Safety, Security",N,Complete
01XA77,Whiteface Mountain Obervatory - Critical Upgrades,04/11/2011,10/27/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA78,Upgrade HVAC Systems - Library,09/30/2011,04/07/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA79,Renovate Classrooms/Labs Phase IV,01/10/2012,12/12/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA80,Renovate Building 27,11/19/2012,02/01/2022,University at Albany,Capital Region,In Construction,Preservation of Facilities,Y,Active
01XA81,Acquire Former Schuyler HS,05/29/2012,04/03/2014,University at Albany,Capital Region,Closed,Program Improvement or Program Change,N,Complete
01XA82,Upgrade Central Plant,08/07/2012,11/18/2015,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
01XA83,Sanitary & Storm Improvements - Alumni Quad,09/04/2012,09/10/2020,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
01XA84,Renovate Former Albany High School,09/19/2012,01/03/2018,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA85,Podium Concrete Deck Rehab-Phase II,09/24/2012,03/15/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA86,Renovate Podium for Surge - Phase I,10/31/2014,02/24/2021,University at Albany,Capital Region,Closed,Program Improvement or Program Change,N,Complete
01XA87,Construct ETEC Building - 2020,12/14/2012,02/02/2024,University at Albany,Capital Region,In Construction,New Facilities and Equipment Replacement,Y,Active
01xA88,Emergency Flood Remediation - Podium & Site,09/30/2013,08/19/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01xA89,Replace Partition Doors-PE,05/14/2014,11/03/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01xA90,Renovate Physical Education Bldg- 3rd Floor,11/28/2011,03/23/2016,University at Albany,Capital Region,Closed,Program Improvement or Program Change,N,Complete
01XA92,Upgrade Stormwater System Capacity,07/01/2015,11/14/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XA93,Replace Exterior Doors Uptown - Phase 1,09/18/2014,07/29/2022,University at Albany,Capital Region,In Construction,Preservation of Facilities,Y,Active
01XA94,Renovate Lecture Center,04/07/2015,01/29/2027,University at Albany,Capital Region,In Construction,Preservation of Facilities,Y,Active
01xA95,Renovate Schuyler Building - Phase II,11/17/2014,12/28/2027,University at Albany,Capital Region,In Construction,Preservation of Facilities,Y,Active
01XGRI,GRI Equipment,01/02/1991,09/29/2014,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XM04,Minor Rehab 04-07,02/02/2004,06/15/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XM08,Minor Rehab 08-13,04/01/2008,10/05/2017,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01xM13,Minor Critical Maintenance,04/01/2013,04/24/2015,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
01XM14,Minor Critical Maintenance - 2014,04/30/2014,08/18/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
021000,"Boiler, Ventilation & HVAC Upgrades to REOC",09/05/2014,07/11/2018,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
021001,Emergency Replacement Building Grounding - Various Buildings,12/22/2014,06/10/2016,SUNY Brockport,Finger Lakes,Closed,"Health, Safety, Security",N,Complete
021002,Minor Critical Maintenance FY2015/16,04/01/2015,10/31/2016,SUNY Brockport,Finger Lakes,Closed,"Health, Safety, Security",N,Complete
021003,Renovate Building and Infrastructure at Albert W Brown,12/07/2015,03/27/2019,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021004,Replace Bleachers at Tuttle North,01/23/2015,09/19/2018,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021005,Upgrades to Campus Communication & Data Infrastructure - Phase 1,09/01/2015,01/31/2017,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021006,Energy Master Plan - Campus Wide,09/13/2017,01/22/2018,SUNY Brockport,Finger Lakes,In Planning,Energy Conservation,N,Active
021007,Renovations of the Burlingame House - Bldg No. 18,07/01/2015,05/05/2016,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021008,"Renovations Campus Pedestrian and Vehicular Paths, Surfaces and Systems",11/14/2014,08/26/2019,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021009,"Emergency Fire Restoration of the Fifth Floor, Allen Hall",08/12/2015,03/08/2016,SUNY Brockport,Finger Lakes,Closed,"Health, Safety, Security",N,Complete
021010,"Renovate Dailey Hall, Second Floor",11/01/2015,02/03/2016,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021011,Renovate Exterior Facade & Perimeter Heating System at Allen Hall,10/13/2015,09/16/2022,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,Y,Active
021012,"Replace Emergency Generators, Campus Wide",02/01/2016,05/23/2022,SUNY Brockport,Finger Lakes,In Guarantee,"Health, Safety, Security",Y,Active
021013,Mechanical and Electrical Infrastructure & Energy Conservation Improvements,03/01/2016,05/08/2017,SUNY Brockport,Finger Lakes,In Construction,Energy Conservation,N,Active
021014,Minor Critical Maintenance FY 20016/17,05/02/2016,03/30/2017,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
021015,"Upgrade Fire Alarm Systems for CO Detection, Various Buildings",06/01/2016,03/03/2021,SUNY Brockport,Finger Lakes,In Design,"Health, Safety, Security",N,Active
021016,Site Representative - Campus  (DS),05/10/2016,04/01/2019,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021017,Site Representative - Campus  (MB),05/10/2016,05/07/2018,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021018,Upgrades to Campus Communication & Data Infrastructure - Phase 2,07/03/2017,07/02/2019,SUNY Brockport,Finger Lakes,In Construction,"Health, Safety, Security",N,Active
021019,"Renovate Bldg. 140 REOC, 5th Floor",03/01/2017,01/18/2019,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021020,Minor Critical Maintenance FY 2017/18,04/03/2017,03/28/2018,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
021021,Brockport Space Utilization Study,08/01/2017,12/17/2018,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
021022,"Partial Rehabilitation, Hazen Health Services",06/01/2017,02/01/2018,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
021023,Emergency Restoration of Water Damage at Conrad Welcome Center,01/11/2018,07/11/2018,SUNY Brockport,Finger Lakes,In Construction,"Health, Safety, Security",N,Active
021024,Replace Chillers at Allen & Drake,01/22/2018,05/07/2018,SUNY Brockport,Finger Lakes,In Construction,"Health, Safety, Security",N,Active
021025,"Infrastructure Improvements, North Campus Phase 2",03/05/2018,12/16/2025,SUNY Brockport,Finger Lakes,In Design,"Health, Safety, Security",Y,Active
021026,Minor Critical Maintenance FY2018/19,05/08/2018,04/01/2019,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021027,Construct Regional Sports and Recreational Complex,07/11/2019,10/12/2021,SUNY Brockport,Finger Lakes,In Design,New Facilities and Equipment Replacement,N,Active
021028,Reconstruct Allen Loop Plaza and New Campus Drive,12/18/2018,10/02/2025,SUNY Brockport,Finger Lakes,In Design,"Health, Safety, Security",Y,Active
021029,"Renovate Ballroom, Seymour Student Union",05/16/2019,11/14/2022,SUNY Brockport,Finger Lakes,In Design,Preservation of Facilities,N,Active
021030,Renovate Holmes Hall,12/27/2018,03/01/2028,SUNY Brockport,Finger Lakes,In Design,Preservation of Facilities,Y,Active
021031,Renovate Tuttle Complex,12/31/2018,05/24/2027,SUNY Brockport,Finger Lakes,Design Procurement,Preservation of Facilities,Y,Active
021032,"Emergency Boiler Repairs, Harrison Dining Hall",12/12/2018,06/04/2019,SUNY Brockport,Finger Lakes,In Construction,"Health, Safety, Security",N,Active
021033,Emergency Repair of Hot Water Return Piping - Tuttle Complex,04/09/2019,01/24/2020,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021034,Minor Critical Maintenance FY 2019/20,05/09/2019,09/28/2020,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021035,Renovate Seymour Student Union,05/30/2019,08/15/2025,SUNY Brockport,Finger Lakes,In Design,Preservation of Facilities,Y,Active
021036,Minor Critical Maintenance FY 2020/21,04/07/2020,05/27/2022,SUNY Brockport,Finger Lakes,In Planning,Preservation of Facilities,N,Active
021037,"ADA Improvements, Cooper Hall",04/07/2020,01/31/2022,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
021038,"Renovate 1st Floor, Allen Hall",04/07/2020,08/31/2021,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
02X344,"Renovate Lathrop Hall Upgrades, Bldg. 07",03/01/2011,02/14/2018,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X345,"Tuttle North, Interior Infrastructure Upgrades, PH I",08/30/2010,05/22/2019,SUNY Brockport,Finger Lakes,In Construction,Preservation of Facilities,N,Active
02X352,Site Infrastructure Improvements - East Campus,07/30/2009,03/17/2016,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X361,Rochester Educational Opportunity Center,01/28/2008,01/10/2018,SUNY Brockport,Finger Lakes,Closed,New Facilities and Equipment Replacement,Y,Complete
02X366,Special Events Recreation Center,07/14/2006,11/01/2017,SUNY Brockport,Finger Lakes,Closed,New Facilities and Equipment Replacement,Y,Complete
02X380,Infrastructure Improvements - Smith Hall,06/11/2007,05/21/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X383,"Replace Roofs, Exterior Envelope Improvements, Various Buildings, Ph I",06/25/2008,11/04/2013,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X385,"Upgrde Elevators, Various Buildings",11/17/2008,03/04/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X387,Andrews Street - REOC Bldg. 099,01/12/2019,10/29/2020,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X388,"Site Infrastructure Improvements - Electric Distribution, Ph II",12/18/2008,07/11/2019,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X389,Liberal Arts Building,09/01/2009,04/07/2016,SUNY Brockport,Finger Lakes,Closed,New Facilities and Equipment Replacement,Y,Complete
02X392,Rehabilitate Exterior - Tuttle North & South,11/02/2009,12/04/2017,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X395,Replace Roofs - Various Buildings Phase II,01/20/2010,02/27/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X396,Replace Roofs - Various Buildings Phase III,01/27/2010,01/21/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X398,Rehab/Replace Exterior Decks/Plazas/ Ramps/Stairs/Structures,08/03/2010,12/16/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X400,Rehabilitate Athletic Field & Track,05/14/2012,05/27/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X401,Rehab Swimming Pool - Tuttle North,07/26/2011,06/25/2013,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X402,"Reconstruct Roadways & Sidewalks, Campus Wide",07/26/2011,04/07/2017,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X406,Reconstruct Plaza/ADA Access to Pedestrian Bridge,02/06/2012,07/18/2016,SUNY Brockport,Finger Lakes,Closed,Facilities for Physically Disabled,Y,Complete
02X407,Renovate Tuttle Complex - Phase II,05/23/2012,01/29/2020,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Cancelled
02X408,Replace Windows/Rehab Exterior- Allen Administration Building,05/23/2012,02/27/2017,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Cancelled
02X409,Upgrade Underground Utilities (North Campus Utilities Upgrade),07/16/2014,11/12/2021,SUNY Brockport,Finger Lakes,In Construction,"Health, Safety, Security",N,Active
02x410,ADA Access to Ped Bridge,09/04/2013,07/12/2017,SUNY Brockport,Finger Lakes,Closed,"Health, Safety, Security",Y,Complete
02X411,Emergency Fire Restoration Fourth Floor Allen Hall,07/18/2014,10/26/2015,SUNY Brockport,Finger Lakes,Closed,"Health, Safety, Security",N,Complete
02X5A2,Professional Staff,09/01/2009,03/31/2016,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X619,Site Representative - Campus (S),10/06/2008,03/28/2016,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X620,Site Representative - Campus (B),10/02/2008,03/31/2016,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,N,Complete
02X7A3,Repair Exterior Stairs - Smith Hall,08/11/2012,03/27/2015,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
02X7A4,Renovate Morgan Hall for University Police,12/17/2013,12/16/2014,SUNY Brockport,Finger Lakes,Closed,Preservation of Facilities,Y,Complete
