Permit Number,Permit Category,Name,Address,Date Application Received,Sanitarian,Location 1,FoodID
66534-11-09-2019,Pool - New Construction,GOLDFISH SWIM,"801 CENTER PIONT WAY, GAITHERSBURG, MD 20878",09/11/2019,Murrell,"801 CENTER PIONT WAY
GAITHERSBURG, MD 20878
(39.122052, -77.236567)",38314
,Food - New Construction,ST ANDREW FOOD STORE,"15100 NEW HAMPSHIRE AVE, SILVER SPRING, MD 20905",09/06/2019,Murrell,"15100 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20905
(39.103701, -77.003454)",38305
NA,Food - New Construction,TAYLOR GOURMET,"926 ROSE AVE, NORTH BETHESDA, MD 20852",09/11/2019,Murrell,"926 ROSE AVE
NORTH BETHESDA, MD 20852
(39.051091, -77.116249)",38316
,Food - Equipment Replacement,CHEF MARLONZ,"8507 ZIGGY LANE, GAITHERSBURG, MD 20877",01/22/2020,Patel,"8507 ZIGGY LANE
GAITHERSBURG, MD 20877
(39.130487, -77.174828)",39544
NA,Food - New Construction,SEEWAY ART,"2389 LEWIS AVE, ROCKVILLE, MD 20851",09/24/2019,Murrell,"2389 LEWIS AVE
ROCKVILLE, MD 20851
(39.064328, -77.121467)",38337
NA,Food - New Construction,ANDALE,"12 E DIAMOND AVE, STE B, GAITHERSBURG, MD 20877",09/23/2019,Patel,"12 E DIAMOND AVE
GAITHERSBURG, MD 20877
(39.141726, -77.197752)",38335
COMBUILD-909045,Pool - New Construction,WESTSIDE AT SHADY GROVE,"16658 CRABBS BRANCH WAY, DERWOOD MD 20855",03/23/2020,Murrell,"16658 CRABBS BRANCH WAY
DERWOOD, MD 20855
(39.127544, -77.16691)",39670
,Food - New Construction,PUFF PUFF DRAGON,"11263 TRIANGLE LANE, SILVER SPRING, MD 20902",10/10/2019,Zenner,"11263 TRIANGLE LANE
SILVER SPRING, MD 20902
(39.04002, -77.052)",38371
,Food - New Construction,GOLDFISH SWIM SCHOOL ROCKVILLE,"1701 ROCKVILLEPIKE, #B-11, ROCKVILLE, MD 20852",01/24/2020,Murrell,"1701 ROCKVILLEPIKE
ROCKVILLE, MD 20852
(39.061034, -77.123421)",39549
,Food - New Construction,DAMASCUS MART,"9871 MAIN ST, DAMASCUS, MD 20872",10/23/2019,Zenner,"9871 MAIN ST
DAMASCUS, MD 20872
(39.288249, -77.203528)",38390
871013,Food - New Construction,AASTHA ADULT MEDICAL DAY CARE,"12210 PLUM ORCHARD DR, STE 214, SILVER SPRING, MD 20904",10/28/2019,Murrell,"12210 PLUM ORCHARD DR
SILVER SPRING, MD 20904
(39.056809, -76.957023)",38392
CIMP-21036-2020,Food - New Construction,RANKEN NOODLE HOUSE,"133 COMMERCE SQUARE PLACE, GAITHERSBURG, MD 20878",01/27/2020,Zenner,"133 COMMERCE SQUARE PLACE
GAITHERSBURG, MD 20878",39551
,Food - New Construction,LAS AMERICAS SUPERMARKET,"2404-2406 UNIVERSITY BLVD W, SILVER SPRING, MD 20902",01/29/2020,Murrell,"2404 2406 UNIVERSITY BLVD W
SILVER SPRING, MD 20902
(39.041559, -77.050678)",39558
NA,Food - New Construction,PATISSERIE MANUEL,"7101 DEMOCRACY BLVD, BETHESA, MD 20817",11/08/2019,Murrell,"7101 DEMOCRACY BLVD
BETHESA, MD 20817
(39.0242, -77.1459)",38414
NA,Food - New Construction,FASMARKET PLACE,"11319 ELKIN ST, SILVER SPRING, MD 20902",11/08/2019,Zenner,"11319 ELKIN ST
SILVER SPRING, MD 20902
(39.041018, -77.050376)",38412
,Pool - Remodel,WILLOWS OF POTOMAC,"10015 BALD CYPRESS, ROCKVILLE, MD 20850",11/05/2019,Murrell,"10015 BALD
ROCKVILLE, MD 20850",38417
,Food - New Construction,DIAMOND SQUARE SPEEDY LAUNDROMAT,"66 BUREAU DRIVE GAITHERSBURG, MD 20878",11/19/2019,Zenner,"66 BUREAU DRIVE
GAITHERSBURG, MD 20878
(39.144059, -77.2167)",38430
,Food - New Construction,M&N'S,"4914 DEL RAY AVE, BETHESDA, MD 20814",01/31/2020,Murrell,"4914 DEL RAY AVE
BETHESDA, MD 20814
(38.989401, -77.099271)",39573
889765,Food - Remodel,MCDONALD'S-GAITHERSBURG,19230 WOODFIELD RD GAIHTERSBURG MD 20879,11/19/2019,Patel,"19230 WOODFIELD RD
GAIHTERSBURG, MD 20879
(39.171764, -77.152922)",38435
897752,Food - New Construction,WAGSHAL'S BBQ AND DELI,"6124 MACARTHUR BLVD BETHESDA, MD 20816",11/25/2019,Murrell,"6124 MACARTHUR BLVD
BETHESDA, MD 20816
(38.943729, -77.115947)",38436
COMBUILD-900817,Pool - New Construction,ONELIFE FITNESS,"17821 GEORGIA AVE, OLNEY, MD 20832",02/04/2020,Murrell,"17821 GEORGIA AVE
OLNEY, MD 20832
(39.149444, -77.066785)",39584
,Pool - Equipment Replacement,NEW MARK COMMONS,"607 TEGNER WAY, ROCKVILLE, MD 20850",11/26/2019,Murrell,"607 TEGNER WAY
ROCKVILLE, MD 20850
(39.074325, -77.157445)",38438
,Food - New Construction,GARDENIA'S CAFE,"8377 SNOFFER SCHOOL RD, GAITHERSBURG, MD 20879",11/26/2019,Murrell,"8377 SNOFFER SCHOOL RD
GAITHERSBURG, MD 20879
(39.166759, -77.171611)",38444
COMBUILD-882664,Pool - New Construction,7272 WISCONSIN AVE,"7272 WISCONSIN AVE, BETHESDA, MD 20814",12/05/2019,Murrell,"7272 WISCONSIN AVE
BETHESDA, MD 20814
(38.982289, -77.09333)",38457
,Pool - Equipment Replacement,ELMS AT GERMANTOWN,"20426 APPLE HARVEST CIR, GERMANTONW, MD 20876",02/12/2020,Murrell,"20426 APPLE HARVEST CIR
GERMANTONW, MD 20876
(39.190439, -77.242303)",39607
,Pool - Equipment Replacement,LA FITNESS-GAITHERSBURG,"602 QUINCE ORCHARD RD, GAITHERSBURG, MD 20878",02/07/2020,Murrell,"602 QUINCE ORCHARD RD
GAITHERSBURG, MD 20878
(39.141909, -77.221203)",39608
892349,Pool - New Construction,BLACK HILL APARTMENTS,"308 BALTUSROL DR, GERMANTOWN, MD 20874",12/10/2019,Murrell,"308 BALTUSROL DR
GERMANTOWN, MD 20874",38474
897517,Pool - New Construction,BRANDYWINE SENIOR LIVING POTOMAC,"10800 POTOMAC TENNIS LN, POTOMAC, MD 20854",12/10/2019,Murrell,"10800 POTOMAC TENNIS LN
POTOMAC, MD 20854
(39.031363, -77.20146)",38473
,Pool - Equipment Replacement,ACAC GERMANTOWN,"20500 SENECA MEADOWS PKWY, GERMANTOWN, MD 20876",02/19/2020,Murrell,"20500 SENECA MEADOWS PKWY
GERMANTOWN, MD 20876
(39.196973, -77.258106)",39614
847865,Pool - Remodel,ASPEN HILL CLUB (MAIN LOCKER ROOMS),"14501 HOMECREST RD, SILVER SPING, MD 20906",12/13/2019,Murrell,"14501 HOMECREST RD
SILVER SPING, MD 20906
(39.094642, -77.061802)",38476
849012,Pool - Remodel,ASPEN HILL CLUB (POOL LOCKER ROOMS),"14501 HOMECREST RD, SILVER SPRING, MD 20906",12/13/2019,Murrell,"14501 HOMECREST RD
SILVER SPRING, MD 20906
(39.094642, -77.061802)",38475
895149,Food - New Construction,TEXAS BAR-B-Q FACTORY,"22705 CLARKSBURG RD, STE 853, CLARKSBURG, MD 20871",12/23/2019,Murrell,"22705 CLARKSBURG RD
CLARKSBURG, MD 20871
(39.228476, -77.288425)",38492
,Food - New Construction,DOCTOR RESACA,"348 MAIN ST, GAITHERSBURG, MD 20878",01/08/2020,Zenner,"348 MAIN ST
GAITHERSBURG, MD 20878
(39.121313, -77.237686)",39518
NA,Food - New Construction,ANNIE BAKERY LLC,"1067 TAFT ST, ROCKVILLE, MD 20850",01/16/2020,Murrell,"1067 TAFT ST
ROCKVILLE, MD 20850
(39.0936, -77.136084)",39533
,Food - New Construction,THE ELEANOR,"931 ELLSWORTH DR, SILVER SPRING, MD 20910",01/21/2020,Zenner,"931 ELLSWORTH DR
SILVER SPRING, MD 20910
(38.995593, -77.026816)",39539
21284-2020,Food - New Construction,FANTASTICKS,"215 BOARDWALK PLACE, GAITHERSBURG, MD 20878",02/24/2020,Murrell,"215 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.116915, -77.198522)",39624
849036,Pool - New Construction,GLENMONT METROPLEX,"2511 GLEN ALLEN AVE, SILVER SPRING, MD 20906",08/07/2018,Murrell,"2511 GLEN ALLEN AVE
SILVER SPRING, MD 20906
(39.063954, -77.05224)",33440
909240,Food - New Construction,CB ACAI,"18062 GEORGIA AVE, OLNEY, MD 20832",03/31/2020,Zenner,"18062 GEORGIA AVE
OLNEY, MD 20832
(39.152504, -77.066891)",39677
909084,Food - Remodel,GIANTS FOODS #2301,"15618 OLD COLUMBIA PK, BURTONSVILLE MD 20866",03/25/2020,Walker,"15618 OLD COLUMBIA PK
BURTONSVILLE, MD 20866
(39.113457, -76.932995)",39673
909061,Food - Remodel,GIANT FOODS #354,"1280 EAST WEST HWY, SILVER SPRING, MD 20910",03/25/2020,Butler,"1280 EAST WEST HWY
SILVER SPRING, MD 20910
(38.991998, -77.030789)",39674
N/A,Food - Equipment Replacement,CARMAN'S ITALIAN ICE,"3233 SPARTAN RD, OLNEY, MD 20832",03/30/2020,Dossa,"3233 SPARTAN RD
OLNEY, MD 20832
(39.150035, -77.062843)",39675
828921,Food - New Construction,PLAYA BOWLS,10414 DETRICK AVE SUITE 200 KENSINGTON MD 20895,04/08/2020,Murrell,"10414 DETRICK AVE
KENSINGTON, MD 20895
(39.027961, -77.077937)",39678
,Food - Remodel,FUJI,"12058 CHERRY HILL RD, SILVER SPRING, MD 20904",02/26/2020,Walker,"12058 CHERRY HILL RD
SILVER SPRING, MD 20904
(39.054334, -76.953623)",39638
870276,Food - New Construction,MNCPPC ACTIVITIES CENTER,"18410 MUNCASTER RD, DERWOOD, MD 20855",02/26/2020,Zenner,"18410 MUNCASTER RD
DERWOOD, MD 20855
(39.158374, -77.129449)",39633
875939,Food - New Construction,VIVA CRAFT BEER & WINE,"8127 GEORGIA AVE, SILVER SPRING, MD 20910",03/03/2020,Zenner,"8127 GEORGIA AVE
SILVER SPRING, MD 20910
(38.991229, -77.026436)",39652
,Pool - Equipment Replacement,ELMS AT CLARKSBURG,"12200 ELM FOREST CT, CLARKSBURG, MD 20871",03/06/2020,Murrell,"12200 ELM FOREST CT
CLARKSBURG, MD 20871
(39.228597, -77.251875)",39659
TBD,Food - Remodel,MANHATTAN PIZZA,"23221 STRINGTOWN RD, CLARKSBURG, MD 20871",03/16/2020,McGrady,"23221 STRINGTOWN RD
CLARKSBURG, MD 20871
(39.238309, -77.276548)",39666
909308,Food - Remodel,GIANT FOODS 135,"3860 INTERNATIONAL DR SILVER SPRING, MD 20906",04/08/2020,Matthews,"3860 INTERNATIONAL DR SILVER SPRING
MD 20906",39688
909862,Food - New Construction,TAG TEAM LITCHEN,"10453 METRPOLITAN AVE, KENSINGTON, MD 20895",04/09/2020,Zenner,"10453 METRPOLITAN AVE
KENSINGTON, MD 20895
(39.026677, -77.070407)",39685
905926,Food - New Construction,AC MARRIOTT HOTEL-BETHESDA,"4646 MONTGOMERY AVE BETHESDA, MD 20814",04/07/2020,Murrell,"4646 MONTGOMERY AVE
BETHESDA, MD 20814
(38.983761, -77.093198)",39689
909911,Food - Remodel,MCDONALD'S DAMASCUS,26429 RIDGE RD DAMASCUS MD 20872,04/10/2020,McGrady,"26429 RIDGE RD
DAMASCUS, MD 20872
(39.289854, -77.204932)",39690
909302,Food - New Construction,THE HEALTHY HUB,"19961 FISHER AVE POOLESVILLE, MD 20837",04/14/2020,Zenner,"19961 FISHER AVE
POOLESVILLE, MD 20837
(39.146221, -77.417396)",39691
906197,Food - Remodel,HAMPTON INN SILVER SPRING,"8728 COLESVILLE RD SILVER SPRING, MD 20910",04/17/2020,,"8728 COLESVILLE RD SILVER SPRING
MD 20910",39700
COMBUILD-910240,Food - Remodel,7- ELEVEN,8484 GEROGIA AVE SILVER SPRING MD 20910,04/20/2020,Royer,"8484 GEROGIA AVE
SILVER SPRING, MD 20910
(38.994259, -77.026853)",39702
COMBUILD-910157,Food - Remodel,7-ELEVEN,"1319 FENWICK LANE SILVER SPRING, MD 20910",04/20/2020,Butler,"1319 FENWICK LANE SILVER SPRING
MD 20910",39701
910822,Food - New Construction,DOMINO'S,"21040 E FREDERICK RD GERMANTOWN, MD 20876",04/21/2020,Murrell,"21040 E FREDERICK RD
GERMANTOWN, MD 20876
(39.201134, -77.245509)",39703
909954,Food - New Construction,CLARKSBURG BEER & WINE STORE,"23335 FREDERICK ROAD CLARKSBURG, MD 20871",04/22/2020,Zenner,"23335 FREDERICK ROAD
CLARKSBURG, MD 20871
(39.238893, -77.279574)",39705
COMBUILD-907854,Food - Remodel,THE COMUS INN,"23900 OLD HUNDRED ROAD, DICKERSON, MD 20842",04/22/2020,Ekor-Tah,"23900 OLD HUNDRED ROAD
DICKERSON, MD 20842
(39.247697, -77.349324)",39704
826046,Food - New Construction,SISTER THAI,"7993 TUCKERMAN LANE, POTOMAC, MD 20854",05/22/2018,,"7993 TUCKERMAN LANE
POTOMAC, MD 20854
(39.039938, -77.157346)",33283
870170,Food - New Construction,PMG C STORE,"22702 GOSNELL FARM DR, CLARKSBURG, MD 20841",05/01/2019,Zenner,"22702 GOSNELL FARM DR
CLARKSBURG, MD 20841",37011
,Pool - Equipment Replacement,LONDONBERRY (WADING POOL),"17041 DOWNING ST, GAITHERSBURG, MD 20877",06/12/2018,,"17041 DOWNING ST
GAITHERSBURG, MD 20877
(39.136255, -77.208166)",33329
,Food - New Construction,BUTLER'S ORCHARD SEASONAL FESTIVAL KITCHEN,"22200 DAVIS MILL RD, GERMANTOWN, MD 20876",07/19/2018,,"22200 DAVIS MILL RD
GERMANTOWN, MD 20876
(39.219644, -77.221766)",33392
851252,Food - New Construction,BURGER FI - BETHESDA,"11881 GRAND PARK AVE, SPACE # 702, NORTH BETHESDA, MD 20852",09/27/2018,,"11881 GRAND PARK AVE
NORTH BETHESDA, MD 20852
(39.050547, -77.117385)",35532
COMBUILD-898509,Food - New Construction,FIVE BELOW,12012 CHERRY HILL RD SILVER SPRING MD 20904,04/24/2020,Murrell,"12012 CHERRY HILL RD
SILVER SPRING, MD 20904
(39.05331, -76.953327)",39708
909831,Food - Equipment Replacement,FOX CHAPEL ELEMENTARY SCHOOL,"19315 ARCHDALE ROAD GERMANTOWN, MD 20876",04/23/2020,McGrady,"19315 ARCHDALE ROAD
GERMANTOWN, MD 20876
(39.17271, -77.242809)",39706
903828,Food - Remodel,MERCANTILE RETAIL TENANT TBD,"5463 WISCONSIN AVE BETHESDA, MD 20815",04/24/2020,Butler,"5463 WISCONSIN AVE
BETHESDA, MD 20815
(38.962747, -77.086592)",39707
910377,Food - New Construction,CRUMBL COOKIES,"12266K ROCKVILLE PIKE, ROCKVILLE, MD 20852",04/28/2020,Murrell,"12266K ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.057781, -77.120604)",39709
,Food - Remodel,GERMANTOWN HALAL MEAT AND GROCERIES,21615 WISTERIA DRIVE GERMANTOWN MD 20874,05/01/2020,Ekor-Tah,"21615 WISTERIA DRIVE
GERMANTOWN, MD 20874",39711
,Food - New Construction,ISLANDS LOUNGE,"11300 FERN ST, WHEATON, MD 20902",07/19/2018,,"11300 FERN ST
WHEATON, MD 20902
(39.040406, -77.049517)",33394
,Food - Equipment Replacement,EJJI RAMEN,"7101 DEMOCRACY BVLD, FC #4, BETHESDA, MD 20817",05/18/2018,,"7101 DEMOCRACY BVLD
BETHESDA, MD 20817
(39.0242, -77.1459)",33276
,Food - New Construction,DUNKIN DONUTS / BASKIN ROBBINS,"18006 MATENY RD, GERMANTOWN, MD 20874",06/05/2018,,"18006 MATENY RD
GERMANTOWN, MD 20874
(39.146502, -77.273893)",33316
831665,Food - New Construction,TOPGOLF,"CENTURY BLVD & I-270 GERMANTOWN, MD",09/24/2018,,"CENTURY BLVD
GERMANTOWN, MD",34527
,Food - New Construction,PUREE PRODUCTION KITCHEN,"12033 NEBEL ST, ROCKVILLE, MD 20852",05/22/2018,,"12033 NEBEL ST
ROCKVILLE, MD 20852
(39.051381, -77.109788)",33281
841691,Food - New Construction,ZINBURGER WINE & BURGER BAR,"1294 EAST WEST HWY, SILVER SPRING, MD 20910",06/19/2018,,"1294 EAST WEST HWY
SILVER SPRING, MD 20910
(38.992495, -77.03126)",33346
837906,Food - New Construction,WINGSTOP,"18230 FLOWER HILL WAY, GAITHERSBURG, MD 20879",09/13/2018,,"18230 FLOWER HILL WAY
GAITHERSBURG, MD 20879
(39.155309, -77.16447)",34505
17718-2018,Food - New Construction,SILVER DINER AT RIO WASHINGTONIAN,"9811 WASHINGTONIAN BLVD, GAITHERSBURG, MD",10/09/2018,,"9811 WASHINGTONIAN BLVD
GAITHERSBURG, MD
(39.11537, -77.198222)",35565
,Food - New Construction,NOTHING BUNDT CAKES,"9462 GEORGIA AVE, SILVER SPRING, MD 20910",09/07/2018,,"9462 GEORGIA AVE
SILVER SPRING, MD 20910
(39.009927, -77.0407)",34494
838318,Food - New Construction,SILVER BRANCH BREWING CO,"8401 COLESVILLE RD, STE 150 SILVER SPRING, MD 20910",06/29/2018,,"8401 COLESVILLE RD
SILVER SPRING, MD 20910
(38.994358, -77.031047)",33359
848542,Food - New Construction,FOGO DE CHAO BRAZILLIAN STEAKHOUSE,"11600 OLD GEORGETOWN RD, BETHESDA, MD 20852",09/24/2018,,"11600 OLD GEORGETOWN RD
BETHESDA, MD 20852
(39.049032, -77.117199)",34529
18235-2018,Food - New Construction,THE HALAL GUYS,"522 N FREDERICK AVE, STE 20B, GAITHERSBURG, MD 20877",12/26/2018,,"522 N FREDERICK AVE
GAITHERSBURG, MD 20877
(39.149379, -77.208286)",35715
856808,Food - New Construction,FUSE TACO,"4903 CORDELL AVE, BETHESDA, MD 20814",11/20/2018,,"4903 CORDELL AVE
BETHESDA, MD 20814
(38.989376, -77.098105)",35607
496223,Food - New Construction,ST. LUKE SERBIAN ORTHODOX CHURCH,"10660 RIVER RD, POTOMAC, MD 20854",06/07/2018,,"10660 RIVER RD
POTOMAC, MD 20854
(39.025173, -77.218983)",33319
841859,Food - New Construction,PHILZ COFFEE,"7247 WOODMONT AVE, BETHESDA, MD 20814",06/26/2018,,"7247 WOODMONT AVE
BETHESDA, MD 20814
(38.981469, -77.095765)",33355
,Pool - Equipment Replacement,ASPEN HILL CLUB,"14501 HOMECREST RD, SILVER SPRING, MD 20906",11/16/2018,,"14501 HOMECREST RD
SILVER SPRING, MD 20906
(39.094642, -77.061802)",35616
853441,Pool - New Construction,7900 WISCONSIN AVE,"7900 WISCONSIN AVE, BETHESDA, MD 20814",10/02/2018,,"7900 WISCONSIN AVE
BETHESDA, MD 20814
(38.989518, -77.095373)",35544
845130,Food - New Construction,EL BUEN GUSTO,"11409 GEORGIA AVE, WHEATON, MD 20902",07/19/2018,,"11409 GEORGIA AVE
WHEATON, MD 20902
(39.041876, -77.05179)",33398
854084,Food - New Construction,BROWN BAG,"1 BETHESDA METRO CENTER, BETHESDA, MD 20814",10/30/2018,,"1 BETHESDA METRO CENTER
BETHESDA, MD 20814
(38.98408, -77.095623)",35635
17189-2018,Food - New Construction,LA FONDA PAISA BAKERY AND GROCERY STORE,"323 MUDDY BRANCH RD, GAITHERSBURG, MD 20878",08/29/2018,,"323 MUDDY BRANCH RD
GAITHERSBURG, MD 20878
(39.127687, -77.209254)",33476
849640,Food - New Construction,POKE DOJO,"7110 BETHESDA LANE, BETHESDA, MD 20814",08/28/2018,,"7110 BETHESDA LANE
BETHESDA, MD 20814
(38.981971, -77.097832)",33472
578083,Food - New Construction,SMART LUNCHES DMV,"925 SLIGO AVE, SILVER SPRING, MD 20910",06/22/2018,,"925 SLIGO AVE
SILVER SPRING, MD 20910
(38.990217, -77.024577)",33352
23290,Food - New Construction,TEAMANIA BAKERY,"130 ROLLINS AVE, UNIT B, ROCKVILLE, MD 20852",07/09/2018,,"130 ROLLINS AVE
ROCKVILLE, MD 20852
(39.058779, -77.1227)",33374
848697,Food - New Construction,SWEETGREEN,"11875 GRAND PARK AVE, NORTH BETHESDA, MD 20852",09/07/2018,,"11875 GRAND PARK AVE
NORTH BETHESDA, MD 20852
(39.050454, -77.117361)",34491
854120,Food - New Construction,CHOPATHI INDIAN KITCHEN,"18280 CONTOUR RD, GAITHERSBURG, MD 20877",10/12/2018,,"18280 CONTOUR RD
GAITHERSBURG, MD 20877
(39.155797, -77.198745)",35570
840931,Food - New Construction,CHINA GARDEN,"11333 WOODGLEN DR, ROCKVILLE, MD 20852",07/06/2018,,"11333 WOODGLEN DR
ROCKVILLE, MD 20852
(39.04271, -77.113354)",33372
826464,Food - New Construction,BRIGHTVIEW BETHESDA GROSVENOR,"5510 GROSVENOR LANE, BETHESDA, MD 20814",08/27/2018,,"5510 GROSVENOR LANE
BETHESDA, MD 20814
(39.022615, -77.111195)",33468
23326,Food - New Construction,BON FRESCO,"534 GAITHER RD, ROCKVILLE, MD 20850",07/24/2018,,"534 GAITHER RD
ROCKVILLE, MD 20850
(39.108046, -77.173154)",33407
,Food - New Construction,SOFIVE ROCKVILLE FOOD & BEVERAGE CONCESSION,"1008 WESTMORE RD, ROCKVILLE, MD 20850",07/30/2018,,"1008 WESTMORE RD
ROCKVILLE, MD 20850",33419
,Food - New Construction,CEREMONY COFFEE ROASTERS,"7475 WISCONSIN AVE , STE 102, BETHESDA, MD 20814",11/07/2018,,"7475 WISCONSIN AVE
BETHESDA, MD 20814
(38.984462, -77.094085)",35642
