Permit Number,Status,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,Zip code,Work Type,Use Code,Added Date,Issue Date,Final Date,Description,Application Type,Location
386736,Completed,10103,,BROAD,ST,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,06/10/2005,08/01/2005,07/05/2019,,DEMOLITION OR MOVE PERMIT,"10103 BROAD ST
BETHESDA, MD 20814
(39.021458, -77.115818)"
400976,Completed,19719,,ZION,RD,,BROOKEVILLE,MD,20833,DEMOLISH,SINGLE FAMILY DWELLING,10/14/2005,01/12/2006,07/05/2019,Cash Bond-PS6A28528,DEMOLITION OR MOVE PERMIT,"19719 ZION RD
BROOKEVILLE, MD 20833
(39.18057, -77.100255)"
403726,Completed,6020,,TILDEN,LN,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,11/14/2005,01/23/2006,02/23/2006,"CASH BOND TRACKING # PS6A27254
FIRE DEPARTMENT TO BURN THIS HOUSE AS EXERCISE (MINIMUM BOND AMOUNT POSTED)",DEMOLITION OR MOVE PERMIT,"6020 TILDEN LN
ROCKVILLE, MD 20852
(39.044592, -77.12298)"
408331,Completed,3701,,DUNLOP,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,01/06/2006,02/06/2006,07/05/2019,CASH BOND TRACKING #ps6a28386,DEMOLITION OR MOVE PERMIT,"3701 DUNLOP ST
CHEVY CHASE, MD 20815
(38.990111, -77.073571)"
394684,Completed,7700,,OLDCHESTER,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,08/18/2005,04/25/2006,10/21/2010,CASH BOND TRACKING #ps6a30787,DEMOLITION OR MOVE PERMIT,"7700 OLDCHESTER RD
BETHESDA, MD 20817
(38.98597, -77.118499)"
414414,Completed,4716,,FALSTONE,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,03/13/2006,05/04/2006,07/08/2019,CASH BOND TRACKING # PS6A30779,DEMOLITION OR MOVE PERMIT,"4716 FALSTONE AVE
CHEVY CHASE, MD 20815
(38.966112, -77.096203)"
418298,Completed,13619,,LAYHILL,RD,,SILVER SPRING,MD,20906,DEMOLISH,SINGLE FAMILY DWELLING,04/19/2006,06/19/2006,07/08/2019,"Demolition and Rebuild 
PS6A30714",DEMOLITION OR MOVE PERMIT,"13619 LAYHILL RD
SILVER SPRING, MD 20906
(39.080581, -77.047077)"
419415,Completed,8509,,EWING,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,05/01/2006,06/23/2006,07/23/2006,demolition and rebuild,DEMOLITION OR MOVE PERMIT,"8509 EWING DR
BETHESDA, MD 20817
(38.995343, -77.122627)"
421478,Completed,5512,,MCKINLEY,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,05/17/2006,07/28/2006,07/08/2019,DEMOLITION AND REBUILD,DEMOLITION OR MOVE PERMIT,"5512 MCKINLEY ST
BETHESDA, MD 20817
(38.996179, -77.112934)"
432162,Completed,6412,,83RD,ST,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,09/01/2006,01/04/2007,02/26/2007,demolition/rebuild,DEMOLITION OR MOVE PERMIT,"6412 83RD ST
CABIN JOHN, MD 20818
(38.973286, -77.170503)"
266654,Completed,12601,,BROOK POINT,WAY,,CLARKSBURG,MD,20871,DEMOLISH,SINGLE FAMILY DWELLING,01/03/2002,01/28/2002,01/15/2004,release not in system-1/14/04.,DEMOLITION OR MOVE PERMIT,"12601 BROOK POINT WAY
CLARKSBURG, MD 20871"
288706,Finaled,4607,,GLENBROOK,PKWY,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,09/26/2002,01/17/2003,01/27/2003,,DEMOLITION OR MOVE PERMIT,"4607 GLENBROOK PKWY
BETHESDA, MD 20814
(38.996253, -77.093998)"
469861,Completed,5117,,FAIRGLEN,LN,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,10/31/2007,11/23/2007,07/12/2019,"Demo only
Cash Bond PS8A38072",DEMOLITION OR MOVE PERMIT,"5117 FAIRGLEN LN
CHEVY CHASE, MD 20815
(38.976701, -77.102745)"
470536,Completed,8604,,BRADMOOR,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/08/2007,12/04/2007,07/12/2019,Demolition/rebuild-Cash Bond PS8A38000,DEMOLITION OR MOVE PERMIT,"8604 BRADMOOR DR
BETHESDA, MD 20817
(38.996984, -77.119153)"
882407,Issued,16301,,NEW HAMPSHIRE,AVE,,SPENCERVILLE,MD,20868,DEMOLISH,SINGLE FAMILY DWELLING,07/12/2019,08/08/2019,,DEMO ONLY,DEMOLITION OR MOVE PERMIT,"16301 NEW HAMPSHIRE AVE
SPENCERVILLE, MD 20868"
881524,Issued,3712,,KENILWORTH,DRW,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,07/03/2019,09/20/2019,,,DEMOLITION OR MOVE PERMIT,"3712 KENILWORTH DRW
CHEVY CHASE, MD 20815
(39.001818, -77.074074)"
881341,Finaled,7604,,GLENNON,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,07/02/2019,09/13/2019,10/11/2019,,DEMOLITION OR MOVE PERMIT,"7604 GLENNON DR
BETHESDA, MD 20817
(39.008922, -77.156198)"
479869,Completed,7828,,FULBRIGHT,CT,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,03/12/2008,04/17/2008,07/15/2019,"Demo (Rebuild/on existing foundation)
BOND TRACK #PS8A38896",DEMOLITION OR MOVE PERMIT,"7828 FULBRIGHT CT
BETHESDA, MD 20817
(38.991008, -77.137548)"
481787,Completed,6506,,LANDON,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/04/2008,05/06/2008,07/15/2019,Demo (Bldg #481781) BOND #PS8A38825,DEMOLITION OR MOVE PERMIT,"6506 LANDON LN
BETHESDA, MD 20817
(38.984556, -77.131503)"
501916,Completed,22416,,FREDERICK,RD,,CLARKSBURG,MD,20871,DEMOLISH,SINGLE FAMILY DWELLING,12/11/2008,05/15/2009,07/15/2019,Demolition/rebuild (A/P 501917-Residential to commercial - Animal Hospital)-Cash Bond PS9A40532,DEMOLITION OR MOVE PERMIT,"22416 FREDERICK RD
CLARKSBURG, MD 20871
(39.224572, -77.261836)"
508307,Completed,6516,,CALLANDER,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/02/2009,10/02/2009,07/15/2019,Demolition/rebuild,DEMOLITION OR MOVE PERMIT,"6516 CALLANDER DR
BETHESDA, MD 20817
(38.974917, -77.136132)"
891553,Issued,6312,,KIRBY,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,10/02/2019,12/06/2019,,,DEMOLITION OR MOVE PERMIT,"6312 KIRBY RD
BETHESDA, MD 20817
(38.986918, -77.129218)"
898786,Open,21820,,CLUB HOLLOW,RD,,POOLESVILLE,MD,20837,DEMOLISH,SINGLE FAMILY DWELLING,12/05/2019,,,,DEMOLITION OR MOVE PERMIT,"21820 CLUB HOLLOW RD
POOLESVILLE, MD 20837
(39.135149, -77.459788)"
898875,Open,6406,,CAMROSE,TER,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/06/2019,,,,DEMOLITION OR MOVE PERMIT,"6406 CAMROSE TER
BETHESDA, MD 20817
(39.018129, -77.12964)"
261966,Finaled,10249,,NOLAN,DR,,ROCKVILLE,MD,20850,DEMOLISH,SINGLE FAMILY DWELLING,10/29/2001,04/12/2002,04/29/2002,PS2A-9128,DEMOLITION OR MOVE PERMIT,"10249 NOLAN DR
ROCKVILLE, MD 20850
(39.094033, -77.213397)"
274066,Finaled,3424,N,HIGH,ST,,OLNEY,MD,20832,DEMOLISH,SINGLE FAMILY DWELLING,04/09/2002,05/13/2002,05/31/2002,,DEMOLITION OR MOVE PERMIT,"3424 HIGH N ST
OLNEY, MD 20832
(39.151325, -77.068155)"
891322,Issued,9409,,SEDDON,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,09/30/2019,12/16/2019,,,DEMOLITION OR MOVE PERMIT,"9409 SEDDON RD
BETHESDA, MD 20817
(39.010086, -77.156288)"
899930,Open,6002,,CONWAY,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/18/2019,,,,DEMOLITION OR MOVE PERMIT,"6002 CONWAY RD
BETHESDA, MD 20817
(39.005725, -77.121763)"
543320,Finaled,21515,,DICKERSON,RD,,DICKERSON,MD,20842,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,07/12/2010,07/12/2010,07/14/2010,permit obtained by requirement of Building Inspector even though barn is already demolished and site is cleared of debris,DEMOLITION OR MOVE PERMIT,"21515 DICKERSON RD
DICKERSON, MD 20842
(39.209163, -77.432083)"
564081,Issued,23200,,STRINGTOWN,RD,,CLARKSBURG,MD,20871,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,03/24/2011,05/19/2011,,"Barn Only
BOND TRACKING PS11A44419",DEMOLITION OR MOVE PERMIT,"23200 STRINGTOWN RD
CLARKSBURG, MD 20871
(39.237962, -77.277335)"
579942,Finaled,16011,,CHIEFTAIN,AVE,,ROCKVILLE,MD,20855,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,09/16/2011,10/13/2011,06/20/2014,"DEMO ONLY - Accessory structure on Church property (Storage)
BOND TRACKING #PS12A45505",DEMOLITION OR MOVE PERMIT,"16011 CHIEFTAIN AVE
ROCKVILLE, MD 20855
(39.11918, -77.159785)"
600225,Completed,218,,LEXINGTON,DR,,SILVER SPRING,MD,20901,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,05/25/2012,06/12/2012,08/30/2012,DEMOLISH EXISTING DETACHED GARAGE - NO UTILITIES ON PROPERTY,DEMOLITION OR MOVE PERMIT,"218 LEXINGTON DR
SILVER SPRING, MD 20901
(39.023707, -77.005521)"
607462,Open,27525,,RIDGE,RD,,DAMASCUS,MD,20872,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,08/03/2012,,,DEMOLISH ACCESSORY STRUCTURE,DEMOLITION OR MOVE PERMIT,"27525 RIDGE RD
DAMASCUS, MD 20872
(39.308862, -77.197709)"
899898,Issued,3804,,BRADLEY,LN,,CHEVY CHASE,MD,20815,DEMOLISH,SHED,12/18/2019,12/20/2019,,SHED,DEMOLITION OR MOVE PERMIT,"3804 BRADLEY LN
CHEVY CHASE, MD 20815
(38.976665, -77.074862)"
899768,Issued,26149,,RIDGE,RD,,DAMASCUS,MD,20872,DEMOLISH,COMMERCIAL MISCELLANEOUS STRUC,12/16/2019,01/03/2020,,"DEMOLISH TELECOMMUNICATIONS TOWER, SHELTER AND RELATED EQUIPMENT",DEMOLITION OR MOVE PERMIT,"26149 RIDGE RD
DAMASCUS, MD 20872
(39.287108, -77.207897)"
898341,Issued,5905,,ANNISTON,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/02/2019,01/08/2020,,,DEMOLITION OR MOVE PERMIT,"5905 ANNISTON RD
BETHESDA, MD 20817
(39.008164, -77.117861)"
898451,Finaled,13710,,ALDERTON,RD,,SILVER SPRING,MD,20906,DEMOLISH,SINGLE FAMILY DWELLING,12/03/2019,02/06/2020,03/13/2020,DEMO with NO Intention to REBUILD at this moment,DEMOLITION OR MOVE PERMIT,"13710 ALDERTON RD
SILVER SPRING, MD 20906
(39.080372, -77.035994)"
898452,Finaled,13931,,ALDERTON,RD,,SILVER SPRING,MD,20906,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,12/03/2019,01/31/2020,03/13/2020,DEMO BARN with NO Intention to REBUILD at this moment,DEMOLITION OR MOVE PERMIT,"13931 ALDERTON RD
SILVER SPRING, MD 20906
(39.082057, -77.035251)"
899375,Issued,4405,,COLCHESTER,DR,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,12/11/2019,03/17/2020,,,DEMOLITION OR MOVE PERMIT,"4405 COLCHESTER DR
KENSINGTON, MD 20895
(39.028556, -77.085283)"
650051,Finaled,3607,,FARRAGUT,AVE,,KENSINGTON,MD,20895,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,09/27/2013,03/25/2014,03/25/2015,Garage Only,DEMOLITION OR MOVE PERMIT,"3607 FARRAGUT AVE
KENSINGTON, MD 20895
(39.032009, -77.071874)"
682796,Finaled,14500,,CLOPPER,RD,,BOYDS,MD,20841,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,08/01/2014,11/13/2014,02/05/2016,Demolition of an in ground pool and two pool houses/No rebuild,DEMOLITION OR MOVE PERMIT,"14500 CLOPPER RD
BOYDS, MD 20841
(39.177009, -77.300807)"
711728,Finaled,4504,,BESTOR,DR,,ROCKVILLE,MD,20853,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,05/06/2015,06/02/2015,09/14/2015,Demo Only&nbsp; : Accessory structure &amp; Swimming Pool,DEMOLITION OR MOVE PERMIT,"4504 BESTOR DR
ROCKVILLE, MD 20853
(39.091377, -77.090783)"
721558,Issued,6506,,WINNEPEG,RD,,BETHESDA,MD,20817,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,07/24/2015,07/24/2015,,CARPORT DEMO ONLY,DEMOLITION OR MOVE PERMIT,"6506 WINNEPEG RD
BETHESDA, MD 20817
(39.02191, -77.132306)"
749077,Completed,102,,PARK,AVE,,TAKOMA PARK,MD,20912,DEMOLISH,RESIDENTIAL ACCESSORY STRUCTURE,03/23/2016,04/19/2016,04/25/2016,"Demo Garage

BOND TRACKING PS16A102745",DEMOLITION OR MOVE PERMIT,"102 PARK AVE
TAKOMA PARK, MD 20912
(38.97589, -77.009197)"
882589,Completed,5204,,SARATOGA,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,07/15/2019,09/17/2019,10/30/2019,,DEMOLITION OR MOVE PERMIT,"5204 SARATOGA AVE
CHEVY CHASE, MD 20815
(38.959953, -77.095176)"
893844,Finaled,5411,,BURLING,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,10/22/2019,11/13/2019,12/19/2019,,DEMOLITION OR MOVE PERMIT,"5411 BURLING RD
BETHESDA, MD 20814
(38.980502, -77.110101)"
882585,Completed,6510,,SEVEN LOCKS,RD,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,07/15/2019,10/22/2019,12/22/2019,Work is tentative allowed for DEMOLITION of existing structure ONLY.,DEMOLITION OR MOVE PERMIT,"6510 SEVEN LOCKS RD
CABIN JOHN, MD 20818
(38.975722, -77.161445)"
883174,Issued,10221,,MENLO,AVE,,SILVER SPRING,MD,20910,DEMOLISH,SINGLE FAMILY DWELLING,07/18/2019,12/10/2019,,DEMO/REBUILD,DEMOLITION OR MOVE PERMIT,"10221 MENLO AVE
SILVER SPRING, MD 20910
(39.023924, -77.058916)"
