EXPENDITURE_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,ACTION,AMOUNT,EXPENDITURE_DATE,PURPOSE,RECIPIENT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
3282158993,10/01/2012,12/31/2012,4360,LEWIS,,MILLER,CHICAGO SPEED CAMERA BID,455.42,11/12/2012,BUSINESS MEAL - DINNER FOR ORALS TEAM,"CHICAGO CUT STEAKHOUSE, 300 N LA SALLE DR, CHICAGO, IL  60654",3800847535,"XEROX BUSINESS SERVICES, LLC",01/15/2013
2471676598,04/01/2014,06/30/2014,5361,JAY,,BEASLEY,PROMOTE CONSTELLATION ENERGY AND ITS BUSINESS PLANS FOR CHICAGO.,1001.86,06/04/2014,AIRFARE,UNITED AIRLINES,2937688769,CONSTELLATION ENERGY GROUP,07/17/2014
3495486687,01/01/2017,03/31/2017,12901,HOLLY,,COOPER,CDOT � OPERATIONS & BACK OFFICE MEETINGS,262.07,03/22/2017,CAR RENTAL,"ENTERPRISE RENT-A-CAR, 600 CORPORATE PARK DRIVE, ST. LOUIS, MO  63105",1415910890,CONDUENT INCORPORATED,04/19/2017
828718867,04/01/2016,06/30/2016,14001,MARCO,,MCCOTTRY,PRINT AD,5779.62,04/20/2016,ADVERTISEMENT,"CHICAGO DEFENDER  4445 S. DR. MARTIN KING JR. DRIVE  CHICAGO, IL 60653",1735792281,"UBER TECHNOLOGIES, INC.",03/01/2017
2070936286,07/01/2016,09/30/2016,5861,THOMAS,S,MOORE,SPECIAL USE,1025.00,02/19/2016,FILING FEE,CITY OF CHICAGO,1635998694,"THREAD HOUSE, INC",01/12/2017
4263327549,07/01/2012,09/30/2012,3959,B. JOHN,,BISIO,PROMOTE WAL-MART IN CHICAGO,1135.67,07/24/2012,TRAVEL,AMERICAN AIRLINES,4048551740,"WAL-MART STORES, INC.",10/18/2012
2866003853,07/01/2016,09/30/2016,6221,LARS,,SKUGSTAD,IMPLEMENTATION MEETING FOR CITY CONTRACT,796.20,08/11/2016,TRANSPORTATION,"VIRGIN AMERICA, 555 AIRPORT BLVD., BURLINGAME, CA 94010, AIRLINE",2721525197,"INTERSTATE JCDECAUX, LLC",10/17/2016
1394225337,01/01/2015,03/31/2015,6221,LARS,,SKUGSTAD,IMPLEMENTATION MEETING FOR CITY CONTRACT,445.02,01/13/2015,LODGING,"WESTIN, 909 N MICHIGAN, CHICAGO, IL, HOTEL",2349450331,"INTERSTATE JCDECAUX, LLC",07/06/2015
1424767756,07/01/2013,09/30/2013,6227,BLAKE,,CUSTER,MARKET RIDE CONSULTANT COORDINATION,281.00,08/12/2013,RENTAL CAR,B. CUSTER - CDN PROJECT IMPLEMENTATION,309905940,"INTERSTATE JC DECAUX, LLC",10/21/2013
2032282615,07/01/2012,09/30/2012,5861,THOMAS,S,MOORE,CITY OF CHICAGO,275.00,08/02/2012,FILING FEE,CITY OF CHICAGO,997785788,"SWAN PROPERTY DEVELOPMENT, INC",01/11/2013
3016593847,01/01/2018,03/31/2018,5861,THOMAS,S,MOORE,ZONING CHANGE,1025.00,03/20/2018,FILING FEE,CITY OF CHICCAGO,139027889,"DUNICAN, AIDAN",11/27/2018
14136511,04/01/2016,06/30/2016,5825,JONATHAN,D,PERMAN,COMMUNICATION & EVALUATION OF PLASTIC BAG ORDINANCE,1250.00,04/30/2016,LOBBYING,"THE PERMAN GROUP, 1904 WEST NEWPORT AVE., CHICAGO, IL 60657",3208663911,AMERICAN PROGRESSIVE BAG ALLIANCE,07/13/2016
1268311985,04/01/2013,06/30/2013,6221,LARS,,SKUGSTAD,IMPLEMENTATION MEETING FOR CITY CONTRACT,343.35,04/02/2013,LODGING,"WESTIN, 909 N MICHIGAN, CHICAGO, IL 60611, HOTEL",2118404673,"INTERSTATE JCDECAUX, LLC",07/19/2013
2403750142,10/01/2016,12/31/2016,5825,JONATHAN,D,PERMAN,MODIFICATION OF PLASTIC BAG ORDINANCE,1250.00,12/31/2016,ADVOCACY & EDUCATION,"THE PERMAN GROUP, 1904 WEST NEWPORT AVE., CHICAGO, IL 60657",3208663911,AMERICAN PROGRESSIVE BAG ALLIANCE,01/19/2017
3756621339,04/01/2013,06/30/2013,5825,JONATHAN,D,PERMAN,LEGISLATIVE ACTION,1250.00,06/30/2013,LOBBYING,"THE PERMAN GROUP, 1904 WEST NEWPORT AVE., CHICAGO, IL 60657, PUBLIC AFFAIRS",1386010297,AMERICAN PROGRESSIVE BAG ALLIANCE,07/16/2013
1157944753,07/01/2013,09/30/2013,3900,NICOLAS,,CLOCHARD-BOSSUET,TRAVELS AND MEALS FOR SELF,628.00,09/19/2013,WEEKLY MEETING CHICAGO DIGITAL NETWORK,"CFO TEAM (JACOB RINGER, COLLEEN STONE, SCOTT YONOVER), CDOT (MAUREEN WEST, JAI KALAYIL), DPT. OF BUILDINGS (MATT BEAUDET), HOUSING/ZONING DPT. (VICKIE LOZANO), LEGAL (KAREN BIELARZ), WATER MANAGEMENT (MIKE STURTEVANT), 2FM (JENNIFER MUSS), OEMC (ANNA STATHAM)",2721525197,"INTERSTATE JCDECAUX, LLC",10/07/2013
4137099067,01/01/2019,03/31/2019,4195,TIMOTHY,K.,HINCHMAN,SPECIAL USE FOR 1951 E. 95TH ST.,300.00,02/07/2019,ZONING SEARCH,"PROPERTY INSIGHT, 1 N. LASALLE ST., SUITE 500, CHICAGO, IL 60602",1247532477,MCDONALD'S CORPORATION,03/07/2019
293851154,04/01/2013,06/30/2013,6227,BLAKE,,CUSTER,HOTEL ACCOMMODATIONS,787.23,06/11/2013,CDN PROGRAM IMPLEMENTATION,CITY MEETING AND PROGRAM IMPLEMENTATION AND SUBMISSION OF PERMITS,309905940,"INTERSTATE JC DECAUX, LLC",07/22/2013
3312783878,07/01/2013,09/30/2013,5861,THOMAS,S,MOORE,FILNG FEE,525.00,07/08/2013,FILING FEE,CITY OF CHICAGO,3192750988,"COMPRINDO, DANIELA",10/15/2013
709452068,01/01/2015,03/31/2015,5861,THOMAS,S,MOORE,FILING FEE,500.00,03/31/2015,FILING FEE,CITY OF CHICAGO,3140929056,ADDIVY PROPERTIES LLC,11/30/2015
2830086045,07/01/2018,09/30/2018,14301,MICHAEL,T,DEBONVILLE,ORDINANCE FOR FREE-FLOATING CARSHARING,549.45,09/20/2018,HOTEL,"MIKE DEBONVILLE, 1717 WEST 6TH STREET, SUITE 425, AUSTIN, TX 78703, CARSHARING",3206749539,"CAR2GO N.A., LLC",10/16/2018
94759853,10/01/2013,12/31/2013,8581,JEFFREY,,KAHN,TRAVEL TO CHICAGO FOR MEETING,380.00,11/19/2013,MEETING W/WORLD BUSINESS CHICAGO,DELTA AIRLINES,3186638429,"BEST BUY CO., INC.",01/07/2014
1071505527,01/01/2019,03/31/2019,6164,GABRIELLE,,BRUSSEL,ADMINISTRATION OF CITY DIGITAL NETWORK PROGRAM,324.00,03/22/2019,FLIGHT TO/FROM CHICAGO,DELTA,2349450331,"INTERSTATE JCDECAUX, LLC",04/01/2019
1499502735,07/01/2019,09/30/2019,4157,BRIDGET,M,O'KEEFE,LEASE WITH 2 N. LASALLE,425.00,07/22/2019,LOBBYIST REGISTRATION OF BLAKE HILLEMEYER,CITY OF CHICAGO BOARD OF ETHICS,3101813560,THE HEARN COMPANY,01/15/2020
2700005170,10/01/2019,12/31/2019,5861,THOMAS,S,MOORE,ZONING MAP AMENDMENT,1025.00,11/04/2019,FILING FEE,CITY OF CHICAGO,3155753535,"SCHROEDER, BRYAN",01/06/2020
284399532,10/01/2013,12/31/2013,3959,B. JOHN,,BISIO,GOVERNMENT AND REGULATORY ISSUES,6000.00,11/01/2013,LOBBYING RETAINER,"NICOLAY & DART LLC, 33 NORTH DEARBORN STREET, SUITE 2200, CHICAGO, IL 60602-- GOVERNMENT AFFAIRS FIRM",4048551740,"WAL-MART STORES, INC.",01/16/2014
3556211717,01/01/2016,03/31/2016,13341,LYNN,,COLE,RECRUITING AND INTERNAL MEETINGS,344.54,02/24/2016,LODGING,"W CHICAGO CITY CENTER, 172 W. ADAMS ST., CHICAGO, IL, 60603, HOTEL",3780110441,GOOGLE INC.,05/18/2016
1847015813,01/01/2013,03/31/2013,3949,KANA,,WIBBENMEYER,"ZONING CHANGE, DEPARTMENTAL APPROVALS, CTA SUBLEASE",76675.00,03/13/2013,LEGAL FEES,"SNR DENTON, 233 S. WACKER DR. #8700 CHICAGO 60606",3429340646,LOYOLA UNIVERSITY CHICAGO,04/16/2013
1637651865,01/01/2013,03/31/2013,6203,JOHN,,FOSTER,CITY DIGITAL NETWORK PROGRAM IMPLEMENTATION MEETINGS,4288.08,01/31/2013,CITY DIGITAL NETWORK PROGRAM IMPLEMENTATION MEETINGS,TRAVEL EXPENSES,2349450331,"INTERSTATE JCDECAUX, LLC",04/22/2013
2364612911,01/01/2014,03/31/2014,9342,DAVE,,SEVERSON,CHANGES TO RULES RELATING TO HANDLING OF BULK MATERIALS.,270.00,02/05/2014,. TRAVEL TO CHICAGO FOR MEETING WITH CHICAGO PUBLIC HEALTH DEPT,"SOUTHWEST AIRLINES & BCD TRAVEL/BCD TRAVEL WICHITA, KS/AIRFARE & AGENT FEES",4066986617,"KOCH COMPANIES PUBLIC SECTOR, LLC AND AFFILIATES",04/10/2014
4165344538,07/01/2014,09/30/2014,6203,JOHN,,FOSTER,CITY DIGITAL NETWORK PROGRAM IMPLEMENTATION MEETINGS,2986.06,08/14/2014,CITY DIGITAL NETWORK PROGRAM IMPLEMENTATION MEETINGS,TRAVEL EXPENSES,2349450331,"INTERSTATE JCDECAUX, LLC",10/20/2014
3453771342,07/01/2013,09/30/2013,4111,CHRISTOPHER,S,COLWELL,INSURANCE CONTRACT,465.60,09/03/2013,TRAVEL,"DELTA AIRLINES, ATLANTA GA - AIRLINE",1494790187,USI INSURANCE SERVICES CORP,10/15/2013
3912975523,10/01/2017,12/31/2017,16202,STACEY,,KODAK,ADMINISTRATIVE,500.00,12/20/2017,FLIGHT FROM,AMERICAN AIRLINES,1784603775,"JCDECAUX AIRPORT CHICAGO, LLC",01/12/2018
1386645103,04/01/2013,06/30/2013,5861,THOMAS,S,MOORE,CITY OF CHICAGO,275.00,04/16/2013,FILING FEE,CITY OF CHICAGO,835315451,"PASCHKE, JOHN",08/26/2013
1425515794,07/01/2013,09/30/2013,4360,LEWIS,,MILLER,SPEED CAMERA BID,512.12,09/26/2013,LODGING,"TALBOTT HOTEL, 20 E. DELAWARE PLACE  CHICAGO, IL  60611",4117277579,"XEROX BUSINESS SERVICES, LLC",10/21/2013
991223126,01/01/2015,03/31/2015,3900,NICOLAS,,CLOCHARD-BOSSUET,TRAVELS AND MEALS FOR SELF,806.00,03/05/2015,WEEKLY MEETING CHICAGO DIGITAL NETWORK,"CFO TEAM (LUCIEN CARTER, COLLEEN STONE), CDOT (MAUREEN WEST), DPT. OF BUILDINGS (MATT BEAUDET), HOUSING/ZONING DPT. (VICKIE LOZANO), LEGAL (KAREN BIELARZ), 2FM (JENNIFER MUSS), OEMC (ANNA STATHAM), MAYOR�S OFFICE (CLAUDIA CHAVEZ)",2349450331,"INTERSTATE JCDECAUX, LLC",04/04/2015
3558702158,01/01/2018,03/31/2018,5861,THOMAS,S,MOORE,SPECIAL USE,1025.00,03/22/2018,FILING FEE,CITY OF CHICAGO,1434937106,"GEORGE, CRYSTAL",10/05/2018
3626056286,07/01/2013,09/30/2013,5861,THOMAS,S,MOORE,FILING FEE,525.00,09/16/2013,FILING FEE,CITY OF CHICAGO,3080240855,"HRABRICH, DAVID",01/02/2014
3265407131,10/01/2012,12/31/2012,3764,JENNIFER,,CLARK,"CTA PLAZA DESIGN, MIXED USE BUILDING",20962.00,10/12/2012,ARCHITECTURAL SERVICES,SOLOMON CORDWELL BUENZ; ARCHITECTS,3429340646,LOYOLA UNIVERSITY CHICAGO,02/08/2013
1157464791,07/01/2017,09/30/2017,5721,GENE,C,SCHULTER,ADVISOR,1500.00,07/10/2017,ADVISOR,"THOMAS O'DONNELL, 4303 N WOLCOTT, CHGO, IL 60613",128324858,"CORNERSTONE CONTRACTING, INC.",10/16/2017
864979386,04/01/2013,06/30/2013,7201,NICOLE,S,JEFFERSON,VISIT TO CHICAGO FOR MEETING WITH MAYORS OFFICE,378.27,04/23/2013,LODGING,"PARK HYATT HOTEL 800 N MICHIGAN AVE  CHICAGO, IL 60611",946270665,COLGATE-PALMOLIVE,06/25/2013
2174564344,01/01/2013,03/31/2013,3959,B. JOHN,,BISIO,PROMOTE WAL-MART IN CHICAGO,566.94,01/16/2013,AIRFARE,AMERICAN AIRLINES,4048551740,"WAL-MART STORES, INC.",04/18/2013
1232578123,07/01/2013,09/30/2013,4360,LEWIS,,MILLER,SPEED CAMERA BID,277.60,09/30/2013,AIRFARE,"SOUTHWEST AIRLINES, 2702 LOVE FIELD DR  DALLAS, TX 75235",4117277579,"XEROX BUSINESS SERVICES, LLC",10/21/2013
4104379641,07/01/2016,09/30/2016,5825,JONATHAN,D,PERMAN,ADVOCATE FOR MODIFICATIONS TO THE PLASTIC BAG ORDINANCE,1250.00,07/31/2016,ADVOCACY,"THE PERMAN GROUP, 1904 WEST NEWPORT AVE., CHICAGO, IL 60657, PUBLIC AFFAIRS",3208663911,AMERICAN PROGRESSIVE BAG ALLIANCE,10/17/2016
229033967,01/01/2015,03/31/2015,11521,PETER,,GOELZ,N/A INTRODUCTORY BRIEFINGS TO CITY HALL AND AVIATION DEPARTMENT,634.20,01/23/2015,AIR FARE,UNITED AIR LINES,826774815,AMERICAN EXPRESS,07/08/2015
1972641,01/01/2013,03/31/2013,3869,MONTEL,M,GAYLES,ADMIN -,350.00,01/01/2013,LOBBYIST FEE,CITY OF CHICAGO,2830009974,CONCESSIONS INTERNATIONAL LLC,07/30/2013
1112254179,07/01/2016,09/30/2016,5861,THOMAS,S,MOORE,ZONING CHANGE,1550.00,04/01/2016,FILING FEE,CITY OF CHICAGO,3907645651,"GASSMAN, DAVID",01/12/2017
640498949,01/01/2018,03/31/2018,5861,THOMAS,S,MOORE,2 VARIANCES,1000.00,01/03/2018,FILING FEE,CITY OF CHICAGO,2558443295,KENMORE ESTATES LLC,11/27/2018
2064878174,01/01/2017,03/31/2017,4195,TIMOTHY,K.,HINCHMAN,SPECIAL USE FOR 5624 W. ROOSEVELT RD.,1025.00,02/14/2017,APPLICATION FEE,"CITY OF CHICAGO, DEPARTMENT OF REVENUE, 121 N. LASALLE ST., CHICAGO, IL 60602",2417311969,MCDONALD'S CORPORATION,04/04/2017
1227038072,10/01/2019,12/31/2019,5861,THOMAS,S,MOORE,ZONING MAP AMENDMENT,1025.00,11/12/2019,FILING FEE,CITY OF CHICAGO,3094756529,"CANDEA, ALAN",01/06/2020
4131538004,10/01/2012,12/31/2012,5721,GENE,C,SCHULTER,REGISTRATION,350.00,09/24/2012,REGISTRATION FEE AS LOBBYIST,CITY OF CHICAGO - BOARD OF ETHICS,4012212029,EMC CORPORATION,01/16/2013
2080065297,01/01/2017,03/31/2017,5861,THOMAS,S,MOORE,ZONING CHANGE,1050.50,01/31/2017,FILING FEE,CITY OF CHICAGO,3495282720,"LYONS, ROBERT",06/29/2017
668553522,01/01/2016,03/31/2016,5861,THOMAS,S,MOORE,FILING FEE,500.00,02/01/2016,FILING FEE,CITY OF CHICAGO,1911893145,"KERIBAR, ALAN",01/12/2017
1727416485,07/01/2016,09/30/2016,5861,THOMAS,S,MOORE,VARIANCE,525.00,08/05/2016,FILING FEE,CITY OF CHICAGO,3526940056,"REISS, RAY",01/12/2017
292819380,10/01/2016,12/31/2016,12202,KRIS,,WEAVER,- DIGITAL CIGARETTE TAX STAMP IMPLEMENTATION,725.54,10/14/2016,LODGING,"66 E WACKER PL, CHICAGO, IL 60601",1415910890,CONDUENT INCORPORATED,01/20/2017
1552656843,04/01/2013,06/30/2013,4278,HOMERO,,TRISTAN,N/A,250.00,04/03/2013,FILED ADMINISTRATIVE ADJUSTMENT APPLICATION,CITY OF CHICAGO DEPARTMENT OF REVENUE,2295101623,"MILWAUKEE AVENUE PARKING, LLC",07/18/2013
2588803357,07/01/2019,09/30/2019,5861,THOMAS,S,MOORE,ZONING MAP AMENDMENT,1025.00,08/19/2019,FILING FEE,CITY OF CHICAGO,4289019526,"WARD, GERALDINE",12/30/2019
2602746120,04/01/2013,06/30/2013,4195,TIMOTHY,K.,HINCHMAN,SPECIAL USE FOR 1657 W. 95TH ST.,525.00,04/17/2013,APPLICATION FEE,"CITY OF CHICAGO, DEPARTMENT OF REVENUE, 121 N. LASALLE ST., CHICAGO, IL 60602",2417311969,MCDONALD'S CORPORATION,07/02/2013
512703156,10/01/2017,12/31/2017,6164,GABRIELLE,,BRUSSEL,ADMINISTRATION OF STREET FURNITURE PROGRAM AND ORD PROGRAM,1486.04,11/08/2017,TRAVEL TO CHICAGO FOR MTTNGS,DELTA/TAXIS/FOOD,1671164904,"JCDECAUX NORTH AMERICA, INC",01/16/2018
2040408047,01/01/2018,03/31/2018,16921,STEPHEN,,JOHNSON,MEETINGS,496.61,02/21/2018,HOTEL,LANGHAM HOTEL CHICAGO,2148425495,AMERICAN AIRLINES,04/11/2018
3965263676,10/01/2015,12/31/2015,5861,THOMAS,S,MOORE,FILING FEE,525.00,11/02/2015,FILING FEE,CITY OF CHICAGO,1363631676,"MEENAN, PATRICK",01/08/2016
2418136517,04/01/2013,06/30/2013,5861,THOMAS,S,MOORE,CITY OF CHICAGO,525.00,06/10/2013,FILING FEE,CITY OF CHICAGO,3971185004,GEMSTONE JEWELERS INC,01/02/2014
3672587832,01/01/2015,03/31/2015,4110,WILLIAM,K,THOMPSON,MEETING W CPS AND CITY,415.70,01/08/2015,FLIGHT,SOUTHWEST AIRLINES,152708578,"RAYMOND JAMES & ASSOC., INC.",04/20/2015
2566793907,01/01/2017,03/31/2017,16662,MICHAEL,J,MINERVA,MEETING REGARDING ORD LEASES,292.30,02/15/2017,LODGING,HYATT REGENCY CHICAGO,2148425495,AMERICAN AIRLINES,04/20/2017
2450039294,07/01/2018,09/30/2018,4094,DANIELLE,,CASSEL,OCCUPANCY PLACARDS,616.00,09/11/2018,OCCUPANCY PLACARDS,DEPARTMENT OF BUILDINGS,912515312,"SMART HOTELS / OLYMPIA CHICAGO, LLC",10/10/2018
3946218555,10/01/2015,12/31/2015,6222,DREW,,KATZ,TRAVEL TO CHACIG TO MEET WITH CITY OFFICIALS,1500.00,11/04/2015,TRAVEL TO AND FROM PHILADELPHIA AND CHICAGO,"PILOTS II, WELLS FARGO CENTER, 3601 S. BROAD STREET, PHILADELPHIA, PA 19148",2118404673,"INTERSTATE JCDECAUX, LLC",01/11/2016
1621948203,01/01/2014,03/31/2014,8681,KATHERINE,B.,LEWIS,REGISTRATION FEE-ADMINISTRATIVE,350.00,01/13/2014,LOBBYIST RE-REGISTRATION FEE,CHICAGO BOARD OF ETHICS,1401592122,CHEMFREE,04/09/2014
3440289068,01/01/2013,03/31/2013,6227,BLAKE,,CUSTER,"MEETING WITH CITY OF CHICAGO IMPLEMENTATION TEAM, MEETING WITH ARCHITECTS AND ENGINEERS FOR CITY OF CHICAGO PERMITTING REQUIREMENT, OUC  PERMIT PROCESS",1051.00,01/29/2013,TRANSPORTATION: AIRFARE,IMPLEMENTATION OF CITY DIGITAL NETWORK PROGRAM,309905940,"INTERSTATE JC DECAUX, LLC",04/22/2013
2134671049,07/01/2017,09/30/2017,5861,THOMAS,S,MOORE,SPECIAL USE,1025.00,07/24/2017,FILING FEE,CITY OF CHICAGO,265476589,BENJAMIN SITT,12/13/2017
2227377945,10/01/2015,12/31/2015,6403,BILL,,MCMANUS,DEFEAT PROPOSED TAX,14551.70,12/31/2015,"PUBLIC EDUCATION, ADVERITISING, AND PUBLICATIONS","RESOLUTE CONSULTING, 108 N LASALLE, SUITE 2750, CHICAGO, IL 60601, PUBLIC RELATIONS FIRM",481326372,AMERICAN BEVERAGE ASSOCIATION,01/20/2016
1037088965,01/01/2013,03/31/2013,3752,MITCHELL,A,CARRELL,LEGISLATIVE,644.00,02/14/2013,MAILING OF LEGAL NOTICE TO 1400 RECIPIENTS,US POSTAL SERVICE,2392897941,"SHAMBHALA INTERNATIONAL (VAJRADHATU), A CO NOT-FOR-PROFIT CORP",10/21/2013
3950869567,07/01/2017,09/30/2017,17201,THOMAS,,RAINES,SPECIAL EVENT PERMIT,2000.00,07/28/2017,SPECIAL EVENT PERMIT,CITY OF CHICAGO DEPT OF BUS AFFAIRS AND CONSUMER PROTECTION,3247499884,HSC PLAZA AND BUILDING OPERATIONS LLC,04/20/2018
1450632797,04/01/2016,06/30/2016,5861,THOMAS,S,MOORE,ZONING CHANGE,1025.00,04/13/2016,FILING FEE,CITY OF CHICAGO,3812091807,CLARKVIEW LLC,01/12/2017
36160241,01/01/2015,03/31/2015,10821,JAMES,R,WATSON,OPPOSE E15,360.78,02/07/2015,LODGING,HILTON GARDEN INN,3617168447,ILLINOIS PETROLEUM COUNCIL,04/07/2015
2254400782,10/01/2016,12/31/2016,15543,LORENZO,,BOYD,MEETING WITH CHICAGO FINANCE DEPT,250.00,10/05/2016,ROUNDTRIP FLIGHT FOR MEETING,"LORENZO BOYD, 501 N BROADWAY, ST LOUIS, IL, BANKER",613630142,"STIFEL, NICOLAUS & CO., INC.",01/20/2017
2477162322,04/01/2016,06/30/2016,5861,THOMAS,S,MOORE,ZONING CHANGE,1025.00,06/15/2016,FILING FEE,CITY OF CHICAGO,2392368293,HICKORY DICKORY DOC TRUST,10/13/2016
3301220444,10/01/2017,12/31/2017,16202,STACEY,,KODAK,UNITED AIRLINES,450.00,12/20/2017,FLIGHT TO,UNITED AIRLINES,1784603775,"JCDECAUX AIRPORT CHICAGO, LLC",01/12/2018
2513640153,01/01/2014,03/31/2014,9082,JOSEPH,E,PILEWSKI,LOBBYING REGISTRATION,255.00,01/10/2014,LOBBYING REGISTRATION,"CHICAGO BOARD OF ETHICS, 740 N SEDGWICK ST, CHICAGO, IL 60654",1539133565,SINAI HEALTH SYSTEM,04/17/2014
1985290319,01/01/2016,03/31/2016,5861,THOMAS,S,MOORE,FILING FEE,1025.00,02/01/2016,FILING FEE,CITY OF CHICAGO,2814625509,"HUSTON, ANNE",01/12/2017
1587551539,01/01/2012,06/30/2012,3951,PAUL,A,KOLPAK,ZONING CHANGE REQUEST,1025.00,03/06/2012,APPLICATION FEE TO CHICAGO,CITY OF CHICAGO,519976831,"WILLIAMS, CRAIG",02/28/2013
1033751432,04/01/2014,06/30/2014,9082,JOSEPH,E,PILEWSKI,ECONOMIST'S REVIEW,350.00,05/21/2014,IMPLAN QUALITY REVIEW,"IMPLAN GROUP, LLC 16740 BIRKDALE COMMONS PARKWAY SUITE 206 HUNTERSVILLE, NC 28078",1539133565,SINAI HEALTH SYSTEM,07/11/2014
3172432191,10/01/2013,12/31/2013,9061,BRIAN,,DANIELS,CIGARETTE TAX,421.72,11/20/2013,HOTEL,HILTON OAKLAWN,143688492,"NATIONAL ASSOCIATION OF TOBACCO OUTLETS, INC.",01/15/2014
3248447097,07/01/2015,09/30/2015,11781,SCOTT,,GOLDSTEIN,ASSISTANCE IN ELIGIBILITY FOR THE CREATION OF A SPECIAL SERVICE AREA,500.00,08/20/2015,TO PROVIDE LEGAL DESCRIPTION,"RW SODERQUIST, 12159 MEADOWLAND DR, HOMER GLEN, IL 60441",2005409263,FAR SOUTH CDC,10/19/2015
3666482444,07/01/2018,09/30/2018,3900,NICOLAS,,CLOCHARD-BOSSUET,TRAVEL AND MEALS FOR SELF,700.00,09/06/2018,REVIEW OF OUR BUILDINGS PERMIT APPLICATION FOR CDN SITE #3,DPT.OF BUILDINGS (A.HAMEIRI),321705281,"INTERSTATE JCDECAUX, LLC",10/03/2018
4226471228,10/01/2019,12/31/2019,16202,STACEY,,KODAK,CONTRACT ADMINISTRATION,750.00,12/11/2019,FLIGHT,UNITED AIRLINES,1329016318,"JCDECAUX AIRPORT CHICAGO, LLC",01/16/2020
3161770618,04/01/2018,06/30/2018,21721,ANNE,M.,SKALLERUP,LOBBYIST REGISTRATION,350.00,06/20/2018,REGISTRATION,CITY OF CHICAGO,1566958962,TRANSUNION,07/02/2018
1590932783,01/01/2014,03/31/2014,6221,LARS,,SKUGSTAD,IMPLEMENTATION MEETING FOR CITY CONTRACT,483.00,01/24/2014,TRANSPORTATION,"UNITED AIRLINES, 77 WACKER DRIVE, CHICAGO, IL 60601",321705281,"INTERSTATE JCDECAUX, LLC",04/20/2014
