Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
KANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,-,0,,,-,,-,,-,2,,,-,1,,,-,108,,,-,75,,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,1,,,-,,-,,-,2,,,-,1,,,-,58,,3,,59,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,21,,3,,20,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,,-,1,,,-,1,,,-,3,,,-,1,,19,,137,,96,,162,,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,4,,52,,22,,17,,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,1,,,-,1,,,-,1,,,-,1,,,-,26,,,-,20,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,1,,,-,1,,,-,2,,,-,1,,4,,46,,39,,52,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,11,,85,,44,,48,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,5,,74,,21,,22,,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,14,,66,,64,,75,,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,1,,53,,12,,30,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,2,,12,,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,,-,2,,,-,1,,,-,6,,,-,2,,22,,478,,117,,494,,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,1,,,-,,-,,-,2,,,-,,-,8,,66,,46,,1,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,21,,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,,-,1,,,-,1,,,-,2,,,-,1,,6,,27,,32,,40,,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,2,,1,,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,,-,21,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,1,,5,,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,,-,2,,,-,,-,,-,2,,,-,,-,7,,58,,33,,29,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,1,,,-,,-,1,,1,,1,,,-,3,,38,,31,,69,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,5,,30,,30,,2,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,1,,12,,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,,-,2,,,-,,-,,-,1,,,-,,-,5,,42,,18,,9,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,1,,7,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,36,,13,,33,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,,-,2,,,-,,-,,-,5,,,-,2,,19,,174,,88,,110,,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,1,,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,,-,1,,,-,,-,,-,5,,,-,,-,,-,234,,,-,290,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,7,,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,5,,134,,50,,78,,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,2,,,-,,-,,-,2,,1,,,-,2,,50,,47,,47,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,1,,,-,1,,1,,2,,1,,2,,9,,101,,67,,178,,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
TOTAL,2020,5,,-,6,,1,,8,,2,,12,,9,,17,,144,,1411,,904,,1774,,,TOTAL,20200570,
US RESIDENTS,2020,5,,-,6,,1,,8,,2,,12,,9,,17,,144,,1411,,904,,1774,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,3,,9,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,2,,,-,,-,,-,3,,,-,2,,22,,62,,59,,70,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,1,,,-,1,,,-,2,,,-,1,,5,,46,,45,,52,,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,,-,2,,,-,,-,,-,6,,1,,,-,37,,338,,148,,176,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,3,,18,,15,,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,1,,1,,,-,,-,1,,,-,,-,6,,116,,80,,108,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,4,,7,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,,-,10,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,1,,,-,2,,,-,3,,,-,2,,,-,95,,7,,108,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,,-,118,,26,,38,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,2,,,-,,-,,-,6,,1,,,-,26,,225,,87,,96,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,5,,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,1,,,-,1,,,-,2,,,-,,-,5,,21,,43,,33,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,2,,,-,1,,,-,6,,3,,1,,7,,81,,67,,106,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,5,,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,1,,1,,,-,,-,0,,,-,,-,,-,53,,41,,56,,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,0,,,-,,-,,-,2,,,-,1,,,-,108,,,-,87,,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,1,,,-,,-,,-,2,,,-,2,,,-,58,,4,,81,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,21,,9,,23,,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,1,,,-,2,,1,,3,,1,,3,,12,,137,,124,,203,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,5,,52,,30,,26,,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,1,,,-,1,,,-,1,,,-,1,,,-,26,,,-,29,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,1,,,-,1,,,-,2,,,-,2,,11,,46,,51,,61,,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,4,,85,,51,,60,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,5,,74,,26,,30,,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,1,,,-,,-,1,,1,,1,,1,,12,,66,,76,,93,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,12,,36,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,2,,14,,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,3,,,-,3,,,-,6,,,-,5,,23,,546,,146,,669,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,1,,,-,,-,1,,2,,2,,,-,16,,66,,71,,1,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,25,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,1,,,-,1,,,-,2,,,-,1,,,-,27,,32,,49,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,3,,1,,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,1,,27,,9,,26,,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,1,,7,,4,,8,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,2,,,-,1,,,-,2,,,-,2,,8,,58,,42,,37,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,1,,,-,,-,,-,1,,2,,,-,13,,38,,57,,84,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,30,,41,,2,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,2,,13,,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,93,,,-,64,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,2,,,-,,-,,-,1,,,-,,-,6,,42,,23,,14,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,2,,11,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,36,,13,,40,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,2,,,-,,-,1,,5,,2,,5,,38,,174,,134,,152,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,1,,,-,,-,,-,5,,,-,,-,,-,234,,,-,360,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,8,,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,3,,134,,60,,96,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,2,,,-,,-,,-,2,,3,,,-,6,,50,,52,,59,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,1,,,-,1,,,-,2,,2,,2,,13,,101,,100,,212,,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
MASSACHUSETTS,2020,6,,-,2,,1,,,-,,-,2,,3,,1,,2,,50,,58,,65,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,,-,1,,,-,1,,,-,2,,2,,3,,9,,101,,123,,245,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,8,1,,6,,10,,16,,2,,12,,18,,35,,110,,1420,,2166,,3158,,,TOTAL,20200870,
US RESIDENTS,2020,8,1,,6,,10,,16,,2,,12,,18,,35,,110,,1420,,2166,,3158,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,6,,16,,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,2,,,-,,-,,-,3,,,-,4,,13,,62,,108,,119,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,1,,1,,2,,,-,2,,,-,1,,5,,46,,76,,95,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,1,,3,,1,,1,,1,,6,,4,,1,,26,,337,,306,,396,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,18,,23,,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,1,,1,,,-,,-,1,,,-,,-,5,,116,,135,,173,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,6,,17,,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,7,,19,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,1,,,-,3,,,-,3,,,-,5,,,-,95,,13,,192,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,1,,1,,,-,,-,2,,,-,,-,1,,118,,44,,179,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,1,,3,,1,,1,,,-,6,,2,,1,,14,,264,,201,,265,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,6,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,1,,1,,2,,,-,2,,,-,,-,5,,21,,67,,67,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,3,,5,,2,,,-,6,,3,,4,,8,,81,,129,,164,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,9,,10,,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,1,,1,,,-,,-,0,,,-,,-,2,,53,,64,,76,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,0,,,-,,-,,-,2,,,-,1,,,-,109,,25,,139,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,1,,,-,1,,,-,2,,,-,4,,,-,58,,6,,121,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,34,,34,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,1,,,-,3,,,-,3,,1,,6,,10,,144,,197,,419,,,EAST NORTH CENTRAL,20200814,
NEW ENGLAND,2020,13,,-,3,,5,,4,,,-,6,,3,,6,,4,,81,,240,,315,,,NEW ENGLAND,20201302,
TENNESSEE,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,3,,52,,61,,56,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,1,,3,,2,,,-,1,,,-,2,,1,,26,,29,,35,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,1,,,-,1,,,-,2,,,-,2,,5,,47,,79,,85,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,,-,1,,2,,,-,2,,86,,79,,83,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,0,,,-,,-,1,,1,,2,,,-,8,,74,,60,,49,,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,1,,,-,,-,,-,1,,1,,1,,6,,66,,107,,133,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,12,,63,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,9,,22,,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,3,,1,,5,,1,,6,,3,,7,,25,,552,,800,,1067,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,1,,,-,,-,,-,2,,3,,,-,8,,67,,105,,3,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,33,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,1,,,-,1,,,-,2,,,-,2,,7,,27,,68,,78,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,8,,5,,2,,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,10,,41,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,4,,13,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,2,,1,,2,,1,,2,,1,,4,,5,,58,,70,,72,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
