Report Date,Borough,Community Districts,Census Type,Adult Family Comm Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Comm Hotel,Family Cluster,Family with Children Comm Hotel,Family with Chidren Shelter
08/31/2018,Manhattan,8,Individuals,,,80,,,,
08/31/2018,Manhattan,9,Individuals,,75,,,50,,798
08/31/2018,Manhattan,10,Individuals,,400,553,,50,,887
08/31/2018,Manhattan,11,Individuals,,,1167,,268,,663
08/31/2018,Manhattan,12,Individuals,,,286,,,121,
08/31/2018,Queens,1,Individuals,,,199,,,260,351
08/31/2018,Queens,2,Individuals,,204,,,,351,233
08/31/2018,Queens,3,Individuals,,,,87,,,878
08/31/2018,Queens,4,Individuals,,,,134,,120,321
08/31/2018,Queens,5,Individuals,,,,103,,,
08/31/2018,Queens,6,Individuals,,,,,,,
08/31/2018,Queens,7,Individuals,,,97,,,119,
08/31/2018,Queens,8,Individuals,,,,,,,321
08/31/2018,Queens,9,Individuals,,,,,,227,
08/31/2018,Queens,10,Individuals,395,,169,64,,435,
08/31/2018,Queens,11,Individuals,,,,,,,
08/31/2018,Queens,12,Individuals,,264,356,773,,811,1060
08/31/2018,Queens,13,Individuals,,,,432,,327,828
08/31/2018,Queens,14,Individuals,,322,,,,162,
08/31/2018,Staten Island,1,Individuals,,,,,,,139
08/31/2018,Staten Island,2,Individuals,,,,,,,
08/31/2018,Staten Island,3,Individuals,,,,,,,
09/30/2018,Bronx,1,Individuals,,172,220,,170,80,1223
09/30/2018,Bronx,2,Individuals,,188,,,290,,953
09/30/2018,Bronx,3,Individuals,,162,426,,270,302,1342
09/30/2018,Bronx,4,Individuals,,,438,74,1617,,1984
09/30/2018,Bronx,5,Individuals,,271,496,,908,,1074
09/30/2018,Bronx,6,Individuals,,96,119,77,556,,2246
09/30/2018,Bronx,7,Individuals,,102,615,,384,,326
09/30/2018,Bronx,8,Individuals,,,,,,,265
09/30/2018,Bronx,9,Individuals,,,101,,493,,232
09/30/2018,Bronx,10,Individuals,,,,,,,593
09/30/2018,Bronx,11,Individuals,,,,,,,
09/30/2018,Bronx,12,Individuals,,,108,,275,,294
09/30/2018,Brooklyn,1,Individuals,,144,684,,,107,
09/30/2018,Brooklyn,2,Individuals,,208,389,,,,77
09/30/2018,Brooklyn,3,Individuals,,,566,,247,197,700
09/30/2018,Brooklyn,4,Individuals,,,371,66,57,179,785
09/30/2018,Brooklyn,5,Individuals,,,871,258,,253,844
09/30/2018,Brooklyn,6,Individuals,,,99,286,,,
09/30/2018,Brooklyn,7,Individuals,,,186,88,,547,13
09/30/2018,Brooklyn,8,Individuals,,60,578,,42,121,513
09/30/2018,Brooklyn,9,Individuals,,,357,,22,,438
09/30/2018,Brooklyn,10,Individuals,,,,,,,
09/30/2018,Brooklyn,11,Individuals,,,,,,,
09/30/2018,Brooklyn,12,Individuals,,,,,,,158
09/30/2018,Brooklyn,13,Individuals,,,,,,72,
09/30/2018,Brooklyn,14,Individuals,,,,,,,96
09/30/2018,Brooklyn,15,Individuals,,,,,,,217
09/30/2018,Brooklyn,16,Individuals,,,659,114,19,378,2596
09/30/2018,Brooklyn,17,Individuals,,,,138,,,858
09/30/2018,Brooklyn,18,Individuals,,370,,,,,882
09/30/2018,Manhattan,1,Individuals,,,,,,143,
09/30/2018,Manhattan,2,Individuals,,,,,,,
09/30/2018,Manhattan,3,Individuals,,,898,244,37,229,369
09/30/2018,Manhattan,4,Individuals,,300,266,,,622,
09/30/2018,Manhattan,5,Individuals,,299,,,,1865,352
09/30/2018,Manhattan,6,Individuals,,,987,,,,
09/30/2018,Manhattan,7,Individuals,,172,312,,,115,583
09/30/2018,Manhattan,8,Individuals,,,80,,,,
09/30/2018,Manhattan,9,Individuals,,74,,,55,,779
09/30/2018,Manhattan,10,Individuals,,397,566,,45,,863
09/30/2018,Manhattan,11,Individuals,,,1167,,248,,666
09/30/2018,Manhattan,12,Individuals,,,290,,,108,
09/30/2018,Queens,1,Individuals,,,199,,,255,365
09/30/2018,Queens,2,Individuals,,249,,,,472,231
09/30/2018,Queens,3,Individuals,,,,87,,,845
09/30/2018,Queens,4,Individuals,,,,136,,130,405
09/30/2018,Queens,5,Individuals,,,,101,,,
09/30/2018,Queens,6,Individuals,,,,,,,
09/30/2018,Queens,7,Individuals,,,101,,,124,
09/30/2018,Queens,8,Individuals,,,,,,,316
09/30/2018,Queens,9,Individuals,,,,,,233,
09/30/2018,Queens,10,Individuals,393,,174,63,,442,
09/30/2018,Queens,11,Individuals,,,,,,,
09/30/2018,Queens,12,Individuals,,268,355,850,,811,1067
09/30/2018,Queens,13,Individuals,,,,425,,334,797
09/30/2018,Queens,14,Individuals,,309,,,,184,
09/30/2018,Staten Island,1,Individuals,,,,,,,136
09/30/2018,Staten Island,2,Individuals,,,,,,,
09/30/2018,Staten Island,3,Individuals,,,,,,,
11/30/2018,Bronx,4,Individuals,,,438,74,1586,,1937
11/30/2018,Brooklyn,7,Individuals,,,185,87,,506,13
11/30/2018,Manhattan,7,Individuals,,144,312,,,109,589
01/31/2019,Brooklyn,13,Individuals,,,,,,74,
01/31/2019,Brooklyn,11,Individuals,,,,,,,
11/30/2018,Queens,12,Individuals,,284,347,946,,763,1033
01/31/2019,Brooklyn,10,Individuals,,,,,,,
01/31/2019,Manhattan,6,Individuals,,322,930,,,,
10/31/2018,Bronx,6,Individuals,,104,124,80,553,,2293
01/31/2019,Brooklyn,1,Individuals,,155,691,,,99,
10/31/2018,Bronx,10,Individuals,,,,,,,591
12/31/2018,Brooklyn,13,Individuals,,,,,,71,
10/31/2018,Bronx,8,Individuals,,,,,,,274
12/31/2018,Manhattan,1,Individuals,,,,,,134,
10/31/2018,Bronx,2,Individuals,,200,,,252,,974
01/31/2019,Bronx,4,Individuals,,,425,76,1502,,1969
12/31/2018,Bronx,7,Individuals,,115,615,,392,,321
10/31/2018,Brooklyn,15,Individuals,,,,,,,213
11/30/2018,Bronx,5,Individuals,,279,496,,926,,1049
11/30/2018,Brooklyn,1,Individuals,,164,660,,,103,
12/31/2018,Queens,7,Individuals,,,101,,,136,
11/30/2018,Staten Island,2,Individuals,,,,,,,
10/31/2018,Bronx,11,Individuals,,,,,,,
11/30/2018,Queens,13,Individuals,,,,492,,252,822
12/31/2018,Queens,10,Individuals,364,,172,61,,422,
01/31/2019,Bronx,7,Individuals,,111,627,,368,,326
11/30/2018,Brooklyn,4,Individuals,,,366,63,63,166,821
01/31/2019,Brooklyn,15,Individuals,,,,,,,213
11/30/2018,Bronx,11,Individuals,,,,,,,
12/31/2018,Queens,2,Individuals,,311,,,,573,238
11/30/2018,Brooklyn,11,Individuals,,,,,,,
11/30/2018,Brooklyn,15,Individuals,,,,,,,224
10/31/2018,Queens,11,Individuals,,,,,,,
10/31/2018,Bronx,9,Individuals,,,99,,500,,227
10/31/2018,Bronx,1,Individuals,,182,223,,173,79,1210
01/31/2019,Queens,11,Individuals,,,,,,,
01/31/2019,Bronx,12,Individuals,,,108,,177,,292
12/31/2018,Staten Island,1,Individuals,,,,,,,137
01/31/2019,Queens,10,Individuals,369,,174,63,,434,
12/31/2018,Queens,9,Individuals,,,,,,259,
12/31/2018,Queens,14,Individuals,,315,,,,125,155
11/30/2018,Brooklyn,16,Individuals,,,661,117,24,393,2557
12/31/2018,Brooklyn,16,Individuals,,,652,116,24,384,2530
12/31/2018,Brooklyn,8,Individuals,,66,529,35,31,,513
11/30/2018,Queens,1,Individuals,,,198,,,237,343
12/31/2018,Brooklyn,2,Individuals,,180,370,,,,73
12/31/2018,Manhattan,12,Individuals,,,285,,,119,
10/31/2018,Brooklyn,11,Individuals,,,,,,,
11/30/2018,Queens,5,Individuals,,,,110,,,
11/30/2018,Bronx,8,Individuals,,,,,,,251
11/30/2018,Manhattan,10,Individuals,,401,565,,50,,876
12/31/2018,Brooklyn,15,Individuals,,,,,,,221
10/31/2018,Brooklyn,13,Individuals,,,,,,63,
12/31/2018,Brooklyn,3,Individuals,,,568,,255,188,667
01/31/2019,Bronx,9,Individuals,,,101,,505,,226
01/31/2019,Queens,8,Individuals,,,,,,,325
01/31/2019,Manhattan,11,Individuals,,411,1370,,280,,670
12/31/2018,Manhattan,4,Individuals,,304,265,,,640,
12/31/2018,Brooklyn,9,Individuals,,,360,,25,,408
11/30/2018,Brooklyn,5,Individuals,,,889,254,,265,862
01/31/2019,Brooklyn,17,Individuals,,,,138,,,904
12/31/2018,Brooklyn,12,Individuals,,,,,,,155
01/31/2019,Brooklyn,2,Individuals,,192,379,,,,72
10/31/2018,Queens,8,Individuals,,,,,,,323
12/31/2018,Brooklyn,7,Individuals,,,184,86,,523,10
11/30/2018,Queens,11,Individuals,,,,,,,
01/31/2019,Brooklyn,8,Individuals,,64,576,83,31,,514
01/31/2019,Bronx,3,Individuals,,252,392,,196,292,1412
12/31/2018,Bronx,3,Individuals,,243,369,,262,298,1404
01/31/2019,Brooklyn,7,Individuals,,,181,103,,534,12
12/31/2018,Brooklyn,10,Individuals,,,,,,,
01/31/2019,Brooklyn,5,Individuals,,,983,258,,270,847
10/31/2018,Manhattan,3,Individuals,,,890,245,35,221,372
01/31/2019,Manhattan,8,Individuals,,34,79,,,,
01/31/2019,Brooklyn,16,Individuals,,,664,117,24,397,2556
10/31/2018,Queens,10,Individuals,393,,174,62,,439,
01/31/2019,Queens,3,Individuals,,,,89,,,850
11/30/2018,Bronx,7,Individuals,,114,628,,411,,331
10/31/2018,Queens,14,Individuals,,289,,,,164,58
11/30/2018,Queens,9,Individuals,,,,,,262,
01/31/2019,Bronx,8,Individuals,,,,,,,246
11/30/2018,Staten Island,3,Individuals,,,,,,,
10/31/2018,Queens,9,Individuals,,,,,,244,
10/31/2018,Bronx,5,Individuals,,269,493,,921,,1060
12/31/2018,Queens,8,Individuals,,,,,,,322
11/30/2018,Bronx,2,Individuals,,198,,,258,,963
11/30/2018,Bronx,3,Individuals,,174,416,,261,295,1393
10/31/2018,Queens,7,Individuals,,,100,,,146,
10/31/2018,Manhattan,12,Individuals,,,291,,,109,
10/31/2018,Brooklyn,4,Individuals,,,369,62,53,180,811
01/31/2019,Staten Island,2,Individuals,,,,,,,
11/30/2018,Manhattan,1,Individuals,,,,,,119,
01/31/2019,Brooklyn,3,Individuals,,,567,,258,211,677
10/31/2018,Staten Island,2,Individuals,,,,,,,
12/31/2018,Queens,3,Individuals,,,,90,,,846
01/31/2019,Queens,7,Individuals,,,100,,,156,
12/31/2018,Manhattan,7,Individuals,,26,310,,,112,597
10/31/2018,Brooklyn,2,Individuals,,205,389,,,,76
12/31/2018,Queens,13,Individuals,,,,556,,242,826
11/30/2018,Queens,10,Individuals,385,,172,53,,416,
01/31/2019,Queens,9,Individuals,,,,,,158,
01/31/2019,Queens,6,Individuals,,,,,,,
12/31/2018,Manhattan,8,Individuals,,,79,,,,
01/31/2019,Bronx,11,Individuals,,,,,,,
01/31/2019,Queens,14,Individuals,,304,,,,160,163
10/31/2018,Manhattan,1,Individuals,,,,,,144,
12/31/2018,Brooklyn,6,Individuals,,,100,375,,,
11/30/2018,Brooklyn,17,Individuals,,,,137,,,886
12/31/2018,Brooklyn,14,Individuals,,,,,,,96
01/31/2019,Bronx,10,Individuals,,,,,,,596
11/30/2018,Brooklyn,9,Individuals,,,360,,27,,424
12/31/2018,Queens,12,Individuals,,284,349,966,,787,1035
01/31/2019,Brooklyn,9,Individuals,,,358,,23,,415
10/31/2018,Queens,1,Individuals,,,200,,,258,356
12/31/2018,Bronx,1,Individuals,,174,218,,174,87,1246
11/30/2018,Brooklyn,2,Individuals,,197,378,,,,75
12/31/2018,Queens,4,Individuals,,,,129,,113,385
12/31/2018,Bronx,9,Individuals,,,100,,489,,221
11/30/2018,Brooklyn,10,Individuals,,,,,,,
11/30/2018,Brooklyn,6,Individuals,,,99,281,,,
11/30/2018,Queens,3,Individuals,,,,91,,,862
01/31/2019,Manhattan,1,Individuals,,,,,,145,
11/30/2018,Staten Island,1,Individuals,,,,,,,134
12/31/2018,Manhattan,6,Individuals,,,887,,,,
12/31/2018,Manhattan,11,Individuals,,,1349,,268,,672
12/31/2018,Queens,11,Individuals,,,,,,,
11/30/2018,Bronx,10,Individuals,,,,,,,593
10/31/2018,Brooklyn,16,Individuals,,,650,119,23,381,2584
01/31/2019,Manhattan,3,Individuals,,,877,242,33,226,375
12/31/2018,Bronx,2,Individuals,,193,,,264,,958
01/31/2019,Staten Island,1,Individuals,,,,,,,142
11/30/2018,Manhattan,4,Individuals,,303,267,,,608,
11/30/2018,Queens,2,Individuals,,284,,,,578,218
01/31/2019,Queens,13,Individuals,,,,566,,243,829
10/31/2018,Queens,5,Individuals,,,,109,,,
11/30/2018,Brooklyn,8,Individuals,,58,525,,40,113,512
01/31/2019,Bronx,2,Individuals,,198,,,249,,901
01/31/2019,Brooklyn,18,Individuals,,365,,,,,867
10/31/2018,Queens,13,Individuals,,,,480,,329,826
11/30/2018,Queens,4,Individuals,,,,248,,114,408
12/31/2018,Bronx,10,Individuals,,,,,,,600
11/30/2018,Queens,6,Individuals,,,,,,,
11/30/2018,Queens,8,Individuals,,,,,,,322
12/31/2018,Brooklyn,5,Individuals,,,937,259,,266,840
10/31/2018,Brooklyn,6,Individuals,,,100,286,,,
10/31/2018,Bronx,4,Individuals,,,433,76,1594,,1962
10/31/2018,Brooklyn,10,Individuals,,,,,,,
10/31/2018,Brooklyn,18,Individuals,,374,,,,,875
10/31/2018,Manhattan,8,Individuals,,,80,,,,
01/31/2019,Staten Island,3,Individuals,,,,,,,
10/31/2018,Bronx,7,Individuals,,112,628,,395,,326
01/31/2019,Bronx,1,Individuals,,177,220,,172,84,1271
01/31/2019,Brooklyn,12,Individuals,,,,,,,150
12/31/2018,Bronx,6,Individuals,,100,113,87,522,,2260
11/30/2018,Manhattan,5,Individuals,,291,,,,1841,353
11/30/2018,Brooklyn,14,Individuals,,,,,,,97
10/31/2018,Queens,3,Individuals,,,,91,,,864
10/31/2018,Brooklyn,17,Individuals,,,,137,,,866
12/31/2018,Bronx,11,Individuals,,,,,,,
12/31/2018,Brooklyn,11,Individuals,,,,,,,
11/30/2018,Manhattan,11,Individuals,,,1335,,260,,674
01/31/2019,Queens,5,Individuals,,,,110,,,
10/31/2018,Manhattan,11,Individuals,,,1289,,244,,663
01/31/2019,Queens,12,Individuals,,282,344,1053,,668,1022
01/31/2019,Manhattan,9,Individuals,,,,,54,2,791
12/31/2018,Manhattan,9,Individuals,,78,,,52,,761
10/31/2018,Brooklyn,8,Individuals,,66,520,,37,118,517
12/31/2018,Staten Island,2,Individuals,,,,,,,
10/31/2018,Staten Island,1,Individuals,,,,,,,134
01/31/2019,Manhattan,4,Individuals,,,265,,,649,
10/31/2018,Manhattan,6,Individuals,,,968,,,,
01/31/2019,Manhattan,10,Individuals,,78,559,,49,,841
10/31/2018,Brooklyn,12,Individuals,,,,,,,155
01/31/2019,Bronx,5,Individuals,,275,497,,913,,1056
01/31/2019,Queens,1,Individuals,,,199,,,268,393
12/31/2018,Brooklyn,4,Individuals,,,368,64,60,161,822
11/30/2018,Bronx,12,Individuals,,,108,,268,,300
10/31/2018,Brooklyn,9,Individuals,,,359,,20,,426
01/31/2019,Manhattan,5,Individuals,,308,,,,2055,357
01/31/2019,Brooklyn,6,Individuals,,,100,429,,,
01/31/2019,Manhattan,2,Individuals,,,,,,,
12/31/2018,Staten Island,3,Individuals,,,,,,,
12/31/2018,Bronx,8,Individuals,,,,,,,255
11/30/2018,Manhattan,6,Individuals,,,969,,,,
12/31/2018,Brooklyn,17,Individuals,,,,136,,,898
12/31/2018,Manhattan,3,Individuals,,,886,242,33,223,366
11/30/2018,Manhattan,9,Individuals,,76,,,52,,767
11/30/2018,Bronx,9,Individuals,,,100,,509,,228
11/30/2018,Queens,7,Individuals,,,101,,,142,
11/30/2018,Brooklyn,12,Individuals,,,,,,,156
12/31/2018,Manhattan,5,Individuals,,320,,,,1861,345
11/30/2018,Manhattan,8,Individuals,,,78,,,,
10/31/2018,Manhattan,4,Individuals,,299,268,,,605,
10/31/2018,Manhattan,5,Individuals,,297,,,,1900,353
10/31/2018,Queens,6,Individuals,,,,,,,
11/30/2018,Queens,14,Individuals,,318,,,,142,133
10/31/2018,Staten Island,3,Individuals,,,,,,,
10/31/2018,Brooklyn,3,Individuals,,,549,,249,203,652
10/31/2018,Manhattan,9,Individuals,,74,,,55,,769
12/31/2018,Queens,1,Individuals,,,192,,,213,360
11/30/2018,Brooklyn,3,Individuals,,,561,,246,187,678
11/30/2018,Bronx,6,Individuals,,104,112,87,532,,2253
10/31/2018,Queens,12,Individuals,,277,349,963,,800,1046
10/31/2018,Queens,2,Individuals,,260,,,,557,229
12/31/2018,Bronx,4,Individuals,,,426,76,1514,,1974
01/31/2019,Manhattan,12,Individuals,,,292,,,113,
10/31/2018,Brooklyn,5,Individuals,,,867,262,,269,858
11/30/2018,Manhattan,2,Individuals,,,,,,,
12/31/2018,Bronx,5,Individuals,,279,498,,903,,1041
10/31/2018,Manhattan,10,Individuals,,407,568,,44,,872
12/31/2018,Brooklyn,1,Individuals,,160,684,,,106,
01/31/2019,Brooklyn,14,Individuals,,,,,,,98
01/31/2019,Bronx,6,Individuals,,102,124,90,507,,2318
11/30/2018,Brooklyn,13,Individuals,,,,,,76,
12/31/2018,Manhattan,10,Individuals,,411,564,,50,,869
10/31/2018,Manhattan,2,Individuals,,,,,,,
12/31/2018,Bronx,12,Individuals,,,107,,252,,289
10/31/2018,Queens,4,Individuals,,,,134,,119,394
10/31/2018,Bronx,12,Individuals,,,108,,272,,294
10/31/2018,Brooklyn,1,Individuals,,166,702,,,105,
01/31/2019,Queens,2,Individuals,,301,,,,585,234
01/31/2019,Manhattan,7,Individuals,,,311,,,113,588
11/30/2018,Brooklyn,18,Individuals,,363,,,,,864
12/31/2018,Queens,6,Individuals,,,,,,,
11/30/2018,Manhattan,12,Individuals,,,289,,,120,
11/30/2018,Manhattan,3,Individuals,,,886,243,32,226,376
10/31/2018,Manhattan,7,Individuals,,188,311,,,118,599
10/31/2018,Brooklyn,7,Individuals,,,188,87,,527,13
12/31/2018,Manhattan,2,Individuals,,,,,,,
10/31/2018,Bronx,3,Individuals,,166,429,,261,296,1363
10/31/2018,Brooklyn,14,Individuals,,,,,,,96
11/30/2018,Bronx,1,Individuals,,184,224,,169,87,1253
12/31/2018,Queens,5,Individuals,,,,110,,,
12/31/2018,Brooklyn,18,Individuals,,363,,,,,848
01/31/2019,Brooklyn,4,Individuals,,,369,63,67,174,834
01/31/2019,Queens,4,Individuals,,,,157,,124,411
04/30/2019,Queens,14,Individuals,,285,,,,142,165
04/30/2019,Queens,3,Individuals,,,,90,,,835
04/30/2019,Brooklyn,4,Individuals,,,362,61,52,159,828
04/30/2019,Brooklyn,7,Individuals,,,189,101,,470,12
04/30/2019,Brooklyn,10,Individuals,,,,,,,
04/30/2019,Manhattan,3,Individuals,,,906,233,31,163,370
04/30/2019,Bronx,11,Individuals,,,,,,,
04/30/2019,Manhattan,9,Individuals,,81,,,55,,754
04/30/2019,Brooklyn,9,Individuals,,,366,,,,414
04/30/2019,Staten Island,3,Individuals,,,,,,,
04/30/2019,Queens,7,Individuals,,,99,,,124,
04/30/2019,Manhattan,6,Individuals,,,952,,,,
04/30/2019,Bronx,5,Individuals,,273,493,,894,,1056
04/30/2019,Brooklyn,17,Individuals,,,,135,,,892
04/30/2019,Queens,10,Individuals,342,,274,60,,390,
04/30/2019,Brooklyn,1,Individuals,,152,673,,,91,
04/30/2019,Queens,6,Individuals,,,,,,,
04/30/2019,Manhattan,2,Individuals,,,,,,,
04/30/2019,Queens,13,Individuals,,,,554,,222,781
04/30/2019,Brooklyn,6,Individuals,,,100,427,,,
04/30/2019,Brooklyn,15,Individuals,,,,,,,207
04/30/2019,Manhattan,1,Individuals,,,,,,138,
04/30/2019,Brooklyn,8,Individuals,,66,493,90,,,502
04/30/2019,Bronx,1,Individuals,,179,214,,167,87,1271
04/30/2019,Bronx,7,Individuals,,111,623,,240,,312
04/30/2019,Manhattan,5,Individuals,,311,,,,1710,349
04/30/2019,Manhattan,4,Individuals,,299,265,,,601,
04/30/2019,Queens,5,Individuals,,,,110,,,
04/30/2019,Queens,8,Individuals,,,,,,,313
04/30/2019,Bronx,4,Individuals,,,440,76,1357,,1975
04/30/2019,Bronx,2,Individuals,,185,,,236,,786
04/30/2019,Brooklyn,12,Individuals,,,,,,,146
04/30/2019,Brooklyn,13,Individuals,,,,,,79,
04/30/2019,Brooklyn,2,Individuals,,189,383,,,,76
04/30/2019,Brooklyn,11,Individuals,,,,,,,
04/30/2019,Brooklyn,3,Individuals,,,569,,245,187,670
04/30/2019,Manhattan,10,Individuals,,403,553,,53,,825
04/30/2019,Bronx,9,Individuals,,,101,,475,,219
04/30/2019,Manhattan,11,Individuals,,,1375,,267,,684
04/30/2019,Staten Island,2,Individuals,,,,,,,
04/30/2019,Queens,9,Individuals,,,75,,,,
04/30/2019,Brooklyn,5,Individuals,,,925,256,,261,856
04/30/2019,Brooklyn,18,Individuals,,367,,,,,835
04/30/2019,Manhattan,12,Individuals,,,289,,,111,
04/30/2019,Queens,12,Individuals,,276,332,1089,,602,1040
04/30/2019,Queens,4,Individuals,,,,160,,80,396
04/30/2019,Bronx,6,Individuals,,84,125,89,404,,2212
04/30/2019,Manhattan,8,Individuals,,,80,,,,
04/30/2019,Bronx,12,Individuals,,,105,,,,277
04/30/2019,Staten Island,1,Individuals,,,,,,,135
04/30/2019,Brooklyn,14,Individuals,,,,,,,96
04/30/2019,Queens,11,Individuals,,,,,,,
04/30/2019,Queens,1,Individuals,,,193,,,222,377
04/30/2019,Bronx,3,Individuals,,283,455,,144,279,1379
04/30/2019,Bronx,8,Individuals,,,,,,,250
04/30/2019,Queens,2,Individuals,,261,,,,547,237
04/30/2019,Bronx,10,Individuals,,,,,,,598
04/30/2019,Manhattan,7,Individuals,,96,212,,,,610
