Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEVADA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,2,,2,,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,5,,23,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,2,,2,,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,9,,1,,2,,,-,2,,,-,,-,2,,17,,4,,13,,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,3,,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,6,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,4,,-,2,,,-,2,,,-,0,,,-,,-,,-,5,,,-,4,,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,1,,4,,4,,3,,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,2,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,3,,6,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,2,,,-,1,,,-,1,,,-,1,,,-,5,,,-,3,,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,2,,9,,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,4,,2,,1,,,-,0,,,-,,-,,-,8,,,-,12,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,2,,1,,3,,,-,0,,,-,,-,,-,2,,1,,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,3,,8,,12,,14,,,-,2,,5,,1,,10,,115,,55,,94,,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,3,,1,,3,,,-,0,,,-,,-,,-,10,,2,,7,,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,1,,,-,2,,,-,0,,,-,,-,,-,8,,,-,4,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,3,,,-,4,,,-,0,,,-,,-,3,,16,,14,,16,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,2,,1,,1,,,-,0,,,-,,-,,-,6,,3,,5,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,3,,3,,8,,2,,,-,2,,5,,1,,10,,68,,50,,43,,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,6,,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,2,,2,,1,,,-,0,,,-,,-,,-,6,,,-,3,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,2,,4,,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,1,,9,,12,,21,,,-,1,,,-,,-,5,,135,,25,,80,,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,2,,,-,2,,,-,1,,,-,,-,1,,29,,16,,50,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,2,,1,,1,,,-,0,,,-,1,,,-,3,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,4,,3,,5,,1,,,-,0,,,-,,-,1,,6,,4,,8,,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,2,,1,,,-,,-,0,,,-,,-,,-,7,,1,,12,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,1,,,-,2,,,-,0,,,-,,-,,-,3,,,-,3,,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,1,,3,,3,,3,,,-,0,,,-,,-,2,,10,,6,,8,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,3,,5,,2,,,-,0,,,-,,-,2,,6,,9,,13,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,4,,3,,1,,,-,0,,,-,,-,,-,8,,,-,8,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,1,,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,3,,,-,6,,,-,1,,,-,,-,,-,26,,,-,20,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,4,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,4,,4,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,,-,4,,1,,,-,,-,0,,,-,,-,1,,4,,3,,4,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,3,,2,,1,,,-,0,,,-,,-,,-,4,,,-,2,,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,1,,1,,1,,1,,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,2,,1,,2,,,-,1,,,-,,-,,-,18,,7,,8,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,1,,6,,9,,4,,,-,1,,,-,,-,4,,68,,30,,77,,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,19,,,-,56,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,2,,,-,2,,,-,0,,,-,,-,,-,7,,,-,10,,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,,-,6,,7,,8,,,-,1,,,-,,-,,-,17,,,-,27,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,5,,1,,6,,,-,1,,,-,1,,1,,32,,11,,24,,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,3,,,-,3,,,-,0,,,-,,-,,-,12,,,-,24,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,4,,5,,12,,7,,,-,0,,,-,1,,4,,13,,18,,25,,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,3,,1,,5,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
MASSACHUSETTS,2020,6,,-,3,,2,,5,,,-,0,,,-,,-,,-,12,,,-,28,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
TOTAL,2020,5,7,,32,,68,,90,,1,,2,,6,,5,,43,,330,,247,,580,,,TOTAL,20200570,
US RESIDENTS,2020,5,7,,32,,68,,90,,1,,2,,6,,5,,43,,330,,247,,580,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,1,,1,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,1,,6,,4,,1,,,-,1,,,-,,-,5,,48,,19,,22,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,1,,,-,1,,,-,1,,,-,1,,2,,18,,17,,80,,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,3,,12,,10,,7,,,-,2,,,-,,-,4,,25,,13,,28,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,1,,6,,3,,2,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,1,,8,,5,,5,,,-,0,,,-,,-,1,,20,,13,,28,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,2,,,-,3,,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,2,,2,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,9,,29,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,3,,2,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,3,,9,,7,,3,,,-,2,,,-,,-,4,,20,,10,,21,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,6,,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,5,,7,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,3,,2,,11,,,-,0,,,-,,-,,-,22,,1,,42,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,2,,,-,2,,,-,0,,,-,,-,,-,5,,,-,4,,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,2,,4,,10,,5,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,3,,6,,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,2,,,-,2,,,-,1,,,-,1,,,-,5,,,-,5,,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,2,,11,,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,4,,3,,1,,,-,0,,,-,,-,,-,8,,,-,14,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,2,,1,,4,,,-,0,,,-,,-,,-,2,,2,,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,8,,12,,19,,1,,2,,6,,1,,23,,115,,84,,118,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,3,,1,,3,,,-,0,,,-,,-,,-,10,,6,,8,,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,1,,,-,2,,,-,0,,,-,,-,,-,8,,,-,4,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,3,,,-,4,,,-,0,,,-,,-,1,,16,,15,,26,,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,2,,1,,1,,,-,0,,,-,,-,,-,6,,3,,5,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,3,,8,,3,,1,,2,,6,,1,,22,,68,,72,,50,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,11,,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,2,,2,,3,,,-,0,,,-,,-,,-,6,,,-,3,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,2,,5,,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,1,,9,,13,,23,,,-,1,,,-,1,,3,,140,,28,,109,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,1,,,-,2,,,-,1,,,-,,-,2,,29,,23,,53,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,2,,1,,1,,,-,0,,,-,1,,,-,3,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,3,,5,,2,,,-,0,,,-,,-,,-,6,,4,,9,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,2,,1,,,-,,-,0,,,-,,-,1,,7,,2,,12,,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,1,,,-,2,,,-,0,,,-,,-,,-,3,,,-,5,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,3,,3,,3,,,-,0,,,-,,-,2,,10,,7,,12,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,3,,5,,4,,,-,0,,,-,,-,1,,6,,14,,15,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,4,,3,,3,,,-,0,,,-,,-,,-,8,,,-,12,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,1,,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,3,,,-,7,,,-,1,,,-,,-,1,,26,,3,,27,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,4,,1,,4,,,-,0,,,-,,-,,-,9,,,-,2,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,4,,5,,1,,,-,0,,,-,,-,1,,39,,10,,26,,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,4,,1,,1,,,-,0,,,-,,-,,-,3,,3,,4,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,1,,3,,3,,2,,,-,0,,,-,,-,,-,4,,2,,2,,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,1,,1,,1,,1,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,2,,1,,2,,,-,1,,,-,,-,,-,18,,9,,8,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,1,,6,,12,,5,,,-,1,,,-,,-,8,,92,,52,,115,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,14,,,-,63,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,2,,,-,2,,,-,0,,,-,,-,,-,7,,,-,11,,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,1,,6,,8,,9,,,-,1,,,-,1,,,-,17,,,-,34,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,1,,5,,2,,8,,,-,1,,,-,1,,1,,32,,15,,32,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,3,,2,,4,,,-,0,,,-,,-,,-,12,,,-,28,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,5,,12,,11,,,-,0,,,-,1,,1,,13,,24,,28,,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,3,,1,,6,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
MOUNTAIN,2020,6,3,,5,,16,,14,,,-,0,,,-,1,,,-,13,,22,,32,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,3,,1,,6,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,9,9,,33,,144,,178,,,-,2,,7,,7,,39,,331,,545,,974,,,TOTAL,20200970,
US RESIDENTS,2020,9,9,,33,,144,,178,,,-,2,,7,,7,,39,,331,,545,,974,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,4,,6,,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,,-,6,,6,,4,,,-,1,,,-,1,,6,,48,,36,,47,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,,-,1,,1,,2,,,-,0,,,-,1,,,-,18,,22,,140,,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,4,,14,,26,,23,,,-,2,,,-,1,,5,,25,,41,,49,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,2,,,-,1,,,-,0,,,-,,-,,-,6,,4,,2,,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,,-,8,,10,,14,,,-,0,,,-,,-,,-,20,,21,,51,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,2,,,-,3,,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,,-,2,,1,,,-,,-,0,,,-,,-,,-,3,,4,,3,,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,34,,47,,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,5,,3,,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,10,,15,,16,,,-,2,,,-,1,,5,,23,,37,,38,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,1,,,-,,-,,-,0,,,-,1,,,-,1,,,-,,-,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,1,,1,,,-,,-,0,,,-,,-,,-,3,,2,,6,,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,10,,12,,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,,-,3,,2,,15,,,-,0,,,-,,-,1,,23,,21,,61,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,1,,,-,2,,,-,0,,,-,,-,,-,5,,3,,7,,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,10,,7,,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,2,,2,,3,,,-,0,,,-,,-,,-,6,,6,,6,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,1,,,-,5,,,-,1,,,-,1,,,-,5,,,-,6,,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,9,,16,,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,4,,3,,2,,,-,0,,,-,,-,,-,8,,,-,26,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,2,,2,,7,,,-,0,,,-,,-,,-,2,,3,,1,,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,8,,23,,26,,,-,2,,6,,1,,7,,115,,164,,208,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,3,,3,,6,,,-,0,,,-,,-,,-,10,,7,,17,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,1,,,-,2,,,-,0,,,-,,-,,-,8,,10,,8,,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,2,,3,,4,,4,,,-,0,,,-,,-,4,,16,,23,,51,,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,2,,4,,2,,,-,0,,,-,,-,,-,6,,6,,8,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,1,,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,3,,11,,6,,,-,2,,6,,1,,7,,68,,114,,94,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,2,,,-,1,,,-,0,,,-,,-,2,,7,,10,,18,,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,2,,5,,5,,,-,0,,,-,,-,,-,6,,,-,4,,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,2,,7,,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,4,,9,,34,,39,,,-,1,,1,,1,,16,,141,,124,,184,,,SOUTH ATLANTIC,20200928,
