the_geom,OBJECTID,SURVEY_MONUMENT_ID,MONUMENT_NAME,Y_COORDINATE,X_COORDINATE,ELEVATION,STREET,CROSS_STREET,GRID,SURVEY_MONUMENT_SOURCE
POINT (-98.071791512989 30.65503373231),230,2030037,A322,10209192.81,3007620.64,1348.84,FM 1174,FM 1869,WS-56,
POINT (-97.740748509166 30.195368842859),166,2030221,J-16-4001,10044334.35,3115579.61,610.83,TERI RD,COPPERBEND BLVD,J-16,
POINT (-97.800252981262 30.172894801299),105,2030119,F-14-3001,10035729.77,3096971.63,688.12,SLAUGHTER LANE,SOUTH 1ST STREET,F-14,
POINT (-97.745071945371 30.346010755618),221,2030024,J-29-4001(CB53),10099074.64,3112939.47,671.81,SHOAL CREEK BLVD,NORTH PARK DRIVE,J-29,
POINT (-97.748715021108 30.307451246402),239,2030049,J-25-1001,10085028.06,3112116.43,579.64,WEST 35TH STREET,WEST 38TH STREET,J-25,
POINT (-97.636782119167 30.202826140255),250,2030128,P-16-1001,10047826.49,3148350.39,449.5,FALLWELL LN,E SH 71,P-16,
POINT (-97.750673315357 30.257219449305),171,2030144,H-21-2001(CB09),10066749.86,3111922.74,446.99,SOUTH 1ST STREET,EAST BOULDIN CREEK,H-21,
POINT (-97.703290208076 30.225045087936),190,2030259,L-18-1001,10055402.1,3127155.29,509.08,MONTOPOLIS DRIVE,RIVERSIDE DRIVE,L-18,
POINT (-97.635478302703 30.219501483538),79,2030089,P-18-3001,10053899.37,3148615.08,434.56,FM 973,HORNSBY BLVD,P-18,
POINT (-97.687795428017 30.296364310279),289,2030274,L-24-2001(CB25),10081448.88,3131430.83,554.84,MANOR ROAD,CREEKWOOD ROAD,L-24,
POINT (-97.714934814407 30.289820982186),24,2030167,K-24-3001(CB27),10078867.17,3122924.13,561.07,CHERRYWOOD ROAD,CLARKSON AVENUE,K-24,
POINT (-97.892101325882 30.211355544648),285,2030255,B-17-4001,10049065.39,3067647.81,936.33,SLAUGHTER LANE,BARSTOW AVE,B-17,
POINT (-97.658663124178 30.438988028791),123,2030284,N-37-4003,10133524.24,3139375.22,789.99,DRUSILLAS DR,TRACY MICHELLE DR,N-37,
POINT (-97.730051272306 30.359996155358),98,2030114,J-30-3001,10104270.12,3117557.2,724.05,BURNET ROAD,TEAKWOOD DRIVE,J-30,
POINT (-97.652978977095 30.432537441121),257,2030053,N-36-2001,10131222.04,3141222.47,792.18,W WELLS BRANCH PKWY,S HEATHERWILDE BLVD,N-36,
POINT (-97.680131565955 30.289602143029),56,2030123,M-24-4002,10079047.85,3133907.49,553.77,SPRINGDALE RD,TOUCHSTONE ST,M-24,
POINT (-97.744257465603 30.208808911885),164,2030240,J-17-4002,10049195.25,3114357.58,637.46,E ST ELMO RD,SOUTH INDUSTRIAL DR,J-17,
POINT (-97.710680801067 30.315642206943),66,2030066,K-26-2001(CB20),10088287.08,3124045.02,642.31,BENNETT AVENUE,EAST 55TH STREET,K-26,
POINT (-97.704982792792 30.18631287142),271,2030237,L-15-1001,10041306.82,3126953.67,556.84,SHAW LANE,POLICE ACADEMY,L-15,
POINT (-97.66308607846 30.440641051432),134,2030283,N-37-4002,10134091.77,3137967.38,813.78,W WELLS BRANCH PKWY,DRUSILLAS DR,N-37,
POINT (-97.738724570967 30.325461068638),241,2030054,J-27-3001(CB56),10091649.63,3115115.41,642.54,W. NORTH LOOP BLVD,JEFF DAVIS AVENUE,J-27,
POINT (-97.759376908576 30.241877743096),117,2030150,H-20-3003(CB11),10061108.04,3109304.63,538.99,WEST OLTORF STREET,SOUTH 1ST STREET,H-20,
POINT (-97.681184290309 30.302223779259),256,2030074,M-25-4005,10083628.98,3133465.89,581.85,DARLINGTON LN,OVERDALE RD,M-25,
POINT (-97.721279615124 30.327628481688),262,2030226,K-27-1001,10092566.47,3120599.31,670.72,GUADALUPE STREET,DENSON DRIVE,K-27,
POINT (-97.78374726417 30.194756505259),273,2030239,G-16-4001,10043797.76,3102003.87,682.57,WILLIAM CANON DRIVE,SUNSTRIP DRIVE,G-16,
POINT (-97.703985787547 30.261996316681),75,2030084,L-21-1001(CB40),10068831.96,3126618.05,457.78,TILLERY STREET,BOGGY CREEK,L-21,
POINT (-97.812557970782 30.216521202371),175,2049759,F-18-4001,10051503.94,3092724.74,690.88,WESTGATE BLVD.,DUBLIN DR.,F-18,
POINT (-97.677776785548 30.299180180933),92,2030085,M-25-4002,10082548.02,3134567.34,582.61,TIPTON DRIVE,PENDLETON LANE,M-25,
POINT (-97.79261993603 30.183764118142),274,2030241,F-15-3001,10039736.83,3099292.77,645.53,SOUTH 1ST STREET,DITTMAR ROAD,F-15,
POINT (-97.750342571034 30.328121132763),177,2030135,H-27-2001,10092531.51,3111428.44,663.72,HANCOCK DR,N FRESCO DR,H-27,
POINT (-97.936218040844 30.603434469074),229,2030035,T079,10191323.67,3050643.24,1077.73,ROUND MT. ROAD,HILL COUNTRY DR,WZ-51,
POINT (-97.72676154989 30.325606148639),39,2030155,K-27-4005,10091790.61,3118887.5,694.17,STARK ST,N LAMAR BLVD,K-27,
POINT (-97.738951030955 30.19524359781),48,2030245,J-16-3001,10044302.05,3116148.39,596.26,TERI RD,MASHIE CV,J-16,
POINT (-97.709934429712 30.27159880588),196,2030268,K-22-1001,10072278.98,3124658.18,518.34,ROSEWOOD AVENUE,HARGRAVE STREET,K-22,
POINT (-97.695748240736 30.339329460459),73,2030078,L-28-2001(AUST),10097010.83,3128551.19,710.9,IH 35 NORTH,US HWY 183,L-28,
POINT (-97.739798400325 30.215456469003),63,2030273,J-18-3002,10051645.06,3115709.38,649.78,E BEN WHITE BLVD SVRD,SOUTH INDUSTRIAL DR,J-18,
POINT (-97.749411257787 30.260073164269),120,2030154,J-21-1001,10067796.7,3112296.99,445.77,SOUTH 1ST STREET,RIVERSIDE DRIVE,J-21,
POINT (-97.744978098787 30.177735132577),142,2030163,J-14-1002,10037891.73,3114392.94,517.46,E. WILLIAM CANNON DR,ONION CREEK,J-14,
POINT (-97.746261506956 30.179144816884),283,2030223,J-14-1001,10038394.85,3113975.59,572.57,E. WILLIAM CANNON DR,PLEASANT VALLEY RD,J-14,
POINT (-97.729516190746 30.350473492379),119,2030152,J-29-2001,10100811.74,3117806.97,727.87,MORROW STREET,HARDY DRIVE,J-29,
POINT (-97.809880880944 30.457839299089),8,2030200,EUD107,10139265.16,3091579.37,959.3,LAKE CREEK PKWY,ACORN CREEK TRAIL,F-38,
POINT (-97.704244390663 30.235133212364),100,2030116,L-19-1001,10059062.91,3126767.31,485.96,GROVE BLVD,HOGAN AVENUE,L-19,
POINT (-97.728314826142 30.32260165662),60,2030149,K-27-4002,10090686.73,3118423.16,676.94,N LAMAR BLVD,NELRAY BLVD,K-27,
POINT (-97.853053180436 30.137070500888),140,2030130,MARB,10022328.01,3080581.45,727.12,BLISS SPILLAR RD,FM 1626,D-11,
POINT (-97.763859370401 30.229370241127),183,2050116,H-19-4003,10056194.82,3108564.27,614.02,WEST ALPINE ROAD,WILSON STREET,H-19,
POINT (-97.732369710553 30.270380464463),232,2030039,J-22-2001,10071669.71,3117588.17,499.6,EAST 11TH STREET,IH 35 NORTH,J-22,
POINT (-97.675303368783 30.313559675149),212,2030147,M-26-3002,10087794.83,3135222.75,545.09,AUBURNHILL DRIVE,AUBURNDALE DRIVE,M-26,
POINT (-97.737687207042 30.212862981035),38,2030098,J-17-2001,10050717.64,3116398.05,653.13,BUSINESS CENTER DR,TODD LN,J-17,
POINT (-97.788031367795 30.197043743514),238,2030047,G-16-4003,10044598.4,3100631.72,685.45,W WILLIAM CANNON DR,S 1ST ST,G16,
POINT (-97.805947568937 30.37504989741),276,2030243,A257,10109191.61,3093502.34,677.9,VAUGHT RANCH ROAD,FM 2222,F-31,
POINT (-97.690285978866 30.313200605879),55,2030188,L-26-3003,10087551.64,3130499.57,620.05,GASTON PLACE DR,WESTMINSTER DR,L-26,
POINT (-97.745406765779 30.271771387398),58,2030079,J-22-1002,10072079.46,3113461.96,534.03,GUADALUPE ST,9TH ST,J-22,
POINT (-97.745126763044 30.293572091668),160,2032636,J-24-1003,10080008.06,3113365.87,583.39,28TH,SALADO,J-24,
POINT (-97.750194617611 30.258560681115),80,2030090,J-21-1002,10067241.03,3112062.51,449.71,SOUTH 1ST STREET,BARTON SPRINGS ROAD,J-21,
POINT (-97.855910096836 30.150803243434),109,2030132,C-12-3001,10027301.16,3079567.33,726.32,BRODIE LANE,WINDING BROOK DR,C-12,
POINT (-97.750502447444 30.28021496251),170,2030007,H-23-2001(CB60),10075112.09,3111782.51,479.25,NORTH LAMAR BLVD,WEST 15TH STREET,H-23,
POINT (-97.777544830856 30.233504254336),216,2030003,G-19-2001(CB14),10057931.22,3103639.14,619.3,SOUTHRIDGE DRIVE,WEST BOULDIN CREEK,G-19,
POINT (-97.766675438172 30.290633432887),263,2030227,H-24-4001,10078782.02,3106591.46,577.83,FOREST TRAIL,VISTA LANE,H-24,
POINT (-98.020628098184 30.290579166612),35,2030203,EUD365,10077004.59,3026459.73,,HAMILTON POOL RD,CRUMLEY RANCH RD,WV-24,
POINT (-97.764103580602 30.289466971052),206,2030286,H-24-4003,10078376.64,3107412.76,546.85,WOODMONT AVE.,SHARON LA.,H-24,
POINT (-97.74153336668 30.441692752066),65,2030201,J-37-4001,10133889.08,3113244.67,853,W PARMER LN,MELROSE TRL,J-37,
POINT (-97.807113408447 30.216052390538),29,2049752,F-18-400.,10051372.49,3094447.87,692.71,COATBRIDGE DR.,GATESHEAD DR.,F-18,
POINT (-97.708003239523 30.293403229218),287,2030102,L-24-1002(RM09),10080221.19,3125080.51,586.07,AIRPORT BLVD.,SCHIEFFER AVE.,L-24,
POINT (-97.773534071945 30.242371416441),217,2030004,G-20-3001(CB13),10061184.39,3104831.21,578.16,BRIDGEWAY DRIVE,THORNTON ROAD,G-20,
POINT (-97.723841624913 30.347656602818),282,2030061,K-29-4001,10099829.49,3119620.38,750.35,MORROW STREET,WOODROW AVENUE,K-29,
POINT (-97.759430551973 30.37450097505),174,2030077,H-31-1002,10109328.34,3108171.76,895.31,SPICEWOOD SPRINGS RD,MESA DR,H-31,
POINT (-97.728600491484 30.321946463531),155,2030179,K-27-4003,10090446.4,3118338.63,671.64,FRANKLIN BLVD,N LAMAR BLVD,K-27,
POINT (-97.718076997121 30.251488150009),168,2032647,K-21-3001,10064906.44,3122260.4,447.47,PEDERNALES ST,,K-21,
POINT (-97.801334579513 30.44698061286),91,2030068,F-37-2001,10135378.2,3094361.23,993.31,SWAN DRIVE,ANDERSON MILL RD,F-37,
POINT (-97.727334065137 30.270692296636),242,2030056,K-22-1003,10071820.29,3119174.74,538.74,NAVASOTA STREET,OLIVE STREET,K-22,
POINT (-97.854993483203 30.148374819121),292,2030182,C-12-3002,10026424.63,3079876.65,716.68,BRODIE LANE,FRATE BARKER RD,C-12,
POINT (-97.628190978069 30.291160501679),114,2030051,P-24-2002,10080009.23,3150282.39,549.3,LOYOLA LN,DECKER LN,P-24,
POINT (-97.763386054227 30.295064175213),129,2030065,H-24-1002,10080416.97,3107592.14,581.12,INDIAN TRL,MCCALL RD,H-24,
POINT (-97.74316506361 30.196322142164),128,2030046,J-16-4002,10044663.18,3114808.29,622.25,TERI RD,PAR CV,J-16,
POINT (-97.763993937253 30.248971936655),235,2030184,H-20-1003(CB12),10063653.74,3107787.49,521.51,WEST MARY STREET,SOUTH 6TH STREET,H-20,
POINT (-97.764196246212 30.229532110119),34,2030055,H-19-4002 (RESET),10056584.07,3107886.9,620.64,W ALPINE RD,TALLISON TER,H-19,
POINT (-97.766382383699 30.384905649362),186,2030097,H-32-2004,10113060.73,3105892.84,668.18,N CAPITAL OF TEXAS HWY,SPICEWOOD SPRINGS RD,H-32,
POINT (-97.744192171166 30.161484795137),1,2030186,J-13-4001,10031988.98,3114778.76,562.47,SALT SPRINGS DR,TUPELO DRIVE,J-13,
POINT (-97.734880853379 30.275785596966),153,2030180,J-23-3001,10073616.44,3116749.75,495.87,RED RIVER STREET,EAST 15TH STREET,J-23,
POINT (-97.772510945705 30.263936556803),236,2050863,G-22-3001,10069032.77,3104973.67,450.67,WILLIAM BARTON,COLUMBUS ST,H-22,
POINT (-97.687916876232 30.312398459596),255,2030143,L-26-3002,10087277.76,3131253.85,600.93,GASTON PLACE DR,WELLINGTON DR,L-26,
POINT (-97.838987016281 30.402810407603),214,2029982,D-34-3002,10119050.08,3082859.98,1011.51,RIVER PLACE BLVD,,D-34,
POINT (-97.745046913123 30.265699837194),81,2030092,J-22-4002,10069874.54,3113626.9,473.09,COLORADO STREET,WEST 3RD STREET,J-22,
POINT (-97.68442653621 30.430574173502),208,2030234,M-36-4001,10130270.85,3131331.56,806.59,HOWARD LANE,AVENUE K,M-36,
POINT (-97.729331704384 30.296091601068),68,2030069,K-24-1001,10081040.45,3118328.08,581.38,CAROLYN AVENUE,MONTROSE STREET,K-24,
POINT (-97.683967472469 30.38709570086),162,2030161,M-32-1001(LAM7),10114466.21,3131852.76,733.98,N LAMAR BLVD,W CADDO ST,M-32,
POINT (-97.734366914533 30.252322036614),176,2030168,J-21-3001,10065089.1,3117111.29,454.1,NASH HERNANDEZ SR RD,EAST AVE,J-21,
POINT (-97.649176738246 30.408589048248),202,2030278,EUD214,10122543.74,3142630.54,750.88,HARRIS RIDGE BLVD,WEATHERFORD DRIVE,N-34,
POINT (-97.731323314261 30.273192299785),203,2030279,J-22-2201,10072699.79,3117894.49,537,EAST 13TH STREET,IH 35 NORTH,J-22,
POINT (-98.12821877535 30.422540678869),90,2030108,T035,10124298.48,2991558.12,868.22,STATE HWY 71 WEST,TRAVIS CO LINE,WP-35,
POINT (-97.686139564179 30.38200927188),61,2030095,M-32-4001(BRK2),10112600.56,3131212.11,774.19,N LAMAR BLVD,W BRAKER LN,M-32,
POINT (-97.763523828034 30.290609910281),124,2030219,H-24-4004,10078796.43,3107586.09,542.77,SHARON LN,GRISWOLD LN,H-24,
POINT (-97.736496620186 30.371078920257),246,2030027,J-31-3001(CB51),10108252.18,3115430.88,721.53,CROSSCREEK DRIVE,SHOAL CREEK,J-31,
POINT (-97.689338199601 30.244701139791),122,2030194,L-20-2002,10062653.25,3131390.62,454.89,HERRERA ST,HERGOTZ LN,L-20,
POINT (-97.674635107757 30.26219471828),86,2030103,M-22-3001(CB37),10069124.32,3135879.99,446.09,JOLENA CIRCLE,THURGOOD AVENUE,M-22,
POINT (-97.694546852781 30.258120289277),245,2030057,L-21-2002,10067493.24,3129630.61,453.21,SHADY LANE,BOGGY CREEK,L-21,
POINT (-97.745798519755 30.158540036061),102,2030080,J-13-4002,10030906.47,3114296.14,561.94,SALT SPRINGS DR,THAXTON ROAD,J-13,
POINT (-97.679642881823 30.298248852378),14,2030213,M-25-4003,10082195.35,3133986.67,565.06,MEDFORD DRIVE,NORWOOD HILL ROAD,M-25,
POINT (-97.724508771425 30.318858856675),111,2030139,K-26-1001(CB01),10089354.03,3119655.6,639.85,NORTHLOOP BLVD,CHESTERFIELD AVE,K-26,
POINT (-97.756280580994 30.278737663083),133,2030209,H-23-3002,10074532.66,3109971.58,554.87,LORRAIN ST,W 12TH ST,H-23,
POINT (-97.638310255367 30.310028977626),3,2030189,P-26-4002,10086791.96,3146923.31,628.64,BREEZY HILL DRIVE,COMPASS DRIVE,P-26,
POINT (-97.794739356547 30.168216629167),76,2030086,F-14-3002,10034068.51,3098752.31,682.55,SLAUGHTER LANE,FRANCIA TRAIL,F-14,
POINT (-97.681489094049 30.299509014298),125,2030044,M-25-4004,10082639.63,3133393.26,576.46,DARLINGTON LN,NORWOOD HILL RD,M-25,
POINT (-97.672939328657 30.267825277903),251,2030202,M-22-2002,10071184.31,3136366.24,538.32,HAROLD CT,TANNEHILL LN,M-22,
POINT (-97.74454194407 30.273478905068),37,2030082,J-22-1001,10072706.65,3113720.44,544.72,GUADALUPE ST,,J-22,
POINT (-97.7892226228 30.238821561317),145,2030166,G-20-4002,10059780.04,3099908.01,695.58,SOUTH LAMAR BLVD,PANTHER TRAIL,G-20,
POINT (-97.727862024982 30.287656070557),135,2032661,K-24-4001,10077984.24,3118863.63,580.13,E. DEAN KEETON ST,,K-24,
POINT (-97.718129593381 30.406034105864),266,2030230,K-34-3001,10121097.11,3120922.54,732.25,GAULT LANE,BURNET ROAD,K-34,
POINT (-97.814893721683 30.212661237962),178,2049774,E-17-2001,10050083.76,3092018.94,709.21,WESTGATE BLVD.,CORNISH CIR.,E-17,
POINT (-97.700638922113 30.276726020114),130,2030185,L-23-4002,10074212.49,3127547.62,545,E 12TH ST,AIRPORT BLVD,L-23,
POINT (-97.780786502368 30.193873879743),247,2030059,G-16-3002,10043498.29,3102946.38,662.57,WILLIAM CANON DRIVE,SKYNOOK DRIVE,G-16,
POINT (-97.749100983008 30.318764903739),219,2030008,J-26-1001(CB57),10089138.77,3111899.09,603.95,WEST 45TH STREET,ERIN LANE,J-26,
POINT (-97.679424297977 30.273918019616),62,2030197,M-23-4001,10073350.65,3134266.72,483.07,HUDSON ST,ELEANOR ST,M-23,
POINT (-97.651061106049 30.433360464006),40,2030229,N-36-2002,10131535.84,3141819.5,792.42,S HEATHERWILDE BLVD,W WELLS BRANCH PKWY,N-36,
POINT (-97.747245960206 30.291396908042),22,2032618,J-24-1005,10079201.62,3112715.61,593.14,SAN GABRIEL,POPLAR,J-24,
POINT (-97.81188684062 30.210726427494),50,2049769,F-17-1001,10049401.78,3092984.43,710.97,ALDFORD DR.,BLARWOOD DR.,F-17,
POINT (-97.510990122015 30.350481499883),277,2030244,A260,10102495.57,3186713.88,552.42,HWY 290 EAST,BELTEX DRIVE,V-29,
POINT (-97.7152245069 30.404520024637),204,2030281,K-34-3002,10120568.15,3121851.04,731.79,GAULT LANE,BURNET ROAD,K-34,
POINT (-97.761803290872 30.230305142514),243,2030005,H-19-4001(CB15),10056882.6,3108635.93,598.44,LIGHTSEY ROAD,SOUTH CONRESS AVENUE,H-19,
POINT (-97.740998364209 30.358705277742),10,2030206,J-30-4001(CB52),10103720.15,3114116.49,700.87,SHOAL CREEK BLVD,FOSTER LANE,J-30,
POINT (-97.785413127157 30.234218198109),193,2030263,G-19-1002,10058133.81,3101149.02,693.09,MANCHACA ROAD,PRATHER LANE,G-19,
POINT (-97.735545796905 30.377351971891),222,2030026,J-31-2001(CB50),10110539.99,3115677.37,743.94,US HWY 183,SHOAL CREEK BLVD,J-31,
POINT (-97.798452175827 30.366430444578),107,2030124,F-30-2001,10106111.41,3095936.75,598.83,RM 2222,CITY PARK ROAD,F-30,
POINT (-97.619964660421 30.293394867427),9,2030204,T033,10080884.83,3152858.14,607.74,DECKER LANE,DECKER LAKE RD,Q-24,
POINT (-97.503683671128 30.277461003429),191,2030261,EUD255,10076005.97,3189693.19,559.04,BLAKE MANOR ROAD,LOOKWOOD SPRINGS RD,V-23,
POINT (-97.762080470673 30.228419089896),17,2030216,H-19-4003,10056194.82,3108564.27,614.02,W. ALPINE ROAD,CONGRESS AVENUE,H-19,
POINT (-97.711197584237 30.270935117855),143,2030164,K-22-1002,10072028.27,3124265.23,498.45,ROSEWOOD AVENUE,WALNUT STREET,K-22,
POINT (-97.752096062345 30.269603978551),218,2030006,H-22-2002(CB61),10071242.35,3111369.16,460.37,WEST 5TH STREET,WEST AVENUE,H-22,
POINT (-97.685660345465 30.237162789448),28,2030246,M-19-1001,10059940.02,3132616.88,474.69,THOMPSON LN,BASTROP HWY NB,M-19,
POINT (-97.726992020961 30.268361072603),113,2030142,K-22-1004,10070975.21,3119302.55,531.58,EAST 11TH STREET,ROSEWOOD AVENUE,K-22,
POINT (-97.816536356416 30.185843625011),99,2030115,E-15-2001,10040321.17,3091720.86,752.41,MANCHACA ROAD,DAVIS LANE,E-15,
POINT (-97.700971892879 30.512814542594),233,2030040,A314,10160048.46,3125410.92,764.35,RR 620,DEEP WOOD DRIVE,L-43,
POINT (-97.716988752274 30.259651480388),249,2032660,K-21-2001,10067882.62,3122534.09,473.19,E. 6TH ST,,K-21,
POINT (-97.671016642854 30.229979852843),253,2030094,M-19-3001,10057438.76,3137302.42,441.75,DALTON LN,SHERMAN RD,M-19,
POINT (-97.629422055334 30.229132479815),85,2030101,P-19-2001,10057447.48,3150442.24,434.43,FM 973,GARDEN GATE DRIVE,P-19,
POINT (-97.956183297425 30.22160807108),149,2030174,A253,10052354.94,3047331,1086.02,HWY 290 WEST,FITZHUGH ROAD,WY-18,
POINT (-97.784541212834 30.235618581728),150,2030175,G-19-1001,10058649.29,3101412.63,686.93,MANCHACA ROAD,VALLEY VIEW ROAD,G-19,
POINT (-97.751069510446 30.2826501326),131,2030153,H-23-2002,10075993.34,3111583.01,482.4,N LAMAR BLVD,SHOAL CREEK BLVD,H-23,
POINT (-97.695107162215 30.421128333305),284,2030253,L-35-1002,10126756.5,3128047.89,760.6,IRONGATE AVENUE,SINGLETREE AVENUE,L-35,
POINT (-97.764103401009 30.289466499895),280,2030250,H-24-4002,10078376.47,3107412.82,547.04,WOODMONT AVE,SHARON LANE,H-24,
POINT (-97.769437269813 30.261903365234),184,2050849,H-22-4004,10068315.87,3105960.82,468.67,ZILKER PARK ACCESS RD,ROBERT E LEE RD,H-22,
POINT (-97.655194531562 30.399698307755),264,2030257,N-33-2001,10119265.51,3140811.94,732.94,PARMER LANE,HARRISGLENN DRIVE,N-33,
POINT (-97.731336270533 30.338806301781),281,2030252,J-28-2001(CB54),10096556.25,3117332.28,691.62,BRENTWOOD DRIVE,ARROYO SECA,J-28,
POINT (-97.768558563664 30.248992748315),19,2030218,H-20-1001,10063628.05,3106346.41,522.05,SOUTH LAMAR BLVD,HETHER STREET,H-20,
POINT (-97.727503784708 30.308032364711),88,2030106,K-25-1001(CB03),10085395.49,3118803.09,608.99,AVENUE F,WALLER CREEK,K-25,
POINT (-97.682778111094 30.231129705993),23,2030177,M-19-4001,10057768.14,3133579.08,457.51,PATTON AVE,BASTROP HWY SVRD,M-19,
POINT (-97.79715985867 30.19747004497),4,2030192,F-16-3001,10044687.54,3097745.05,723.63,CROSSWOOD DRIVE,HILLSIDE OAKS,F-16,
POINT (-97.729498173021 30.36207479129),101,2030117,J-30-2001,10105029.97,3117713.9,729.24,BURNET ROAD,STECK AVENUE,J-30,
POINT (-97.818877435395 30.182166764139),89,2030107,E-15-3001,10038967.54,3091011.59,746.26,MANCHACA ROAD,SEDGEMOOR DRIVE,E-15,
POINT (-97.674632600577 30.226548539951),156,2030081,M-18-2001,10056163.87,3136190.6,441.64,DALTON LN,HAWKINS LN,M-18,
POINT (-97.695443694063 30.309230931585),21,2030162,L-26-3004,10066069.7,3128906.79,613.72,CLOVERLEAF DR,BERKMAN DR,L-26,
POINT (-97.622689819399 30.332321448584),6,2030195,Q-28-4001,10095016.82,3151653.38,630.24,GILES ROAD,HWY 290 EAST,Q-28,
POINT (-97.749500504507 30.334446144385),220,2030023,J-28-4001(CB55),10094837.39,3111640.61,648.65,ALLANDALE ROAD,SHOAL CREEK BLVD,J-28,
POINT (-97.796540797471 30.140098458471),41,2043925,F-11-2001,10023831.79,3098416.36,634,IH 35,FM 1626,F-11,
POINT (-97.680316174181 30.270691233208),227,2030033,M-22-1001(CB35),10072170.72,3134013.25,465.83,ELEANOR STREET,HAROLD COURT,M-22,
POINT (-97.655443153363 30.214217011513),53,2030172,N-17-2001,10054825.66,3142357.32,494.6,CARDINAL LOOP,SHAPARD LN,N-17,
POINT (-97.801885715389 30.369147229934),82,2030093,F-31-3001,10107074.56,3094831.72,622,RM 2222,JESTER BLVD,F-31,
POINT (-97.503203646757 30.4408903262),87,2030105,T030,10135427.88,3188332.66,579.82,CAMERON ROAD,HERMAN LANE,V-37,
POINT (-97.675168160711 30.313343496341),211,2030183,M-26-3004,10087717.25,3135267.28,544.38,AUBURNHILL DRIVE,AUBURNDALE DRIVE,M-26,
POINT (-97.791025023972 30.183300274247),215,2030002,G-15-4001,10039579.69,3099800.43,635.53,DITTMAR ROAD,ELDERBERRY DR,G-15,
POINT (-97.753094289581 30.284885126335),54,2030271,H-23-2003,10076791.14,3110925.22,496.74,N LAMAR BLVD,OLD 19TH ST,H-23,
POINT (-97.878448780159 30.306000004115),240,2030052,EUD177,10083573.15,3071199.71,858.33,PATTERSON ROAD,,B-25,
