Year,Month,Average EMS Turnout Time,Average EMS Travel Time,Average Non-EMS Turnout Time,Average Non-EMS Travel Time,Average Call Processing Time,Average Non-EMS Operational Response Time,Average EMS Operational Response Time,Average Structure Fire Operational Response Time,Average Critical ALS Operational Response Time
2017,June,0:00:53,0:04:31,0:00:53,0:04:30,0:01:03,0:06:26,0:06:37,0:05:08,0:05:39
2017,July,0:00:54,0:04:31,0:00:53,0:04:33,0:01:03,0:06:27,0:06:38,0:05:08,0:05:41
2017,August,0:00:53,0:04:26,0:00:53,0:04:32,0:01:05,0:06:25,0:06:33,0:05:08,0:05:41
2017,September,0:00:53,0:04:33,0:00:53,0:04:33,0:01:04,0:06:26,0:06:40,0:05:13,0:05:43
2017,October,0:00:54,0:04:31,0:00:54,0:04:32,0:01:04,0:06:26,0:06:39,0:05:13,0:05:45
2017,November,0:00:52,0:04:27,0:00:52,0:04:24,0:01:04,0:06:14,0:06:32,0:05:13,0:05:34
2017,December,0:00:54,0:04:35,0:00:53,0:04:37,0:01:04,0:06:25,0:06:30,0:05:09,0:05:41
2018,January,0:00:54,0:04:33,0:00:53,0:04:30,0:01:04,0:06:23,0:06:38,0:05:09,0:05:43
2018,February,0:00:53,0:04:29,0:00:53,0:04:30,0:01:04,0:06:24,0:06:36,0:05:09,0:05:43
2018,March,0:00:53,0:04:32,0:00:52,0:04:28,0:01:04,0:06:20,0:06:39,0:05:08,0:05:47
2018,April,0:00:53,0:04:27,0:00:53,0:04:26,0:01:06,0:06:21,0:06:35,0:05:08,0:05:42
2018,May,0:00:53,0:04:25,0:00:52,0:04:25,0:01:05,0:06:19,0:06:31,0:05:08,0:05:41
2018,June,0:00:54,0:04:29,0:00:53,0:04:30,0:01:06,0:06:24,0:06:37,0:04:50,0:05:43
2018,July,0:00:54,0:04:31,0:00:55,0:04:37,0:01:07,0:06:34,0:06:42,0:04:50,0:05:45
2018,August,0:00:53,0:04:30,0:00:54,0:04:32,0:01:07,0:06:22,0:06:30,0:04:50,0:05:36
2018,September,0:00:53,0:04:28,0:00:54,0:04:27,0:01:07,0:06:22,0:06:34,0:04:57,0:05:38
2018,October,0:00:53,0:04:28,0:00:52,0:04:28,0:01:05,0:06:24,0:06:36,0:04:57,0:05:44
2018,November,0:00:54,0:04:33,0:00:53,0:04:38,0:01:04,0:06:33,0:06:40,0:04:57,0:05:48
2018,December,0:00:53,0:04:30,0:00:52,0:04:26,0:01:03,0:06:20,0:06:35,0:05:04,0:05:40
2019,January,0:00:53,0:04:30,0:00:51,0:04:29,0:01:03,0:06:20,0:06:36,0:05:04,0:05:40
2019,February,0:00:53,0:04:28,0:00:51,0:04:30,0:01:04,0:06:19,0:06:33,0:05:04,0:05:44
2019,March,0:00:52,0:04:31,0:00:50,0:04:26,0:01:06,0:06:18,0:06:39,0:04:59,0:05:46
2019,April,0:00:52,0:04:33,0:00:51,0:04:30,0:01:06,0:06:23,0:06:41,0:04:59,0:05:43
2019,May,0:00:52,0:04:34,0:00:51,0:04:26,0:01:06,0:06:21,0:06:42,0:04:59,0:05:51
2019,June,0:00:51,0:04:33,0:00:51,0:04:27,0:01:05,0:06:19,0:06:40,0:04:58,0:05:45
2019,July,0:00:52,0:04:33,0:00:52,0:04:32,0:01:04,0:06:25,0:06:40,0:04:58,0:05:38
2019,August,0:00:52,0:04:33,0:00:52,0:04:35,0:01:04,0:06:28,0:06:39,0:04:58,0:05:44
2019,September,0:00:52,0:04:32,0:00:51,0:04:28,0:01:04,0:06:20,0:06:38,0:05:02,0:05:40
2019,October,0:00:52,0:04:39,0:00:52,0:04:39,0:01:02,0:06:33,0:06:43,0:05:02,0:05:54
2019,November,0:00:52,0:04:38,0:00:52,0:04:35,0:01:03,0:06:28,0:06:44,0:05:02,0:05:49
2019,December,0:00:51,0:04:36,0:00:51,0:04:32,0:01:02,0:06:22,0:06:39,0:05:03,0:05:40
2020,January,0:00:52,0:04:36,0:00:51,0:04:28,0:01:02,0:06:18,0:06:40,0:05:03,0:05:41
2020,February,0:00:51,0:04:37,0:00:50,0:04:31,0:01:03,0:06:19,0:06:42,0:05:03,0:05:40
2020,March,0:00:51,0:04:37,0:00:50,0:04:25,0:01:05,0:06:15,0:06:45,0:05:00,0:05:40
,,,,,,,,,,
