Facility Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Fax,Latitude,Longitude,Description,History,ESA Listing Description,Cooperative Project Description,Seasonal Activities,County,WRIA,Salmon Recovery Region,Lead Entity,PSC Code,Image,Last Updated,GeoLocation
Similkameen Hatchery,2098 Hwy 7 ,,Oroville,WA,98844     ,5094763130,5094763124,48.921,-119.4435,No Data.,No Data.,,,,Okanogan,OKANOGAN,Upper Columbia River,Okanogan County Lead Entity,3F42001  490325 H01,,05/16/2012 12:00:00 AM,
Barnaby Slough Pond,c/o Marblemount Hatchery 8319 Fish Hatchery Ln,,Marblemount,WA,98267-9735,3608732000,3608739021,48.4802,-121.5499,No Data.,Barnaby Slough Pond was constructed in 1962.    The pond rears Skagit steelhead.  The staff handle Skagit Steelhead  that return to the facility.,No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,Adult spawning:December through January;Moving fry to holding ponds:December;Release of Fish:May;Rearing Fish:December through April,Skagit,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,3F10208  031343 H,,08/01/2013 12:00:00 AM,
Glenwood Springs,,,,,,,,48.6821,-122.8822,No data.,No data.,,,,San Juan,SAN JUAN,,,3F10707  020065 H,,05/05/2008 12:00:00 AM,
Whitehorse Hatchery,PO Box 430,,Darrington,WA,98241     ,3604361259,3604362047,48.2755,-121.7185,No Data.,No Data.,,,,Snohomish,STILLAGUAMISH,Puget Sound,Stillaguamish River Salmon Recovery Co-Lead Entity,3F10308  050254AH,,05/16/2012 12:00:00 AM,
Puyallup Hatchery,1416 14th St SW,,Puyallup,WA,98371     ,2538404593,2538404724,47.1778,-122.3138,"Formerly known as the Puyallup Trout Hatchery, the Puyallup Hatchery is funded   with Wildlife funds and is located on the upper reaches of Clarks Creek, a tributary of the Puyallup River.  The hatchery became operational in 1948,  and has a water right of 15 cfs.","Formerly known as the ""Puyallup Trout Hatchery"", the Puyallup Hatchery is located in downtown Puyallup WA, on the upper reaches of Clarks Creek, a tributary of the Puyallup River. The hatchery became operational in 1948, and is owned and funded by WDFW. The facility consists of sixteen 40-foot diameter round ponds, eight 9 x 70-foot raceways, two 130-foot raceways, six standard raceways, and two large rearing ponds. The incubation building contains 112 shallow trough incubators, and five vertical half stacks.<br /><br />The facility supports coho salmon programs that provide harvest opportunities for regional recreational fishers and tribal commercial, ceremonial and subsistence fisheries. It also provides incubation and early-rearing for the White River Spring Chinook Recovery program (Muckleshoot and Puyallup tribes); around 800,000 fry are transferred to the White River Acclimation Pond.<br /><br />Rainbow trout produced at Puyallup Hatchery are grown to a release size of around 2.5 fish per pound (often referred to as ""legals""). These fish are planted into in King, Pierce and Thurston county lakes for the popular ""opening day"" of lowland lake fishing season (typically in the third week in April), as well as other year-round waters. Volunteer-run net pen programs in various local lakes bolster recreational fishing opportunities. The Puyallup Hatchery also supplies fish for different Youth Fishing Derby events to promote angler education, including the Washington State (aka ""Puyallup"") Fair fishing pond.",No ESA listed species are reared at this facility.,"Volunteer rearing (cooperative projects):<blockquote>Silver Lake Net Pen: 30,000 Rainbow<br/>Tanwax Lake Net Pen: 15,000 Rainbow<br/>Bills Boat House Net Pen: 6,000 Rainbow<br/>Army Net Pen: 55,000 Rainbow</blockquote>Salmon in the Classroom (educational projects): None",,Pierce,PUYALLUP-WHITE,Puget Sound,Pierce County Lead Entity,3F10511  100027 H,,05/16/2012 12:00:00 AM,
Elochoman Hatchery,1318 Elokoman Valley Road,,Cathlamet,WA,98612     ,3607953608,3607956029,46.2605,-123.2986,No Data.,This facility has closed. ,,,,Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  250236 H,,05/16/2012 12:00:00 AM,
Whatcom Creek Hatchery,,,,,,,,48.7554,-122.4826,No data.,No data.,,,,Whatcom,NOOKSACK,,,3F10107  010566 H01,,05/05/2008 12:00:00 AM,
Colville Hatchery,390 N Hofstetter,,Colville,WA,99114     ,5096847424,5096847366,48.5475,-117.8972,"Colville Hatchery sits on 20 acres in the middle of Colville, a town of 5000 people. The facility was built in 1944 but has recently been upgraded in all phases of its design. With all rearing containers housed inside the building, the fifty degree well water grows trout fry for northeast Washington lakes. The rearing program includes wild red band rainbow, triploid rainbow, west slope cutthroat, eastern brook, and kokanee.","Colville Hatchery sits on 20 acres in the middle of Colville, a town of 5000 people.    The facility was built in 1944 but has recently been upgraded in all phases of its design. With all rearing containers housed inside the building, the  fifty degree well water grows trout fry for northeast Washington lakes. The rearing program includes wild red band rainbow, triploid rainbow, west slope cutthroat, eastern brook, and kokanee.   The hatchery is also responsible  for two remote site egg taking facilities, Phalon Lake, and Kings Lake.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 2 TO 4<br/>Salmon in the Classroom (educational projects): 2 ,,Stevens,COLVILLE,,,3F42001  590188 H,,05/16/2012 12:00:00 AM,
Wells Hatchery,24621 SR97,,Pateros,WA,98846     ,5099232728,5099232578,47.9468,-119.8706,Wells Hatchery is owned and funded by Douglas County PUD and operated by the State of Washington Department of Fish and Wildlife.  ,"Wells Hatchery is owned and funded by Douglas County PUD and operated by the State of Washington Department of Fish and Wildlife.  It was constructed in 1967 as mitigation for fishery losses caused by the construction and   operation of Wells Dam.  It is used for adult collection, egg incubation   and rearing of summer steelhead and chinook.  It is also used for  rearing rainbow trout.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Chelan,CHELAN,,Chelan County Lead Entity,3F42001  470001 H02,,05/16/2012 12:00:00 AM,
Hurd Creek Hatchery,955 Fasola Road,,Sequim,WA,98382     ,3606831738,3606813474,48.1197,-123.1433,The Hurd Creek hatchery began operation in 1980. Its primary purpose is to aid in wild stock restoration. ,"The Hurd Creek Hatchery began operation in 1980. Its primary purpose is to aid in wild stock restoration. Hurd Creek has been utilized in the recovery and supplementation of Dungeness Chinook and Pink Salmon,  Elwha Chinook, Snow Creek Coho and Salmon, and Jimmy Come Lately Creek Chum.   Hurd Creek Hatchery was responsible for the Dungeness Chinook Captive Broodstock program. Wild Dungeness Chinook eggs were brought into the facility  and reared to adults on site. This and other programs have contributed to the increase and stability of several ESA listed stocks of fish.",The Elwha and Dungeness Chinook and both Summer Chum Stocks., Volunteer rearing (cooperative projects): Over 3500 lbs of Rainbow Trout are  reared every year for an annual Kids Fishing day held in May  in the City of Sequim.<br/>Salmon in the Classroom (educational projects): 10 ,Adult spawning :done at other facilities;Moving fry to holding ponds:December through February;Release of fish:April through July;Rearing of fish:Year round,Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,3F10806  180028 H,,05/16/2012 12:00:00 AM,
Bingham Creek Hatchery,W 3914 Fish Hatchery Road,,Elma,WA,98541     ,3604262369,3604277934,47.1461,-123.4003,"The Bingham Creek Hatchery sits on approximately 5 acres and is owned and operated by the Washington Department of Fish and Wildlife. It is located on RM 17.5 on the Satsop River, a tributary of the Chehalis River which flows into Grays Harbor near Aberdeen, WA.  The hatchery site is located 18 miles North of Brady off Highway 12 or 22 miles West of Shelton off Highway 101.<p/> The hatchery was originally constructed in 1948 and a major remodel occurred in 1995. ","Originally called ""Simpson State Salmon Hatchery,"" this five-acre facility was constructed in 1948, and is owned and operated by WDFW. It is located 18 miles north of Brady WA, off Highway 12, or 22 miles west of Shelton off Highway 101 at RM 17.5 on the Satsop River, a tributary of the Chehalis River which flows into Grays Harbor near Aberdeen WA.<br /><br />The facility rears early- and late- coho, chum, and Chinook salmon, and late- winter steelhead. Some of the production are transferred to the Satsop Springs facility, which is owned and operated by the Chehalis Basin Task Force. Hatchery production from this facility plays an important role in freshwater recreational fisheries, as well as ocean commercial and sport, and Tribal ocean and Grays Harbor troll and gillnet fisheries. The facility also supports several Regional Education Co-ops, and the Westport and Friends Landing net pens coho programs.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects) - 9 <br/>Salmon in the Classroom (educational projects): None<br/> Egg Projects-9,Adult spawning:November through April;Moving fry to holding ponds:January through June;Release of Fish:April through May;Rearing Fish:Year round,Mason,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,3F21802  220360 H,,05/16/2012 12:00:00 AM,
Issaquah Hatchery,125 W Sunset Way,,Issaquah,WA,98027     ,4253919094,4253923180,47.5295,-122.0386,"Issaquah Hatchery is unique in that it is situated in the heart of an urban area,  downtown Issaquah.  It was originally constructed in 1936. ","Issaquah Hatchery is unique in that it is situated in the heart of an urban area,  downtown Issaquah.  It was originally constructed in 1936.  Three of four phases  of reconstruction have been completed.  The facility now boasts an educational  Watershed Science Center and two large adult viewing platforms, bridge and  viewing windows.  The hatchery rears Issaquah Creek chinook and Issaquah Creek  coho.  Hatchery staff also handle Issaquah Creek chinook, Issaquah Creek coho,  Issaquah Creek sockeye, Issaquah Creek cutthroat, Issaquah Creek rainbow,  and Lake Washington steelhead, that are returning to spawn naturally.",Issaquah hatchery chinook are included in the Puget Sound Chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): 16<br/>Salmon in the Classroom (educational projects): over 100,Adult spawning:September through November;Moving fry to holding ponds:December through February;Release of Fish:March through June;Rearing Fish:Year round,King,CEDAR-SAMMAMISH,Puget Sound,WRIA 8 - King County Lead Entity,3F10510  080178 H,,05/16/2012 12:00:00 AM,
Washougal Hatchery,15632 Washougal River Rd,,Washougal,WA,98671     ,3608373311,3608373996,45.6518,-122.166,No Data.,,No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1 <br/>Salmon in the Classroom (educational projects): 1 ,,Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  280159 H,,05/16/2012 12:00:00 AM,
Columbia Basin Hatchery,6785 Road K NE #A,,Moses Lake,WA,98837     ,5097657714,5097662275,47.1862,-119.2526,The Columbia Basin Hatchery was built in the early 1960's as part of a mitigation package for the construction of Priest Rapids and Wanapum dams.    The facility is approximately 4 miles north of Moses Lake where there is a significant groundwater presence. The hatchery raises mainly rainbow trout for stocking into lowland lakes and has small warm water fish culture program.,"The Columbia Basin Hatchery is a WDFW-owned/funded facility, built in the early-1960s as part of a mitigation package for the construction of Priest Rapids and Wanapum dams, with funding support from Grant County PUD. Following the relicensing of the Priest Rapids Hydroelectric Project by FERC in 2008, WDFW entered into a contract for hatchery renovations and upgrades funded by the PUD.<br /><br />The facility is located approximately four miles north of Moses Lake, where there is a significant groundwater presence. The water source comes from Gloyd Springs Creek; the amount of available water is influenced by the irrigation from the Columbia Basin Reclamation project. The hatchery raises mainly rainbow trout and other trout species (e.g. Lahontan cutthroat) for stocking into lowland lakes in Grant, Adams and Douglas counties. The facility's outlet channel is also a popular Youth Fishing site.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,Incubating eggs and hatching fry:November through December;Moving fry to rearing ponds:January through February;Release of Fish:March through October;Rearing Fish:Year round,Grant,LOWER CRAB,,,3F42001  411199 H,,05/20/2016 12:00:00 AM,
Lewis River Hatchery,4404 Lewis River Road,,Woodland,WA,98674     ,3602257413,3602259512,45.937,-122.6165,The Lewis River Hatchery program was started in 1909 on Johnson Creek and was  moved to the present site in 1923. ,"The Lewis River Hatchery program was started in 1909 on Johnson Creek and was  moved to the present site in 1923.  It is located approximately eight miles east of Woodland, Washington on the North Fork Lewis River.<br /><br />The Lewis River Hatchery serves to replace fish lost due to land development and the construction of four hydroelectric projects on the North Fork Lewis River.  The Lewis Hatchery is currently being fully funded by local funds   provided by PacifiCorp as mitigation for lost fish habitat on the North  Fork system.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 4<br/>Salmon in the Classroom (educational projects): 20+,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270168 H,,05/16/2012 12:00:00 AM,
McKernan Hatchery,W 411 Deyette Road,,Shelton,WA,98584     ,3604272163,3604272131,47.3066,-123.203,No Data.,"McKernan Hatchery began operations in 1978, using 1977 Salmon Enhancement Funds. The facility is owned and maintained by WDFW, and is located at river mile 1 on Weaver Creek, tributary to the lower Skokomish River. The hatchery fall chum production was developed to augment harvest opportunities and provide partial mitigation for reduced natural production in the Skokomish system, primarily caused by hydroelectric development on the NF Skokomish River. An incubation building was added and some pond modifications were made in 1994. The site consists of an in-stream rearing pond, three raceways, fiberglass circular ponds, and an asphalt-bottom combination adult holding/rearing pond.<br /><br />The facility was targeted for closure due to budget cuts in 2010. WDFW signed a five-year partnership with Purse Seine Vessel Owners Association (PSVOA) to fund continuing operations for the chum program. The contract ended in 2015, and was extended for one year, through June 2016.<br /><br />From 2007 through 2013, the facility supported the NOAA-funded Hood Canal Winter Steelhead Supplementation Project. Eyed embryos were collected from redds produced by natural spawners in the SF Skokomish River. The eggs were incubated and reared at McKernan Hatchery, then released as yearlings directly into their in the lower reaches of natal streams without acclimation in late-April/early-May. The program was discontinued in 2014.",,,,Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,3F10412  160006 H,,05/16/2012 12:00:00 AM,
Sol Duc Hatchery,1423 Pavel Road,,Beaver,WA,98305     ,3603273246,3603273276,48.0555,-124.306,The Sol Duc Hatchery began operation in 1970. ,"The Sol Duc Hatchery began operation in 1970. The facility has a spring that  produces up to 25,000 GPM and three pumps on the river that produce 3,000  GPM each. The property spans 43 acres and consists of an incubation building with office, shop, a four-bay storage building, interpretive center,   a pump building and three residences. The Sol Duc Hatchery is located    on Sol Duc River mile 30. The hatchery rears Sol Duc Spring Chinook, Summer Coho, Fall Coho, and Rainbow Trout. Late winter Steelhead are reared and then transferred to the Snider Creek pond in conjunction with the Olympic  Guides Association. The hatchery provides support for the Elwha Rearing   Channel by rearing 3 million Elwha Fall Chinook. Multiple transfer  and plant strategies are involved.",Elwha Fall Chinook are included in the Puget Sound Chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects): None,,Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,3F21703  200096 H02,,05/16/2012 12:00:00 AM,
Tucannon Hatchery,2303 Tucannon Road,,Pomeroy,WA,99347     ,5098431430,5098433623,46.3201,-117.6628,The Washington Department of Game began fish production at the Tucannon Hatchery in 1949.  The facility was significantly renovated in 1982 using  USFWS funds administered by the Lower Snake River Compensation Plan.  ,"The Washington Department of Game began fish production at the Tucannon Hatchery in 1949.  The facility was significantly renovated in 1982 using  USFWS funds administered by the Lower Snake River Compensation Plan. This program was developed to mitigate for fish losses as a result of  construction of the four lower Snake River dams, and funds hatchery operation each year.  Staff at the facility are responsible for trapping  adult Spring Chinook salmon at the Tucannon Hatchery for spawning downstream  at Lyons Ferry, monitor steelhead escapement into the upper Tucannon River,  trap bull trout to aid in research and monitoring, and produce catchable  rainbow trout for stocking in lakes throughout SE Washington.  The facility is also responsible for final rearing of Tucannon summer steelhead released  at the hatchery and Tucannon Spring Chinook that are released from the Curl Lake Acclimation Pond each spring.  The State of Washington funds an extremely   popular ""jumbo"" Trout program, producing Rainbow between 1.5 and 2 pounds each, which are highly sought after by local anglers.  The hatchery has a self-guided tour, and is visited heavily by campers and recreational anglers alike.","The Tucannon Spring Chinook is included in the listed population under the Snake River ESU,   as is the Tucannon Summer Steelhead.",Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): Up to 5,Adult trapping:Year round;Moving fry to holding ponds:April;Release of Fish:February through June;Rearing Fish:Year round,Columbia,MIDDLE SNAKE,Snake River,Snake River Salmon Recovery Board,3F42001  350009 H,,05/16/2012 12:00:00 AM,
Palmer Hatchery,32915 SE 309th Street,,Palmer,WA,98051     ,3608862221,3608332805,47.3232,-121.9051,Palmer Ponds are located at river mile 56.3 on the Green River in King County.  The hatchery became operational in 1969. ,"Palmer Ponds are located at river mile 56.3 on the Green River in King County.  The hatchery became operational in 1969.  The facility consists of a one acre rearing pond, a 0.4 acre rearing pond, and four 20 foot diameter round ponds.  The water  right is for 4 cfs of Green River surface water and 15 cfs of gravity fed spring water.  There are no incubation facilities at Palmer Pond; steelhead   fingerlings are typically transferred from the Soos Creek Hatchery to Palmer for final rearing and release in late summer at between 50 and 100 fish   per pound.<br /><br />The fish culture program at Palmer Pond consists of 160,000 winter-run steelhead and 30,000 summer-run steelhead.  The Palmer facility is funded with state   Wildlife funds and has one fulltime employee.<br /><br />The fish raised at Palmer are all released into the Green River system, and support a popular recreational fishery during the summer and winter months.   The program also supports a significant tribal fishery in the lower reaches   of the Green River by the Muckleshoot Indian Tribe. ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,,King,DUWAMISH-GREEN,Puget Sound,WRIA 9 - King County Lead Entity,3F10510  090147 H,,05/16/2012 12:00:00 AM,
Beaver Creek Hatchery,28 Beaver Creek Road,,Cathlamet,WA,98612     ,3607950124,,46.2259,-123.3287,No Data.,"Beaver Creek Hatchery is a National Marine Fisheries Service (NMFS) funded facility operated by the Washington Department of Fish and Wildlife (WDFW).  The hatchery is located approximately 4 miles up the Elochoman River from the town of Cathlamet, Washington in Wahkiakum County.  There are 10 intermediate concrete raceways, 20 standard concrete raceways, two 7,200 cubic foot concrete adult holding ponds and a 1.5 acre earthen rearing pond.  The hatchery building contains 40 shallow troughs and 4 half stacks of vertical incubators.  The fish-rearing program consists of fall Chinook and hatchery summer and winter steelhead.  This hatchery was reopened in the spring of 2009 when the new ""Conservation and Sustainable Fisheries Plan"" for Lower Columbia tributaries was implemented.  During operation, there are two 6-month temporary hatchery workers from November to April. ",,,,Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  250247 H,,05/16/2012 12:00:00 AM,
Satsop Springs Ponds,,,,,,,,47.1139,-123.4383,No data.,"Satsop Springs is a satellite of Bingham Creek Hatchery; the site is owned by WDFW, and currently operated by the Chehalis Basin Fisheries Task Force (CBFTF). The facility is located approximately three miles downstream from Bingham Creek Hatchery, on the East Fork Satsop River. Satsop Springs opened in 1963 as a chum egg channel, and was expanded in 1977. Chinook and coho rearing ponds were added in 1979. WDF closed the facility in 1988, and CBFTF took over operations. The site includes one large rearing and release pond, one rearing channel, a gravel incubation channel, and an adult holding pond.",,,,Mason,LOWER CHEHALIS,,,3F21802  220462 H,,05/05/2008 12:00:00 AM,
Turtle Rock Hatchery,13246 Lincoln Rock Road E,,E Wenatchee,WA,98802     ,5096642894,5098860823,47.5495,-120.2698,Turtle Rock Hatchery (Annex)  is located on the east bank of the Columbia River at Rocky Reach Dam and was constructed in 1974.,"These two facilities are owned by Chelan County PUD and are operated by WDFW as mitigation for fishery impacts caused by the construction and continued operation of the Rocky Reach Dam. Turtle Rock Hatchery (Annex)  is located on the east bank of the Columbia River at Rocky Reach Dam and was constructed in 1974.  It consists of 8 vinyl lined raceways and an incubation building.  The ground water source is ""tow water"" from beneath Rocky Reach Dam.  Two miles upstream of the dam is the Turtle Rock Island facility that was constructed in 1960-61 as a spawning channel, and subsequently was modified to provide four separate rearing ponds.  The water source for this facility is directly from the Columbia River.  Programs have changed  over time and plans are currently being discussed to re-locate the Island facility in the Chelan Falls area.  Changes of life stage release types/numbers of summer chinook and final rearing locations for Wenatchee summer steelhead  are considerations that will change this program in the near future.<br /><br />These facilities are not accessible to the public due to safety concerns  and security issues related to proximity to a major hydro project.    Closely tied to cooperative efforts with co-managers in the region.",The Turtle Rock Island facility has been a component for stock recovery efforts  of ESA listed Wenatchee summer steelhead.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,"Adult spawning (Chinook):September through October;Adult spawning (Steelhead):December through March;Moving presmolts to holding ponds:May, October, and December;Release of Fish:April, May, and July;Rearing Fish:Year round",Douglas,MOSES COULEE,Upper Columbia River,Foster Creek Lead Entity,3F42001  440001 H04,,05/16/2012 12:00:00 AM,
Wallace River Hatchery,14418 383rd Ave SE,,Sultan,WA,98294     ,3607931382,3607939558,47.8674,-121.717,The Wallace River Hatchery is located between the confluence of May Creek and the Wallace River.  It is the only hatchery facility rearing chinook within the Snohomish River Basin.,"The Wallace River Hatchery is located between the confluence of May Creek   and the Wallace River. The hatchery was originally known as the Skykomish Hatchery and dates back to 1907. It is the only hatchery facility rearing chinook within the Snohomish River Basin.  The hatchery rears and releases Summer Chinook, Coho, and Winter-Run Steelhead. It also incubates and initially rears Summer Steelhead before they are transferred to the  Reiter Ponds for final rearing and release.",Wallace River hatchery chinook are included in the Puget Sound chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): 8<br/>Salmon in the Classroom (educational projects): 25,Adults spawning:September through November;Moving fry to holding ponds:December through February;Release of fish :April through June ;Rearing of fish :Year round,Snohomish,SNOHOMISH,Puget Sound,Snohomish County Lead Entity,3F10308  070943 H,,05/16/2012 12:00:00 AM,
Forks Creek Hatchery,1986 State Route 6,,Raymond,WA,98577     ,3609345457,3609345343,46.558,-123.5948,Forks Creek Hatchery sits on approximately 12 acres and  is owned and operated by the Washington Department of Fish and Wildlife. ,"Forks Creek Hatchery sits on approximately 12 acres and  is owned and operated by the Washington Department of Fish and Wildlife.    It is located on RM 0.4 on Forks Creek, a tributary of the Willapa River which flows into Willapa Bay on the southwest coast of  Washington  near Raymond.  The Willapa River drains a region of about 130 square  miles, originating in the Willapa Hills.  The hatchery site is located at mile 12.2 on State Highway 6.  Forks Creek Hatchery was originally  constructed in 1899 and rebuilt in 1953.  A pumping facility and 8 new ponds were constructed in 1972. ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 3 <br/>Salmon in the Classroom (educational projects): None <br/>Egg Projects: 8,Adult spawning :September through November;Moving fry to holding ponds:December through February;Release of Fish:April through June;Rearing Fish:Year round,Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,3F21902  240356 H,,05/16/2012 12:00:00 AM,
