Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2020†","Malaria, Cum 2020†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2020†","Measles§, Imported, Cum 2020†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Indigenous, Current week","Measles§, Indigenous, Current week, flag","Measles§, Indigenous, Previous 52 weeks Max†","Measles§, Indigenous, Previous 52 weeks Max†, flag","Measles§, Indigenous, Cum 2020†","Measles§, Indigenous, Cum 2020†, flag","Measles§, Indigenous, Cum 2019†","Measles§, Indigenous, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,1,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,NON-US RESIDENTS,20200169,
TOTAL,2020,1,14,,70,,14,,15,,,-,8,,,-,4,,,-,86,,,-,3,,,TOTAL,20200170,
OKLAHOMA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,9,,,-,,-,,-,1,,,-,,-,,-,5,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
MOUNTAIN,2020,2,,-,6,,1,,3,,,-,2,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20200248,
ARIZONA,2020,2,,-,5,,1,,1,,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,4,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,2,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,1,,8,,2,,9,,,-,3,,,-,3,,,-,18,,,-,14,,,PACIFIC,20200257,
ALASKA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,6,,,-,5,,,-,2,,,-,2,,,-,9,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
PACIFIC,2020,9,,-,8,,7,,19,,,-,3,,1,,6,,,-,9,,5,,75,,,PACIFIC,20200957,
PACIFIC,2020,5,,-,8,,2,,17,,,-,3,,1,,4,,,-,18,,1,,52,,,PACIFIC,20200557,
OREGON,2020,2,1,,1,,1,,1,,,-,2,,,-,,-,,-,5,,,-,1,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,3,,1,,3,,,-,3,,,-,1,,,-,17,,,-,13,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,US TERRITORIES,20200263,
TOTAL,2020,5,18,,70,,79,,135,,,-,8,,2,,6,,,-,86,,2,,119,,,TOTAL,20200570,
US RESIDENTS,2020,5,18,,70,,79,,135,,,-,8,,2,,6,,,-,86,,2,,119,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,2,,4,,3,,2,,,-,4,,,-,,-,,-,35,,,-,7,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,1,,9,,1,,3,,,-,1,,,-,,-,,-,5,,,-,1,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,3,,2,,4,,,-,1,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,1,,2,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,6,,4,,5,,,-,1,,,-,,-,,-,2,,,-,2,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,3,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,9,,,-,2,,,-,1,,,-,,-,,-,5,,,-,1,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,3,,1,,5,,,-,3,,,-,1,,,-,17,,,-,47,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,2,,7,,9,,6,,,-,1,,,-,,-,,-,1,,1,,2,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,1,,1,,1,,,-,2,,,-,,-,,-,5,,,-,5,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,1,,3,,2,,5,,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,7,,1,,6,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,7,,3,,8,,,-,1,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,3,,9,,14,,12,,,-,2,,,-,,-,,-,17,,,-,2,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,2,,2,,3,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,2,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,5,,13,,16,,14,,,-,0,,,-,,-,,-,4,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,3,,5,,9,,3,,,-,0,,,-,,-,,-,1,,,-,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,6,,25,,25,,40,,,-,1,,1,,,-,,-,8,,,-,3,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,9,,2,,12,,,-,4,,,-,1,,,-,2,,,-,,-,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,2,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,4,,,-,4,,,-,0,,,-,1,,,-,0,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,3,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,6,,6,,7,,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,1,,5,,3,,3,,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,3,,1,,2,,,-,1,,,-,,-,,-,17,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,4,,,-,6,,,-,0,,,-,,-,,-,8,,,-,3,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,2,,13,,11,,15,,,-,2,,,-,,-,,-,66,,,-,52,,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,1,,0,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,3,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,4,,22,,19,,37,,,-,5,,,-,1,,,-,70,,,-,59,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,6,,,-,10,,,-,2,,1,,3,,,-,9,,1,,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,5,,,-,,-,,-,1,,1,,,-,,-,1,,,-,,-,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,1,,5,,3,,7,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,2,,6,,8,,5,,,-,1,,,-,,-,,-,1,,1,,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,1,,6,,4,,9,,,-,2,,,-,1,,,-,1,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,AMERICAN SAMOA,20200264,
TOTAL,2020,6,11,,70,,99,,155,,,-,8,,2,,7,,,-,86,,5,,145,,,TOTAL,20200670,
US RESIDENTS,2020,6,11,,70,,99,,155,,,-,8,,2,,7,,,-,86,,5,,145,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,1,,4,,4,,3,,,-,4,,,-,,-,,-,35,,,-,12,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,8,,2,,17,,,-,3,,1,,4,,,-,13,,4,,56,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,3,,9,,5,,5,,,-,1,,,-,,-,,-,5,,,-,6,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,3,,2,,4,,,-,1,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,2,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,7,,4,,6,,,-,1,,,-,,-,,-,2,,,-,2,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,3,,1,,2,,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,3,,9,,3,,4,,,-,1,,,-,,-,,-,5,,,-,6,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,3,,1,,5,,,-,3,,,-,1,,,-,10,,,-,51,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,7,,9,,8,,,-,1,,,-,,-,,-,1,,1,,2,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,1,,1,,1,,,-,2,,,-,,-,,-,5,,,-,5,,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,1,,2,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,7,,2,,6,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,7,,5,,9,,,-,1,,,-,1,,,-,3,,,-,,-,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,3,,9,,17,,15,,,-,2,,,-,,-,,-,17,,,-,2,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,1,,2,,3,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,2,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,3,,13,,19,,19,,,-,0,,,-,,-,,-,4,,,-,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,3,,5,,12,,5,,,-,0,,,-,,-,,-,1,,,-,,-,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,4,,25,,31,,47,,,-,1,,1,,,-,,-,8,,,-,3,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,9,,2,,13,,,-,4,,,-,1,,,-,2,,,-,,-,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,2,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,-,4,,,-,5,,,-,0,,,-,1,,,-,0,,,-,,-,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,3,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,6,,7,,8,,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,5,,4,,3,,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,4,,1,,2,,,-,1,,,-,,-,,-,17,,,-,,-,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,4,,,-,6,,,-,0,,,-,,-,,-,8,,,-,3,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,13,,13,,17,,,-,2,,,-,,-,,-,66,,,-,64,,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,0,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,3,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,1,,22,,24,,42,,,-,5,,,-,2,,,-,70,,,-,76,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,6,,,-,10,,,-,2,,1,,3,,,-,9,,4,,,-,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,5,,,-,1,,,-,1,,1,,,-,,-,1,,,-,,-,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,5,,4,,7,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,6,,8,,7,,,-,1,,,-,,-,,-,1,,1,,,-,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,,-,6,,5,,10,,,-,2,,,-,1,,,-,1,,,-,,-,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,7,5,,70,,118,,176,,,-,8,,2,,13,,,-,86,,7,,181,,,TOTAL,20200770,
US RESIDENTS,2020,7,5,,70,,118,,176,,,-,8,,2,,13,,,-,86,,7,,181,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,1,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,4,,4,,5,,,-,4,,,-,3,,,-,35,,,-,14,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,8,,4,,18,,,-,3,,1,,5,,,-,10,,5,,66,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,1,,9,,6,,5,,,-,1,,,-,,-,,-,5,,,-,8,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,1,,3,,4,,4,,,-,1,,,-,1,,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,2,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,7,,4,,9,,,-,1,,,-,,-,,-,2,,,-,4,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,3,,2,,2,,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,9,,3,,4,,,-,1,,,-,,-,,-,5,,,-,8,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
