Year and Quarter,Time Period,Indicator,Rate Type,Rate,Unit,Significant
2017 Q4,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,10.9,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,40.9,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Diabetes,Age-adjusted,21.5,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Drug overdose,Age-adjusted,21.7,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,63.3,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Firearm-related injury,Age-adjusted,12.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Heart disease,Age-adjusted,165.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,HIV disease,Age-adjusted,1.6,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Homicide,Age-adjusted,6.2,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Hypertension,Age-adjusted,9.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,14.3,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Kidney disease,Age-adjusted,13.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Parkinson disease,Age-adjusted,8.4,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,5.1,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Septicemia,Age-adjusted,10.6,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Stroke,Age-adjusted,37.6,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Suicide,Age-adjusted,14.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Unintentional injuries,Age-adjusted,49.4,"Deaths per 100,000",
2017 Q4,3-month period,All Causes,Crude,875.2,"Deaths per 100,000",
2017 Q4,3-month period,Alzheimer disease,Crude,38.7,"Deaths per 100,000",
2017 Q4,3-month period,Cancer,Crude,185.3,"Deaths per 100,000",
2017 Q4,3-month period,Chronic liver disease and cirrhosis,Crude,13.3,"Deaths per 100,000",
2017 Q4,3-month period,Chronic lower respiratory diseases,Crude,47.7,"Deaths per 100,000",
2017 Q4,3-month period,Diabetes,Crude,26.6,"Deaths per 100,000",
2017 Q4,3-month period,Drug overdose,Crude,20.4,"Deaths per 100,000",
2017 Q4,3-month period,"Falls, ages 65 and over",Crude,63.3,"Deaths per 100,000",
2017 Q4,3-month period,Firearm-related injury,Crude,12.2,"Deaths per 100,000",
2017 Q4,3-month period,Heart disease,Crude,202.1,"Deaths per 100,000",
2017 Q4,3-month period,HIV disease,Crude,1.7,"Deaths per 100,000",
2017 Q4,3-month period,Homicide,Crude,6.0,"Deaths per 100,000",
2017 Q4,3-month period,Hypertension,Crude,11.3,"Deaths per 100,000",
2017 Q4,3-month period,Influenza and pneumonia,Crude,16.5,"Deaths per 100,000",
2017 Q4,3-month period,Kidney disease,Crude,15.8,"Deaths per 100,000",
2017 Q4,3-month period,Parkinson disease,Crude,10.5,"Deaths per 100,000",
2017 Q4,3-month period,Pneumonitis due to solids and liquids,Crude,6.0,"Deaths per 100,000",
2017 Q4,3-month period,Septicemia,Crude,12.7,"Deaths per 100,000",
2017 Q4,3-month period,Stroke,Crude,46.4,"Deaths per 100,000",
2017 Q4,3-month period,Suicide,Crude,13.9,"Deaths per 100,000",
2017 Q4,3-month period,Unintentional injuries,Crude,51.6,"Deaths per 100,000",
2017 Q4,3-month period,All Causes,Age-adjusted,708.5,"Deaths per 100,000",
2017 Q4,3-month period,Alzheimer disease,Age-adjusted,29.4,"Deaths per 100,000",
2017 Q4,3-month period,Cancer,Age-adjusted,147.1,"Deaths per 100,000",
2017 Q4,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,11.0,"Deaths per 100,000",
2017 Q4,3-month period,Chronic lower respiratory diseases,Age-adjusted,38.2,"Deaths per 100,000",
2017 Q4,3-month period,Diabetes,Age-adjusted,21.2,"Deaths per 100,000",
2017 Q4,3-month period,Drug overdose,Age-adjusted,20.6,"Deaths per 100,000",
2017 Q4,3-month period,"Falls, ages 65 and over",Age-adjusted,63.7,"Deaths per 100,000",
2017 Q4,3-month period,Firearm-related injury,Age-adjusted,11.8,"Deaths per 100,000",
2017 Q4,3-month period,Heart disease,Age-adjusted,160.4,"Deaths per 100,000",
2017 Q4,3-month period,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2017 Q4,3-month period,Homicide,Age-adjusted,5.9,"Deaths per 100,000",
2017 Q4,3-month period,Hypertension,Age-adjusted,8.7,"Deaths per 100,000",
2017 Q4,3-month period,Influenza and pneumonia,Age-adjusted,12.4,"Deaths per 100,000",
2017 Q4,3-month period,Kidney disease,Age-adjusted,12.6,"Deaths per 100,000",
2017 Q4,3-month period,Parkinson disease,Age-adjusted,8.5,"Deaths per 100,000",
2017 Q4,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,4.6,"Deaths per 100,000",
2017 Q4,3-month period,Septicemia,Age-adjusted,9.8,"Deaths per 100,000",
2017 Q4,3-month period,Stroke,Age-adjusted,36.4,"Deaths per 100,000",
2017 Q4,3-month period,Suicide,Age-adjusted,14.2,"Deaths per 100,000",
2017 Q4,3-month period,Unintentional injuries,Age-adjusted,47.6,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,All Causes,Crude,869.4,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Alzheimer disease,Crude,37.6,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Cancer,Crude,183.7,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,12.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Chronic lower respiratory diseases,Crude,49.2,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Diabetes,Crude,25.8,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Drug overdose,Crude,21.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,"Falls, ages 65 and over",Crude,61.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Firearm-related injury,Crude,12.3,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Heart disease,Crude,199.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,HIV disease,Crude,1.7,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Homicide,Crude,5.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Hypertension,Crude,11.0,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Influenza and pneumonia,Crude,19.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Kidney disease,Crude,15.7,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Parkinson disease,Crude,10.0,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,6.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Septicemia,Crude,12.7,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Stroke,Crude,45.2,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Suicide,Crude,14.6,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Unintentional injuries,Crude,51.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,All Causes,Age-adjusted,732.7,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Alzheimer disease,Age-adjusted,31.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Cancer,Age-adjusted,151.5,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,10.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,40.7,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Diabetes,Age-adjusted,21.5,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Drug overdose,Age-adjusted,21.2,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,63.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Firearm-related injury,Age-adjusted,12.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Heart disease,Age-adjusted,165.0,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,HIV disease,Age-adjusted,1.6,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Homicide,Age-adjusted,6.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Hypertension,Age-adjusted,9.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,15.9,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Kidney disease,Age-adjusted,13.0,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Parkinson disease,Age-adjusted,8.5,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,5.1,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Septicemia,Age-adjusted,10.6,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Stroke,Age-adjusted,37.6,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Suicide,Age-adjusted,14.2,"Deaths per 100,000",
2018 Q1,12 months ending with quarter,Unintentional injuries,Age-adjusted,49.0,"Deaths per 100,000",
2018 Q1,3-month period,All Causes,Crude,959.8,"Deaths per 100,000",
2018 Q1,3-month period,Alzheimer disease,Crude,43.3,"Deaths per 100,000",
2018 Q1,3-month period,Cancer,Crude,186.4,"Deaths per 100,000",
2018 Q1,3-month period,Chronic liver disease and cirrhosis,Crude,13.6,"Deaths per 100,000",
2018 Q1,3-month period,Chronic lower respiratory diseases,Crude,59.4,"Deaths per 100,000",
2018 Q1,3-month period,Diabetes,Crude,28.7,"Deaths per 100,000",
2018 Q1,3-month period,Drug overdose,Crude,20.7,"Deaths per 100,000",
2018 Q1,3-month period,"Falls, ages 65 and over",Crude,67.1,"Deaths per 100,000",
2018 Q1,3-month period,Firearm-related injury,Crude,12.2,"Deaths per 100,000",
2018 Q1,3-month period,Heart disease,Crude,223.6,"Deaths per 100,000",
2018 Q1,3-month period,HIV disease,Crude,1.8,"Deaths per 100,000",
2018 Q1,3-month period,Homicide,Crude,5.6,"Deaths per 100,000",
2018 Q1,3-month period,Hypertension,Crude,12.5,"Deaths per 100,000",
2018 Q1,3-month period,Influenza and pneumonia,Crude,33.4,"Deaths per 100,000",
2018 Q1,3-month period,Kidney disease,Crude,17.7,"Deaths per 100,000",
2018 Q1,3-month period,Parkinson disease,Crude,11.5,"Deaths per 100,000",
2018 Q1,3-month period,Pneumonitis due to solids and liquids,Crude,7.1,"Deaths per 100,000",
2018 Q1,3-month period,Septicemia,Crude,14.7,"Deaths per 100,000",
2018 Q1,3-month period,Stroke,Crude,49.4,"Deaths per 100,000",
2018 Q1,3-month period,Suicide,Crude,14.4,"Deaths per 100,000",
2018 Q1,3-month period,Unintentional injuries,Crude,51.4,"Deaths per 100,000",
2018 Q1,3-month period,All Causes,Age-adjusted,802.0,"Deaths per 100,000",
2018 Q1,3-month period,Alzheimer disease,Age-adjusted,35.6,"Deaths per 100,000",
2018 Q1,3-month period,Cancer,Age-adjusted,152.5,"Deaths per 100,000",
2018 Q1,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,11.5,"Deaths per 100,000",
2018 Q1,3-month period,Chronic lower respiratory diseases,Age-adjusted,48.7,"Deaths per 100,000",
2018 Q1,3-month period,Diabetes,Age-adjusted,23.7,"Deaths per 100,000",
2018 Q1,3-month period,Drug overdose,Age-adjusted,20.8,"Deaths per 100,000",
2018 Q1,3-month period,"Falls, ages 65 and over",Age-adjusted,69.4,"Deaths per 100,000",
2018 Q1,3-month period,Firearm-related injury,Age-adjusted,11.9,"Deaths per 100,000",
2018 Q1,3-month period,Heart disease,Age-adjusted,183.3,"Deaths per 100,000",
2018 Q1,3-month period,HIV disease,Age-adjusted,1.7,"Deaths per 100,000",
2018 Q1,3-month period,Homicide,Age-adjusted,5.8,"Deaths per 100,000",
2018 Q1,3-month period,Hypertension,Age-adjusted,10.2,"Deaths per 100,000",
2018 Q1,3-month period,Influenza and pneumonia,Age-adjusted,27.6,"Deaths per 100,000",
2018 Q1,3-month period,Kidney disease,Age-adjusted,14.7,"Deaths per 100,000",
2018 Q1,3-month period,Parkinson disease,Age-adjusted,9.7,"Deaths per 100,000",
2018 Q1,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,5.8,"Deaths per 100,000",
2018 Q1,3-month period,Septicemia,Age-adjusted,12.2,"Deaths per 100,000",
2018 Q1,3-month period,Stroke,Age-adjusted,40.7,"Deaths per 100,000",
2018 Q1,3-month period,Suicide,Age-adjusted,13.9,"Deaths per 100,000",
2018 Q1,3-month period,Unintentional injuries,Age-adjusted,48.1,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,All Causes,Crude,870.4,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Alzheimer disease,Crude,37.6,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Cancer,Crude,183.6,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,13.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Chronic lower respiratory diseases,Crude,49.2,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Diabetes,Crude,26.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Drug overdose,Crude,20.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,"Falls, ages 65 and over",Crude,61.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Firearm-related injury,Crude,12.3,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Heart disease,Crude,200.6,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,HIV disease,Crude,1.7,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Homicide,Crude,5.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Hypertension,Crude,11.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Influenza and pneumonia,Crude,18.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Kidney disease,Crude,15.7,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Parkinson disease,Crude,10.1,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,6.1,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Septicemia,Crude,12.5,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Stroke,Crude,45.4,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Suicide,Crude,14.7,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Unintentional injuries,Crude,51.7,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,All Causes,Age-adjusted,730.3,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Alzheimer disease,Age-adjusted,30.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Cancer,Age-adjusted,150.6,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,11.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,40.4,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Diabetes,Age-adjusted,21.5,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Drug overdose,Age-adjusted,21.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,63.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Firearm-related injury,Age-adjusted,12.1,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Heart disease,Age-adjusted,164.8,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,HIV disease,Age-adjusted,1.6,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Homicide,Age-adjusted,6.1,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Hypertension,Age-adjusted,9.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,15.7,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Kidney disease,Age-adjusted,12.9,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Parkinson disease,Age-adjusted,8.6,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,5.0,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Septicemia,Age-adjusted,10.4,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Stroke,Age-adjusted,37.5,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Suicide,Age-adjusted,14.2,"Deaths per 100,000",
2018 Q2,12 months ending with quarter,Unintentional injuries,Age-adjusted,48.7,"Deaths per 100,000",
2018 Q2,3-month period,All Causes,Crude,836.9,"Deaths per 100,000",
2018 Q2,3-month period,Alzheimer disease,Crude,34.5,"Deaths per 100,000",
2018 Q2,3-month period,Cancer,Crude,180.0,"Deaths per 100,000",
2018 Q2,3-month period,Chronic liver disease and cirrhosis,Crude,12.7,"Deaths per 100,000",
2018 Q2,3-month period,Chronic lower respiratory diseases,Crude,48.2,"Deaths per 100,000",
2018 Q2,3-month period,Diabetes,Crude,24.9,"Deaths per 100,000",
2018 Q2,3-month period,Drug overdose,Crude,21.0,"Deaths per 100,000",
2018 Q2,3-month period,"Falls, ages 65 and over",Crude,59.4,"Deaths per 100,000",
2018 Q2,3-month period,Firearm-related injury,Crude,12.3,"Deaths per 100,000",
2018 Q2,3-month period,Heart disease,Crude,193.9,"Deaths per 100,000",
2018 Q2,3-month period,HIV disease,Crude,1.6,"Deaths per 100,000",
2018 Q2,3-month period,Homicide,Crude,5.9,"Deaths per 100,000",
2018 Q2,3-month period,Hypertension,Crude,10.4,"Deaths per 100,000",
2018 Q2,3-month period,Influenza and pneumonia,Crude,14.1,"Deaths per 100,000",
2018 Q2,3-month period,Kidney disease,Crude,15.0,"Deaths per 100,000",
2018 Q2,3-month period,Parkinson disease,Crude,9.6,"Deaths per 100,000",
2018 Q2,3-month period,Pneumonitis due to solids and liquids,Crude,5.6,"Deaths per 100,000",
2018 Q2,3-month period,Septicemia,Crude,11.4,"Deaths per 100,000",
2018 Q2,3-month period,Stroke,Crude,43.6,"Deaths per 100,000",
2018 Q2,3-month period,Suicide,Crude,15.3,"Deaths per 100,000",
2018 Q2,3-month period,Unintentional injuries,Crude,50.9,"Deaths per 100,000",
2018 Q2,3-month period,All Causes,Age-adjusted,699.4,"Deaths per 100,000",
2018 Q2,3-month period,Alzheimer disease,Age-adjusted,28.3,"Deaths per 100,000",
2018 Q2,3-month period,Cancer,Age-adjusted,146.7,"Deaths per 100,000",
2018 Q2,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,10.7,"Deaths per 100,000",
2018 Q2,3-month period,Chronic lower respiratory diseases,Age-adjusted,39.4,"Deaths per 100,000",
2018 Q2,3-month period,Diabetes,Age-adjusted,20.5,"Deaths per 100,000",
2018 Q2,3-month period,Drug overdose,Age-adjusted,21.2,"Deaths per 100,000",
2018 Q2,3-month period,"Falls, ages 65 and over",Age-adjusted,61.5,"Deaths per 100,000",
2018 Q2,3-month period,Firearm-related injury,Age-adjusted,12.1,"Deaths per 100,000",
2018 Q2,3-month period,Heart disease,Age-adjusted,158.7,"Deaths per 100,000",
2018 Q2,3-month period,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2018 Q2,3-month period,Homicide,Age-adjusted,6.1,"Deaths per 100,000",
2018 Q2,3-month period,Hypertension,Age-adjusted,8.5,"Deaths per 100,000",
2018 Q2,3-month period,Influenza and pneumonia,Age-adjusted,11.6,"Deaths per 100,000",
2018 Q2,3-month period,Kidney disease,Age-adjusted,12.3,"Deaths per 100,000",
2018 Q2,3-month period,Parkinson disease,Age-adjusted,8.1,"Deaths per 100,000",
2018 Q2,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,4.6,"Deaths per 100,000",
2018 Q2,3-month period,Septicemia,Age-adjusted,9.4,"Deaths per 100,000",
2018 Q2,3-month period,Stroke,Age-adjusted,35.9,"Deaths per 100,000",
2018 Q2,3-month period,Suicide,Age-adjusted,14.8,"Deaths per 100,000",
2018 Q2,3-month period,Unintentional injuries,Age-adjusted,48.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,All Causes,Crude,870.4,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Alzheimer disease,Crude,37.5,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Cancer,Crude,183.3,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,13.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Chronic lower respiratory diseases,Crude,49.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Diabetes,Crude,26.0,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Drug overdose,Crude,20.8,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,"Falls, ages 65 and over",Crude,62.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Firearm-related injury,Crude,12.3,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Heart disease,Crude,200.7,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,HIV disease,Crude,1.7,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Homicide,Crude,5.9,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Hypertension,Crude,11.0,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Influenza and pneumonia,Crude,18.7,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Kidney disease,Crude,15.7,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Parkinson disease,Crude,10.3,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,6.0,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Septicemia,Crude,12.6,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Stroke,Crude,45.3,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Suicide,Crude,14.8,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Unintentional injuries,Crude,51.5,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,All Causes,Age-adjusted,728.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Alzheimer disease,Age-adjusted,30.8,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Cancer,Age-adjusted,149.7,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,11.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,40.2,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Diabetes,Age-adjusted,21.5,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Drug overdose,Age-adjusted,20.9,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,64.3,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Firearm-related injury,Age-adjusted,12.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Heart disease,Age-adjusted,164.4,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,HIV disease,Age-adjusted,1.6,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Homicide,Age-adjusted,6.1,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Hypertension,Age-adjusted,9.0,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,15.4,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Kidney disease,Age-adjusted,13.0,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Parkinson disease,Age-adjusted,8.7,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,4.9,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Septicemia,Age-adjusted,10.4,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Stroke,Age-adjusted,37.4,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Suicide,Age-adjusted,14.3,"Deaths per 100,000",
2018 Q3,12 months ending with quarter,Unintentional injuries,Age-adjusted,48.5,"Deaths per 100,000",
2018 Q3,3-month period,All Causes,Crude,809.4,"Deaths per 100,000",
2018 Q3,3-month period,Alzheimer disease,Crude,33.4,"Deaths per 100,000",
2018 Q3,3-month period,Cancer,Crude,181.1,"Deaths per 100,000",
2018 Q3,3-month period,Chronic liver disease and cirrhosis,Crude,12.9,"Deaths per 100,000",
2018 Q3,3-month period,Chronic lower respiratory diseases,Crude,41.3,"Deaths per 100,000",
2018 Q3,3-month period,Diabetes,Crude,23.8,"Deaths per 100,000",
2018 Q3,3-month period,Drug overdose,Crude,20.9,"Deaths per 100,000",
2018 Q3,3-month period,"Falls, ages 65 and over",Crude,58.4,"Deaths per 100,000",
2018 Q3,3-month period,Firearm-related injury,Crude,12.5,"Deaths per 100,000",
2018 Q3,3-month period,Heart disease,Crude,183.1,"Deaths per 100,000",
2018 Q3,3-month period,HIV disease,Crude,1.5,"Deaths per 100,000",
2018 Q3,3-month period,Homicide,Crude,6.0,"Deaths per 100,000",
2018 Q3,3-month period,Hypertension,Crude,9.9,"Deaths per 100,000",
2018 Q3,3-month period,Influenza and pneumonia,Crude,11.2,"Deaths per 100,000",
2018 Q3,3-month period,Kidney disease,Crude,14.4,"Deaths per 100,000",
2018 Q3,3-month period,Parkinson disease,Crude,9.6,"Deaths per 100,000",
