Permit Number,Processed Date,Issued Date,Finaled Date,Building Area,Declared Valuation,Description,Work Type,Use Code,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
644948,08/08/2013,08/21/2013,,4500,70000.00,"INTERIOR ALTERATIONS-LEASING OFFICE TV Club Room Exercise Room Lobby

Finishes, new pantry and relocation of door to club room",ALTER,BUSINESS BUILDING,1215,,EAST WEST,HWY,,SILVER SPRING,MD,20910
341822,04/22/2004,04/28/2004,08/09/2004,305,500.00,Revision to Bldg Permit #339391,ALTER,BUSINESS BUILDING,7625,,WISCONSIN,AVE,,BETHESDA,MD,20814
369443,01/03/2005,04/07/2005,,300,8000.00,5th Floor,ALTER,BUSINESS,11300,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
504544,02/03/2009,02/03/2009,05/22/2009,10000,125000.00,Interior Alterations,ALTER,BUSINESS BUILDING,7475,,WISCONSIN,AVE,,BETHESDA,MD,20814
659353,01/02/2014,01/02/2014,01/11/2014,925,7500.00,INTEIOR ALTERATIONS,ALTER,BUSINESS BUILDING,6701,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
543849,07/16/2010,08/04/2010,07/15/2011,337,28000.00,Business office alteration,ALTER,BUSINESS BUILDING,962,,WAYNE,AVE,,SILVER SPRING,MD,20910
513973,06/16/2009,,,6530,190000.00,Interior alteration,ALTER,MERCANTILE BUILDING,6801,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
212279,02/28/2000,05/30/2000,09/29/2000,28000,500000.00,,ALTER,BUSINESS BUILDING,11800,,TECH,RD,,SILVER SPRING,MD,20904
299075,02/28/2003,03/05/2003,03/13/2003,3235,6000.00,,ALTER,RESTAURANT,15540,,OLD COLUMBIA,PIKE,,BURTONSVILLE,MD,20866
406322,12/13/2005,12/28/2005,02/27/2006,10367,150000.00,,ALTER,BUSINESS BUILDING,4340,,EAST WEST,HWY,,BETHESDA,MD,20814
382383,05/05/2005,05/05/2005,06/16/2005,950,17000.00,,ALTER,BUSINESS BUILDING,6701,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
229764,09/13/2000,09/21/2000,11/17/2000,4300,85000.00,,ALTER,MERCANTILE BUILDING,5268,,NICHOLSON,LN,,KENSINGTON,MD,20895
336289,03/04/2004,03/04/2004,,4000,52000.00,,ALTER,BUSINESS BUILDING,12850,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874
522886,10/07/2009,11/09/2009,,495,35000.00,"Interior Alteration - Ste 901, 9th floor",ALTER,BUSINESS BUILDING,6707,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
758682,06/07/2016,06/07/2016,08/17/2016,4726,80000.00,Interior Alterations: Suite 1,ALTER,BUSINESS BUILDING,20328,,SENECA MEADOWS,PKWY,,GERMANTOWN,MD,20876
552492,10/22/2010,,,9381,40000.00,6th floor,ALTER,BUSINESS BUILDING,6116,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
556593,12/10/2010,12/14/2010,03/02/2011,900,400000.00,"alteration
5TH FLOOR",ALTER,BUSINESS BUILDING,4720,,MONTGOMERY,LN,,BETHESDA,MD,20814
377442,03/22/2005,03/29/2005,,20170,5000.00,,ALTER,BUSINESS BUILDING,6430,,ROCKLEDGE,DR,,BETHESDA,MD,20817
806787,07/18/2017,07/19/2017,,3900,1500.00,INTERIOR DEMO - MAIN AREA,ALTER,BUSINESS BUILDING,2423,,HICKERSON,DR,,SILVER SPRING,MD,20902
479441,03/06/2008,03/26/2008,05/19/2008,5025,78000.00,Alteration (interior).,ALTER,BUSINESS BUILDING,7361,,CALHOUN,PL,,ROCKVILLE,MD,20855
419998,05/05/2006,05/12/2006,,1000,18000.00,3RD FLOOR,ALTER,BUSINESS,10750,,COLUMBIA,PIKE,,SILVER SPRING,MD,20901
772699,09/19/2016,09/19/2016,09/22/2016,4313,15000.00,systems furniture,ALTER,BUSINESS BUILDING,7700,,WISCONSIN,AVE,,CHEVY CHASE,MD,20814
298108,02/12/2003,02/13/2003,12/11/2003,,,National Cancer Institute,ALTER,BUSINESS BUILDING,6116,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
665791,03/12/2014,03/17/2014,,13245,49000.00,,ALTER,BUSINESS BUILDING,7680,,STANDISH,PL,,ROCKVILLE,MD,20855
528738,01/05/2010,01/08/2010,03/24/2010,412,18000.00,"Adding one wall
Suite 801=8th floor",ALTER,BUSINESS BUILDING,5425,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
500272,11/14/2008,,,200,9800.00,Mechanical Only for IT Room,ALTER,BUSINESS BUILDING,19650,,CLUB HOUSE,RD,,MONTGOMERY VILLAGE,MD,20886
225826,08/08/2000,08/08/2000,11/24/2000,3290,96000.00,,ALTER,BUSINESS BUILDING,18109,,PRINCE PHILIP,DR,,OLNEY,MD,20832
348644,06/18/2004,06/18/2004,09/30/2004,2890,10000.00,Revision to CF Permit #345833 - Removing Walls,ALTER,BUSINESS BUILDING,8241,,GEORGIA,AVE,,SILVER SPRING,MD,20910
434697,09/29/2006,10/16/2006,01/17/2007,4758,25000.00,5th flr,ALTER,BUSINESS BUILDING,7201,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
636633,05/29/2013,06/11/2013,02/01/2014,830,22000.00,INTERIOR ALTERATIONS TO COMMERCIAL BUILDING,ALTER,BUSINESS BUILDING,8750,,GEORGIA,AVE,,SILVER SPRING,MD,20910
388764,06/27/2005,06/27/2005,09/15/2005,3000,26000.00,HARVEST BANK OF MD,ALTER,BUSINESS BUILDING,12800,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874
414258,03/10/2006,03/30/2006,06/02/2006,4951,75000.00,Interior Alterations; Suite 500,ALTER,BUSINESS BUILDING,4350,,EAST WEST,HWY,,BETHESDA,MD,20814
828012,02/15/2018,02/27/2018,07/25/2018,2788,153340.00,"Alteration - 2,788 sfSUITE 200",ALTER,BUSINESS BUILDING,4550,,MONTGOMERY,AVE,,BETHESDA,MD,20814
702444,02/03/2015,02/10/2015,03/30/2015,1513,74137.00,ADMINISTRATIVE OFFICE ONLY,ALTER,BUSINESS BUILDING,18101,,PRINCE PHILIP,DR,,OLNEY,MD,20832
250828,06/13/2001,06/19/2001,,5600,200000.00,,ALTER,BUSINESS BUILDING,7501,,WISCONSIN,AVE,,BETHESDA,MD,20814
291771,11/06/2002,11/06/2002,12/06/2002,1471,20000.00,,ALTER,BUSINESS BUILDING,15400,,CALHOUN,DR,,ROCKVILLE,MD,20855
297902,02/10/2003,02/14/2003,02/21/2003,120,1000.00,,ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
670435,04/23/2014,04/23/2014,05/08/2014,2996,28394.34,MUDULAR FURNITURE 15TH FLOOR-Square footage changed on 4/24/2014,ALTER,BUSINESS BUILDING,5600,,FISHERS,LN,,ROCKVILLE,MD,20852
216868,04/19/2000,04/20/2000,07/28/2000,3485,48790.00,,ALTER,BUSINESS BUILDING,4416,,EAST WEST,HWY,,BETHESDA,MD,20814
609181,08/21/2012,09/14/2012,01/09/2013,200,20000.00,INTERIOR ALTERATIONS TO COMMERCIAL BUILDING,ALTER,COMMERCIAL MISCELLANEOUS STRUC,10400,,FERNWOOD,RD,,BETHESDA,MD,20817
414986,03/20/2006,05/08/2006,01/25/2007,4007,140000.00,,ALTER,BUSINESS BUILDING,18111,,PRINCE PHILIP,DR,,OLNEY,MD,20832
469531,10/29/2007,10/29/2007,01/15/2008,4600,40000.00,interior,ALTER,BUSINESS BUILDING,10800,,CONNECTICUT,AVE,,KENSINGTON,MD,20895
262325,11/01/2001,11/09/2001,,942,90000.00,,ALTER,BUSINESS BUILDING,19320,,MATENY HILL,RD,,GERMANTOWN,MD,20874
533436,03/23/2010,03/24/2010,07/13/2010,500,25000.00,11th floor,ALTER,BUSINESS BUILDING,4800,,MONTGOMERY,LN,,BETHESDA,MD,20814
643762,07/30/2013,07/30/2013,,2592,10000.00,Interior DEMO Only,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
842724,06/26/2018,06/28/2018,,3780,127900.00,Interior alteration,ALTER,BUSINESS BUILDING,7920,,NORFOLK,AVE,,BETHESDA,MD,20814
289166,10/02/2002,,,1541,18290.00,,ALTER,ASSEMBLY BUILDING,12901,,TOWN COMMONS,DR,,GERMANTOWN,MD,20874
373766,02/14/2005,03/10/2005,05/19/2005,2501,165000.00,"Forth Floor, Suite 450",ALTER,BUSINESS BUILDING,6550,,ROCK SPRING,DR,,BETHESDA,MD,20817
604849,07/13/2012,07/13/2012,12/21/2012,2399,150000.00,,ALTER,BUSINESS BUILDING,20440,,CENTURY,BLVD,,GERMANTOWN,MD,20874
451577,04/25/2007,05/02/2007,06/13/2007,2960,10000.00,Suite 210,ALTER,BUSINESS,4800,,HAMPDEN CONDO C-1,LN,,BETHESDA,MD,20814
289332,10/04/2002,10/04/2002,,512,4000.00,,ALTER,BUSINESS BUILDING,4803,,ST ELMO,AVE,,BETHESDA,MD,20814
424311,06/14/2006,06/16/2006,08/30/2006,1980,70000.00,,ALTER,BUSINESS BUILDING,20410,,OBSERVATION,DR,,GERMANTOWN,MD,20876
339583,04/02/2004,04/20/2004,08/06/2004,3427,27000.00,TRIZEC PROPERTIES,ALTER,BUSINESS BUILDING,8401,,COLESVILLE,RD,,SILVER SPRING,MD,20910
744217,02/10/2016,02/10/2016,02/10/2017,4219,140000.00,"4TH &amp; 5TH FLOORS

- SYSTEMS FURNITURE

&nbsp;",ALTER,BUSINESS BUILDING,8515,,GEORGIA,AVE,,SILVER SPRING,MD,20910
370461,01/12/2005,01/13/2005,,7500,10000.00,Union Jack restaurant,ALTER,RESTAURANT,4915,,ST ELMO,AVE,,BETHESDA,MD,20814
259226,09/25/2001,09/25/2001,01/07/2002,8870,20000.00,,ALTER,BUSINESS BUILDING,6120,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
375120,03/01/2005,03/09/2005,04/27/2005,2400,30000.00,Space Q,ALTER,MERCANTILE BUILDING,1502,,ROCKWOOD,DR,,ROCKVILLE,MD,20851
363239,10/27/2004,12/09/2004,,700,243000.00,,ALTER,THEATER,7272,,WISCONSIN,AVE,,BETHESDA,MD,20814
267076,01/10/2002,01/10/2002,02/19/2002,150,5000.00,automobile ran into store front,ALTER,BUSINESS BUILDING,11303,,LOCKWOOD,DR,,SILVER SPRING,MD,20904
221646,06/16/2000,06/16/2000,10/05/2000,7000,70000.00,,ALTER,BUSINESS BUILDING,4720,,MONTGOMERY,LN,,BETHESDA,MD,20814
578178,08/25/2011,08/26/2011,08/24/2012,6238,150000.00,INTERIOR ALTERATION 1st FLOOR LOBBY Ste 101B thru 104B,ALTER,BUSINESS BUILDING,12401,,PROSPERITY,DR,,SILVER SPRING,MD,20904
342347,04/27/2004,05/05/2004,06/14/2004,4832,80000.00,,ALTER,BUSINESS BUILDING,901,,ROCKBORN,ST,,GAITHERSBURG,MD,20878
330582,01/23/2004,03/10/2004,10/21/2004,1690,100252.50,5th Floor - Holy Cross Hospital,ALTER,BUSINESS BUILDING,1400,,FOREST GLEN,RD,,SILVER SPRING,MD,20910
317658,09/04/2003,09/05/2003,,717,10000.00,Ste 8474,ALTER,BUSINESS BUILDING,8480,,PINEY BRANCH,RD,,SILVER SPRING,MD,20901
231282,10/02/2000,10/05/2000,,3890,79599.00,,ALTER,BUSINESS BUILDING,3015,W,UNIVERSITY,BLVD,,KENSINGTON,MD,20895
308036,06/05/2003,06/05/2003,12/18/2003,7622,75000.00,,ALTER,BUSINESS BUILDING,4733,,ELM,ST,,BETHESDA,MD,20814
308847,06/12/2003,08/08/2003,09/18/2003,2296,57500.00,,ALTER,BUSINESS BUILDING,9231,,CORPORATE,BLVD,,ROCKVILLE,MD,20850
362970,10/25/2004,10/25/2004,01/25/2005,300,3000.00,7600 H Lindberg Drive-Veternary Hospital,ALTER,BUSINESS BUILDING,7600,,LINDBERGH,DR,,GAITHERSBURG,MD,20879
782132,11/30/2016,12/15/2016,01/26/2017,1646,117820.00,alter bus office,ALTER,BUSINESS BUILDING,20400,,OBSERVATION,DR,,GERMANTOWN,MD,20876
381424,04/27/2005,05/11/2005,06/07/2005,1404,5000.00,14 FLOOR,ALTER,BUSINESS BUILDING,2,,BETHESDA METRO,CTR,,BETHESDA,MD,20814
360063,09/30/2004,10/01/2004,,171,15000.00,Replacing existing Kiosk,ALTER,MERCANTILE,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
640948,07/05/2013,07/05/2013,08/29/2013,936,17500.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,1300,,SPRING,ST,,SILVER SPRING,MD,20910
487913,06/17/2008,,,4860,,alteration,ALTER,BUSINESS,701,E,GUDE,DR,,ROCKVILLE,MD,20850
495833,09/17/2008,,,3135,30000.00,interior alteration,ALTER,BUSINESS BUILDING,12401,,PROSPERITY,DR,,SILVER SPRING,MD,20904
693974,11/06/2014,11/17/2014,11/17/2015,0,29231.00,,ALTER,BUSINESS BUILDING,7501,,WISCONSIN,AVE,,BETHESDA,MD,20814
609378,08/22/2012,08/22/2012,,398,17000.00,INTERIOR ALTERATIONS TO COMMERCIAL BUILDING demo of existing office areas existing ADA restrooms and adjacent offices to remain&nbsp;&nbsp; No tenant at this time no change of use&nbsp; landlord work only for possible future tenant,ALTER,COMMERCIAL MISCELLANEOUS STRUC,18900,,BONANZA,WAY,,GAITHERSBURG,MD,20879
248255,05/16/2001,06/01/2001,03/14/2002,31197,85000.00,M-2001-304 NFPA 101 1997--MODIFICATION,ALTER,MERCANTILE BUILDING,11921,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
213547,03/13/2000,03/21/2000,,5311,100000.00,,ALTER,BUSINESS BUILDING,18630,,WOODFIELD,RD,,GAITHERSBURG,MD,20879
314433,08/04/2003,08/04/2003,02/12/2004,164,16000.00,,ALTER,BUSINESS BUILDING,5530,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
284448,08/05/2002,08/05/2002,,7800,10000.00,,ALTER,BUSINESS,6705,,ROCKLEDGE,DR,,BETHESDA,MD,20817
269312,02/12/2002,02/12/2002,,500,2000.00,,ALTER,BUSINESS,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
806806,07/18/2017,07/18/2017,10/04/2017,988,80553.00,988 SF ALT,ALTER,BUSINESS BUILDING,6430,,ROCKLEDGE,DR,,BETHESDA,MD,20817
528408,12/29/2009,01/05/2010,03/15/2010,600,40000.00,interior alteration- ste 400,ALTER,BUSINESS BUILDING,7700,,WISCONSIN,AVE,,CHEVY CHASE,MD,20814
668685,04/08/2014,04/08/2014,04/08/2015,16300,35000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,8455,,COLESVILLE,RD,,SILVER SPRING,MD,20910
249354,05/30/2001,05/30/2001,09/20/2001,1159,30000.00,,ALTER,BUSINESS BUILDING,14436,,LAYHILL,RD,,SILVER SPRING,MD,20906
610577,09/04/2012,09/10/2012,01/24/2013,1505,6500.00,INTERIOR ALTERATIONS TO COMMERCIAL BUILDING,ALTER,COMMERCIAL MISCELLANEOUS STRUC,7300,,CARROLL,AVE,,TAKOMA PARK,MD,20912
373741,02/14/2005,02/15/2005,,4277,10000.00,INTERIOR DEMOLITION ONLY,ALTER,MERCANTILE BUILDING,2730,W,UNIVERSITY,BLVD,,SILVER SPRING,MD,20902
256482,08/17/2001,09/10/2001,01/03/2002,1050,25000.00,,ALTER,BUSINESS BUILDING,17515,,REDLAND,RD,,ROCKVILLE,MD,20855
450036,04/11/2007,04/11/2007,12/06/2007,10981,10000.00,3rd Floor,ALTER,BUSINESS BUILDING,8728,,COLESVILLE,RD,,SILVER SPRING,MD,20910
262804,11/07/2001,12/03/2001,02/07/2002,607,9500.00,,ALTER,BUSINESS,6001,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
323265,10/31/2003,12/29/2003,02/27/2004,1846,47761.00,,ALTER,BUSINESS,4445,,WILLARD,AVE,,CHEVY CHASE,MD,20815
280961,06/24/2002,07/16/2002,10/09/2002,2143,38000.00,,ALTER,BUSINESS BUILDING,7201,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
306004,05/15/2003,05/15/2003,10/03/2003,1873,45000.00,Fire Damage,ALTER,BUSINESS BUILDING,8733,,CARROLL,AVE,,SILVER SPRING,MD,20903
843655,07/03/2018,07/03/2018,,2692,55682.05,Interior Alteration 2692 sqft.,ALTER,BUSINESS BUILDING,4340,,EAST WEST,HWY,,BETHESDA,MD,20814
362563,10/20/2004,10/20/2004,12/01/2004,1341,20000.00,,ALTER,BUSINESS BUILDING,10301,,GEORGIA,AVE,,SILVER SPRING,MD,20902
