Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Location 1
ELEC,1350 EGGERT RD,1350 Eggert Rd,EGGERT (1),Buffalo,NY,14226,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.965328,-78.804684,05/10/2020,154369,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour, and $5 per additional hour, $0.18 per kWh",,,,,,,,,,"(42.9653283, -78.804684)"
ELEC,Essex County - Public Safety Building,702 Stowersville Rd,,Lewis,NY,12950,,518-873-3900,E,,Public,24 hours Daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,44.281549,-73.536445,03/03/2020,142582,2020-03-03 21:13:47,LG,,,06/01/2019,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,"(44.281549, -73.536445)"
ELEC,BMW FREEPORT,100 Cleveland Ave,STATION 01; -,Freeport,NY,11520,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.654208,-73.569134,05/10/2020,96981,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(40.654207799999995, -73.56913420000001)"
ELEC,Propark 401 W 110th Street - Tesla Destination,401 W 110th St,,New York,NY,10025,,212-864-7164  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.802368,-73.961689,09/30/2019,115123,2020-03-02 20:14:21,P,,,09/01/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.802368, -73.961689)"
ELEC,HD OF SI,1973 Forest Ave,DCFAST HOG; Next to service elevator on side of building ,Mariners Harbor,NY,10303,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.626186,-74.155136,05/10/2020,144996,2020-05-10 09:19:27,,,,,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour, and $0.1 per additional hour, $0.2 per kWh",,,,,,,,,,"(40.626186, -74.155136)"
ELEC,Century Solar Supply,2600  6th Ave,,Troy,NY,12180,,855-443-3873,E,,Public,24 hours daily,,,,,,1,,,GE WattStation,https://www.gewattstation.com,GPS,42.741972,-73.682536,05/10/2020,72751,2020-05-10 10:00:33,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"$1.75 per session, first 5 minutes free, minimum payment of $0.50",,,,,,,,,,"(42.741972100000005, -73.6825362)"
ELEC,Metro North Train Station - North White Plains,50 Haarlem Ave,,White Plains,NY,10603,,866-816-7584,E,,Public,24 hours daily,,,,,,10,,,EV Connect,http://evconnect.com/,GPS,41.053445,-73.772404,04/08/2020,123265,2020-04-08 12:29:55,P,,,04/01/2019,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,,,,,,,,,,,"(41.053444899999995, -73.7724041)"
LPG,Combined Energy Services,6525 Route 209,Corner of Route 44/55 & 209,Kerhonkson,NY,12446,,845-626-0100,E,,Public,"8am-5pm M-F, 9am-12pm Sat",Cash Checks D M V,,,,,,,,,,200-9,41.771445,-74.313151,03/03/2020,51126,2020-03-03 21:13:47,P,,,01/30/2015,,,True,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"ACME"", ""QUICK_CONNECT",,,,,,,,"(41.771445, -74.313151)"
ELEC,NEW,1055 E Jericho Turnpike,STATION 01; West side of bldg,Huntington,NY,11743,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.835537,-73.369803,05/10/2020,119040,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(40.8355373, -73.36980279999999)"
ELEC,DeNooyer Chevrolet,127 Wolf Rd,,Albany,NY,12205,,,E,,Public - Call ahead,Dealership business hours; 518-458-7700,,,,,,,1,,Non-Networked,,GPS,42.717867,-73.806317,03/03/2020,117741,2020-03-03 21:13:47,P,,,01/01/2019,,,,,J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,"(42.717867, -73.806317)"
ELEC,Western New York Welcome Center,2182 Alvin Rd,Accessible from I-190 exit 19 via Alvin Road,Grand Island,NY,14072,,518-436-2831,E,,Public,24 hours daily,,,,,,,3,,Non-Networked,,GPS,43.019316,-78.974808,03/03/2020,104725,2020-03-03 21:13:47,P,,,08/01/2018,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,,,,,,,,,,"(43.01931644111689, -78.9748083740661)"
ELEC,Star Nissan,20602 Northern Blvd,,Bayside,NY,11361,,718-423-0500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.758245,-73.776954,09/09/2019,44323,2020-01-21 18:34:38,P,,,11/30/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,"(40.758245, -73.776954)"
ELEC,STONY BROOK UNV,1000 Innovation Road,AERTC 4; -,Stony Brook,NY,11794,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.904133,-73.134930,05/10/2020,143658,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on an hourly rate. $1 per hour, minimum payment of $1",,,,,,,,,,"(40.904132700000005, -73.13492959999999)"
ELEC,Best Western Saranac Lake - Tesla Destination,487 Lake Flower Ave,,Saranac Lake,NY,12983,,518-891-1970  877-798-3752,E,,Public,24 hours daily,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,44.314712,-74.119133,09/30/2019,150637,2020-03-02 20:14:21,P,,,09/30/2019,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(44.314712, -74.11913299999999)"
ELEC,Union College,Lennox Rd,,Schenectady,NY,12308,,866-816-7584,E,,Public,24 hours daily; Also accepts Paypal,A D M V,,,,,1,,,EV Connect,http://evconnect.com/,GPS,42.815708,-73.923732,04/08/2020,155029,2020-04-08 12:29:55,P,,,04/03/2019,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,"(42.815708, -73.923732)"
ELEC,ICE RINK,6 Small World Ave,ICE RINK; -,Saugerties,NY,12477,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.090709,-73.951019,05/10/2020,88146,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(42.090708500000005, -73.9510187)"
ELEC,Palisades Shopping Center - Tesla Supercharger,1000 Palisades Center Drive,,West Nyack,NY,10994,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,20,,Tesla,http://www.teslamotors.com/supercharger,200-9,41.094668,-73.955364,01/31/2020,149365,2020-02-06 19:50:43,P,,,09/30/2019,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,"(41.094668, -73.955364)"
ELEC,Home2 Suites by Hilton Oswego - Tesla Destination,252 NY-104,,Oswego,NY,13126,,315-343-2000  877-798-3752,E,,Public,24 hours daily; for customer use only,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,43.460055,-76.482728,09/30/2019,115206,2020-03-02 20:14:21,P,,,11/01/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,"(43.460054932697496, -76.48272810945129)"
ELEC,HAMPTON INN,1442 Western Ave,HAMPTON INN ALB; The station is located behind the hotel,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.679115,-73.836630,05/10/2020,70496,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(42.679114899999995, -73.8366303)"
ELEC,TONAWANDA YPR,147 Thorncliff Rd,POOL PLAZA 1; -,Buffalo,NY,14223,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.982760,-78.866850,05/10/2020,154517,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour, and $5 per additional hour, $0.15 per kWh",,,,,,,,,,"(42.98276, -78.86685)"
ELEC,MTP Parking 755 Kent Ave - Tesla Destination,755 Kent Ave,,Brooklyn,NY,11249,,718-855-7407  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.698959,-73.960100,09/30/2019,122479,2020-03-02 20:14:21,P,,,03/01/2019,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(40.698959, -73.9601)"
E85,Norman's Auto Service,77-40 Hewlett St,,New Hyde Park,NY,11040,,718-347-3400,E,,Public,24 hours daily,A Cash D M V Wright_Exp,,,,,,,,,,200-9,40.753274,-73.703397,03/03/2020,40324,2020-03-03 21:13:47,P,,,11/01/2010,,,,False,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,"(40.753274, -73.703397)"
ELEC,"Inn at Lake Joseph, a Select Registry Property - Tesla Destination",162 Saint Josephs Rd,,Forestburgh,NY,12777,,845-791-9506  877-798-3752,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.589244,-74.713261,09/30/2019,114941,2020-03-02 20:14:21,P,,,05/01/2016,,,,,TESLA,US,,,,Public - Appeler à l'avance,,public,CALL,,INN,,,,,,,Free,,,,,,,,,,"(41.589244, -74.713261)"
ELEC,MPG 121 Reade Street - Tesla Destination,121 Reade St,,New York,NY,10013,,212-608-3060  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716208,-74.009488,09/30/2019,115006,2020-03-02 20:14:21,P,,,11/01/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.716208, -74.009488)"
ELEC,ULSTER COUNTY,1 Development Court,"DSS 1; Behind Department of Social Services Building. Ulster County's fee for public charging is $0.50 per hour, effective 1-1-2020.DSS 2; Behind Department of Social Services Building. Ulster County's fee for public charging is $0.50 per hour, effective 1-1-2020.DSS 3; Behind Department of Social Services Building. Ulster County's fee for public charging is $0.50 per hour, effective 1-1-2020.",Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,41.947224,-73.995025,05/10/2020,68773,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $0 per hour for the first 2 hours, and $0.5 per additional hour",,,,,,,,,,"(41.947224, -73.995025)"
ELEC,CHATHAM EVC,51 Railroad Ave,CHATHAM; Near Chatham Brewery,Chatham,NY,12037,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.363258,-73.594529,05/10/2020,96923,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh,,,,,,,,,,"(42.3632585, -73.59452859999999)"
ELEC,GMC Parking 420 E 53rd - Tesla Destination,420 E 53rd St,,New York,NY,10022,,212-759-5290  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.755013,-73.963549,09/30/2019,115130,2020-03-02 20:14:21,P,,,11/01/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.755013, -73.963549)"
ELEC,Leo Kaytes Ford,145 Route 94 S,,Warwick,NY,10990,,845-986-1131,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,41.237296,-74.379503,04/08/2019,63618,2020-01-21 18:34:38,P,,,09/01/2014,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,"(41.237296, -74.379503)"
ELEC,Rapidpark 600 Columbus Ave - Tesla Destination,100 W 89th,,New York,NY,10024,,212-265-7854  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.788305,-73.971353,09/30/2019,114990,2020-03-02 20:14:21,P,,,11/01/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.788305, -73.97135300000001)"
ELEC,Saranac Lake Police Department,3 Main St,,Saranac Lake,NY,12983,,866-816-7584,E,,Public,24 hours daily,,,,,,1,,,EV Connect,http://evconnect.com/,GPS,44.324241,-74.131946,04/08/2020,123097,2020-04-08 12:29:55,LG,,,04/01/2019,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,"(44.3242414, -74.1319456)"
ELEC,ULSTER COUNTY,5 Pearl St,"CARR BUILDING; Parking area restricted to employees only during working hours and is available to the public all other times. The fee for public charging is $0.50 per hour, effective 1-1-2020.",Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.932591,-74.016136,05/10/2020,89937,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $0 per hour for the first 2 hours, and $0.5 per additional hour",,,,,,,,,,"(41.932590600000005, -74.0161362)"
ELEC,Parkright 738 Greenwich Street - Tesla Destination,738 Greenwich St,,New York,NY,10014,,212-247-7303  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.735165,-74.007231,09/30/2019,115182,2020-03-02 20:14:21,P,,,08/15/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.735165, -74.007231)"
ELEC,GGMC Yorkville Car Park - Tesla Destination,230 E 92nd St,,New York,NY,10128,,212-410-2184  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.782163,-73.950590,09/30/2019,115060,2020-03-02 20:14:21,P,,,03/01/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.782163, -73.95059)"
ELEC,NATIONAL GRID,6081 US-219,HOLIDAY VALLEY; Happy Valley Parking Lot in front of unit 116 and ice room ,Ellicottville,NY,14731,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.261800,-78.663077,05/10/2020,87682,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(42.2618, -78.6630773)"
ELEC,STONY BROOK UNV,Engineering Dr,ENGINEERING; -,Setauket- East Setauket,NY,11733,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.912355,-73.125968,05/10/2020,62805,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on an hourly rate. $1 per hour, minimum payment of $1",,,,,,,,,,"(40.912354799999996, -73.1259677)"
ELEC,Central Parking 200 Chambers - Tesla Destination,200 Chambers St,,New York,NY,10007,,800-836-6666  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716579,-74.012393,09/30/2019,115038,2020-03-02 20:14:21,P,,,11/01/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,"(40.716578999999996, -74.012393)"
CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,"I-278/Brooklyn Queens Expy, exit onto Vandervoort Ave S, left onto Maspeth Ave, and the station is on the left",Brooklyn,NY,11211,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.718037,-73.932309,05/09/2019,108,2020-01-21 18:34:38,T,,,07/15/2016,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,1200,,,,,,,,,Q,3000 3600,MD,,,"(40.718037, -73.932309)"
ELEC,GMC - BEEKMAN 2,420 E 51st St,Located between 1st Ave & FDR. - Attendant will assist in charging vehicle.  Parking rates apply. Inquire within,New York,NY,10022,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.754022,-73.965166,05/10/2020,118347,2020-05-10 08:08:08,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,,"(40.754022, -73.965166)"
ELEC,N SYR  LOT,106 Fergerson Ave,N SYRACUSE,Syracuse,NY,13212,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.135279,-76.130647,05/10/2020,105052,2020-05-10 09:19:27,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,"(43.13527929999999, -76.13064709999999)"
ELEC,Staples Plaza,3379 Crompond Rd,,Yorktown Heights,NY,10598,,877-455-3833,E,,Public - Card key at all times,24 hours daily,,,,,,,1,,eVgo Network,https://www.evgo.com/,GPS,41.289986,-73.830730,05/10/2020,93697,2020-05-10 09:59:31,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,,,,,,,,,,,,,,,,,,"(41.289986, -73.83073)"
