ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
HOME DELIVERED MEAL SERVICE CONTRACTS,29H01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RISEBORO COMMUNITY PARTNERSHIP INC,80 SEIGEL STREET,BROOKLYN,NY,11206,BROOKLYN,718-782-6334,Y,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301,34,491,3071447,3030960030,East Williamsburg,"(40.704366, -73.943775)"
HOME DELIVERED MEAL SERVICE CONTRACTS,36J01,CHARLES WALBURG HOME DELIVERED MEALS,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,163 WEST 125TH STREET,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.808644,-73.947524,110,9,222,1081602,1019100001,Central Harlem South,"(40.808644, -73.947524)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46S01,FLORENCE E. SMITH HOME DELIVERED MEALS,CORONA CONGREGATIONAL CHURCH,102-19 34TH AVENUE,FLUSHING,NY,11368,QUEENS,718-899-0553,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.755742,-73.865988,403,21,379,4042602,4017170033,North Corona,"(40.755742, -73.865988)"
HOME DELIVERED MEAL SERVICE CONTRACTS,36F01,HENRY ST HOME DELIVERED MEALS,HENRY STREET SETTLEMENT,265 HENRY STREET,NEW YORK,NY,10002,MANHATTAN,212-473-1474,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713857,-73.984532,103,1,202,1079627,1002880078,Lower East Side,"(40.713857, -73.984532)"
HOME DELIVERED MEAL SERVICE CONTRACTS,55601,MEALS ON WHEELS OF S.I.,MEALS ON WHEELS OF STATEN ISLAND INC,304 PORT RICHMOND AVENUE,STATEN ISLAND,NY,10302,STATEN ISLAND,718-727-4435,Y,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,00:00,00:00,00:00,00:00,40.634061,-74.13606,501,49,213,5025678,5010890036,Port Richmond,"(40.634061, -74.13606)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46P01,PETER CARDELLA HOME DELIVERED MEALS,PETER CARDELLA SENIOR CITIZEN CENTER INC,68-52 FRESH POND ROAD,FLUSHING,NY,11385,QUEENS,718-497-2908,Y,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,00:00,00:00,00:00,00:00,40.703894,-73.895681,405,30,583,4085200,4035350024,Ridgewood,"(40.703894, -73.895681)"
HOME DELIVERED MEAL SERVICE CONTRACTS,15X01,MID BRONX HOME DELIVERED MEALS,MID BRONX SENIOR CITIZENS COUNCIL INC,900 GRAND CONCOURSE,BRONX,NY,10451,BRONX,718-992-2057,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.827412,-73.922277,204,16,18301,2002802,2024600001,East Concourse-Concourse Village,"(40.827412, -73.922277)"
HOME DELIVERED MEAL SERVICE CONTRACTS,29F01,BAYRIDGE HOME DELIVERED MEALS,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.633477,-74.023321,310,43,130,3145772,3058730089,Bay Ridge,"(40.633477, -74.023321)"
HOME DELIVERED MEAL SERVICE CONTRACTS,15Z01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC,3450 BOSTON ROAD,BRONX,NY,10469,BRONX,718 231-7246,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.876304,-73.848594,212,12,364,2060739,2047370105,Eastchester-Edenwald-Baychester,"(40.876304, -73.848594)"
HOME DELIVERED MEAL SERVICE CONTRACTS,29G01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,718 337 1989,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.651173,-73.885082,305,42,105801,3336175,3044350001,Starrett City,"(40.651173, -73.885082)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46G01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,QUEENS,718-327-6023,Y,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,9 :00,5 :00,00:00,00:00,00:00,00:00,40.593761,-73.753207,414,31,99802,4301622,4158100055,Far Rockaway-Bayswater,"(40.593761, -73.753207)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46R01,QUEENS COMM HOUSE HOME DELIVERED MEALS,QUEENS COMMUNITY HOUSE INC.,108-25 62nd DRIVE,FLUSHING,NY,11375,QUEENS,718-592-5757,Y,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,00:00,00:00,00:00,00:00,40.73591,-73.850212,406,29,745,4432108,4021590002,Forest Hills,"(40.73591, -73.850212)"
HOME DELIVERED MEAL SERVICE CONTRACTS,36G01,ENCORE HOME DELIVERED MEALS,ENCORE COMMUNITY SERVICES,220 WEST 49TH STREET,NEW YORK,NY,10019,MANHATTAN,212-581-2910,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.761143,-73.985312,105,3,125,1024789,1010210009,Midtown-Midtown South,"(40.761143, -73.985312)"
