the_geom,OBJECTID,StreetName,GISID,GlobalID,Route Number,Lane Width,Barrier,Two Way,Contraflow,Neutral Ground,Divided Roadway,Install Year,Install Quarter,Update Year,Road Diet,Notes,created_user,created_date,last_edited_user,last_edited_date,Plan Source,RouteName,FacilityType,Status,Length of Segment(miles),LENGTH_LANE,LENGTH_ROUTE,ComfortLevel,Shape_Length
"MULTILINESTRING ((-90.092187076047 29.989901122676, -90.092125242869 29.989870274616, -90.092090826462 29.989856370747, -90.092037425196 29.989849814174, -90.091991347365 29.989846682004, -90.091924293762 29.989842892768, -90.091864300622 29.989837008365, -90.091801901716 29.989825808812, -90.091705285291 29.989796224897, -90.091612565097 29.989747562295, -90.091428738017 29.989667775062, -90.091334010472 29.989633429624, -90.091206289076 29.989603551845, -90.091051320107 29.989557487166, -90.090951044904 29.989527868161, -90.090839671896 29.989507702463, -90.090726329901 29.989498667739, -90.090633094523 29.989491416065, -90.090582022616 29.989478190012, -90.090512990761 29.989437715084, -90.090387813479 29.989350515308, -90.09032989849 29.989298994694, -90.090293920245 29.989249274537, -90.090270849173 29.989191711445, -90.090233259213 29.989124453097, -90.090170132953 29.989050582976, -90.090083083287 29.988987636527, -90.08991588374 29.988895259407, -90.089823325127 29.988833854968, -90.089672950584 29.988712964767, -90.089576911815 29.98863719006, -90.089500720359 29.988583903049, -90.089448017552 29.988554732409, -90.089378768301 29.988531776869, -90.089285613382 29.988518153498, -90.089165034707 29.98850267753, -90.08910722801 29.988497818504, -90.089048260306 29.988498376245, -90.088999502051 29.98850237862, -90.088951971072 29.988510855871, -90.088898777103 29.988526635383))",45038,CP FESTIVAL GR,1051,{A7EB0B7B-D588-410A-8EC0-5B6D8343824E},,,,1,,0,0,2013,2Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,2030,,Shared Use Path,Completed,0.2299033,0.46,0.2299033,,1213.889394169498
"MULTILINESTRING ((-90.095439803436 29.936361736494, -90.095541463063 29.93632347225, -90.095904183652 29.936193264464, -90.096279061893 29.93605868142, -90.09648634784 29.935984278418, -90.096560736556 29.936004888127, -90.096835263744 29.935948799456, -90.09707924557 29.935896457948, -90.09717220555 29.935878613833, -90.097273431869 29.935859181806, -90.097811376669 29.935747992804, -90.097906406078 29.935729730027, -90.098570744555 29.935597066242, -90.098656239388 29.935600657424, -90.098999104983 29.935573939747, -90.099464755564 29.935540711099, -90.099575054363 29.935532928055, -90.100602842523 29.935452991278, -90.101612334813 29.935378965229, -90.101699208103 29.93537048561, -90.101791702616 29.935361458573, -90.101793637587 29.935361295339, -90.102160503228 29.93533034522, -90.102165261841 29.935329944052, -90.10254782891 29.93529766826, -90.102549919243 29.935297506468, -90.102742371621 29.935282632731, -90.10283651268 29.93527531204))",44682,FRERET ST,1062,{73A75D80-7697-43B0-B8DA-7452152E312B},,,,1,,False,0,2014,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:32:10 PM +0000,2030,,Shared Lane,Completed,0.45334646,0.90669292,0.45334646,,2393.669271073069
"MULTILINESTRING ((-90.092948306164 29.986043300888, -90.092989982531 29.986048447428, -90.09303207003 29.986047785715, -90.093073505096 29.986041331891, -90.093113245147 29.986029248458, -90.093171466079 29.98600869134, -90.093231954412 29.985993905419, -90.093293958532 29.985985075786, -90.093356705994 29.985982312448, -90.09341941599 29.985985647749, -90.093481310673 29.985995042783, -90.093541617326 29.986010379299, -90.093599587973 29.986031466202, -90.093654500382 29.986058042266, -90.093705671549 29.98608977536, -90.093790298702 29.986182424843, -90.093810439374 29.986209356367, -90.093830830657 29.986241726135, -90.093849273573 29.986277509605, -90.09386287276 29.986310921532, -90.093874047729 29.98634667355, -90.093882123996 29.986383996929, -90.093887232354 29.986428213305, -90.093887725457 29.986467100103, -90.093884574305 29.986505838003, -90.093880749311 29.986529993261, -90.093870835475 29.986570988897, -90.093855576724 29.986613911872, -90.093831716002 29.986667987407, -90.093814428892 29.986700990293, -90.093792649882 29.986731912757, -90.093766703911 29.986760294115, -90.093740679794 29.986782869837, -90.093712018783 29.986802879161, -90.093681053338 29.986820090639, -90.093569818532 29.986874812034, -90.093516511856 29.986892952552, -90.093480292534 29.986902092842, -90.093430428623 29.986910826709, -90.093403450508 29.986913672612, -90.093360477345 29.986915767854, -90.093328827996 29.986915369557, -90.093290843371 29.986912692102, -90.093234636933 29.986904139118, -90.093192262071 29.986893957093, -90.093114394826 29.986869624017, -90.092979590912 29.986831709152, -90.092889578892 29.98668312478, -90.092859705641 29.986620170405, -90.092837385783 29.986554885493, -90.092822852247 29.98648795703, -90.092816257995 29.98642008478, -90.092817671871 29.986351982148, -90.092827079813 29.986284361758, -90.092823984006 29.986255364037, -90.092816531861 29.986226973958, -90.092804851984 29.986199684441, -90.09282277742 29.98616204306, -90.092846599216 29.986126966324, -90.092875845441 29.986095149909, -90.092909935106 29.986067225304, -90.092948191801 29.98604374641))",44889,COLLINS DIBOLL CIR,1108,{AC5C59FA-1C4C-44EA-A283-0A456844E0D1},,,,1,,0,0,2008,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:03 PM +0000,NOTMP,Wisner,Shared Lane,Completed,0.2092256,0.41800002,0.2092256,,1104.711170105443
"MULTILINESTRING ((-90.082276759044 29.962262016438, -90.082188461993 29.962360869343, -90.081962010471 29.962615385914, -90.081942906758 29.962636856772, -90.081920660055 29.962661820029, -90.081916760989 29.962666195738, -90.081527698226 29.96310276899, -90.081464430911 29.963173761482, -90.081181710957 29.963491385346, -90.080880784178 29.963827363438, -90.080821165013 29.963893927031, -90.080745302888 29.963978624111, -90.080633431068 29.964105834099, -90.080550119783 29.964197935099, -90.080549860251 29.96419822134, -90.080108293061 29.964691147948, -90.079991005495 29.964823886987, -90.079742014155 29.965103199298, -90.079554610761 29.965313421724, -90.079538955943 29.965330982366, -90.079492685472 29.965382281467, -90.07934163146 29.965549752389, -90.079314459844 29.965579876829, -90.079185549408 29.965719604915, -90.078859779816 29.966072708598, -90.078854822408 29.966078081914, -90.078804366892 29.966134584617, -90.078410656006 29.966575473868, -90.078361408959 29.966630845707, -90.077824112957 29.967234956024, -90.077766463873 29.9673000231, -90.077683979417 29.967323616961, -90.077594235983 29.967349287901))",44726,N GALVEZ ST,1146,{002235C4-7346-4D51-9645-95460B8308EE},,,,0,,1,1,2010,,,,Signed Route no Pavement Markings,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:01 PM +0000,2030,,Shared Lane,Completed,0.45083827,0.45100001,0.22541914,,2380.4261314223663
"MULTILINESTRING ((-90.072403736733 29.952417278574, -90.072605749829 29.95174916915, -90.072811245932 29.951061750778, -90.072944084267 29.950613712716, -90.07296972655 29.950528555214, -90.073029763434 29.950329450014, -90.073063623495 29.950214264747, -90.073110851815 29.950053606182, -90.073128430169 29.949993810642, -90.073133480259 29.949976630057, -90.073141241347 29.949957587073, -90.073231021594 29.949655641934, -90.073238597031 29.949630294198, -90.073238638162 29.949630154746, -90.073297911103 29.949431815303, -90.073362548115 29.949215526837, -90.073429411535 29.948988632306, -90.073459102558 29.948894140215, -90.073557379229 29.948562664142, -90.073681386304 29.948144399944, -90.073746779274 29.947925543544, -90.073855627306 29.94755986028, -90.073914468305 29.947363043865, -90.073972040233 29.947170474696, -90.074134463122 29.946624779733, -90.074174175579 29.946498143132, -90.07438731265 29.94577546386, -90.07440388286 29.945719991888))",44685,BARONNE ST (PILOT),1010,{9B45F021-B226-485D-A28D-78A70A3EED65},,,,0,,0,0,2014,4Q,,1,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:01 PM +0000,2030,,Buffered Bike Lane,Completed,0.47662672,0.477,0.47662672,,2516.5891531113439
"MULTILINESTRING ((-90.115683504211 30.006484064035, -90.11560932678 30.00648194343, -90.115558267321 30.006477165767, -90.115468806414 30.006450561889, -90.115413632284 30.00643851303, -90.115341016344 30.006443582054, -90.115301217951 30.006461870806, -90.115254685091 30.006491578857, -90.1151764919 30.006548261667, -90.115119995427 30.006583617386, -90.115050309388 30.006618851933, -90.114987445453 30.00663549172, -90.114921424626 30.006640621546, -90.114863665683 30.006644392375, -90.114801029627 30.006642378132, -90.114725291745 30.006633065448, -90.114667707118 30.006622486233, -90.114647974933 30.006617998197))",44674,WEST END CROSSOVER 5,1238,{E0BA2BDF-4ADF-4444-94D9-057935C715F6},,,,1,,False,0,,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,2030,,Shared Use Path,Completed,0.0667087,0.1334174,0.0667087,,352.22194633333584
"MULTILINESTRING ((-90.106068247658 30.019460650172, -90.106475372351 30.019494856132, -90.106580700792 30.019503852787, -90.1070060062 30.019540180688, -90.107072516241 30.019546921654, -90.107558080491 30.019587035273, -90.108221008926 30.019645413585, -90.108303067413 30.019652150631, -90.108521970001 30.019670334916, -90.10859820499 30.019678681294, -90.10869421703 30.019687040148, -90.110571259822 30.019850451427, -90.110644912631 30.019858029212, -90.110689826442 30.019862650595, -90.11081018546 30.019875034109, -90.110878239355 30.019881126157, -90.111044991266 30.019896053155, -90.111113613546 30.019902127802, -90.111402658614 30.019927715049, -90.111609098234 30.019943880269, -90.11176450112 30.019957014809, -90.111854851152 30.019966705531, -90.112390872338 30.020018906131, -90.112418352093 30.020021582484, -90.112500670808 30.020027095015, -90.11308075733 30.020078256909, -90.113182611866 30.020087239535, -90.113519469021 30.020112930449))",44752,ROBERT E LEE BLVD,1182,{6CC81449-11A5-400B-A6E8-4028ABA00901},,,,0,,True,1,2008,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:33:39 PM +0000,NOTMP,,Shared Lane,Completed,0.44887267,0.44887267,0.22443633,,2370.0477144895644
"MULTILINESTRING ((-90.099554585248 29.951553971215, -90.09922115098 29.95184540121, -90.099213103237 29.951853416891, -90.099168032914 29.951898307553, -90.099158890034 29.951907413674, -90.09909662901 29.951969426107, -90.099009766956 29.95204457241, -90.098941662626 29.952094505991, -90.098890069012 29.952130355507, -90.098862457665 29.952148479317, -90.098806518384 29.952185197474, -90.098793331503 29.952193315584, -90.098731366407 29.952231461335, -90.098544019156 29.952339129821, -90.098443423822 29.952399255638, -90.098337455361 29.952471853842, -90.09820725839 29.952574003405, -90.098168310026 29.952610304259, -90.098104412474 29.952678304276, -90.098042315531 29.952747558117, -90.098034160331 29.952756875532, -90.097973922735 29.952827742834, -90.097915560219 29.952899790684, -90.097546120022 29.953401402884, -90.097511803819 29.953451720723))",45025,S BROAD ST,1191,{316A0A75-CF67-4548-AE50-429200A8FB1C},,,,0,,True,1,2015,3Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:41:45 PM +0000,2030,,Bike Lane,Completed,0.18104915,0.18104915,0.09052457,,955.93949375087084
"MULTILINESTRING ((-90.071219246142 29.951960273942, -90.072403736733 29.952417278574, -90.07250877454 29.952458051707, -90.073424863519 29.952810215466, -90.073547876424 29.952858901889, -90.073880874989 29.952987656324, -90.074212521708 29.953116131715))",44836,GRAVIER ST,1083,{F9970223-6CD6-48D4-AD82-D64E13C4EA6C},,,,0,,False,0,2010,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:35:16 PM +0000,NOTMP,River Crescent,Bike Lane,Completed,0.19638948,0.19638948,0.19638948,,1036.9364662159712
"MULTILINESTRING ((-90.074946445786 29.948101943698, -90.075028246139 29.94812128846, -90.075049562872 29.948126329165, -90.075546329522 29.948239480753, -90.075557321346 29.948241973124, -90.075648166069 29.948262575048))",44688,GIROD ST,1075,{03690ECD-2C15-40DC-9EF7-38E5477EBCFA},,,,1,,False,0,2013,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:32:10 PM +0000,NOTMP,River Crescent,Shared Lane,Completed,0.04351945,0.0870389,0.04351945,,229.78265403943166
