Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Union Description,Bargaining Unit Short Name,Bargaining Unit Description,Minimum Salary Rate,Maximum Salary Rate
06144,ASSISTANT LEGISLATIVE REPRESEN,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06145,CHAUFFEUR-ATTENDANT (BORO PRES,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,49492.00,89999.00
06147,PUBLIC RELATIONS OFFICER (BORO,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06165,SUPERVISOR OF NURSES (BOARD OF,35,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,44766.00,49017.00
06165,SUPERVISOR OF NURSES (BOARD OF,37.5,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,67485.00,73802.00
06168,ASSISTANT ADMINISTRATOR (OFFIC,35,00,665,TEMPORARY OJ,N/U,Non-Union,30335.00,38644.00
06179,DIRECTOR OF NEIGHBORHOOD PARK,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06185,DEPUTY DIRECTOR OF PROBATION (,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06188,SECRETARY TO THE EXECUTIVE DIR,35,00,665,TEMPORARY OJ,N/U,Non-Union,44926.00,89699.00
06216,OCCUPATIONAL THERAPIST (BOE),32,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,58222.00,59563.00
06216,OCCUPATIONAL THERAPIST (BOE),35,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,35153.00,36164.00
06217,SENIOR OCCUPATIONAL THERAPIST,32,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,62951.00,64403.00
06217,SENIOR OCCUPATIONAL THERAPIST,35,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,37400.00,41403.00
06218,PHYSICAL THERAPIST (BOE),32,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,58222.00,59563.00
06218,PHYSICAL THERAPIST (BOE),35,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,35324.00,36164.00
06219,SENIOR PHYSICAL THERAPIST (BOE,32,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,62951.00,64403.00
06219,SENIOR PHYSICAL THERAPIST (BOE,35,00,076,STAFF NURSES - UFT,UFT,United Federation of Teachers,38245.00,39153.00
06227,ASSISTANT DIRECTOR OF ADMINIST,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06240,CASE MANAGEMENT NURSE (DOC),35,01,075,STAFF NURSE NEW YORK STATE NUR,NYNA,New York State Nurses Assoc,80265.00,80265.00
06240,CASE MANAGEMENT NURSE (DOC),35,02,075,STAFF NURSE NEW YORK STATE NUR,NYNA,New York State Nurses Assoc,83286.00,83286.00
06242,EXECUTIVE ASSISTANT TO THE FIR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,18000.00,20000.00
06311,DIRECTOR OF AUDITS (OFFICE OF,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06314,INCINERATOR FACILITY MANAGER (,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35,01,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,48637.00,63702.00
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35,02,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,58167.00,72011.00
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35,03,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,69245.00,89822.00
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,01,665,TEMPORARY OJ,N/U,Non-Union,70519.00,93613.00
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,02,665,TEMPORARY OJ,N/U,Non-Union,80114.00,103803.00
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,03,665,TEMPORARY OJ,N/U,Non-Union,91490.00,113978.00
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,04,665,TEMPORARY OJ,N/U,Non-Union,92747.00,129349.00
06393,STAFF ASSISTANT (OFFICE OF THE,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,34000.00,89254.00
06395,WORD PROCESSING SYSTEM MANAGER,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06396,PROJECT DIRECTOR (DEPT OF PROB,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06401,DIRECTOR OF ADMINISTRATION (LA,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06402,DEPUTY DIRECTOR OF ADMINISTRAT,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06405,MAYORAL OFFICE ASSISTANT,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,27643.00,70567.00
06407,EXECUTIVE DIRECTOR OF FOOD SER,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06423,MAYORAL PROGRAM COORDINATOR (M,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,43574.00,76986.00
06426,FIELD INVESTIGATION SPECIALIST,35,01,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,48543.00,63590.00
06426,FIELD INVESTIGATION SPECIALIST,35,02,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,58057.00,71875.00
06426,FIELD INVESTIGATION SPECIALIST,35,03,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,69111.00,89648.00
06429,SECRETARY TO PUBLIC ADMINISTRA,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,33781.00,45731.00
06431,SPECIAL ASSISTANT TO THE BOROU,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06432,HIGH SCHOOL STUDENT AIDE (MAYO,35,00,670,OJ STUDENT AIDES,N/U,Non-Union,7.25,7.25
06433,DEPUTY COMMISSIONER (CDCSA),35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06435,DEP DIR OF AUDIT & PROG ANALYS,35,00,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,44558.00,137387.00
06437,DEPUTY DIRECTOR OF EQUAL OPPOR,35,00,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,44558.00,137387.00
06442,DEPUTY DIRECTOR OF METHODS & A,35,00,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,44558.00,137387.00
06448,EXECUTIVE ASSISTANT TO THE COM,35,00,665,TEMPORARY OJ,N/U,Non-Union,30000.00,47000.00
06449,SECRETARY OF COMMISSIONER (CDC,35,00,665,TEMPORARY OJ,N/U,Non-Union,55612.00,93932.00
06451,DIRECTOR OF ECONOMIC DEVELOPME,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06458,DEPUTY EXECUTIVE DIRECTOR CAMP,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06462,DEPUTY DIRECTOR OF ADMIN WORKE,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06463,SECRETARY TO THE EXECUTIVE DIR,35,00,665,TEMPORARY OJ,N/U,Non-Union,57751.00,82518.00
06470,DIRECTOR OF PUBLIC RELATIONS (,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06489,DEPUTY COMMISSIONER FOR LAW EN,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06490,DEP COMMISSIONER FOR COMMUNITY,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06503,ASSISTANT CORPORATION COUNSEL,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,34107.00,200000.00
06505,DIRECTOR (DEFERRED COMPENSATIO,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06507,EXECUTIVE DIRECTOR (ISP - PROB,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06508,ASSISTANT TO THE MAYOR,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06514,CHAUFFER ATTENDANT (SANTITATIO,35,00,665,TEMPORARY OJ,N/U,Non-Union,43860.00,43860.00
06517,SENIOR STUDENT LEGAL SPECIALIS,35,00,019,ATTORNEYSCSBA 237 IBT,IBT,Intl Brotherhood of Teamsters,58368.00,58368.00
06545,SECRETARY OF COMMISSIONER (DEP,35,00,665,TEMPORARY OJ,N/U,Non-Union,55612.00,93932.00
06547,CONFIDENTIAL INVESTIGATOR (CON,35,01,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,48650.00,64693.00
06547,CONFIDENTIAL INVESTIGATOR (CON,35,02,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,58186.00,73140.00
06547,CONFIDENTIAL INVESTIGATOR (CON,35,03,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,69266.00,91221.00
06550,SPECIAL COMMISSIONER OF INVEST,35,00,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,46343.00,150148.00
06558,ASST DIRECTOR OF INTERGOVERMEN,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06577,ASSISTANT TO THE PUBLIC ADMINI,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,28000.00,40000.00
06580,CHAUFFEUR-ATTENDANT (BOARD OF,40,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,23961.00,35770.00
06588,SECRETARY TO THE DIRECTOR OF P,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,55612.00,93932.00
06591,MEDICOLEGAL ANALYST (LAW DEPT),35,01,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,68811.00,84255.00
06591,MEDICOLEGAL ANALYST (LAW DEPT),35,02,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,74998.00,89805.00
06593,FOOD SERVICE ADMINISTRATOR (DC,35,00,121,L237 INSTITUTIONAL TITLES,IBT,Intl Brotherhood of Teamsters,74364.00,83661.00
06595,PEER COUNSELOR (HIGH SCHOOL -,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,12330.00,12330.00
06597,ASSISTANT RACKETS INVESTIGATOR,40,00,681,DA-NON-MAYOR SALARY/TEMPORARY,N/U,Non-Union,33000.00,113500.00
06601,ANALYST CFB AL 1 ONLY,35,01,128,CLERICAL TITLES DC37,DC37,District Council 37,34528.00,60133.00
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35,01,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,40037.00,60095.00
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35,02,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,51799.00,86315.00
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35,03,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,63183.00,113171.00
06603,ADMIN ASST-CAMPAIGN FIN BOARD,35,01,128,CLERICAL TITLES DC37,DC37,District Council 37,32432.00,56398.00
06603,ADMIN ASST-CAMPAIGN FIN BOARD,35,02,128,CLERICAL TITLES DC37,DC37,District Council 37,39901.00,73268.00
06604,ATTORNEY-CAMPAIGN FIN BOARD,35,01,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,63210.00,98537.00
06604,ATTORNEY-CAMPAIGN FIN BOARD,35,02,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,76826.00,148098.00
0660A,ANALYST CFB AL 2&3 ONLY,35,02,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,37296.00,79863.00
0660A,ANALYST CFB AL 2&3 ONLY,35,03,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,58968.00,108465.00
06611,NURSE PRACTITIONER(DEPT HEALTH,35,01,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,72634.00,100521.00
06611,NURSE PRACTITIONER(DEPT HEALTH,35,02,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,77717.00,104409.00
06611,NURSE PRACTITIONER(DEPT HEALTH,35,03,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,83346.00,111231.00
06612,SECRETARY TO THE SPECIAL COMMI,35,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,53793.00,80000.00
06638,SECRETARY TO THE CHAIRPERSON (,35,00,665,TEMPORARY OJ,N/U,Non-Union,55612.00,88123.00
06654,SECRETARY TO THE FIRST DEPUTY,35,00,665,TEMPORARY OJ,N/U,Non-Union,57951.00,82923.00
06656,SPECIAL EXAMINER (PHYSICAL TES,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,10.00,99.00
06657,SPECIAL ADMINISTRATOR (PHYSICA,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,0.00,0.00
06663,POISON INFORMATION SPECIALIST(,37.5,01,087,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,75932.00,86525.00
06663,POISON INFORMATION SPECIALIST(,37.5,02,087,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,81228.00,91824.00
06663,POISON INFORMATION SPECIALIST(,37.5,03,087,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,90058.00,100654.00
06663,POISON INFORMATION SPECIALIST(,37.5,04,087,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,93589.00,104185.00
06664,PLAYGROUND ASSOCIATE,35,00,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,20.38,27.68
06665,DECEDENT PROPERTY AGENT(QUEENS,35,00,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,47705.00,63794.00
06666,CHAUFFER-ATTENDANT (DCAS),40,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,24440.00,26529.00
06668,SPECIAL EXAMINER (DCAS),35,00,665,TEMPORARY OJ,N/U,Non-Union,10.00,1000.00
06674,CHIEF INVESTIGATOR (CCRB),35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
0667A,HEARING OFFICER (PVB - NOT EMP,1,00,660,PART TIME OJ,N/U,Non-Union,54.93,54.93
06683,EXECUTIVE DIRECTOR (POLICE COM,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35,01,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,48650.00,64693.00
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35,02,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,58186.00,73140.00
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35,03,003,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,69266.00,91221.00
06689,SPECIAL ASSISTANT (OFFICE OF T,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,78360.03,78360.03
0668A,Special Assistant (MA)-MGRL,35,00,883,MGRL TEMP - PROP EX,N/U,Non-Union,63301.00,252165.00
06692,CHIEF OF STAFF (OFFICE OF THE,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06693,DEPUTY EXECUTIVE DIRECTOR (POL,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06694,SECRETARY TO THE COMMISSIONER,35,00,665,TEMPORARY OJ,N/U,Non-Union,55612.00,93932.00
06697,SECRETARY TO THE DEPUTY COMMIS,35,00,665,TEMPORARY OJ,N/U,Non-Union,48096.00,81075.00
06699,ADMINISTRATOR OF MEDICAL AFFAI,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06706,DEPUTY COMMISSIONER (DDC),35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06707,DEPUTY COMMISSIONER FOR POLICY,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06710,ASSISTANT BUDGET ANALYST (COMP,35,00,665,TEMPORARY OJ,N/U,Non-Union,39698.00,84395.00
06711,BUDGET ANALYST (COMPTROLLER),35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,59279.00,108898.00
06712,ASSISTANT BUDGET ANALYST (IBO),35,00,665,TEMPORARY OJ,N/U,Non-Union,39698.00,84395.00
06713,BUDGET ANALYST (IBO),35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,59279.00,108898.00
06716,SENIOR ACCOUNTANT INVESTIGATOR,35,00,665,TEMPORARY OJ,N/U,Non-Union,59550.00,82199.00
06719,SUPERVISING ACCOUNTANT INVESTI,35,00,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,75205.00,102393.00
0671A,BUDGET ANALYST (IBO) ((MANAGER,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06730,SECRETARY TO THE FIRST ASSISTA,35,00,665,TEMPORARY OJ,N/U,Non-Union,68430.00,86845.00
06733,DEPUTY CHIEF RACKETS INVESTIGA,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06738,SECRETARY TO THE FIRST DEPUTY,35,00,665,TEMPORARY OJ,N/U,Non-Union,43543.00,80816.00
06741,EXECUTIVE DIRECTOR NYC POLICE,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06742,DEPUTY CITY CLERK (STATEN ISLA,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
06743,EXECUTIVE DEPUTY COMMISSIONER,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
