LocationAbbr,LocationDesc,Year,Topic,Indicator,SubMeasure,Amount,Data_Value_Unit,Data_Value_Footnote_Symbol,Data_Value_Footnote,GeoLocation,TopicTypeId,TopicId,MeasureId,Source,SubMeasureID,DisplayOrder
DE,Delaware,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,23964992.75,$,,,"(39.008830667, -75.577741168)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,138056762.51,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NC,North Carolina,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,139504572.04,$,,,"(35.466220975, -79.159250463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,66053886.53,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WA,Washington,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,151183165.36,$,,,"(47.522278629, -120.47001079)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,112831177.60,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NM,New Mexico,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,40949708.41,$,,,"(34.520880952, -106.240580985)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NY,New York,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,714304862.19,$,,,"(42.827001032, -75.543970427)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
GA,Georgia,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,143160805.78,$,,,"(32.839681093, -83.627580346)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ID,Idaho,2002,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,25163233.32,$,,,"(43.682630005, -114.363730042)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WY,Wyoming,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,18633901.53,$,,,"(43.235541343, -108.109830353)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WA,Washington,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,119760109.25,$,,,"(47.522278629, -120.47001079)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IL,Illinois,2013,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,273596370.16,$,,,"(40.485010283, -88.997710178)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OH,Ohio,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,321141992.50,$,,,"(40.060210141, -82.404260056)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AK,Alaska,2004,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,21461642.35,$,,,"(64.845079957001, -147.722059036)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,23672465.43,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ME,Maine,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,46700821.04,$,,,"(45.254228894001, -68.985031336)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,100404456.54,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,47229074.73,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,129755834.96,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,24496681.25,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MD,Maryland,2019,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,131937714.60,$,,,"(39.290580964, -76.609260111)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NJ,New Jersey,2003,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,224161261.14,$,,,"(40.130570048, -74.273691288)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,132670346.23,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NE,Nebraska,2004,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,37400836.94,$,,,"(41.641040988001, -99.365720623)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,66595427.62,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NM,New Mexico,2004,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,37488987.17,$,,,"(34.520880952, -106.240580985)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
FL,Florida,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,357300000.00,$,,,"(28.932040377, -81.928960539)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ND,North Dakota,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,36481077.11,$,,,"(47.475319779, -100.118421049)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,62450858.71,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,16120143.25,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AK,Alaska,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,37252370.44,$,,,"(64.845079957001, -147.722059036)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,131547670.74,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,143779092.67,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AR,Arkansas,2013,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,75686062.69,$,,,"(34.748650124, -92.274490743)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MS,Mississippi,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,120207533.72,$,,,"(32.745510099, -89.538030825)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MT,Montana,2003,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,24622268.89,$,,,"(47.066528972, -109.424420645)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CT,Connecticut,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,118987704.06,$,,,"(41.56266102, -72.649840952)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MN,Minnesota,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,172964906.62,$,,,"(46.355648736, -94.794200503)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OR,Oregon,2019,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,69915097.56,$,,,"(44.567449424, -120.155031326)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NY,New York,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,688466153.07,$,,,"(42.827001032, -75.543970427)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,318376788.97,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
PA,Pennsylvania,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,352496405.83,$,,,"(40.793730152, -77.860700294)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
