Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
TEXAS,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,82,,93,,218,,1851,,1669,,"TEXAS
(31.82724, -99.426768)",
MISSOURI,2015,29,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,10,,30,,86,,387,,"MISSOURI
(38.635791, -92.566299)",
UTAH,2015,29,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,2,,6,,14,,189,,213,,"UTAH
(39.360701, -111.587128)",
OREGON,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,9,,18,,250,,193,,"OREGON
(44.56745, -120.155029)",
MOUNTAIN,2015,29,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,41,,52,,161,,1508,,1391,,,
ARKANSAS,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,13,,30,,319,,241,,"ARKANSAS
(34.74865, -92.27449)",
C.N.M.I.,2015,39,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
OREGON,2015,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,10,,20,,393,,294,,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2015,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,26,,302,,247,,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,5,,37,,45,,"WYOMING
(43.235541, -108.109827)",
NORTH DAKOTA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,51,,49,,"NORTH DAKOTA
(47.475319, -100.118428)",
WISCONSIN,2015,30,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,11,,79,,302,,498,,"WISCONSIN
(44.393191, -89.816366)",
W.S. CENTRAL,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,161,,148,,275,,3173,,3026,,,
NEW HAMPSHIRE,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,7,,79,,105,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
PENNSYLVANIA,2015,30,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,31,,27,,69,,691,,734,,"PENNSYLVANIA
(40.793734, -77.860697)",
VIRGINIA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,21,,20,,58,,497,,488,,"VIRGINIA
(37.542681, -78.457889)",
MISSISSIPPI,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,16,,58,,398,,395,,"MISSISSIPPI
(32.745513, -89.538027)",
MOUNTAIN,2015,30,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,27,,51,,161,,1553,,1454,,,
MINNESOTA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,31,,,-,417,,"MINNESOTA
(46.355649, -94.7942)",
GEORGIA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,33,,94,,849,,982,,"GEORGIA
(32.839683, -83.627579)",
IDAHO,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,4,,108,,419,,85,,"IDAHO
(43.682632, -114.363727)",
W.N. CENTRAL,2015,30,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,11,,39,,109,,968,,1541,,,
NEW MEXICO,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,151,,152,,"NEW MEXICO
(34.520881, -106.240578)",
COLORADO,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,26,,48,,321,,"COLORADO
(38.843843, -106.133609)",
OHIO,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,33,,23,,48,,769,,657,,"OHIO
(40.060212, -82.404257)",
NORTH CAROLINA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,29,,190,,719,,528,,"NORTH CAROLINA
(35.46622, -79.15925)",
C.N.M.I.,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
MID. ATLANTIC,2015,30,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,57,,72,,182,,1884,,2513,,,
CONNECTICUT,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,23,,221,,245,,"CONNECTICUT
(41.562661, -72.64984)",
MISSOURI,2015,30,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,10,,30,,86,,414,,"MISSOURI
(38.635791, -92.566299)",
AMER. SAMOA,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
ALABAMA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,18,,41,,457,,589,,"ALABAMA
(32.840572, -86.631857)",
RHODE ISLAND,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,14,,49,,63,,"RHODE ISLAND
(41.708281, -71.522466)",
NEW ENGLAND,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,41,,87,,1064,,1097,,,
UTAH,2015,30,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,6,,14,,193,,217,,"UTAH
(39.360701, -111.587128)",
E.S. CENTRAL,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,62,,154,,1535,,1774,,,
ALASKA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,1,,4,,33,,44,,"ALASKA
(64.845078, -147.72206)",
E.N. CENTRAL,2015,30,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,42,,94,,177,,2589,,3076,,,
MARYLAND,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,16,,50,,478,,393,,"MARYLAND
(39.290583, -76.60926)",
ILLINOIS,2015,30,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,,-,31,,65,,791,,937,,"ILLINOIS
(40.485012, -88.997709)",
LOUISIANA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,40,,22,,51,,594,,559,,"LOUISIANA
(31.312663, -92.445678)",
ARIZONA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,18,,41,,484,,480,,"ARIZONA
(34.865974, -111.763807)",
GUAM,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,8,,"GUAM
(13.480999, 144.731498)",
NEBRASKA,2015,30,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,6,,5,,13,,150,,118,,"NEBRASKA
(41.641044, -99.365719)",
IOWA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,11,,23,,361,,256,,"IOWA
(42.469401, -93.816487)",
FLORIDA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,154,,114,,225,,2739,,2606,,"FLORIDA
(28.932043, -81.928958)",
NEW YORK,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,26,,24,,58,,653,,645,,"NEW YORK
(42.827004, -75.543966)",
UNITED STATES,2015,7,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,246,,854,,1613,,2836,,3203,,,
NEW ENGLAND,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,40,,86,,53,,165,,,
MID. ATLANTIC,2015,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,39,,71,,187,,246,,355,,,
E.N. CENTRAL,2015,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,10,,97,,206,,228,,415,,,
W.N. CENTRAL,2015,7,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,18,,40,,79,,194,,144,,,
S. ATLANTIC,2015,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,77,,233,,574,,990,,1131,,,
DIST. OF COL.,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,5,,DIST. OF COL.,
E.S. CENTRAL,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,57,,157,,125,,247,,,
W.S. CENTRAL,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,52,,151,,254,,443,,293,,,
MOUNTAIN,2015,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,21,,58,,92,,197,,222,,,
WEST VIRGINIA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,96,,108,,"WEST VIRGINIA
(38.665511, -80.712638)",
PACIFIC,2015,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,19,,129,,246,,360,,231,,,
VIRGIN ISL.,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
PACIFIC,2015,30,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,47,,93,,220,,2286,,3563,,,
SOUTH CAROLINA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,56,,25,,77,,645,,531,,"SOUTH CAROLINA
(33.998822, -81.045366)",
VERMONT,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,7,,45,,51,,"VERMONT
(43.625384, -72.517637)",
KENTUCKY,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,25,,239,,319,,"KENTUCKY
(37.645973, -84.774968)",
PUERTO RICO,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,N,,-,11,,34,,251,,418,,"PUERTO RICO
(18.248289, -66.49989)",
TENNESSEE,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,16,,54,,441,,471,,"TENNESSEE
(35.680941, -85.774487)",
DELAWARE,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,15,,64,,70,,"DELAWARE
(39.008834, -75.577736)",
MASSACHUSETTS,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,22,,53,,597,,563,,"MASSACHUSETTS
(42.276874, -72.082687)",
NEW YORK CITY,2015,30,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,16,,37,,436,,515,,"NEW YORK CITY
(40.714268, -74.005969)",
MONTANA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,35,,110,,68,,"MONTANA
(47.066528, -109.424416)",
TEXAS,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,79,,93,,218,,1957,,1828,,"TEXAS
(31.82724, -99.426768)",
MAINE,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,2,,8,,73,,70,,"MAINE
(45.254229, -68.985026)",
INDIANA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,25,,290,,426,,"INDIANA
(39.766913, -86.149956)",
WASHINGTON,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,41,,14,,44,,386,,308,,"WASHINGTON
(47.522288, -120.470028)",
VIRGIN ISL.,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEVADA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,8,,111,,86,,"NEVADA
(39.493242, -117.071839)",
SOUTH DAKOTA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,87,,85,,"SOUTH DAKOTA
(44.35313, -100.373529)",
MICHIGAN,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,17,,56,,437,,558,,"MICHIGAN
(44.661322, -84.714386)",
HAWAII,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,127,,149,,"HAWAII
(21.304852, -157.857748)",
OKLAHOMA,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,21,,10,,53,,282,,380,,"OKLAHOMA
(35.472031, -97.521068)",
