Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Russo's New York Pizzeria,78759,01/02/2020,74,"10721 RESEARCH BLVD
AUSTIN, TX 78759
(30.39891, -97.74562)",12121330,Routine Inspection
Pelons,78701,07/09/2018,83,"802 RED RIVER ST
AUSTIN, TX 78701
(30.268661, -97.736392)",10730245,Routine Inspection
Wild Chix & Waffles,78757,12/12/2017,82,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.356921, -97.73276)",11530590,Routine Inspection
"A Taste of Chocolate, LLC",78745,01/23/2020,99,"1606 W STASSNEY LN
AUSTIN, TX 78745
(30.213367, -97.793265)",10984781,Routine Inspection
Freda's Seafood Grill,78750,01/04/2019,88,"10903 PECAN PARK BLVD
AUSTIN, TX 78750
(30.464696, -97.803518)",2801554,Routine Inspection
Dan's Hamburgers #2,78704,09/18/2019,92,"4308 MANCHACA RD
AUSTIN, TX 78704
(30.230576, -97.787895)",2800120,Routine Inspection
The Children's Center of Austin,78746,06/09/2017,99,"8100 FM 2244 RD
AUSTIN, TX 78746
(30.313032, -97.851963)",2802860,Routine Inspection
ABIA- Starbucks,78719,02/04/2020,93,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",12186503,Routine Inspection
"Upstairs Circus ATX, LLC",78701,11/29/2018,100,"234 W 2ND ST
AUSTIN, TX 78701
(30.264785, -97.745905)",11906798,Routine Inspection
Rainey Street LLC dba Lustre Pearl,78701,02/01/2018,96,"94 RAINEY ST
AUSTIN, TX 78701
(30.26062, -97.738108)",11473303,Routine Inspection
Austin Baptist Chapel,78702,06/06/2017,96,"908 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.260704, -97.734925)",2800389,Routine Inspection
Rincon Catracho Restaurant,78741,04/18/2018,84,"1729 E RIVERSIDE DR
AUSTIN, TX 78741
(30.243562, -97.729636)",10926960,Routine Inspection
Casulo Cafe,78741,01/25/2018,95,"3017 S IH
AUSTIN, TX 78741",10308719,Routine Inspection
"Schlotzsky's Stores, LLC",78729,12/29/2017,94,"13201 N FM 620 RD
AUSTIN, TX 78729",10004373,Routine Inspection
"French Quarter Grille, The",78753,07/26/2017,86,"13000 N IH
AUSTIN, TX 78753",10571107,Routine Inspection
Hampton Inn Austin South,78744,10/30/2018,98,"4141 GOVERNORS ROW
AUSTIN, TX 78744
(30.214102, -97.749738)",11066358,Routine Inspection
Second Bar & Kitchen,78719,02/03/2020,87,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",11763654,Routine Inspection
Jim-Jim's Water Ice,78701,03/16/2018,98,"615 E 6TH ST
AUSTIN, TX 78701
(30.26628, -97.736488)",2800959,Routine Inspection
Jim's Coffee Shop #29,78736,07/18/2019,90,"7101 W SH
AUSTIN, TX 78736",2800710,Routine Inspection
Zoe's Kitchen,78730,09/18/2018,95,"10815 FM 2222 RD
AUSTIN, TX 78730",11863399,Routine Inspection
Thundercloud Subs,78701,08/14/2019,87,"1608 LAVACA ST
AUSTIN, TX 78701
(30.278895, -97.74142)",2800607,Routine Inspection
Aster's Ethiopian Restaurant,78705,07/13/2017,89,"2804 N IH
AUSTIN, TX 78705",10007252,Routine Inspection
Texaco Braker Mart,78758,08/10/2017,80,"2601 W BRAKER LN
AUSTIN, TX 78758
(30.390871, -97.720803)",10001712,Routine Inspection
Freebirds,78704,09/13/2018,96,"515 S CONGRESS AVE
AUSTIN, TX 78704
(30.256161, -97.747239)",10069508,Routine Inspection
Samsung Kitchen,78746,08/09/2018,92,"3900 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.337341, -97.805068)",11683548,Routine Inspection
Capital One Cafe,78701,11/09/2018,93,"106 E 6TH ST
AUSTIN, TX 78701
(30.267937, -97.742385)",11845695,Routine Inspection
The Barr Mansion,78754,07/17/2018,93,"10463 SPRINKLE RD
AUSTIN, TX 78754
(30.35207, -97.647056)",2800683,Routine Inspection
Snap Kitchen #13,78717,05/04/2018,100,"10526 W PARMER LN
AUSTIN, TX 78717
(30.496761, -97.774899)",11282261,Routine Inspection
McDonald's Restaurant at North Lamar,78753,06/20/2019,94,"9422 N LAMAR BLVD
AUSTIN, TX 78753
(30.364105, -97.696449)",11348389,Routine Inspection
Tapioca House,78705,09/18/2019,73,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.2825, -97.742091)",11809319,Routine Inspection
Moms 7,78617,06/26/2017,84,"13000 FM 812 RD
AUSTIN, TX 78617
(30.129462, -97.643339)",10780044,Routine Inspection
Polkadots Cupcake Factory,78705,08/29/2018,100,"2826 RIO GRANDE ST
AUSTIN, TX 78705
(30.295553, -97.743921)",10135583,Routine Inspection
Ravenscroft Market,78748,09/28/2017,100,"11200 MANCHACA RD
AUSTIN, TX 78748
(30.157697, -97.833381)",11389501,Routine Inspection
Taqueria Krystal,78653,06/09/2017,94,"13620 N FM 973 RD
MANOR, TX 78653
(30.360178, -97.532494)",11632792,Routine Inspection
Gaston Food Mart,78723,02/20/2018,96,"2157 GASTON PLACE DR
AUSTIN, TX 78723
(30.311967, -97.685658)",10004935,Routine Inspection
Baby Acapulco #2,78704,07/11/2019,87,"1628 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.262913, -97.762551)",2800354,Routine Inspection
Little Woodrow's,78756,06/20/2018,98,"5425 BURNET RD
AUSTIN, TX 78756
(30.329098, -97.739861)",11586655,Routine Inspection
"Sound Gallery, The",78745,04/12/2018,99,"4930 S CONGRESS AVE
AUSTIN, TX 78745
(30.212672, -97.770455)",11196553,Routine Inspection
7-Eleven Convenience Store #36273A,78731,11/29/2017,84,"3550 FAR WEST BLVD
AUSTIN, TX 78731
(30.353691, -97.753614)",11087894,Routine Inspection
Little Woodrow's,78729,12/21/2018,96,"6301 W PARMER LN
AUSTIN, TX 78729
(30.445314, -97.743259)",11572864,Routine Inspection
Champ's Food Mart,78741,11/14/2017,95,"2433 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.227802, -97.727487)",10813187,Routine Inspection
East Buffet,78744,06/13/2019,81,"6425 S IH
AUSTIN, TX 78744",11869942,Follow-Up Inspection
2nd Street Market,78701,01/24/2018,91,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection
Homewood Suites - Austin,78744,05/24/2017,83,"4143 GOVERNORS ROW
AUSTIN, TX 78744
(30.21349, -97.750106)",11396711,Routine Inspection
The Steeping Room,78758,03/14/2019,100,"9715 BURNET RD
AUSTIN, TX 78758
(30.381209, -97.724605)",11804789,Routine Inspection
Aloft Element Banquets,78701,07/22/2019,97,"109 E 7TH ST
AUSTIN, TX 78701
(30.268875, -97.74202)",11733659,Routine Inspection
Ortega Elementary,78721,08/26/2019,97,"1135 GARLAND AVE
AUSTIN, TX 78721
(30.269917, -97.684962)",2800345,Routine Inspection
Hilton Austin,78719,09/22/2017,83,"9515 HOTEL DR
AUSTIN, TX 78719
(30.212061, -97.663182)",2802487,Routine Inspection
Bert's BBQ,78731,09/12/2019,88,"3563 FAR WEST BLVD
AUSTIN, TX 78731
(30.353534, -97.753552)",2800469,Routine Inspection
Torchy's Tacos,78726,05/24/2018,93,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4545, -97.82678)",10652331,Routine Inspection
The Nomad Bar,78723,07/17/2018,89,"1211 CORONA DR
AUSTIN, TX 78723
(30.312923, -97.704809)",10095005,Routine Inspection
Jack in the Box #912,78723,09/07/2018,82,"6540 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.30419, -97.660958)",10790632,Routine Inspection
Cuba 512,78701,12/31/2019,93,"906 CONGRESS AVE
AUSTIN, TX 78701
(30.271167, -97.741653)",12165100,Routine Inspection
Maru Japanese Restaurant,78756,05/06/2019,96,"4636 BURNET RD
AUSTIN, TX 78756
(30.317786, -97.740079)",10424710,Routine Inspection
Mariscos Tampico,78753,04/03/2018,85,"10601 N LAMAR BLVD
AUSTIN, TX 78753
(30.374751, -97.69044)",2801879,Routine Inspection
Sonic Drive In,78704,08/09/2019,91,"2632 S LAMAR BLVD
AUSTIN, TX 78704
(30.245461, -97.779775)",2800288,Routine Inspection
CVS/Pharmacy #8322,78750,01/09/2020,98,"11725 N FM 620 RD
AUSTIN, TX 78750
(30.457695, -97.823436)",2804049,Routine Inspection
Pizza Patron,78744,06/13/2019,98,"5717 S IH
AUSTIN, TX 78744",12149398,Routine Inspection
Panera Bread,78759,08/16/2019,99,"9901 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78759
(30.390568, -97.740543)",10261583,Routine Inspection
Lula Mae's Catering & BBQ,78722,08/01/2019,95,"3842 AIRPORT BLVD
AUSTIN, TX 78722
(30.288785, -97.707277)",11920954,Routine Inspection
Shakespeare's Pub,78701,05/03/2019,96,"314 E 6TH ST
AUSTIN, TX 78701
(30.267216, -97.739798)",2801169,Routine Inspection
Morelian Meat Market #1,78704,05/14/2019,81,"3600 S CONGRESS AVE
AUSTIN, TX 78704
(30.227852, -97.761287)",11484357,Routine Inspection
Tortilleria Rio Grande,78745,06/21/2019,87,"500 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.196231, -97.785737)",10507284,Routine Inspection
LIL DODDY,78749,08/28/2019,93,"4625 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.223712, -97.843827)",12152308,Routine Inspection
La Sabrocita Restaurant & Tortilleria,78753,08/30/2019,87,"850 E RUNDBERG LN
AUSTIN, TX 78753
(30.356996, -97.685774)",10355256,Routine Inspection
Violet Crown Cinema,78701,10/23/2019,92,"434 W 2ND ST
AUSTIN, TX 78701
(30.265418, -97.748121)",10578995,Routine Inspection
Jester Market,78750,07/19/2017,96,"6507 JESTER BLVD
AUSTIN, TX 78750
(30.370209, -97.800817)",2801484,Routine Inspection
Abiding Love Lutheran Child,78749,10/18/2017,97,"4612 CONVICT HILL RD
AUSTIN, TX 78749
(30.217423, -97.847021)",2800947,Routine Inspection
La Hacienda Market,78758,02/05/2019,85,"1812 PAYTON GIN RD
AUSTIN, TX 78758
(30.365595, -97.717279)",2804030,Routine Inspection
101 by Tea Haus LLC,78752,04/30/2019,93,"6929 AIRPORT BLVD
AUSTIN, TX 78752
(30.336497, -97.718225)",11785910,Routine Inspection
"Phil's Ice House, Inc",78704,08/29/2018,87,"2901 S LAMAR BLVD
AUSTIN, TX 78704
(30.243347, -97.782677)",10516513,Routine Inspection
Brooklyn Pie,78753,07/25/2019,91,"12601 TECH RIDGE BLVD
AUSTIN, TX 78753
(30.399047, -97.660473)",11419004,Routine Inspection
Fairfield Inn Austin Northwest,78759,05/04/2018,94,"11201 N MOPAC EXPY
AUSTIN, TX 78759
(30.400242, -97.729567)",11078195,Routine Inspection
Dimassi's Mediterranean Buffet,78759,09/06/2019,81,"12636 RESEARCH BLVD
AUSTIN, TX 78759
(30.431004, -97.763845)",10614307,Follow-Up Inspection
Ruth's Chris Steak House,78701,06/07/2017,84,"107 W 6TH ST
AUSTIN, TX 78701
(30.268155, -97.74316)",11095928,Routine Inspection
Nordstrom Ebar,78758,10/02/2019,98,"3111 PALM WAY
AUSTIN, TX 78758",11583664,Routine Inspection
Accent Food Services,78752,10/25/2017,94,"6101 HIGHLAND CAMPUS DR
AUSTIN, TX 78752
(30.325922, -97.712219)",11313967,Routine Inspection
Tamar Laddy Catering,78756,10/08/2019,92,"3901 SHOAL CREEK BLVD
AUSTIN, TX 78756
(30.308022, -97.747889)",11475101,Routine Inspection
"Austinite Market, The",78704,03/27/2018,94,"1017 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.2602, -97.755359)",11672655,Routine Inspection
Bird Bird Biscuit,78722,10/08/2019,93,"2701 MANOR RD
AUSTIN, TX 78722
(30.285111, -97.714009)",11943085,Routine Inspection
Lubys Etc at Lavaca,78701,03/13/2018,94,"700 LAVACA ST
AUSTIN, TX 78701
(30.270199, -97.744671)",10848345,Routine Inspection
