Sponsor,Project Name,Total Units,Total Affordable,Affordable Preserved
"Montgomery Housing Partnership, Inc.",8624&8626 Flower Ave (aka Cross Rds & Flower),,24,0
Cornerstone Montgomery Inc.,St. Lukes House - 5,,0,0
Cornerstone Montgomery Inc.,St. Lukes House - 8,,0,0
Cornerstone Montgomery Inc.,"CMI - 11710 Old Georgetown Road, #226 W",,0,0
"Montgomery Housing Partnership, Inc.",Maple Towers Rehab Loan,36,0,28
"Montgomery Housing Partnership, Inc.",Maple Towers Acquisition Loan,35,0,28
Cornerstone Montgomery Inc.,St. Lukes House -10,,0,0
"Montgomery Housing Partnership, Inc.",MHP - 13630 Stargazer,1,1,0
MCCH,University Blvd Rehab (CDBG),4,0,4
The Council of Unit Owners of the Tiers,Tiers of Silver Spring Condominiums,,0,0
"Victory Housing, Inc.",Grace House,30,23,0
n/a,13422 Smokewood Terrace,,0,0
Stepping Stones Shelter,Stepping Stones Shelter,,0,0
HOC,HOC - McAlpine Rd,1,0,0
HOC,4913 Hampden Lane Limited Partnership,12,12,0
"Hughes Neighborhood Housing, Inc.","Hughes Neighborhood Housing, Inc. (HNH)",24,0,24
n/a,Washington McLaughlin Water Pipe Repair,9,0,0
Scotland Townhomes Limited Partnership,Scotland Townhomes Limited Partnership,75,0,49
HOC,1747 Staley Manor Drive,,0,0
,Morgan Apartment Homes  (Rental Agreement),127,0,0
HOC,HOC Jubilee - Falling Creek Road,3,3,0
HOC,HOC Forest Oak Towers,,0,0
"MHP Scattered Site, Inc",10137 Reprise Drive,1,0,0
n/a,Williams Property,,0,0
n/a,Williams Property,,0,0
"Singh, Shailendra  - #102","Singh, Shailendra  - #102",32,0,0
HOC,8533 Bells Ridge Terrace,,0,0
"Residential Properties, Inc.","Residential Properties, Inc. [SparklingWater]",2,0,0
"Montgomery Housing Partnership, Inc.",MHP 8804 Glenville Road,4,0,2
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 02,,0,0
"Victory Housing, Inc.",Marys House,15,0,0
Alexander Group,carrol,66,56,0
HOC,HOC Jubilee - Woodedge Road,3,3,0
n/a,TBRA - Vouchers (Loan #1 HOME),50,0,0
HOC,25910-E Ridge Manor Terrace,,0,0
HOC,14306 Florance Court,,0,0
Jewish Community Center,Jewish Community Center,,0,0
HOC,Pooks Hill Tower Apartments,189,0,0
n/a,Chayt Properties,,0,0
n/a,Chayt Properties,,0,0
Community Preservation Development Corp.,"Stewartown - Computers #141, lines 217 & 203",,0,0
n/a,Glen Echo,,0,0
n/a,MHP Community Life Program 2009,0,0,0
Montgomery Housing Partnership,MHP Section 8 vacancy losses,14,0,0
HIF,Community Preservation Development Corp.,,0,0
Hughes Neighborhood Housing,Hughes House Addition,24,0,0
,Cinnamon Run and Peppertree,,0,0
HOC,HOC Econolodge Development,,0,0
HOC,25900-G Ridge Manor Dr.,,0,0
MHP,Amherst Square Renovations - #94,,0,0
National Center for Children & Families,NCCF Services Delivery Bldg Predevelopment,,0,0
Community Support Services (Bazzelton),Community Support Services (Bazzelton),,0,0
"Residential Properties, Inc. (Quail Woods","Residential Properties, Inc. (Quail Woods)",1,0,0
"Housing Unlimited, Inc.",HUI 13584 Waterford Hills,2,2,0
"Ashu, Steven A.","Ashu, Steven A.",3,0,0
n/a,Blair Mill LLC,,0,0
"Residential Properties, Inc.","Residential Properties, Inc. (Lowfield)",1,0,0
n/a,Washington McLaughlin Christian School,,0,0
Casa de Maryland,Housing Analysis Survey Predevelopment Loan,,0,0
"Housing Unlimited, Inc.",HUI 1522 Regent Manor Court,2,2,0
"Residential Properties, Inc.","Residential Properties, Inc. (Bazzellton)",1,0,0
"Housing Unlimited, Inc.",HUI 12978 Pinnacle Drive,2,2,0
"Residential Properties, Inc.","Residential Properties, Inc. (Churchill)",1,0,0
n/a,Della Franca Properties,,0,0
n/a,Habitat for Humanity,,0,0
Coalition Homes,Coalition Homes - Lee Homes LLC (126 Lee Avenue),6,,0
n/a,King Farm Village Center Apartments MOU,,0,0
HOC,McHOME,41,0,0
HOC,Diamond Square Renovations - #105,121,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 26,,0,0
HOC,19017 Marksburg Court,,0,0
"Montgomery Housing Partnership, Inc",Bealls Grant Carpet and Flooring - 08,,0,0
Mental Health Assoc. of Montg. Co.,MHA Group Home,1,0,0
"Residential Properties, Inc.","Residential Properties, Inc. (Churchill #5)",1,0,0
Coalition Homes,Coalition Homes - Lee Homes LLC (126 Lee Avenue),6,4,0
"Residential Properties, Inc.","Residential Properties, Inc. (Marston)",1,0,0
"Residential Properties, Inc.","Residential Properties, Inc. (Sandy Lake)",1,0,0
American Foundation For Autistic Children,American Foundation for Autistic Children,,0,0
"Housing Unlimited, Inc.",HUI 108 Garcia Lane,1,1,0
"Housing Unlimited, Inc.",HUI White Flint - Unit 2416,2,2,0
Community Support Services,"Community Support Services, Inc. (Winding)",,0,0
"Montgomery Housing Partnership, Inc.",Silver Spring Library Rsdncs - Pre Develop,0,0,0
Grafton School Inc.,Grafton School Inc.,,0,0
HOC,Barclay Apartments,152,0,0
Community Support Services,"Community Support Services, Inc. (Applegarth)",,0,0
"Residential Properties, Inc.","Residential Properties, Inc. (Treyford)",1,0,0
"Montgomery Housing Partnership, Inc.",Browning Avenue Apartments,16,0,0
"Housing Unlimited, Inc.",HUI 13311 Rushing Water Way,3,2,0
"Housing Unlimited, Inc.",HUI White Flint - Unit 2418,2,2,0
"Montgomery Housing Partnership, Inc.",MHP Apartment Assistance Program,,0,0
AHC,Bucknell Apartments (Development),40,15,0
AHC,Bucknell Apartments (Development),40,10,0
HOC,Tobytown,,0,0
"Rosaria Communities, Inc.",St. Peter House,3,2,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 33,,0,0
"Housing Unlimited, Inc.",HUI - 20002 Amesburg Way,3,2,0
MHP,St. Lukes Supportive Housing 06  #177,,0,0
"Housing Unlimited, Inc.","HUI - 213 Marsh Hollow Place, Unit K",2,2,0
HOC,HOC Ken Gar,,0,0
n/a,TBRA - Vouchers (Loan #2 - HOME),50,0,0
,Milestone Apartments (Rental Agreement) - MPDU Preservation,576,0,0
Seabury Resources for Aging,Seabury at Springvale Terrace,146,0,0
Rock Creek Foundation,RCF  - Thomas Street Housing - #124,,0,0
n/a,TBRA - Administration (HIF),0,0,0
n/a,HUI Strategic Planning,,0,0
"RST Development, LLC",Main Street Project,70,0,0
Stratford Capital Group (SCG) Development Group,Momentum Apartments LLC,110,0,0
Montgomery Housing Partnership,Coalition for the Homeless (Econolodge/AIM),,0,0
HOC,HOC MPDUs FY 2002 - #87,,0,0
"MHP Scattered Site, Inc.",Glenville Road Refinance and Renovation,31,0,31
Shelter Group/Harrison Development,Glenmont Metro Station,,0,0
Community Support Services (Quail Woods),Community Support Services (Quail Woods),,0,0
Blair Park Gardens Apartments - #36,Blair Park Gardens Apartments - #36,74,0,0
"MHP Scattered Site, Inc",10325 Procera Drive,1,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 16,,0,0
HOC,HOC MPDU Partnership Funds 2001,,0,0
"Kisozi Holding International, Inc.",Sierra Woods Apartments - #52,,0,0
HOC,14813 Cross River Court,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 32,,0,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
n/a,Williams Property II,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 15,,0,0
RPSRP - Lenkin,Belvedere LLP - #113,93,0,0
"Residential Properties, Inc. (Sandpiper)","Residential Properties, Inc. (Sandpiper)",2,0,0
HOC,8527 Bells Ridge Terrace,,0,0
Montgomery Housing Partnership,Bealls Grant Apartments II PreDevelopment,,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
CHI,"CHI Centers, Inc.",,0,0
"RST Development, LLC",Williams/ Wilste Buildings - #134,,0,0
MHP,MHP Community Life Program 2004 - #139,,0,0
MHP,MHP Community Life Program - #114,,0,0
Montgomery Housing Partnership,MHP - IDA Program 08,,0,0
"Montgomery Housing Partnership, Inc.",MHP MPDU Acquisition 2001,10,0,0
n/a,St. Lukes Supportive Housing FY10,5,0,0
HOC,900 Thayer Avenue,124,0,0
Montgomery Housing Partnership,St. Lukes Supportive Housing FY07 #226,13,0,0
"Housing Unlimited, Inc.",HUI 304 Fallsgrove,1,1,0
MCCH,Coalition Homes - Lionsgate Condo #318,1,1,0
Crossway Community,Crossway,44,0,0
Cornerstone Montgomery Inc.,"Waterside Homes, Inc",11,0,11
"Victory Housing, Inc.",Raphael House Renovation,31,0,0
MCCH,Coalition Homes - Lionsgate Condo #317,1,1,0
"PLAN of Maryland - DC, Inc.",PLAN-10120 Little Pond Place. #4,1,1,0
HOC,Town Center Apartments,112,0,
National Center for Children and Families,7906 Flower Avenue,10,10,0
HOC,Willow Manor at Colesville (Randolph Manor) (ROFR 05-16-2018),83,83,0
HOC,Willow Manor at Fair Hills Farm (Olney Manor) (ROFR 05-16-2018),100,100,0
MCCH,Coalition Homes - Gallery at White Flint #103,,0,0
HOC,Willow Manor at Cloppers Mill (ROFR 05/16/2018),102,81,0
n/a,St. Lukes Supportive Housing FY11,3,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 11,,0,0
HOC,Upton II Apartments,150,112,0
MHP,MHP Community Life Program 2005,,0,0
HOC,Waterford Tower Apartments (ROFR) 05/14/2018 (HOC) CANCELLED,143,,0
n/a,Grafton School Inc.,,0,0
n/a,Grafton School Inc.,,0,0
n/a,Grafton School Inc.,,0,0
HOC,Oaks at Four Corners,120,0,0
"Orlo Woodvale, LLC",Woodvale Apartments - Orlo,,75,0
"Montgomery Housing Partnership, Inc.",123A Pasture Side Place,1,1,0
Crossway Community,Crossway Community 2,44,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 21,,0,0
MCCH,Coalition Homes - 8707 Plymouth Street,6,0,0
"Victory Housing, Inc.",Winslow House Rehabilitation - #91,46,0,0
Community Connections,Community Connections,,0,0
"Montgomery Housing Partnership, Inc.",MHP - 4819 Tothill Drive,1,1,0
AHC,AHC Leaman Farm,,0,0
HOC,20814 Tall Forest Drive,,0,0
"Knowles Manor, LLC",Kensington (Knowles) Manor Senior Housing,94,0,0
HOC,Cider Mill Apartments,864,0,0
HOC,Cider Mill Apartments,864,0,0
"Victory Housing, Inc.","Covenant Village, L.P.",,0,0
"Victory Housing, Inc.",Victory Haven Apartments,72,0,0
Homes for America,Homes on Quaker Lane,,0,0
Head Injury Rehab and Referral Srvcs,Head Injury Rehab and Referral Srvcs,,0,0
Head Injury Rehab and Referral Srvcs,Head Injury Rehab and Referral Srvcs,,0,0
Head Injury Rehab and Referral Srvcs,Head Injury Rehab and Referral Srvcs,,0,0
Head Injury Rehab and Referral Srvcs,Head Injury Rehab and Referral Srvcs,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 13,,0,0
MCCH,MCCH HUD Funds #182,,0,0
"Pennrose Properties, LLC",Pointe View at Aspen Hill,120,0,0
"Victory Housing, Inc.",Marys House Plumbing Repairs,15,0,0
HOC,"Wheaton Metro Apartments ($2,984,721)",,0,0
"Housing Unlimited, Inc.","HUI - 10421 Montrose Ave., Unit M-2",2,2,0
"Housing Unlimited, Inc.",HUI -11714 Leesborough Circle,2,2,0
"Housing Unlimited, Inc.",HUI May,,0,0
"Housing Unlimited, Inc.","HUI - 10649 Montrose Avenue, #202",1,1,0
"Artspace Projects, Inc.",Silver Spring Artspace Lofts LLLP,68,0,0
"Calmra, Inc.","Calmra, Inc.",,0,0
"Calmra, Inc.","Calmra, Inc.",,0,0
"Calmra, Inc.","Calmra, Inc.",,0,0
"Calmra, Inc.","Calmra, Inc.",,0,0
"Calmra, Inc.","Calmra, Inc.",,0,0
"Calmra, Inc.","Calmra, Inc.",,0,0
"Artspace Projects, Inc.",Silver Spring Artspace Lofts LLLP,68,0,0
"Artspace Projects, Inc.",Silver Spring Artspace Lofts LLLP,68,0,0
"Artspace Projects, Inc.",Artspace 801 Sligo Avenue - Predevelopment,79,0,0
HOC,HOC - 6301 MacArthur Blvd (Brooke Park),18,0,0
"APAH Snowden, LLC",Snowden's Ridge Apartments,87,87,0
"APAH Snowden, LLC",Snowden's Ridge Apartments,87,87,0
"Residential Continuum, Inc.","RCI, Inc. - Battleridge",,0,0
Felicia Jackson,Felicia Jackson (Taxes and Ins.),0,0,0
"Residential Properties, Inc. (Thomas Farm","Residential Properties, Inc. (Thomas Farm)",1,0,0
"MHP Scattered Site, Inc.",10452 Damascus Park Lane,,0,0
n/a,Sligo Park Hill Associates,26,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 19,,0,0
Montgomery Housing Partnership,MHP Edinburgh House,45,0,0
HOC,14308 Florance Court,,0,0
The Support Center,Lone Center,,0,0
"Kettler, Inc.",Fallswood Commons,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1994,9,0,0
HOC,HOC McKinney Grant Supplement,,0,0
HOC,14303 Florance Court,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1997,8,0,0
Montgomery Housing Partnership,St. Lukes Supportive Housing FY08 #244,7,0,0
Jubilee Association,Jubilee Association 4,,0,0
HOC,HOC RSIP Program County Funding,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 17,,0,0
"Housing Unlimited, Inc.",HUI - 301-D King Farm Blvd.,2,0,0
n/a,Olney Theater Center for the Arts,,0,0
n/a,Partnership Permanent Housing (PPH) MOU,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 20,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 29,,0,0
Potomac Community Resources Inc.,PCR House Inc.,3,0,0
MHP,St. Lukes Supportive Housing  #167,,0,0
AHC,Container Housing 2019 - Pre-Development Loan,50,0,0
,8202 Houston Court (ROFR),,0,0
B & L Joint Venture,Montgomery Paint Branch I (106),107,0,0
"Housing Unlimited, Inc.","HUI 722 Garden View Way, #K",1,1,0
"Housing Unlimited, Inc.",HUI 19620 Galway Bay Circle,3,2,0
"Housing Unlimited, Inc.",HUI - 9605 Shadow Oak Drive,3,2,0
Hercules Real Estate Services,"Gramax Associates, Limited Partnership",,0,0
"Housing Unlimited, Inc.",HUI - 8618 Fountain Valley Drive,3,2,0
MCCH,Coalition Homes - Gallery at White Flint #503,,0,0
"Strategic Realty Holdings, Inc. - Waterford Tower Silver Spring LLC",Waterford Tower Apartments (ROFR) 05/14/2018 (Strategic),143,0,107
HOC,1406 Limetree Court,,0,0
The JBG Companies,Falkland Chase Apartments,90,0,0
"Montgomery Housing Partnership, Inc.",MHP - Halpine Hamlet,0,0,0
,Montgomery White Oak IV,176,0,0
,Montgomery White Oak V,96,0,37
HOC,Elizabeth House III,267,0,0
"J. Kirby Development, LLC",Willow Manor at Fairland Apartments,,0,0
MHP,MHP Three Properties (109),,0,0
MCCH,Coalition Homes -  Silverton Condominium,1,1,0
n/a,Stewartown Transition Loan,,0,0
MCCH,Coalition Homes - Silverton and Crescent Condominiums,5,3,0
MCCH,Coalition Homes - Silverton and Crescent Condominiums,5,3,0
"Montgomery Housing Partnership, Inc.",MHP Lee and Hancock Acquisition - HIF - #92,,0,0
"Montgomery Housing Partnership, Inc.",Halpine Hamlet Acq/Rehab,67,0,50
MCCH,Coalition Homes - Silverton and Crescent Condominiums,5,2,0
Jubilee Association,Jubilee Association 8,,0,0
MCCH,Coalition Homes - Silverton and Crescent Condominiums,5,2,0
"Interfaith Housing Coalition, Inc.",Interfaith Housing MPDU - Foxcrest Court,1,1,0
"Full Citizenship of Maryland, Inc.","Full Citizenship of Maryland, Inc.",,0,0
HOC,Glenmont Crossing (CDBG) Woodberry,97,0,50
"Montgomery Housing Partnership, Inc.",MHP Apartment Assistance Program,,0,0
Jefferson House Corporation,Jefferson House,248,0,0
MCCH,Coalition Homes - Philadelphia Avenue,6,0,6
Fifth Artel Associates,Cinnamon Run II,,0,0
Community Support Services (Walkers Choic,Community Support Services (Walkers Choice),,0,0
MCCH,Coalition Homes - Gallery at White Flint #718,,0,0
"Crossway Community, Inc.","Crossway Community, Inc. FY 06 deficit",44,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 04,,0,0
RPSRP - Lenkin,Roanoke Associates Limited Partnership - #111,39,0,0
n/a,TBRA - Vouchers (Loan #3 - HOME),50,0,0
HOC,Rental Supplement Incentive 2005,,0,0
n/a,HOC Milestone Drive Affordable Housing,,0,0
Burnt Mills Crossing LLC,Burnt Mills Crossing,,0,0
"814 Thayer Avenue, LLC",814 Thayer Avenue,,0,0
HOC,14811 Strawberry Lane,,0,0
"Scotland Community Development, Inc.","Scotland Community Development, Inc.",,0,0
HOC,HOC MPDUs FY 2002 (VII),,0,0
HOC,1729 Staley Manor Drive,,0,0
n/a,Greentree Campus Youth Activities Center,,0,0
n/a,Town of Kensington,,0,0
"Residential Properties, Inc.","Residential Properties, Inc. (Centerway)",2,0,0
"Crossway Community, Inc.","Crossway Community, Inc.",44,0,0
National Center for Children and Families,National Center for Children and Families,,0,0
National Center for Children and Families,National Center for Children and Families,,0,0
National Capital B'nai Brith,Homecrest House West,42,0,0
Jubilee Association,Jubilee Association 11,,0,0
Vanguard Realty Group,Winarsky - 8311 Garland Ave,6,0,0
Burnt Mills Crossing LLC,Burnt Mills Crossing (Weatherization),74,0,0
"Residential Continuum, Inc.","RCI, Inc. - Little Pond",,0,0
"Montgomery Club IV Londibderry, LP",Montgomery Club VI,107,0,0
"Housing Unlimited, Inc.",HUI Information Systems,,0,0
"Interfaith Housing Coalition, Inc.","Interfaith Housing Coalition, Inc.",,0,0
AHC,The Hamptons at Town Center (Refinance 2016),768,0,0
Jubilee Association,Jubilee Association 9,,0,0
"MHP Scattered Site, Inc",MHP MPDU Acquisition 1990 - 03,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 06,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 31,,0,0
"Housing Unlimited, Inc.",HUI - 5118 Willet Bridge Road,3,0,0
Rock Creek Foundation,Rockcreek Foundation,,0,0
Jubilee Association,Jubilee Association 5,,0,0
HOC,25909-H Ridge Manor Dr.,,0,0
Damascus K Limited Partnership,Damascus Gardens #185,,0,0
HOC,Rental Supplement Incentive,146,0,0
"Victory Housing, Inc.",Hampshire Village Assisted  Pre Dev - #81,30,0,0
HOC,Closing Cost Assistance,,0,0
Montgomery Housing Partnership,MHP Community Life Program 2007,,0,0
"Interfaith Housing Coalition, Inc.","Interfaith Housing Coalition, Inc.",1,0,0
"Interfaith Housing Coalition, Inc.","Interfaith Housing Coalition, Inc.",1,0,0
"Interfaith Housing Coalition, Inc.","Interfaith Housing Coalition, Inc.",1,0,0
"Interfaith Housing Coalition, Inc.","Interfaith Housing Coalition, Inc.",1,0,0
Rockville Housing Enterprises,RHE MPDUs - #101,75,0,0
Montgomery Housing Partnership,MHP Recycled MPDUs,,0,0
"Housing Unlimited, Inc.",HUI Revolving Fund,,0,0
"Fireside Condominium Association, Inc.",Fireside Condominium Renovation #151,258,0,0
HOC,Jesup Blair,10,0,0
MHP,MHP Connecticut Avenue Estates,,0,0
"Olney Crossing Condominium, Inc",Olney Crossing Condominium Inspection,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 30,,0,0
HOC,14805 Cross River Court,,0,0
MCCH,Gude Drive Furnishings Fixtures Equipment,,0,0
MHP,Bealls Grant Apartments,,0,0
MCCH,TBRA - Vouchers (Loan #4 - HIF),38,0,0
n/a,Willow Ridge,,0,0
MHP,MHP Capital Needs Study - #144,,0,0
HOC,14803 Strawberry Lane,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 14,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 27,,0,0
"Residential Properties, Inc","Residential Properties, Inc",1,0,0
HOC,Montgomery Arms Apartments - 135,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 24,,0,0
"Montgomery Housing Partnerships, Inc",MHP Community Life Program 2008,0,0,0
Jubilee Association 10,Jubilee Association 10,,0,0
Jubilee Association,Jubilee Association 12,,0,0
RPSRP - Lenkin,"Schuyler Road, 100 - 102 - #44",26,0,0
National Association of the Deaf,National Association of the Deaf,,0,0
Community Ministry of Montgomery County,CMMC Welcome Homes,10,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 23,,0,0
HOC,Southbridge Interim Loan,0,0,0
n/a,Pleasant View - United Methodist,,0,0
,Progress Place,,0,0
HOC,14305 Florance Court,,0,0
HOC,12521 Eagle View Way,,0,0
HOC,Sligo Hills,50,0,0
HHS,On Our Own of Montgomery County,,0,0
HOC,272 Amberleigh Drive,75,20,0
HOC,2318 Arcola Avenue,1,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 07,,0,0
Community Preservation Development Corp.,Hampshire Towers Predevelopment Loan #190,451,0,0
Montgomery Housing Partnership,MHP Project Based Section 8 vacancy loss FY07,18,0,0
"MHP Scattered Site, Inc",MHP MPDU Acquisition 1999,10,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 10,,0,0
Fourth Artel Associates,Cinnamon Run I (#89),,0,0
"Fireside Condominium Association, Inc.",Fireside Condominium Renovation (90),258,0,0
RPSRP - Lenkin,Roanoke Associates Limited Partnership,39,0,0
MHP,MHP Community Life FY 2006 #176,,0,0
"Rosaria Communities, Inc.",1120 Notley Road,3,0,0
MHP,Maple Towers Partial Deposit,35,0,0
RPSRP - Lenkin,"Garland Avenue, 8302-8308, #37",24,0,0
Community Ministry of Montgomery County,CMMC Welcome Homes FY07,10,0,0
"Montgomery Housing Partnership, Inc.",MHP Forest Glen Apartments,,0,0
"Crossway Community, Inc.",Crossways (Code Violations),,0,0
HOC,10401 Procera Drive,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 12,,0,0
RPSRP - Lenkin,Greenwood Arms Limited Partnership - #108,37,0,0
HOC,13263 Autumn Mist Circle,,0,0
Jubilee Association,Jubilee Association 3,,0,0
"Montgomery Housing Partnership, Inc.",Bradford Apts.,,0,0
n/a,Mobile MED ADA,,0,0
n/a,Fireside Park Apartments - Loan to City,,0,0
"Habitat for Humanity, Inc.",Habitat - Centerhill Street,1,0,0
"Montgomery Housing Partnership, Inc.",MHP Lee and Hancock Acquisition - CDBG,25,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 28,,0,0
HOC,Manchester Manor Apartments,,0,0
AHC,Hamptons at Town Center,768,0,0
n/a,HUI Revolving Fund II,,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 09,,0,0
HOC,262 Amberleigh Drive,,0,0
MCCH,Coalition Homes - Gallery at White Flint #618,,0,0
Mission First Housing Development Corporation,Mt. Jezreel Senior Housing,75,0,0
Housing Opportunities Comission,HOC Aspen Court,16,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 18,,0,0
n/a,Cordell Apartments Predevelopment,32,0,0
Interfaith Housing Coalition,Bucknell Apartments Predevelopment,40,0,0
HOC,HOC Rental Assistance,,0,0
HOC,EconoLodge PLQ Predevelopment,100,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 25,,0,0
Community Ministry of Montgomery Co.,Community Ministry Group Homes,,0,0
"Orlo Gaithersburg Investors, LLC",Seneca Village (formerly eaves Gaithersburg) (Dec 2016),684,0,0
Washington-McLaughlin Apartments for Seni,Washington-McLaughlin Apartments,9,0,0
"Victory Housing, Inc.",Victory Terrace - #60 & # 107,76,58,0
Hercules Real Estate Services,Gramax Building - #126,180,90,0
Fairfield Oakfield LP,Oakfield Apartments,371,363,0
"Montgomery Housing Partnership, Inc.",Silver Spring Library Residences,149,41,0
Fairfield Parklane Limited Partnership,Parklane Apartments I - #59,137,0,124
"Housing Unlimited, Inc.",HUI - 19436 Sandy Lake Drive,3,2,0
HOC,Hampden Lane Apts #174,12,12,0
HOC,Timberlawn,83,0,24
"MHP Scattered Site, Inc.",11314 King George Drive,1,1,0
MCCH,Ashmore Condominiums - DG301,1,1,0
n/a,Habitat - 12502 Denley Road,1,1,0
n/a,HOC Bauer Park Roof,140,0,140
MHP,St. Lukes Supportive Housing,6,0,6
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1995,12,12,0
Foulger-Pratt Companies,Ellsworth Apartments,222,31,0
