Permit Number,Status,Processed Date,Issued Date,Finaled Date,Description,Application Type,Work Type,Use code ,Number of Dwelling units,High Rise,Tax Description,Tax Amount,Tax Status,Tax Paid Date,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
726522,Open,08/31/2015,,,NEW TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/31/2015,,,,,,,,
726523,Open,08/31/2015,,,NEW TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/31/2015,,,,,,,,
726974,Open,09/02/2015,,,BRN-9223-2015 &nbsp;,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30129.00,PAID,09/02/2015,414,,CAULFIELD,LN,,GAITHERSBURG,MD,20878
731253,Finaled,10/06/2015,10/06/2015,10/06/2015,,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30129.00,PAID,10/06/2015,304,,FOREST PRESERVE,DR,,GAITHERSBURG,MD,20878
734219,Open,10/29/2015,,,SFD,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
734223,Open,10/29/2015,,,TH,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
734224,Open,10/29/2015,,,TH,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
734225,Open,10/29/2015,,,TH,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
734226,Open,10/29/2015,,,TH,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
734227,Open,10/29/2015,,,TH,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
734230,Open,10/29/2015,,,TH,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,10/29/2015,,,,,,,,
737251,Finaled,11/24/2015,11/24/2015,11/24/2015,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20770.00,PAID,11/24/2015,274,,CAULFIELD,LN,,GAITHERSBURG,MD,20878
737252,Finaled,11/24/2015,11/24/2015,11/24/2015,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20770.00,PAID,11/24/2015,278,,CAULFIELD,LN,,GAITHERSBURG,MD,20878
737253,Open,11/24/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20770.00,PAID,11/24/2015,282,,CAULFIELD,LN,,GAITHERSBURG,MD,20878
737254,Finaled,11/24/2015,11/24/2015,11/24/2015,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20770.00,PAID,11/24/2015,286,,CAULFIELD,LN,,GAITHERSBURG,MD,20878
737905,Issued,12/02/2015,12/02/2015,,TOWNHOME IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,12/02/2015,,,,,,,,
737907,Issued,12/02/2015,12/02/2015,,TOWNHOME IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,12/02/2015,,,,,,,,
737908,Issued,12/02/2015,12/02/2015,,TOWNHOME IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,12/02/2015,,,,,,,,
738459,Finaled,12/08/2015,12/08/2015,12/08/2015,BRN-9375-2015 - CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30999.00,PAID,12/08/2015,473,,SALK,CIR,,ROCKVILLE,MD,20850
742522,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,219,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742525,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,223,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742526,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,227,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742527,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,231,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742528,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,235,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742529,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,239,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742530,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,243,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742531,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,247,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742532,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,251,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
742541,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9828,,FIELDS,RD,,GAITHERSBURG,MD,20878
742542,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9826,,FIELDS,RD,,GAITHERSBURG,MD,20878
742543,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9824,,FIELDS,RD,,GAITHERSBURG,MD,20878
742544,Open,01/21/2016,,,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9818,,FIELDS,RD,,GAITHERSBURG,MD,20878
742545,Open,01/21/2016,,,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9816,,FIELDS,RD,,GAITHERSBURG,MD,20878
742548,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9792,,FIELDS,RD,,GAITHERSBURG,MD,20878
742550,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9790,,FIELDS,RD,,GAITHERSBURG,MD,20878
742551,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9788,,FIELDS,RD,,GAITHERSBURG,MD,20878
742552,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9782,,FIELDS,RD,,GAITHERSBURG,MD,20878
742553,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9780,,FIELDS,RD,,GAITHERSBURG,MD,20878
742554,Finaled,01/21/2016,01/21/2016,01/21/2016,Residential T/H,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/21/2016,9778,,FIELDS,RD,,GAITHERSBURG,MD,20878
744107,Finaled,02/09/2016,02/09/2016,02/09/2016,SFD,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30085.00,PAID,02/09/2016,700,,STEINBECK,AVE,,GAITHERSBURG,MD,20878
748409,Finaled,03/17/2016,03/17/2016,03/17/2016,BRN-10470-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,03/17/2016,419,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
748413,Finaled,03/17/2016,03/17/2016,03/17/2016,BRN-104712016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,03/17/2016,423,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
748416,Finaled,03/17/2016,03/17/2016,03/17/2016,BRN-10472-16,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,03/17/2016,427,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
749229,Finaled,03/24/2016,03/24/2016,03/24/2016,BRN-10190-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,26827.00,PAID,03/24/2016,127,,HARMONY HALL,RD,,GAITHERSBURG,MD,20877
750142,Open,04/01/2016,,,TOWNHOME IMPACT TAX,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,04/01/2016,,,,,,,,
750143,Open,04/01/2016,,,TOWNHOME IMPACT TAX,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,04/01/2016,,,,,,,,
750144,Open,04/01/2016,,,TOWNHOME IMPACT TAX,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,04/01/2016,,,,,,,,
753522,Open,04/28/2016,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,04/28/2016,403,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
753523,Open,04/28/2016,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,04/28/2016,407,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
753524,Open,04/28/2016,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,04/28/2016,411,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
754957,Open,05/10/2016,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,31323.00,PAID,05/10/2016,,,,,,,,
754958,Open,05/10/2016,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30685.00,PAID,05/10/2016,,,,,,,,
755576,Open,05/13/2016,,,BRn-10945-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,100,,KEPLER,DR,,GAITHERSBURG,MD,20878
755578,Open,05/13/2016,,,BRN-10946-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,104,,KEPLER,DR,,GAITHERSBURG,MD,20878
755579,Open,05/13/2016,,,BRn-10945-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,108,,KEPLER,DR,,GAITHERSBURG,MD,20878
755580,Finaled,05/13/2016,05/13/2016,05/13/2016,BRn-10945-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,112,,KEPLER,DR,,GAITHERSBURG,MD,20878
755581,Open,05/13/2016,,,BRn-10945-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,100,,KEPLER,DR,,GAITHERSBURG,MD,20878
755582,Open,05/13/2016,,,BRn-10945-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,100,,KEPLER,DR,,GAITHERSBURG,MD,20878
755583,Open,05/13/2016,,,BRn-10945-2016,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,05/13/2016,100,,KEPLER,DR,,GAITHERSBURG,MD,20878
759469,Open,06/13/2016,,,BRN-9787-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,06/13/2016,273,,KEPLER,DR,,GAITHERSBURG,MD,20878
759476,Open,06/13/2016,,,BRN-9786-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,06/13/2016,265,,KEPLER,DR,,GAITHERSBURG,MD,20878
759478,Open,06/13/2016,,,BRN-9785-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,06/13/2016,269,,KEPLER,DR,,GAITHERSBURG,MD,20878
759479,Open,06/13/2016,,,BRN-9784-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,06/13/2016,261,,KEPLER,DR,,GAITHERSBURG,MD,20878
759480,Open,06/13/2016,,,BRN-9783-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,06/13/2016,257,,KEPLER,DR,,GAITHERSBURG,MD,20878
763910,Open,07/14/2016,,,CITY IMPACT TAX,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30247.00,PAID,07/14/2016,,,,,,,,
768228,Finaled,08/16/2016,08/16/2016,08/16/2016,CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,08/16/2016,402,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
768229,Finaled,08/16/2016,08/16/2016,08/16/2016,CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,08/16/2016,406,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
768230,Finaled,08/16/2016,08/16/2016,08/16/2016,CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,08/16/2016,410,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
772617,Open,09/16/2016,,,CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,09/16/2016,318,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
772618,Open,09/16/2016,,,CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,09/16/2016,322,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
772621,Open,09/16/2016,,,CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,09/16/2016,326,,CROWN PARK,AVE,,GAITHERSBURG,MD,20878
775677,Finaled,10/07/2016,10/07/2016,10/07/2016,SINGLE FAMILY--CITY OF GAITHERSBURG,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30085.00,PAID,10/07/2016,608,,STEINBECK,AVE,,ROCKVILLE,MD,20850
787135,Open,01/23/2017,,,IMPACT TAX FOR TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/23/2017,,,,,,,,
787137,Open,01/23/2017,,,IMPACT TAX FOR TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/23/2017,,,,,,,,
787138,Open,01/23/2017,,,IMPACT TAX FOR TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/23/2017,,,,,,,,
787139,Open,01/23/2017,,,IMPACT TAX FOR TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/23/2017,,,,,,,,
787140,Open,01/23/2017,,,IMPACT TAX FOR TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/23/2017,,,,,,,,
787141,Open,01/23/2017,,,IMPACT TAX FOR TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,01/23/2017,,,,,,,,
789716,Open,02/16/2017,,,SFD - IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,02/16/2017,,,,,,,,
789717,Open,02/16/2017,,,SFD - IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,02/16/2017,,,,,,,,
789718,Open,02/16/2017,,,SFD - IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20426.00,PAID,02/16/2017,,,,,,,,
375874,Finaled,03/08/2005,03/08/2005,03/08/2005,"PI-Bo50163 & 164 &PI-bo50166, 167, PI-B050169-172, PI B050173-177, PI Bo505180-185",GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,114000.00,PAID,03/08/2005,600,,CEDAR SPRING,ST,,GAITHERSBURG,MD,20877
379525,Finaled,04/11/2005,04/11/2005,06/22/2005,"NINE (9) TOWNHOMES
559,563,567,571 PELICAN AVENUE
616,620,624,628,632 CEDAR SPRING STREET",GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,IMPACT TAX >MAR04-GENERAL,40500.00,PAID,04/11/2005,559,,PELICAN,AVE,,GAITHERSBURG,MD,20877
379698,Finaled,04/12/2005,04/12/2005,04/12/2005,Pelican avenue (527 thru 555) lots 30 thru 37f    Hidden Forrest Street (805 thru 829) lots 12 thru 18 D,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,IMPACT TAX >MAR04-GENERAL,67500.00,PAID,04/12/2005,527,,PELICAN,AVE,,GAITHERSBURG,MD,20877
387354,Issued,06/15/2005,06/15/2005,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,IMPACT TAX >MAR04-GENERAL,4500.00,PAID,06/15/2005,575,,PELICAN,AVE,,GAITHERSBURG,MD,20877
387356,Finaled,06/15/2005,06/15/2005,06/16/2005,,GAITHERSBURG RES. BUILDING,CONSTRUCT,,0,N,SCHOOLS IMPACT TAX,6000.00,PAID,06/15/2005,579,,PELICAN,AVE,,GAITHERSBURG,MD,20877
