Application Type,Application Number,Process Date,Approved Date,Project Name,Comments,WSSC Map,Tax Map,Site Area,Proposed Disturbed Area,Proposed Impervious Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,State Water Use,Tributary,Requested Waiver,Resubmittal,Revision,Onsite Quantity Control,Quantity Control,Onsite Quality Control,Quality Control,Quantity Waiver Proposed,Quantity Waiver Acres Proposed,Quality Waiver Proposed,Quality Waiver Acres Proposed,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location
STORMWATER CONCEPT,261695,02/24/2014,09/16/2014,"Bradley Hills, Section 2",,208 NW05,HN121,1.2,1.4,0.4,R-90,R-90,SF,SF,LFB,,UNNAMED,N,N,N,Y,0.6,Y,0.6,N,0.0,N,0.0,5425,,GOLDSBORO,RD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,230782,02/07/2007,04/10/2007,R. HOLT EASLEY'S SUBDIVISION,LOT 17,210NW01,JN343,0.2,0.2,0.2,CBD-1,CBD-1,,OFF BUI,SCR,GENERAL USE,WHEATON BR,N,N,N,Y,0.2,Y,0.1,N,0.0,Y,0.1,,,,,,,,,"8227 FENTON STREET/SILVER SPRING, MD"
STORMWATER CONCEPT,200888,03/14/2000,03/16/2000,SILVER SPRING GREENTRAIL,Greentape Project,210NE1NW,JN343,3.1,3.1,1.2,R-60,R-60,RT OF WY,RT OF WY,SCR,GENERAL USE,,Y,N,N,N,0.0,N,0.0,Y,3.1,Y,3.1,,,,,,,,,HIKER/BIKER TRAIL NORTH SIDE WAYNE AVE INTERSECTION OF SLIGO CREEK PKWY TO NE OF FENTON DR.
STORMWATER CONCEPT,203618,04/26/2001,08/14/2001,SPRINGVIEW,parcels 766 & 925,223NW1&2,JT32,73.4,17.6,3.9,RNC,RNC,VACANT,RESID,NWB,RECREATION TROUT,,N,N,N,Y,17.6,Y,17.6,N,0.0,N,0.0,,,,,,,,,HIDDEN GARDEN LANE & NORWOOD RD
STORMWATER CONCEPT,254313,06/20/2013,07/17/2013,COUNTRY CLUB VILLAGE,SWM CONCEPT FOR SINGLE FAMILY RESIDENTIAL LOT,208NW06,GN561,0.5,0.3,0.1,R-60,R-60,UNDEVEL,SFD,CJC,GENERAL USE,MINNEHAHA,N,N,N,Y,0.5,Y,0.5,N,0.0,N,0.0,6311,,WYNKOOP,BLVD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,200999,04/06/2000,05/02/2000,WILLERBURN ACRES,,,GQ,0.9,0.5,0.2,R-200,R-200,RESID,RESID,CJC,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,0.9,Y,0.9,7721,,FONTAINE,ST,,POTOMAC,MD,20854,
STORMWATER CONCEPT,207378,02/28/2003,03/25/2003,WOODMONT CORNER,Lot 1,209NW05,HN22,0.9,1.0,0.7,CBD-R2,CBD-R2,RETAIL,RESD/PKG,LFB,GENERAL USE,,N,N,N,Y,0.9,Y,0.6,N,0.0,Y,0.3,7730,,WOODMONT,AVE,,BETHESDA,MD,20814,
STORMWATER CONCEPT,283432,11/07/2017,,GOSHEN ENTERPRISES,"Customer Wants To Use ePlans,addition of parking and buildings to existing lot",,121,30.5,2.9,0.0,AR,AR,,,HWR,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,21201,,ZION,RD,,BROOKEVILLE,MD,20833,
STORMWATER CONCEPT,237011,12/07/2009,01/15/2010,MONTGOMERY COUNTY AIRPARK,,226NW07,GU341,4.4,3.7,3.3,I-4,I-4,COMM,COMM,URC,NATURAL TROUT,,N,N,N,Y,4.4,Y,4.4,N,0.0,N,0.0,19050,,WOODFIELD,RD,,GAITHERSBURG,MD,20879,
STORMWATER CONCEPT,204306,10/16/2001,10/17/2001,OAKDALE EMORY UNITED METHODIST,Minor Revision. Parcel P156,222NW03,HS563,8.4,0.7,0.4,RE-2,RE-2,CHURCH,CHURCH,URC,NATURAL TROUT,UPPER SEC,N,N,N,Y,0.2,Y,0.2,Y,0.5,Y,0.5,3425,,EMORY CHURCH,RD,,OLNEY,MD,20832,
STORMWATER CONCEPT,282145,07/29/2016,10/31/2016,ROSEDALE PARK,,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,4712,,ROSEDALE,AVE,,BETHESDA,MD,20814,
STORMWATER CONCEPT,203090,01/04/2001,03/09/2001,BURMA AMERICAN BUDDIST ASSO.,"Hillandale, lot 16/1",213NE2,KP123,0.9,0.4,0.3,R-90,R-90,VACANT,CHURCH,PBR,NATURAL TROUT,,N,N,N,N,0.0,Y,0.9,Y,0.9,N,0.0,1708,,POWDER MILL,RD,,SILVER SPRING,MD,20903,
STORMWATER CONCEPT,200792,02/24/2000,03/29/2000,OLNEY VILLAGE MART,,225NW3,HT562,17.7,0.0,15.0,C-2,C-2,RETAIL,RETAIL,HWR,RECREATION TROUT,JAMES CR,N,N,N,N,0.0,Y,17.7,Y,17.7,N,0.0,18140,,OLNEY-SANDY SPRING,RD,,OLNEY,MD,20832,
STORMWATER CONCEPT,230748,01/30/2007,10/02/2014,PATTON PROPERTY PHASE 3,,222NW01,JS342,4.9,1.9,0.2,RE-2C,RE-2,WOODS,1 SF RES,NWB,RECREATION TROUT,,N,N,N,Y,4.9,Y,4.9,N,0.0,N,0.0,,,,,,,,,CORNER OF NORWOOD ROAD & NORBECK ROAD
STORMWATER CONCEPT,272675,02/24/2015,10/16/2017,Glen Echo Heights/Section 2,,207NW06,GM563,0.6,1.0,0.4,R-90,,,,PRD,,,N,N,N,N,0.0,N,0.0,Y,1.0,Y,1.0,,,,,,,,,"Wyoming Court/Bethesda, MD 20816"
STORMWATER CONCEPT,251011,02/28/2013,05/30/2013,BETHESDA ELEMENTARY SCHOOL,,209NW05,HN122,7.9,1.3,0.4,R-60,R-60,SCHOOL,SCHOOL,LFB,,,N,N,N,N,0.0,Y,1.5,N,0.0,N,0.0,7600,,ARLINGTON,RD,,BETHESDA,MD,20814,
STORMWATER CONCEPT,280336,10/16/2015,03/04/2016,8011 & 8015 old Georgetown Road,,210NW095,HN23,2.0,2.2,1.5,PD-44,PD-44,Church,Church,LRC,GENERAL USE,,N,N,N,Y,2.2,Y,2.2,N,0.0,N,0.0,,,,,,,,,"8011 & 8015 Old Georgetown Road/Bethesda, MD 20814"
STORMWATER CONCEPT,283361,10/11/2017,11/29/2017,PERSIMMON TREE COMM.,"Customer Wants To Use ePlans,The goals and objectives for this site include providing structural rehabilitation to the pond to correct current pond deficiencies. In addition, the project goals also providing Water Quality treatment and Channel Protection volume to the maximum extent practical (MEP). If both cannot be achieved, then maximizing Water Quality becomes the primary goal, with Channel Protection being secondary. 

SWM Concept - DEP Pond Retrofit Asset no. 11030",,42,4.7,0.4,0.0,RMH200,RMH200,,,PRD,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"Persimmon Tree Community Association Pond Retrofit Project located on River Trail Court, Potomac MD 20854"
STORMWATER CONCEPT,249091,12/20/2012,04/10/2013,VILLAGE SQUARE WEST OFFICE / PARKLAWN WOODS,,216NW05,HQ123,19.6,0.4,0.3,R-20,R-20,APTS,APTS,LRC,GENERAL USE,,N,N,N,Y,0.4,Y,0.4,N,0.0,N,0.0,,,,,,,,,"VILLAGE SQUARE TERRACE, ROCKVILLE MD"
STORMWATER CONCEPT,200733,02/10/2000,03/23/2000,EDGEMOOR PHASE IV,,209NW5,HN122,0.1,0.1,0.1,R-60,TS-R,RESIDENT,MULTI FA,LFB,GENERAL USE,,N,N,N,Y,0.1,N,0.0,N,0.0,Y,0.1,4917,,HAMPDEN,LN,,BETHESDA,MD,20814,
STORMWATER CONCEPT,231979,08/06/2007,09/09/2008,FAIRLAND REGIONAL PARK,,218NE04,02078,42.0,2.3,1.7,RE-2,RE-2,REC,REC,LPB,GENERAL USE,,N,N,N,Y,1.7,Y,1.7,N,0.0,N,0.0,,,,,,,,,"3928 GREEN CASTLE ROAD/SILVER SPRING, MD 20904"
STORMWATER CONCEPT,207377,02/28/2003,03/26/2003,MOUNTAIN VIEW ESTATES,Lot 1/E,221NW12,ES562,1.1,0.5,0.1,R-200,R-200,RESID,RESID,MBR,GENERAL USE,,N,N,N,Y,0.5,Y,0.5,N,0.0,N,0.0,12601,,VIEWSIDE,DR,,GAITHERSBURG,MD,20878,
STORMWATER CONCEPT,203423,03/19/2001,05/24/2001,DUNLOP STREET POND,"SWM Detention Pond, Dunlop Street",210NW04,HN43,1.0,0.0,0.0,,,CONDOS,CONDOS,LRC,GENERAL USE,,N,N,N,Y,135.0,Y,0.0,N,0.0,N,0.0,,,,,,,,,8101 CONNECTICUT AVENUE
STORMWATER CONCEPT,216628,03/07/2005,04/21/2005,BRYANTS NURSERY/SNOWDENS MANOR,Parcel P077,21NW01,JS42,8.0,1.7,0.3,RE-2,RE-2,VACANT,RESID,NWB,RECREATION TROUT,,N,N,N,Y,8.0,Y,8.0,N,0.0,N,0.0,,,,,,,,,"44 BRYANTS NURSERY ROAD, SILVER SPIRNG 20905"
STORMWATER CONCEPT,231422,05/23/2007,07/18/2011,AMERICAN COLLEGE OF CARDIOLOGY,REVISION SUBMITTED 6/29/2012,211NW05,HP121,9.9,7.7,3.1,R-60,R-60,INSTIT,RESIDEN,LRC,GENERAL USE,,N,N,N,Y,9.9,Y,9.9,N,0.0,N,0.0,9111,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814,
STORMWATER CONCEPT,232904,01/18/2008,02/06/2008,CARDEROCK SPRINGS ELEMENTARY,,209NW8,,9.0,6.7,3.0,R-200,R-200,SCHOOL,SCHOOL,ROR,GENERAL USE,,N,N,N,Y,6.7,Y,6.7,N,0.0,N,0.0,7401,,PERSIMMON TREE,LN,,BETHESDA,MD,20817,
STORMWATER CONCEPT,281928,04/29/2016,03/08/2017,WRIGHT PROPERTY,,,,0.0,0.0,0.0,,,,,MBR,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,203,,CENTRAL,AVE,,GAITHERSBURG,MD,20877,
STORMWATER CONCEPT,266075,07/09/2014,10/10/2014,WHEATON / AVALON BAY,,214NW02,JQ11,3.7,3.9,0.0,CR,CR,OFFICE,RESIDENT,SCR,GENERAL USE,,N,N,N,Y,4.0,Y,4.0,N,0.0,N,0.0,11501,,GEORGIA,AVE,,SILVER SPRING,MD,20902,
STORMWATER CONCEPT,215656,12/17/2004,01/11/2005,FLINT HILL/RADWICK LA,"Parcels P880 & P901, Submitted for Reconfirmation 6/17/05; Submitted for revision 3/27/06. Revision approved 4/05/06",221NW03,HS562,5.4,2.9,0.8,R-200,R-200,RESID,RESID,NWB,RECREATION TROUT,,N,N,N,N,0.0,Y,5.4,N,0.0,N,0.0,15501,,WINTERGATE,DR,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,205123,03/22/2002,04/04/2002,7TH DAY ADVENTIST HEADQUARTERS,"Reconfirmation of SC878240005 parking lot, Parcel E,(Fairland)",216NE3,,28.2,2.1,1.3,O-M,O-M,CHURCH,CHURCH,PBR,NATURAL TROUT,,N,N,N,Y,1.3,Y,1.3,N,0.0,N,0.0,12501,,OLD COLUMBIA,PIKE,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,245250,08/13/2012,01/09/2013,Kirk Farms,,225NW03,HT453,0.0,0.0,0.0,MXTC,MXTC,,,,,,N,N,N,N,0.2,N,0.2,N,0.0,N,0.0,18213,,HILLCREST,AVE,,OLNEY,MD,20832,
STORMWATER CONCEPT,242649,04/10/2012,,WHITE FLINT MALL REDEVELOPMENT,WHITE FLINT MALL REDEVELOPMENT,214NW05,HQ121,45.3,0.0,0.0,CR,CR,COMM-RET,C-RET-RE,URC,GENERAL USE,,N,N,N,Y,0.0,Y,0.0,N,0.0,N,0.0,11301,,ROCKVILLE,PIKE,,KENSINGTON,MD,20895,
STORMWATER CONCEPT,242379,03/14/2012,06/28/2012,MC INDUS. PARK-DARCARS TOYOTA,MONTGOMERY COUNTY INDUSTRIAL PARK - DARCARS TOYOTA - LOT 33,216NE03,KQ43,4.1,4.0,3.5,I-1,I-1,COMM-RET,COMM-RET,PBR,NATURAL TROUT,,N,Y,N,Y,4.1,Y,4.1,N,0.0,N,0.0,12511,,PROSPERITY,DR,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,216311,02/22/2005,03/18/2005,LOIS ROCKWELL ELEMENTARY,Parcel P666,234NW10,FW33,10.5,0.5,0.1,,R-200,,,GSC,GENERAL USE,,N,N,N,Y,0.1,Y,0.1,N,0.0,N,0.0,24555,,CUTSAIL,DR,,DAMASCUS,MD,20872,
STORMWATER CONCEPT,282545,12/20/2016,03/28/2017,BETHESDA MARRIOTT / POOKS HILL,,212NW05,HP122,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"[POOKS HILL - STORMWATER CONCEPT]

POOKS HILL ROAD (NORTHSIDE) PART OF PARCEL: 'K', PLAT: 11532: Between 5151 Pooks Hill Rd and 5225 Pooks Hill Rd,"
STORMWATER CONCEPT,206258,07/19/2002,08/05/2002,SHEMIN NURSERIES,"lot E, Parcels N612/625",221NE5NE,KS562,10.5,2.5,9.5,RC,RC,NURSERY,NURSERY,LPR,GENERAL USE,,N,N,N,Y,10.5,Y,10.5,N,0.0,N,0.0,4100,,SANDY SPRING,RD,,BURTONSVILLE,MD,20866,
STORMWATER CONCEPT,203144,01/19/2001,02/08/2001,CLOPPERS MILL WEST,"lot 190, block I, Parcel 759",224NW14,ET342,0.8,0.3,0.1,R-200,R-200,MEADOW,RESID,GSC,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,0.3,Y,0.3,13410,,STONEBRIDGE,TER,,GERMANTOWN,MD,20874,
STORMWATER CONCEPT,203234,02/08/2001,03/02/2001,MO.AIRPARK BUSINESS CTR.15A&B,"Lot 15A and 15B, Block A",225NW7,GT343,2.4,2.2,1.7,I-1,I-1,VACANT,GAS STA.,URC,NATURAL TROUT,,N,N,N,Y,2.4,Y,2.4,N,0.0,N,0.0,7401,,LINDBERGH,DR,,GAITHERSBURG,MD,20879,"WOODFIELD RD & LINDBERGH DR, LOT 15/A & 15/B"
STORMWATER CONCEPT,221586,10/25/2005,11/04/2013,BEA-KAY ACRES,Outlot A/C,218NE01,JR562,1.0,0.7,0.4,R-90,R-90,RESID,RESID,PBR,NATURAL TROUT,,N,N,N,Y,1.0,Y,1.0,N,0.0,N,0.0,919,,FAIRLAND,RD,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,234725,10/21/2008,12/09/2008,ADDITION TO BROOKE GROVE,,225NW04,HT43,2.3,1.9,0.5,R-200,R-200,IDLE,RESIDENT,URC,NATURAL TROUT,,N,N,N,Y,2.3,Y,2.3,N,0.0,N,0.0,4121,,BRIARS,RD,,OLNEY,MD,20832,
STORMWATER CONCEPT,243950,06/26/2012,03/13/2013,WEST LANE,&lt;&gt;&lt;&gt;REVISION SUBMITTED 10/5/2015 FOR REMOVAL OF SILVA CELLS&lt;&gt;&lt;&gt;,,,0.0,0.7,0.7,CBD-2,CBD-2,RESIDENT,RESIDENT,LFB,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,Y,0.7,4833,,WEST,LN,,BETHESDA,MD,20814,
STORMWATER CONCEPT,252854,04/26/2013,10/16/2013,GLENMONT FIRE STATION,PARCEL P866 - GLENMONT FIRE STATION,216NW02,JQ13,5.7,2.9,1.3,R-60,R-60,VACANT,FIRE STA,LRC,GENERAL USE,,N,N,N,Y,2.9,Y,2.9,N,0.0,N,0.0,12210,,GEORGIA,AVE,,SILVER SPRING,MD,20902,
STORMWATER CONCEPT,239271,12/10/2010,,CHILDWAY CHILD DAYCARE,,213NW01,JP343,1.1,1.1,0.5,R-60,C-2,VACANT,COMMERCI,NWB,RECREATION TROUT,NORTH BR,N,N,N,Y,1.1,Y,1.1,N,0.0,N,0.0,220,W,UNIVERSITY,BLVD,,SILVER SPRING,MD,20901,
