Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1127 Thalia St,1127 Thalia St,Accessory STR,3,6,02/09/2021 11:59:59 PM,"(29.9384893737678, -90.0719727068933)",3680332.37,525322.26
312 E 15th Ave,312 E 15th Ave,Commercial STR,2,4,11/19/2020 08:48:12 AM,"(29.948260522432, -90.073452436904)",3679824.66,528870.25
1811 Baronne St,1811 Baronne St,Accessory STR,2,4,02/10/2021 11:59:59 PM,"(29.9380241055239, -90.0800618936525)",3677772.31,525124.96
9030 Bunker Hill Rd 9032 Bunker Hill Rd,9030 Bunker Hill Rd 9032 Bunker Hill Rd,Temporary STR,3,6,02/10/2021 11:59:59 PM,"(30.0334651329698, -89.9868381461413)",3706889.2,560165.65
8710 Oak Street,8710 Oak Street,Commercial STR,3,6,02/10/2021 11:59:59 PM,"(29.9515341264734, -90.1351566905633)",3660271.84,529851.07
1336 Marigny St,1336 Marigny St,Accessory STR,1,2,02/12/2021 11:59:59 PM,"(29.9714417917644, -90.0558381593242)",3685308.71,537361.57
628 Baronne St Apt 203,628 Baronne St Apt 203,Commercial STR,2,2,05/05/2021 11:59:59 PM,"(29.9482386534933, -90.0734460184975)",3679826.78,528862.32
1811 Baronne St,1811 Baronne St,Accessory STR,2,4,02/10/2021 11:59:59 PM,"(29.9380241055239, -90.0800618936525)",3677772.31,525124.96
1127 Thalia St,1127 Thalia St,Accessory STR,3,6,02/09/2021 11:59:59 PM,"(29.9384893737678, -90.0719727068933)",3680332.37,525322.26
12920 Ashland Dr,12920 Ashland Dr,Temporary STR,4,8,02/10/2021 11:59:59 PM,"(30.0529244430044, -89.9544782077698)",3717042.84,567363.55
169 Alix St,169 Alix St,Accessory STR,1,2,07/30/2020 11:59:59 PM,"(29.950328129528, -90.0536045668171)",3686101.62,529691.76
4711 S Liberty St,4711 S Liberty St,Accessory STR,2,4,08/23/2020 11:59:59 PM,"(29.9331362568663, -90.1066591806629)",3669367.71,523256.4
2835 Conti St,2835 Conti St,Commercial STR,5,5,11/25/2020 11:59:59 PM,"(29.9696456035172, -90.0872130128674)",3675382.43,536599.02
5024 Paris Ave,5024 Paris Ave,Accessory STR,1,2,11/13/2020 11:59:59 PM,"(30.0088627455949, -90.0748317276473)",3679145.83,550902.74
2533 Burgundy St #New Orleans 70117,2533 Burgundy St #New Orleans 70117,Accessory STR,1,2,06/13/2020 11:59:59 PM,"(29.9669951077961, -90.0510427351255)",3686845.05,535761.55
4621 Berkley Dr,4621 Berkley Dr,Temporary STR,4,8,11/11/2020 11:59:59 PM,"(29.9183233723282, -90.0075597983208)",3700817.23,518219.53
712 Weiblen Pl.,712 Weiblen Pl.,Accessory STR,1,2,11/27/2020 11:59:59 PM,"(29.9861818527322, -90.1094558543425)",3668275.9,542536.35
822 Howard Ave 304,822 Howard Ave 304,Commercial STR,2,4,07/30/2020 11:59:59 PM,"(29.9441557874871, -90.0743309991359)",3679562.84,527374.56
2718 Odin St,2718 Odin St,Temporary STR,,,06/10/2020 11:59:59 PM,"(30.0150310302446, -90.048420296551)",3687479.48,553238.54
2007 Orleans Ave,2007 Orleans Ave,Commercial STR,2,4,10/27/2020 11:59:59 PM,"(29.9663949603389, -90.0759612637438)",3678957.81,535455.88
8422 Pritchard Pl,8422 Pritchard Pl,Accessory STR,1,2,10/21/2020 06:22:13 PM,"(29.9620141260871, -90.1197940769974)",3665096.33,533713.2
Oretha Castle Haley,Oretha Castle Haley,Accessory STR,1,2,11/14/2020 11:59:59 PM,"(29.9394556755056, -90.0806599143747)",3677577.22,525643.46
531 Bouny St,531 Bouny St,Accessory STR,2,4,09/17/2020 11:59:59 PM,"(29.9498287928424, -90.0531474934068)",3686248.39,529511.8
2520 Touro St,2520 Touro St,Accessory STR,2,4,11/27/2020 11:59:59 PM,"(29.9831345633213, -90.0605362510021)",3683774.05,541596.95
604 S Genois St,604 S Genois St,Commercial STR,2,4,06/20/2020 11:59:59 PM,"(29.9668651637075, -90.0998628905626)",3671388.24,535544.61
4111 Constance St,4111 Constance St,Accessory STR,1,2,11/18/2020 11:59:59 PM,"(29.9201128314109, -90.0982522444493)",3672081.45,518549.21
542 Napoleon Ave,542 Napoleon Ave,Accessory STR,2,4,11/25/2020 11:59:59 PM,"(29.9177971572443, -90.1015506370835)",3671045.68,517695.9
136 S Robertson St 1B,136 S Robertson St 1B,Commercial STR,1,2,11/19/2020 11:59:59 PM,"(29.9576296480763, -90.0774656075591)",3678516.44,532263.26
717 Exposition Blvd,717 Exposition Blvd,Accessory STR,3,6,11/03/2020 11:59:59 PM,"(29.9234788678595, -90.1265991578619)",3663089.18,519677.55
4654 Stephen Girard Ave,4654 Stephen Girard Ave,Temporary STR,3,6,11/13/2020 11:59:59 PM,"(30.0073350930498, -90.0357597178791)",3691517.79,550485.15
2331 Louisiana Ave,2331 Louisiana Ave,Commercial STR,2,4,12/16/2020 11:59:59 PM,"(29.9353134340139, -90.0945799962749)",3673184.94,524089.26
1053 Constance St Apt 115 115,1053 Constance St Apt 115 115,Commercial STR,,,11/13/2020 11:59:59 PM,"(29.9414162937471, -90.069790075282)",3681011.89,526394.21
3648 Timber Bluff Ln,3648 Timber Bluff Ln,Temporary STR,,,06/13/2020 11:59:59 PM,"(29.8980053055184, -89.9974403593039)",3704108.9,510868.46
123 E. Sprague,123 E. Sprague,Commercial STR,1,2,06/07/2020 11:59:59 PM,"(29.9519177900456, -90.0714914934831)",3680431,530207
3208 Dryades St,3208 Dryades St,Accessory STR,3,6,05/23/2020 11:59:59 PM,"(29.9315784073724, -90.0910912358429)",3674304.62,522743.03
1824 Carondelet St Unit 301,1824 Carondelet St Unit 301,Commercial STR,,,06/04/2020 11:59:59 PM,"(29.936734996476, -90.0789864655604)",3678118.04,524659.92
4631 Annette St Apt A,4631 Annette St Apt A,Accessory STR,3,6,09/11/2020 11:59:59 PM,"(30.0053954756207, -90.0654203725425)",3682138.33,549674.74
2407 Joseph St,2407 Joseph St,Accessory STR,1,2,07/25/2020 11:59:59 PM,"(29.9376770312033, -90.1124194468128)",3667525.69,524888.11
4125 Burgundy St,4125 Burgundy St,Accessory STR,2,4,11/12/2020 11:59:59 PM,"(29.963242545476, -90.0344011193593)",3692129.53,534456.33
968 Wilson Dr,968 Wilson Dr,Accessory STR,3,6,11/25/2020 11:59:59 PM,"(29.9800905104803, -90.0908375857577)",3674193.67,540384.73
2003 Almonaster Ave,2003 Almonaster Ave,Commercial STR,3,6,09/22/2020 11:59:59 PM,"(29.97828572824, -90.0471756476639)",3688023.35,539880.96
1238 Cambronne St,1238 Cambronne St,Accessory STR,3,6,05/15/2020 11:59:59 PM,"(29.9501260683265, -90.1317957898322)",3661341.5,529350.19
1616 Frenchmen St,1616 Frenchmen St,Commercial STR,5,10,11/21/2020 11:59:59 PM,"(29.9739347628309, -90.0588866062348)",3684333.48,538257.36
60 Fontainebleau Dr,60 Fontainebleau Dr,Accessory STR,2,4,11/13/2020 11:59:59 PM,"(29.9543249859193, -90.1154515278454)",3666501.05,530931.72
3727 Camp St,3727 Camp St,Accessory STR,2,4,11/21/2020 11:59:59 PM,"(29.9226131687794, -90.0942384039593)",3673343.07,519472.15
2228 Gravier St Apt 203,2228 Gravier St Apt 203,Commercial STR,,,06/12/2020 11:59:59 PM,"(29.9582720370349, -90.0868005584609)",3675558.01,532464.58
900 Bartholomew St Unit 213,900 Bartholomew St Unit 213,Commercial STR,2,4,06/03/2020 11:59:59 PM,"(29.9637449109889, -90.0363160534078)",3691521.14,534632.14
"624 N Olympia St New Orleans, La. 70119","624 N Olympia St New Orleans, La. 70119",Accessory STR,2,4,10/22/2020 11:59:59 PM,"(29.9824220166265, -90.102003283891)",3670649.76,541194.4
215 N Salcedo St,215 N Salcedo St,Accessory STR,1,2,08/20/2020 11:59:59 PM,"(29.9696322973228, -90.0904238839853)",3674365.89,536583.14
2126 General Collins Ave,2126 General Collins Ave,Temporary STR,3,6,03/11/2021 11:59:59 PM,"(29.9318759724963, -90.0146203871817)",3698523.93,523121.9
334 Carondelet St Unit 405,334 Carondelet St Unit 405,Commercial STR,1,2,11/18/2020 11:59:59 PM,"(29.9509481336042, -90.0711781782975)",3680534.1,529855.49
524 S Dorgenois St UNIT A,524 S Dorgenois St UNIT A,Commercial STR,4,8,11/26/2020 11:59:59 PM,"(29.9604854059033, -90.0893649775298)",3674737.26,533260.62
2918 Ursulines,2918 Ursulines,Accessory STR,3,6,12/02/2020 11:59:59 PM,"(29.975684000811, -90.0830790275411)",3676667.33,538809.07
4204 Burgundy St,4204 Burgundy St,Accessory STR,2,4,07/24/2020 07:36:53 PM,"(29.9627333241587, -90.0340525707558)",3692241.99,534272.41
8526 Oak St,8526 Oak St,Commercial STR,1,2,11/04/2020 11:59:59 PM,"(29.950453798049, -90.1337926219044)",3660707.91,529462.74
120 S Avenue 64,120 S Avenue 64,Commercial STR,4,6,10/01/2020 11:59:59 PM,"(29.9674147061692, -90.0576389121936)",3684754.89,535890.82
1932 Lapeyrouse St,1932 Lapeyrouse St,Accessory STR,2,4,11/21/2020 11:59:59 PM,"(29.9747974032282, -90.0691739992415)",3681073.08,538534.97
2226 St Bernard Ave,2226 St Bernard Ave,Commercial STR,2,4,05/23/2020 11:59:59 PM,"(29.9789804475652, -90.0694585982272)",3680966.2,540055.09
401 Girod St Unit 2,401 Girod St Unit 2,Commercial STR,1,2,06/12/2020 11:59:59 PM,"(29.9466940054976, -90.0677322269349)",3681642.41,528320.57
1736 Terpsichore St,1736 Terpsichore St,Commercial STR,2,4,05/13/2020 12:56:12 PM,"(29.9394644636297, -90.0781541919936)",3678370.76,525655.34
7923 Forshey St,7923 Forshey St,Accessory STR,1,2,11/17/2020 11:59:59 PM,"(29.9615073817329, -90.1123374802225)",3667459.31,533554.01
3616 Magazine St Apt 201 APT 201,3616 Magazine St Apt 201 APT 201,Commercial STR,,,09/04/2020 11:59:59 PM,"(29.9217436267965, -90.0920779448641)",3674030.84,519163.36
2725 N Robertson St,2725 N Robertson St,Accessory STR,2,4,10/19/2020 11:59:59 PM,"(29.9728508202109, -90.0472841245037)",3688011.19,537904.24
1227 Franklin Ave Apt C,1227 Franklin Ave Apt C,Commercial STR,1,2,08/07/2020 11:59:59 PM,"(29.9704470330682, -90.0494878450318)",3687323.29,537022.31
1053 Constance St Apt 113 Unit 113,1053 Constance St Apt 113 Unit 113,Commercial STR,,,11/13/2020 11:59:59 PM,"(29.941404749274, -90.0697419736871)",3681027.17,526390.18
1202 Camp St,1202 Camp St,Accessory STR,3,6,08/07/2020 11:59:59 PM,"(29.9394276904207, -90.0721465088741)",3680273.57,525662.86
8814 Palm St,8814 Palm St,Accessory STR,,,12/09/2020 11:59:59 PM,"(29.9694995541232, -90.1176442202963)",3665748.17,536442.41
126 S Dupre St,126 S Dupre St,Accessory STR,2,4,11/25/2020 11:59:59 PM,"(29.966432684861, -90.0900187629327)",3674506.78,535421.03
3944 Clermont Drive,3944 Clermont Drive,Accessory STR,1,2,08/02/2020 11:59:59 PM,"(29.9980741414039, -90.0563974545582)",3685023.71,547044.13
1331 Ferry Pl,1331 Ferry Pl,Accessory STR,2,4,07/25/2020 11:59:59 PM,"(29.9541753027421, -90.1354450661272)",3660170.48,530810.55
838 Camp St Apt C,838 Camp St Apt C,Commercial STR,4,8,05/31/2020 11:59:59 PM,"(29.9447122432188, -90.0704966808214)",3680774.9,527590.27
2631 Royal St,2631 Royal St,Accessory STR,1,2,07/02/2020 11:59:59 PM,"(29.96472895667, -90.05057265669)",3687003.11,534939.16
925 Common St Unit 516 unit 516,925 Common St Unit 516 unit 516,Commercial STR,1,2,11/24/2020 11:59:59 PM,"(29.9539970492628, -90.0725659739459)",3680082.43,530959.35
2114 Jackson Ave,2114 Jackson Ave,Commercial STR,4,8,12/13/2019 11:59:59 PM,"(29.9393459000165, -90.0852727052421)",3676116.76,525587.6
2827 St Claude Ave,2827 St Claude Ave,Commercial STR,2,4,11/24/2020 11:59:59 PM,"(29.9686137383439, -90.0474897485374)",3687963.38,536362.75
616 Baronne St Unit 302,616 Baronne St Unit 302,Commercial STR,2,4,12/04/2020 11:59:59 PM,"(29.9484604615195, -90.0732643918611)",3679883.41,528943.61
1108 Sumner St,1108 Sumner St,Accessory STR,3,6,05/12/2020 11:59:59 PM,"(29.9436442767727, -90.0377598506195)",3691146.64,527317.66
1136 Elysian Fields Ave,1136 Elysian Fields Ave,Accessory STR,3,6,11/20/2020 11:59:59 PM,"(29.9693562676169, -90.05717483784)",3684893.96,536598.48
134 S Solomon St,134 S Solomon St,Accessory STR,1,2,11/04/2020 11:59:59 PM,"(29.9746670209089, -90.1027969632142)",3670428.79,538371.68
7225 St Charles Ave,7225 St Charles Ave,Accessory STR,3,6,11/07/2020 11:59:59 PM,"(29.9379740699637, -90.1272143523591)",3662838.83,524946.5
727 Alvar St,727 Alvar St,Accessory STR,1,2,11/19/2020 11:59:59 PM,"(29.9622898524284, -90.0373008240598)",3691215.32,534099.5
2807 St Claude Ave,2807 St Claude Ave,Commercial STR,2,4,05/22/2020 11:59:59 PM,"(29.9687356932866, -90.0479365815761)",3687821.41,536405.51
900 Bartholomew St Unit 212,900 Bartholomew St Unit 212,Commercial STR,1,2,06/05/2020 11:59:59 PM,"(29.9637418459315, -90.0362952485163)",3691527.74,534631.1
2558 Prentiss Ave,2558 Prentiss Ave,Accessory STR,2,4,11/17/2020 11:59:59 PM,"(30.0170322943235, -90.0521619283327)",3686287.25,553953.02
409 Stafford Pl,409 Stafford Pl,Temporary STR,2,4,11/14/2020 11:59:59 PM,"(30.0179521322755, -90.1194665422439)",3664984.55,554055.62
2225 D'abadie St,2225 D'abadie St,Accessory STR,1,2,11/30/2020 11:59:59 PM,"(29.978328673118, -90.0700085491518)",3680794.71,539816.16
925 Common St UNIT 1008,925 Common St UNIT 1008,Commercial STR,1,2,08/13/2020 09:18:32 AM,"(29.9538226314529, -90.0724440696139)",3680121.73,530896.35
925 Common St UNIT 817,925 Common St UNIT 817,Commercial STR,,,11/10/2020 11:59:59 PM,"(29.9540058185942, -90.072425017492)",3680127.03,530963.03
510 Warrington Dr,510 Warrington Dr,Accessory STR,2,4,11/14/2020 11:59:59 PM,"(30.0020825155784, -90.0684412973029)",3681195.52,548459.45
2120 Peniston St,2120 Peniston St,Accessory STR,3,6,02/26/2021 11:59:59 PM,"(29.9323788236373, -90.0971813341078)",3672372.56,523013.23
925 Common St Unit 1204 Unit 1204,925 Common St Unit 1204 Unit 1204,Commercial STR,1,2,11/26/2020 11:59:59 PM,"(29.9537035596343, -90.0724271633355)",3680127.56,530853.11
6223 Magazine Street,6223 Magazine Street,Accessory STR,2,4,11/04/2020 11:59:59 PM,"(29.9235318310612, -90.1249244266097)",3663619.46,519702.4
1760 Gentilly Blvd,1760 Gentilly Blvd,Accessory STR,1,2,11/03/2020 11:59:59 PM,"(29.9840861576945, -90.0764894557767)",3678720.01,541887.24
600 Canal St Apt 703 APT 703,600 Canal St Apt 703 APT 703,Commercial STR,,,10/09/2020 11:59:59 PM,"(29.9524938276686, -90.0685980846237)",3681344.93,530426.57
800 St Charles Ave unit 204,800 St Charles Ave unit 204,Commercial STR,1,2,11/18/2020 11:59:59 PM,"(29.9457066759853, -90.0714803859766)",3680459.39,527948.45
700 Majestic Pl 1420 Elmira,700 Majestic Pl 1420 Elmira,Accessory STR,2,4,11/25/2020 11:59:59 PM,"(29.9409217877674, -90.0474382226747)",3688092.7,526293.14
2383 Rousseau St,2383 Rousseau St,Commercial STR,2,4,05/24/2020 11:59:59 PM,"(29.9229802104684, -90.0752960810231)",3679341.75,519671
4343 Sybil St,4343 Sybil St,Accessory STR,2,4,08/21/2020 11:59:59 PM,"(30.002126172267, -90.0748329138351)",3679172.36,548453.05
339 Carondelet St,339 Carondelet St,Commercial STR,1,2,12/11/2020 11:59:59 PM,"(29.9511106063277, -90.071602847918)",3680398.97,529913.09
2433 Perdido St,2433 Perdido St,Commercial STR,1,2,06/24/2020 11:59:59 PM,"(29.9584294649534, -90.0894645098201)",3674713.86,532512.66
1737 Third St,1737 Third St,Accessory STR,,,05/14/2020 11:59:59 PM,"(29.9335374751297, -90.0854479549295)",3676084.26,523474.84
212 Magazine St Apt 4C,212 Magazine St Apt 4C,Commercial STR,1,2,10/06/2020 11:59:59 PM,"(29.9507460591442, -90.0672790570725)",3681769.64,529795.63
2228 Gravier St Apt 201,2228 Gravier St Apt 201,Commercial STR,,,06/12/2020 11:59:59 PM,"(29.9582974646888, -90.0867792078031)",3675564.67,532473.9
3211 Dauphine St,3211 Dauphine St,Accessory STR,3,6,11/15/2020 11:59:59 PM,"(29.964050455927, -90.0430542985777)",3689386.38,534719.16
100 Hathaway Pl,100 Hathaway Pl,Accessory STR,3,6,03/01/2021 11:59:59 PM,"(29.9892167035451, -90.0776205228014)",3678341.51,543748.98
1416 Carondelet St Unit C,1416 Carondelet St Unit C,Commercial STR,2,4,08/28/2020 11:59:59 PM,"(29.9400269065675, -90.0762891006152)",3678959.2,525866.34
2332 Chippewa St,2332 Chippewa St,Accessory STR,2,4,11/24/2020 11:59:59 PM,"(29.9252216863989, -90.0755809146767)",3679242.58,520485.09
5386 Charlotte Dr,5386 Charlotte Dr,Accessory STR,1,2,10/24/2020 11:59:59 PM,"(30.0126554744397, -90.0721153853523)",3679990.33,552291.38
4202 S Derbigny St 70125,4202 S Derbigny St 70125,Accessory STR,,,08/01/2020 11:59:59 PM,"(29.9414028533446, -90.1013829163759)",3671006.52,526280.37
900 Bartholomew St Unit 204,900 Bartholomew St Unit 204,Commercial STR,2,4,06/05/2020 11:59:59 PM,"(29.9637048049069, -90.0361503222757)",3691573.78,534618.15
2012 St Louis St,2012 St Louis St,Accessory STR,2,4,10/13/2020 11:59:59 PM,"(29.9642996570181, -90.0780666202007)",3678299.56,534686.64
5920 Magazine St,5920 Magazine St,Commercial STR,2,4,06/09/2020 11:59:59 PM,"(29.9217719161406, -90.1204542606918)",3665042.19,519077.39
2508 myrtle st,2508 myrtle st,Accessory STR,3,6,09/19/2020 11:59:59 PM,"(29.9949818679503, -90.0513357907694)",3686638.4,545937.55
217 S Bernadotte St,217 S Bernadotte St,Accessory STR,1,2,02/26/2021 11:59:59 PM,"(29.9781931925361, -90.1090732953342)",3668428.04,539632.65
3619 Republic St,3619 Republic St,Temporary STR,5,10,07/31/2020 03:15:15 AM,"(29.9945813144337, -90.0707356825237)",3680499.39,545723.71
3011 Bienville Ave,3011 Bienville Ave,Accessory STR,,,12/11/2020 11:59:59 PM,"(29.9697016931121, -90.0891651604118)",3674764.14,536612.7
621 Celeste St Apt D apt D,621 Celeste St Apt D apt D,Commercial STR,1,2,11/10/2020 11:59:59 PM,"(29.9284081354696, -90.0682954142687)",3681537.47,521669.2
1518 Webster St,1518 Webster St,Accessory STR,3,6,09/23/2020 12:05:10 PM,"(29.9302134134506, -90.1203476978083)",3665043.45,522147.39
1424 Melpomene St,1424 Melpomene St,Accessory STR,2,4,06/13/2020 11:59:59 PM,"(29.9378903390876, -90.0736429672989)",3679805.78,525098.61
2702 Chartres St Apt A,2702 Chartres St Apt A,Commercial STR,2,4,06/26/2020 11:59:59 PM,"(29.9635431300861, -90.0506516370523)",3686982.93,534507.67
3134 St Claude Ave,3134 St Claude Ave,Commercial STR,2,4,07/19/2020 09:16:35 PM,"(29.9672747554772, -90.0433749310956)",3689271.66,535890.49
2228 Gravier St Apt 304,2228 Gravier St Apt 304,Commercial STR,,,06/12/2020 11:59:59 PM,"(29.9582537359102, -90.0867991133056)",3675558.54,532457.93
1465 N Villere St,1465 N Villere St,Accessory STR,3,6,11/11/2020 11:59:59 PM,"(29.9695426228794, -90.0658527174403)",3682145.71,536635.75
326 Camp St Apt 404,326 Camp St Apt 404,Commercial STR,3,6,08/06/2020 11:59:59 PM,"(29.9502719907632, -90.0687464652435)",3681306.86,529618.11
610 Independence St,610 Independence St,Accessory STR,1,2,12/04/2020 11:59:59 PM,"(29.961421730957, -90.0395895875312)",3690494.19,533775.63
1565 N Roman St,1565 N Roman St,Accessory STR,2,4,11/18/2020 11:59:59 PM,"(29.9735635073249, -90.067968901414)",3681459.56,538090.49
417 Stafford Pl,417 Stafford Pl,Accessory STR,3,6,10/08/2020 11:59:59 PM,"(30.0179697568566, -90.1197824842769)",3664884.5,554060.97
1706 Poland Ave,1706 Poland Ave,Commercial STR,1,2,07/29/2020 11:59:59 PM,"(29.9711227161202, -90.0297746528938)",3693561.8,537338.48
4556 Montegut Dr,4556 Montegut Dr,Temporary STR,3,6,05/20/2020 11:59:59 PM,"(30.0070337897429, -90.0407930647652)",3689926.03,550357.58
5340 Marigny st,5340 Marigny st,Accessory STR,1,2,05/30/2020 11:59:59 PM,"(30.0134970598891, -90.0593572966492)",3684024.51,552642.08
2512 Constance St,2512 Constance St,Accessory STR,1,2,10/01/2020 11:59:59 PM,"(29.9264871564178, -90.0796890900592)",3677936.28,520931
1565 Cleveland Ave,1565 Cleveland Ave,Commercial STR,2,4,11/19/2020 11:59:59 PM,"(29.9575142800401, -90.0775168626422)",3678500.67,532221.13
2861-2863 Grand Route St John St,2861-2863 Grand Route St John St,Accessory STR,3,6,05/23/2020 11:59:59 PM,"(29.9798421302956, -90.079539451089)",3677771.38,540333.37
2221 Feather Rock Rd,2221 Feather Rock Rd,Commercial STR,2,4,06/04/2020 11:59:59 PM,"(29.9352825658079, -90.1094665087535)",3668470.22,524027.37
1708 Poland Ave,1708 Poland Ave,Commercial STR,1,2,07/29/2020 11:59:59 PM,"(29.9711227161202, -90.0297746528938)",3693561.8,537338.48
2411 Lapeyrouse St New Orleans,2411 Lapeyrouse St New Orleans,Accessory STR,3,6,11/25/2020 11:59:59 PM,"(29.9778310133824, -90.0729003186508)",3679881.22,539625.11
1320 Mandeville St,1320 Mandeville St,Accessory STR,1,2,11/19/2020 12:28:29 PM,"(29.971214290769, -90.0547088995386)",3685667.16,537282.83
123 Olivier Street,123 Olivier Street,Accessory STR,2,4,07/18/2020 11:59:59 PM,"(29.9545183591194, -90.0501649473799)",3687173.78,531227.66
728 Eleonore Street,728 Eleonore Street,Accessory STR,1,2,05/13/2020 12:16:43 PM,"(29.9214923185675, -90.1200749433963)",3665163.42,518976.99
915 Bartholomew St,915 Bartholomew St,Commercial STR,2,4,05/15/2020 11:59:59 PM,"(29.9637483056654, -90.0358542035605)",3691667.36,534635.03
2440 Dauphine St,2440 Dauphine St,Accessory STR,2,4,05/14/2020 11:59:59 PM,"(29.9657044823878, -90.0531841034803)",3686172.3,535284.65
822 Howard Ave # 102,822 Howard Ave # 102,Commercial STR,1,2,06/07/2020 11:59:59 PM,"(29.9519018979106, -90.0714774522878)",3680435.51,530201.27
510 Lowerline St,510 Lowerline St,Accessory STR,3,6,11/15/2020 02:22:07 PM,"(29.936952630069, -90.1294979225381)",3662119.5,524567.46
1010 N Rocheblave St,1010 N Rocheblave St,Accessory STR,3,6,12/01/2020 11:59:59 PM,"(29.9714923742595, -90.0779553982418)",3678306.12,537302.57
3028 Dryades St,3028 Dryades St,Accessory STR,1,2,11/19/2020 11:59:59 PM,"(29.931855416035, -90.0905410754479)",3674477.78,522845.65
822 Howard Ave Apt 202 Apt 202,822 Howard Ave Apt 202 Apt 202,Commercial STR,3,6,08/04/2020 11:59:59 PM,"(29.9441227242724, -90.0744163573529)",3679535.94,527362.24
234 Loyola Ave Apt 804 804,234 Loyola Ave Apt 804 804,Commercial STR,,,10/28/2020 11:59:59 PM,"(29.9535592107623, -90.0748082890385)",3679374.13,530792.33
1041 Constance St Apt 103 unit 103,1041 Constance St Apt 103 unit 103,Commercial STR,1,2,11/13/2020 11:59:59 PM,"(29.9415673116108, -90.0696227374646)",3681064.28,526449.71
631 Louisa St,631 Louisa St,Accessory STR,3,6,09/02/2020 11:59:59 PM,"(29.9627494571385, -90.0436853734445)",3689191.89,534243.82
5175 Elysian Fields Ave,5175 Elysian Fields Ave,Accessory STR,3,6,12/02/2020 11:59:59 PM,"(30.0114887594743, -90.059832687221)",3683882.18,551910.11
935 Sixth St,935 Sixth St,Accessory STR,,,05/10/2020 11:59:59 PM,"(29.9244900800127, -90.082960239919)",3676908.08,520193.47
4615 S Carrollton Ave,4615 S Carrollton Ave,Commercial STR,5,10,08/23/2020 11:59:59 PM,"(29.9733444126305, -90.1022435647018)",3670609.16,537892.61
1234 Touro St,1234 Touro St,Accessory STR,2,4,03/31/2020 11:59:59 PM,"(29.97019450027, -90.0595173806745)",3684148.9,536895.04
3007 Dumaine St,3007 Dumaine St,Accessory STR,2,4,10/17/2020 11:59:59 PM,"(29.9744422372859, -90.0847670149367)",3676137.85,538351.69
