the_geom,OBJECTID,UNDERGROUND_TANK_SYSTEM_ID,UST_ID,FACILITY_NAME,APPROXIMATE_LOCATION_OF_TANK,FACILITY_ADDRESS,STREET_NAME,FACILITY_TANK_NUMBER,ORDINANCE_FOR_ROW,SOURCE,TCEQ_NUMBER,HYPERLINK_TO_COUNCIL_MINUTES,DATE,REMEDIATION_ATAUS,LOCATED_IN_RECHARGE_ZONE,PERMIT_STATUS,LEAKING_STORAGE_TANK_NUMBER,TANK_TYPE,TANK_SYSTEM_STATUS,HISTORICAL_RECORD,CONFIRMED_INSTALLED,COMMENTS
POINT (-97.743011198545 30.282216556462),965,966,H0956,,,1901 San Antonio Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118534,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.684918254023 30.383092039864),1238,1239,00975,S W Bell - Tennyson,,11409 N Lamar Blvd,LAMAR,,,,,,,,N,A,,,,N,,
POINT (-97.742785765404 30.2712337462),343,343,H0352,Southwestern Bell Telephone C,,120 W 9th,W 9th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88825,05/11/1933 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.744816241192 30.287844528649),542,542,H0677,Continental Oil Comp.,SW corner,W 24th & Rio Grande,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44553,10/25/1956 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.767199051363 30.249332992101),833,833,H0589,Sinclair Refining,NE Corner,W Mary & S Lamar,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44526,02/03/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.757975500135 30.261202434458),2595,2611,H1011,,,1200 Barton Springs Road,,,,,,,,,N,,,,,Y,,
POINT (-97.737798347628 30.266911728807),2624,2641,03413,Vacant Building,,508,E. 6th St.,,,,,,,,,C,,,,N,,
POINT (-97.683250973667 30.285546997668),1057,1058,00322,MLK Express,,4509 E Martin Luther King Blvd,MARTIN LUTHER KING,,,,,,,,N,P,,,,N,,
POINT (-97.750800772961 30.247192540567),960,961,H0948,,,1612 S Congress Avenue,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118497,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.741397518035 30.2687992353),336,336,H0345,W.T. Patton,,116 1/2 E 7th,1/2 E 7th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89999,12/15/1932 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.73853417649 30.302575727275),1105,1106,00397,Diamond Shamrock #0963,,3706 Guadalupe St,GUADALUPE,,,,,,,,N,C,,,,N,,
POINT (-97.723028988643 30.260228780517),910,911,H1001,,,1906 E 4th Street,,0,,,0,N/A,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.91264461329 30.236168329662),1234,1235,00964,AT&T - Cedar Valley 288 C.O. XP3650,,8900 Circle Dr,CIRCLE,,,,,,,,N,P,,,,N,,
POINT (-97.739367156957 30.319739134582),715,715,H0632,Hilliare F. Nitschke,SW Corner,W 49th & Burnet,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44578,11/03/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.741696427039 30.288789075178),355,355,H0214,,,2412 Guadalupe,Guadalupe,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89896,08/02/1928 12:00:00 AM +0000,,N,H,,Existing Filling Stn,,Y,,Pump upgrade
POINT (-97.708727267381 30.197796393875),2635,2652,C0732,Liquid Environmental Solutions,,7005,Burleson Rd.,,,,,,,,,C,,,,N,,
POINT (-97.704749499142 30.333275905321),996,997,00067,Discover Food Mart #1,,7200 N I 35,I 35,,,,,,,,N,P,,,,N,,
POINT (-97.683958763445 30.240487363973),2636,2653,C0719,CoA Annexation,,422,Thompson Ln.,,,,,,,,,C,,,,N,,
POINT (-97.783350135475 30.435970728519),2586,2602,C0727,,,3522,,,,,,,,,Y,C,,,,N,,
POINT (-97.833792692968 30.154334658039),2581,2597,03406,,,,,,,,,,,,N,F,,,,N,,
POINT (-97.748561173451 30.276245041246),903,904,H0968,,,800 W 12th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118575,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.726723678518 30.241143253228),1298,1299,01190,Diamond Shamrock #2126,,1516 Tinnin Ford Rd,TINNIN FORD,,,,,,,,N,C,,,,N,,
POINT (-97.806062997997 30.144280748274),2575,2591,03401,Woody's Country Market,,100 W Fm 1626 Rd,FM 1626,,,,,,,,N,F,,,,N,,
POINT (-97.700172828907 30.259258565052),2660,2680,03286,CoA Police Forensic Lab,,812,Springdale,,,,,,,,,P,,,,N,,
POINT (-97.864149474966 30.200292913124),2689,2710,03427,7-Eleven #38267,,5000,W. Slaughter Ln.,,,,,,,,,F,,,,N,,
POINT (-97.707507603121 30.288878984598),1302,1303,01194,Main Stop #2,,3842 Airport Blvd,AIRPORT,,,,,,,,N,P,,,,N,,
POINT (-97.842387659779 30.149302867831),2672,2692,03419,Nu Mart,,11913,Rancho Alto,,,,,,,,,F,,,,N,,
POINT (-97.774398345455 30.312276593775),2584,2600,C0705,,,3522,,,,,,,,,Y,C,,,,N,,
POINT (-97.863373484531 30.233868795186),2597,2613,C0725,,,3522,,,,,,,,,Y,C,,,,N,,
POINT (-97.785671606943 30.284018418976),2641,2661,N0175,Don Crowell Property,,100,W. Canyon Dr.,,,,,,,,,C,,,,N,,
POINT (-97.74178065347 30.267585466634),2642,2662,N0176,Texas Public Service,,150 E. 6th St.,,,,,,,,,,C,,,,N,,
POINT (-97.645642021693 30.299419884051),2661,2681,03290,Loyola Groceries,,6710,Loyola Ln.,,,,,,,,,P,,,,N,,
POINT (-97.69378952856 30.256918477145),2640,2660,N0180,Rosa's Well,,905,Shady Ln,,,,,,,,,N,,,,N,,
POINT (-97.723980359807 30.330380366818),2637,2654,C0720,Klingman Car Care,,6200,N. Lamar Blvd.,,,,,,,,,C,,,,N,,
POINT (-97.692810685177 30.267315360881),2590,2606,A0038,,,3522,,,,,,,,,N,C,,,,N,,
POINT (-97.751629641598 30.266161619614),2618,2635,03389,Central Library,,710,W. Cesar Chavez St.,,,,,,,,,F,,,,N,,
POINT (-97.833975636205 30.442703723651),2572,2586,03399,Buckne,,10208 N Fm 620 Rd,FM 620,,,,,,,,Y,C,,,,N,,
POINT (-97.739669906951 30.300647998885),955,956,H0940,,,3402 Guadalupe Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118471,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.744785132462 30.302891162906),471,471,H0425,Magnolia Petroleum Co.,,W 34th & Lamar,,0,No,Not for Council Approval,0,http://www.cityofaustin.org/edims/document.cfm?id=88665,08/14/1947 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Provisional approval
POINT (-97.713915020389 30.257471618482),907,908,H0972,,,2519 E 5th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118611,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.747834261226 30.253774438808),2685,2706,03423,Twomey Auto,,1009,S. Congress Ave.,,,,,,,,,C,,,,N,,
POINT (-97.730765219194 30.263313780456),131,131,H0274,Central Texas Refining Co.,,E 5th & Waller,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90561,09/19/1929 12:00:00 AM +0000,,N,H,,Storage Tanks,,Y,,
POINT (-97.73126445271 30.262463625175),566,566,H0538,Gardner Iron and Metal,,1201 E 4th St,E 4th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88282,03/12/1953 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.751468158755 30.307842943312),475,475,H0430,R.G. Mueller,NE Corner,W 35th & Jefferson,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88657,12/04/1947 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.831713301145 30.237853597909),1239,1240,00977,SW Bell - Twinbrook,,5204 W Us 290 Hwy,US 290,,,,,,,,Y,A,,,,N,,
POINT (-97.737684733748 30.26959949176),628,628,H0563,Oak Farms Dairy,,607-609 E 9th St,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88579,04/22/1954 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.931473037277 30.388776496376),2603,2619,03301,,,,,,,,,,,,N,E,,,,N,,
POINT (-97.752990408967 30.271357052125),663,663,H0763,Select Motors,,900 W 6th,W 6th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44663,09/10/1959 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.873801305675 30.179635881891),2657,2677,C0709,CoA,,4318,Wyldwood Rd.,,,,,,,,,C,,,,N,,
POINT (-97.759769909119 30.224249382759),2599,2615,C0715,,,3522,,,,,,,,,N,C,,,,N,,
POINT (-97.741388495699 30.264306512367),916,917,H0987,,,207 San Jacinto,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118647,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.743956010466 30.271629586471),911,912,H0979,,,901 Lavaca Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118620,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.69231668748 30.370803320404),1364,1365,01965,Seven Eleven #30467,,10111 N Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.73941427923 30.264176479132),923,924,H0998,,,301 Trinity,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118766,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.636602824725 30.276936034197),2680,2701,03420,969 Express Mart,,8602,FM 969 Rd.,,,,,,,,,F,,,,N,,
POINT (-97.746022617728 30.267078379754),2673,2693,C0706,,Ginger Bread Man,401,Guadalupe St.,,,,,,,,,C,,,,N,,
POINT (-97.722172976173 30.261417888041),917,918,H0988,,,1909 E 6th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118652,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.680740720813 30.22529556099),2653,2673,03304,Tx Alternator Starter Service,,1230,Bastrop Hwy,,,,,,,,,C,,,,N,,
POINT (-97.749305689602 30.258960609019),2693,2714,03429,401 S. 1st St Project,,401,S. 1st St.,,,,,,,,,C,,,,N,,
POINT (-97.755269774164 30.460736209142),2695,2727,03431,7-11 #38202,,8000,Anderson Mill Rd,,,,,,,,,F,,,,N,,
POINT (-97.61940381626 30.388245093585),2691,2712,03425,Cantarra Gas Station,,3400,E. Howard Ln.,,,,,,,,,F,,,,N,,
POINT (-97.689150862519 30.358222237707),1262,1263,01125,Rundberg Food Mart,,9318 N I 35,I 35,,,,,,,,N,P,,,,N,,
POINT (-97.74820952462 30.25246952366),2666,2686,03418,"Music Lane Owner, LLC",,1123,S. Congress Ave,,,,,,,,,C,,,,N,,
POINT (-97.789097373728 30.468514792469),2605,2621,03408,,,,,,,,,,,,Y,F,,,,N,,
POINT (-97.737923359669 30.26684502462),2629,2646,C0711,Former UST Facility,,508,E. 6th,,,,,,,,,C,,,,N,,
POINT (-97.727267208658 30.227529735688),2574,2590,03300,Champs Food Mart,,2433 S Pleasant Valley Rd,PLEASANT VALLEY,,,,,,,,N,P,,,,N,,
POINT (-97.748663965159 30.277230971547),2631,2648,C0714,ACC Rio Grande Campus,,1218,West Ave.,,,,,,,,,C,,,,N,,
POINT (-97.751488740083 30.277006642384),913,914,H0981,,,1200 N Lamar Blvd,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118631,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.752170857257 30.27481109387),920,921,H0993,,,921 N Lamar Blvd,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118734,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.726792051527 30.261919427029),2588,2604,N0178,,,3522,,,,,,,,,N,C,,,,N,,
POINT (-97.731165703489 30.320934989153),1231,1232,00960,AT&T - Homestead 451 C.O. XP3010,,817 W North Loop Blvd,NORTH LOOP,,,,,,,,N,P,,,,N,,
POINT (-97.892528442935 30.369487203678),2654,2674,03307,Wag-A-Bag #19,,2900,Quinlan Park Rd.,,,,,,,,,P,,,,N,,
POINT (-97.784555357969 30.292067603477),2651,2671,C0718,LCRA,,3601,Lake Austin Blvd.,,,,,,,,,C,,,,N,,
POINT (-97.722886313893 30.260527114549),908,909,H0975,,,411 Chicon Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118561,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.660254393485 30.284434721684),2692,2713,03428,,,6401,FM 969 Rd.,,,,,,,,,F,,,,N,,
POINT (-97.729859475978 30.262972379984),2650,2670,03416,Plaza Saltillo,,1301,E. 5th St.,,,,,,,,,C,,,,N,,
POINT (-97.741279380266 30.262347109924),904,905,H0969,,,327 E Cesar Chavez,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118578,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.827945109423 30.140429406759),2655,2675,03309,6-M Grocery,,805,W. FM 1626 Rd.,,,,,,,,,P,,,,N,,
POINT (-97.764800938427 30.274251908218),2678,2699,N0173,Abandoned Building,,,1619 W. 5th St.,,,,,,,,,C,,,,N,,
POINT (-97.726375121456 30.304485799101),2664,2684,03299,Julio's Cafe',,4220,Duval St.,,,,,,,,,C,,,,N,,
POINT (-97.736588509284 30.267712912153),1,1,H0187,,,705 Red River,Red River,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89891,02/23/1928 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.735072247632 30.27134862732),314,314,H0325,G.S. Hamby,NE Corner,E 11th & Red River,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89932,10/08/1931 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.795517615613 30.218746838218),1286,1287,01174,Manchaca Food Mart,,5304 Manchaca Rd,MANCHACA,,,,,,,,N,P,,,,N,,
POINT (-97.679914679808 30.167360703415),2679,2700,OJ015,Central Texas Refuse,,9316,FM 812,,,,,,,,,OJ,,,,N,,
POINT (-97.79512746528 30.461631390667),2667,2687,03291,HEB #16,,13770,N. US 183 Hwy,,,,,,,,,C,,,,N,,
POINT (-97.728713984667 30.321871955255),743,743,H0701,Humble Oil & Refining Co.,SE Corner,Franklin & Lamar,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44608,07/11/1957 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.705490160674 30.254028253263),2676,2697,C0710,Meat Processing Plant,,3401,E. 5th St.,,,,,,,,,C,,,,N,,
POINT (-97.729576963723 30.269077086975),189,189,H0254,A.J. Hayden,,E 11th & Waller,E 11TH ST,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90541,03/21/1929 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.705665826023 30.254609939298),766,766,H0724,Austin Meat Co.,,3301 E 5th,E 5th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44796,04/10/1958 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.720573272867 30.266213318184),756,756,H0713,Gulf Oil Company,NW Corner,E 11th & Chicon,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44493,12/12/1957 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.69054735265 30.471927578128),2658,2678,03417,Quick Hill Retail Center,,16009,FM 1325,,,,,,,,,F,,,,N,,
POINT (-97.757161191112 30.272370476183),2630,2647,C0712,Former Covert Buick,,1127,W. 6th St.,,,,,,,,,C,,,,N,,
POINT (-97.741315044087 30.268287732406),891,892,H0920,,,Brazos St & E 7th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118423,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.740238381199 30.271585076716),326,326,H0337,Home Steam Laundry,,118-120 E 10th,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89920,05/05/1932 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.96328907963 30.349303697126),2400,2408,OJ072,Circle K #2704681,,1405 S Fm 620 Rd,FM 620,,,,,,,,N,X,,,,N,,
POINT (-97.749291337276 30.251300855705),933,934,H0904,,,S Congress Avenue & W James Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118342,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.752055938991 30.275055355414),922,923,H0996,,,1001 N Lamar Blvd,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118741,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.730175927385 30.21226619491),2686,2707,00625,Kwik Mart #2,,4906,Burleson,,,,,,,,,P,,,,N,,
POINT (-97.694423884677 30.26504945836),2593,2609,A0038,,,3522,,,,,,,,,N,C,,,,N,,
POINT (-97.660461922942 30.214337236615),2614,2631,N0183,,,2401 E. SH 71,E. SH 71,,,,,,,,N,N,,,,N,,
POINT (-97.784373701459 30.167598911228),2659,2679,03284,Circle K 2704673,,8801,S IH 35,,,,,,,,,P,,,,N,,
POINT (-97.667452202438 30.21081533653),2616,2633,03411,ABIA retail,,2901,Spirit of Texas Dr.,,,,,,,,,F,,,,N,,
POINT (-97.755749327051 30.235787508698),2622,2639,C0042,Spillar Custom Hitches,,2701,S. Congress Ave.,,,,,,,,,C,,,,N,,
POINT (-97.688129388047 30.182667696802),2696,2731,03433,,,,,,,,,,,,,F,,,,N,,
POINT (-97.67841044719 30.328033786278),2326,2333,N0128,Old Howards Gas,,2103 E Anderson Ln,ANDERSON,,,,,,,,N,N,,,,N,,
POINT (-97.741080471832 30.266139747802),2615,2632,03404,Closed Site,,201,E. 5th St,,,,,,,,,C,,,,N,,
POINT (-97.750664619911 30.26950594797),2620,2637,03391,Ghost Tank,,501,West Ave.,,,,,,,,,C,,,,N,,
POINT (-97.665476838082 30.413612263226),2567,2580,03393,Old Executive Airport,,601 Center Ridge Dr,CENTER RIDGE,,,,,,,,N,C,,,,N,,Old Executive Airport.
POINT (-97.700403724371 30.276485175207),1911,1913,C0342,Closed Service Station,,1196 Airport Blvd,AIRPORT,,,,,,,,N,C,,,,N,,
POINT (-97.647455829641 30.387202023191),2684,2705,OJ130,Star Enterprises,,1700 E. Parmer Ln.,Parmer,,,,,,,,,OJ,,,,N,,
POINT (-97.752172193233 30.27472298276),1272,1273,01143,Seven Eleven #21884,,917 N Lamar Blvd,LAMAR,,,,,,,,N,P,,,,N,,
POINT (-97.739331176584 30.302035862068),2585,2601,C0722,,,3522,,,,,,,,,N,C,,,,N,,
POINT (-97.681852057611 30.4288738608),2648,2668,03415,Scofield Retail Center,,1800,Scofield Ridge,,,,,,,,,F,,,,N,,
POINT (-97.663601339315 30.285957868072),2579,2595,03405,,,,,,,,,,,,N,F,,,,N,,
POINT (-97.73382232705 30.254534281787),2681,2702,03421,,,21 Waller St.,,,,,,,,,,C,,,,N,,
POINT (-97.816749813959 30.20818310302),2633,2650,C0730,Meineke 4156,,2712,W. William Cannon Dr.,,,,,,,,,C,,,,N,,
POINT (-97.88820516869 30.246415847034),2566,2579,03392,Kwik Mart 3,,8225 W Sh 71,SH 71,,,,,,,,N,F,,,,N,,
POINT (-97.680102658102 30.224588425981),2675,2696,C0708,Larry's Auto Sales,,1250,Old Bastrop Rd.,,,,,,,,,C,,,,N,,
POINT (-97.765751864426 30.215570833315),2674,2695,C0707,Rudy's Automotive,,4311,Lucksinger Ln.,,,,,,,,,C,,,,N,,
POINT (-97.677597596964 30.344692443996),2688,2709,03424,JD's Supermarket,,8807,Cameron Rd.,,,,,,,,,F,,,,N,,
POINT (-97.744623398169 30.267699418547),921,922,H0995,,,200 W 5th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118742,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.681312473592 30.453158565409),2628,2645,C0575,,,15201,Bratton Ln,,,,,,,,,C,,,,N,,
POINT (-97.707960301314 30.318275585749),1073,1074,00353,Shell Food Mart,,5740 N I 35,I 35,,,,,,,,N,T,,,,N,,
