sitePlanKey,sitePlanNbr,sitePlanName,sitePlanStatusTypeDsc,amendmentInd,commercialGrossFloorAreaSquareFeetQty,hotelRoomCnt,officeSquareFeetQty,parkingSpaceCnt,residentialGrossFloorAreaSquareFeetQty,residentialUnitCnt,retailSquareFeetQty,sitePlanActionDatetime,storyCnt,townhouseCnt,sitePlanCommentText,sitePlanNoteText,rezoningNbr,rezoningCaseNbr,rezoningStatusTypeDsc
214,090,Crystal Square:Office Bldg. 2 amendment,Approved,false,,0,7100,0,0,,,2015-12-10T00:00:00.000Z,0,0,"site plan #90 to increase GFA of ~ 10,000 sq. ft. replacement of ext. façade.",Site plan amendment to create office space by enclosing existing arcade to house flight simulators and support areas.,,,
218,011a,Crystal Plaza Amendment,Approved,true,0,0,120000,0,0,0,0,1994-03-28T00:00:00.000Z,0,0,High Res/High O-A-H,,,,
222,359,"2900 Clarendon Blvd Development Associates, LLC",Approved,true,0,0,64545,560,383519,308,21515,2002-11-19T00:00:00.000Z,0,0,"Commercial Office Building, Hotel and Multiple-Family Dwelling Districts","Site area: 95,014 s.f.  Site area allocated to residential density:  72,367 s.f.  Site area allocated to office/retail density:  22,647 s.f.  Residential parking: 370 spaces    Office/retail parking: 190 spaces.    -------------------------------------------------------------------------------------------------------------------  01/2006 RPCs 18-014-011, 012, 013, 016 Dead.  New individual condo units 18-014-018 thru 111 (building B).  New RPC 18-014-017 future condo building A & D.",,,
226,364,Lee Gardens Housing Corporation,Approved,false,0,0,8500,547,505203,571,1000,2003-10-04T00:00:00.000Z,0,0,"10/04/03 item 15.  Total residential GFA 505,203,  255,869/249,334 existing/new.   parking existing/new  236/311.   ""RA6-15"" zoning District and density","Vacate portion of 5ft sanitary sewer easement on Harriet R.F.Vinson Estate,Parcel 1,Woodbury Park North, 2300 thru 2341 N 11th  street.",,,
230,384,The Views of Clarendon,Approved,false,0,0,0,120,111807,116,0,2004-10-21T00:00:00.000Z,0,0,Clarendon Baptist Church.  1210 N.Highland St. re zone Z-2512-04-01,"02/24/2007, item 21, site plan reinstated with rezoning, 70 affordable units, 46 market rate units, 3 level parking garage with 120 spaces, mef-----------------------------------------------------------------    09/15/06 Virginia Supreme Court negates site plan based on illegal rezoning, mef------------------------------------------------------------    MIXED USE, church and residential. Church office and sanctury 20,626 gfa,  church education gfa 42208. Church parking = 1 space for each 5 seats.",,,
234,65,Century Center,Approved,true,0,0,5584,0,0,0,8832,2005-07-09T00:00:00.000Z,0,0,Century I and II SitePlan Amendment,"Approximately 8,264 sq. ft. gross floor area (GFA) has been added.",,,
238,393,"North Vance Street, Potomac Custom Builders",Approved,false,0,0,0,45,0,1,0,2006-02-25T00:00:00.000Z,0,20,,"Approved 02/25/06, item 26, Site Plan 393, rezoning Z-2517-05-1, 20 townhouses, 1 detached house (new or existing?), 21 total units.",,,
242,402,Penrose Square,Approved,false,0,0,0,713,359850,299,97044,2006-10-24T00:00:00.000Z,7,0,"approved 10/24/06 item 48. 393 resid. parking. 320 retail parking.  Total GFA 452,065, mef","03/2009 split, 006,009,011 dead, replaced by 012,013,014, mef.",,,
246,409,George Contis Site,Approved,true,147141,0,114922,231,0,0,32219,2011-11-19T00:00:00.000Z,5,0,"approved 10/13/2007 item 39.  187 spaces office, 44 spaces retail, 3 level parking garage, mef. Additional 6500 sq ft in retail mezzanine space approved 11/19/2011, item #7.","Sold 05/21/2010, 4365/1933, $10,000,000, $73.13 per foot, mef.",,,
250,401,Bob Peck Chevy/Staples/JBG/AHC/ Va. Tech,Approved,false,0,0,0,0,0,0,0,2008-02-23T00:00:00.000Z,0,0,"See 401-1-B,  401-2-A,  401-3-TH, 401-JMT, mef.  Predominately office with some residential, mef.",,,,
254,401-2-A,Bob Peck Chevy/Staples/JBG-Office & AHC Apt.,Approved,false,0,0,282989,624,90000,90,26292,2008-02-23T00:00:00.000Z,10,0,"See new site plans 401-AHC & 401-JBG.  14-053-059 never valued.  Created and died in same year.  4229/338 splits the office and apt.  Part of site plan 401, Lot 2, building A, JBG office 10 stories,and AHC ""midrise"" 4 stories apt., mef.","Residential GFA approximate.  Planning calls a 4 story apt.   ""midrise"" but we may call it garden.  89 spaces apartment.  535 commercial spaces from parking ratios, may be off slightly.",,,
258,346D west,"Parcel 9A, Land Bay D west Final Site Plan",Approved,false,0,0,0,438,398435,331,15868,2007-04-21T00:00:00.000Z,12,0,,"parking 374 residential, 64 retail.",,,
262,403,The Tellus (ExecutiveBuilding Site),Approved,false,0,0,10674,270,0,254,4354,2009-04-25T00:00:00.000Z,0,0,"from the minutes: 8,127 square feet office, 2,547 square feet office/retail, and modifications to include density, exclusion from Gross Floor Area (GFA) calculations for non-parking areas in the parking garage, an exclusion outside the parking garage of common vertical and transverse HVAC shafts located throughout the building.",,,,
266,413NO,Founders Square North Office,Approved,true,419830,0,191300,480,0,244,33400,2008-07-19T00:00:00.000Z,20,0,"1/04/2019 - APT improvement = $12,894,600 and Commercial improvement = $21,811,500  12/19/18 - •Change in Use of 419,830 sf office GFA and 7,670 sf retail GFA to 191,300 sf office GFA, 33,400 sf retail GFA and 244 residential units. Project is estimated to 50% complete, EB.","Amendment Jan. 22, 2011; Item 25",,,
270,U-3173-07,U-3173-07-1 USE PERMIT,Approved,false,0,0,0,0,0,2,0,2008-01-26T00:00:00.000Z,0,0,"Approved with site plan 406.  D. U-3173-07-1 USE PERMIT to construct two (2) dwelling units; 705, 707.  2 Single family houses.    North Barton Street (RPC #18-038-002).  18-038-002 moved from GenCom to Residential, mef.",,,,
274,405 TH,Site Plan 405 Townhouses.,Approved,false,0,0,0,0,0,0,0,2007-06-09T00:00:00.000Z,0,68,"Site plan 405, 68 townhouses, 01/2010 old garden apartments still there, MEF.",,,,
278,FBC,Axumite Village,Approved,false,0,0,0,0,0,36,0,2009-07-11T00:00:00.000Z,0,0,,,,,
282,BR  001,"By-right, Gables 12 Twenty-One",Approved,false,0,0,0,0,0,132,0,1901-01-01T00:00:00.000Z,0,0,"90 units on 17-033-012 & 013, 42 units on 17-038-007, completed     06-11-2009.  No action date, by-right.  There is no way to correctly break up the 90 units between 17-033-012 & 013, mef   .",,,,
286,FBC 3199 P,"PRIVATE- FBC 3199FBC, Arl. Mill Comm. Center",Approved,true,0,0,0,138,131100,122,0,2011-02-12T00:00:00.000Z,4,0,"Approved 02/12/2011, item 28.  99% affordable, 1 unit for support staff.  8 efficiencies, 16 1BR, 73 2BR, 25 3BR.  16 of the 138 spaces are shared spaces.  As of 11/21/2011 land lease hasn't been recorded that will put 22-001-724 in the developers name.  Still owned by Arlington County.  MEF.",,,,
290,FBC 3223,"Columbia PL., Use Permit U-3223-09-01",Approved,false,0,0,0,38,42005,14,2960,2009-07-11T00:00:00.000Z,5,8,"Columbia Place, 22 total residential units.  8 townhouses at 3.5 stories.   5 story, 14 unit, mid-rise condo/apartment with first floor retail, total GFA 44,965, 30 reserved resid. spaces, 4 shared resid. spaces, 4 shared commercial spaces.",,,,
294,406,Lee Gardens Shopping Center,Approved,false,33495,0,0,396,215943,188,0,2008-01-26T00:00:00.000Z,5,0,"Use permit U-3173-07-01 approved in same documents, but the 2 single family houses are not in the below numbers.  Commercial GFA 33,495, retail/office breakdown unknown.    Low-Medium Residential,WHS(3/07): will have GLUP & rezoning changes.    KAM Updated 1/28/2008  Also included 2151 Arlington Blvd    KAM Updated 2/25/2008  Changed SP Team Leader to Richard Dooley from Lorrie P.    Arlington Pershing LLC, construct approximately 190 dwelling unit",C-O/C-O-1.5  height: 35 ft---------------------------------------------------------------,,,
300,413 S,413 sending transfer dev. rights,Approved,true,0,0,0,0,0,0,0,2011-01-22T00:00:00.000Z,0,0,"112,212 sq. ft commercial GFA and 11 units (residential or hotel).  4,020 unused commercial GFA.  Density received by the 5 Founders Square sites, MEF.",,,,
304,418-S,418 Sending,Approved,true,,,,,,,,2012-01-24T00:00:00.000Z,,,"Approved 01/24/2012, item 41.","Two site plans for 418, sending and receiving. Walgreens/Kenyon Peck sent 69,464 sf, Boulevard Woodgrill/Faccia Luna sent 74,747 sf.",,,
308,421,1900 Crystal Drive,Approved,true,730994,,719704,732,,,11290,2012-09-15T00:00:00.000Z,24,,"Item #40. Removed 3.07 acres from SP #56. 1.70 acre portion of site rezoned to ""C-O-Crystal City"". Remaining 1.37 acre portion will stay zoned 'C-O' and be an interim park.","719704 sq ft office, 11,290 sq ft ground level retail. Site is only part of RPC 34-026-037.",,,
312,424,1720 S. Eads,Approved,true,,,,176,208899,198,,2013-02-23T00:00:00.000Z,11,,"Approved by Board on February 23, 2013, Item #19, 1720 South Eads Street. Plan is for 11-story, 198-unit, multifamily residential building. Proposed 6.12 FAR. Fitness center on ground level. At least 16 total ADUs (2 one-br, 14 two-br).","Site of old Eads Post Office. Site is 34,147 square feet (.784 acres).",,,
316,1,,,false,,,,,,,,2013-12-01T00:00:00.000Z,,,,,,,
320,105-1B/2B,Fashion Centre at Pentagon City,Approved,true,,366,172000,,,,1080200,2013-11-16T00:00:00.000Z,,,"Approved 11/16/2013 Board meeting, item #1. Parcel 1B/2B of Pentagon City Phased Development Site Plan.","Ritz-Carlton originally approved for 450 hotel units, only 366 built. Excess units converted to retail square footage of 60,900 sf. Approved square footage will be used to construct 50,965 sf retail expansion to Fashion Centre at Pentagon City.",,,
324,404,2401 Wilson Boulevard,Approved,false,,161,,80,,4,1280,2014-03-15T00:00:00.000Z,8,,"Approved by Board of Supervisors, March 15, 2014, Item #25. 2401 and 2407  Wilson Blvd. 8-story, 161-room hotel (93,115 sf) with ground level retail (1,280 sf) and 2 levels of underground parking.",Site Plan includes Unified Residential Development of 4 single-family dwellings fronting on N. 16th Street.,,,
152,389,2000 Wilson or 2001 Clarendon,Approved,true,0,0,0,220,140265,154,32840,2007-02-26T00:00:00.000Z,7,0,"with EU 17035, new apt. or condo on old Taco Bell/Dr. Dremo-Bardo Rodeo site, mef.","Site plan amendment 12/15/2009, mef.  176 standard spaces and 44 tandem spaces.",,,
156,412,JBG/Rosslyn Commons,Approved,true,0,0,0,464,508460,203,12635,2008-06-17T00:00:00.000Z,13,25,"County Board approved a GFA amount, not a unit count.  See latest 1/4 dev. report for unit count.","Building 1, GFA resid. 264,846, GFA retail 12,635 stories 13.  Building 2, GFA resid. 185,579, stories 12.   Townhouse GFA 58,035, stories 4.  162 bicycle parking spaces.  25 townhouses and 203 residential units per Q2 2013 report. AK",,,
160,106-6,"Shirlington Village Condominiums, Villages at S",Approved,true,0,0,0,0,393,0,43018,2002-10-19T00:00:00.000Z,0,0,,"Bld 1 Shirlington Village Condo RPC 29 014 015, 159 units   Bld 2 Villages at Shirlington  RPC 29 014 016. 187 units - 22,920 GFA Retail.       Bld 3  RPC 24 014 017 45 units, 5,133 retail GFA.  Bld 4 RPC 24 014 018  9 units 2,439 retail GFA.",,,
164,94,Rosslyn Metro Center Building 2,Withdrawn,false,0,0,254536,0,0,0,12368,1998-01-17T00:00:00.000Z,0,0,"Site plan expired 03/31/2008.  See County Board meeting 02/24/2007, item 1, mef.","This site plan was approved Jan 1998. This ammendment is for an extention of building one which is 447,142 GFA office/retail. Building two is 254,536,office and 12,368 retail. RPC 16-038-004 is a park across Monroe St. from the project. Building one is Rpc 16-037-001.",,,
168,340,Bromptons at Monument Place,Approved,false,0,0,0,0,0,0,0,2000-03-11T00:00:00.000Z,0,15,Townhouses,,,,
172,177,Arlington Hospital,Approved,true,390047,0,0,1206,0,0,0,2000-07-01T00:00:00.000Z,9,0,"New hospital & medical offices, parking",,,,
176,241,Potomac Towers,Approved,true,253000,0,0,0,0,0,0,2000-07-22T00:00:00.000Z,0,0,"""As-built"": Existing office building, reallocation of density",,,,
180,344,1200 N Herndon/Hudson,Approved,false,0,0,0,334,314733,248,4100,2000-11-18T00:00:00.000Z,11,49,Multifamily,"High Rise section 248 units 11 sty,construction to be completed spring 05. TH is 45 units 5 stories. Parking = 187 standard spaces, 128 compact spaces, 7 HC spaces. Unit mix and count may change within GFA permitted.",,,
184,347,Bromptons at Lyon Village,Denied,false,6500,0,0,0,0,0,0,2001-04-24T00:00:00.000Z,0,14,Townhouses,vacate pt N Pershing Dr,2475,Z-2475-00-1,Denied
188,339a,Market Common Phase 2,Approved,true,0,0,0,149,80560,76,37878,2001-12-08T00:00:00.000Z,0,0,Mixed use residential & retail,"76 Residential Units: 12 Eff, 29 1BR, 10 1BR+DEN, 18 2BR, 7 2BR+DEN  for RPC 18011001,18011006,18011007",,,
192,357,Writ Rosslyn Center,Approved,false,0,0,0,0,0,224,5500,2002-07-27T00:00:00.000Z,15,0,High O-A-H/Medium O-A-H/High Residential,"ALSO SP# 227 AND 83.  THIS SITE IS DESIGNATED AS A SPECIAL AFFORDABLE HOUSING DISTRICT (SAHPD).  2 BUILDINGS WILL BE DEMOLISHED.  14 AFFORDABLE UNITS WITH 23 BEDROOMS (5 1-BR; 9-2BR).  3,800 S.F. OF INDOOR ATRIUM (PUBLIC) SPACE.  Site plan amendment 7/20/02 adds 87 units and 5,500 s.f. retail.",,,
196,307b,Boundary Channel: Office Bldg. 1,Approved,true,0,0,173166,353,0,0,500,1994-12-09T00:00:00.000Z,7,0,SITE PLAN EXPIRED 06/16/2009 ITEM 4.  High-Medium Residential,Site Area: 308697 s.f.,,,
200,376,Alcova Row,Approved,false,0,0,0,59,71109,0,0,2003-05-17T00:00:00.000Z,0,22,"Zoning ""R15-30T""",Residential Density: 13.49DU/acre.  Parking Ratio: 2.68/DU,2500,Z-2500-03-1,Approved
204,377,Joule,Approved,false,0,0,0,0,0,87,2810,2003-12-06T00:00:00.000Z,8,0,"Zoning ""Z-2505-03-01""",Applicant -Ed Peete Company  became 14034013,,,
208,350,Odyssey,Approved,false,0,0,1500,347,338138,306,6800,2001-11-20T00:00:00.000Z,17,0,17 story residential building,,2477,Z-2477-01-1,Approved
212,013,Lofts 590/Crystal Towers,Approved,true,0,0,1200,919,215456,215,9989,2002-04-20T00:00:00.000Z,4,0,Residentail Building,"Site Area: 486,478 s.f.  Construction start date anticipated end of 2002.  Includes 12 affordable units.units are in addition to Crystal Towers 1 and 2.",,,
216,231a,Court House Square Office,Approved,true,0,0,257000,888,0,0,23000,1997-09-09T00:00:00.000Z,18,0,,"Area: 89,556 s.f.",,,
220,307c,Boundary Channel: Office Bldg. 2,Approved,true,0,0,170066,350,0,0,1700,1994-12-09T00:00:00.000Z,7,0,SITE PLAN EXPIRED 06/16/2009 ITEM 4.  High-Medium Residential,,,,
224,375,The Westlee,Approved,true,0,0,0,240,0,128,8248,2003-06-14T00:00:00.000Z,5,18,"Located at 2008 & 2200 N. Westmoreland and 6900 & 6910 Lee HWY from C-M, M-1, C-0-1.0 to C-0-1.5. permits by site plan addition of 128 multi family units to previously approved 18 TH's","was 40 TH's. Site Plan 375. 128 residential units, 18 TH units, 8248 gfa retail. Parking: TH 40 spaces + 10 (20 net) tandem spaces, Multi Family 166 spaces, Retail 24 spaces. Total land area 118,602; 100, 841 in Arlington, 17,761sf in City of Falls Church.",2506,Z-2506-03-01,Approved
228,108,Amelia Residential,Approved,false,0,0,0,147,113927,108,4158,2004-06-12T00:00:00.000Z,0,0,,,2517,Z-2517-05-1,Approved
232,105d,Ice Rink pt of Pentagon City PDSP,Approved,false,0,0,0,0,0,0,0,2004-02-07T00:00:00.000Z,0,0,PLA 3515,,,,
236,392,Faison,Approved,false,0,0,0,213,206004,155,18299,2005-12-13T00:00:00.000Z,10,0,,"Approved 12/13/05, #44, MEF",,,
240,105-23,The Millenium,Approved,true,0,0,0,368,342999,300,8119,2006-03-14T00:00:00.000Z,18,0,"Site Plan 105, Phase 2 of parcel 3.  Apartment Building, The Millenium, AKA Two Metropolitan Park.","Approved 03/14/2006 item 24.  Total GFA 351,118.  18 stories plus  penthouse level.  Second phase of parcel 3.  Condo Declaration at 4344/0103.  Condo is The Millenium Phase 2.  As of 04/2010, no sale of individual condo units.  Value as apartment building.  Website markets building as apartment building, mef.",,,
244,335A,Central Place Rosslyn,Approved,true,0,0,570549,821,409061,350,44554,2007-05-05T00:00:00.000Z,31,0,"SEE THE NEW SEPARATE 335A SITE PLANS.  Mixed Use, Office 31 stories, Apartment/Condo 30 floors.  Office spaces 487, retail 45, residential 289 spaces.  Total parking 821.  Total GFA 1,024,164.  Density from 16-039-005 & 018, but no new building on those RPCs.  With rezoning 2486.  16038002 tax exempt WMATA parcel with 25% weight, 75% on other parcels.",,,,
248,397S,,Approved,false,0,0,83579,464,238901,244,38333,2006-06-13T00:00:00.000Z,12,0,NUMBERS DO NOT MATCH QUARTERLY DEVELOPMENT REPORT.   Existing building in site plan is remaining.  Dev. report numbers include new BF Saul bldg. and existing Clarendon Grill bldg.,"Site Plan amendment 11/16/2010 item 36.  Parking from 471 to 464. 7 spaces lost for Trader Joe's elevators and shopping carts.   NUMBERS DO NOT MATCH QUARTERLY DEVELOPMENT REPORT.  The numbers above represent site plan 397 South, less the Old Dominion (Leadership Inst. & Clarendon Grill) square footage of 39,480 square feet. Old Dominion, EU 18010, is valued with a separate Office assessment. If you value 18-013-011 with the numbers from the quarterly development report, you will double count the Old Dominion 39,480 square footage. Parking Garage 4 stories with 471 spaces. 9 story office building, 12 story apartment with ground floor retail, mef.",,,
252,401-JMT,Bob Peck /Staples/AHC-Jordan Manor Townhouses,Approved,false,0,0,0,0,0,0,0,2008-02-23T00:00:00.000Z,0,19,"Part of site plan 401, 19 new fee simple AHC townhouses on the land of the Jordan Manor Apartments and Duplex, mef.",,,,
149,369,Rosslyn Ridge,Approved,false,0,0,0,238,269489,238,0,2004-07-10T00:00:00.000Z,0,0,1531 N. Pierce St.,"UNITS: 231 HRise, 92 are afforadable & 7 TH, 3 affordable. Parking: standard 187, compact 27, Tandem 24.  ---------------------------------------------------------------------------------------------------------------------------------09/18/2007, remove 17-003-002 and 17-003-301, which are dead for 01/01/2008, and replace them with the new RPC 17-003-583.  Remove 17-003-001 from site plan, which was never supposed to be part of SP 369 to begin with.  Planning typo on 07/10/2004, item 50.  17-003-001 was supposed to be 17-003-301, mef.",,,
153,346e,Camden Potomac Yard,Approved,true,0,0,0,509,391714,386,4120,2003-12-09T00:00:00.000Z,0,0,"Land  Bay E part of Potomac Yard Site plan 346. RPC's 34-027-030,031","located in center of development. An ammendment for E-west of 363,445 gfa office and 5,880 sf retail was filed 8/05.",,,
157,346d,Potomac Yard Land Bay D,Approved,false,525000,0,515000,0,250000,0,10000,2000-10-21T00:00:00.000Z,0,0,Office and Residential,"Potomac Yard total residential unit range is 800-1200. 1,000,000 resd gfa limit. Land Bay D range based on 250,000  = 160 to 200 units. Office rpc 044, residential 043.",,,
161,106-3,IO Piazza,Approved,true,0,0,0,0,0,245,0,2003-10-18T00:00:00.000Z,13,0,,"Was hotel site plan. Rpc 29-003-006 became 007, 008. 007 is Apartment.",,,
165,193,Ballston Common,Approved,true,0,0,19986,192,0,0,0,2002-02-09T00:00:00.000Z,2,0,Office building   Arlington Ice Skating Center,Other: 122000 s.f.,,,
169,341,Twin Oak Apartments,Took No Action,true,324230,0,0,363,0,317,4000,2000-05-24T00:00:00.000Z,17,0,Hi-rise residential,vacate public easement (alley),,,
173,326,Bromptons at Clarendon,Took No Action,true,0,0,0,0,0,0,0,2000-12-09T00:00:00.000Z,0,9,Additional Townhouses,vacate pt N Jackson St,2464,Z-2464-00-1,Took No Action
177,343,3000 Washington Blvd,Approved,false,0,0,0,321,0,249,14087,2000-07-22T00:00:00.000Z,11,0,Hi-rise residential,"RESUB in 2001: Old RPCs 18027001, -002, -003, -004, -007, -008, -009, -010",2469,Z-2469-00-1,Approved
181,019,Turnberry Tower,Approved,true,0,0,0,388,567000,337,4400,2001-06-09T00:00:00.000Z,27,0,Multifamily,"1850 Fort Myer Dr . ammended from 176 units, parking includes up to 126 tandem spaces. total spaces 514. Units will be sold with an option to combine units the total number of units will not exceed 337.",2473,Z-2473-01-1,Approved
185,351,Navy League,Approved,false,49273,0,196478,368,0,0,16469,2001-07-28T00:00:00.000Z,7,0,Office building,"Sale of adjacent County property & vacation of public alley included in comprehensive site plan.  Net Offfice/Retail GFA: 187,237.4 s.f. Office Parking Spaces: 368 spaces includes 25 tandem spaces.",2478,Z-2478-01-1,Approved
189,358,Quincy Plaza Residential,Approved,false,0,0,0,634,513556,499,9602,2002-04-30T00:00:00.000Z,21,0,"Multiple-Family Dwelling and Hotel District, a site plan for a residential building","Project Area: 87,193 s.f. Affordable units: 25 units Affordable Bedrooms: 49 bedrooms Total residential parking: 614 spaces Total retail/visitor parking: 20 spaces",,,
193,395,3565 Lee Hwy.,Approved,false,9777,0,1232,127,69260,49,8545,2005-11-16T00:00:00.000Z,0,0,,"Approved 11/16/05 item 47, mef    09/21/2013 meeting, item #7. Amendment to SP #395, 4,485 sf of retail to be used for medical (dental) office use.",,,
197,106a,Shirlington Library and Theatre,Approved,true,0,0,0,57,0,0,0,2002-06-08T00:00:00.000Z,3,0,LOW O-A-H,"Other: 54,396 s.f.  Site Area: 41,808 s.f.",,,
201,367,Jade Bell Condominiums By Jade Realty,Approved,false,0,0,0,42,22706,18,0,2003-03-18T00:00:00.000Z,0,0,"Zoning: from ""R-6"" to ""RA8-18""",Residential Density: 34 units per acre.  Visitor Parking: 5 spaces.,2492,Z-2492-02-1,Approved
205,374,Trammel Crow Residential,Denied,false,0,0,0,0,0,140,0,2003-12-06T00:00:00.000Z,0,0,"""Z-2498-03-1"" for 3901 North Fairfax Dr also denied.","140 dwelling units,community facility,public plaza retention of existing commercial use and exclusion of below grade space in existing funeral home from GFA.",,,
209,352,Edgemoore,Approved,true,0,0,1633,80,99460,83,4476,2001-09-08T00:00:00.000Z,0,0,Residential building,"Area: 32,079 s.f.  Development name: The Berkeley At Ballston",2479,Z-2479-01-1,Approved
