Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
10/14/2011,Office of the Mayor,,72,0,0.0,0.00
10/14/2011,Police,,13928,771,5.5,268656.00
10/14/2011,Procurement Services,,59,0,0.0,0.00
10/14/2011,Public Health,,835,42,5.0,14839.00
10/14/2011,Revenue ,,405,16,4.0,30379.00
10/14/2011,Streets & Sanitation,,2131,202,9.5,84266.00
10/14/2011,Transportation,,1128,75,6.6,22355.00
10/14/2011,Water Management,,1778,117,6.6,42233.00
10/21/2011,Administrative Hearings,,39,0,0.0,0.00
10/21/2011,Animal Care & Control,,68,2,2.9,2337.00
10/21/2011,Aviation,,1265,44,3.5,15162.00
10/21/2011,Board of Elections,,112,0,0.0,0.00
10/21/2011,Board of Ethics,,6,0,0.0,0.00
10/21/2011,Budget & Management,,50,0,0.0,0.00
10/21/2011,Buildings,,283,3,1.1,618.00
10/21/2011,Business Affairs & Consumer Protection,,183,4,2.2,2569.00
10/21/2011,Chicago Board of Education,,48796,2626,5.4,899139.00
10/21/2011,Chicago Housing Authority,,467,20,4.3,6133.00
10/21/2011,Chicago Park District,,6420,367,5.7,209971.00
10/21/2011,Chicago Public Library,,1031,28,2.7,5765.00
10/21/2011,Chicago Transit Authority,,10279,1876,18.3,617865.00
10/21/2011,City Clerk,,98,2,2.0,535.00
10/21/2011,City Colleges of Chicago,,1867,32,1.7,11423.00
10/21/2011,City Council,,425,26,6.1,11126.00
10/21/2011,City Treasurer,,22,0,0.0,0.00
10/21/2011,Compliance,,23,0,0.0,0.00
10/21/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
10/21/2011,Emergency Management & Communications,,1317,75,5.7,25135.00
10/21/2011,Environment,,57,2,3.5,269.00
10/21/2011,Family & Support Services,,866,22,2.5,8874.00
10/21/2011,Finance,,175,1,0.6,2053.00
10/21/2011,Fire,,4952,159,3.2,91246.00
10/21/2011,Fleet Management,,593,19,3.2,8198.00
10/21/2011,General Services,,490,26,5.3,9057.00
10/21/2011,Housing & Economic Development,,295,2,0.7,507.00
10/21/2011,Human Relations,,28,0,0.0,0.00
10/21/2011,Human Resources,,63,0,0.0,0.00
10/21/2011,Independent Police Review Authority,,83,5,6.0,2156.00
10/21/2011,Innovation & Technology,,90,0,0.0,0.00
10/21/2011,Law,,426,0,0.0,0.00
10/21/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
10/21/2011,Office of the Mayor,,72,0,0.0,0.00
10/21/2011,Police,,13928,654,4.7,232813.00
10/21/2011,Procurement Services,,59,0,0.0,0.00
10/21/2011,Public Health,,835,31,3.7,9686.00
10/21/2011,Revenue ,,405,10,2.5,28995.00
10/21/2011,Streets & Sanitation,,2131,181,8.5,72684.00
10/21/2011,Transportation,,1128,61,5.4,17230.00
10/21/2011,Water Management,,1778,105,5.9,34756.00
10/28/2011,Administrative Hearings,,39,0,0.0,0.00
10/28/2011,Animal Care & Control,,68,1,1.5,2191.00
10/28/2011,Aviation,,1265,34,2.7,13097.00
10/28/2011,Board of Elections,,112,0,0.0,0.00
10/28/2011,Board of Ethics,,6,0,0.0,0.00
10/28/2011,Budget & Management,,50,0,0.0,0.00
10/28/2011,Buildings,,283,3,1.1,618.00
10/28/2011,Business Affairs & Consumer Protection,,183,3,1.6,490.00
10/28/2011,Chicago Board of Education,,48796,2468,5.0,854727.00
10/28/2011,Chicago Housing Authority,,467,20,4.3,6135.00
10/28/2011,Chicago Park District,,6420,326,5.1,197926.00
10/28/2011,Chicago Public Library,,1031,19,1.8,3985.00
10/28/2011,Chicago Transit Authority,,10279,1757,17.1,580195.00
10/28/2011,City Clerk,,98,2,2.0,535.00
10/28/2011,City Colleges of Chicago,,1867,22,1.2,9069.00
10/28/2011,City Council,,425,24,5.6,10445.00
10/28/2011,City Treasurer,,22,0,0.0,0.00
10/28/2011,Compliance,,23,0,0.0,0.00
10/28/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
10/28/2011,Emergency Management & Communications,,1317,63,4.8,20626.00
10/28/2011,Environment,,57,2,3.5,269.00
10/28/2011,Family & Support Services,,866,19,2.2,7914.00
10/28/2011,Finance,,175,1,0.6,2053.00
10/28/2011,Fire,,4952,140,2.8,85558.00
10/28/2011,Fleet Management,,593,14,2.4,6563.00
10/28/2011,General Services,,490,24,5.2,8557.00
10/28/2011,Housing & Economic Development,,295,2,0.7,385.00
10/28/2011,Human Relations,,28,0,0.0,0.00
10/28/2011,Human Resources,,63,0,0.0,0.00
10/28/2011,Independent Police Review Authority,,83,4,4.8,1796.00
10/28/2011,Innovation & Technology,,90,0,0.0,0.00
10/28/2011,Law,,426,0,0.0,0.00
10/28/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
10/28/2011,Office of the Mayor,,72,0,0.0,0.00
10/28/2011,Police,,13928,586,4.2,211858.00
10/28/2011,Procurement Services,,59,0,0.0,0.00
10/28/2011,Public Health,,835,19,2.3,5565.00
10/28/2011,Revenue ,,405,4,1.0,535.00
10/28/2011,Streets & Sanitation,,2131,150,7.0,62445.00
10/28/2011,Transportation,,1128,48,4.3,12196.00
10/28/2011,Water Management,,1778,78,4.4,26864.00
11/04/2011,Administrative Hearings,,39,0,0.0,0.00
11/04/2011,Animal Care & Control,,68,1,1.5,2191.00
11/04/2011,Aviation,,1265,29,2.3,11864.00
11/04/2011,Board of Elections,,112,0,0.0,0.00
11/04/2011,Board of Ethics,,6,0,0.0,0.00
11/04/2011,Budget & Management,,50,0,0.0,0.00
11/04/2011,Buildings,,283,2,0.7,359.00
11/04/2011,Business Affairs & Consumer Protection,,183,1,0.5,240.00
11/04/2011,Chicago Board of Education,,49778,2370,4.8,822409.00
11/04/2011,Chicago Housing Authority,,467,14,3.0,4930.00
11/04/2011,Chicago Park District,,6420,313,4.9,194331.00
11/04/2011,Chicago Public Library,,1031,12,1.2,3046.00
11/04/2011,Chicago Transit Authority,,10279,1611,15.7,531222.00
11/04/2011,City Clerk,,98,0,0.0,0.00
11/04/2011,City Colleges of Chicago,,1867,20,1.1,8594.00
11/04/2011,City Council,,425,20,4.7,8945.00
11/04/2011,City Treasurer,,22,0,0.0,0.00
11/04/2011,Compliance,,23,0,0.0,0.00
11/04/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
11/04/2011,Emergency Management & Communications,,1317,40,3.0,15392.00
11/04/2011,Environment,,57,1,1.8,33.00
11/04/2011,Family & Support Services,,866,11,1.3,4837.00
11/04/2011,Finance,,175,0,0.0,0.00
11/04/2011,Fire,,4952,109,2.2,43180.00
11/04/2011,Fleet Management,,593,11,1.9,6123.00
11/04/2011,General Services,,490,17,3.5,6193.00
11/04/2011,Housing & Economic Development,,295,0,0.0,0.00
11/04/2011,Human Relations,,28,0,0.0,0.00
11/04/2011,Human Resources,,63,0,0.0,0.00
11/04/2011,Independent Police Review Authority,,83,1,1.2,903.00
11/04/2011,Innovation & Technology,,90,0,0.0,0.00
11/04/2011,Law,,426,0,0.0,0.00
11/04/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
11/04/2011,Office of the Mayor,,72,0,0.0,0.00
11/04/2011,Police,,13928,528,3.8,193906.00
11/04/2011,Procurement Services,,59,0,0.0,0.00
11/04/2011,Public Health,,835,16,1.9,4945.00
11/04/2011,Revenue ,,405,0,0.0,0.00
11/04/2011,Streets & Sanitation,,2131,141,6.6,54357.00
11/04/2011,Transportation,,1128,43,3.8,11017.00
11/04/2011,Water Management,,1778,59,3.3,21574.00
11/11/2011,Administrative Hearings,,39,0,0.0,0.00
11/11/2011,Animal Care & Control,,68,1,1.5,2191.00
11/11/2011,Aviation,,1265,18,1.4,7658.00
11/11/2011,Board of Elections,,112,0,0.0,0.00
11/11/2011,Board of Ethics,,6,0,0.0,0.00
11/11/2011,Budget & Management,,50,0,0.0,0.00
11/11/2011,Buildings,,283,2,0.7,303.00
11/11/2011,Business Affairs & Consumer Protection,,183,1,0.5,240.00
11/11/2011,Chicago Board of Education,,49778,2298,4.6,784120.00
11/11/2011,Chicago Housing Authority,,467,14,3.0,4740.00
11/11/2011,Chicago Park District,,6420,305,4.8,188350.00
11/11/2011,Chicago Public Library,,1031,1,0.1,250.00
11/11/2011,Chicago Transit Authority,,10279,1569,15.3,517269.00
11/11/2011,City Clerk,,98,0,0.0,0.00
11/11/2011,City Colleges of Chicago,,1867,18,1.0,8196.00
11/11/2011,City Council,,425,17,4.0,8400.00
11/11/2011,City Treasurer,,22,0,0.0,0.00
11/11/2011,Compliance,,23,0,0.0,0.00
11/11/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
11/11/2011,Emergency Management & Communications,,1317,23,1.7,10887.00
11/11/2011,Environment,,57,0,0.0,0.00
11/11/2011,Family & Support Services,,866,4,0.5,2664.00
11/11/2011,Finance,,175,0,0.0,0.00
11/11/2011,Fire,,4952,85,1.7,37303.00
11/11/2011,Fleet Management,,593,4,0.7,2663.00
11/11/2011,General Services,,490,9,1.7,3605.00
11/11/2011,Housing & Economic Development,,295,0,0.0,0.00
11/11/2011,Human Relations,,28,0,0.0,0.00
11/11/2011,Human Resources,,63,0,0.0,0.00
11/11/2011,Independent Police Review Authority,,83,1,1.2,403.00
11/11/2011,Innovation & Technology,,90,0,0.0,0.00
11/11/2011,Law,,426,0,0.0,0.00
11/11/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
11/11/2011,Office of the Mayor,,72,0,0.0,0.00
11/11/2011,Police,,13928,471,3.4,176008.00
11/11/2011,Procurement Services,,59,0,0.0,0.00
11/11/2011,Public Health,,835,10,1.2,3450.00
11/11/2011,Revenue ,,405,0,0.0,0.00
11/11/2011,Streets & Sanitation,,2131,89,4.2,36993.00
11/11/2011,Transportation,,1128,22,2.0,4726.00
11/11/2011,Water Management,,1778,24,1.3,9823.00
11/18/2011,Administrative Hearings,,39,0,0.0,0.00
11/18/2011,Animal Care & Control,,65,1,1.5,2191.00
11/18/2011,Aviation,,1446,13,0.9,7321.00
11/18/2011,Board of Elections,,112,0,0.0,0.00
11/18/2011,Board of Ethics,,6,0,0.0,0.00
11/18/2011,Budget & Management,,50,0,0.0,0.00
11/18/2011,Buildings,,281,1,0.4,293.00
11/18/2011,Business Affairs & Consumer Protection,,182,1,0.5,240.00
11/18/2011,Chicago Board of Education,,49778,2245,4.5,770435.00
11/18/2011,Chicago Housing Authority,,467,13,2.8,4642.00
11/18/2011,Chicago Park District,,6420,301,4.7,186705.00
11/18/2011,Chicago Public Library,,1031,1,0.1,250.00
11/18/2011,Chicago Transit Authority,,10279,1539,15.0,504495.00
11/18/2011,City Clerk,,98,0,0.0,0.00
11/18/2011,City Colleges of Chicago,,1867,18,1.0,8197.00
11/18/2011,City Council,,377,17,4.5,8400.00
11/18/2011,City Treasurer,,22,0,0.0,0.00
11/18/2011,Compliance,,23,0,0.0,0.00
11/18/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
11/18/2011,Emergency Management & Communications,,1457,18,1.2,9810.00
11/18/2011,Environment,,57,0,0.0,0.00
11/18/2011,Family & Support Services,,833,1,0.1,610.00
11/18/2011,Finance,,175,0,0.0,0.00
11/18/2011,Fire,,4940,79,1.6,35847.00
11/18/2011,Fleet Management,,590,4,0.7,2663.00
11/18/2011,General Services,,461,6,1.3,2905.00
11/18/2011,Housing & Economic Development,,295,0,0.0,0.00
11/18/2011,Human Relations,,28,0,0.0,0.00
11/18/2011,Human Resources,,63,0,0.0,0.00
11/18/2011,Independent Police Review Authority,,85,1,1.2,403.00
11/18/2011,Innovation & Technology,,90,0,0.0,0.00
11/18/2011,Law,,426,0,0.0,0.00
11/18/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
11/18/2011,Office of the Mayor,,72,0,0.0,0.00
11/18/2011,Police,,13952,427,3.1,161147.00
11/18/2011,Procurement Services,,59,0,0.0,0.00
11/18/2011,Public Health,,832,5,0.6,2009.00
11/18/2011,Revenue ,,405,0,0.0,0.00
11/18/2011,Streets & Sanitation,,2110,64,3.0,25839.00
11/18/2011,Transportation,,1195,10,0.8,2133.00
11/18/2011,Water Management,,1778,16,0.9,4602.00
11/25/2011,Administrative Hearings,,39,0,0.0,0.00
11/25/2011,Animal Care & Control,,65,1,1.5,2191.00
11/25/2011,Aviation,,1446,8,0.6,4083.00
11/25/2011,Board of Elections,,112,0,0.0,0.00
11/25/2011,Board of Ethics,,6,0,0.0,0.00
11/25/2011,Budget & Management,,50,0,0.0,0.00
11/25/2011,Buildings,,281,0,0.0,0.00
11/25/2011,Business Affairs & Consumer Protection,,182,1,0.5,240.00
11/25/2011,Chicago Board of Education,,49778,2215,4.4,761618.00
11/25/2011,Chicago Housing Authority,,467,13,2.8,4644.00
11/25/2011,Chicago Park District,,6420,298,4.6,183264.00
11/25/2011,Chicago Public Library,,1033,1,0.1,250.00
11/25/2011,Chicago Transit Authority,,10279,1524,14.8,496865.00
11/25/2011,City Clerk,,98,0,0.0,0.00
11/25/2011,City Colleges of Chicago,,1867,18,1.0,7843.00
11/25/2011,City Council,,377,17,4.5,8400.00
11/25/2011,City Treasurer,,22,0,0.0,0.00
11/25/2011,Compliance,,23,0,0.0,0.00
11/25/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
11/25/2011,Emergency Management & Communications,,1457,15,1.0,7710.00
11/25/2011,Environment,,57,0,0.0,0.00
11/25/2011,Family & Support Services,,833,1,0.1,610.00
11/25/2011,Finance,,175,0,0.0,0.00
11/25/2011,Fire,,4940,73,1.5,34347.00
11/25/2011,Fleet Management,,590,1,0.2,218.00
11/25/2011,General Services,,461,6,1.3,2905.00
11/25/2011,Housing & Economic Development,,295,0,0.0,0.00
11/25/2011,Human Relations,,28,0,0.0,0.00
11/25/2011,Human Resources,,63,0,0.0,0.00
11/25/2011,Independent Police Review Authority,,85,1,1.2,403.00
11/25/2011,Innovation & Technology,,90,0,0.0,0.00
11/25/2011,Law,,426,0,0.0,0.00
11/25/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
11/25/2011,Office of the Mayor,,72,0,0.0,0.00
11/25/2011,Police,,13952,412,3.0,157393.00
11/25/2011,Procurement Services,,59,0,0.0,0.00
11/25/2011,Public Health,,832,4,0.5,1909.00
11/25/2011,Revenue ,,405,0,0.0,0.00
11/25/2011,Streets & Sanitation,,2110,51,2.4,22387.00
11/25/2011,Transportation,,1195,8,0.7,1702.00
11/25/2011,Water Management,,1778,11,0.6,3337.00
12/02/2011,Administrative Hearings,,39,0,0.0,0.00
12/02/2011,Animal Care & Control,,65,1,1.5,2191.00
12/02/2011,Aviation,,1446,8,0.6,4083.00
12/02/2011,Board of Elections,,112,0,0.0,0.00
12/02/2011,Board of Ethics,,6,0,0.0,0.00
12/02/2011,Budget & Management,,50,0,0.0,0.00
12/02/2011,Buildings,,281,0,0.0,0.00
12/02/2011,Business Affairs & Consumer Protection,,182,1,0.5,240.00
12/02/2011,Chicago Board of Education,,49778,2190,4.4,762696.00
12/02/2011,Chicago Housing Authority,,467,8,1.7,3273.00
12/02/2011,Chicago Park District,,6420,295,4.6,182523.00
12/02/2011,Chicago Public Library,,1033,1,0.1,250.00
12/02/2011,Chicago Transit Authority,,10279,1497,14.6,486229.00
12/02/2011,City Clerk,,98,0,0.0,0.00
12/02/2011,City Colleges of Chicago,,1867,18,1.0,7843.00
12/02/2011,City Council,,377,17,4.5,8400.00
12/02/2011,City Treasurer,,22,0,0.0,0.00
12/02/2011,Compliance,,23,0,0.0,0.00
12/02/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
12/02/2011,Emergency Management & Communications,,1457,15,1.0,7711.00
12/02/2011,Environment,,57,0,0.0,0.00
12/02/2011,Family & Support Services,,833,1,0.1,610.00
12/02/2011,Finance,,175,0,0.0,0.00
12/02/2011,Fire,,4940,68,1.4,33534.00
12/02/2011,Fleet Management,,590,1,0.2,218.00
12/02/2011,General Services,,461,6,1.3,2905.00
12/02/2011,Housing & Economic Development,,295,0,0.0,0.00
12/02/2011,Human Relations,,28,0,0.0,0.00
12/02/2011,Human Resources,,63,0,0.0,0.00
12/02/2011,Independent Police Review Authority,,85,1,1.2,403.00
12/02/2011,Innovation & Technology,,90,0,0.0,0.00
12/02/2011,Law,,426,0,0.0,0.00
12/02/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
12/02/2011,Office of the Mayor,,72,0,0.0,0.00
12/02/2011,Police,,13952,392,2.8,151804.00
12/02/2011,Procurement Services,,59,0,0.0,0.00
12/02/2011,Public Health,,832,4,0.5,1909.00
12/02/2011,Revenue ,,405,0,0.0,0.00
12/02/2011,Streets & Sanitation,,2110,25,1.2,10182.00
12/02/2011,Transportation,,1195,7,0.6,1615.00
12/02/2011,Water Management,,1778,9,0.5,2609.00
12/09/2011,Administrative Hearings,,39,0,0.0,0.00
12/09/2011,Animal Care & Control,,65,1,1.5,2191.00
12/09/2011,Aviation,,1446,8,0.6,3854.00
12/09/2011,Board of Elections,,112,0,0.0,0.00
12/09/2011,Board of Ethics,,6,0,0.0,0.00
12/09/2011,Budget & Management,,50,0,0.0,0.00
12/09/2011,Buildings,,281,0,0.0,0.00
12/09/2011,Business Affairs & Consumer Protection,,182,1,0.5,240.00
12/09/2011,Chicago Board of Education,,49778,2156,4.3,755053.00
12/09/2011,Chicago Housing Authority,,467,8,1.7,3273.00
12/09/2011,Chicago Park District,,6420,290,4.5,180848.00
12/09/2011,Chicago Public Library,,1033,1,0.1,250.00
12/09/2011,Chicago Transit Authority,,10279,1468,14.3,480375.00
12/09/2011,City Clerk,,98,0,0.0,0.00
12/09/2011,City Colleges of Chicago,,1867,17,0.9,7437.00
12/09/2011,City Council,,377,17,4.5,8400.00
12/09/2011,City Treasurer,,22,0,0.0,0.00
12/09/2011,Compliance,,23,0,0.0,0.00
12/09/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
12/09/2011,Emergency Management & Communications,,1457,15,1.0,7672.00
12/09/2011,Environment,,57,0,0.0,0.00
12/09/2011,Family & Support Services,,833,1,0.1,610.00
12/09/2011,Finance,,175,0,0.0,0.00
12/09/2011,Fire,,4940,67,1.4,32287.00
12/09/2011,Fleet Management,,590,1,0.2,218.00
12/09/2011,General Services,,461,5,1.1,2544.00
12/09/2011,Housing & Economic Development,,295,0,0.0,0.00
12/09/2011,Human Relations,,28,0,0.0,0.00
12/09/2011,Human Resources,,63,0,0.0,0.00
12/09/2011,Independent Police Review Authority,,85,1,1.2,403.00
12/09/2011,Innovation & Technology,,90,0,0.0,0.00
12/09/2011,Law,,426,0,0.0,0.00
12/09/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
12/09/2011,Office of the Mayor,,72,0,0.0,0.00
12/09/2011,Police,,13952,383,2.7,149407.00
12/09/2011,Procurement Services,,59,0,0.0,0.00
12/09/2011,Public Health,,832,3,0.4,1609.00
12/09/2011,Revenue ,,405,0,0.0,0.00
12/09/2011,Streets & Sanitation,,2110,16,0.8,7326.00
12/09/2011,Transportation,,1195,6,0.5,1525.00
12/09/2011,Water Management,,1778,9,0.5,2559.00
12/16/2011,Administrative Hearings,,39,0,0.0,0.00
12/16/2011,Animal Care & Control,,65,0,0.0,0.00
12/16/2011,Aviation,,1446,8,0.6,3848.00
12/16/2011,Board of Elections,,112,0,0.0,0.00
12/16/2011,Board of Ethics,,6,0,0.0,0.00
12/16/2011,Budget & Management,,50,0,0.0,0.00
12/16/2011,Buildings,,281,0,0.0,0.00
12/16/2011,Business Affairs & Consumer Protection,,182,0,0.0,0.00
12/16/2011,Chicago Board of Education,,49778,2082,4.2,729403.00
12/16/2011,Chicago Housing Authority,,467,8,1.7,3275.00
12/16/2011,Chicago Park District,,6420,282,4.4,178420.00
12/16/2011,Chicago Public Library,,1033,0,0.0,0.00
12/16/2011,Chicago Transit Authority,,10279,1412,13.7,425241.00
12/16/2011,City Clerk,,98,0,0.0,0.00
12/16/2011,City Colleges of Chicago,,1867,19,1.0,7456.00
12/16/2011,City Council,,377,17,4.5,8401.00
12/16/2011,City Treasurer,,22,0,0.0,0.00
12/16/2011,Compliance,,23,0,0.0,0.00
12/16/2011,Cultural Affairs & Special Events,,48,0,0.0,0.00
12/16/2011,Emergency Management & Communications,,1457,15,1.0,7235.00
12/16/2011,Environment,,57,0,0.0,0.00
12/16/2011,Family & Support Services,,833,1,0.1,610.00
12/16/2011,Finance,,175,0,0.0,0.00
12/16/2011,Fire,,4940,66,1.3,32070.00
12/16/2011,Fleet Management,,590,1,0.2,218.00
12/16/2011,General Services,,461,5,1.1,2544.00
12/16/2011,Housing & Economic Development,,295,0,0.0,0.00
12/16/2011,Human Relations,,28,0,0.0,0.00
12/16/2011,Human Resources,,63,0,0.0,0.00
12/16/2011,Independent Police Review Authority,,85,1,1.2,403.00
12/16/2011,Innovation & Technology,,90,0,0.0,0.00
12/16/2011,Law,,426,0,0.0,0.00
12/16/2011,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
12/16/2011,Office of the Mayor,,72,0,0.0,0.00
12/16/2011,Police,,13952,376,2.7,147416.00
12/16/2011,Procurement Services,,59,0,0.0,0.00
12/16/2011,Public Health,,832,3,0.4,1609.00
12/16/2011,Revenue ,,405,0,0.0,0.00
12/16/2011,Streets & Sanitation,,2110,16,0.8,8587.00
12/16/2011,Transportation,,1195,6,0.5,1525.00
12/16/2011,Water Management,,1778,9,0.5,2559.00
01/06/2012,Administrative Hearings,,39,0,0.0,0.00
01/06/2012,Animal Care & Control,,65,0,0.0,0.00
01/06/2012,Aviation,,1446,7,0.5,2510.00
01/06/2012,Board of Elections,,112,0,0.0,0.00
01/06/2012,Board of Ethics,,6,0,0.0,0.00
01/06/2012,Budget & Management,,50,0,0.0,0.00
01/06/2012,Buildings,,281,0,0.0,0.00
01/06/2012,Business Affairs & Consumer Protection,,182,0,0.0,0.00
01/06/2012,Chicago Board of Education,,49778,2044,4.1,714081.00
01/06/2012,Chicago Housing Authority,,467,7,1.5,2648.00
01/06/2012,Chicago Park District,,6420,271,4.2,171315.00
01/06/2012,Chicago Public Library,,1016,1,0.1,399.00
01/06/2012,Chicago Transit Authority,,10279,1261,12.3,342873.00
01/06/2012,City Clerk,,98,0,0.0,0.00
01/06/2012,City Colleges of Chicago,,1867,19,1.0,7247.00
01/06/2012,City Council,,377,16,4.2,8195.00
01/06/2012,City Treasurer,,22,0,0.0,0.00
01/06/2012,Cultural Affairs & Special Events,,48,0,0.0,0.00
01/06/2012,Emergency Management & Communications,,1457,15,1.0,7246.00
01/06/2012,Family & Support Services,,833,0,0.0,0.00
01/06/2012,Finance,,580,0,0.0,0.00
01/06/2012,Fire,,4940,58,1.2,30643.00
01/06/2012,Fleet & Facilities Management,,1051,2,0.2,618.00
01/06/2012,Housing & Economic Development,,295,0,0.0,0.00
01/06/2012,Human Relations,,28,0,0.0,0.00
01/06/2012,Human Resources,,63,0,0.0,0.00
01/06/2012,Independent Police Review Authority,,85,1,1.2,403.00
01/06/2012,Innovation & Technology,,90,0,0.0,0.00
01/06/2012,Law,,426,0,0.0,0.00
01/06/2012,Mayor's Office for People with Disabilities,,32,0,0.0,0.00
01/06/2012,Office of the Mayor,,72,0,0.0,0.00
01/06/2012,Police,,13952,312,2.2,101540.00
01/06/2012,Procurement Services,,59,0,0.0,0.00
01/06/2012,Public Health,,832,3,0.4,1609.00
01/06/2012,Streets & Sanitation,,2110,17,0.8,9305.00
01/06/2012,Transportation,,1195,4,0.3,720.00
01/06/2012,Water Management,,1778,11,0.6,3221.00
02/07/2012,Administrative Hearings,,39,3,7.7,724.00
02/07/2012,Animal Care & Control,,64,2,6.3,350.00
02/07/2012,Aviation,,1467,89,6.1,36694.00
02/07/2012,Board of Elections,,112,8,7.1,1391.00
02/07/2012,Board of Ethics,,6,1,16.7,103.00
02/07/2012,Budget & Management,,50,0,0.0,0.00
02/07/2012,Buildings,,280,10,3.6,2652.00
02/07/2012,Business Affairs & Consumer Protection,,180,7,3.9,2298.00
02/07/2012,Chicago Board of Education,,50469,3076,6.1,1186201.00
08/17/2012,Law,,437,1,0.2,400.00
02/07/2012,Chicago Housing Authority,,494,21,4.3,7911.00
02/07/2012,Chicago Park District,,3052,223,7.3,110597.00
02/07/2012,Chicago Public Library,,1016,17,1.7,8950.00
02/07/2012,Chicago Transit Authority,,10136,1771,17.5,577910.00
02/07/2012,City Clerk,,98,4,4.1,829.00
02/07/2012,City Colleges of Chicago,,6910,556,8.0,351461.00
02/07/2012,City Council,,373,27,7.2,16119.00
02/07/2012,City Treasurer,,22,0,0.0,0.00
02/07/2012,Cultural Affairs & Special Events,,61,2,3.3,222.00
02/07/2012,Emergency Management & Communications,,1439,94,6.5,45474.00
02/07/2012,Family & Support Services,,830,24,2.9,8127.00
02/07/2012,Finance,,502,23,4.6,10951.00
02/07/2012,Fire,,4924,186,3.8,56429.00
02/07/2012,Fleet & Facilities Management,,1059,45,4.2,15359.00
02/07/2012,Housing & Economic Development,,222,10,4.5,1993.00
02/07/2012,Human Relations,,28,0,0.0,0.00
02/07/2012,Human Resources,,74,1,1.4,200.00
02/07/2012,Independent Police Review Authority,,90,5,5.6,2217.00
02/07/2012,Innovation & Technology,,85,1,1.2,200.00
02/07/2012,Law,,449,7,1.6,2585.00
02/07/2012,Mayor's Office for People with Disabilities,,29,2,6.9,430.00
02/07/2012,Office of the Mayor,,72,0,0.0,0.00
02/07/2012,Police,,13819,689,5.0,264278.00
02/07/2012,Procurement Services,,59,0,0.0,0.00
02/07/2012,Public Health,,841,31,3.7,13340.00
02/07/2012,Streets & Sanitation,,2255,159,7.1,76865.00
02/07/2012,Transportation,,1093,55,5.0,17813.00
02/07/2012,Water Management,,1795,108,6.0,31500.00
02/17/2012,Administrative Hearings,,39,2,5.1,404.00
