Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
03/25/2020,235,5,1,34,45,38,45,31,28,13,0,99,136,0,27,7,122,57,10,12,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
05/06/2020,949,39,54,191,179,181,159,100,44,40,1,459,447,43,320,15,112,69,34,399,0,0,1,2,5,8,9,14,0,14,25,0,11,3,11,11,0,3
04/22/2020,869,45,14,167,156,162,177,113,44,36,0,428,427,14,337,14,168,102,38,210,0,0,3,2,6,14,8,12,0,20,25,0,9,0,26,9,1,0
03/16/2020,34,1,0,5,6,9,7,5,1,1,0,21,13,0,2,1,14,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
04/12/2020,448,32,26,69,84,72,73,56,35,33,0,223,209,16,103,15,112,60,18,140,0,0,1,2,3,10,6,10,0,15,17,0,4,1,18,7,0,2
04/26/2020,774,46,21,117,108,130,144,103,76,73,2,373,383,18,207,21,108,90,25,323,0,1,0,3,3,13,10,16,0,21,25,0,19,2,18,6,0,1
04/24/2020,1064,49,28,154,157,197,175,157,85,110,1,549,468,47,362,18,198,89,29,368,0,1,2,0,5,13,11,17,0,18,31,0,11,2,20,13,2,1
04/03/2020,456,25,3,76,66,93,95,55,39,29,0,239,215,2,118,12,204,63,14,45,0,0,1,2,2,4,6,10,0,13,12,0,3,0,20,2,0,0
04/06/2020,429,22,6,47,62,65,87,78,48,36,0,206,220,3,75,15,179,80,14,66,0,0,0,2,5,1,8,6,0,9,13,0,2,0,15,4,0,1
,25,0,0,3,8,6,5,1,2,0,0,9,12,4,2,0,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/23/2020,1006,33,30,162,158,165,156,147,90,95,3,453,459,94,327,11,182,80,26,380,0,1,1,4,2,8,7,10,0,7,26,0,12,2,14,5,0,0
03/11/2020,5,0,1,0,1,1,1,0,1,0,0,1,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/21/2020,824,31,22,139,159,150,147,95,66,46,0,417,396,11,315,16,186,90,34,183,0,1,0,2,0,7,9,12,0,11,20,0,11,2,14,4,0,0
04/15/2020,611,31,22,89,104,95,125,81,43,52,0,307,298,6,178,25,182,74,30,122,0,1,1,3,2,5,6,13,0,8,23,0,9,3,14,5,0,0
03/15/2020,25,0,0,5,2,8,3,4,3,0,0,11,13,1,1,2,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,14,0,0,2,5,2,3,1,1,0,0,1,13,0,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2020,969,49,39,164,170,194,168,120,50,63,1,501,441,27,344,14,135,92,41,343,0,1,1,0,0,11,14,22,0,23,26,0,12,3,18,13,1,2
04/25/2020,802,35,34,146,146,136,155,107,42,34,2,381,400,21,288,10,129,99,40,236,0,0,2,1,6,6,11,9,0,12,23,0,12,2,14,6,0,1
05/03/2020,922,38,33,180,142,175,166,106,67,52,1,440,449,33,352,7,106,64,17,376,0,0,0,2,4,11,10,11,0,16,21,1,17,1,11,6,1,2
04/19/2020,510,34,13,78,82,75,80,85,45,52,0,228,278,4,164,20,162,43,14,107,0,0,0,2,7,9,4,12,0,12,22,0,12,4,13,4,1,0
05/08/2020,620,27,38,111,125,126,91,66,27,34,2,299,273,48,251,3,60,60,44,202,0,0,0,0,3,7,9,8,0,13,12,2,9,0,8,10,0,0
04/18/2020,577,36,16,84,100,104,114,91,46,22,0,295,281,1,198,9,153,77,33,107,0,0,0,3,4,7,12,10,0,18,18,0,12,5,17,2,0,0
05/01/2020,1025,31,51,200,171,182,181,129,58,52,1,487,511,27,366,14,121,71,39,414,0,1,0,1,4,7,7,11,0,12,19,0,8,1,13,7,0,2
03/12/2020,13,0,1,3,4,1,1,0,2,1,0,8,5,0,2,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/20/2020,143,0,3,27,32,23,27,17,10,4,0,67,74,2,12,9,60,45,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020,173,2,5,24,40,32,25,22,21,4,0,88,85,0,23,10,78,48,5,9,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
04/16/2020,636,30,12,107,111,127,121,76,47,35,0,306,328,2,224,14,166,63,38,131,0,0,0,2,2,6,8,12,0,13,17,0,5,3,15,7,0,0
04/02/2020,413,14,3,53,70,73,84,61,37,32,0,214,186,13,85,16,188,75,8,41,0,0,0,1,2,1,6,4,0,5,9,0,2,2,8,2,0,0
04/13/2020,404,32,11,46,68,64,98,54,36,27,0,205,198,1,113,12,146,52,20,61,0,0,2,5,3,8,6,8,0,14,18,0,11,1,17,3,0,0
04/04/2020,409,21,4,50,56,72,85,70,47,25,0,212,195,2,90,19,180,61,12,47,0,0,0,3,4,4,4,6,0,13,8,0,3,0,13,4,1,0
03/26/2020,319,2,4,41,64,65,64,41,31,9,0,154,164,1,42,8,144,82,9,34,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
03/27/2020,294,8,2,40,43,53,81,35,27,13,0,143,150,1,41,13,140,64,12,24,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
04/07/2020,580,25,2,80,99,91,102,99,58,49,0,321,257,2,105,21,247,95,25,87,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0
03/28/2020,318,4,2,49,48,61,67,42,30,19,0,145,172,1,53,10,165,51,13,26,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0
04/14/2020,634,33,11,82,109,112,136,79,57,48,0,312,316,6,191,16,196,95,20,116,0,1,2,1,3,5,8,13,0,10,23,0,9,1,12,10,0,1
03/29/2020,274,21,2,33,57,45,40,40,40,16,1,133,141,0,42,5,146,51,5,25,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0
03/22/2020,116,2,2,15,18,27,21,16,14,3,0,56,60,0,19,4,60,26,2,5,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
03/30/2020,381,12,3,50,57,81,77,54,33,26,0,186,193,2,64,12,194,59,19,33,0,0,1,1,2,2,5,1,0,4,8,0,2,1,5,1,0,3
04/01/2020,423,24,4,71,90,72,76,61,25,24,0,216,192,15,91,17,189,73,13,40,0,0,1,1,1,7,6,8,0,12,12,0,3,0,19,0,0,2
04/08/2020,524,34,5,63,110,80,95,85,49,37,0,225,277,22,115,22,198,67,23,99,0,0,0,1,5,8,9,11,0,13,21,0,2,2,20,9,0,1
