credentialid,name,type,businessname,dba,fullcredentialcode,credentialtype,credentialnumber,credentialsubcategory,credential,status,statusreason,active,issuedate,effectivedate,expirationdate,address,city,state,zip,recordrefreshedon,New Georeferenced Column,Planning Regions,Counties,Zip Code,Town Index
930714,MERRY-GO-ROUND INC.,CORPORATION,MERRY-GO-ROUND INC.,MERRY GO ROUND ALSA,ALSA.0AL0008,ALSA,AL0008,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/01/2009 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2020 12:00:00 AM,1/2 BOLLING PL,GREENWICH,CT,068306540,02/25/2019 12:00:00 AM,POINT (-73.628363 41.023759),9,1040,6,57
1248823,MAPLEWOOD AT STRAWBERRY HILL,LIMITED LIABILITY COMPANY,MAPLEWOOD AT STRAWBERRY HILL,MAPLEWOOD AT STRAWBERRY HILL,ALSA.0000172,ALSA,172,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/06/2014 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,73 STRAWBERRY HILL AVE,NORWALK,CT,068551476,01/14/2019 12:00:00 AM,POINT (-73.398881 41.109301),9,1040,247,103
929017,HEARTHSTONE ASSISTED LIVING SERVICES AGENCY INC.,BUSINESS,HEARTHSTONE ASSISTED LIVING SERVICES AGENCY INC.,"HEARTHSTONE ASSISTED LIVING SERVICES AGENCY, INC.",ALSA.0000116,ALSA,116,,Assisted Living Service Agency,INACTIVE,,0,09/12/2006 12:00:00 AM,09/12/2006 12:00:00 AM,06/30/2008 12:00:00 AM,91 EAST MAIN STREET,Clinton,CT,06413,05/18/2010 12:00:00 AM,POINT (-72.520003 41.27723),3,1043,271,27
929882,OLSL LARSON PLACE LLC,BUSINESS,OLSL LARSON PLACE LLC,ATRIA LARSON PLACE,ALSA.0000111,ALSA,111,,Assisted Living Service Agency,CLOSED,CLOSED,0,10/01/2009 12:00:00 AM,10/01/2009 12:00:00 AM,09/30/2011 12:00:00 AM,1450 Whitney Avenue,Hamden,CT,06517,07/24/2012 12:00:00 AM,POINT (-72.913115 41.353404),7,1044,198,62
929772,WATERMARK HOME CARE OF CONNECTICUT LLC,LIMITED LIABILITY COMPANY,WATERMARK HOME CARE OF CONNECTICUT LLC,WATERMARK AT HOME,ALSA.0000115,ALSA,115,,Assisted Living Service Agency,CLOSED,CLOSED,0,07/01/2008 12:00:00 AM,07/01/2014 12:00:00 AM,06/30/2016 12:00:00 AM,3030 PARK AVE,BRIDGEPORT,CT,066041138,06/20/2016 12:00:00 AM,POINT (-73.219717 41.198599),2,1040,172,15
930924,HOME HEALTH CARE SERVICES LLC,LIMITED LIABILITY COMPANY,HOME HEALTH CARE SERVICES LLC,HOME HEALTH CARE SERVICES ALSA,ALSA.0AL0017,ALSA,AL0017,,Assisted Living Service Agency,CLOSED,,0,10/01/2011 12:00:00 AM,10/01/2015 12:00:00 AM,09/30/2017 12:00:00 AM,163 CEDAR ST STE 2A,BRANFORD,CT,064056012,02/02/2018 12:00:00 AM,POINT (-72.819522 41.289319),7,1044,170,14
1003930,ATRIA STRATFORD,LIMITED LIABILITY COMPANY,ATRIA STRATFORD,ATRIA STRATFORD,ALSA.0000162,ALSA,162,,Assisted Living Service Agency,CLOSED,CLOSED,0,06/22/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,6911 MAIN ST,STRATFORD,CT,066141360,01/24/2020 12:00:00 AM,POINT (-73.10197 41.247009),2,1040,218,138
1799287,"LANDING OF NORTH HAVEN, THE",LIMITED LIABILITY COMPANY,"LANDING OF NORTH HAVEN, THE","LANDING OF NORTH HAVEN, THE",ALSA.0000217,ALSA,217,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/16/2019 12:00:00 AM,10/09/2019 12:00:00 AM,09/30/2021 12:00:00 AM,201 CLINTONVILLE ROAD,NORTH HAVEN,CT,06473,10/16/2019 12:00:00 AM,POINT (-72.827199 41.404869),7,1044,195,148
929129,BAL WOODBRIDGE LLC,LIMITED LIABILITY COMPANY,BAL WOODBRIDGE LLC,BAL WOODBRIDGE,ALSA.0000144,ALSA,144,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/02/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,21 BRADLEY RD,WOODBRIDGE,CT,065252294,09/11/2019 12:00:00 AM,POINT (-72.982582 41.343605),7,1044,61,167
929691,WATERMARK ALSA II L.L.C.,LIMITED LIABILITY COMPANY,WATERMARK ALSA II L.L.C.,"WATERMARK ALSA II, L.L.C.",ALSA.0000122,ALSA,122,,Assisted Living Service Agency,CLOSED,CLOSED,0,10/01/2009 12:00:00 AM,10/01/2015 12:00:00 AM,09/30/2017 12:00:00 AM,611 EAST HILL ROAD,SOUTHBURY,CT,06487,06/20/2016 12:00:00 AM,POINT (-73.241049 41.485015),4,1044,99,130
1380456,STONEBROOK VILLAGE AT WINDSOR LOCKS,LIMITED LIABILITY COMPANY,STONEBROOK VILLAGE AT WINDSOR LOCKS,STONEBROOK VILLAGE AT WINDSOR LOCKS,ALSA.0000184,ALSA,184,,Assisted Living Service Agency,ACTIVE,CURRENT,1,09/22/2016 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,550 OLD COUNTY RD,WINDSOR LOCKS,CT,060961514,07/26/2018 12:00:00 AM,POINT (-72.656962 41.909754),1,1041,21,165
1370692,"SHORELINE OF CLINTON, THE",LIMITED LIABILITY COMPANY,"SHORELINE OF CLINTON, THE","SHORELINE OF CLINTON, THE",ALSA.0000183,ALSA,183,,Assisted Living Service Agency,ACTIVE,CURRENT,1,08/04/2016 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,,CLINTON,CT,06413,07/20/2018 12:00:00 AM,POINT (-72.528067 41.278677),3,1043,271,27
1995085,SPRING VILLAGE AT STRATFORD,LIMITED LIABILITY COMPANY,SPRING VILLAGE AT STRATFORD,SPRING VILLAGE AT STRATFORD,ALSA.0000218,ALSA,218,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/27/2019 12:00:00 AM,12/03/2019 12:00:00 AM,09/30/2021 12:00:00 AM,6911 MAIN STREET,STRATFORD,CT,06614,12/27/2019 12:00:00 AM,POINT (-73.10197 41.247009),2,1040,218,138
929871,EAGLE POINTE LLC,LIMITED LIABILITY COMPANY,EAGLE POINTE LLC,EAGLE POINTE,ALSA.0000104,ALSA,104,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/01/2009 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2020 12:00:00 AM,1 CANAL RD,SUFFIELD,CT,060781921,03/21/2019 12:00:00 AM,POINT (-72.612137 41.985928),1,1041,115,139
930100,BELLMARIE INC.,BUSINESS,BELLMARIE INC.,BELLMARIE ASSISTED LIVING SERVICES AGENCY,ALSA.0AL0018,ALSA,AL0018,,Assisted Living Service Agency,INACTIVE,,0,07/01/2005 12:00:00 AM,07/01/2005 12:00:00 AM,06/30/2007 12:00:00 AM,122 EAST MAIN STREET,PLAINVILLE,CT,06062,05/18/2010 12:00:00 AM,POINT (-72.860062 41.673843),1,1041,260,110
930729,SENIOR LIVING SERVICES LLC,BUSINESS,SENIOR LIVING SERVICES LLC,"SENIOR LIVING SERVICES, LLC",ALSA.0AL0044,ALSA,AL0044,,Assisted Living Service Agency,CLOSED,CLOSED,0,07/01/2009 12:00:00 AM,07/01/2009 12:00:00 AM,06/30/2011 12:00:00 AM,580 Long Hill Avenue,Shelton,CT,06484,01/23/2012 12:00:00 AM,POINT (-73.098429 41.281236),4,1040,217,126
928963,LEXINGTON HEALTH CARE GROUP INC.,BUSINESS,LEXINGTON HEALTH CARE GROUP INC.,"PROFESSIONAL RELIEF NURSES, INC.",ALSA.0000077,ALSA,77,,Assisted Living Service Agency,INACTIVE,,0,06/24/2002 12:00:00 AM,06/24/2002 12:00:00 AM,03/31/2004 12:00:00 AM,1010 Wethersfield Avenue,Hartford,CT,06114,05/18/2010 12:00:00 AM,POINT (-72.668393 41.728767),1,1041,8,64
929683,OLSL DARIEN LLC,BUSINESS,OLSL DARIEN LLC,ATRIA DARIEN,ALSA.0000121,ALSA,121,,Assisted Living Service Agency,CLOSED,CLOSED,0,07/01/2009 12:00:00 AM,07/01/2009 12:00:00 AM,06/30/2011 12:00:00 AM,50 Ledge Road,Darien,CT,06820,07/24/2012 12:00:00 AM,POINT (-73.484302 41.071484),9,1040,5,35
929580,HAMDEN CARE LLC,BUSINESS,HAMDEN CARE LLC,LAUREL GARDENS OF HAMDEN,ALSA.0000084,ALSA,84,,Assisted Living Service Agency,INACTIVE,,0,07/01/2004 12:00:00 AM,07/01/2004 12:00:00 AM,06/30/2006 12:00:00 AM,35 Hamden Hills Drive,Hamden,CT,06514,05/18/2010 12:00:00 AM,POINT (-72.910228 41.388808),7,1044,100,62
1286246,"RESIDENCE AT BROOKSIDE, THE",LIMITED LIABILITY COMPANY,"RESIDENCE AT BROOKSIDE, THE","RESIDENCE AT BROOKSIDE, THE",ALSA.0000174,ALSA,174,,Assisted Living Service Agency,CLOSED,CLOSED,0,05/21/2015 12:00:00 AM,04/01/2017 12:00:00 AM,03/31/2019 12:00:00 AM,117 SIMSBURY RD,AVON,CT,060013715,10/15/2018 12:00:00 AM,POINT (-72.829948 41.817597),1,1041,46,4
929116,BAL WATERBURY LLC,LIMITED LIABILITY COMPANY,BAL WATERBURY LLC,BAL WATERBURY,ALSA.0000130,ALSA,130,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,180 SCOTT RD,WATERBURY,CT,067053284,02/25/2019 12:00:00 AM,POINT (-72.977856 41.532751),4,1044,62,115
929135,BAL NIANTIC LLC,LIMITED LIABILITY COMPANY,BAL NIANTIC LLC,BAL NIANTIC,ALSA.0000140,ALSA,140,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/02/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,417 MAIN ST,NIANTIC,CT,063573144,01/14/2019 12:00:00 AM,POINT (-72.199095 41.322286),8,1045,31,45
929127,BAL EAST HAVEN LLC,LIMITED LIABILITY COMPANY,BAL EAST HAVEN LLC,BAL EAST HAVEN,ALSA.0000136,ALSA,136,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,111 S SHORE DR,EAST HAVEN,CT,065124661,10/19/2018 12:00:00 AM,POINT (-72.877458 41.245779),7,1044,130,44
1390339,BROOKDALE CHATFIELD,CORPORATION,BROOKDALE CHATFIELD,BROOKDALE CHATFIELD,ALSA.0000186,ALSA,186,,Assisted Living Service Agency,ACTIVE,CURRENT,1,11/21/2016 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,1 CHATFIELD DR,WEST HARTFORD,CT,061102802,01/24/2019 12:00:00 AM,POINT (-72.752873 41.727893),1,1041,213,155
1520434,COMMONS OF NEWTOWN THE,LIMITED LIABILITY COMPANY,COMMONS OF NEWTOWN THE,COMMONS OF NEWTOWN THE,ALSA.0000197,ALSA,197,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/11/2018 12:00:00 AM,04/01/2020 12:00:00 AM,03/31/2022 12:00:00 AM,139 TODDY HILL ROAD,NEWTOWN,CT,06470,04/28/2020 12:00:00 AM,POINT (-73.258982 41.382079),9,1040,152,97
1003885,ATRIA HAMILTON HEIGHTS,LIMITED LIABILITY COMPANY,ATRIA HAMILTON HEIGHTS,ATRIA HAMILTON HEIGHTS,ALSA.0000160,ALSA,160,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/22/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,FERN STREET AT ONE HAMILTON HEIGHTS DRIVE,WEST HARTFORD,CT,06119,05/03/2019 12:00:00 AM,POINT (-72.721722 41.770222),1,1041,251,155
1422256,ATRIA FARMINGTON,LIMITED LIABILITY COMPANY,ATRIA FARMINGTON,ATRIA FARMINGTON,ALSA.0000189,ALSA,189,,Assisted Living Service Agency,CLOSED,CLOSED,0,05/05/2017 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,111 SCOTT SWAMP RD,FARMINGTON,CT,060322861,04/06/2020 12:00:00 AM,POINT (-72.857734 41.704071),1,1041,254,52
1003943,ATRIA STAMFORD,LIMITED LIABILITY COMPANY,ATRIA STAMFORD,ATRIA STAMFORD,ALSA.0000163,ALSA,163,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/23/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,77 3RD ST,STAMFORD,CT,069054722,04/18/2019 12:00:00 AM,POINT (-73.538768 41.065308),9,1040,84,135
1392357,EVERGREEN WOODS,LIMITED LIABILITY COMPANY,EVERGREEN WOODS,EVERGREEN WOODS,ALSA.0000187,ALSA,187,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/05/2016 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,88 NOTCH HILL ROAD,NORTH BRANFORD,CT,06471,02/25/2019 12:00:00 AM,POINT (-72.751087 41.317083),7,1044,131,99
929696,ARDEN COURTS OF HAMDEN CT LLC,LIMITED LIABILITY COMPANY,ARDEN COURTS OF HAMDEN CT LLC,ARDEN COURTS OF HAMDEN,ALSA.0000125,ALSA,125,,Assisted Living Service Agency,CLOSED,CLOSED,0,10/01/2009 12:00:00 AM,10/01/2015 12:00:00 AM,09/30/2017 12:00:00 AM,153 LEEDER HILL DR,HAMDEN,CT,065172731,01/29/2016 12:00:00 AM,POINT (-72.921723 41.346298),7,1044,198,62
929872,ESSEX MEADOWS,CORPORATION,ESSEX MEADOWS,ESSEX MEADOWS,ALSA.0000105,ALSA,105,,Assisted Living Service Agency,CLOSED,CLOSED,0,01/01/2009 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2018 12:00:00 AM,30 BOKUM RD,ESSEX,CT,064261510,12/03/2018 12:00:00 AM,POINT (-72.410763 41.338327),3,1043,97,50
929846,"CASCADES, THE",LIMITED LIABILITY COMPANY,"CASCADES, THE","CASCADES, THE",ALSA.0000097,ALSA,97,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/01/2008 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2021 12:00:00 AM,13 PARK LAWN DR,BETHEL,CT,068011043,01/09/2020 12:00:00 AM,POINT (-73.398195 41.425007),9,1040,77,9
1042086,"BAL EDGEHILL, LLC",LIMITED LIABILITY COMPANY,"BAL EDGEHILL, LLC","BAL EDGEHILL, LLC",ALSA.0000165,ALSA,165,,Assisted Living Service Agency,ACTIVE,CURRENT,1,11/22/2011 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,122 PALMERS HILL RD,STAMFORD,CT,069022134,12/02/2019 12:00:00 AM,POINT (-73.565584 41.059385),9,1040,7,135
929799,CAPITAL SENIOR LIVING INC.,BUSINESS,CAPITAL SENIOR LIVING INC.,"CAPITAL SENIOR LIVING, INC.",ALSA.AL-0053,ALSA,AL-0053,,Assisted Living Service Agency,INACTIVE,,0,04/01/2004 12:00:00 AM,04/01/2004 12:00:00 AM,03/31/2006 12:00:00 AM,6469 Main Street,Trumbull,CT,06611,05/18/2010 12:00:00 AM,POINT (-73.227161 41.276361),2,1040,76,144
1642317,THE RESIDENCE AT SELLECK'S WOODS,LIMITED LIABILITY COMPANY,THE RESIDENCE AT SELLECK'S WOODS,THE RESIDENCE AT SELLECK'S WOODS,ALSA.0000210,ALSA,210,,Assisted Living Service Agency,ACTIVE,CURRENT,1,03/27/2019 12:00:00 AM,03/13/2019 12:00:00 AM,12/31/2020 12:00:00 AM,1 PARKLAND DR,DARIEN,CT,068203627,03/27/2019 12:00:00 AM,POINT (-73.459857 41.083349),9,1040,5,35
996312,BROOKDALE MOUNTAIN LAUREL HEBRON,CORPORATION,BROOKDALE MOUNTAIN LAUREL HEBRON,BROOKDALE MOUNTAIN LAUREL HEBRON,ALSA.0000156,ALSA,156,,Assisted Living Service Agency,CLOSED,CLOSED,0,05/04/2011 12:00:00 AM,04/01/2017 12:00:00 AM,03/31/2019 12:00:00 AM,1177 HEBRON AVE,GLASTONBURY,CT,060335008,05/30/2018 12:00:00 AM,POINT (-72.565688 41.718233),1,1041,90,54
933992,POMPERAUG WOODS,CORPORATION,POMPERAUG WOODS,POMPERAUG WOODS,ALSA.0000151,ALSA,151,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,05/28/2010 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,80 HERITAGE RD,SOUTHBURY,CT,064881882,01/22/2020 12:00:00 AM,POINT (-73.217482 41.482196),4,1044,99,130
929164,CONNECTICUT ORANGE LLC,BUSINESS,CONNECTICUT ORANGE LLC,LAUREL ESTATES,ALSA.0000147,ALSA,147,,Assisted Living Service Agency,CLOSED,CLOSED,0,09/01/2009 12:00:00 AM,09/01/2009 12:00:00 AM,06/30/2011 12:00:00 AM,245 Indian River Road,Orange,CT,06477,02/16/2011 12:00:00 AM,POINT (-73.000132 41.263913),7,1044,196,107
929927,SOUTHBURY SENIOR LIVING LLC,BUSINESS,SOUTHBURY SENIOR LIVING LLC,"SOUTHBURY SENIOR LIVING, LLC",ALSA.0000107,ALSA,107,,Assisted Living Service Agency,INACTIVE,INACTIVE,0,07/01/2009 12:00:00 AM,07/01/2009 12:00:00 AM,06/30/2011 12:00:00 AM,1177 Hebron Avenue,Glastonbury,CT,06025,05/18/2010 12:00:00 AM,POINT (-72.565688 41.718233),1,1041,90,54
