Reporting Area,MMWR Year,MMWR Week,"Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag","Tularemia, Cum 2018†","Tularemia, Cum 2018†, flag","Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2018†","Vancomycin-intermediate Staphylococcus aureus, Cum 2018†, flag",Location 1,Location 2
TENNESSEE,2019,3,,-,1,,,-,,-,,-,1,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2019,3,,-,5,,,-,,-,,-,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
IOWA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
WEST VIRGINIA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
EAST NORTH CENTRAL,2019,3,,-,2,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL
US RESIDENTS,2019,3,,-,16,,,-,,-,,-,7,,1,,3,,,US RESIDENTS
UTAH,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARIZONA,2019,3,,-,0,,,-,,-,,-,1,,1,,1,,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
CONNECTICUT,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WYOMING,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OKLAHOMA,2019,3,,-,13,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
EAST SOUTH CENTRAL,2019,3,,-,1,,,-,,-,,-,1,,,-,1,,,EAST SOUTH CENTRAL
OKLAHOMA,2019,4,,-,13,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
KANSAS,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MOUNTAIN,2019,4,,-,2,,,-,,-,,-,1,,1,,1,,,MOUNTAIN
RHODE ISLAND,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2019,4,,-,0,,,-,,-,,-,1,,1,,1,,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW YORK CITY,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY
SOUTH CAROLINA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
