Outcome,Indicator Category,Measure,Measure ID,Top 10 Indicator,Indicator Type
ECONOMIC OPPORTUNITY & AFFORDABILITY,B. Income Equality,Number and percentage of residents living below the poverty level (poverty rate),EOA.B.1,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,B. Income Equality,Distribution of household income (Note: This indicator can provide insights into growth/decline of middle class),EOA.B.2,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,B. Income Equality,"Number and percentage of Census tracts meeting criteria for R/ECAP (Racially/Ethnically Concentrated Areas of Poverty) Note: R/ECAP criteria include: 1) a non-White population of 50 percent or more, and 2) a poverty rate that exceeds 40 percent or is three or more times the average tract poverty rate for the metropolitan area, whichever threshold is lower)",EOA.B.3,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,B. Income Equality,"Number and percentage of Census tracts that are economically or racially segregated (i.e. Census tracts that are not demographically reflective of the City of Austin’s demographics, Census tracts of high opportunity areas that have a high percentage of White residents or a median family income greater than 120 percent)",EOA.B.4,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,G. Economic Mobility,Number and percentage of residents who are working and earning less than 200 percent of the federal poverty level,EOA.G.1,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,A. Employment,Number and percentage of City of Austin contracts meeting Small & Minority Business Resources goals,EOA.A.5,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,A. Employment,Number of small businesses supported by City of Austin programs,EOA.A.6,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,F. Skills and Capability of our Community Workforce,Number and percentage of digital inclusion program participants who report improved digital skills,EOA.F.5,true,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,G. Transparency and ethical practices,"Number of findings of fraud, waste, and abuse by employees, officials, and contractors",GTW.G.2,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,G. Transparency and ethical practices,Number of findings of unethical behavior as determined by the Ethics Review Commission,GTW.G.5,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,Median City property tax as percentage of median family income,GTW.A.1,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,City tax percentage of full property tax bill,GTW.A.2,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,Adopted operations and maintenance (O&M) tax rate as a percentage of the effective O&M tax rate,GTW.A.3,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,Cost of City services per capita adjusted for inflation (General Fund only),GTW.A.4,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,Ratio of current reserves to overall annual General Fund budget,GTW.A.5,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,Financial Stability of the City of Austin Employees’ Retirement Systems,GTW.A.6,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,Percent variance between actual and budgeted revenue,GTW.A.8,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,A. Financial cost and sustainability of City government,City bond ratings,GTW.A.7,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,B. Condition/quality of City facilities and infrastructure and effective adoption of technology,"Percentage of City facilities rated as “good” in the Facilities Condition Index. (Industry Benchmark with three categories, good, fair, and poor)",GTW.B.2,true,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,B. Condition/quality of City facilities and infrastructure and effective adoption of technology,Percentage of all City buildings eligible for ENERGY STAR scores with scores greater than or equal to 75,GTW.B.4,true,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,E. Stakeholder engagement and participation,Percentage of eligible residents who are registered to vote and who participate in City elections (disaggregated by race and geography),GTW.E.1,,Community Indicator
GOVERNMENT THAT WORKS FOR ALL,F. Equity of City programs and resource allocation,Difference between the percentage of community members of a particular race represented on City Boards and Commissions compared to the percentage of that race in the overall community population,GTW.F.2,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,E. Stakeholder engagement and participation,"Number of engagement/outreach activities by department, Council district, time and type of activity",GTW.E.4,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,B. Condition/quality of City facilities and infrastructure and effective adoption of technology,Number of City Services provided online through the City of Austin Web Portal (austintexas.gov),GTW.B.5,true,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,F. Equity of City programs and resource allocation,Number and percentage of public-facing City services that can be performed online,GTW.F.5,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,G. Transparency and ethical practices,Percentage of datasets published in the Open Data portal that are being utilized frequently (such as through an application programming interface (API) connection),GTW.G.4,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,F. Equity of City programs and resource allocation,Percentage of City departments implementing the equity assessment tool,GTW.F.3,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,F. Equity of City programs and resource allocation,Percentage of City employees who have completed diversity / anti-racism / implicit bias training,GTW.F.4,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,C. Satisfaction with City services,Percent operational availability of City Fleet Vehicles,GTW.C.5,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,D. Employee engagement,Percentage of employees who feel that their ideas and suggestions are valued by department management,GTW.D.1,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,D. Employee engagement,"Percentage of employees who report overall satisfaction with promotion, career opportunities, and competitiveness of salary",GTW.D.2,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,D. Employee engagement,Percentage of City employees who believe the City uses results of the Listening to the Workforce survey to make improvements in the workplace,GTW.D.3,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,D. Employee engagement,Employee attrition rate (categorized by reason for leaving),GTW.D.4,,Community Indicator
GOVERNMENT THAT WORKS FOR ALL,D. Employee engagement,Percentage of employees who feel that their department values diversity,GTW.D.5,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,G. Transparency and ethical practices,Percentage of employees who report that those in their work group generally behave ethically in the workplace,GTW.G.3,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,B. Condition/quality of City facilities and infrastructure and effective adoption of technology,Total time that critical City services were unavailable due to information security risk. (Measures in minutes per year),GTW.B.3,true,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,B. Condition/quality of City facilities and infrastructure and effective adoption of technology,"Percentage of residents and employees who are satisfied with the condition of City-owned facilities (e.g. cleanliness, safety, accessibility)",GTW.B.6,true,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,C. Satisfaction with City services,Percentage of callers who report being satisfied with the services provided when they contacted our Austin 3-1-1 assistance telephone number,GTW.C.1,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,C. Satisfaction with City services,Percentage of Austin residents who report being satisfied or very satisfied with the overall quality of services provided by the City,GTW.C.2,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,C. Satisfaction with City services,Percentage of residents who report being satisfied or very satisfied with the value they receive from the City of Austin for the taxes and fees they paid,GTW.C.3,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,E. Stakeholder engagement and participation,Percentage of residents report being satisfied or very satisfied with their civic engagement experience with the City,GTW.E.2,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,E. Stakeholder engagement and participation,Percentage of residents who believe Austin values dialogue between residents and government,GTW.E.3,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,G. Transparency and ethical practices,Percentage of residents who report employees of the City of Austin are ethical in the way they conduct City business,GTW.G.1,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,G. Transparency and ethical practices,Percentage of residents who report that they are satisfied with their ability to engage the City in a fair and transparent manner,GTW.G.6,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,C. Satisfaction with City services,Percentage of departments meeting established service standards,GTW.C.4,,COA Contribution
GOVERNMENT THAT WORKS FOR ALL,B. Condition/quality of City facilities and infrastructure and effective adoption of technology,Percentage of infrastructure that is classified as poor or failing condition in the Comprehensive Infrastructure Assessment,GTW.B.7,true,COA Contribution
HEALTH & ENVIRONMENT,E. Climate Change and Resilience,Percentage of total energy consumed that is generated by renewable power sources,HE.E.4,true,COA Contribution
HEALTH & ENVIRONMENT,E. Climate Change and Resilience,"Number and percentage of buildings, roadways, and properties where exposure to wildfire risk decreased due to City efforts",HE.E.5.c,true,COA Contribution
HEALTH & ENVIRONMENT,A. Healthy conditions among individuals [absence of unhealthy conditions],"Years of potential life lost before age 75 per 100,000 population",HE.A.1,,Community Indicator
HEALTH & ENVIRONMENT,A. Healthy conditions among individuals [absence of unhealthy conditions],Percentage of people who report 5 or more poor mental health days within the last 30 days,HE.A.2,,Community Indicator
HEALTH & ENVIRONMENT,A. Healthy conditions among individuals [absence of unhealthy conditions],Percentage of children whose body mass index (BMI) is considered obese,HE.A.3,,Community Indicator
HEALTH & ENVIRONMENT,A. Healthy conditions among individuals [absence of unhealthy conditions],Percentage of residents with cardiovascular disease,HE.A.4,,Community Indicator
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental",Percentage of residents younger than 65 with no health insurance coverage,HE.B.1,true,Community Indicator
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental",Percentage of residents ≥ age 65 who received a core set of preventive clinical services in the past 12 months,HE.B.2,true,Community Indicator
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental","Infant mortality rate (number of deaths of infants younger than 1-year-old per 1,000 live births)",HE.B.3,true,Community Indicator
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental",Number of suicides deaths,HE.B.4a,true,Community Indicator
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental",Number of unintentional overdose deaths,HE.B.4b,true,
HEALTH & ENVIRONMENT,A. Healthy conditions among individuals [absence of unhealthy conditions],Number and percentage of clients served through City’s health equity contracts who achieve intended healthy outcomes (e.g. healthy infant birth weight),HE.A.5,,COA Contribution
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental","Number and percentage of clients supported through the City of Austin, including community-based preventative health screenings, who followed through with referrals to a healthcare provider or community resource",HE.B.5,true,COA Contribution
HEALTH & ENVIRONMENT,F. Food Security and Nutrition,Percentage of residents eligible for federal food assistance programs and who are currently enrolled,HE.F.4,,COA Contribution
HEALTH & ENVIRONMENT,D. Environmental Quality,Number of tons and percentage of collected residential materials diverted from landfill,HE.D.4,,COA Contribution
HEALTH & ENVIRONMENT,"B. Accessibility to Quality Health Care Services, Both Physical and Mental",Number of eligible clients receiving services through our immunizations program,HE.B.6,true,COA Contribution
HEALTH & ENVIRONMENT,D. Environmental Quality,Number of gallons of water pumped from treatment plants per capita per day,HE.D.6,,COA Contribution
HEALTH & ENVIRONMENT,D. Environmental Quality,Percentage of Austin's total land area covered by the tree canopy,HE.D.5,,Community Indicator
HEALTH & ENVIRONMENT,"C. Accessibility to quality parks, trails, and recreational opportunities",Percentage of residents satisfied with Parks and Recreation programs and facilities,HE.C.3,true,COA Contribution
HEALTH & ENVIRONMENT,E. Climate Change and Resilience,Percentage of residents who report having frequent contact with friends and neighbors outside of their home,HE.E.2,true,Community Indicator
HEALTH & ENVIRONMENT,"C. Accessibility to quality parks, trails, and recreational opportunities",Percentage of residents who have access to parks and open spaces (live within one-quarter mile in urban core and within half-mile outside of urban core),HE.C.1,true,Community Indicator
HEALTH & ENVIRONMENT,"C. Accessibility to quality parks, trails, and recreational opportunities",Austin's ParkScore ranking (absolute score and ranking among U.S. cities),HE.C.2,true,Community Indicator
HEALTH & ENVIRONMENT,"C. Accessibility to quality parks, trails, and recreational opportunities",Percentage of Parks and Recreation facilities that comply with ADA standards,HE.C.4,true,COA Contribution
HEALTH & ENVIRONMENT,"C. Accessibility to quality parks, trails, and recreational opportunities","Number and percentage of linear miles of newly constructed sidewalks and urban trails that lie within ZIP codes with disproportionate prevalence of chronic diseases or conditions, or with a car-dependent Walk Score",HE.C.5,true,COA Contribution
HEALTH & ENVIRONMENT,D. Environmental Quality,Number of days per year of good air quality (Air Quality Index Value <51),HE.D.1,,Community Indicator
HEALTH & ENVIRONMENT,D. Environmental Quality,Number of days per year in which ground level ozone concentration exceeds EPA standard,HE.D.2,,Community Indicator
HEALTH & ENVIRONMENT,E. Climate Change and Resilience,Community carbon footprint (number of metric tons of carbon dioxide emissions),HE.E.1,true,Community Indicator
HEALTH & ENVIRONMENT,E. Climate Change and Resilience,City of Austin carbon footprint (number of metric tons of carbon dioxide emissions from our government activity),HE.E.3,true,COA Contribution
HEALTH & ENVIRONMENT,F. Food Security and Nutrition,Percentage of residents experiencing food insecurity,HE.F.1,,Community Indicator
HEALTH & ENVIRONMENT,F. Food Security and Nutrition,Number and percentage of residents living in proximity to a City-supported fresh food access point,HE.F.2,,Community Indicator
HEALTH & ENVIRONMENT,F. Food Security and Nutrition,Number of City-supported fresh food access points,HE.F.5,,COA Contribution
HEALTH & ENVIRONMENT,D. Environmental Quality,Number and percentage of creeks and lakes in good or excellent health,HE.D.3,,Community Indicator
HEALTH & ENVIRONMENT,E. Climate Change and Resilience,"Number of buildings, roadways, and properties with reduced flood risk due to City efforts",HE.E.5.a,true,COA Contribution
MOBILITY,D. Safety,"Number and percentage of customer service requests for the removal of highly hazardous blockages (e.g. debris, vegetation, construction-related, vehicular, or any other blockages) of bike facilities and sidewalks resolved within 72 hours",M.D.5,,COA Contribution
MOBILITY,E. Condition of Transportation-Related Infrastructure,Number and percent of customer service requests for vegetation maintenance in the public right-of-way completed within 2 weeks,M.E.6,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Average time to clear crashes from major roadways,M.A.9,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Percent split of modes based on commute to work (mode share),M.A.1,,Community Indicator
MOBILITY,A. System Efficiency and Congestion,"Number of transportation projects, programs, and initiatives that are coordinated with partner agencies",M.A.10,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Travel time reliability (vehicle and transit),M.A.2,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,"Percent split of modes based on commute to work, including off-peak drive-alone trips, by City of Austin employees",M.A.3,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Number and percentage of development applications with a transportation analysis with 30 percent or more drive-alone trip reduction (by shifting trips to other modes and not by decreasing intensity),M.A.4,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Percent reduction in estimated vehicular and transit travel time in corridors evaluated,M.A.5,,COA Contribution
MOBILITY,B. Transportation Cost,Percentage of household cost attributed to transportation,M.B.1,,Community Indicator
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,"Percent of population (housing units) and employment (commercial square footage) within a quarter-mile and half-mile of a high-frequency transit stop, within a half-mile of the All Ages and Abilities Bicycle Network",M.C.1,true,Community Indicator
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,Number of M projects initiated and successfully completed in Innovation Zones,M.C.3,true,Community Indicator
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,Percent of transportation planning processes that are representative of community demographics,M.C.5,true,COA Contribution
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,Percent of people working in Austin that come from outside Austin,M.C.7,true,Community Indicator
MOBILITY,D. Safety,"Number and percentage of crashes resulting in fatalities or serious injuries caused by the top contributing behaviors (speeding, distracted driving, impaired driving, failure to yield)",M.D.2,,COA Contribution
MOBILITY,D. Safety,Percentage of fatalities and serious injuries reduced following street design/infrastructure projects on the High-Injury Network,M.D.3,,COA Contribution
MOBILITY,D. Safety,"Number of people and number of people per 100,000 residents who are killed or sustain serious injuries in traffic crashes",M.D.1,,Community Indicator
MOBILITY,A. System Efficiency and Congestion,Number of airplane passenger seats (The industry standard for “seats” is outbound seats available for purchase.),M.A.7,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Number of AUS non-stop destinations,M.A.8,,COA Contribution
MOBILITY,A. System Efficiency and Congestion,Number and percentage of City-owned battery-electric vehicles (BEV),M.A.6,,COA Contribution
MOBILITY,B. Transportation Cost,Cost per mile of City-owned fleet,M.B.4,,COA Contribution
MOBILITY,D. Safety,Number and percentage of City-owned vehicles using telematics for safety and risk reports (e.g. “driver scorecard”) and number of crashes involving City vehicles,M.D.4,,COA Contribution
