License Number,Licensee Name,DBA Name,License Type,District,Sub District,County,Street Number,Street Name,City,State,Zip Code,Last Name,First Name,Business Phone,Renewal Date,latlng
263766,AMERICAN CIDER COMPANY LLC,AMERICAN CIDER COMPANY,22S,7,00,999,484,MAIN STREET,EAST AURORA,NY,140521716,CIOLEK,JULIE,,07/22/2019,
249280,PRIMOS MEXICAN RESTAURANT LLC,PRIMOS MEXICAN RESTAURANT,RBDR,1,00,083,6264,"LEWIS ST., STE 104",PARKVILLE,MO,64152,HERNANDEZ,BIRGIT,,07/22/2019,"(39.2081121, -94.6848201)"
242825,UES CC1 LLC,UNFORKED,SBD,1,00,048,2450,GRAND STE. 113,KANSAS CITY,MO,64108,BRYANT,RICHARD,,07/22/2019,"(39.0826589, -94.58244619999999)"
259279,LATITUDE 30 DEGREE WINES LLC,LATITUDE 30 DEGREE WINES,LS,7,00,999,490,N. SABINE PASS RD.,FAYETTEVILLE,AR,727047106,BOTHA,RYAN,,07/22/2019,
186422,EL TORITO INC.,EL TORITO TAQUERIA,SBD,3,00,116,2753,CHEROKEE ST,ST. LOUIS,MO,63118,MEDINA,MARIA,,07/22/2019,"(38.59388, -90.2299328)"
99180,MARINA GROG & GALLEY INC.,"MARINA, THE",RBD,1,00,048,22-A,STREET,LAKE LOTAWANA,MO,640869741,SCHWINDLER,JOHN,,07/22/2019,
258806,SPIRIT HOUNDS LLC,SPIRIT HOUND DISTILLERS,LS,7,00,999,4196,UTE HIGHWAY,LYONS,CO,80540,ANDERSON,THOMAS,,07/22/2019,
184625,EL TORITO INC.,EL TORITO TAQUERIA,RBD,3,00,116,2753,CHEROKEE ST,ST. LOUIS,MO,63118,MEDINA,MARIA,,07/22/2019,"(38.59388, -90.2299328)"
9140,"WOODS, JACK E.",WEST SIDE PACKAGE,OPL,4,00,102,,HWY 60,WINONA,MO,65588,,,,05/13/2019,
235183,CESAR'S OLD MEXICO LLC,CESAR'S OLD MEXICO,RBD,5,00,039,3027,E. SUNSHINE STREET,SPRINGFIELD,MO,65804,GONZALEZ,SANDRA,,05/07/2019,
105351,SHELDON ARTS FOUNDATION,SHELDON ARTS FOUNDATION,SBD,3,00,116,3648,WASHINGTON AVE,ST LOUIS,MO,631083610,PALERMO,PETER,,04/25/2019,
235184,CESAR'S OLD MEXICO LLC,CESAR'S OLD MEXICO,SBD,5,00,039,3027,E. SUNSHINE STREET,SPRINGFIELD,MO,65804,GONZALEZ,SANDRA,,05/07/2019,
105350,SHELDON ARTS FOUNDATION,SHELDON ARTS FOUNDATION,RBD,3,00,116,3648,WASHINGTON AVE,ST LOUIS,MO,631083610,PALERMO,PETER,,04/25/2019,
256080,MOKASKA COFFEE COMPANY LLC,MOKASKA COFFEE COMPANY,RBD,1,00,011,705,EDMOND ST.,ST. JOSEPH,MO,64501,MONTEE,ANDREW,,05/14/2019,
203968,DOLGENCORP LLC,DOLLAR GENERAL STORE #6947,OPL,5,00,007,523,E. 1ST ST.,ADRIAN,MO,64720,EPPLE,LORENE,,03/28/2019,
233307,SHARKY'S PUB & GRUB II LLC,SHARKY'S PUB & GRUB,RBDR,5,00,109,400,"S. JOHNSON DR., STE. E",NEVADA,MO,647729078,JOUSTRA,CLARENCE,,06/25/2019,"(37.8332666, -94.324703)"
230443,SHARKY'S PUB & GRUB II LLC,SHARKY'S PUB & GRUB,SBD,5,00,109,400,"S. JOHNSON DR., STE. E",NEVADA,MO,647729078,JOUSTRA,CLARENCE,,06/25/2019,"(37.8332666, -94.324703)"
124025,FRATERNAL ORDER OF EAGLES 4443,RIPLEY COUNTY AERIE 4443,RBDE,4,00,091,,HWY 21 SOUTH,DONIPHAN,MO,63935,TRUBE,HAROLD,,07/25/2019,
245210,SAINT LOUIS JUICE LLC,"JUICE, THE",RBD,3,00,116,2640,CHEROKEE,ST. LOUIS,MO,63118,MCKEE,CARTER,,07/25/2019,
158256,CJ III RESTAURANTS INC.,RED FRONT,EXTH,1,00,048,310,ADMIRAL BOULEVARD,KANSAS CITY,MO,641051506,MANDACINA,CHARLES,,07/25/2019,"(39.1055775, -94.5788807)"
260035,"POWELL, COURTNEY",SHIRLEY'S NEIGHBORHOOD TAVERN,SBD,5,00,049,321,W. MAIN ST.,CARTERVILLE,MO,64835,,,,05/17/2019,
259155,HOGUE LLC,CLARKS,OPL,1,00,003,401,N US HIGHWAY 59,FAIRFAX,MO,64446,HOGUE,JESSICA,,07/22/2019,
247853,LTN LLC,LTN,RBD,1,00,048,5701,LONGVIEW RD.,KANSAS CITY,MO,641372728,NGUYEN,TUAN,,07/22/2019,"(38.9153232, -94.5249803)"
216317,"NORTH END LLC, THE","NORTH END, THE",SBD,1,00,048,910,EAST 5TH STREET,KANSAS CITY,MO,64106,MESH,PETER,,07/25/2019,"(39.110517, -94.572931)"
159229,GERARD'S INC.,GERARD'S,RBD,3,00,095,1153,COLONADE CENTER,DES PERES,MO,63131,WHATTON,GERARD,,07/25/2019,
196968,"WOOD IN MAPLEWOOD, LLC","WOOD, THE",RBD,3,00,095,2733,SUTTON BLVD.,MAPLEWOOD,MO,631433007,NEILL,EDWARD,,07/25/2019,"(38.611425, -90.3202738)"
259371,DDO RESTAURANTS LLC,DOS DE OROS,RBD,1,00,048,13023-,29 HOLMES,KANSAS CITY,MO,64145,CERVANTES-AREVALOS,MIGUEL,,05/07/2019,
245211,SAINT LOUIS JUICE LLC,"JUICE, THE",SBD,3,00,116,2640,CHEROKEE,ST. LOUIS,MO,63118,MCKEE,CARTER,,07/25/2019,
193956,CJ III RESTAURANTS INC.,RED FRONT,SBD,1,00,048,310,ADMIRAL BOULEVARD,KANSAS CITY,MO,641051506,MANDACINA,CHARLES,,07/25/2019,"(39.1055775, -94.5788807)"
231274,ROBATA OF MAPLEWOOD LLC,ROBATA OF MAPLEWOOD,RBD,3,00,095,7260,MANCHESTER ROAD,MAPLEWOOD,MO,631432440,CHANTHARASY,HONGKHAM,,07/25/2019,"(38.6137422, -90.314982)"
201222,DOLGENCORP LLC,DOLLAR GENERAL STORE #3038,OPL,4,00,035,1203,SAINT FRANCIS,KENNETT,MO,63857,EPPLE,LORENE,,03/28/2019,
236850,INFINITE OCCASIONS LLC,INFINITE OCCASIONS,RBD,3,00,095,3515,N. LINDBERGH,BRIDGETON,MO,63074,TAYLOR,ROBIN,,07/25/2019,"(38.7294307, -90.40563360000002)"
236851,INFINITE OCCASIONS LLC,INFINITE OCCASIONS,SBD,3,00,095,3515,N. LINDBERGH,BRIDGETON,MO,63074,TAYLOR,ROBIN,,07/25/2019,"(38.7294307, -90.40563360000002)"
206648,"GROSS, ROBERT J.",COOPER MOUNTAIN VINEYARDS,22S,7,00,999,20121,SOUTHWEST LEONARDO LANE,BEAVERTON,OR,970077871,,,,07/25/2019,"(45.450709, -122.883965)"
236395,LOTUS HOSPITALITY LLC,HAMPTON INN,RBD,1,00,048,801,WALNUT STREET,KANSAS CITY,MO,64106,MARTINEZ,ROBIN,,07/25/2019,"(39.10429, -94.58152299999999)"
255091,DTKR LLC,DINKS BAR,SBD,3,00,116,521,S. VANDEVENTER,ST. LOUIS,MO,63110,BATTLE,ROBERT,,07/25/2019,"(38.6315346, -90.2445796)"
150039,CJ III RESTAURANTS INC.,RED FRONT,RBD,1,00,048,310,ADMIRAL BOULEVARD,KANSAS CITY,MO,641051506,MANDACINA,CHARLES,,07/25/2019,"(39.1055775, -94.5788807)"
124026,FRATERNAL ORDER OF EAGLES 4443,RIPLEY COUNTY AERIE 4443,SBD,4,00,091,,HWY 21 SOUTH,DONIPHAN,MO,63935,TRUBE,HAROLD,,07/25/2019,
259308,NEW LILING KITCHEN LLC,ASIA KITCHEN,SBD,3,00,095,8423,OLIVE BLVD.,ST. LOUIS,MO,63132,WEMHOENER,LI-LING,,07/25/2019,
240451,CEUH LLC,CEUH,RBD,1,00,048,323,E. 55TH ST.,KANSAS CITY,MO,64113,CASCIO,BENJAMIN,,07/25/2019,
236396,LOTUS HOSPITALITY LLC,HAMPTON INN,SBD,1,00,048,801,WALNUT STREET,KANSAS CITY,MO,64106,MARTINEZ,ROBIN,,07/25/2019,"(39.10429, -94.58152299999999)"
242067,KARY INC.,KARY,RBD,3,00,116,278,N. SKINKER BLVD.,ST. LOUIS,MO,631304803,LOCKWOOD,KARY,,07/25/2019,"(38.649757, -90.3003205)"
257588,GSR RESTAURANTS MO LLC,WING STOP,5BDW,3,00,095,7201,NATURAL BRIDGE #B,NORMANDY,MO,63121,HURLEY,JOYCE,,07/25/2019,
236936,WILDWOOD BBQ LLC,COBALT SMOKE & SEA,SBD,3,00,095,12643,OLIVE BLVD.,CREVE COEUR,MO,631416313,FAASEN,BERNADETTE,,07/25/2019,
262097,GLB HOLDINGS LLC,"THIRD RAIL, THE",RBD,3,00,116,5625,MANCHESTER AVE.,ST. LOUIS,MO,63110,MUETHER,LINDA,,07/25/2019,"(38.623789, -90.2813649)"
216316,"NORTH END LLC, THE","NORTH END, THE",RBD,1,00,048,910,EAST 5TH STREET,KANSAS CITY,MO,64106,MESH,PETER,,07/25/2019,"(39.110517, -94.572931)"
236935,WILDWOOD BBQ LLC,COBALT SMOKE & SEA,RBD,3,00,095,12643,OLIVE BLVD.,CREVE COEUR,MO,631416313,FAASEN,BERNADETTE,,07/25/2019,
261087,CELEBRATION CELLARS LLC,MIRAMONTE WINERY,WDS,7,00,999,33410,RANCHO CALIFORNIA ROAD,TEMECULA,CA,925914928,VANDERHOOF,CANE,,07/25/2019,
255402,J VIETNAMESE CAFE LLC,J VIETNAMESE CAFE,RBD,2,00,026,1406,MO BLVD. STE. C,JEFFERSON CITY,MO,65109,TRAN,THANG,,07/25/2019,"(38.579424, -92.19338619999999)"
209004,KIRKWOOD PROVENCAL INC.,CAFE PROVENCAL,RBD,3,00,095,427,S. KIRKWOOD ROAD,KIRKWOOD,MO,63122,SCHREINER,JOHN,,07/25/2019,
220855,"WOOD IN MAPLEWOOD, LLC","WOOD, THE",SBD,3,00,095,2733,SUTTON BLVD.,MAPLEWOOD,MO,631433007,NEILL,EDWARD,,07/25/2019,"(38.611425, -90.3202738)"
259372,DDO RESTAURANTS LLC,DOS DE OROS,SBD,1,00,048,13023-,29 HOLMES,KANSAS CITY,MO,64145,CERVANTES-AREVALOS,MIGUEL,,05/07/2019,
259307,NEW LILING KITCHEN LLC,ASIA KITCHEN,RBD,3,00,095,8423,OLIVE BLVD.,ST. LOUIS,MO,63132,WEMHOENER,LI-LING,,07/25/2019,
251585,RIVER VALLEY BANQUET CENTER LLC,RIVER VALLEY BANQUET CENTER,RBD,4,00,016,631,SOUTH SPRIGG ST.,CAPE GIRARDEAU,MO,63703,WERNER,RICKY,,07/25/2019,"(37.2942859, -89.528844)"
252224,RIVER VALLEY BANQUET CENTER LLC,RIVER VALLEY BANQUET CENTER,SBD,4,00,016,631,SOUTH SPRIGG ST.,CAPE GIRARDEAU,MO,63703,WERNER,RICKY,,07/25/2019,"(37.2942859, -89.528844)"
257589,GSR RESTAURANTS MO LLC,WING STOP,5SBD,3,00,095,7201,NATURAL BRIDGE #B,NORMANDY,MO,63121,HURLEY,JOYCE,,07/25/2019,
262098,GLB HOLDINGS LLC,"THIRD RAIL, THE",SBD,3,00,116,5625,MANCHESTER AVE.,ST. LOUIS,MO,63110,MUETHER,LINDA,,07/25/2019,"(38.623789, -90.2813649)"
