Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MASSACHUSETTS,2020,5,,-,4,,6,,12,,,-,0,,,-,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,13,,4,,14,,,-,0,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,13,,2,,2,,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
MASSACHUSETTS,2020,6,,-,4,,6,,13,,,-,0,,,-,,-,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,6,,13,,11,,23,,,-,0,,,-,,-,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,13,,2,,3,,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,9,12,,111,,272,,353,,,-,0,,,-,,-,,TOTAL,20200970,
US RESIDENTS,2020,9,12,,111,,272,,353,,,-,0,,,-,,-,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,1,,3,,7,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,2,,4,,13,,4,,,-,0,,,-,,-,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,,-,42,,39,,27,,,-,0,,,-,,-,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,3,,57,,10,,77,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,,-,21,,3,,17,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,3,,,-,6,,,-,0,,,-,,-,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,4,,8,,29,,,-,0,,,-,,-,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,-,2,,3,,3,,,-,0,,,-,,-,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,42,,5,,51,,,-,0,,,-,,-,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,-,4,,,-,2,,,-,0,,,-,,-,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,1,,9,,38,,21,,,-,0,,,-,,-,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,-,5,,2,,1,,,-,0,,,-,,-,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,1,,2,,,-,,-,0,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,2,,1,,2,,,-,0,,,-,,-,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,18,,14,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,5,,1,,11,,,-,0,,,-,,-,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,17,,20,,63,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,21,,,-,6,,,-,0,,,-,,-,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,6,,17,,1,,,-,0,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,3,,2,,1,,,-,0,,,-,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,19,,16,,3,,,-,0,,,-,,-,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,2,,2,,2,,,-,,-,0,,,-,,-,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,4,,6,,22,,,-,0,,,-,,-,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,19,,,-,17,,,-,0,,,-,,-,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,3,,29,,46,,27,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,50,,19,,27,,,-,0,,,-,,-,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,4,,,-,7,,,-,0,,,-,,-,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,3,,6,,16,,23,,,-,0,,,-,,-,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,1,,2,,1,,,-,0,,,-,,-,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,5,,3,,2,,,-,0,,,-,,-,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,10,,5,,6,,,-,0,,,-,,-,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,6,,2,,4,,,-,0,,,-,,-,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,4,,1,,1,,,-,0,,,-,,-,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,1,,4,,1,,11,,,-,0,,,-,,-,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,10,,35,,23,,,-,0,,,-,,-,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,1,,13,,3,,9,,,-,0,,,-,,-,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,,-,5,,,-,8,,,-,0,,,-,,-,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,15,,23,,3,,,-,0,,,-,,-,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,2,,55,,68,,65,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,-,37,,37,,24,,,-,0,,,-,,-,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,2,,21,,8,,7,,,-,0,,,-,,-,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,5,,,-,3,,,-,0,,,-,,-,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,,-,23,,27,,16,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,4,,12,,18,,,-,0,,,-,,-,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
TOTAL,2020,7,4,,110,,190,,232,,,-,0,,,-,,-,,TOTAL,20200770,
US RESIDENTS,2020,7,4,,110,,190,,232,,,-,0,,,-,,-,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,4,,9,,3,,,-,0,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,34,,31,,22,,,-,0,,,-,,-,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,57,,7,,52,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,21,,2,,9,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,3,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,7,,7,,25,,,-,0,,,-,,-,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,2,,,-,3,,,-,0,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,42,,5,,33,,,-,0,,,-,,-,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,4,,,-,1,,,-,0,,,-,,-,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,8,,21,,17,,,-,0,,,-,,-,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,5,,1,,1,,,-,0,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,1,,1,,2,,,-,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,2,,,-,2,,,-,0,,,-,,-,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,18,,8,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,5,,,-,7,,,-,0,,,-,,-,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,1,,17,,18,,49,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,21,,,-,3,,,-,0,,,-,,-,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,6,,13,,,-,,-,0,,,-,,-,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,1,,3,,1,,1,,,-,0,,,-,,-,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,19,,16,,2,,,-,0,,,-,,-,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,1,,4,,7,,16,,,-,0,,,-,,-,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,19,,,-,15,,,-,0,,,-,,-,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,2,,28,,34,,16,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,50,,13,,6,,,-,0,,,-,,-,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,4,,,-,7,,,-,0,,,-,,-,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,1,,6,,7,,12,,,-,0,,,-,,-,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,1,,2,,,-,,-,0,,,-,,-,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,5,,3,,2,,,-,0,,,-,,-,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,10,,5,,1,,,-,0,,,-,,-,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,6,,1,,3,,,-,0,,,-,,-,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,0,,,-,2,,,-,0,,,-,,-,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,10,,30,,12,,,-,0,,,-,,-,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,13,,2,,4,,,-,0,,,-,,-,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,5,,,-,4,,,-,0,,,-,,-,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,15,,12,,3,,,-,0,,,-,,-,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,55,,52,,28,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,29,,30,,20,,,-,0,,,-,,-,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,21,,4,,6,,,-,0,,,-,,-,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,5,,,-,3,,,-,0,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,23,,13,,15,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,4,,6,,15,,,-,0,,,-,,-,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,1,,13,,12,,24,,,-,0,,,-,,-,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,13,,3,,4,,,-,0,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
TOTAL,2020,8,12,,110,,237,,272,,,-,0,,,-,,-,,TOTAL,20200870,
US RESIDENTS,2020,8,12,,110,,237,,272,,,-,0,,,-,,-,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,3,,4,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,2,,4,,11,,3,,,-,0,,,-,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,34,,37,,25,,,-,0,,,-,,-,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,57,,7,,67,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,21,,2,,10,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,3,,,-,6,,,-,0,,,-,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,7,,7,,25,,,-,0,,,-,,-,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,2,,2,,3,,,-,0,,,-,,-,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,42,,5,,44,,,-,0,,,-,,-,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,4,,,-,2,,,-,0,,,-,,-,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,1,,9,,35,,19,,,-,0,,,-,,-,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,5,,1,,1,,,-,0,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,1,,2,,,-,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,2,,,-,2,,,-,0,,,-,,-,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,18,,12,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,5,,,-,8,,,-,0,,,-,,-,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,17,,17,,52,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,21,,,-,4,,,-,0,,,-,,-,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,6,,17,,,-,,-,0,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,1,,3,,2,,1,,,-,0,,,-,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,19,,16,,2,,,-,0,,,-,,-,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,4,,6,,19,,,-,0,,,-,,-,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,19,,,-,16,,,-,0,,,-,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,3,,28,,41,,16,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,50,,19,,10,,,-,0,,,-,,-,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,4,,,-,7,,,-,0,,,-,,-,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,6,,6,,13,,18,,,-,0,,,-,,-,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,1,,2,,,-,,-,0,,,-,,-,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,5,,3,,2,,,-,0,,,-,,-,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,10,,5,,1,,,-,0,,,-,,-,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,6,,1,,3,,,-,0,,,-,,-,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,0,,,-,2,,,-,0,,,-,,-,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,10,,35,,16,,,-,0,,,-,,-,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,13,,2,,7,,,-,0,,,-,,-,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,5,,,-,4,,,-,0,,,-,,-,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,15,,12,,3,,,-,0,,,-,,-,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,2,,55,,65,,37,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,29,,36,,22,,,-,0,,,-,,-,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,2,,21,,6,,6,,,-,0,,,-,,-,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,5,,,-,3,,,-,0,,,-,,-,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,,-,23,,15,,16,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200820,
