Data as of,State,Place of Death,Start week,End Week,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID19 Deaths",Footnote
05/06/2020,Colorado,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,11,443,0,33,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Colorado,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,14,0,0,0,0,
05/06/2020,Colorado,Decedent's Home,02/01/2020,05/02/2020,40,3961,0,111,18,20,
05/06/2020,Colorado,Hospice Facility,02/01/2020,05/02/2020,12,950,0,61,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Colorado,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,222,2930,0,270,115,19,
05/06/2020,Colorado,Other,02/01/2020,05/02/2020,,595,0,17,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Colorado,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Connecticut,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,173,788,0,146,65,19,
05/06/2020,Connecticut,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,10,132,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Connecticut,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,16,0,0,0,0,
05/06/2020,Connecticut,Decedent's Home,02/01/2020,05/02/2020,,367,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Connecticut,Hospice Facility,02/01/2020,05/02/2020,,27,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Connecticut,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,79,308,0,21,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Connecticut,Other,02/01/2020,05/02/2020,10,79,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Connecticut,Place of Death Unknown,02/01/2020,05/02/2020,0,157,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,21,459,0,81,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,98,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,Decedent's Home,02/01/2020,05/02/2020,,887,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,Hospice Facility,02/01/2020,05/02/2020,0,235,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,27,402,0,32,12,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Delaware,Other,02/01/2020,05/02/2020,0,111,0,0,0,0,
05/06/2020,Delaware,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,District of Columbia,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,75,797,0,179,75,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,District of Columbia,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,100,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,District of Columbia,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,District of Columbia,Decedent's Home,02/01/2020,05/02/2020,,379,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,District of Columbia,Hospice Facility,02/01/2020,05/02/2020,,66,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,District of Columbia,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,173,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,District of Columbia,Other,02/01/2020,05/02/2020,,90,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,District of Columbia,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Florida,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,848,14781,0,2663,469,200,
05/06/2020,Florida,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,30,3735,0,109,16,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Florida,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,60,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Florida,Decedent's Home,02/01/2020,05/02/2020,47,16468,0,316,25,26,
05/06/2020,Florida,Hospice Facility,02/01/2020,05/02/2020,77,11421,0,790,41,44,
05/06/2020,Florida,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,19,5632,0,199,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Florida,Other,02/01/2020,05/02/2020,38,5849,0,195,22,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Florida,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Georgia,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,452,5623,0,990,238,75,
05/06/2020,Georgia,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,38,1967,0,66,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Georgia,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,191,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Georgia,Decedent's Home,02/01/2020,05/02/2020,22,7226,0,105,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Georgia,Hospice Facility,02/01/2020,05/02/2020,,1764,0,146,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Georgia,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,66,3211,0,115,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Georgia,Other,02/01/2020,05/02/2020,0,1157,0,14,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Georgia,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,,798,0,131,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,243,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,116,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,Decedent's Home,02/01/2020,05/02/2020,,999,0,24,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,Hospice Facility,02/01/2020,05/02/2020,0,184,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,0,310,0,18,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,Other,02/01/2020,05/02/2020,0,313,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Hawaii,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Idaho,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,26,823,0,110,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,126,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,Decedent's Home,02/01/2020,05/02/2020,,1573,0,37,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,Hospice Facility,02/01/2020,05/02/2020,0,156,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,22,941,0,51,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,Other,02/01/2020,05/02/2020,0,161,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Idaho,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Illinois,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,1290,9236,0,2160,776,113,
05/06/2020,Illinois,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,66,2228,0,113,24,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Illinois,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,62,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Illinois,Decedent's Home,02/01/2020,05/02/2020,50,10114,0,223,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Illinois,Hospice Facility,02/01/2020,05/02/2020,22,1338,0,87,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Illinois,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,121,6528,0,347,38,23,
05/06/2020,Illinois,Other,02/01/2020,05/02/2020,34,1994,0,57,12,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Illinois,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Indiana,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,401,5037,0,1095,249,82,
05/06/2020,Indiana,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,680,0,23,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Indiana,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Indiana,Decedent's Home,02/01/2020,05/02/2020,18,5698,0,148,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Indiana,Hospice Facility,02/01/2020,05/02/2020,,802,0,61,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Indiana,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,157,4963,0,322,56,19,
05/06/2020,Indiana,Other,02/01/2020,05/02/2020,0,663,0,16,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Indiana,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,61,1868,0,298,22,39,
05/06/2020,Iowa,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,355,0,15,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,10,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,Decedent's Home,02/01/2020,05/02/2020,,2072,0,56,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,Hospice Facility,02/01/2020,05/02/2020,,773,0,59,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,50,2677,0,133,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,Other,02/01/2020,05/02/2020,,170,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Iowa,Place of Death Unknown,02/01/2020,05/02/2020,,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,77,1788,0,317,38,50,
05/06/2020,Kansas,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,287,0,12,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,Decedent's Home,02/01/2020,05/02/2020,,2137,0,44,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,Hospice Facility,02/01/2020,05/02/2020,,424,0,31,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,15,2029,0,83,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,Other,02/01/2020,05/02/2020,,346,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kansas,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Kentucky,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,102,3419,0,728,64,61,
05/06/2020,Kentucky,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,838,0,27,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kentucky,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,16,0,0,0,0,
05/06/2020,Kentucky,Decedent's Home,02/01/2020,05/02/2020,,3784,0,92,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kentucky,Hospice Facility,02/01/2020,05/02/2020,,1073,0,60,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kentucky,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,1852,0,100,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kentucky,Other,02/01/2020,05/02/2020,0,401,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Kentucky,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Louisiana,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,790,3652,0,704,351,52,
05/06/2020,Louisiana,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,38,748,0,49,18,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Louisiana,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,10,0,0,0,0,
05/06/2020,Louisiana,Decedent's Home,02/01/2020,05/02/2020,60,4293,0,72,18,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Louisiana,Hospice Facility,02/01/2020,05/02/2020,28,649,0,30,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Louisiana,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,116,2242,0,122,51,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Louisiana,Other,02/01/2020,05/02/2020,10,615,0,12,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Louisiana,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Maine,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,19,910,0,185,10,22,
05/06/2020,Maine,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,122,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maine,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maine,Decedent's Home,02/01/2020,05/02/2020,,1368,0,42,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maine,Hospice Facility,02/01/2020,05/02/2020,0,467,0,15,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maine,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,23,983,0,78,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maine,Other,02/01/2020,05/02/2020,0,189,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maine,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Maryland,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,513,3694,0,848,264,79,
05/06/2020,Maryland,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,42,937,0,45,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maryland,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,17,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maryland,Decedent's Home,02/01/2020,05/02/2020,30,4610,0,92,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maryland,Hospice Facility,02/01/2020,05/02/2020,51,1624,0,164,10,12,
05/06/2020,Maryland,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,179,2491,0,166,37,11,
05/06/2020,Maryland,Other,02/01/2020,05/02/2020,24,1350,0,29,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Maryland,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Massachusetts,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,1379,6033,0,1604,693,109,
05/06/2020,Massachusetts,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,58,1245,0,72,11,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
