File Number,Date,Source,Allegation,Status,Finding
14-0181,09/02/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
13-0263,09/24/2013,External,Use of Force (Count two),Completed,Exonerated
15-0123,07/06/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0214,10/22/2014,External,Conformance to Law,Completed,No Corrective Action Tak
15-0071,04/23/2015,External,Courtesy,Completed,No Corrective Action Tak
15-0105,06/16/2015,External,Courtesy,Completed,No Corrective Action Tak
13-0313,11/20/2013,External,Courtesy,Completed,Corrective Action Taken
13-0262,09/24/2013,Internal,Abuse of Authority,Completed,Corrective Action Taken
14-0179,08/25/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0113,06/29/2015,External,Use of Force,Completed,Administrative Closure
14-0125,06/11/2014,External,Conformance to Law,Completed,Corrective Action Taken
14-0122,06/10/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0150,07/14/2014,Internal,Conduct Unbecoming,Completed,Unfounded
13-0274,10/10/2013,External,Use of Force,Completed,Administrative Closure
15-0142,08/04/2015,External,Conformance to Law,Completed,Administrative Closure
14-0226,11/26/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
15-0016,02/10/2015,External,Discrimination/Harassment,Completed,Exonerated
13-0323,12/03/2013,External,Abuse of Authority,Completed,No Corrective Action Tak
16-0055,03/10/2016,External,Conf T/L Traffic,Completed,Corrective Action Taken
15-0200,11/09/2015,External,Neglect of Duty/Unsatisfactory Performance,Active,
16-0126,06/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
14-0193,09/24/2014,External,Use of Force,Completed,Exonerated
14-0080,04/23/2014,External,Conduct Unbecoming,Completed,Unfounded
14-0178,08/25/2014,External,Conf T/L Traffic,Completed,No Corrective Action Tak
14-0089,05/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0293,10/24/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0136,08/03/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0027,02/07/2014,Internal,Conformance to Law,Completed,Sustained
13-0263,09/24/2013,External,Conformance to Law (Count two),Completed,Administrative Closure
15-0173,09/21/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0206,08/06/2013,External,Conf T/L Traffic,Completed,No Corrective Action Tak
15-0188,10/19/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0300,11/05/2013,External,Courtesy,Completed,No Corrective Action Tak
16-0048,03/07/2016,Internal,Courtesy,Completed,Corrective Action Taken
13-0305,11/08/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
16-0068,04/04/2016,External,Conformance to Law,Completed,No Corrective Action Tak
14-0192,09/24/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0201,10/01/2014,External,Conf T/L Traffic,Completed,Corrective Action Taken
14-0014,01/29/2014,Internal,Property,Completed,Administrative Closure
13-0236,09/03/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0235,09/03/2013,External,Courtesy,Completed,Administrative Closure
15-0105,06/16/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0011,01/23/2014,External,Courtesy,Completed,Corrective Action Taken
13-0276,10/10/2013,External,Courtesy,Completed,No Corrective Action Tak
13-0261,09/20/2013,Internal,Untruthful Statements,Completed,Administrative Closure
13-0211,08/13/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0137,06/23/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0228,12/01/2014,External,Use of Force,Completed,No Corrective Action Tak
14-0078,04/22/2014,External,Courtesy,Completed,Corrective Action Taken
14-0193,09/24/2014,External,Courtesy,Completed,Exonerated
14-0074,04/16/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0234,12/11/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0232,12/08/2014,External,Conformance to Law,Completed,Administrative Closure
15-0179,09/29/2015,External,Conformance to Law,Completed,No Corrective Action Tak
14-0168,08/13/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
13-0336,12/09/2013,External,Carry Credent/Identification,Completed,No Corrective Action Tak
16-0070,04/04/2016,External,Courtesy,Completed,No Corrective Action Tak
14-0027,02/07/2014,Internal,Conformance to Law,Completed,Unfounded
13-0280,10/14/2013,Internal,Conduct Unbecoming,Completed,Administrative Closure
13-0339,12/11/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0049,03/14/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
14-0068,04/07/2014,External,Conf T/L Traffic,Completed,Declined
13-0303,11/07/2013,Internal,Courtesy,Completed,Unfounded
13-0262,09/24/2013,Internal,Conf T/L Traffic,Completed,Corrective Action Taken
13-0309,11/12/2013,External,Conf T/L Traffic,Completed,No Corrective Action Tak
14-0091,05/02/2014,External,Conf T/L Traffic,Completed,No Corrective Action Tak
14-0168,08/13/2014,External,Conformance to Law,Completed,Exonerated
14-0025,02/06/2014,Internal,Use of Force,Completed,Administrative Closure
14-0012,01/29/2014,External,Courtesy,Completed,Insufficent Evidence
14-0054,03/19/2014,External,Courtesy,Completed,Corrective Action Taken
15-0140,08/04/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0126,06/18/2014,External,Courtesy,Completed,Corrective Action Taken
14-0065,04/04/2014,External,Carry Credent/Identification,Completed,Corrective Action Taken
14-0193,09/24/2014,External,Untruthful Statements,Completed,Insufficent Evidence
15-0112,06/24/2015,External,Discrimination/Harassment,Completed,No Corrective Action Tak
14-0245,12/19/2014,Internal,Conformance to Law,Completed,Administrative Closure
13-0239,09/05/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0203,08/06/2013,Internal,Conduct Unbecoming,Completed,Sustained
13-0261,09/20/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0060,03/16/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0215,08/13/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0047,03/18/2015,Internal,Conformance to Law,Completed,Sustained
14-0117,06/03/2014,Internal,Punctuality,Completed,Sustained
16-0010,01/13/2016,Internal,Conformance to Law,Completed,Administrative Closure
14-0002,01/07/2014,Internal,Untruthful Statements,Completed,Insufficent Evidence
13-0214,08/13/2013,External,Courtesy,Completed,
14-0092,05/06/2014,External,Conf T/L Traffic,Completed,No Corrective Action Tak
14-0009,01/15/2014,Internal,Conduct Unbecoming,Completed,Corrective Action Taken
16-0011,01/14/2016,External,Courtesy,Completed,Sustained
15-0087,05/18/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0005,01/08/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0060,04/09/2015,Internal,Conduct Unbecoming,Completed,Administrative Closure
14-0194,09/26/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
14-0048,03/10/2014,Internal,Conformance to Law,Completed,Unfounded
15-0052,04/01/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0160,07/31/2014,External,Courtesy,Completed,Corrective Action Taken
14-0230,12/02/2014,External,Discrim/Race/Sex,Completed,No Corrective Action Tak
13-0255,09/17/2013,External,Abuse of Authority,Completed,Exonerated
16-0079,04/14/2016,External,Conf T/L Traffic,Completed,No Corrective Action Tak
15-0190,10/19/2015,External,Conduct Unbecoming,Completed,Administrative Closure
15-0163,09/08/2015,External,Conduct Unbecoming,Completed,Unfounded
15-0094,05/27/2015,External,Use of Force,Completed,Insufficent Evidence
15-0104,06/10/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0190,09/22/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0096,05/07/2014,Internal,Conformance to Law,Completed,Unfounded
13-0347,12/30/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0101,06/04/2015,External,Courtesy,Completed,No Corrective Action Tak
13-0318,12/02/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
14-0125,06/11/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0087,05/18/2015,External,Courtesy,Completed,No Corrective Action Tak
16-0050,03/07/2016,External,Conformance to Law,Completed,No Corrective Action Tak
13-0251,09/13/2013,External,Use of Force,Completed,Declined
14-0061,04/03/2014,External,Abuse of Authority,Completed,No Corrective Action Tak
14-0129,06/19/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0071,04/11/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0227,12/01/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0050,03/14/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0176,09/23/2015,Internal,Abuse of Authority,Completed,Administrative Closure
13-0335,12/09/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0073,04/16/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0271,10/04/2013,Internal,Compliance with Orders,Completed,Sustained
15-0144,08/05/2015,Internal,Conformance to Law,Completed,No Corrective Action Tak
15-0115,06/30/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0210,10/16/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0051,03/14/2014,External,Conduct Unbecoming,Completed,Corrective Action Taken
13-0350,01/02/2014,External,Courtesy,Completed,No Corrective Action Tak
13-0231,08/28/2013,Internal,Conduct Unbecoming,Completed,Sustained
15-0219,12/04/2015,External,Conformance to Law,Completed,No Corrective Action Tak
14-0190,09/22/2014,External,Courtesy,Completed,No Corrective Action Tak
15-0045,03/16/2015,External,Untruthful Statements,Completed,Administrative Closure
14-0133,06/20/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0101,05/14/2014,External,Secondary Employment,Completed,No Corrective Action Tak
14-0033,02/20/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0078,05/05/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0139,06/27/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0095,05/06/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0205,10/13/2014,External,Conformance to Law,Completed,Administrative Closure
13-0284,10/17/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
13-0327,12/04/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0149,07/10/2014,External,Conformance to Law,Completed,No Corrective Action Tak
16-0090,04/22/2016,External,Conf T/L Traffic,Completed,Corrective Action Taken
15-0135,07/31/2015,External,Conduct Unbecoming,Completed,No Corrective Action Tak
13-0267,09/25/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0094,05/27/2015,External,Conduct Unbecoming,Completed,Insufficent Evidence
13-0322,12/02/2013,External,Abuse of Authority,Completed,
15-0076,05/04/2015,External,Conf T/L Traffic,Completed,Corrective Action Taken
14-0081,04/24/2014,External,Courtesy,Completed,No Corrective Action Tak
15-0051,03/26/2015,External,Abuse of Authority,Completed,Declined
14-0153,07/16/2014,Internal,Maintenance of Property,Completed,Sustained
15-0002,01/07/2015,External,Use of Force,Completed,Exonerated
14-0216,10/27/2014,External,,Completed,
17-0050,02/16/2017,Internal,,Completed,
15-0031,03/09/2015,,,Completed,
14-0243,12/16/2014,Internal,Punctuality,Completed,Administrative Closure
16-0020,02/01/2016,External,Courtesy,Completed,Corrective Action Taken
13-0265,09/25/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0081,05/07/2015,External,Conformance to Law,Completed,Corrective Action Taken
15-0003,01/08/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0278,10/10/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0050,03/14/2014,External,Conformance to Law,Completed,Unfounded
13-0281,10/14/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
14-0182,09/02/2014,Internal,Conformance to Law,Completed,Administrative Closure
14-0035,02/21/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0116,06/30/2015,External,Courtesy,Completed,No Corrective Action Tak
15-0159,09/03/2015,External,Conformance to Law,Completed,Declined
15-0228,12/22/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
15-0160,09/03/2015,External,Abuse of Authority,Completed,Administrative Closure
14-0026,02/06/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
13-0257,09/17/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
14-0193,09/24/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
15-0190,10/19/2015,External,Courtesy,Completed,Administrative Closure
14-0157,07/21/2014,External,Discrimination/Harassment,Completed,Corrective Action Taken
15-0008,01/23/2015,External,Courtesy,Completed,No Corrective Action Tak
13-0232,08/29/2013,External,Use of Force,Completed,Exonerated
16-0032,02/16/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0149,08/19/2015,Internal,Conformance to Law,Completed,Sustained
14-0218,10/30/2014,Internal,Conduct Unbecoming,Completed,No Corrective Action Tak
14-0127,06/19/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
15-0016,02/10/2015,External,Conformance to Law,Completed,Sustained
14-0141,07/01/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
14-0240,12/16/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0117,06/30/2015,External,Courtesy,Completed,Corrective Action Taken
15-0154,08/24/2015,External,Conformance to Law,Completed,Corrective Action Taken
14-0150,07/14/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0068,04/17/2015,External,Conformance to Law,Completed,Declined
14-0202,10/10/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0120,07/01/2015,Internal,Conduct Unbecoming,Completed,Exonerated
13-0220,08/19/2013,External,Courtesy,Completed,No Corrective Action Tak
13-0221,08/19/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
13-0208,08/12/2013,External,Courtesy,Completed,No Corrective Action Tak
15-0228,12/22/2015,External,Secondary Employment,Completed,Administrative Closure
13-0263,09/24/2013,External,Courtesy,Completed,Unfounded
15-0110,06/23/2015,External,Conduct Unbecoming,Completed,Insufficent Evidence
15-0206,11/17/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0082,04/24/2014,Internal,Conformance to Law,Completed,Exonerated
13-0200,08/06/2013,External,Neglect of Duty,Completed,Declined
13-0232,08/29/2013,External,Courtesy,Completed,Exonerated
14-0015,01/30/2014,Internal,Punctuality,Completed,Sustained
13-0326,12/04/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0167,09/14/2015,Internal,Conduct Unbecoming,Completed,No Corrective Action Tak
15-0168,09/14/2015,External,Conformance to Law,Completed,Administrative Closure
13-0320,12/02/2013,External,Use of Force,Completed,Administrative Closure
14-0010,01/23/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0269,10/01/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
13-0220,08/19/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0120,06/06/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0076,04/11/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0158,07/23/2014,Internal,Use of Force,Completed,Exonerated
13-0243,09/09/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0186,09/09/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0017,02/18/2015,External,Carry Credent/Identification,Completed,No Corrective Action Tak
14-0012,01/29/2014,External,Abuse of Authority,Completed,Unfounded
16-0032,02/16/2016,External,Abuse of Authority,Completed,No Corrective Action Tak
15-0151,08/20/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0185,09/08/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
14-0142,07/02/2014,External,Courtesy,Completed,Corrective Action Taken
15-0004,01/08/2015,External,Courtesy,Completed,Corrective Action Taken
14-0245,12/19/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
14-0176,08/25/2014,External,Courtesy,Completed,Corrective Action Taken
14-0143,07/02/2014,Internal,Courtesy,Completed,No Corrective Action Tak
15-0002,01/07/2015,External,Conformance to Law,Completed,Exonerated
13-0289,10/23/2013,External,Courtesy,Completed,
15-0145,08/06/2015,External,Conformance to Law,Completed,Corrective Action Taken
14-0093,05/06/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0202,10/10/2014,Internal,Untruthful Statements,Completed,Exonerated
14-0036,02/24/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0026,03/04/2015,External,Discrimination/Harassment,Completed,No Corrective Action Tak
13-0222,08/19/2013,External,courtesy,Completed,Corrective Action Taken
13-0286,10/18/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0149,08/19/2015,Internal,Maintenance of Property,Completed,Policy Failure
16-0082,04/18/2016,External,Conformance to Law,Completed,No Corrective Action Tak
14-0195,09/26/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
15-0113,06/29/2015,External,Abuse of Authority,Completed,Administrative Closure
15-0023,02/27/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0181,09/02/2014,Internal,Maintenance of Property,Completed,Sustained
15-0133,07/23/2015,Internal,Maintenance of Property,Completed,Administrative Closure
16-0037,02/18/2016,Internal,Use of Force,Completed,Exonerated
13-0240,09/09/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0047,03/18/2015,Internal,Maintenance of Property,Completed,Sustained
14-0058,03/27/2014,Internal,Conformance to Law,Completed,Administrative Closure
14-0126,06/18/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0202,11/12/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0030,02/10/2014,External,Conduct Unbecoming,Completed,Exonerated
14-0008,01/14/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence
14-0194,09/26/2014,External,Conformance to Law,Completed,Insufficent Evidence
14-0013,01/29/2014,Internal,Conformance to Law Re: Criminal,Completed,Administrative Closure
13-0334,12/09/2013,External,Courtesy,Completed,Corrective Action Taken
15-0081,05/07/2015,External,Conduct Unbecoming,Completed,Corrective Action Taken
15-0063,04/16/2015,External,Courtesy,Completed,Declined
13-0218,08/13/2013,External,Courtesy,Completed,Corrective Action Taken
14-0057,03/24/2014,Internal,Conformance to Law,Completed,Sustained
15-0181,09/29/2015,External,Conduct Unbecoming,Completed,Administrative Closure
14-0079,04/23/2014,Internal,Conformance to Law,Completed,Unfounded
13-0307,11/12/2013,External,Courtesy,Completed,Corrective Action Taken
13-0243,09/09/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0141,07/01/2014,Internal,Conformance to Law Deadly Force,Completed,Exonerated
14-0156,07/21/2014,External,Courtesy,Completed,No Corrective Action Tak
16-0061,03/16/2016,External,Courtesy,Completed,No Corrective Action Tak
14-0058,03/27/2014,Internal,Property,Completed,Administrative Closure
15-0013,01/30/2015,External,Courtesy,Completed,Declined
14-0161,07/31/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0099,06/03/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0222,11/06/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0052,03/14/2014,External,Courtesy,Completed,No Corrective Action Tak
15-0127,07/13/2015,External,Conformance to Law,Completed,Sustained
14-0167,08/13/2014,External,Use of Force,Completed,Exonerated
14-0012,01/29/2014,External,Conduct Unbecoming,Completed,Insufficent Evidence
15-0155,08/24/2015,External,Conformance to Law,Completed,No Corrective Action Tak
