Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
KANSAS,2019,2,,-,3,,2,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2019,2,4,,117,,4,,117,,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2019,2,,-,15,,,-,2,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OHIO,2019,2,,-,6,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
WEST NORTH CENTRAL,2019,2,,-,5,,2,,,-,,-,0,,,-,,-,,
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
NEW YORK CITY,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
INDIANA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
IOWA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OREGON,2019,2,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEBRASKA,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALABAMA,2019,2,2,,4,,2,,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MOUNTAIN,2019,2,,-,4,,,-,1,,,-,1,,,-,,-,,
US RESIDENTS,2019,2,13,,139,,25,,153,,,-,1,,,-,,-,,
MIDDDLE ATLANTIC,2019,2,1,,29,,4,,11,,,-,0,,,-,,-,,
NEW HAMPSHIRE,2019,2,1,,3,,2,,3,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PACIFIC,2019,2,1,,12,,1,,2,,,-,0,,,-,,-,,
WYOMING,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TOTAL,2019,2,13,,139,,25,,153,,,-,1,,,-,,-,,
LOUISIANA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2019,2,1,,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2019,2,2,,5,,2,,2,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEVADA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2019,2,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
AMERICAN SAMOA,2019,2,,U,,NC,,U,,U,,-,0,,,-,,-,,
WEST SOUTH CENTRAL,2019,2,,-,15,,1,,2,,,-,0,,,-,,-,,
NEW YORK,2019,2,1,,29,,4,,11,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
CONNECTICUT,2019,2,,-,3,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
COLORADO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DISTRICT OF COLUMBIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2019,2,,-,11,,,-,6,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2019,2,,-,10,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2019,3,,-,11,,6,,7,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IOWA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2019,3,5,,30,,7,,147,,,-,1,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2019,3,,-,10,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2019,3,,-,15,,,-,2,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
PENNSYLVANIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2019,3,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
SOUTH ATLANTIC,2019,3,7,,33,,21,,161,,,-,1,,,-,1,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,3,,-,8,,2,,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
KENTUCKY,2019,3,,-,8,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW ENGLAND,2019,3,,-,13,,4,,7,,,-,0,,,-,,-,,NEW ENGLAND
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEBRASKA,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WISCONSIN,2019,3,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH DAKOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2019,3,2,,17,,8,,7,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MONTANA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
OHIO,2019,3,1,,6,,1,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
EAST NORTH CENTRAL,2019,3,1,,24,,3,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
CALIFORNIA,2019,3,,-,9,,,-,2,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OREGON,2019,3,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MIDDDLE ATLANTIC,2019,3,7,,29,,11,,16,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
IDAHO,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
TOTAL,2019,3,17,,75,,47,,192,,,-,1,,,-,1,,,TOTAL
NEW YORK CITY,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
INDIANA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
US RESIDENTS,2019,3,17,,75,,47,,192,,,-,1,,,-,1,,,US RESIDENTS
LOUISIANA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2019,3,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2019,3,1,,3,,3,,1,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2019,3,,-,3,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WASHINGTON,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2019,3,,-,4,,2,,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
DISTRICT OF COLUMBIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2019,3,,-,13,,1,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
PACIFIC,2019,3,,-,12,,1,,2,,,-,0,,,-,,-,,PACIFIC
AMERICAN SAMOA,2019,3,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
ALASKA,2019,3,,-,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2019,3,,-,4,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
UTAH,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
MOUNTAIN,2019,3,,-,4,,,-,1,,,-,1,,,-,,-,,MOUNTAIN
OKLAHOMA,2019,3,1,,8,,2,,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH CAROLINA,2019,3,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2019,3,,-,5,,2,,2,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2019,3,,-,3,,2,,3,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEW YORK,2019,3,7,,29,,11,,16,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2019,3,,-,0,,,-,1,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WEST NORTH CENTRAL,2019,3,1,,5,,3,,1,,,-,0,,,-,,-,,WEST NORTH CENTRAL
WEST SOUTH CENTRAL,2019,3,1,,15,,2,,2,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MASSACHUSETTS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MICHIGAN,2019,3,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2019,4,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
INDIANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
DISTRICT OF COLUMBIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
HAWAII,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2019,4,,-,13,,1,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ALABAMA,2019,4,,-,4,,2,,1,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TOTAL,2019,4,12,,75,,61,,246,,,-,1,,,-,1,,,TOTAL
MIDDDLE ATLANTIC,2019,4,3,,29,,14,,38,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
MASSACHUSETTS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2019,4,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MICHIGAN,2019,4,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH ATLANTIC,2019,4,7,,24,,27,,184,,,-,1,,,-,1,,,SOUTH ATLANTIC
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
