Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
"MIDLAND CREDIT MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,09/05/2019,09/30/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,3111,CAMINO DEL RIO N,103,SAN DIEGO,CA,92108,11219,,
EMPIRE TODAY LLC,Home Improvement Contractor - 100,Surcharge/Overcharge - S02,03/03/2020,04/03/2020,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1675.00,333,NORTHWEST AVE,,NORTHLAKE,IL,60164,,-74.1776209763425,40.55496709192569
"MISS HOME IMPROVEMENT, LLC",Home Improvement Contractor - 100,Quality of Work - Q01,12/14/2018,01/24/2019,Advised to Sue - ATS,No,0.00,244,5TH AVE,,NEW YORK,NY,10001,,-73.94181282781828,40.824730217166895
MR.SANDLESS OF GREATER NEW YORK,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,07/02/2019,08/02/2019,Advised to Sue - ATS,No,0.00,2528,BALSAM AVE,,EAST MEADOW,NY,11554,11207,,
JOHAN HERNANDEZ ATELIER CORP,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,07/17/2019,08/19/2019,Advised to Sue - ATS,No,0.00,325,W 38TH ST,1009,NEW YORK,NY,10018,10459,-73.99253929750424,40.755099848430675
THE MANHATTAN AT TIMES SQUARE HOTEL,Hotel/Motel - 460,Surcharge/Overcharge - S02,06/06/2019,07/01/2019,Credit Card Refund and/or Contract Cancelled - CRC,Yes,353.00,790,7TH AVE,,NEW YORK,NY,10019,2010,-73.9826115482865,40.76200455438324
1580 HYLAN BLVD AUTO LLC,Secondhand Dealer Auto - 005,Misrepresentation - M01,02/28/2020,04/22/2020,Unable to Locate Business - ULV,NA,0.00,1580,HYLAN BLVD,,STATEN ISLAND,NY,10305,10314,-74.08442003036308,40.59761789232282
EUROREMONT INC.,Home Improvement Contractor - 100,Breach of Contract - B03,03/09/2020,04/03/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,2245,MILL AVE,,BROOKLYN,NY,11234,11209,-73.91138223978112,40.613183222330655
MOBILESHACK INC,Electronic Store - 001,Surcharge/Overcharge - S02,04/09/2019,04/11/2019,Credit Card Refund and/or Contract Cancelled - CRC,Yes,566.00,566,FASHION AVE,,NEW YORK,NY,10018,,,
COAST TO COAST BUILDERS NY INC,Home Improvement Contractor - 100,Quality of Work - Q01,05/08/2019,06/03/2019,Advised to Sue - ATS,No,0.00,2475,BELMONT AVE,4,BRONX,NY,10458,20748,-73.88483167725354,40.85648760740339
TOPVIEW SIGHTSEEING NEW YORK,Sightseeing Bus - 078,Surcharge/Overcharge - S02,09/09/2019,10/01/2019,Advised to Sue - ATS,No,0.00,2,E 42ND ST,,NEW YORK,NY,10017,11764,-73.98065392916737,40.75337202022346
CIGATE GROUP CORP,Home Improvement Contractor - 100,,08/15/2019,09/18/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1440,HOLLYWOOD AVE,,BRONX,NY,10461,10473,-73.86094114633055,40.81642688795525
"JENNIFER CONVERTIBLES, INC.",Furniture Sales - 242,Advertising/Misleading - A02,12/20/2018,01/10/2019,Goods Received - GDR,Yes,1350.00,229,LIVINGSTON ST,,BROOKLYN,NY,11201,10473,-73.83139518658652,40.868059431488774
H&A QUEENS PLUMBING,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,12/21/2018,01/09/2019,Cash Amount - AMT,Yes,250.00,8947,215TH PL,,QUEENS VILLAGE,NY,11427,11427,,
BROADWAY & 64TH PARKING LLC,Garage - 049,Damage / Estimate,10/02/2019,10/28/2019,Cash Amount - AMT,Yes,3224.00,270,MADISON AVE,2,NEW YORK,NY,10016,10023,,
ETEAM WIRELESS INC,Electronic Store - 001,Defective Goods - D02,11/19/2019,12/09/2019,Cash Amount - AMT,Yes,60.00,7316A,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,10030,,
RESTORATION MANAGEMENT PLUS INC,Home Improvement Contractor - 100,Breach of Contract - B03,01/17/2020,02/06/2020,Advised to Sue - ATS,No,0.00,31,CASINO ST,3C,FREEPORT,NY,11520,11432,-73.77727254885646,40.72157434606261
BEAR TRANSPORTATION LLC,Tow Truck Company - 124,Misrepresentation - M01,05/08/2019,05/23/2019,Complaint Invalid - CIN,NA,0.00,953,COLGATE AVE,,BRONX,NY,10473,10462,-73.88055886141574,40.82224298493549
PATRIOT HOME REMODELING INC.,Home Improvement Contractor - 100,Damaged Goods - D01,07/03/2019,07/15/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,2442,LEGION ST,,BELLMORE,NY,11710,11434,,
APNA BAZAR CASH AND CARRY,Misc Non-Food Retail - 817,Credit Card Limitations Not Posted,02/19/2019,03/08/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,11318,LIBERTY AVE,,SOUTH RICHMOND HILL,NY,11419,11373,-73.82922474461722,40.685462351376394
"FLORES, JOSE P",Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/13/2020,03/13/2020,Cash Amount - AMT,Yes,10000.00,12,WALNUT ST,,GREENVALE,NY,11548,11360,-73.77484252900497,40.77878681486509
EAST 98TH ST FURNITURE SHOWROOM,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,06/04/2019,07/15/2019,No Satisfactory Agreement - NSA,No,0.00,112,E 98TH ST,,BROOKLYN,NY,11212,11229,-73.92204152450891,40.664186350007114
Group Solar USA LLC,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,07/17/2019,08/15/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,3333,HENRY HUDSON PKWY,1A,BRONX,NY,10463,11426,-73.91374965052465,40.88555447037561
CONSTRUCTION COMPANY OF THE FUTURE INC.,Home Improvement Contractor - 100,Quality of Work - Q01,03/15/2019,04/04/2019,Cash Amount - AMT,Yes,3000.00,1536,COMMONWEALTH AVE,,BRONX,NY,10460,10469,-73.86915624203671,40.838646758610935
LOWE'S,Appliances - 244,Defective Goods - D02,07/26/2019,08/06/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1000,LOWES BLVD,,MOORESVILLE,NC,28117,11221,,
HAIM TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,02/04/2020,03/13/2020,Advised to Sue - ATS,No,0.00,1979,STILLWELL AVE,,BROOKLYN,NY,11223,11230,-73.99241702098571,40.592661350479844
MOBILESHACK INC,Electronic Store - 001,Surcharge/Overcharge - S02,01/02/2020,02/12/2020,Advised to Sue - ATS,No,0.00,566,FASHION AVE,,NEW YORK,NY,10018,,,
JIMMY'S BROOKLYN,Retail Store - 820,Exchange Goods/Contract Cancelled - E01,06/13/2019,07/18/2019,No Business Response - NVR,No,0.00,360,AVENUE U,,BROOKLYN,NY,11223,11000,-73.97092992643344,40.59722526894691
"LEE, KUN HEE",Dry Cleaners - 230,Non-Delivery of Goods - N01,04/02/2019,04/17/2019,No Consumer Response - NCR,NA,0.00,2056,78TH ST,1RR,BROOKLYN,NY,11214,11238,-73.96638017193149,40.686651877630034
ASTOR PARKING LLC,Parking Lot - 050,Surcharge/Overcharge - S02,07/15/2019,08/26/2019,Credit Card Refund and/or Contract Cancelled - CRC,Yes,23.00,270,MADISON AVE,2 FL,NEW YORK,NY,10016,,-73.98580355106148,40.75763535980379
LUGGAGE FREE,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,06/03/2019,07/08/2019,Advised to Sue - ATS,No,0.00,3718,57TH ST,,WOODSIDE,NY,11377,11354,-73.90542563003154,40.749967014168035
HARLEM FURNITURE,Furniture Sales - 242,Damaged Goods - D01,03/06/2020,04/14/2020,Unable to Locate Business - ULV,NA,0.00,560,RIVER AVE,,BRONX,NY,10451,10458,-73.92996317216074,40.819698050536076
,Furniture Sales - 242,Non-Delivery of Goods - N01,04/26/2019,05/24/2019,Consumer Took Action - CTA,No,0.00,,,,,,,11358,-73.83405387160332,40.75745083502987
METROPOLITAN HOME IMPROVEMENTS INC.,Home Improvement Contractor - 100,Quality of Work - Q01,05/01/2019,05/02/2019,Goods Repaired - GRS,Yes,2500.00,98,HAYPATH RD,,BETHPAGE,NY,11714,11203,,
CROSSBAY HONDA SUZUKI,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,09/09/2019,10/04/2019,Cash Amount - AMT,Yes,200.00,16401,CROSSBAY BLVD,,HOWARD BEACH,NY,11414,11223,-73.8377325184999,40.65056378293431
"AMERICAN OUTLET 118, INC.",Furniture Sales - 242,Non-Delivery of Goods - N01,01/06/2020,01/22/2020,Goods Received - GDR,Yes,60.00,2151,3RD AVE,,NEW YORK,NY,10035,10029,-73.93932160725785,40.79887639308568
AT&T MOBILITY,Other,Misrepresentation - M01,08/12/2019,08/28/2019,Cash Amount - AMT,Yes,107.00,3051,BIENVILLE BLVD,,OCEAN SPRINGS,MS,39564,11236,,
V.I.M. BEACH 20TH ST,Retail Store - 820,Exchange Goods/Contract Cancelled - E01,01/06/2020,02/18/2020,Advised to Sue - ATS,No,0.00,1008,BEACH 20TH ST,,FAR ROCKAWAY,NY,11691,11691,-73.75323857763345,40.60268144923078
BEN & NINO AUTO REPAIR INC.,Tow Truck Company - 124,Billing Dispute - B02,03/22/2019,04/18/2019,Cash Amount - AMT,Yes,82.00,2449,CONEY ISLAND AVE,,BROOKLYN,NY,11223,11224,-73.96109229009257,40.597181187348376
SUNRISE DECORATING AND CONTRACTING INC.,Home Improvement Contractor - 100,Quality of Work - Q01,12/07/2018,01/17/2019,Cash Amount - AMT,Yes,1900.00,2864,BRIGHTON 4TH ST,1,BROOKLYN,NY,11235,11433,,
SABAN AJDINOVSKI,Home Improvement Contractor - 100,Breach of Contract - B03,11/06/2019,12/09/2019,Advised to Sue - ATS,No,0.00,254,FANNING ST,,STATEN ISLAND,NY,10314,10306,-74.12281601534715,40.605082065085014
HAIM TOWING INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/26/2019,05/21/2019,No Satisfactory Agreement - NSA,No,0.00,1979,STILLWELL AVE,,BROOKLYN,NY,11223,11230,-73.99241702098571,40.592661350479844
"TOWER WEST CLEANERS, INC.",Dry Cleaners - 230,Damaged Goods - D01,01/29/2019,02/14/2019,Advised to Sue - ATS,No,0.00,161,AMSTERDAM AVE,,NEW YORK,NY,10023,10023,-73.98385364485596,40.775566496365364
RESURGENT CAPITAL SERVICES L.P.,Debt Collection Agency - 122,Billing Dispute - B02,08/02/2019,08/20/2019,Bill Reduced - BLR,Yes,0.00,55,BEATTIE PL,210,GREENVILLE,SC,29601,11423,,
GENTLE BUILDERS INC.,Home Improvement Contractor - 100,Breach of Contract - B03,04/23/2019,07/02/2019,Advised to Sue - ATS,No,0.00,482,HINSDALE ST,,BROOKLYN,NY,11207,11207,-73.98253950866325,40.692556719613464
DYNASTY TOOL RENTAL & FLOOR SUPPLY,Floor Coverings - 241,Exchange Goods/Contract Cancelled - E01,11/19/2019,01/10/2020,No Satisfactory Agreement - NSA,No,0.00,1043,MCDONALD AVE,,BROOKLYN,NY,11230,11801,-73.97658345952378,40.62769102892454
BIG CITY AUTO BODY & TOWING SERVICE CORP OF NY,Tow Truck Company - 124,Billing Dispute - B02,02/22/2019,04/01/2019,Advised to Sue - ATS,No,0.00,3724,13TH ST,,LONG IS CITY,NY,11101,11214,-73.93945924005088,40.75874018233031
"FOWLER, RADEISHA",Home Improvement Contractor - 100,Non-Delivery of Service - N02,04/25/2019,05/28/2019,Advised to Sue - ATS,No,0.00,21735,HOLLIS AVE,,QUEENS VILLAGE,NY,11429,11225,-73.7401809479471,40.71086062396933
GF AUTO SALES LLC,Secondhand Dealer Auto - 005,Defective Goods - D02,11/04/2019,12/02/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,330,E COMMERCE ST,370,BRIDGETON,NJ,08302,,-73.89508942951718,40.85053040375107
KWIK AUTOMOTIVE LLC,Tow Truck Company - 124,Misrepresentation - M01,01/28/2020,02/24/2020,Cash Amount - AMT,Yes,100.00,3821,23RD ST,,LONG ISLAND CITY,NY,11101,11370,,
PALM DISTRIBUTORS,Mailorder Misc - 319,,06/11/2019,07/12/2019,Advised to Sue - ATS,No,0.00,240,KENT AVE,,BROOKLYN,NY,11249,,-73.96552085061542,40.716783663452475
CASH NOW INC,Pawnbroker - 080,Non-Delivery of Goods - N01,03/08/2019,04/09/2019,Advised to Sue - ATS,No,0.00,1186,BAY ST,,STATEN ISLAND,NY,10305,10305,,
"CYPRESS MOTORS OF RIDGEWOOD INC,",Secondhand Dealer Auto - 005,Damaged Goods - D01,05/16/2019,07/15/2019,No Satisfactory Agreement - NSA,No,0.00,7903,CYPRESS AVE,,RIDGEWOOD,NY,11385,11212,-73.89801767545043,40.694664758185006
JRI FOOD CORP,Supermarket - 819,Surcharge/Overcharge - S02,02/10/2020,02/18/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,17111,LINDEN BLVD,,JAMAICA,NY,11434,11433,-73.77893005684375,40.69172539292981
"ROBIN'S JEWELRY, INC.",Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,01/22/2019,01/30/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,132,DELANCEY ST,,NEW YORK,NY,10002,32725,-73.98733066532452,40.71828676839578
36 CLEANER INC,Dry Cleaners - 230,Damaged Goods - D01,03/12/2019,03/21/2019,Advised to Sue - ATS,No,0.00,224,LEXINGTON AVE,,NEW YORK,NY,10016,10018,-73.98006060773548,40.74595561027242
GREAT SCOT CLEANERS,Dry Cleaners - 230,Damaged Goods - D01,06/20/2019,07/24/2019,Advised to Sue - ATS,No,0.00,15650,NORTHERN BLVD,,FLUSHING,NY,11354,11358,,
P. C. RICHARD & SON LONG ISLAND CORPORATION,Electronic Store - 001,Surcharge/Overcharge - S02,01/16/2019,02/05/2019,Referred to Outside - RTO,NA,0.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,11357,-73.9148403589507,40.74272272897521
"MAJOR WORLD CHEVROLET, L.L.C.",Secondhand Dealer Auto - 005,Misrepresentation - M01,03/26/2019,04/11/2019,Referred to Manufacturer - RMF,NA,0.00,4340,NORTHERN BLVD,,LONG ISLAND CITY,NY,11101,11221,,
MVR SERVICES NETWORK,Mailorder Misc - 319,Misrepresentation - M01,04/23/2019,05/21/2019,Unable to Locate Business - ULV,NA,0.00,PO BOX,P O BOX 720370,,DORAL,FL,33172,10460,,
TOPVIEW SIGHTSEEING,Sightseeing Guide - 021,Non-Delivery of Service - N02,02/10/2020,03/02/2020,No Consumer Response - NCR,NA,0.00,2,E 42ND ST,,NEW YORK,NY,10017,11375,,
NB FURNITURE INC.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,09/16/2019,10/08/2019,Cash Amount - AMT,Yes,300.00,1136,FLATBUSH AVE,,BROOKLYN,NY,11226,,-73.95768568261688,40.64288626105726
SEVEN DAYS DELI AND GROCERY INC.,Grocery-Retail - 808,Damaged Goods - D01,03/09/2020,04/01/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,9201,FOSTER AVE,,BROOKLYN,NY,11236,10547,,
MATTRESS FIRM,Furniture Sales - 242,Satisfaction With Provider,09/17/2019,10/16/2019,Bill Reduced - BLR,Yes,750.00,5815,GULF FWY,,HOUSTON,TX,77023,10306,-74.10822020689318,40.57198618322286
"AT&T MOBILITY SUPPLY, LLC",Electronic Store - 001,Misrepresentation - M01,03/22/2019,05/17/2019,No Business Response - NVR,No,0.00,208,S AKARD ST,,DALLAS,TX,75202,10002,,
"LARFAOUI, FAICAL",Electronic & Home Appliance Service Dealer - 115,Misrepresentation - M01,09/26/2019,10/23/2019,Referred to Outside - RTO,NA,0.00,3015,MIDDLETOWN RD,,BRONX,NY,10461,10461,,
XTREME AUTOMOTIVE INC.,Tow Truck Company - 124,Misrepresentation - M01,02/04/2020,02/28/2020,Cash Amount - AMT,Yes,136.00,15140,88TH ST,6B,HOWARD BEACH,NY,11414,11434,-73.77174120555547,40.76500756712077
HOME DEPOT USA INC,Home Improvement Contractor - 100,Quality of Work - Q01,12/07/2018,01/08/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,2455,PACES FERRY RD SE,,ATLANTA,GA,30339,11429,,
BEST FURNITURE,Furniture Sales - 242,Damaged Goods - D01,04/11/2019,05/03/2019,Advised to Sue - ATS,No,0.00,17026,JAMAICA AVE,,JAMAICA,NY,11432,11435,-73.78926977387457,40.70729668261213
EARL CONSTRUCTION INC.,Home Improvement Contractor - 100,Quality of Work - Q01,09/13/2019,10/04/2019,Advised to Sue - ATS,No,0.00,15010,107TH AVE,,JAMAICA,NY,11433,11691,,
WINSTON A HOME IMPROVEMENT LLC,Home Improvement Contractor - 100,Quality of Work - Q01,04/24/2020,04/29/2020,Advised to Sue - ATS,No,0.00,298,S BROOKSIDE AVE,,FREEPORT,NY,11520,11413,,
J&M NU CONSTRUCTION LLC,Home Improvement Contractor - 100,Quality of Work - Q01,04/24/2019,06/03/2019,No Business Response - NVR,No,0.00,277,LONGSTREET AVE,,BRONX,NY,10465,11357,,
JZANUS LTD.,Debt Collection Agency - 122,Misrepresentation - M01,10/28/2019,11/14/2019,Bill Reduced - BLR,Yes,27.00,1230,HEMPSTEAD TPKE,,FRANKLIN SQUARE,NY,11010,10018,-73.95379275810869,40.790443058739136
FURNITURE CITY SUPER STORE,Furniture Sales - 242,Billing Dispute - B02,05/31/2019,06/20/2019,No Consumer Response - NCR,NA,0.00,2969,3RD AVE,,BRONX,NY,10455,10031,-73.91431684174104,40.818677428563724
125 ALEXIS FURNTURE INC,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,09/17/2019,11/01/2019,Complaint Invalid - CIN,NA,0.00,51,E 125TH ST,,NEW YORK,NY,10035,10035,-73.9403088220804,40.80560423343632
PREMIUM WIRELESS INC.,Electronic Store - 001,Damaged Goods - D01,06/13/2019,07/19/2019,No Consumer Response - NCR,NA,0.00,2149,NOSTRAND AVE,,BROOKLYN,NY,11210,11236,-73.94770120327698,40.63312169102652
"Tate & Kirlin Associates, Inc.",Debt Collection Agency - 122,Billing Dispute - B02,05/29/2019,06/07/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,580,MIDDLETOWN BLVD,240,LANGHORNE,PA,19047,10032,,
ZOHOL LLC,Home Improvement Contractor - 100,Breach of Contract - B03,07/05/2019,07/25/2019,Goods Repaired - GRS,Yes,0.00,16,AUSTIN LN,,HUNTINGTON,NY,11743,11357,,
4 SQUARED FLAVORS,Restaurant - 818,Surcharge/Overcharge - S02,06/06/2019,06/11/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,4512,GREENPOINT AVE,,SUNNYSIDE,NY,11104,,-73.91968069303512,40.74191101498043
