Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address,Funding,ID
449, AIRPORT BLVD / GUADALUPE ST,TURNED_ON,07/15/2019,Advidia,LOC16-000065,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6800, AIRPORT BLVD,,6800, GUADALUPE ST,,5160128,04/10/2020 08:40:00 AM +0000,"(30.3339596, -97.7169266)",OFFLINE,04/10/2020 08:30:00 AM +0000,-97.7169266,30.3339596,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV449.jpg,None Identified,591a10a320eacf2d16669c32
11, ESCARPMENT BLVD / SLAUGHTER LN,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-003355,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,9300, ESCARPMENT BLVD,,5800, SLAUGHTER LN,,5144234,02/26/2020 05:11:00 PM +0000,"(30.2005997, -97.8784256)",ONLINE,10/08/2019 08:35:00 AM +0000,-97.8784256,30.2005997,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV11.jpg,None Identified,582c83276703af1e2d14d77d
495, PARMER LN / HARRIS RIDGE BLVD,TURNED_ON,06/22/2017,Spectra Enhanced,LOC16-003650,,NORTHEAST,7,AUSTIN FULL PURPOSE,ROADWAY,,,300, PARMER LN,,12801, HARRIS RIDGE BLVD,,5165757,03/24/2020 08:45:00 AM +0000,"(30.4023132, -97.6573715)",ONLINE,03/24/2020 08:35:00 AM +0000,-97.6573715,30.4023132,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV495.jpg,None Identified,594d4cfa0a463f5550bc6f6f
496, PARMER LN / SAMSUNG BLVD,TURNED_ON,06/22/2017,Spectra Enhanced,LOC16-002805,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,3201, PARMER LN,,12200, SAMSUNG BLVD,,5167289,03/24/2020 08:45:00 AM +0000,"(30.3760014, -97.6317139)",ONLINE,03/24/2020 08:35:00 AM +0000,-97.6317139,30.3760014,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV496.jpg,None Identified,594da6ee6e9eb5668bf77899
500, HARRIS BRANCH PKWY / PARMER LN,TURNED_ON,06/27/2017,Spectra Enhanced,LOC16-004250,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,12300, HARRIS BRANCH PKWY,,5700, PARMER LN,,5168235,03/24/2020 08:45:00 AM +0000,"(30.3685207, -97.6131744)",ONLINE,03/24/2020 08:35:00 AM +0000,-97.6131744,30.3685207,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV500.jpg,None Identified,59527afa8e9dba492342bb86
619, AIRPORT BLVD / KOENIG LN SVRD,TURNED_ON,03/29/2018,Advidia,LOC16-000860,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,5751, AIRPORT BLVD,,732, KOENIG LN SVRD,,5160613,02/29/2020 09:45:00 AM +0000,"(30.3209457, -97.7129517)",ONLINE,02/29/2020 09:35:00 AM +0000,-97.7129517,30.3209457,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV619.jpg,None Identified,5d30e7ed93f05e0010f338a2
411, RIVERSIDE DR / WICKERSHAM LN,TURNED_ON,08/09/2017,Spectra Enhanced,LOC16-001930,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4400, RIVERSIDE DR,,1401, WICKERSHAM LN,,5160049,05/01/2020 08:45:00 AM +0000,"(30.2323837, -97.7204056)",ONLINE,05/01/2020 08:35:00 AM +0000,-97.7204056,30.2323837,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV411.jpg,1/4 Cent,591a10a220eacf2d16669be6
267, CAPITAL OF TEXAS HWY / COURTYARD DR,TURNED_ON,,Sarix,LOC16-004195,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,5409, CAPITAL OF TEXAS HWY,,5400, COURTYARD DR,,5150534,05/02/2020 08:45:00 AM +0000,"(30.352457, -97.7952881)",ONLINE,05/02/2020 08:35:00 AM +0000,-97.7952881,30.352457,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV267.jpg,,582a419b5e304c982be5c3d8
273,FM 620 RD / 2222 RD,TURNED_ON,,Sarix,LOC16-004300,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,7100,FM 620 RD,,10801,FM 2222 RD,,5145335,05/02/2020 08:45:00 AM +0000,"(30.4036922, -97.8540649)",ONLINE,05/02/2020 08:35:00 AM +0000,-97.8540649,30.4036922,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV273.jpg,None Identified,582a419b5e304c982be5c3cc
288, CAPITAL OF TEXAS HWY / 2222 RD,TURNED_ON,,Sarix,LOC16-004845,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,5800, CAPITAL OF TEXAS HWY,,5721,FM 2222 RD,,5150922,05/02/2020 08:45:00 AM +0000,"(30.359251, -97.7905273)",ONLINE,05/02/2020 08:35:00 AM +0000,-97.7905273,30.359251,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV288.jpg,None Identified,582a419a5e304c982be5c3ae
389, ANDERSON MILL RD / BROADMEADE AVE (Turtle Rock Dr),TURNED_ON,03/21/2018,Advidia,LOC16-004275,Turtle Rock Dr,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,8906, ANDERSON MILL RD,,12800, BROADMEADE AVE,,5152043,05/02/2020 08:45:00 AM +0000,"(30.4531956, -97.7763901)",ONLINE,05/02/2020 08:35:00 AM +0000,-97.7763901,30.4531956,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV389.jpg,1/4 Cent,591a10a120eacf2d16669bba
502,FM 620 RD / BOULDER LN (South),TURNED_ON,06/27/2017,Spectra Enhanced,LOC16-004375,South,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,8400,FM 620 RD,,10200, BOULDER LN,,5146359,05/02/2020 08:45:00 AM +0000,"(30.4287834, -97.842659)",ONLINE,05/02/2020 08:35:00 AM +0000,-97.842659,30.4287834,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV502.jpg,None Identified,5952f752cc917550e29aa7df
159, WILLIAM CANNON DR / 35 SVRD,TURNED_ON,,Sarix,LOC16-002025,,SOUTHWEST,2,AUSTIN FULL PURPOSE,ROADWAY,,,900, WILLIAM CANNON DR,,6425,IH 35 SVRD,,5153510,05/06/2020 08:45:00 AM +0000,"(30.1902447, -97.7701111)",OFFLINE,05/06/2020 08:35:00 AM +0000,-97.7701111,30.1902447,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV159.jpg,None Identified,582a419f5e304c982be5c4b0
160, WILLIAM CANNON DR / BLUFF SPRINGS RD,TURNED_ON,,Sarix,LOC16-002030,,SOUTHWEST,2,AUSTIN FULL PURPOSE,ROADWAY,,,1616, WILLIAM CANNON DR,,6601, BLUFF SPRINGS RD,,5153808,05/06/2020 08:45:00 AM +0000,"(30.1891956, -97.7678909)",OFFLINE,05/06/2020 08:35:00 AM +0000,-97.7678909,30.1891956,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV160.jpg,,582a419f5e304c982be5c4ae
264, CAPITAL OF TEXAS HWY / LAKEWOOD DR,TURNED_ON,,Advidia,LOC16-004175,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,6822, CAPITAL OF TEXAS HWY,,7200, LAKEWOOD DR,,5151320,05/06/2020 08:45:00 AM +0000,"(30.3716736, -97.7856598)",OFFLINE,05/06/2020 08:35:00 AM +0000,-97.7856598,30.3716736,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV264.jpg,None Identified,582a419c5e304c982be5c3de
536,11406 BLK MC ANGUS RD (South of Elroy Rd),TURNED_ON,10/13/2017,Sarix,LOC16-007035,South of Elroy Rd,SOUTHEAST,,AUSTIN 2 MILE ETJ,ROADWAY,,,11406, MC ANGUS RD,,,  ,,,05/08/2020 08:41:00 AM +0000,"(30.1440611, -97.64924705)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.64924705,30.1440611,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV536.jpg,None Identified,59e4b638b2f6054a620760de
541,SH 130 SVRD / 290 HWY SVRD,TURNED_ON,01/04/2018,Sarix,LOC16-004890,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,11200,SH 130 SVRD,,10017,US 290 HWY SVRD,,5188386,05/08/2020 08:41:00 AM +0000,"(30.3398151, -97.5914612)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.5914612,30.3398151,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV541.jpg,None Identified,5a4ea07eabc76155684b3882
599, AVERY RANCH BLVD / STAKED PLAINS DR,TURNED_ON,10/16/2019,Advidia,LOC16-004410,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,14001, AVERY RANCH BLVD,,11300, STAKED PLAINS DR,,5150543,05/08/2020 08:41:00 AM +0000,"(30.4941616, -97.7914963)",OFFLINE,05/08/2020 08:31:00 AM +0000,-97.7914963,30.4941616,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV599.jpg,None Identified,5c9ce99d53fc8a2f42473c21
801, BARBARA JORDAN BLVD / MUELLER BLVD,TURNED_ON,04/09/2020,Advidia,LOC16-006765,,NORTHEAST,9,AUSTIN FULL PURPOSE,ROADWAY,,,1400, BARBARA JORDAN BLVD,,5000, MUELLER BLVD,,5161561,05/08/2020 08:41:00 AM +0000,"(30.3042521, -97.7038549)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.7038549,30.3042521,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV801.jpg,None Identified,5e8f75880fbbbb00152a68ff
66, MARTIN LUTHER KING JR BLVD / RED RIVER ST,TURNED_ON,,Sarix,LOC16-000135,,CENTRAL,1,AUSTIN FULL PURPOSE,ROADWAY,,,400, MARTIN LUTHER KING JR BLVD,,1900, RED RIVER ST,,5158551,02/26/2020 05:11:00 PM +0000,"(30.2789745, -97.732193)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.732193,30.2789745,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV66.jpg,,582a41a05e304c982be5c56a
4, 35TH ST / PECOS ST,TURNED_ON,11/30/2016,Spectra Enhanced,LOC16-003630,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,3100, 35TH ST,,3400, PECOS ST,,5153473,05/08/2020 08:41:00 AM +0000,"(30.31354, -97.76716)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.76716,30.31354,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV4.jpg,None Identified,585981b90a478f904608bdd2
318, MENCHACA RD / BARTON SKWY (Lightsey Rd),TURNED_ON,07/31/2017,Spectra Enhanced,LOC16-000920,Lightsey Rd,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,2800, MENCHACA RD,,2101, BARTON SKWY,,5152078,04/03/2020 08:45:00 AM +0000,"(30.2426128, -97.781662)",ONLINE,04/03/2020 08:35:00 AM +0000,-97.781662,30.2426128,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV318.jpg,1/4 Cent,591a109e20eacf2d16669b2c
433, CONGRESS AVE / NELLIE ST,TURNED_ON,02/09/2018,Advidia,LOC16-000690,,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,1200, CONGRESS AVE,,101, NELLIE ST,,5156131,03/04/2020 09:45:00 AM +0000,"(30.2522736, -97.7486496)",ONLINE,03/04/2020 09:35:00 AM +0000,-97.7486496,30.2522736,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV433.jpg,1/4 Cent,591a10a320eacf2d16669c12
573, ANDERSON LN SVRD / LAMAR BLVD SVRD,TURNED_ON,12/07/2016,Sarix,LOC16-003145,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,723, ANDERSON LN SVRD,,7829, LAMAR BLVD SVRD,,5160595,03/05/2020 09:45:00 AM +0000,"(30.3470039, -97.7124252)",OFFLINE,03/05/2020 09:35:00 AM +0000,-97.7124252,30.3470039,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV573.jpg,None Identified,5c142e818fe60c4e66fa0057
156, 1ST ST / ST ELMO RD,TURNED_ON,,Advidia,LOC16-001970,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4400, 1ST ST,,601, ST ELMO RD,,5153096,04/10/2020 08:45:00 AM +0000,"(30.2210426, -97.7728806)",OFFLINE,04/10/2020 08:35:00 AM +0000,-97.7728806,30.2210426,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV156.jpg,None Identified,582a419f5e304c982be5c4b6
581,IH 35 SVRD / HOLLY ST,TURNED_ON,,Advidia,LOC16-003780,,CENTRAL,"9,3",AUSTIN FULL PURPOSE,ROADWAY,,,61,IH 35 SVRD,,800, HOLLY ST,,5157981,03/06/2020 09:45:00 AM +0000,"(30.2571259, -97.7365189)",ONLINE,03/06/2020 09:35:00 AM +0000,-97.7365189,30.2571259,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV581.jpg,None Identified,5c40acc6ace0662774ef283a
14, OLTORF ST / PLEASANT VALLEY RD,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-004365,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,2510, OLTORF ST,,2400, PLEASANT VALLEY RD,,5159261,05/01/2020 08:45:00 AM +0000,"(30.227459, -97.7277679)",OFFLINE,05/01/2020 08:35:00 AM +0000,-97.7277679,30.227459,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV14.jpg,,582c83276703af1e2d14d777
373,1 BLK S PLEASANT VALLEY RD (KREIG FIELD),TURNED_ON,05/03/2018,Advidia,LOC16-003595,KREIG FIELD,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,1, PLEASANT VALLEY RD,,,  ,,,05/01/2020 08:45:00 AM +0000,"(30.2460289, -97.7149734)",ONLINE,05/01/2020 08:35:00 AM +0000,-97.7149734,30.2460289,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV373.jpg,1/4 Cent,591a10a020eacf2d16669b9a
797, CONGRESS AVE / CONGRESS AVE (HEB),TURNED_ON,03/06/2020,Advidia,LOC19-015200,HEB,SOUTHWEST,2,AUSTIN FULL PURPOSE,ROADWAY,,,8516, CONGRESS AVE,,8517, CONGRESS AVE,,,03/07/2020 09:45:00 AM +0000,"(30.169798, -97.78745)",ONLINE,03/07/2020 09:35:00 AM +0000,-97.78745,30.169798,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV797.jpg,None Identified,5e62cbd0e730380015c6ca39
798, 45TH ST / RAMSEY AVE,TURNED_ON,03/05/2020,Advidia,LOC16-005545,,CENTRAL,"10,7",AUSTIN FULL PURPOSE,ROADWAY,,,1600, 45TH ST,,4500, RAMSEY AVE,,5156686,03/09/2020 10:32:00 PM +0000,"(30.3162044, -97.7433696)",OFFLINE,03/09/2020 05:00:00 AM +0000,-97.7433696,30.3162044,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV798.jpg,None Identified,5e66c40291fdc20018890ebb
198, 1ST ST / BEN WHITE BLVD SVRD,TURNED_ON,,Advidia,LOC16-002660,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,3817, 1ST ST,,600, BEN WHITE BLVD SVRD,,5153502,03/11/2020 08:45:00 AM +0000,"(30.226881, -97.7692413)",ONLINE,03/11/2020 08:35:00 AM +0000,-97.7692413,30.226881,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV198.jpg,None Identified,582a419e5e304c982be5c462
524, RIVERSIDE DR / TRAVIS HEIGHTS BLVD,TURNED_ON,08/04/2017,Spectra Enhanced,LOC16-001860,,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,901, RIVERSIDE DR,,1101, TRAVIS HEIGHTS BLVD,,5157654,03/11/2020 08:45:00 AM +0000,"(30.2498417, -97.7387695)",ONLINE,03/11/2020 08:35:00 AM +0000,-97.7387695,30.2498417,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV524.jpg,None Identified,598494d8d9832658ef88526c
238, LAKE AUSTIN BLVD / REDBUD TRL,TURNED_ON,,Advidia,LOC16-003690,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,3600, LAKE AUSTIN BLVD,,3101, REDBUD TRL,,5151762,03/13/2020 11:45:00 AM +0000,"(30.2915916, -97.7830658)",ONLINE,03/12/2020 08:35:00 AM +0000,-97.7830658,30.2915916,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV238.jpg,None Identified,582a419c5e304c982be5c412
470, BURNET RD / KRAMER LN,TURNED_ON,07/03/2019,Advidia,LOC16-002275,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,10800, BURNET RD,,2625, KRAMER LN,,5159550,03/17/2020 08:45:00 AM +0000,"(30.3952026, -97.7203979)",ONLINE,03/17/2020 08:35:00 AM +0000,-97.7203979,30.3952026,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV470.jpg,None Identified,591a10a420eacf2d16669c5d
60, AIRPORT BLVD / DENSON DR,TURNED_ON,07/11/2019,Advidia,LOC16-000080,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6200, AIRPORT BLVD,,101, DENSON DR,,5160231,02/29/2020 09:45:00 AM +0000,"(30.3270321, -97.7160797)",ONLINE,02/29/2020 09:35:00 AM +0000,-97.7160797,30.3270321,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV60.jpg,None Identified,582a41a15e304c982be5c576
702, MARTIN LUTHER KING JR BLVD / COLORADO ST,TURNED_ON,08/22/2019,Advidia,LOC18-012845,,CENTRAL,"9,1",AUSTIN FULL PURPOSE,ROADWAY,,,5300, MARTIN LUTHER KING JR BLVD,,1500, COLORADO ST,,,05/08/2020 08:41:00 AM +0000,"(30.281042, -97.73946)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.73946,30.281042,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV702.jpg,None Identified,5d5eb490633d4d0011566950
739,12500 BLK N LAMAR BLVD (Connally High School),TURNED_ON,09/06/2019,Advidia,LOC16-005225,Connally High School,NORTHWEST,7,AUSTIN FULL PURPOSE,BUILDING,,,12500, LAMAR BLVD,,,  ,,,05/08/2020 08:41:00 AM +0000,"(30.418306, -97.675247)",OFFLINE,05/08/2020 08:31:00 AM +0000,-97.675247,30.418306,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV739.jpg,None Identified,5d72d0ec1a0a7700106412c1
756, BURNET RD / ASHDALE DR,TURNED_ON,09/13/2019,Advidia,LOC16-005365,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,8004, BURNET RD,,2401, ASHDALE DR,,5158531,05/08/2020 08:41:00 AM +0000,"(30.3585956, -97.7301715)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.7301715,30.3585956,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV756.jpg,None Identified,5d7c198ccefd060010355f21
471, BURNET RD / GAULT LN,TURNED_ON,08/26/2019,Advidia,LOC16-002245,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,11700, BURNET RD,,2901, GAULT LN,,5160013,03/17/2020 08:45:00 AM +0000,"(30.4049339, -97.7160492)",ONLINE,03/17/2020 08:35:00 AM +0000,-97.7160492,30.4049339,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV471.jpg,None Identified,591a10a420eacf2d16669c5f
596, MOPAC EXPY SVRD / WATERS PARK RD,TURNED_ON,10/17/2019,Advidia,LOC16-003795,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,12134, MOPAC EXPY SVRD,,12152, WATERS PARK RD,,5160626,03/17/2020 08:45:00 AM +0000,"(30.4114418, -97.7103043)",ONLINE,03/17/2020 08:35:00 AM +0000,-97.7103043,30.4114418,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV596.jpg,None Identified,5c9ce39665d1ec084bbbc2b6
737, GRACY FARMS LN / MOPAC EXPY SVRD,TURNED_ON,09/06/2019,Advidia,LOC16-001700,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,2701, GRACY FARMS LN,,11985, MOPAC EXPY SVRD,,5160189,03/17/2020 08:45:00 AM +0000,"(30.4073753, -97.7142792)",ONLINE,03/17/2020 08:35:00 AM +0000,-97.7142792,30.4073753,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV737.jpg,None Identified,5d7287d0d8e7dd00109b169d
179, LAMAR BLVD / RUNDBERG LN,TURNED_ON,,Advidia,LOC16-002330,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,9200, LAMAR BLVD,,411, RUNDBERG LN,,5162155,03/17/2020 08:45:00 AM +0000,"(30.3631401, -97.6970215)",ONLINE,03/17/2020 08:35:00 AM +0000,-97.6970215,30.3631401,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV179.jpg,None Identified,582a419e5e304c982be5c488
365, SOUTHWEST PKWY / BOSTON LN,TURNED_ON,06/21/2018,Advidia,LOC16-003030,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,4501, SOUTHWEST PKWY,,4501, BOSTON LN,,5147638,05/07/2020 08:40:00 AM +0000,"(30.2401161, -97.8332901)",OFFLINE,05/07/2020 08:30:00 AM +0000,-97.8332901,30.2401161,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV365.jpg,1/4 Cent,591a10a020eacf2d16669b8a
