Application Type,Application Number,Processed Date,Approved Date,Project Name,Description,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location,WSSC Grid,Tax Map,Site Area,Proposed Disturbed Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,Tributary,Protection Area,State Water Use
SPECIAL PROTECTION AREA,205361,05/07/2002,08/01/2002,ROCKY HILL MIDDLE SCHOOL,,,,,,,,,,"WESTERN SIDE OF MD 355, SOUTH OF RUNNING BROOK DR, & NORTH OF SENECA CREEK, CLARKSBURG",231NW12,EV43,23.3,22.5,R-200,R-200,,SCHOOL,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,201363,06/30/2000,01/06/2005,GREENWAY VILLAGE AT CLARKSBURG,"also see CN 204344
******************ADMINISTRATIVE WAIVER SUBMITTED 12/21/2011************",,,,,,,,,"BETWEEN RIDGE RD (MD RT 27) & PIEDMONT RD, GERMANTOWN",,,210.0,283.7,,PD-4,AGRICULTUR,RESIDENTIA,LSC,,SPA-PB,IV
SPECIAL PROTECTION AREA,218153,05/11/2005,10/05/2005,JAMES PROPERTY,Parcel P279,,,,,,,,,INTERSECTION BRIGGS CHANEY ROAD WITH OLD COLUMBIA PIKE,218NE03,KR342,3.5,1.0,,,,,LPB,,SPA-UPB,III
SPECIAL PROTECTION AREA,238926,10/15/2010,,9800 MEDICAL CENTER DRIVE,,9800,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850,,219NW9,FR53,18.1,8.6,R-200,R-200,RESEARCH,RESEARCH,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,224293,02/28/2006,08/22/2006,ISLAMIC SOCIETY OF WASHINGTON,This file was combined with #215470 & replaces it.,2701,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,218NE03,KR42,5.3,0.1,RE-1,RE-1,PL/WORSHIP,PL/WORSHIP,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,206891,11/04/2002,03/06/2003,"TRAVILLE, PAR I, J, & K",,,,,,,,,,"SHADY GROVE RD, GAITHERSBURG",219NW10,FR343,14.7,8.2,,,,,WBR,,SPA-PB,SPA-PB
SPECIAL PROTECTION AREA,264517,05/20/2014,,CLARKSBURG PREMIUM OUTLETS,CLARKSBURG PREMIUM OUTLETS AT CABIN BRANCH,,,,,,,,,"SOUTHWEST QUADRANT, INTERSECTION OF CLARKSBURG RD AND INTERSTATE 270",231NW14,EV23,84.2,53.8,MXPD,MXPD,,,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,204188,09/17/2001,06/02/2005,SUMMERFIELD CROSSING,"Property name changed from Linthicum East to Summerfield Crossing, 4/29/03",13100,W,OLD BALTIMORE,RD,,BOYDS,MD,20841,,230NW13,EV341,126.8,55.3,R-200,R-200,,,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,204343,10/24/2001,04/09/2002,HUMAN GENOME SCIENCES @ SHADY,Parcels: W & O/R,9800,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850,,219NW9,FR53,18.1,2.0,,,,,WBR,,,
SPECIAL PROTECTION AREA,283437,11/08/2017,,,TEST,,,,,,,,,TEST,,343,3434.0,344.0,EOF,I-2,,,PIB,,,III
SPECIAL PROTECTION AREA,215001,10/29/2004,06/02/2005,TRAVILAH QUARRY OFFICE BUILDIN,"Parcels : P160, P400. The entire site is 89.9, but the area in the SPA is less than 15 acres and the fee is computed on the 5-15 acres.",13900,,PINEY MEETINGHOUSE,RD,,ROCKVILLE,MD,20850,,,,14.0,5.0,I-2,I-2,PARKING,OFFICE BLD,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,283367,10/13/2017,,CABIN BRANCH MULTI-FAMILY,,,,,,,,,,"CABIN BRANCH AVENUE, CLARKSBURG, MD 20871",,,10.2,10.2,,,,,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,261857,02/26/2014,,Bowie Mill Estates,,,,,,,,,,"17815 & 17827 Bowie Mill Road, Rockville, Maryland 20855",224NW05,HT122,18.1,0.0,RE-2,RE-2,SFResident,SFResident,URC,NORTH BR,III,III
SPECIAL PROTECTION AREA,205541,06/06/2002,11/01/2002,TRAVILAH RD PROJECT,Revision submitted 4/28/04,,,,,,,,,TRAVILAH RD FROM DUFIEF MILL RD TO DARNESTOWN RD,,,23.1,9.0,,,,ROADWAY,NWB,,SPA-PB,
SPECIAL PROTECTION AREA,203984,07/23/2001,10/18/2001,FAIRLAND GARDENS,,,,,,,,,,"FRIENDLYWOOD COURT, PARCEL 316",219NE3,,1.0,0.2,,,,,PBR,R FK,SPA-UPB,III
SPECIAL PROTECTION AREA,211737,03/15/2004,10/15/2008,CLARKSBURG TOWN CTR COMMERCIAL,"Final Water Quality Plan Only for the Commerical Site. Revision submitted 5/06/05 // REVISION SUBMITTED 9/17/2008// 
************* ADMINISTRATIVE WAIVER SUBMITTED 11/18/2010 *************",,,,,,,,,"CLARKSBURG SQUARE RD & OVERLOOK PARK DR, CLARKSBURG 20871",,,57.4,33.3,RMX-2,RMX-2,,MIXED/COMM,LSC,,SPA-CB,
